Code,Discription,Price list,price of 01/02/2021
FMENTP2007,TONSILLECTOMY UNDER 12 YEARS,930,1023
FMENTP2008,TONSILLECTOMY - 12 YEAR & OVER,1160,1276
FMENTP2010,EXCISION OF TONSILAR TAG,1160,1276
FMENTP2012,CONTROL OF HAEMORRHAGE AFTER-  TONSILLECTOMY - REACTIONARY,350,385
FMENTP2013,CONTROL OF HAEMORRHAGE AFTER-  TONSILLECTOMY 2NDARY (IN SGH),585,644
FMENTP2014,CONTROL OF HAEMORRHAGE AFTER - TONSILLECTOMY-2NDARY (OUTSIDE),1740,1914
FMENTP2015,ORAL BIOPSY,350,385
FMENTP2017,EXCISION OF VALLECULAR CYST,2320,2552
FMENTP2018,PALATOPHARYNGOPLASTY,4630,5093
FMENTP2019,EXCISION OF ORAL /OROPHARYNGEAL PAPILLOMA BIOPSY,1965,2162
FMENTP3001,HYPOPHARYNGOSCOPY UNDER L.A.,585,644
FMENTP3002,HYPOPHARYNGOSCOPY UNDER G.A.,1160,1276
FMENTP3003,HYPOPHARYNGOSCOPY WITH REMOVAL OF FORIEGN BODY,1740,1914
FMENTP3004,HYPOPHARYNGOSCOPY WITH BIOPSY,1395,1535
FMENTP3005,LASER TONSILLECTOMY,1740,1914
FMENTP3006,LASER PALATOPLASTY,5790,6369
FMENTP3007,LASER EXCISSION OF BENIGN TUM. OF THE PHARYNX,2900,3190
FMENTP3008,CRICO-PHARYNGEAL MYOTOMY,3825,4208
FMENTP3009,LASER EXCISSION OR LINGUAL,2205,2426
FMENTP3010,EXCISION OF ELONGATED STYLOID  PROCESS,1545,1700
FMENTP3011,LASER ASSISTED UVULOPALATOPLAS TY W/O TONSILECTOMY (LAUP),3000,3300
FMENTP3012,LASER ASSISTED UVULOPALATOPLAS TY WITH TONSILECTOMY,3500,3850
FMENTP3013,PRE-OPERATIVE EVALUATION OF    OSAS,1000,1100
FMENTP3014,POST OPERATIVE EVALUATION OF   OSAS,700,770
FMENTP3015,PRE & POST EVALUATION OF OSAS,1500,1650
FMENTP3016,C P A P,1800,1980
FMENTR0001,RADIO FREQENCY APPLIACATION TO INFERIOR TURBINATES (UNILATERA,1500,1650
FMENTR0002,RADIO FREQUENCY APPLICATION TO INFERIOR TURBINATES (BILATERAL,2000,2200
FMENTR0003,RADIO FREQUENCY APPLICATION TO THE PALATE,2000,2200
FMENTR0004,RADIO FREQUENCY APPLICATION TO THE TONGUE,2000,2200
FMENTR0005,RADIO FREQUENCY APPLICATION TO THE  INFERIOR TURBINATES AND P,3000,3300
FMENTR0006,RADIO FREQUENCY APPLICATION TO THE INFERIOR TURBINATES AND PA,3000,3300
FMENTR0007,RADIO FREQUENCY APPLICATION IN FERIOR TURB. TONGUE AND PALATE,4000,4400
FMENTR0008,RADIO FREQUENCY APPLICATION TO THE PALATE AND TONGUE,3000,3300
FMENTS0001,ANTRAL PUNCTURE + WASH-UNILAT.,350,385
FMENTS0002,ANTRAL PUNCTURE + WASH-BILAT.,585,644
FMENTS0003,INTRANASAL ANTROSTOMY-BILAT.,2380,2618
FMENTS0004,INTRANASAL ANTROSTOMY -UNILAT.,815,897
FMENTS0005,ANTRAL SINUSCOPY - UNILATERAL,815,897
FMENTS0006,ANTRAL SINUSCOPY - BILATERAL,1395,1535
FMENTS0007,EXCISION OF LESION MAXILLARY   SINUS BY SINUSCOPY,1160,1276
FMENTS0008,EXCISN OF LESION OF MAXILLARY  SINUS BY EXT. AX. ANTROTOMY,1395,1535
FMENTS0009,CALDWELL-LUC OPERATION,5240,5764
FMENTS0010,TRANSANTRAL APPROACH FOR CORR- ECTION BLOW-OUT FRACT. ORBIT,2900,3190
FMENTS0011,BIOPSY OF MAXILLIARY SINUS,1160,1276
FMENTS0012,RADICAL MAXILLECTOMY,6955,7651
FMENTS0013,REPAIR OF ORO-ANTRAL FISTULA,3475,3823
FMENTS0014,ETHMOID SINUSCOPY,980,1078
FMENTS0015,TRANSNASAL ETHMOIDECTOMY,2900,3190
FMENTS0016,TREPHINE OF THE FRONTAL SINUS,1160,1276
FMENTS0017,EXTERNAL OPERATION ON FRONTAL  ETHMOIDAL & SPHENOID SINUSES,4630,5093
FMENTS0018,BONY TUMOURS OF NASAL SINUSES- BENIGN,4630,5093
FMENTS0019,BONY TUMPURS OF NASAL SINUSES- MALIGNANT,6955,7651
FMENTS0020,ENDOSCOPIC SINUS SURGERY,5180,5698
FMENTS0021,ADD'L FEE FOR COM.OR OVER 3HRS,585,644
FMENTS0022,FUNCTIONAL ENDOSCOPIC SINUS SURGERY UNILATERAL,2100,2310
FMENTS0023,SPEECH PROCESSOR,5620,6182
FMENTS0024,MYRINGOTOMY& T-TUBE INSERTION (UNI LATERAL),600,660
FMENTS0025,MYRINGOTOMY& T-TUBE (BI LATERAL),1200,1320
FMENTS0026,UVULOPALATOPLASTY,1080,1188
FMENTS0033,DIAGNOSTIC DIRECT LARYNXSCOPY,1080,1188
FMENTS0034,REMOVAL OF ANTERIOR & POSTERIOR NASAL PACKS UNDER GA,400,440
FMENTS0035,EXCISION OF BRONCHIAL FISTULA (MAJOR),1500,1650
FMENTS0036,EXCISION OF WART ON VESTIBULE OF NOSE UNDER LA,400,440
FMENTS0038,MIDDLE MEATAL ANTROSTOMY,1980,2178
FMENTS0039,LYMPH NODES BIOPSY(SUPERFICIAL),630,693
FMENTS0040,REMOVAL OF STITCHES UNDER GA.,400,440
FMENTS0041,CURATAGE OF ALVEOLAR MARGIN GRANULATION,1310,1441
FMENTS0042,ATTICO ANTROSTOMY FOR ATTIC CHOLESTEATOMA,3300,3630
FMENTS0043,INTRANASAL ETHMOIDECTOMY,3960,4356
FMENTS0044,INCISION AND DRAINAGE OF EAR (GA),3500,3850
FMENTS0045,INCISION AND DRAINAGE OF EAR (LA),2500,2750
FMENTS0046,EXCISION OF LIPOMA,3750,4125
FMENTS0047,FUNCTIONAL ENDOSCOPIC SINUS SURGERY BILATERAL,12500,13750
FMENTS0048,CLOSED REDUCTION OF FRACTURE NASAL BONE,1875,2063
FMENTS0049,OTO ENDOSCOPIC CHOLESTEATOMA UNILATERAL,15000,16500
FMENTS0050,OTO ENDOSCOPIC MYRINGO PLASTY UNILATERAL,8750,9625
FMENTS0051,EAR EXAMINATION UNDER GENERAL ANESTHESIA UNILATERAL,3750,4125
FMENTS0052,EAR EXAMINATION UNDER GENERAL ANESTHESIA BILATERAL,5000,5500
FMENTS0053,BILAT - CHOANAL AT REISA RELEASE,500,550
FMENTS0054,UNILAT - CHOANAL AT RESIA RELEASE,500,550
FMENTS0055,INTRA TYMPANIC CORTICOSTERIOD INJECTION,500,550
FMENT-0500,SECOND OPINION CONSULTATION,100,110
FMERD-1000,DAY CARE SUPERVISION,185,204
FMNEU-0000,NEURO-SURGERY CONSULTATION-IP,100,110
FMERDA0001,ABSCESS INCISSION SUFERFICIAL,110,121
FMERDA0002,ABSCESS INCISION DEEP,165,182
FMERDA0003,ENDOTRACHEAL INTUBATION,220,242
FMERDA0004,INCISN & DRAINGE OF PARONYCHIA,165,182
FMERDA0005,REMOVAL OF NAIL,165,182
FMERDA0006,REMOVAL OF STITCHES,30,33
FMERDA0007,REMOVL OF FOREIGN BODY (SIMPLE,445,490
FMERDA0008,BURN DRESSING 5 %,165,182
FMERDA0009,BURN DRESSING 10 - 20%,555,611
FMERDA0010,BURN DRESSING 20 - 30%,885,974
FMERDA0011,BURN DRESSING 5 - 10%,220,242
FMERDA0012,CATHETERIZATION,80,88
FMERDA0013,DEEP CUT WOUND LARGE (10 - 20  STITCHES),220,242
FMERDA0014,DEEP CUT WOUND MEDIUM ( 5 - 10 STITCHES),165,182
FMERDA0015,DEEP CUT WOUND SMALL ( 3 - 5   STITCHES),110,121
FMERDA0016,ENDOTRACHEAL TUBE,30,33
FMERDA0017,I.V. CANULA,25,28
FMERDA0018,I.V. CENTRAL CATHETER,90,99
FMERDA0019,I.V. FLUID INSERTION,55,61
FMERDA0020,I.V. INJECTION,11,13
FMERDA0021,HOME VISIT BY G.P. ON DUTY,295,325
FMERDA0022,HOME VISIT BY G.P. OFF DUTY,410,451
FMNUM-0000,NEUROLOGY CONSULTATION (IN-PT),100,110
FMOBG-0000,OB-GYNE CONSULTATION - (IN-PT),100,110
FMERDA0025,HOME VISIT (ESCORT NURSE),110,121
FMERDA0026,CARDIAC MONITORING(PER 30 MIN),55,61
FMERDA0027,SUB.CUT WOUND LARGE (10-20     STITCHES,165,182
FMERDA0028,SUB.CUT WOUND MEDIUM (5 - 10   STITHES),110,121
FMERDA0029,SUB.CUT WOUND SMALL (3 - 5     STITCHES),70,77
FMERDA0030,CONTROL OF EPISTAXIS BY ANTERIOR NASAL PACKING,280,308
FMERDA0031,CONTROL OF EPISTAXIS BY ANTE-  ROPOST NASAL PACKING,885,974
FMERDA0032,FOREIGN BODY REMOVAL,220,242
FMERDA0033,SUTURE OF LACERATN EXTERNL EAR,125,138
FMERDA0034,SUTURE OF LACERATN OF LIP (EA),80,88
FMERDA0035,SUTURE OF LACERATN IN THE NOSE,110,121
FMERDA0036,SUTURE OF LACERATION TONGUE,110,121
FMERDA0037,CHECK-UP FOOD HANDLER,220,242
FMOBG-0500,SECOND OPINION CONSULTATION,100,110
FMERDA0039,DEFIBRILLATOR,165,182
FMERDA0040,ER DELIVERY FEE,1300,1430
FMODT-0500,SECOND OPINION CONSULTATION,100,110
FMERDA0042,FIXATION OF AGRYL CATHETER,555,611
FMERDA0043,GASTRIC LAVAGE STOMACH OR STOMACH WASH,90,99
FMERDA0044,GASTRIC LAVAGE WITH N.G.T.,135,149
FMERDA0045,HEALTH CERTIFICATE,175,193
FMERDA0046,HOME TREATMENT (NURSE+PROCEDUR,55,61
FMERDA0047,INCISION & DRAINAGE (PEDIA),110,121
FMERDA0048,INTUBATION FEE,135,149
FMERDA0049,MARITAL COUNSELLING,135,149
FMERDA0050,MINI DRESSING PACK,40,44
FMERDA0051,NASAL TUBE SUNCTIONING,15,17
FMERDA0052,NURSE ESCORT FOR PT. BY AIR (PER DAY),555,611
FMERDA0053,RECTAL TUBE INSERTION,30,33
FMERDA0054,REMOVAL OF LOOSE NAILS DRESSNG,90,99
FMERDA0055,SGH COCKTAIL(IV/PROFE/LAS/BEC) DW/PROFENID/SYNACTEN/LASIX 2HR,245,270
FMERDA0056,SM.DRESSING W/OINT & BAN DIF.A,90,99
FMERDA0057,UNDER WATER DRAINAGE,135,149
FMERDA0058,VACCINATION FOR CHOLERA (ER),20,22
FMERDA0059,AIRWAY,30,33
FMERDA0060,COLD COMPRESS,55,61
FMERDA0061,FLEET CLEANSING ENEMA,30,33
FMERDA0062,GLUCOTEST,15,17
FMERDA0063,HOT COMPRESS,55,61
FMERDA0064,I.M. OR SUBCUTICULAR INJECTION,5,6
FMERDA0065,LARGE DRESSING,90,99
FMERDA0066,MEDIUM DRESSING,55,61
FMERDA0067,ORDINARY DRESSING,35,39
FMERDA0068,OXYGEN INHALATION (PER 30 MNS),30,33
FMERDA0069,TEPID SPONGE BATH,55,61
FMERDA0070,SKIN TEST,5,6
FMERDA0071,CODE BLUE CALL,165,182
FMERDA0072,SUTURING 1-3 SUTURES,50,55
FMERDA0073,NEBULIZER A/C VENTOLIN,50,55
FMERDA0075,SMALL DRESSING,20,22
FMERDA0077,HOME VISIT SPECIALIST ON DUTY,350,385
FMERDA0078,HOME VISIT SPECIALIST OFF DUTY,420,462
FMERDA0079,CHEMOTHERAPY (1) DAY TREAT.ER,220,242
FMERDA0080,CHEMOTHERAPY (2) DAYS TREA.ER,330,363
FMERDA0081,PRE EMPLOYMENT CHECK UP,555,611
FMERDA0082,EVALUATION OF BREAST MILK USING ELECTRONIC BREAST PUMP,25,28
FMERDA0083,FINE FAC.SUTRES.USING 8-12 SUT USING 5 OR 6  SUTURE,135,149
FMERDA0084,FINE FACIAL SUTUR.USG.5-6 1-3  SUTURES,85,94
FMERDA0085,FINE FAC.SUT.USNG. 5-6 SUT.4-7 SUTURES,110,121
FMERDA0086,AMBULANCE FOR ARAMCO PATIENT - W/ DOCTOR IN JEDDAH,300,330
FMERDA0087,AMBULANCE FOR ARAMCO PATIENT - W/ AND W/O NURSE IN JEDDAH,100,110
FMERDA0088,HOME VISIT FOR COMPANY PATIENT,210,231
FMERDA0089,USE OF PULSE OXIMETER 30 MNTS.,30,33
FMERDA0090,HOME VISIT OUTSIDE JEDDAH,3150,3465
FMERDA0091,VITAL SIGN MONITORING MULTI PARAMETER HOURLY RATE,100,110
FMERDA0092,HOME VISIT PER HOUR,200,220
FMERDA0093,E.C.G. ANALYZER,120,132
FMOPT-0000,OPHTHALMOLOGY CONSULTATION(IP),100,110
FMERDA0095,USE OF VENTILATOR PER HOUR,40,44
FMERDA0096,USE OF BLOOD WARMER MACHINE,40,44
FMERDC0001,AMBULANCE W/ OR W/OUT NURSE (INSIDE MADINAH),165,182
FMERDC0002,AMBULANCE W/ DOCTOR & NURSE (INSIDE MADINAH),500,550
FMERDC0003,AMBULANCE W/ NURSE (HOSPITAL TO AIRPORT),885,974
FMERDC0004,AMBULANCE W/ NURSE & DOCTOR (HOSPITAL TO AIRPORT),1325,1458
FMERDC0005,AMBULANCE WITH NURSE (MADINAH TO KHYBER),1325,1458
FMERDC0006,AMBULANCE W / NURSE & DOCTOR (MADINAH TO KHYBER),1380,1518
FMERDC0007,AMBULANCE W / NURSE (MADINAH TO AL ZAHAB),2205,2426
FMERDC0008,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL ZAHAB),3090,3399
FMERDC0009,AMBULANCE W / NURSE (MADINAH TO AL HENAKIA),55,61
FMERDC0010,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL HENAKIA),20,22
FMERDC0011,AMBULANCE W / NURSE (MADINAH TO AL AIS),35,39
FMERDC0012,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL AIS),165,182
FMERDC0013,AMBULANCE W / NURSE (MADINAH TO BADER),500,550
FMERDC0014,AMBULANCE W / NURSE & DOCTOR (MADINAH TO BADER),885,974
FMERDC0015,AMBULANCE W / NURSE (MADINAH TO SALSALA),1325,1458
FMERDC0016,AMBULANCE W / NURSE & DOCTOR (MADINAH TO SALSALA),1325,1458
FMERDC0017,AMBULANCE W / NURSE (MADINAH TO YANBU),1380,1518
FMERDC0018,AMBULANCE W / NURSE & DOCTOR (MADINAH TO YANBU),2205,2426
FMERDC0019,AMBULANCE W / NURSE (MADINAH TO JEDDAH),3090,3399
FMERDC0020,AMBULANCE W / NURSE & DOCTOR (MADINAH TO JEDDAH),300,330
FMERDC0021,AMBULANCE W / NURSE (MADINAH TO ALOLA),500,550
FMERDC0022,AMBULANCE W / NURSE & DOCTOR (MADINAH TO ALOLA),400,440
FMERDC0023,AMBULANCE W / NURSE (MADINAH TO AL QASIM),4200,4620
FMERDC0024,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL QASIM),6200,6820
FMERDC0025,AMBULANCE W / NURSE (MADINAH TO MAKKAH),1800,1980
FMERDC0026,AMBULANCE W / NURSE & DOCTOR (MADINAH TO MAKKAH),2800,3080
FMERDC0027,AMBULANCE W / NURSE  (MADINAH TO TABUK),7320,8052
FMERDC0028,AMBULANCE W / NURSE & DOCTOR (MADINAH TO TABUK),8450,9295
FMERDC0029,AMBULANCE W / NURSE  (MADINAH TO RIYADH),7880,8668
FMERDC0030,AMBULANCE W / NURSE & DOCTOR (MADINAH TO RIYADH),9570,10527
FMERDD0001,P.O.P. TO SIMPLE FRACTURE,110,121
FMERDD0002,PLASTER STRAPPING (TOE FINGER),90,99
FMERDD0003,SKIN TRACTION W/ THOMAS SPLINT,445,490
FMERDD0004,SPLINT FOR FRACTURE,90,99
FMERDD0005,TENSOPLAST STRAPPING,90,99
FMERDD0006,THOMAS SPLINT RENTAL PER WEEK  PLUS DEPOSIT,140,154
FMERDE0001,RECOVERY/OBSERVATION PER (HR),55,61
FMERDV0001,MENINGITIS VACCINE,40,44
FMERDV0002,MEMINGITIS VACCINE (ARAMCO),25,28
FMERDV0003,HEPATITIS B VACCINE IN ER,80,88
FMERDV0004,PROFESSOR HOME VISIT,2000,2200
FMERDV0005,COMSULTATION,5,6
FMPDS-0000,PAED. SURGERY CONSULTATION IP,100,110
FMERDV0007,VARILRIX (CHICKEN POX) VACCINE,140,154
FMERDV0008,HEPATITIS A VACCINE,90,99
FMPDT-0000,PAEDIATRIC CONSULTATION(IN-PT),100,110
FMICU-0001,WARMING BLANKET PER HOUR,30,33
FMICU-0002,DEFIBRILLATOR,210,231
FMICU-0003,PACEMAKER PER DAY,525,578
FMICU-0004,INTERCOSTAL TUBE INSERTION,315,347
FMICU-0005,PORTABLE VENTILATOR (OXYGEN)   PER HOUR,55,61
FMICU-0006,EPIDURAL INSERTION,210,231
FMICU-0007,ECG PORTABLE,120,132
FMICU-0008,AIR MATRESS PER DAY,55,61
FMICU-0009,LUMBAR PUNCTURE,210,231
FMICU-0010,ABDOMINAL TAPPING,210,231
FMICU-0011,CHANGE OF TRACHEOTOMY TUBE,210,231
FMICU-0012,MULTI PARAMETER,200,220
FMICU-0013,TWIN PUMP AMBU BAG /USE,25,28
FMICU-0014,USE OF BLOOD WARMER,50,55
FMICU-0015,CENTRAL LINE INSERTION.,1000,1100
FMICU-0016,DOUBLE LUMEN INSERTION,1200,1320
FMICU-0017,INTUBATION,500,550
FMICU-0018,EXTUBATION,200,220
FMICU-0019,NGT INSERTION,100,110
FMICU-0020,ARTERIAL LINE INSERTION,200,220
FMICU-0021,FOLY CATHETER INSERTION,100,110
FMICU-0022,PEG INSERTION,2000,2200
FMICU-0023,INJECTION OF MUSCLE TRIGGER POINTS,500,550
FMICU-0024,INJECTION OF BOTOX,500,550
FMICU-0025,INTERCOSTAL NERVE BLOCK,1000,1100
FMICU-0026,FACET INJECTION,1000,1100
FMICU-0027,CELIAC PLEXUS BLOCK,2000,2200
FMICU-0028,STELLATE GANGLION BLOCK.,2000,2200
FMICU-0029,LUMBAR SYMPATHETIC BLOCK.,2000,2200
FMICU-0030,SUPERIOR HYPOGASTRIC BLOCK,2000,2200
FMICU-0031,GANGLION IMPAR BLOCK,2000,2200
FMICU-0032,TRANSFORMINAL BLOCK,1000,1100
FMICU-0033,SACROILIAC INJECTION,1000,1100
FMICU-0034,EPIDURAL NEUROPLASTY,1000,1100
FMICU-0035,DORSAL RHIZOTOMY,1000,1100
FMINT-0005,PERCUTANEOUS LIVER BIOPSY,445,490
FMINT-0006,ABDOMINAL PARACENTESIS,280,308
FMINT-0007,THORACOCENTESIS,390,429
FMINT-0008,PERCUTANEOUS KIDNEY BIOPSY,445,490
FMINT-0026,PULMONARY FUNCTION TEST,245,270
FMINT-0027,BENCARD SENSITIVITY TEST,365,402
FMINT-0029,ASTHMA CHECKUP - 1ST VISIT,675,743
FMINT-0031,PLEURAL BIOPSY,280,308
FMINT-0032,ADD'L FEE FOR COM.OR OVER 3HRS,555,611
FMINT-0033,CONT.SUBCUTA.INSULIN INFU.PUMP,555,611
FMINT-0045,GENERAL CHECK UP I,1170,1287
FMINT-0046,GEN. CHECK UP II(MALES&FEMALES,1870,2057
FMINT-0047,GEN. CHECK UP III(FEMALES ONLY,2490,2739
FMINT-0048,GEN.CHECK UP IV(W/SUSPECTED LIVER DISEASE),1560,1716
FMINT-0049,GEN. CHECK UP IV(W/DYSPEPSIA   UPPER GUT AND UPPER ABDOMEN.,1560,1716
FMINT-0050,GEN. CHECK UP IV W/DYSPEPSIA   LOWER GUT AND LOWER ABDOMEN,1560,1716
FMINT-0051,GEN. CHECK UP IV W/DYSPEPSIA   WHOLE GUT AND WHOLE ABDOMEN,2340,2574
FMINT-0052,INHANCED RESPIROMETRY,210,231
FMINT-0053,M V V,55,61
FMINT-0054,T L C + R V,210,231
FMINT-0055,FLOW VOLUME LOOP,160,176
FMINT-0056,DIFFUSION,265,292
FMINT-0057,COMPLIANCE,315,347
FMINT-0058,AIRWAY RESISTENCE & CONDUCTANE,210,231
FMINT-0059,THORACIC GAS VOLUME,210,231
FMINT-0060,PROVOCATION CHALLENGE,525,578
FMINT-0061,SINGLE BREATH O2,160,176
FMINT-0062,MAX RESPIRATORY PRESSURE,105,116
FMINT-0065,DIABETIC FOOT CARE,55,61
FMINT-0066,FUNDUS PICTURE,55,61
FMINT-0067,DOOPLER EXAMINATION,25,28
FMINT-0068,BLOOD SUGAR TEST,40,44
FMINT-0069,URINE TEST,25,28
FMINT-0070,DIABETIC EDU. PROG.(4 SESSION),210,231
FMINT-0071,DIABETIC EDU. PRG. (1 SESSION),55,61
FMINT-0072,OXYGEN INHALATION,35,39
FMINT-0073,SKIN TEST FOR DRUG,5,6
FMINT-0074,PEACK FLOW METER,10,11
FMINT-0075,NEBULIZER A/C VENTOLIN,50,55
FMINT-0076,PULSE OXYMETER,30,33
FMINT-0083,UNIT A (CHECK-UP),500,550
FMINT-0084,UNIT B (CHECK-UP),750,825
FMINT-0085,UNIT C (CHECK-UP),700,770
FMINT-0087,STRESS TRANOESPHAGEAL ECHO,1200,1320
FMINT-0088,ECHO FULL STUDY,1040,1144
FMINT-0089,ECHO REPEAT,580,638
FMINT-0090,ECHO FOLLOW UP,440,484
FMINT-0091,DIABETIC LABCHECK UP I,600,660
FMINT-0095,FOLLOW-UP DIABETES WITH PREGNANCY,395,435
FMINT-0096,CHECKUP FOR OMORA AND HAJJ,350,385
FMINT-0097,RETIREES GEN. CHECK UP,460,506
FMINT-0098,DIETICIAN SERVICE,50,55
FMINT-0099,INSULIN INJECTION IN THE CLINI C,5,6
FMINT-0100,GENERAL CHECKUP FOR DIABETES,560,616
FMINT-0101,HEALTH CHECKUP BASIC (MALE),1380,1518
FMINT-0102,HEALTH CHECKUP STANDARD (MALE),1980,2178
FMINT-0103,HEALTH CHECKUP ADVANCE (MALE),3370,3707
FMINT-0104,HEALTH CHECKUP BASIC (FEMALE),1380,1518
FMINT-0105,HEALTH CHECKUP STANDARD (FEMALE),2380,2618
FMINT-0106,HEALTH CHECKUP ADVANCE (FEMALE),3960,4356
FMINT-0108,IQAMA FOOD HANDLERS CHECK UP,680,748
FMURO-0000,UROLOGY CONSULTATION - IN-PT.,100,110
FMINT-1000,DAY CARE SUPERVISION,185,204
FMINT-1001,DOCTOR'S DAYCARE SUPERVISION,55,61
FMINT-1002,DIABETIC EDUCATION,50,55
FMIVF-0001,ARTIFICIAL INSEMINATION OF HUSBAND (AIH),555,611
FMIVF-0002,PERITONEAL OOCYTE AND SPERM TRANSFER (POST),4410,4851
FMIVF-0003,PERITONEAL OOCYTE AND SPERM POST-A PACKAGE DEAL,1105,1216
FMIVF-0004,PERITONEAL OOCYTE AND SPERM POST-B- PACKAGE DEAL,3310,3641
FMIVF-0005,INVINTRO FERTILIZATION BY U/S  DIRECTED OOCYTE RETRIEVAL,7170,7887
FMIVF-0006,IVF-A-PACKAGE DEAL (UDOR),1105,1216
FMIVF-0007,IVF-B-PACKAGE DEAL (UDOR),6065,6672
FMIVF-0008,INVINTRO FERTILIZATION BY LAP- ROSCOPIC OOCYTE RETRIEVAL,8820,9702
FMIVF-0009,IVF-A-PACKAGE DEAL (LAPAROSCO- PIC ),1105,1216
FMIVF-0010,IVF-B-PACKAGE DEAL (LAPAROSCO- PIC ),7720,8492
FMIVF-0011,REPEATED IVF BY LAPAROSCOPIC   OOCYTE RETRIEVAL,7720,8492
FMIVF-0012,REPEATED IVF-A-PACKAGE DEAL (LAP.),1105,1216
FMIVF-0013,REPEATED IVF-B-PACKAGE DEAL (LAP.),6615,7277
FMIVF-0014,GAMETE INTRA FALLOPIAN TRANS-  FER ( (GIFT),8270,9097
FMIVF-0015,GIFT-A-PACKAGE DEAL,1105,1216
FMIVF-0016,GIFT-B-PACKAGE DEAL,7170,7887
FMIVF-0017,ZYGOTE INTRA FALLOPIAN TRANS-  FER (ZIFT)\,8820,9702
FMIVF-0018,ZIFT-A-PACKAGE DEAL,1105,1216
FMIVF-0019,ZIFT-B-PACKAGE DEAL,7720,8492
FMIVF-0020,IVF-GIFT COMBINED,9375,10313
FMIVF-0021,IVF-GIFT-A-PACKAGE DEAL,1105,1216
FMIVF-0022,IVF-GIFT-B-PACKAGE DEAL,8270,9097
FMIVF-0023,SEMEN ANALYSIS,135,149
FMIVF-0024,SEMEN ASSESMENT,330,363
FMIVF-0025,SPERM ANTIBODIES,500,550
FMIVF-0026,POST COITAL TEST (PCT),135,149
FMIVF-0027,X-Y SEPARATION,885,974
FMIVF-0028,SPERM-MUCOUS PENETRATION TEST,165,182
FMIVF-0029,VAGINAL ULTRASOUND,220,242
FMIVF-0030,VAGINAL ULTRA SOUND PACK. DEAL (4-5 U/S VAGINAL SCANS),555,611
FMIVF-0031,ABDOMINAL ULTRASOUND,165,182
FMIVF-0032,LAPAROSCOPIC EXAM FOR INFERTI- LITY,1655,1821
FMIVF-0033,LAPAROSCOPIC OPERATION FOR INFERTILITY,2760,3036
FMIVF-0034,HYSTEROSCOPIC EXAM FOR INFERTILITY,1105,1216
FMIVF-0035,HYSTEROSCOPIC OPERATION FOR INFERTILITY,2760,3036
FMIVF-0036,I.V.F. CHECK-UP,245,270
FMIVF-0037,ICSI PROGRAM,7000,7700
FMIVF-0038,INTRA UTERINE INSIMINATION WITH ULTRASOUND MONITOR,1000,1100
FMINT-0500,SECOND OPINION CONSULTATION,105,116
FMLAB-1011,ACID PHOSPHATASE-STAIN,160,176
FMLAB-1013,ANTI-BODY SCREENING,500,550
FMLAB-1014,ANTI-THROMBIN III,150,165
FMLAB-1015,BL.GR. + RH ABO,60,66
FMLAB-1016,BLEEDING TIME (B.T) TEMPLATE,50,55
FMLAB-1017,BLOOD FILM FOR FILARIA,50,55
FMLAB-1018,BLOOD FILM MALARIA,50,55
FMLAB-1019,BONE MARROW EXAMINATION,400,440
FMLAB-1020,BONE MARROW SAMPLING PROCEDURE,275,303
FMLAB-1021,BONE MARROW TREPHINE SAMPLING,500,550
FMLAB-1022,COMPLETE BLOOD COUNT,100,110
FMLAB-1023,CBC WITH AUTOMATED DIFF.,110,121
FMLAB-1025,CLOTTING FACTOR 5,220,242
FMLAB-1026,CLOTTING FACTOR 7,200,220
FMLAB-1027,CLOTTING FACTOR 8,200,220
FMLAB-1028,CLOTTING FACTOR 9,250,275
FMLAB-1029,CLOTTING FACTOR 10,200,220
FMLAB-1030,CLOTTING FACTOR 11,220,242
FMLAB-1031,CLOTTING FACTOR 12,250,275
FMLAB-1032,COLD AGGLUTININS TITRE,100,110
FMLAB-1033,COOMBS TEST-DIRECT,60,66
FMLAB-1034,COOMBS TEST-INDIRECT,60,66
FMLAB-1035,CROSS MATCHING,100,110
FMLAB-1038,ESR,40,44
FMLAB-1039,ESTERASE  STAIN,245,270
FMLAB-1040,BLOOD FILM FOR LEISHMANIA,60,66
FMLAB-1042,FIBRINOGEN,150,165
FMLAB-1044,HB.,60,66
FMLAB-1045,HCT.,45,50
FMLAB-1046,IRON STAIN,160,176
FMLAB-1047,NAPHTHOL ACETATE ESTERASE,160,176
FMLAB-1048,NEUTROPHIL ALKALINE PHOSPHATAS E ALP,160,176
FMLAB-1049,NON-SPECIFIC ESTARASE,160,176
FMLAB-1051,OSMOTIC FRAGILITY TEST (QUANTI TATIVE),320,352
FMLAB-1054,PARTIAL THROMBOPLASTIN TIME (PTT),70,77
FMLAB-1055,PERIODIC ACID-SCHIFF (PAS) STAIN,245,270
FMLAB-1056,PEROXIDASE  STAIN,245,270
FMLAB-1058,PLATELET COUNT,85,94
FMLAB-1060,"POST OP HEMOSTATIC PROFILE (PT,PTT,FIBRINOGEN)",325,358
FMLAB-1063,PROTEIN C,380,418
FMLAB-1064,PROTEIN S,380,418
FMLAB-1065,PROTHROMBIN TIME (P.T) W/ INR,70,77
FMLAB-1066,RETICULOCYTE COUNT,40,44
