Internal Code,Item Name,Internal Code.1,Service Type,Department,Price (Gross),Disc,LOS,NPHIES Code,NPHIES Short Name,Comment,Department.1,ServiceCode,Service Description,LOS.1,Type,NPHIES Code (Hyphenated )2,Unified price,Internal Code.2,Item Name.1,Price,Internal Code.3,Item Name.2,Internal Code.4,Item Name.3,Internal Code.5,Item Name.4,Price.1,Similarity
FMNEU-3436,CRANIAL VAULT REMODELING FOR CRANIOSYNOSTOIS,FMNEU-3436,PKG,NEUROSURGERY,95000.0,,4,45785-03-00,Total cranial vault reconstruction,,consumable,19144,BANDAGE ELASTIC LENKELAST 15CM #50419464,0,consumable,99999,20.02337,,,,FMLAB-1902,Anti MOG  in serum,FMLAB-1902,Anti MOG  in serum,,,,0.0
FMNEU-3479,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION - TWO LEVELS W/OUT IMPLANT,FMNEU-3479,PKG,NEUROSURGERY,95000.0,,2,40348-00-00,Decomp thoracic spin cord v thoracotomy,,consumable,19159,BANDAGE DELTA ROLL ORTHO UNDERCAST 15CMX2.75M HARTMANN #9320501,0,consumable,58963,15.24594,,,,FMLAB-1903,Anti MOG CSF,FMLAB-1903,Anti MOG CSF,,,,0.0
FMNEU-3481,ANTEROLATERAL THORACO OR LUMBER APPROACH WITH STABILIZATION – ONE LEVEL W/OUT IMPLANT,FMNEU-3481,PKG,NEUROSURGERY,95000.0,,2,40351-00-00,Ant decomp thoracolumbar spinal cord,,consumable,19192,SUTURE MERSILK 0  75CM CURVD 30MM ETHICON #W334H/D&G 1123-61,0,consumable,34601,35.86275,,,,FMLAB-9412,CARDIAC MUSCLE ABS,FMLAB-9412,CARDIAC MUSCLE ABS,,,,0.0
FMNEU-3494,CERVICAL LAMINOPLASTY - MORE THAN 3 LEVELS W/OUT IMPLANT,FMNEU-3494,PKG,NEUROSURGERY,95000.0,,2,90011-01-00,Other proc on spinal canal/cord structures,,consumable,19194,SUTURE SILK 2-0 ETHICON #W667H/CE3732,0,consumable,99999,41.83988,,,,FMLAB-9439,COLON EPITHELIUM ABS,FMLAB-9439,COLON EPITHELIUM ABS,,,,0.0
FMNEU-3411,CORPUS CALLOSOTOMY FOR EPILEPSY SURGERY,FMNEU-3411,PKG,NEUROSURGERY,95000.0,,3,40700-00-00,Anterior section of corpus callosum,,consumable,19229,"TAPE DURAPORE DERMICEL 3""X10YDS DAMAD #876058/4/ 3M#1538-3",0,consumable,16866,147.6682,,,,FMENTL0027,SPEECH ASSESTMENT,FMENTL0027,SPEECH ASSESTMENT,,,,0.0
FMNEU-3327,Craniotomy and excision of Clival Tumour,FMNEU-3327,PKG,NEUROSURGERY,95000.0,,4 INCLUDING ICU ,39640-00-00,R/O lesion inv ant cranial fossa,,consumable,19234,SUTURE PROLENE 3/0 ETHICON #W621/D&G 3490-41,0,consumable,99999,72.90598,,,,FMENTL0023,Delayed Speech & Language Development,FMENTL0023,Delayed Speech & Language Development,,,,0.0
FMNEU-3406,Extracranial to intracranial bypass with radial artery graft,FMNEU-3406,PKG,NEUROSURGERY,95000.0,,3,90006-00-00,Extrcran to intrcran byps w rdl art gft,,consumable,19248,MESH PROLENE 30X30CM 1 ETHICON #PML1,0,consumable,99999,1690.673,,,,FMPDT-1011,"Vaccine At Birth (Bcg , Hepatitis B)",FMPDT-1011,"Vaccine At Birth (Bcg , Hepatitis B)",,,,0.0
FMNEU-3405,Extracranial to intracranial bypass with saphenous vein graft,FMNEU-3405,PKG,NEUROSURGERY,95000.0,,3,39821-00-00,Extrcran to intrcran byps w saph graft,,consumable,19273,SET ADMN DOSIFIX PEDIA 150ML SPAIN #403701/4 /DFP-87-F,0,consumable,47534,28.39134,,,,FMXRAY1909,I.V.F. FOLLOW -UP,FMXRAY1909,I.V.F. FOLLOW -UP,,,,0.0
FMNEU-3434,FRONTO-ORBITAL ADVANCEMENT FOR CRANIOSYNOSTOIS,FMNEU-3434,PKG,NEUROSURGERY,95000.0,,4,45593-02-01,Reconst orbital cavity w/ bone graft  uni,,consumable,19279,"CATHETER SUCTION 16CHX22"" W/CONTROL BD #02-3069",0,consumable,16779,2.988563,,,,FMDER-0978,Excimer Laser small area 15 Sessions ,FMDER-0978,Excimer Laser small area 15 Sessions ,,,,0.0
FMNEU-3524,LATERAL OR POSTEROLATERAL APPROACH AND THORACIC DISCECTOMY - 3 LEVELS,FMNEU-3524,PKG,NEUROSURGERY,95000.0,,2,40300-01-00,Discectomy  >= 2 levels,,consumable,19281,AIRWAY GUEDEL SIZE 02 ADULT GREEN 70MM STER.DISP.#1-1504-70,0,consumable,42424,11.35654,,,,FMDNTX0009 , Moderate Use of Microscope during dental procedure,FMDNTX0009 , Moderate Use of Microscope during dental procedure,,,,0.0
FMNEU-3442,MICRO VASCULAR DECOMPRESSION - OTHER CRANIAL NERVES,FMNEU-3442,PKG,NEUROSURGERY,95000.0,,2,39112-00-00,Intracranial decomp of other cranial nrv,,consumable,19303,TUBE STOMACH CH16 W/MANDRIN #15-5712/ST-2416,0,consumable,59038,14.94281,,,,FMICU-0018,Sequential Compression Device,FMICU-0018,Sequential Compression Device,,,,0.0
FMNEU-3416,MICROSCOPIC BRAIN EXCISION OF EPILEPTIC FOCUS,FMNEU-3416,PKG,NEUROSURGERY,95000.0,,2,39700-00-00,Excision of lesion of skull,,consumable,19324,MASK OXYGEN PEDIA.W/1.8MTR TUBING/JM-Y1002M/INTER#1196/1043,0,consumable,35173,10.75883,,,,FMDER-1033,PRP 1SESSION FACE&HAIR,FMDER-1033,PRP 1SESSION FACE&HAIR,,,,0.0
FMNEU-3440,MICRVASCULAR DECOMPRESSION FOR HEMIFACIAL SPASM,FMNEU-3440,PKG,NEUROSURGERY,95000.0,,2,41569-00-00,Intracranial decomp of facial nerve,,consumable,19362,PROLENE MESH SIZE 15X15CM,0,consumable,99999,838.3788,,,,FMLAB-6771,HOMA-IR (INSULIN RESISTANCE) TEST,FMLAB-6771,HOMA-IR (INSULIN RESISTANCE) TEST,,,,0.0
FMNEU-3441,MICRVASCULAR DECOMPRESSION OF TRIGEMINAL NERVE,FMNEU-3441,PKG,NEUROSURGERY,95000.0,,2,90016-01-00,Other proc on nerves,,consumable,19371,SUTURE SILK 0 ETHICON #W782H,0,consumable,99999,35.86275,,,,P15MISSB1+,MISS BIBI NEBULZER (PIC SOLUTION) MACHINE X 1,P15MISSB1+,MISS BIBI NEBULZER (PIC SOLUTION) MACHINE X 1,,,,0.0
FMNEU-3439,OPTIC NERVE SHEETH FENESTRATION,FMNEU-3439,PKG,NEUROSURGERY,95000.0,,1,42545-00-00,Orbitomy decomp orbit fenest >= 2 walls,,consumable,19434,SUTURE MONOCRYL PLUS 4/0 LENGTH 45CM. W/NDL ETHICON # MCP496H,0,consumable,99999,107.5883,,,,FMDER-0511,Scarlet+ Mesotherapy,FMDER-0511,Scarlet+ Mesotherapy,,,,0.0
FMNEU-3414,PARTIAL LOBECTOMY FOR EPILEPSY,FMNEU-3414,PKG,NEUROSURGERY,95000.0,,3 INCLUDING ICU,40703-02-00,Partial lobectomy of brain,,consumable,19489,URINAL MALE PLASTIC DISP. BAXTER #13554-0030/JM-U3015,0,consumable,99999,23.9085,,,,FMXRAY1709,X-RAY CALCANEUS AP & LAT. & AXIAL (BOTH SIDES),FMXRAY1709,X-RAY CALCANEUS AP & LAT. & AXIAL (BOTH SIDES),,,,0.0
FMNEU-3410,TEMPORAL LOBECTOMY FOR EPILEPSY SURGERY,FMNEU-3410,PKG,NEUROSURGERY,95000.0,,3 days including ICU ,40703-02-00,Partial lobectomy of brain,,consumable,19495,COVER STERILE F/CAMERA 13X250CM KARL STORZ #538X/31401,0,consumable,17977,86.19163,,,,FMLAB-0900,PT+PTT+MIXED STUDY,FMLAB-0900,PT+PTT+MIXED STUDY,,,,0.0
FMNEU-3527,THORACIC DISC EXCISION TRANSPEDICULAR - 3 LEVELS,FMNEU-3527,PKG,NEUROSURGERY,95000.0,,2,48691-01-00,Ins intervertebral disc prosth >= 2 lvl,,consumable,19609,SHROUD KIT ADULT DISP,0,consumable,99999,358.6275,,,,FMLAB-1191,ANTI RI (Anti-neuronal nuclear autoantibody type 2 ) ANNA 2 - SERUM/CSF,FMLAB-1191,ANTI RI (Anti-neuronal nuclear autoantibody type 2 ) ANNA 2 - SERUM/CSF,,,,0.0
FMNEU-3381,TRANS-SPHENOIDAL EXCISION OF SELLAR TUMOUR,FMNEU-3381,PKG,NEUROSURGERY,95000.0,,4,90007-00-00,Oth dx proc skull  brain & cereb menings,,consumable,19626,GOWN SURGICAL LARGE STERILE DISPOSIBLE # 3M-7692,0,consumable,99999,50.80556,,,,FMLAB-1192,(Anti-neuronal nuclear autoantibody type 3 )ANNA 3 - SERUM/CSF,FMLAB-1192,(Anti-neuronal nuclear autoantibody type 3 )ANNA 3 - SERUM/CSF,,,,0.0
FMNEU-3389,CRANIOTOMY EXCISION OF SKULL BASE TUMOUR,FMNEU-3389,PKG,NEUROSURGERY,95000.0,,4 INCLUDING ICU,99999-99-99,Unlist ambulatory,,consumable,19627,GOWN SURGEON X-LARGE STERILE,0,consumable,99999,49.99968,,,,FMPTD-1065,Intermittent pneumatic compression device (Six sessions),FMPTD-1065,Intermittent pneumatic compression device (Six sessions),,,,0.0
FMNEU-3388,CRANIOTOMY EXCISION OF PARASAGITTAL TUMOUR,FMNEU-3388,PKG,NEUROSURGERY,93000.0,,4,90007-02-00,Other proc on brain & cerebral meninges,,consumable,19632,GOWN SURGEON XXL/XL BARRIER.,0,consumable,99999,47.817,,,,FMLAB-8228,METHADONE DRUG TEST,FMLAB-8228,METHADONE DRUG TEST,,,,0.0
FMNEU-3393,ENDOSCOPIC EXCISION OF INTRA-VENTRICULAR TUMOUR,FMNEU-3393,PKG,NEUROSURGERY,93000.0,,2,39712-03-00,R/O  intraventricular lesion,,consumable,19659,SODIUM CHLORIDE 0.9% 1000ML WITH SCREW CAP FOR IRRIGATION.,0,consumable,99999,45.50584,,,,FMLAB-1705,ASPERGILLUS ANTIGEN (GALACTOMANNAN),FMLAB-1705,ASPERGILLUS ANTIGEN (GALACTOMANNAN),,,,0.0
FMCAT-0042 ,Diagnostic EP study and ablation of Slow pathways (conventional kit) ,FMCAT-0042 ,PKG,CARDIOLOGY,92500.0,,4,38209-00-00,Card electrophysiological study <=3 cath,,consumable,19664,GLYCINE 1.5% SOL. IRRIGATION 2000ML #FBG-E-0507-2000,0,consumable,37207,119.5425,,,,FMLAB-9421,CHLORDIAZEPOXIDE,FMLAB-9421,CHLORDIAZEPOXIDE,,,,0.0
FMNEU-3578,POSTERIOR FUSION AND STABILIZATION WITH OUT IMPLANT - THREE LEVELS,FMNEU-3578,PKG,NEUROSURGERY,92500.0,,3,90011-02-00,Oth repair spinal canal/cord structures,,consumable,19679,SUTURE VICRYL 4/0 ETHICON #W9067,0,consumable,99999,56.82873,,,,FMLAB-9173,DENGUE FEVER VIRAL CULTURE,FMLAB-9173,DENGUE FEVER VIRAL CULTURE,,,,0.0
FMNEU-3593,REVISION SPINAL FIXATION + ADJUSTMENT OF SPINAL IMPLANT (CER/TH/LUM)-THREE LEVEL,FMNEU-3593,PKG,NEUROSURGERY,92500.0,,3,90011-02-00,Oth repair spinal canal/cord structures,,consumable,19764,SUCTION TUBE BOTH SIDES 7.0MM W/CON#68.30.30/TUB#8888-283044,0,consumable,99999,29.64244,,,,FMLAB-7062,ER PROFILE (IV): PT+PTT,FMLAB-7062,ER PROFILE (IV): PT+PTT,,,,0.0
FMNEU-3461,SELECTIVE DORSAL ROOT RHIZOTOMY - MORE THAN THREE LEVELS,FMNEU-3461,PKG,NEUROSURGERY,92500.0,,1,90011-06-00,Other exc proc on spinal canal/cord str,,consumable,19806,DRAIN CHEST 2 BTL.SET STRL.DKNTL#A-8000/COVIDIEN#8888-571299,0,consumable,37475,1070.134,,,,FMLAB-5090,G6PD (QUALITATIVE),FMLAB-5090,G6PD (QUALITATIVE),,,,0.0
FMSUR-3351,"Obliteration of cerebral aneurysms by coils – Medium aneurysms (5 to 10 mm) including the basic microcatheter, microguide wire and the first coil",FMSUR-3351,PKG,SURGERY,92400.0,,3,35412-00-00,Endovas occl cerebral aneur / AV malform,,consumable,19827,AIRWAY NASOPHARYNGEAL SIZE 8 PORTEX #100/210/080,0,consumable,42422,143.451,,,,FMLABM0156,GABA-B-RECEPTOR 1 ABS (SERUM),FMLABM0156,GABA-B-RECEPTOR 1 ABS (SERUM),,,,0.0
FMNEU-3391,CRANIOTOMY EXCISION OF DEEP CEREBELLAR TUMOUR,FMNEU-3391,PKG,NEUROSURGERY,92000.0,,4 including ICU ,90007-02-00,Other proc on brain & cerebral meninges,,consumable,19859,TRANSDUCER DOUBLE KIT DISP. OHMEDA BD #071-682032,0,consumable,14119,747.1406,,,,FMINT-0056,"LUNG VOLUME ""OR"" DIFFUSION CAPACITY",FMINT-0056,"LUNG VOLUME ""OR"" DIFFUSION CAPACITY",,,,0.0
FMNEU-3387,CRANIOTOMY EXCISION OF DEEP CEREBRAL TUMOUR,FMNEU-3387,PKG,NEUROSURGERY,92000.0,,4 including ICU ,90007-02-00,Other proc on brain & cerebral meninges,,consumable,19934,BALLOON MAVERICK 1.5X15 TM,0,consumable,47732,2647.013,,,,FMLABM0115,NMDA RECEPTOR ABS (CSF),FMLABM0115,NMDA RECEPTOR ABS (CSF),,,,0.0
FMNEU-3412,CORTICAL RESECTION FOR EPILESPY,FMNEU-3412,PKG,NEUROSURGERY,90000.0,,2,40703-00-00,Corticectomy of brain,,consumable,19943,BALLOON MAVERICK 2.0X20MM BOSTON #302752020,0,consumable,47732,2647.013,,,,FMLAB-9104,OVARIAN ABS.,FMLAB-9104,OVARIAN ABS.,,,,0.0
FMNEU-3523,LATERAL OR POSTEROLATERAL APPROACH AND THORACIC DISCECTOMY - 2 LEVELS,FMNEU-3523,PKG,NEUROSURGERY,90000.0,,3,40300-01-00,Discectomy  >= 2 levels,,consumable,19947,CATHETER MALE URI DRAIN CONTROL HPD X-LARGE SMMP 705548,0,consumable,34924,26.11474,,,,FMPDT-0027,OXYGEN APPLICATION W/ FUNNEL FOR 24 HRS INCLUDING O2,FMPDT-0027,OXYGEN APPLICATION W/ FUNNEL FOR 24 HRS INCLUDING O2,,,,0.0
FMNEU-3526,THORACIC DISC EXCISION TRANSPEDICULAR - 2 LEVELS,FMNEU-3526,PKG,NEUROSURGERY,90000.0,,2,48691-01-00,Ins intervertebral disc prosth >= 2 lvl,,consumable,19975,"CONNECTOR STRAIGHT 3/8x3/8"" GISH #EC2130S/CP7161",0,consumable,60538,119.5425,,,,FMLABM0136,THIOPURINE METHYL TRANSFERASE ENZYME ACTIVITY (TPMT),FMLABM0136,THIOPURINE METHYL TRANSFERASE ENZYME ACTIVITY (TPMT),,,,0.0
FMNEU-3322,Anterolateral Thoraco – Lumber approach – Single level with fusion,FMNEU-3322,PKG,NEUROSURGERY,89000.0,,2,90011-01-00,Other proc on spinal canal/cord structures,,consumable,19977,CONNECTOR STRAIGHT 1/2 X 1/2 # EC2135S,0,consumable,60538,119.5425,,,,FMDER-2003,Laser Hair Removal Full body Male Without Bikini,FMDER-2003,Laser Hair Removal Full body Male Without Bikini,,,,0.0
FMCAR-3006,CABG & Double Mechanical Valve,FMCAR-3006,PKG,Cardiology,88850.0,,7,38497-04-00,Coron art byps using 1 other venous graft,,consumable,20033,STENT URETERAL DOUBLE PIGTAIL 4.5/26CM,0,consumable,99999,1195.425,,,,MS-S-001457,SYRINGE INSULIN RESERVOIR 3ML F/PARADIGM MEDTRONIC#MMT-332A,MS-S-001457,SYRINGE INSULIN RESERVOIR 3ML F/PARADIGM MEDTRONIC#MMT-332A,,,,0.0
FMNEU-3476,ANTERIOR CERVICAL CORPECTOMY AND STABILIZATION - TWO LEVELS W/OUT IMPLANT,FMNEU-3476,PKG,NEUROSURGERY,88000.0,,2,40335-00-00,Decomp cervical spin cord w fus >= 2 lvl,,consumable,20086,STENT DRUG ELUTING 2.75 X 26 MM,0,consumable,56285,10316.52,,,,FMONC-0073,Half Body 6-8-Follow Up,FMONC-0073,Half Body 6-8-Follow Up,,,,0.0
FMNEU-3478,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION - ONE LEVEL W/OUT IMPLANT,FMNEU-3478,PKG,NEUROSURGERY,88000.0,,2,40348-00-00,Decomp thoracic spin cord v thoracotomy,,consumable,20109,MASK OXYGEN W/CONNECTOR ADULT #8110/1115/OCTURNO #1041/3031,0,consumable,58810,10.75883,,,,P15HYGRO1+,BLOOD PRESSURE PIC CLEAR RAPID DEVICE .,P15HYGRO1+,BLOOD PRESSURE PIC CLEAR RAPID DEVICE .,,,,0.0
FMCAT-0050,Biventricular ICD implantation ,FMCAT-0050,PKG,CARDIOLOGY,88000.0,,5,38368-00-00,Ins perm trnsven elec L ventrl pcmkr,,consumable,20110,ELECTRODE ECG PREGELLED ADULT STERILE DISP 3M,0,consumable,62250,2.595286,,,,P15WATCH1+,BLOOD PRESSURE MONITOR-BASIC .,P15WATCH1+,BLOOD PRESSURE MONITOR-BASIC .,,,,0.0
FMNEU-3485,POSTERIOLATERAL THORACIC OR LUMBAR CORPECTOMY - TWO LEVELS - W/OUT IMPLANT,FMNEU-3485,PKG,NEUROSURGERY,88000.0,,2,40351-00-00,Ant decomp thoracolumbar spinal cord,,consumable,20111,ELECTRODE ECG PREGELLED PEDIATRIC STERILE DISP BIPOLAR#716,0,consumable,42489,2.689706,,,,FMPSD-1055,DEBRIDEMENT OF DEVITALISED TISSUES (SMALL),FMPSD-1055,DEBRIDEMENT OF DEVITALISED TISSUES (SMALL),,,,0.0
FMNEU-3451,INSERTION OF VAGUS NERVE STIMULATOR (VNS) - (STIMULATOR ELECTRODES + BATTERY + IMPLANTS NOT INCLUDED),FMNEU-3451,PKG,NEUROSURGERY,87500.0,,2,18244-00-01,Admin anaes agent vagus nerve  uni,,consumable,20158,CANNULA NASAL ADULT OXYGEN AIRLIFE SALTER LAB#1600/INTR1161,0,consumable,99999,9.5634,,,,FMXRAY-1523,TC-99 M PERTECHNETATE MICTURA,FMXRAY-1523,TC-99 M PERTECHNETATE MICTURA,,,,0.0
FMNEU-3599,PERCUTANEOUS BALLOON KYPHOPLASTY,FMNEU-3599,PKG,NEUROSURGERY,87500.0,,2,90011-02-00,Oth repair spinal canal/cord structures,,consumable,20161,"SYRINGE TUBERCULIN 1ML 27G/29GX0.5"" BD #9623/601036",0,consumable,63096,1.74293,,,,FMPDT-0038,Measles Vaccination Including Consultation,FMPDT-0038,Measles Vaccination Including Consultation,,,,0.0
FMNEU-3572,PERCUTANEOUS FIXATION WITHOUT SCREW WITH OUT IMPLANT - ONE LEVEL,FMNEU-3572,PKG,NEUROSURGERY,87500.0,,2,90011-02-00,Oth repair spinal canal/cord structures,,consumable,20174,"NEEDLE SPINAL 22Gx3.5"" STERILE BD #5181",0,consumable,46096,37.92306,,,,FMPDT-0128,Hepatitis-B Vaccination And Consultation,FMPDT-0128,Hepatitis-B Vaccination And Consultation,,,,0.0
FMNEU-3580,POSTERIOR OR TRANSFORAMINAL LUMBAR INTERBODY FUSION - ONE LEVEL - W/OUT IMPLANT,FMNEU-3580,PKG,NEUROSURGERY,87500.0,,2,90011-02-00,Oth repair spinal canal/cord structures,,consumable,20177,BLOOD ADMINISTRATION TRANSFU.SET W/O AIRVENT#7007,0,consumable,38569,16.10849,,,,FMPDT-0037,Dpt Vaccination Including Consultation & Vaccine,FMPDT-0037,Dpt Vaccination Including Consultation & Vaccine,,,,0.0
FMNEU-3321,"Laminectoplasty l Laminectomy for Spinal Tumor Difuse (Glioma, Ependymoma)",FMNEU-3321,PKG,NEUROSURGERY,86000.0,,4,48681-00-00,Nonsegmental internal fixation of spine,,consumable,20195,SET SOLUTION ADMINISTRATION FOR INFUSION PUMP PA200L TERUMO,0,consumable,46846,29.88563,,,,FMPDT-0039,Mmr Vaccination Including Vaccination And Consultation,FMPDT-0039,Mmr Vaccination Including Vaccination And Consultation,,,,0.0
FMNEU-3514,ANTERIOR CERVICAL DISCECTOMY AND PLATE FIXATION - 2 LEVELS - W/OUT IMPLANT,FMNEU-3514,PKG,NEUROSURGERY,85500.0,,2,40333-01-00,Cervical discectomy  >= 2 levels,,consumable,20206,"CATHETER SUC.14CHX22""W/CONT.STER.MAERSK#07032182/1180-851147",0,consumable,10749,2.988563,,,,FMPDT-0040,M/M Vaccination Including Consultation And Vaccine,FMPDT-0040,M/M Vaccination Including Consultation And Vaccine,,,,0.0
FMNEU-3506,ATLANTO AXIAL POSTERIOR FUSION W/OUT IMPLANT,FMNEU-3506,PKG,NEUROSURGERY,85500.0,,3,90011-02-00,Oth repair spinal canal/cord structures,,consumable,20208,"EXTENSION SET 32"" W/2 PORT/ABBOTT #4522-48/4612/MG-V5404",0,consumable,12170,20.79578,,,,FMENDE0071,Histoacryl > 3 ampoules,FMENDE0071,Histoacryl > 3 ampoules,,,,0.0
FMNEU-3511,ODONTOID SCREW FIXATION - W/OUT IMPLANT,FMNEU-3511,PKG,NEUROSURGERY,85500.0,,2,90011-02-00,Oth repair spinal canal/cord structures,,consumable,20209,INFUSION SET WITH REGULATOR DISPO.INTR.B/BRAUN #402962/3(JM-S2407)/LL60006,0,consumable,36244,5.379413,,,,FMDER-1026,Exiles 1 session whole face,FMDER-1026,Exiles 1 session whole face,,,,0.0
FMNEU-3508,POSTERIOR CERVICAL FUSION AND FIXATION - 2 LEVELS W/OUT IMPLANT,FMNEU-3508,PKG,NEUROSURGERY,85500.0,,3,90011-02-00,Oth repair spinal canal/cord structures,,consumable,20214,SYRINGE 20ML W/O NEEDLE STERILE BD #300629/THERUMO SS*20L,0,consumable,36279,2.633481,,,,FMDER-1032,Exiles package 5 session for thigh or arms,FMDER-1032,Exiles package 5 session for thigh or arms,,,,0.0
FMNEU-3499,CERVICAL DISCECTOMY ANTERIOR APPROACH – MORE THAN 3 LEVELS WITH FUSION W/OUT IMPLANT,FMNEU-3499,PKG,NEUROSURGERY,85000.0,,3,40333-01-00,Cervical discectomy  >= 2 levels,,consumable,20215,MASK OXYGEN PEDIA NON-REBREATHING AIRLIFE INTERSURGICAL#1102,0,consumable,35177,17.45321,,,,FMDNT-1105,Laser operculectomy,FMDNT-1105,Laser operculectomy,,,,0.0
FMNEU-3493,CERVICAL LAMINOPLASTY - 3 LEVELS W/OUT IMPLANT,FMNEU-3493,PKG,NEUROSURGERY,85000.0,,1,90011-01-00,Other proc on spinal canal/cord structures,,consumable,20216,MASK OXYGEN ADULT NON-REBREATHING INTERSURGICAL #1102,0,consumable,35177,15.6003,,,,FMDNT-1108,Laser incision of absces,FMDNT-1108,Laser incision of absces,,,,0.0
FMNEU-3352,CRANIOTOMY AND EVACUATION OF EXTRADURAL + SUBDURAL COLLECTION + BRAIN ABSCESS,FMNEU-3352,PKG,NEUROSURGERY,85000.0,,3 INCLUDING ICU,39703-01-00,Drainage of intracranial lesion or cyst,,consumable,20218,NEBULIZER MISTY PEDIATRIC #64095/8906/1484,0,consumable,31309,16.73595,,,,FMDNT-1112,Laser oral surgery mild,FMDNT-1112,Laser oral surgery mild,,,,0.0
FMNEU-3326,Craniotomy and excision of C P Angle Tumour,FMNEU-3326,PKG,NEUROSURGERY,85000.0,,3 INCLUDING ICU,39640-00-00,R/O lesion inv ant cranial fossa,,consumable,21502,SCREW LOCKING 3.5MM 3.5X10 T50093510,0,consumable,56642,1350.83,,,,FMONC-0075,X-Ray Check Film,FMONC-0075,X-Ray Check Film,,,,0.0
FMNEU-3438,DECOMPRESSION OF OPTIC NERVE - OPTIC CANAL PART,FMNEU-3438,PKG,NEUROSURGERY,85000.0,,3,42545-01-01,Orbitotomy decomp orbit rmvl fat  uni,,consumable,21797,PLATE 3.5MM LCP DISTAL HUMERUS 7X80 IRINE #A70990708,0,consumable,61573,4291.695,,,,FMOPTA0014,RETRUBULBER ANAESTHESIA,FMOPTA0014,RETRUBULBER ANAESTHESIA,,,,0.0
FMNEU-3505,INSERTION OF CERVICAL DISC PROSTHESIS - TWO LEVELS -W/OUT IMPLANT,FMNEU-3505,PKG,NEUROSURGERY,85000.0,,3,48691-01-00,Ins intervertebral disc prosth >= 2 lvl,,consumable,22151,SYRINGE 50ML W/NEEDLE F/PERFURSOR MACH.B.BRAUN#8728810/PIC#79005-50-50,0,consumable,47017,5.678269,,,,FMENTN2011,CAUTERY TO NOSE,FMENTN2011,CAUTERY TO NOSE,,,,0.0
FMNEU-3522,LATERAL OR POSTEROLATERAL APPROACH AND THORACIC DISCECTOMY - 1 LEVEL,FMNEU-3522,PKG,NEUROSURGERY,85000.0,,3,40300-00-00,Discectomy  1 level,,consumable,22152,CATHETER DUAL LUMEN KIT 11.5FRX13.5CM KIMAL#13817-005/13817-009,0,consumable,61630,1075.883,,,,FMLAB-6011,MOUTH C/S,FMLAB-6011,MOUTH C/S,,,,0.0
FMNEU-3584,LUMBAR DISCECTOMY ANTERIOR/LATERAL APPROACH + FUSION - ONE LEVEL-W/OUT IMPLANT,FMNEU-3584,PKG,NEUROSURGERY,85000.0,,3,40300-00-00,Discectomy  1 level,,consumable,22187,POWDER FOR BABY,0,consumable,61949,149.4281,,,,FMDER-1047,Botox Injection For Nose,FMDER-1047,Botox Injection For Nose,,,,0.0
FMNEU-3525,THORACIC DISC EXCISION TRANSPEDICULAR - 1 LEVEL,FMNEU-3525,PKG,NEUROSURGERY,85000.0,,3,48691-01-00,Ins intervertebral disc prosth >= 2 lvl,,consumable,22195,CANNULA IV VENFLON G22,0,consumable,64574,6.849169,,,,FMDER-1015,Comedo extraction large area,FMDER-1015,Comedo extraction large area,,,,0.0
FMORT-1051,ANTERIOR THORACIC SPINAL FUSION,FMORT-1051,PKG,Orthopedics,84000.0,,3,48660-00-00,Anterior spinal fusion  1 level,,consumable,22196,CANNULA IV VENFLON G20,0,consumable,99999,5.678269,,,,FMXRAY1708,X-RAY HANDS BOTH AP & LAT. & SCAPHOID,FMXRAY1708,X-RAY HANDS BOTH AP & LAT. & SCAPHOID,,,,0.0
FMORT-0768,RESECTION OF SPINAL CORD TOMOUR,FMORT-0768,PKG,Orthopedics,84000.0,,2,90011-01-00,Other proc on spinal canal/cord structures,,consumable,22198,CANNULA IV VENFLON 16G,0,consumable,99999,7.770263,,,,FMOBG-8126,First Trimester Anatomy and Nuchal Translucency Scan,FMOBG-8126,First Trimester Anatomy and Nuchal Translucency Scan,,,,0.0
FMORT-0669,RETRO PERITONIAL ANTERIOR SPINAL FIXATION,FMORT-0669,PKG,Orthopedics,84000.0,,2,48678-00-00,Simple internal fixation of spine,,consumable,22213,WATER STERILE F/INJECTION 1000ML IV SET,0,consumable,58672,50.80556,,,,FMOBG-8111,Late Anatomy Scan after 28 weeks,FMOBG-8111,Late Anatomy Scan after 28 weeks,,,,0.0
FMORT-0680,REVISION OF SPINAL FUSION ( ONE LEVEL ),FMORT-0680,PKG,Orthopedics,84000.0,,2,50620-00-00,Other rev spinal proc,,consumable,22216,WATER STERILE F/INJECTION 500ML IV.,0,consumable,44707,25.39425,,,,FMLAB-8222,ANTI KERATIN,FMLAB-8222,ANTI KERATIN,,,,0.0
FMCAR-3005,CABG & Double Tissue Valve,FMCAR-3005,PKG,Cardiology,83850.0,,7,38497-04-00,Coron art byps using 1 other venous graft,,consumable,22273,CARTRIDGE ACT MEDTRONIC #402-03,0,consumable,56195,107.5883,,,,FMLAB-8227,WATER LITMUS AMEBOCYTE LYSATE ENDOTOXIN (0.25),FMLAB-8227,WATER LITMUS AMEBOCYTE LYSATE ENDOTOXIN (0.25),,,,0.0
