Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
7121328,HCV-RNA (PCR) QUALITATIVE,1842.75,1930.5000000000002,Gross,yes,31.0,Portal Laboratory,73050-53-90,"Detection of infectious agent by nucleic Acid; hepatitis c virus, amplified probe tq and include reverse transcription"
7121329,HCV-RNA (PCR) QUANTITATIVE,2467.5,2585,Gross,yes,31.0,Portal Laboratory,73050-53-90,"Detection of infectious agent by nucleic Acid; hepatitis c virus, amplified probe tq and include reverse transcription"
7121330,HDL-CHOLESTEROL,141.75,148.5,Gross,yes,31.0,Portal Laboratory,73050-23-60,Measurement of HDL cholesterol
7121331,HELICOBACTER ANTIGEN,525,550,Gross,yes,31.0,Portal Laboratory,73050-48-70,Detection of helicobacter pylori antigen in stool
7121332,HEPARIN INDUCED THROMBOCYTOPHENIA,829.5,869.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-07-30,Assay for Quantitative heparin analysis
7121333,HEPATITIS DELTA ABS,509.25,533.5,Gross,yes,31.0,Portal Laboratory,73100-22-80,Hepatitis delta agent antbdy
7121334,HEPATITIS E ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-23-90,Hepatitis b (E) antibody (HBE AB)
7121335,HEPATITIS E ANTIGEN,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-49-10,"Detection of infectious antigen by immunoAssay( EIA,ELISA,IMCA) technique ;hepatitis be antigen"
7121336,HEPATOCYTE,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121337,HER2 DUAL ISH DNA PROBE,2730,2860.0000000000005,Gross,yes,31.0,Portal Laboratory,73200-09-30,"Tumor immunohistochemistry, morphometric analysis , Quantitative or semiQuantitative, per specimen, each single antibody stain procedure; using computer-assisted technology"
7121338,HERPES SIMPLEX ABS IGG & IGM,750.75,786.5000000000001,Gross,yes,31.0,Portal Laboratory,73100-22-90,Antibody herpes smplx non-specific type test
7121339,HERPES SIMPLEX VIRUS (1 X 2) ANTIGEN,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-46-30,Detection of antigen by immunofluorecent technique ; herpes simplex virus 2
7121340,HERPES SIMPLEX VIRUS 1X2 PCR,1842.75,1930.5000000000002,Gross,yes,31.0,Portal Laboratory,73100-22-90,Antibody herpes smplx non-specific type test
7121341,HERPES SIMPLEX VIRUS ANTIBODY  TYPE I IGG SPECIFIC,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-23-00,"Herpes simplex virus antibody, type 1 igG specific"
7121342,HERPES SIMPLEX VIRUS ANTIBODY  TYPE II IGG SPECIFIC,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-23-10,Herpes virus (hsv) 2 igG
7121343,HERPES TYPE I ANTIBODIES IGM SPECIFIC,525,550,Gross,yes,31.0,Portal Laboratory,73050-46-40,Infectious Antigen detection by immunofluorescent technique; Herpes simplex virus type 1
7121344,HERPES TYPE II ANTIBODIES IGM SPECIFIC,525,550,Gross,yes,31.0,Portal Laboratory,73050-46-30,Detection of antigen by immunofluorecent technique ; herpes simplex virus 2
7121345,HHV-8,945,990.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-51-20,"Central nervous system pathogen (eg, neisseria meningitidis, streptococcus pneumoniae, listeria, haemophilus influenzae, e. coli, streptococcus agalactiae, enterovirus, human parechovirus, herpes simplex virus type 1 and 2, human herpesvirus 6, cytomegalovirus, varicella zoster virus, cryptococcus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets"
7121346,HISTONE ABS,619.5,649,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121347,HISTOPLASMOSIS ABS,745.5,781.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-23-20,Detection of antibody; Histoplasma
7121348,HIV 1/2 (W.B),588,616,Gross,yes,31.0,Portal Laboratory,73100-23-50,Human immunodefficiency virus 1/2 abs.
7121349,HIV-I RNA QUANT,1417.5,1485.0000000000002,Gross,yes,31.0,Portal Laboratory,73050-55-20,"Human Immunodeficiency Virus 1 (HIV-1), Quantitative, Real-time PCR (Graphical) (DNA or RNA); with reverse transcriptions"
7121350,HLA FULL TYPING (A  B  C  DQ & DR),5596.5,5863.000000000001,Gross,yes,31.0,Portal Laboratory,73100-28-30,HLA typing a/b/c multiple antigens
7121351,HLA-B27,1228.5,1287,Gross,yes,31.0,Portal Laboratory,73100-28-20,HLA B27 genotyping by pcr
7121352,HOMOCYSTEINE ( P ),488.25,511.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-19-70,Homocystein
7121353,HOMOVANILLIC ACID URINE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-19-80,Measurement of (Quantitative) homovanillic Acid
7121354,HSV-TYPE 1,945,990.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-23-00,"Herpes simplex virus antibody, type 1 igG specific"
7121355,HUMAN GROWTH HORMONE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73000-02-60,"Growth Hormone stimulation Panel, includes human growth Hormone x 4"
7121356,HUMAN PAPILLOMA VIRUS,1134,1188,Gross,yes,31.0,Portal Laboratory,73050-57-50,"Human papillomavirus detection by nucleic Acid , (DNA or RNA);high risk types"
7121357,HUMAN PAPILLOMA VIRUS BY PCR,1417.5,1485.0000000000002,Gross,yes,31.0,Portal Laboratory,73050-57-40,Detection of infectious agent by nucleic Acid;human papillomavirus low-risk types
7121358,HUMAN PLACENTAL LACTOGEN (HPL),446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-22-20,"Measurement of (Quantitative) lactogen, human placental human chorionic somatomammotropin"
7121359,HYDROXPROLINE TOTAL,525,550,Gross,yes,31.0,Portal Laboratory,73050-20-30,Measurement of (Quantitative) hydroxyproline; total
7121360,HYDROXYPROLINE,525,550,Gross,yes,31.0,Portal Laboratory,73050-20-20,Measurement of (Quantitative) hydroxyproline; free
7121361,HYPEROXALURIA  PRIMARY (AGXT) ,7560,7920.000000000001,Gross,yes,31.0,Portal Laboratory,73050-26-40,Measurement of Oxalate urine
7121362,IG D  QUANT,126,132,Gross,yes,31.0,Portal Laboratory,92173-00-00,Passive immunisation with Rh(D) immunoglobulin
7121363,IGA,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121364,IGE,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-14-20,Measurement of ige
7121365,IGF 1,866.25,907.5000000000001,Gross,yes,31.0,Portal Laboratory,73050-33-40,Measurement of somatomedin
7121366,IGFBP - 3,682.5,715.0000000000001,Gross,yes,31.0,Portal Laboratory,73350-01-20,Epidermal growth factor receptor test
7121367,IGG,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-00,Quantitative allergen specific immunoglobulin g test
7121368,IGG SUBCLASSES 1 TO 4,1312.5,1375,Gross,yes,31.0,Portal Laboratory,73050-14-30,Measurement of Serum free light chain(sflc)testing
7121369,IGG4,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-14-30,Measurement of Serum free light chain(sflc)testing
7121370,IGM,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121371,IMMUNE REACTIVE TRYPSIN,372.75,390.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-01-50,Measurement of (Quantitative) total alpha-1-antitrypsin
7121372,IMMUNOGLOBULIN D (IGD),336,352,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121373,IMMUNOGLOBULIN ELECTROPHORESIS  URINE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-14-90,"Immunoelectrophoresis; other fluids (eg, urine, cerebrospinal fluid) with concentration"
7121374,IMMUNOHISTOCHEMISTRY WITH ABS AGAINST IGA,2089.5,2189,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121375,INFLUENZA A,115.5,121.00000000000001,Gross,yes,31.0,Portal Laboratory,73050-49-70,"Detection of infectious antigen by immunoAssay( EIA,ELISA,IMCA) technique; influenza virus antigen (a & b) each"
7121376,INHIBIN B,619.5,649,Gross,yes,31.0,Portal Laboratory,73100-15-70,Inhibin A
7121377,INSULIN ABS (HUMAN),220.5,231.00000000000003,Gross,yes,31.0,Portal Laboratory,73100-15-80,Insulin antibodies
7121378,INSULIN ANTIBODY,577.5,605,Gross,yes,31.0,Portal Laboratory,73100-15-80,Insulin antibodies
7121379,INSULIN AUTO ANTIBODIES,525,550,Gross,yes,31.0,Portal Laboratory,73100-15-80,Insulin antibodies
7121380,INSULIN RECEPTOR ABS IGG,903,946.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-15-80,Insulin antibodies
7121381,INSULIN  SERUM,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-20-90,"Measurement of Insulin, free, serum"
7121382,INTERLEUKIN 2 RECEPTOR (S),756,792.0000000000001,Gross,yes,31.0,Portal Laboratory,73350-06-00,Unlisted molelcular pathology procedure
7121383,INTERLEUKIN 6,777,814.0000000000001,Gross,yes,31.0,Portal Laboratory,73350-06-00,Unlisted molelcular pathology procedure
7121384,INTRINSIC FACTOR ABS,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-21-00,Measurement of Anti intrinsic factor abs -{Q}
7121385,IODINE,325.5,341,Gross,yes,31.0,Portal Laboratory,73050-24-30,Measurement of Iodine serum
7121386,IONIZED CALCIUM,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-05-40,Measurement of Calcitonin Profile; total
7121387,IRON  SERUM,105,110.00000000000001,Gross,yes,31.0,Portal Laboratory,73050-21-10,Measurement of Iron Profile
7121388,ISLET CELL  ABS,341.25,357.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-16-00,Anti gad glutamate decarboxylase antibody
7121389,JAK-2 GENE ANALYSIS,4252.5,4455,Gross,yes,31.0,Portal Laboratory,73350-02-20,JAK2 Gene variant analysis
7121390,JAK-2-GENE (V617F MUTATION),5670,5940.000000000001,Gross,yes,31.0,Portal Laboratory,73350-02-20,JAK2 Gene variant analysis
7121391,KAPPA PROBE ISH,2730,2860.0000000000005,Gross,yes,31.0,Portal Laboratory,73200-09-60,"In situ hybridization initial single probe stain procedure (eg, FISH)"
7121392,LACTIC ACID (SERUM),68.25,71.5,Gross,yes,31.0,Portal Laboratory,73050-21-70,Measurement of Serum lactate
7121393,LAMBDAMRNA PROBE,2730,2860.0000000000005,Gross,yes,31.0,Portal Laboratory,73100-15-50,"Immunofixation, electrophoresis, serum (monoclo"
7121394,LAMOTRIGEN,435.75,456.50000000000006,Gross,yes,31.0,Portal Laboratory,73300-01-50,Drug Profile screening (Lamotrigine)
7121395,LDH,141.75,148.5,Gross,yes,31.0,Portal Laboratory,73050-21-80,Measurement of Serum ldh
7121396,LDH ISOENZYMES,378,396.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-21-90,Measurement of Lactate dehydrogenase isoenzyme
7121397,LDL-CHOLESTEROL,141.75,148.5,Gross,yes,31.0,Portal Laboratory,73000-00-60,"Lipid Profile(serum CHOL,TRIG,HDL,LDL)"
7121398,LEAD U,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-22-40,Measurement of (Quantitative) lead
7121399,LEGIONELLA ABS.,1228.5,1287,Gross,yes,31.0,Portal Laboratory,73100-24-30,Detection of antibody; Legionella
7121400,LEGIONELLA PNEMOPHILA ANTIGEN,294,308,Gross,yes,31.0,Portal Laboratory,73050-46-70,Infectious Antigen detection by immunofluorescent technique; Legionella pneumophila
7121401,LEISHMANIA ANTIBODIES,525,550,Gross,yes,31.0,Portal Laboratory,73100-24-40,Leishmania antibody
7121402,LEPTIN,561.75,588.5,Gross,yes,31.0,Portal Laboratory,73300-03-70,Drug Panel N/A
7121403,LEPTOSPIRA ABS,787.5,825.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-24-50,Detection of antibody; Leptospira
7121404,LEVETIRAZETAM,467.25,489.50000000000006,Gross,yes,31.0,Portal Laboratory,73300-01-70,Drug Profile screening (Levetiracetam)
7121405,LH,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-17-00,Measurement of LuteiniMeasurement ofer Hormone (LH)
7121406,LIPASE,105,110.00000000000001,Gross,yes,31.0,Portal Laboratory,73050-23-00,Measurement of Serum lipase
7121407,LIPID PROFILE: T. CHOL.  HDL   LDL  TRIGLYCERIDES,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73000-00-60,"Lipid Profile(serum CHOL,TRIG,HDL,LDL)"
7121408,LIPOPROTEIN A,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-23-10,Measurement of (Quantitative) lipoProtein
7121409,LIPOPROTEIN ELECTROPHORESIS,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-23-30,"Measurement of (Quantitative) lipoProtein, blood electrophoretic separation and Quantitation"
7121410,LISTERIA ABS,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-24-60,Detection of antibody; Listeria monocytogenes
7121411,LITHIUM,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73300-01-80,Drug Profile screening (Lithium)
7121412,LIVER CYTOSOL1 IGG SPEC.  ABS (LCI),304.5,319,Gross,yes,31.0,Portal Laboratory,73100-15-20,Immunodiffusion; not elsewhere specified
7121413,LIVER FUNCTION TEST (TO/DIR BIL  SGOT  SGPT  ALK.PH),420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73000-00-90,"Liver Function Profile (Al,bl,alt,ast,tot Protein,Phosphatase)"
7121414,LIVER KIDNEY MICROSOMAL ANTIBODIES,614.25,643.5,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121415,LUPUS ANTICOAGULANT,866.25,907.5000000000001,Gross,yes,31.0,Portal Laboratory,73100-08-80,Diluted russell viper venom time test
7121416,LYSOSME,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-10-50,Perinuclear anti-neutrophil cytoplasmic antibodies
7121417,MAGNESIUM (SERUM),84,88,Gross,yes,31.0,Portal Laboratory,73050-24-00,Measurement of Electrolytes magnesium
7121418,MAMAGLOBULIN,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121419,MEASLES ABS IGG & IGM,561.75,588.5,Gross,yes,31.0,Portal Laboratory,73100-24-90,"Mumps virus antibodies igg and igm, serum"
7121420,MELANOSOME (HMB45,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73200-08-50,"Special stained specimen, slides to examine tissue"
7121421,MELATONIN,514.5,539,Gross,yes,31.0,Portal Laboratory,90043-00-00,Other procedures on pineal gland
7121422,MERCURY,546,572,Gross,yes,31.0,Portal Laboratory,73050-24-40,"Measurement of (Quantitative) mercury, Quantitative"
7121423,METANEPHINES & NORMATANEPHRINES,813.75,852.5000000000001,Gross,yes,31.0,Portal Laboratory,73050-24-50,Measurement of Metanephrines 24hrs urine
7121424,METANEPHRINES  URINE,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-24-50,Measurement of Metanephrines 24hrs urine
7121425,METHEAMOGLOBIN,294,308,Gross,yes,31.0,Portal Laboratory,73050-18-70,"Hemoglobin methemoglobin, Qualitative"
7121426,METHOTREXATE,509.25,533.5,Gross,yes,31.0,Portal Laboratory,73300-03-70,Drug Panel N/A
7121427,METHYLATION ANALYSIS,3937.5,4125,Gross,yes,31.0,Portal Laboratory,73200-05-90,Chromosome analysis using specialized banding technique
7121428,METHYLMALONIC ACID,609,638,Gross,yes,31.0,Portal Laboratory,73050-26-00,Measurement of Osmolality; blood
7121429,METHYLTETRAHYDROFOLATE REDUCTASE,1984.5,2079,Gross,yes,31.0,Portal Laboratory,73050-13-40,Measurement of Folic Acid; serum
7121430,MICROALBUMIN,126,132,Gross,yes,31.0,Portal Laboratory,73050-00-90,Measurement of Microalbumin Quantitative;urine
7121431,MICROALBUMINURIA,136.5,143,Gross,yes,31.0,Portal Laboratory,73050-00-90,Measurement of Microalbumin Quantitative;urine
7121432,MICROSOMAL ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121433,MITOCHONDRIAL ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-20-70,Anti parietal cell antibodies
7121434,MOLECULAR GENETIC ANALYSIS FOR ALPHA THALASSEMIA,8977.5,9405,Gross,yes,31.0,Portal Laboratory,73200-05-70,Molecular cytogenetics using interphase ;in situ hybridization for 100-300 cells
7121435,MOLECULAR GENETIC ANALYSIS FOR BETA THALASSEMIA,6142.5,6435.000000000001,Gross,yes,31.0,Portal Laboratory,73350-02-60,"Hemoglobin, subunit beta common variant(s) (eg, sickle cell anemia, beta thalassemia, hemoglobinopathy,variants HbS, HbC, HbE)"
7121436,MOLECULAR GENETIC ANALYSIS FOR X LINKED ADRENOLEUKODYSTROPHY,11970,12540.000000000002,Gross,yes,31.0,Portal Laboratory,73350-04-90,"Molecular pathology procedure, Level 6 -analyzing neuclic Acid level to check abnormalities that may be indicative of a variety of disorders which  includes Cell lysis, nucleic Acid stabilization, extraction, digestion, amplification in which level 6 is an  analysis of 6-10 exons by DNA sequence analysis, mutation scanning or duplication/deletion variants of 11-25 exons.ATP-binding cassette, sub-family D [ALD], member 1) (eg, adrenoleukodystrophy)"
7121437,MOLECULAR GENETIC FOR NTRK1 GENE,12600,13200.000000000002,Gross,yes,31.0,Portal Laboratory,73200-05-70,Molecular cytogenetics using interphase ;in situ hybridization for 100-300 cells
7121438,MOLECULAR GENETIC STUDY (DNA ANALYSIS),4725,4950,Gross,yes,31.0,Portal Laboratory,73050-42-70,"Isolation and identification of the genetic material of organisms;culture, typing; identification by nucleic Acid sequencing method, each isolate (eg, sequencing of the 16s rrna gene)"
7121439,MOLECULAR GENETIC TEST FOR NPHS1 - CARRIER GENE,3150,3300.0000000000005,Gross,yes,31.0,Portal Laboratory,73050-42-50,"Culture, typing; identification by nucleic Acid (DNA or RNA) probe, amplified probe technique, per culture or isolate, each organism probed"
7121440,MONOSPOT ABS,813.75,852.5000000000001,Gross,yes,31.0,Portal Laboratory,73100-14-20,Monospot (infectious mononucleosis)
7121441,MRD (MINIMAL RESIDUAL DISEASE) TEST,4095,4290,Gross,yes,31.0,Portal Laboratory,73200-03-10,"Flow cytometry, cell surface,cutoplasmic or nuclear marker, techl only, 1st marker"
7121442,MUCOPOLYSACCARIDES DIFFERENTIATION,1155,1210,Gross,yes,31.0,Portal Laboratory,73050-24-80,Measurement of (Quantitative) mucopolysaccharides Acid
7121443,MUMPS IGG & IGM,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-24-90,"Mumps virus antibodies igg and igm, serum"
7121444,MUMPS VIRUS ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-24-90,"Mumps virus antibodies igg and igm, serum"
7121445,MUSK ABS,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-37-10,Tyrosine; Quantitative
7121446,MYCOPHENOLIC ACID,294,308,Gross,yes,31.0,Portal Laboratory,73300-01-90,Drug Quantitative screening (Mycophenolate)
7121447,MYCOPLASMA PNEUMONIA ABS.,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-41-80,"Mycological culture for swab (ear, eye, hvs, et)any source"
7121448,MYELIN BASCI PROTEIN,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-25-00,"Measurement of (Quantitative) myelin basic Protein, cerebrospinal fluid"
7121449,MYELOPEROXIDASE,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-25-20,Measurement of Myeloperoxidase mpo
7121450,MYELOPEROXIDASE ABS (MPO),388.5,407.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-25-20,Measurement of Myeloperoxidase mpo
7121451,MYO-D1,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73200-08-30,Special stained specimen slides to examine tissue
7121452,MYOGLOBIN QUANT,357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-25-10,Measurement of Myoglobin in serum - S.O
7121453,MYOSIN  SMOOTH MUSCLE,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-13-30,Anti-smooth muscle antibody and anti-actin send out unilab
7121454,NAPSIN A,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121455,NEONATAL SCREENING,866.25,907.5000000000001,Gross,yes,31.0,Portal Laboratory,73000-00-40,"Comprehensive metabolic Panel [ albumin, bilirubin, total, calcium total, carbon dioxide (bicarbonate), chloride, creatinine, glucose, phosphatase, alkaline, potassium, Protein total, sodium transferase, alanine amino (ALT) (SGPT), transferase, aspartate amino (AST) (SGOT), Urea nitrogen (BUN) ]"
7121456,NEURONE SPECIFIC ENOLASE,483,506.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-09-50,Measurement of Creatine kinase mb isoenMeasurement ofyme; blood
7121457,NT-PRO-BNP,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-25-30,Measurement of Brain natriuretic peptide (BNP)
7121458,OCT ¾,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121459,2004-10-01 00:00:00,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121460,OESTRADIOL,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-11-90,Measurement of estradiol
7121461,OLIGOCLONAL BAND,525,550,Gross,yes,31.0,Portal Laboratory,73050-25-70,Measurement of (Quantitative) oligoclonal immune (oligoclonal bands)
7121462,OPIATES,262.5,275,Gross,yes,31.0,Portal Laboratory,73300-08-20,Drug Quantitative/Qualitative or both screening (Opiates 1 or more)
7121463,ORGANIC ACID SCREEN,1365,1430.0000000000002,Gross,yes,31.0,Portal Laboratory,73050-25-90,Organic Acids Qualitative each
7121464,OSMOLALITY,315,330,Gross,yes,31.0,Portal Laboratory,73050-26-10,Measurement of Osmolality (serum)
7121465,OSMOLARITY  SERUM / URINE,141.75,148.5,Gross,yes,31.0,Portal Laboratory,73050-26-20,Measurement of Urine osmolality
7121466,OSTEOCALCIN,525,550,Gross,yes,31.0,Portal Laboratory,73050-26-30,Measurement of Osteocalcin (bone g1a Protein)
7121467,OXALATE,236.25,247.50000000000003,Gross,yes,31.0,Portal Laboratory,73050-26-40,Measurement of Oxalate urine
7121468,P-ANCA,315,330,Gross,yes,31.0,Portal Laboratory,73100-10-50,Perinuclear anti-neutrophil cytoplasmic antibodies
7121469,PANCREATIC ELASTASE (FAECES),525,550,Gross,yes,31.0,Portal Laboratory,73050-11-40,"Measurement of Elastase, pancreatic (el-1), fecal"
7121470,PARACETAMOL,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73300-05-10,Drug Quantitative/Qualitative or both screening (Analgesics non-opioid; 3-5)
7121471,PARAGONIMUS ABS,325.5,341,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
2014024,PARATHYROIDECTOMY / TOTAL,38178,39996,Gross,yes,88.0,Portal Package Deals,30315-01-00,Total parathyroidectomy
7121473,PARIETAL CELL ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-13-40,Anti parietal cell abs (apca) ifa
7121474,PARVO VIRUS ABS B-19 IGG & IGM,651,682,Gross,yes,31.0,Portal Laboratory,73100-25-30,Detection of antibody; Parvovirus
7121475,PARVORIRUS B19,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-25-30,Detection of antibody; Parvovirus
7121476,PAX-5,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121477,PAX-8,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121478,PD-1,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-30-40,Measurement of Protein total
7121479,PERICARDIAL FLUID (PHYSICAL&CHEMICAL TEST ONLY),210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73200-00-00,"Cytopathology, fluids, washgs or brushings excrpt cervical or vaginal: smrs interp"
7121480,PERITONEAL FLUID (PHYSICAL&CHEMICAL ONLY),210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73200-00-00,"Cytopathology, fluids, washgs or brushings excrpt cervical or vaginal: smrs interp"
7121481,PHENCYCLIDINE,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-27-00,Measurement of (Quantitative) phencyclidine
7121482,PHENOBARBITAL,288.75,302.5,Gross,yes,31.0,Portal Laboratory,73300-02-10,Drug Profile screening (Phenobarbital)
7121483,PHENOL,540.75,566.5,Gross,yes,31.0,Portal Laboratory,73300-01-90,Drug Quantitative screening (Mycophenolate)
7121484,PHENYTOIN,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73300-02-20,Drug Profile screening (Phenytoin)
7121485,PHOSPOROUS (SERUM),68.25,71.5,Gross,yes,31.0,Portal Laboratory,73050-28-20,Measurement of Electrolytes phosphorus
7121486,PKU SCREEN,546,572,Gross,yes,31.0,Portal Laboratory,73050-27-20,PKU screen
7121487,PLASMINOGEN,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-06-50,Fibrinolytic factors and inhibitors; plasminogen activator
7121488,PLATELET ANTIBODIES,4704,4928,Gross,yes,31.0,Portal Laboratory,73100-01-60,Automated platelet blood count
7121489,PLEURAL FLUID (PHYSICAL&CHEMICAL ONLY),210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73200-00-00,"Cytopathology, fluids, washgs or brushings excrpt cervical or vaginal: smrs interp"
7121490,PM1 ABS,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121491,PNEUMOCYSTIC CARINII,3150,3300.0000000000005,Gross,yes,31.0,Portal Laboratory,73050-47-00,Infectious agent antigen detection of Pneumocystis carinii (immunoflourescent technique)
7121492,POLIO VIRUS ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-21-40,"Detection of antibody; Enterovirus (eg, coxsackie, echo, polio)"
7121493,POLYOMA JCV-DNA,1134,1188,Gross,yes,31.0,Portal Laboratory,73050-59-30,"Detection of infectious agent by nucleic Acid; nos Quantification, each micro organism"
7121494,PORPHOBILINOGEN QUANT.,257.25,269.5,Gross,yes,31.0,Portal Laboratory,73050-28-40,Porphobilinogen Qualitative
7121495,PORPHYRINS,1365,1430.0000000000002,Gross,yes,31.0,Portal Laboratory,73050-28-70,"Porphyrins, urine; Qualitative"
7121496,POTASSIUM URINE,68.25,71.5,Gross,yes,31.0,Portal Laboratory,73050-29-10,Measurement of Urine potassium random
7121497,POTASSIUM  SERUM OR URINE,68.25,71.5,Gross,yes,31.0,Portal Laboratory,73050-29-10,Measurement of Urine potassium random
7121498,POTASSIUM  STOOL,136.5,143,Gross,yes,31.0,Portal Laboratory,73050-29-00,Measurement of Electrolytes – k+
