CCHI No.  1014,مستشفي السعودي الألماني - جدة,Effective: 01-Jun-2021
FMERRZ9998,ER RECOVERY ROOM FEE,service
FMENDE0044,ENDOSCOPIC BRUSH CYTOLOGY,service
FMENDE0045,SCLEROTHERAPY HAEMORRHOIDS,service
FMENDE0046,GUM  LIGATURE - HAEMORRHOIDS,service
FMENDE0047,INFRA-RED COAGULATION-HAEMORR- HOIDS,service
FMENDE0048,DIGITAL ANAL DILATATION,service
FMENDE0049,INCISION OF PERIANAL THROMB0-  SIS,service
FMENDE0050,ENDOSCOPIC LASER TREATMENT,service
FMENDE0042,E.S. WITH INSERTION OF A STENT,service
FMENDE0052,BILIARY/PANCREATIC STRICTURE   DILATATION,service
FMENDE0002,OESOPHAGOSCOPY,service
FMENDE0005,COLONOSCOPY MID COLON,service
FMEGD-0002,HAND THERAPY,service
FMENDE0009,ENDOSCOPIC BIOPSY,service
FMENDE0010,SMALL INTESTINAL BIOPSY,service
FMENDE0016,ENDOSCOPIC ULTRASONOGRAPHY,service
FMENDE0017,PRE MEDICATION,service
FMENDE0018,UNCOMPLETED PROCEDURE,service
FMENDE0019,OESOPHAGEAL PH MONITORING      24 HOURS,service
FMENDE0020,OESOPHAGEAL PH MONITORING      3 HOURS,service
FMENDE0029,BOUGIE DILATATION OF GI STRICTURE,service
FMENDE0030,IMPLANTATION OF PLASTIC STENT,service
FMENDE0031,IMPLANTATION OF EXPANDABLE     STENT,service
FMENDE0032,ENDOSCOPIC PAPILLOTOMY,service
FMENDE0035,E. STONE EXTRACTION 2-5 STONES,service
FMENDE0036,E. STONE EXTRACTION 5 OR MORE  STONES,service
FMENDE0037,ENDOSCOPIC STONE CRUSHING,service
FMENDE0038,E.S. WITH STONE EXTRACTION,service
FMENDE0039,E.S. WITH STONE CRUSHING,service
FMENDE0040,INSERTION OF NASOBILIARY CATHE TER,service
FMENDE0056,H-PYLORI RAPID CHECK,service
FMENDE0057,E.G.D/COLONOSCOPY,service
FMENDE0058,EGD / FLEXIBLE  SIGMOIDOSCOPY,service
FMENDE0059,GASTRIC VARICES INJECTION,service
FMENDE0060,OR SIGMOIDOSCOPY COMPLEMENTRY TO ANO RECTAL SURGER,service
FMEND-0001,Gastroscopy/Endoscopy,service
FMENDE0055,USE OF BALOON,service
FMENDE0001,UPPER GI ENDOSCOPY,service
FMPTD-2140,HAND THERAPY,service
FMENDA0002,BRONCHOALVEOLAR LAVAGE,service
FMENDE0003,FOLLOW UP ENDOSCOPY,service
FMENDE0004,COLONOSCOPY FULL COLON,service
FMENDE0006,FLEXIBLE SIGMOIDOSCOPY,service
FMENDE0011,RECTAL SNIP EXAMINATION,service
FMENDE0012,END.CHOLANGIOPANCREATOGRAPHY,service
FMENDE0013,ENDOSCOPIC PANCREATHOGRAPHY,service
FMENDE0014,ENDOSCOPIC CHOLANGIOGRAPHY,service
FMENDE0015,ENDCOSCOPIC VEDIO TAPE PRINTING,service
FMENDE0021,SCLEROTHERAPHY O.V.,service
FMENDE0022,ENDOSCOPIC LIGATION O.V.,service
FMENDE0023,INSERTION OF GASTRIC BALLOON,service
FMENDE0024,ENDOSCOPIC POLYPECTOMY,service
FMENDE0025,INJECTION OF BLEEDING POINT,service
FMENDE0026,ELECTROCOAGULATION OF BLEEDING,service
FMENDE0027,ENDOSCOPIC REMOVAL OF F.B.,service
FMENDE0028,BALLOON DILATION OF GI,service
FMENDE0033,ENDOSCOPIC SPHINCLEROTOMY,service
FMENDE0034,E. STONE EXTRACTION 1 STONE,service
FMENDE0041,ENDOSCOPIC INSERTION OF A STEN,service
FMENDE0043,ENDOSCOPIC OF STENT EXCHANGE,service
FMENDE0051,GASTROTOMY FEEDEING TUBE,service
FMENDE0053,VARICEAL LIGATION 5 BANDS,service
FMENDE0054,VARICEAL LIGATION > 5 BAND,service
FMENDE0008,PROCTOSIGMOIDOSCOPY (RIGID),service
FMENDE0062,USE OF ENDOCLIPS,service
FMENDE0063,REPLACEMENT TUBE,service
FMENDE0064,USE OF HISTOACRYL,service
FMENDE0065,OESOPHAGEAL PH MONITORING (24HRS BY CATHETER),service
FMENDE0066,OESOPHAGEAL PH MONITORING (48 HRS),service
FMENDE0067,MANOMETRY,service
FMENDE0068,LES MANOMETRY + IMPEDENCE,service
FMENDE0069,PH CAPSULE,service
FMENDE0070,INSERTION OF PH CAPSULE,service
FMENDE0071,PH METRY WIRELESS (24HRS),service
FMENDE0072,PH METRY WIRELESS (48 HRS),service
FMENDE0073,H-PYLORI BREATH TEST,service
FMENDE0074,UBT,service
FMENDE0075,ARGON PLASMA COAGULATION (APC),service
FMENDE0078,USE OF ARGON COAGULATION,service
FMENDE0079,USE OF EXPANDABLE STENT,service
FMENDE0080,USE OF WALL STENT,service
FMENDE0081,ENDOSCOPIC MUCOSAL RESECTION <2CM,service
FMENDE0082,ENDOSCOPIC MUCOSAL RESECTION >2CM,service
FMENDE0083,ENDOSCOPIC SUBMUCOSAL DISSECTON <2CM,service
FMENDE0084,ENDOSCOPIC SUBMUCOSAL DISSECTION >2CM,service
FMFMD-0001,VASCORE,service
FMFMD-0002,ECG,service
FMD0001,PRE REGISTRATION SGNA (STUDENT) CHECKUP,service
FMIVF-0001,ARTIFICIAL INSEMINATION OF    HUSBAND (AIH),service
FMIVF-0002,PERITONEAL OOCYTE AND SPERM   TRANSFER (POST),service
FMIVF-0004,PERITONEAL OOCYTE AND SPERM   POST-B- PACKAGE DEAL,service
FMIVF-0005,INVINTRO FERTILIZATION BY U/S DIRECTED OOCYTE RETRIEVAL,service
FMIVF-0006,IVF-A-PACKAGE DEAL (UDOR),service
FMIVF-0007,IVF-B-PACKAGE DEAL (UDOR),service
FMIVF-0008,INVINTRO FERTILIZATION BY LAP-ROSCOPIC OOCYTE RETRIEVAL,service
FMIVF-0009,IVF-A-PACKAGE DEAL (LAPAROSCO-PIC ),service
FMIVF-0010,IVF-B-PACKAGE DEAL (LAPAROSCO-PIC ),service
FMIVF-0011,REPEATED IVF BY LAPAROSCOPIC  OOCYTE RETRIEVAL,service
FMIVF-0012,REPEATED IVF-A-PACKAGE DEAL   (LAP.),service
FMIVF-0013,REPEATED IVF-B-PACKAGE DEAL   (LAP.),service
FMIVF-0014,GAMETE INTRA FALLOPIAN TRANS- FER ( (GIFT),service
FMIVF-0015,GIFT-A-PACKAGE DEAL,service
FMIVF-0016,GIFT-B-PACKAGE DEAL,service
FMIVF-0017,ZYGOTE INTRA FALLOPIAN TRANS- FER (ZIFT)\,service
FMIVF-0018,ZIFT-A-PACKAGE DEAL,service
FMIVF-0019,ZIFT-B-PACKAGE DEAL,service
FMIVF-0020,IVF-GIFT COMBINED,service
FMIVF-0021,IVF-GIFT-A-PACKAGE DEAL,service
FMIVF-0022,IVF-GIFT-B-PACKAGE DEAL,service
FMIVF-0023,SEMEN ANALYSIS,service
FMIVF-0024,SEMEN ASSESMENT,service
FMIVF-0025,SPERM ANTIBODIES,service
FMIVF-0026,POST COITAL TEST (PCT),service
FMIVF-0027,X-Y SEPARATION,service
FMIVF-0028,SPERM-MUCOUS PENETRATION TEST,service
FMPTD-2114,HEMIPLEGIA P.T. 3 PROCEDURES,service
FMIVF-0030,VAGINAL ULTRA SOUND PACK. DEAL(4-5 U/S VAGINAL SCANS),service
FMIVF-0031,ABDOMINAL ULTRASOUND,service
FMIVF-0032,LAPAROSCOPIC EXAM FOR INFERTI-LITY,service
FMIVF-0033,LAPAROSCOPIC OPERATION FOR    INFERTILITY,service
FMIVF-0034,HYSTEROSCOPIC EXAM FOR        INFERTILITY,service
FMIVF-0035,HYSTEROSCOPIC OPERATION FOR   INFERTILITY,service
FMIVF-0036,I.V.F. CHECK-UP,service
FMIVF-0037,LASER ASSISTED HATCHING,service
FMIVF-0038,SEMEN SAMPLE FREEZING,service
FMIVF-0039,TESTICULAL BIOPSY,service
FMIVF-0040,EMBRAYO FREEZING,service
FMIVF-0041,ANNUAL FEE,service
FMIVF-0042,ICS PROCEDURE,service
FMIVF-0043,OVUM PICKUP UNDER G.A.,service
FMIVF-0044,ICSI WITOUT ET,service
FMIVF-0045,FROZEN THAWED ET,service
FMIVF-0046,MOCK TRANSFER,service
FMIVF-0003,PERITONEAL OOCYTE AND SPERM   POST-A PACKAGE DEAL,service
FMIVF-0048,ICSI PROCERDURE,service
FMIVF-0049,ARTIFICIAL INSEMINATION,service
FMIVF-0052,EMBRYO TRANSFER (REPEAT),service
FMIVF-0053,TESTICULAR BIOPSY EXAMINATION,service
FMIVF-0051,EMBRYO TRANSFER1,service
FMIVF-0054,TESTIICULAR BIOPSY EXAMINATION,service
FMIVF-0055,EXTENDED SEMEM ANALYSIS,service
FMIVF-0056,SEMEM SAMPLE FREEZING,service
FMIVF-0057,EMBRYO FREEZING,service
FMIVF-0059,ARTIFICCIAL INSEMINATION WITH SEX SELECTION,service
FMIVF-0060,ICSI WITHOUT E.T.,service
FMIVF-0061,ICSI PROCEDURE,service
FMIVF-0062,FROZEN THOWED E.T.,service
FMIVF-0063,D.&C BEFORE ICSI,service
FMIVF-0066,MYOMECTOMY BEFORE ICSI,service
FMIVF-0067,C.S. AFTER ICSI (SINGLE BABY),service
FMIVF-0068,C.S. AFTER ICSI (TWIN.RECURRENT CS),service
FMIVF-0069,DIAGNOSTIC HYSTEROSCOPY BEFORE ICSI,service
FMIVF-0070,COMBINED DIAG. LAP AND HYSTEROSCOPY BEFORE ICSI,service
FMIVF-0058,ARTIFICIAL INSEMINATION 1,service
FMIVF-0064,DIAGNOSTIC LAPAROSCOPY BEFORE ICSI,service
FMIVF-0065,TRANSVAGINAL ULTRASOUND GUIDED CYST ASPIRATION,service
FMICU-0001,WARMING BLANKET PER HOUR,service
FMPTD-2116,HEMIPLEGIA P.T. 3 PROCEDURES,service
FMICU-0003,PACEMAKER PER DAY,service
FMICU-0004,INTERCOSTAL TUBE INSERTION,service
FMICU-0005,PORTABLE VENTILATOR (OXYGEN)   PER HOUR,service
FMICU-0006,EPIDURAL INSERTION,service
FMICU-0007,ECG PORTABLE,service
FMICU-0008,AIR MATRESS PER DAY,service
FMORW-0023,HIP SPICA ABDUCTION ORTHOSIS,service
FMORW-0084,HIP SPICA ABDUCTION ORTHOSIS,service
FMICU-0011,CHANGE OF TRACHEOTOMY TUBE,service
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,service
FMICU-0013,TWIN PUMP AMBU BAG /USE,service
FMICU-0014,USE OF BLOOD WARMER,service
FMMTR-0006,HOLTER MONITOR 24 HOURS ECG,service
FMICU-0018,SEQUENTIAL COMPRESSION DEVICE,service
FMICU-0016,PERCAUTENOUS DILATATIONAL TRACHEOSTOMY,service
FMICU-0017,CODEMAN ICP,service
FMINT-0031,PLEURAL BIOPSY,service
FMERDA0063,HOT COMPRESS,service
FMINT-0033,CONT.SUBCUTA.INSULIN INFU.PUMP,service
MTNUR-0010,HOT COMPRESS,service
FMINT-0006,ABDOMINAL PARACENTESIS,service
FMINT-0007,THORACOCENTESIS,service
FMINT-0008,PERCUTANEOUS KIDNEY BIOPSY,service
FMINT-0026,PULMONARY FUNCTION TEST,service
FMINT-0027,BENCARD SENSITIVITY TEST,service
FMINT-0028,PRELIMINARY INVESTIGATIONS,service
FMINT-0029,ASTHMA CHECKUP - 1ST VISIT,service
FMINT-0052,INHANCED RESPIROMETRY,service
FMINT-0053,M V V,service
FMINT-0054,T L C + R V,service
FMINT-0055,FLOW VOLUME LOOP,service
FMINT-0056,DIFFUSION,service
FMINT-0057,COMPLIANCE,service
FMINT-0058,AIRWAY RESISTENCE & CONDUCTANE,service
FMINT-0059,THORACIC GAS VOLUME,service
FMINT-0060,PROVOCATION CHALLENGE,service
FMINT-0061,SINGLE BREATH O2,service
FMINT-0062,MAX RESPIRATORY PRESSURE,service
FMINT-0065,DIABETIC FOOT CARE,service
FMINT-0066,FUNDUS PICTURE,service
FMINT-0067,DOOPLER EXAMINATION,service
FMINT-0068,BLOOD SUGAR TEST,service
FMINT-0069,URINE TEST,service
FMINT-0070,DIABETIC EDU. PROG.(4 SESSION),service
FMINT-0071,DIABETIC EDU. PRG. (1 SESSION),service
MTSUR-0081,HYDROCELECTOMY,service
FMINT-0073,SKIN TEST FOR DRUG,service
FMINT-0074,PEACK FLOW METER,service
URO-0016,Hydrocelectomy,PKG
FMINT-0076,PULSE OXYMETER,service
FMPTD-0023,HYDROTHERAPY,service
FMPTD-0085,HYDROTHERAPY,service
FMONC-0077,I. TH. CHEMO UNDER G.A.,service
MTONC-0002,I. TH. CHEMO UNDER G.A.,service
FMINT-0095,DIABETIC CENTER SERVICE(DIETIC IAN),service
FMINT-0096,DIABETIC CENTER SERVICE (EDUCA TION),service
FMINT-0097,DIABETIC CNTR SRVC DIATICIAN +  EDUCATION),service
FMINT-0098,DIETICIAN SERVICE,service
FMINT-0099,INSULIN INJECTION IN THE CLINI C,service
MTENT-0123,I.M.INJECTION,service
MTPSD-0047,I.M.INJECTION,service
FMINT-0084,UNIT B (CHECK-UP),service
FMINT-0086,UNIT D (CHECK-UP),service
MTSUR-0074,I.M.INJECTION,service
FMINT-0100,PRE-EMPLOYMENT,service
FMINT-0101,BRONCHIAL LAVAGE FOR BACTERIOLOGY,service
FMINT-0091,DIABETIC LABCHECK UP I,service
FMINT-0092,DIABETIC LAB CHECK UP II,service
FMINT-0093,DIABETIC LAB CHECK UP III,service
FMINT-0094,T. CHOLESTEROL + TRIGLYCERIDES,service
FMINT-0030,PERIODIC CHEST CHECKUP,service
FMINT-0034,GENERAL CHECK-UP I IN OPD,service
FMINT-0035,GEN.CHECK-UP I-WARD 2ND CLASS,service
FMINT-0036,GEN.CHECK-UP I-WARD 1ST CLASS WITH NO SUITE OR SEMI SUITE,service
FMINT-0037,GEN CHECK-UP II FOR MALE IP   1ST CLASS (1 DAY CASE),service
FMINT-0038,GEN CHECK-UP II MALE IP 2ND   CLASS (1 DAY CASE),service
FMINT-0039,GEN CHECK-UP II FEMALE IP 1ST CLASS (1 DAY CASE),service
FMINT-0040,GEN CHECK-UP II FEMALE IP 2ND CLASS (1 DAY CASE),service
FMINT-0041,PATIENT W/ SUSPECTED LIVER    DISEASE,service
FMINT-0042,PATIENTS W/ DYSPEPSIA UPPER   GUT & UPPER ABDOMEN,service
FMINT-0043,PATIENT W/ DYSPEPSIA LOWER GUTAND LOWER ABDOMEN,service
FMINT-0044,PATIENT W/ DYSPEPSIA WHOLE GUTAND WHOLE ABDOMEN OPD,service
FMINT-0045,GENERAL CHECK UP I,service
FMINT-0046,GEN. CHECK UP II(MALES&FEMALES,service
FMINT-0047,GEN. CHECK UP III(FEMALES ONLY,service
FMINT-0048,GEN.CHECK UP IV(W/SUSPECTED   LIVER DISEASE),service
FMINT-0049,GEN. CHECK UP IV(W/DYSPEPSIA  UPPER GUT AND UPPER ABDOMEN.,service
FMINT-0050,GEN. CHECK UP IV W/DYSPEPSIA  LOWER GUT AND LOWER ABDOMEN,service
FMINT-0051,GEN. CHECK UP IV W/DYSPEPSIA  WHOLE GUT AND WHOLE ABDOMEN,service
FMINT-0018,HEMODIALYSIS TYPE C2 (72SE),service
FMINT-0063,MINOR DRESSING,service
FMINT-0064,MAJOR DRESSING,service
MTURO-0026,I.M.INJECTION,service
FMERDA0017,I.V. CANULA,service
FMINT-0077,I.V. CANULA,service
FMINT-0080,I.M. INJECTION,service
FMINT-0102,PRE-EMPLOYMENT & IQAMA CHEKC-UP (NON-DISCOUNTABLE FOR SAUDI CATERING,service
FMINT-0103,BI-ANNUAL FOOD HANDLER CHECK-UP(NON-DISCOUNTABLE SAUDI CATERING),service
FMENT-0081,GENERAL CHECK-UP I (NEW),service
FMINTR0003,CHEST PHYSIOTHERAPY(OP),service
FMINTR0011,PEDIATRIC ABG EXTRACTION,service
FMERDA0019,I.V. FLUID INSERTION,service
FMINT-0106,PEG-TAIL INSERTION FOR THORACENTESIS OF CHEST PLEU,service
FMINTR0027,S P I R O M E T R Y,service
FMINTR0028,D L C O,service
FMINTR0029,LUNG VOLUME,service
FMINT-0128,CONTINOUS GLUCOSE MONITORING,service
FMINT-1006,Metabolic Therapeutic Care,service
PRE-0001,Pre-op Investigation,PKG
FMLAB-1505,"TRIPLE TEST (AFP, E3, HCG)",service
FMLAB-6051,MINIMAL INHIBITORY CONC (MIC),service
FMLAB-6260,SIEMENS-HIV,service
FMLAB-8065,MARKER FOR HER2-NEU BREAST CANER,service
FMLAB-9039,CHROMOSOMAL ANALYSIS,service
FMLAB-9074,HDV RNA By PCR,service
FMLAB-9091,ORTHO KIN LAB,service
FMLAB-9099,RESEARCH CODE,service
FMLAB-9198,CHROMOSOMAL ANALYSIS (ON PRODUCTS OF CONCEPTION),service
FMLAB-5017,HCV Ab ( ANTI- HCV Ab),service
FMLAB-9219,IGG SUBCLASSES (1-4),service
FMLAB-9235,SECRETIN CHANELLEGE TEST,service
FMLAB-9282,GANGLIOSIDES ANTIBODIES,service
FMLAB-9264,HEPATITIS C GENTYPING,service
FMLAB-9274,MONOCLONAL IMMUNOGLOBOLIN,service
FMLAB-9695,HOMOCYSTIENE,service
FMLAB-9723,SIROLIMUS (RAPAMUNE),service
FMLAB-9792,CYTOGENETICS LEUKEMIC BLOOD / BONE MARROW,service
FMLAB-9793,CYTOGENETICS CHORIONIC VILLI  (CVS),service
FMLAB-9806,ANGELMAN SYNDROME CHROMOSOME 15 MICRODELETION BY MULTI-FISH,service
FMLAB-9808,FUNGUS  EXAMINATION (SMEAR),service
FMLAB-9809,CSF DIRECT AGGLUTINATION,service
FMLAB-9779,VITAMIN K1,service
FMLAB-9780,CHOLESTEROL (LDL),service
FMLAB-9786,ZINC PROTOPORPHYRINS,service
FMLAB-9787,ANTIGEN DETECT. FOR CRYPTOCOCCUS SP.,service
FMLAB-9790,PHENOTHIAZINE,service
FMLAB-9791,AMNIOTIC FLUID CHROMSOMAL ANALYSIS,service
FMLAB-9816,EBV IGG,service
FMLAB-9818,AMOEBA ANTIBODIES (IHA),service
FMLAB-9820,PHADIOTOPE,service
FMLAB-9830,ABUSE DRUG PROFILE,service
FMLAB-9833,OBESITY PROFILE,service
FMLAB-9837,"ANEMIA PROFILE (CBC, IRON, Ferritin)",service
FMLAB-9968,17-KETOSTEROID FRACTIONATION,service
FMLAB-9980,T.N.F (Tumor Necrosis Factor),service
FMLAB-9729,STRATUM SPINOSUM (SPINY CELL) ABS,service
FMLAB-9730,STRIATED MUSCLE ABS,service
FMLAB-9731,SUBSTANCE  S,service
FMLAB-9733,SULTIAM (OSPOLOT),service
FMLAB-9734,T3 ABS,service
FMLAB-9736,T4 ABS,service
FMLAB-9737,TAENIA ABS (CYSTERCICOSIS),service
FMLAB-9741,TETRAHYDROALDOSTERONE,service
FMLAB-9742,TETRAHYDROCORTISONE,service
FMLAB-9743,THIORIDAZINE,service
FMLAB-9745,THYMIDE KINASE,service
FMLAB-9746,"THYMUS ABS (IGA, IGM, IGG)",service
FMLAB-9751,TIN (S.U),service
FMLAB-9752,TOBRAMYCIN,service
FMLAB-9753,TOCAINIDE,service
FMLAB-9754,TOLUENE (U),service
FMLAB-9758,TOXOPLASMOSIS DNA (PCR),service
FMLAB-9759,TPA (TISSUE POLYPEPTIDE AG.),service
FMLAB-9761,TRANSKETOLASE ENZYME,service
FMLAB-9762,TRAZODONE,service
FMLAB-9764,TRICHOLORACETIC ACID & TRICHLORETHANOL,service
FMLAB-9765,TRIMIPRAMINE,service
FMLAB-9768,UREAPLASMA UREALYTICUM ABS,service
FMLAB-9769,UROPORPHYRINOGEN 1SYNTHASE,service
FMLAB-9770,UROPORPHYRINS (F),service
FMLAB-9771,VANADIUM (S.U),service
FMLAB-9772,VASCULAR ABS,service
FMLAB-9773,VERAPIMIL,service
FMLAB-9775,VIP (VASOACTIVE INTESTINAL POLYPEPTIDE),service
FMLAB-9698,QUINIDINE,service
FMLAB-9699,QUININE,service
FMLAB-9700,RABIES ABS,service
FMLAB-9703,REVERSE T3,service
FMLAB-9704,"RHEUMATOID FACTOR IGA,IGG & IGM",service
FMLAB-9705,RIBONUCLEASE,service
FMLAB-9706,RICKETTSIA ABS,service
FMLAB-9707,RIFAMPICIN,service
FMLAB-9708,RITALIN (METHLPHENIDATE),service
FMLAB-9709,RNA ABS,service
FMLAB-9710,ROHYPNOL (FLUNITRAZEPAM),service
FMLAB-9713,SANDFLY FEVER VIRUS ABS IGG/IGM,service
FMLAB-9714,SCC (SQUAMOUS CELL CARCINOMA),service
FMLAB-9716,SELENIUM (S.U),service
FMLAB-9717,SHIGELLA ABS,service
FMLAB-9718,SIALIC ACID,service
FMLAB-9719,SKELETAL MUSCLE ABS,service
FMLAB-9370,ANTI PLATELETS ABS ,service
FMLAB-9371,ANTI PM1 ABS,service
FMLAB-9372,ANTI STAPHYLOLYSIN,service
FMLAB-9373,ANTI STERPTOCOCCAL HYALURONIDASE,service
FMLAB-9374,ANTI STREPTOKINASE,service
FMLAB-9375,"ARSENIC (B, HAIR, NAILS, U)",service
FMLAB-9376,"ASCARIS ABS. IGG, IGM",service
FMLAB-9377,ASPERGILLUS IgG & IgM (EIA),service
FMLAB-9379,ASULPHIDINE,service
FMLAB-9380,ATENOLOL (TENORMIN),service
FMLAB-9381,AVIAN PRECIPITANT ABS (15 TESTS),service
FMLAB-9321,ALPHA-GLUCOSIDASE,service
FMLAB-9323,HDV-RNA QUALITATIVE (BY PCR),service
FMLAB-9326,BCR-ABL FUSION GENE (BY FISH).,service
FMLAB-9328,PAROXYSMAL NOCTURAL HEMOGLOBINURIA( PNH SCREENING),service
FMLAB-9334,ACTIN ABS,service
FMLAB-9335,21- DESOXYCORTISOL,service
FMLAB-9336,ACETYCHOLINESTERASE (Amniotic Fluid),service
FMLAB-9338,SALICYLATES (ACETYSALICYLIC ACID),service
FMLAB-9339,ADENO VIRUS ANTIGEN DTECTION,service
FMLAB-9340,ADH  (Vasopressin) ,service
FMLAB-9341,ADRENAL  CORTEX ABS,service
FMLAB-9342,ALDOSTERONE 18-GLUCOCORTICOID,service
FMLAB-9344,ALPHA AMYLASE (S.U),service
FMLAB-9346,ALPHA 1 ANTI -TRYPSIN (S.U.),service
FMLAB-9347,ALPHA 1 GLYCOPROTEIN,service
FMLAB-9348,ALPHA 2 GLYCOPROTEIN,service
FMLAB-9349,ALPHA 2 MACROGLOBULIN,service
FMLAB-9350,HBDH (HYDROXYBUTYRIC DEHYDROGENASE),service
FMLAB-9351,ALPHA-MANNOSIDASE,service
FMLAB-9353,(DIALYSATE OR WATER) ALUMINUM,service
FMLAB-9354,ALVEOLAR BASAL MEMBRANE ABS,service
FMLAB-9358,AMPHOTERICIN SERUM LEVEL,service
FMLAB-9359,AMYLOID A,service
FMLAB-9360,ANCYLOSTOMA  ABS,service
FMLAB-9361,ANDROSTENDIONE,service
FMLAB-9362,ANDROSTERONE,service
FMLAB-9363,"ANTI DNASE (ANTI-STREPTOCOCAL-DNASE B, ANTI STREPTODORNASE B)",service
FMLAB-9364,ANTI-HU,service
FMLAB-9365,ANTI - JO-1,service
FMLAB-9367,ANTI R1,service
FMLAB-9368,ANTI YO (PURKINJE CELLS),service
FMLAB-9244,LUPUS ANTICOAGULANT ABS.,service
FMLAB-9100,NICKEL,service
FMLAB-9101,5-NUCLEOTIDASE,service
FMLAB-9102,ORGANIC ACIDS (U),service
FMLAB-9103,OSTEOCALCIN,service
FMLAB-9104,OVARIAN ABS.,service
FMLAB-9105,OXALATE (U),service
FMLAB-9106,PHENYLALANINE,service
FMLAB-9108, NEONATAL SCREENING FOR (inborn errors of metabolism),service
FMLAB-9111,PORPHYRINS (COPRO & URO) EACH (BOTH LINKED),service
FMLAB-9113,PORPHOBILINOGEN (U),service
FMLAB-9114,PROCOLLAGEN III-PEPTIDE (P-III-P),service
FMLAB-9119,REDUCING SUBSTANCE (FAECES OR URINE) CHROMATOGRAPHY,service
FMLAB-9121,SEX HORMONE BINDING GLOBULIN (SHBG),service
FMLAB-9122,"SILVER (S, U)",service
FMLAB-9125,SPERM ABS.  (S),service
FMLAB-9126,NEONATAL PHENYL KETONURIA(PKU) SCREEN,service
FMLAB-9127,"CD3, CD4, CD8 (T4/T8 LYMPHOCYTES Ratio) ",service
FMLAB-9130,TESTOSTERONE (FREE),service
FMLAB-9131,THYROGLOBULIN ABS.,service
FMLAB-9133,TRANSFERRIN (T),service
FMLAB-9136,VITAMIN B6 (PYRIDOXAL PHOSPHATE),service
FMLAB-9139,VITAMIN D (25-HYDROXY-CHOLECALCIFEROL),service
FMLAB-9140,VITAMIN C (ASCORBIC ACID),service
FMLAB-9141,VITAMIN E (Tocopherol),service
FMLAB-9143,WATER CHEMICAL ANALYSIS,service
FMLAB-9145,ZINC ( URINE),service
FMLAB-9146,PYRUVATE (CSF),service
FMLAB-9148,"GLIADIN DP ABS (IGA, IGG) SPECIFIC",service
FMLAB-9150,TRYPANOSOMEA BRUCEI ABS.,service
FMLAB-9092,METANEPHRINE & NORMETANEPHRINE(URINE),service
FMLAB-9093,MICROSOMAL ABS (THYROID MICROSOMAL ABS)(ANTI TPO),service
FMLAB-9095,"MUMPS ABS. (IGG, IGM)",service
FMLAB-9096,"MYOGLOBIN, QUANT. (S)",service
FMLAB-9098,MYOGLOBIN QUANT. (U),service
FMLAB-8051,IGG (CSF),service
FMLAB-8052,IGA (CSF),service
FMLAB-8053,IGM (CSF),service
FMLAB-9075,HEXOSEAMINIDASE A,service
FMLAB-9076,HISTAMINE ,service
FMLAB-9080,HYDROXY INDOLE ACETIC ACID (5-HIAA),service
FMLAB-9083,C-PEPTIDE,service
FMLAB-9085,INSULIN ABS.,service
FMLAB-9086,ISLET CELL ABS. (ICA),service
FMLAB-9087,LIVER MEMBRANE ABS. (B),service
FMLAB-9088,LIVER KIDNEY MICROSOMAL ABS. (LKM),service
FMLAB-9090,--MALARIAL ABS.,service
FMLAB-9061,FILARIA ABS.,service
FMLAB-9062,FOLIC ACID (S),service
FMLAB-9065,FT3 ( T3 FREE ),service
FMLAB-9066,GASTRIN (S),service
FMLAB-9067,GLUCAGON (P),service
FMLAB-9068,GOLD,service
FMLAB-9069,GONOCOCCAL ABS.,service
FMLAB-9071,HAPTOGLOBIN,service
FMLAB-9072,"ARYLSULPHATASE A (B, U)",service
FMLAB-8070,SLIDE REVIEW,service
FMLAB-8073,COMBINED ESTROGEN/PROGESTERONE RECEPTOR,service
FMLAB-8075,BB PROCEDURE,service
FMLAB-8001,ASPIRATION BIOPSY CYTOLOGY,service
FMLAB-8002,BODY FLUID CYTOLOGY,service
FMLAB-8003,CYTOLOGY-PAP SMEAR,service
FMLAB-8005,EXTRA BLOCKS,service
FMLAB-8006,FROZEN SECTIONS,service
FMLAB-8009,HISTOPATH/BIOPSY SMALL SPECM.,service
FMLAB-8010,HISTOPATH/BIOPSY LARGE SPECM.,service
FMLAB-8012,SPECIMENS-ROUTINE PROCESSING,service
FMLAB-8013,SPECIAL STAIN (EACH),service
FMLAB-8014,PANEL SPECIAL STAIN(4 OR MORE),service
FMLAB-9384,BARIUM,service
FMLAB-9386,BETA-HYDROXY-BUTYRATE,service
FMLAB-9387,BETA MANNOSIDASE,service
FMLAB-9388,BILE ACIDS TOTAL,service
FMLAB-9389,BILE DUCT ABS (CANAL),service
FMLAB-9390,BILE DUCT ABS (EPITHELIAL),service
FMLAB-9391,BIOTIN,service
FMLAB-9392,BISMUTH (U),service
FMLAB-9394,"BORDETELLA PERTUSSIS ABS(WHOOPING COUGH) IGA, IGG, IGM",service
FMLAB-9396,Varicella Zoster  DNA (PCR),service
FMLAB-9397,BROMAZEPAM,service
FMLAB-9399,"BROMIDE, QUANT.",service
FMLAB-9403,CA 50,service
FMLAB-9404,CA 549,service
FMLAB-9407,"CADMIUM (B, U)",service
FMLAB-9408,CAFFEINE,service
