Service Code,Service Description,type,Fee,1/1/2026 FEE,Discount,Effective Date,Termination Date,Schedule Name,NPHIES Code
URO-0134,PCNL for complete Staghorn stone + DJ insertion + ESWL (two sessions),P1   ,29439.98,29734.0,0.0,2022-01-01 00:00:00, ,IP Package,36540-00-01
SML1651,SET BLOOD ADMINISTRATION #TB -A200,OS   ,22.4,22.4,15.0,2022-01-01 00:00:00, ,Additional Pricelist,38569
FMSUR-0030,HAEMORRHOIDECTOMY OT00388211,OS   ,1668.74,1735.0,15.0,2022-01-01 00:00:00, ,Main Pricelist,32138-00-00
FMSUR-0340,LIVER TRANSPLANTATION DONOR,P1   ,53045,53575.0,0.0,2022-01-01 00:00:00, ,IP Package,90346-00-00
SUR-0088,OPEN CHOLECYSTECTOMY,P1   ,8838.74,9552.0,0.0,2022-01-01 00:00:00, ,IP Package,30443-00-00
FMSUR-0084,CHOLESYSTECTOMY,OS   ,5128.95,5128.95,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30443-00-00
URO-0138,Partial Nephrectomy + Vascular clamping + Calyceal repair + DJ stent insertion,P1   ,25461.6,27516.0,0.0,2022-01-01 00:00:00, ,IP Package,36522-01-00
URO-0035,SUPRAPUBIC CYSTOSTOMY (FOR STONE OF ULCER OF THE BLADDER OR RETENTION OF URINE),P1   ,7734.98,8125.0,0.0,2022-01-01 00:00:00, ,IP Package,37011-00-00
FMSUR-0092,LAPAROTOMY OT00388245,OS   ,4010.16,4171.0,15.0,2022-01-01 00:00:00, ,Main Pricelist,30373-00-00
OBG-0009,DOUGLAS POUCH ABSCESS DRAINAGE,P1   ,3315.61,3349.0,0.0,2022-01-01 00:00:00, ,IP Package,30394-00-00
FMSUR-0096,PERITONEAL WASHOUT,OS   ,2679.49,2867.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30396-00-00
SUR-0045,SMALL INCISIONAL HERNIA WITHOUT HERNIOPLASTY,P1   ,4419.37,4776.0,0.0,2022-01-01 00:00:00, ,IP Package,30403-00-00
FMSUR-0086,STRANGULATED HERNIA+RESECTION OT00388204,OS   ,3974.62,3974.62,15.0,2022-01-01 00:00:00, ,Main Pricelist,30615-00-00
URO-0001,Diagnostic Cystoscopy,P1   ,3000,3464.0,0.0,2022-01-01 00:00:00, ,IP Package,36812-00-00
FMURO-0002,CYSTOURETHOSCOPY,OS   ,1318.78,1318.78,15.0,2022-01-01 00:00:00, ,Additional Pricelist,36812-00-00
FMXRAY1392,IR. PERCUTENOUS NEPHROSTOMY (2 Sides),P1   ,19000,19190.0,0.0,2023-01-11 00:00:00, ,Notifications,36552-00-02
FMNEP-0027,URGENT HEMO. (PAT.W/VASC.ACCESS,OS   ,3488,3488.0,15.0,2024-01-01 00:00:00, ,Additional Pricelist,13100-00-00
FMNEP-0003,REGULAR HEMODIALYSIS W/ STAND.,OS   ,739,739.0,15.0,2024-01-01 00:00:00, ,Additional Pricelist,13100-00-00
FMURO-0194,DOUBLE J (DJ) EXCHANGE,OS   ,957.87,996.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,36821-03-00
URO-0037,URETEROSCOPY WITH/OUT STENT+STONE REMOVAL(ADD 700 FOR LASER),P1   ,8012,8659.0,0.0,2022-01-01 00:00:00, ,IP Package,36806-02-00
FMURO-0071,PERI-NEPHRIC ABSCESS OT00351212,OS   ,2498.62,2498.62,15.0,2022-01-01 00:00:00, ,Main Pricelist,36537-02-01
SMQ1174,SYRINGE 5ML W/OUT NEEDLE STERILE BD #302187,OS   ,0.83,0.83,15.0,2022-01-01 00:00:00, ,Additional Pricelist,63095
MS-S-002700,STENT URETERAL SET SILICONE DOUBLE PIGTAIL 6FR X 28CM GEOTEK #SDJ628-BEO,OS   ,800,800.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,58005
MS-K-000285,KNEE ISNY ABOVE PROSTHESIS,OS   ,68000,68000.0,15.0,2023-01-11 00:00:00, ,Notifications,58716
SME1396,"SENSOR ADHESIVE NEONATAL 18"" F/RADICAL-7 MASIMO #2329",OS   ,215.29,215.29,15.0,2022-01-01 00:00:00, ,Consumables,62743
MS-D-000142,DRESSING MEBO 40 X 60MM JULPHAR #6291100087440,OS   ,0.86,0.86,15.0,2022-01-01 00:00:00, ,Consumables,62184
SMB1014,BLADE SKIN GRAFT KNIFE #HG-215-01-Q/KNI-3680,OS   ,76.9,76.9,15.0,2022-01-01 00:00:00, ,Consumables,35134
MS-N-000041,NEEDLE SPINAL G-27MM,OS   ,21.54,21.54,15.0,2022-01-01 00:00:00, ,Consumables,35212
MS-C-001160,CATHETER URETERAL 6FR X 70CM OPEN TIP GEOTEK #GUC670-OE,OS   ,0.87,0.87,15.0,2022-01-01 00:00:00, ,Consumables,34926
MS-P-003296,PLATE 5 HOLE STRAIGHT TITANIUM OSTEONIC#A2A.10050,OS   ,1098.44,1098.44,15.0,2022-01-01 00:00:00, ,Consumables,46649
MS-L-000177,LARYNGOSCOPE DISPOSABLE MAC SET SIZE 3 SMD #31-3-12A,OS   ,70.75,70.75,15.0,2022-01-01 00:00:00, ,Consumables,46828
MS-S-002697,STENT URETERAL SET PEDIATRIC 3FR X 12CM BIOTEQ #BT-DJ-3012-210-CL,OS   ,0.87,0.87,15.0,2022-01-01 00:00:00, ,Consumables,47053
SMI9096,STENT URETERAL DJ 4.6X26CM APPLIED MED #B3837,OS   ,545.7,545.7,15.0,2022-01-01 00:00:00, ,Consumables,47053
SMJ1674,FILTER VENTILATOR (BACTERIAL) GUARD INTERSURGICAL 194,OS   ,24.61,24.61,15.0,2022-01-01 00:00:00, ,Consumables,46505
SMO9804,AMPLATZER SEPTAL OCCLUDER 12MM AGA #9-ASD-012,OS   ,29657.81,29657.81,15.0,2022-01-01 00:00:00, ,Consumables,46852
MS-A-000503,"AMPLATZER VASCULAR PLUGSIZE 12,FREESIZES MEDISERV # 9-PLUG-012",OS   ,8600,8600.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,46852
MS-M-000324,MESH PLATE 100X100MM 0.4MM MALLEABLE MATRIXNEURO SYNTHES# 04.503.083,OS   ,11600,11600.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,46580
SME1423,GLOVES SURGEON SIZE 7.5 STERILE POWDER FREE,OS   ,7.02,7.02,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47178
SME1426,GLOVES SURGEON SIZE 7 STERILE POWDER FREE,OS   ,8.28,8.28,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47178
FMVAS-0042,EXCISION OF CERVICAL RIB OT00355278,OS   ,3066.72,3066.72,15.0,2022-01-01 00:00:00, ,Main Pricelist,48406-12-00
ORT-0065,EXCISION OF CERVICAL RIB,P1   ,11049.51,11941.0,0.0,2022-01-01 00:00:00, ,IP Package,48406-12-00
FMORT-0668,CERVICAL ANTERIOR FUSION OT00385220,OS   ,5450.63,5832.0,15.0,2022-01-01 00:00:00, ,Main Pricelist,48639-00-00
NEU-0049,DORSAL SPINAL FRACTURE (1 Day ICU ),P1   ,27622.15,27898.0,0.0,2022-01-01 00:00:00, ,IP Package,47699-02-00
ORT-0085,FUSION OF THE SPINE AFTER FRACTURE OR FRACTURE DISLOCATION,P1   ,22096.85,23211.0,0.0,2022-01-01 00:00:00, ,IP Package,47699-02-00
NEU-0043,WITH PEDICAL SCREW FIXATION ( TWO LEVEL ) 1 Day ICU,P1   ,22096.85,23211.0,0.0,2022-01-01 00:00:00, ,IP Package,48684-00-00
FMORT-0769,REMOVAL OF SPINAL INSTRUMENTATION,OS   ,2104.43,2104.43,15.0,2022-01-01 00:00:00, ,Additional Pricelist,50616-01-00
FMORT-0234,OPER.FOR RECURRENT DISL.SHOULD OT00355305,OS   ,3219.4,3219.4,15.0,2022-01-01 00:00:00, ,Main Pricelist,47009-00-01
ORT-0035,EXCISION OF HEAD OF RADIUS,P1   ,4144.51,4479.0,0.0,2022-01-01 00:00:00, ,IP Package,48406-03-01
FMURO-40258,REZUM(ENDOSCOPIC WATER VAPOR THERAPY OF PROSTATE,P1   ,21000,22220.0,0.0,2023-01-03 00:00:00, ,Notifications,37224-00-00
MTURO-0018,TRANSRECTAL U/S W/ PROS.BIOPSY UR00351016,OS   ,1549.43,1549.43,15.0,2022-01-01 00:00:00, ,Main Pricelist,37218-00-00
URO-0139,TURP + Cystourethroscopy ( 50cc or less ),P1   ,12154.73,13136.0,0.0,2022-01-01 00:00:00, ,IP Package,37224-03-00
URO-0082,TRANS-URETHRAL RESECTION OF PROSTATE (TURP) OR (LASER),P1   ,16784.57,18180.0,0.0,2022-01-01 00:00:00, ,IP Package,37224-03-00
URO-0023,SUPRA-PUBIC PROSTATECTOMY,P1   ,11601.38,11717.0,0.0,2022-01-01 00:00:00, ,IP Package,37200-03-00
FMPDS-0135,ORCHIOPEXY UNILATERAL,P1   ,3023.57,3268.0,0.0,2022-01-01 00:00:00, ,IP Package,37604-10-00
URO-0112,BILATERAL LAPAROSCOPIC ORCHIDOPEXY,P1   ,7182.01,7254.0,0.0,2022-01-01 00:00:00, ,IP Package,37604-11-00
FMDER-0193,INTRA-CORPORAL INJ. (I.C.I) SK00377003,OS   ,184.33,184.33,15.0,2022-01-01 00:00:00, ,Main Pricelist,37415-00-00
FMURO-0139,SURGICAL MANAGEMENT OF PRIAPRISM,OS   ,3528.27,3528.27,15.0,2022-01-01 00:00:00, ,Additional Pricelist,37393-01-00
FMORT-0299,FINGER/WRIST TENDON RELEASE OT00355215,OS   ,834.98,834.98,15.0,2022-01-01 00:00:00, ,Main Pricelist,47963-00-01
FMSUR-0154,CIRCUMCISION ABOVE 12 YEARS GS00002113,OS   ,1463.17,1463.17,15.0,2022-01-01 00:00:00, ,Main Pricelist,30653-00-00
URO-0093,HYPOSPADIAS (GLANDULAR),P1   ,4419.37,4464.0,0.0,2022-01-01 00:00:00, ,IP Package,37818-00-00
FMOBG-0081,OPHRECTOMY OT00371235,OS   ,3391.56,3391.56,15.0,2022-01-01 00:00:00, ,Main Pricelist,35717-01-00
OBG-0025,LAPAROSCOPIC OVARIAN CYSTECTOMY,P1   ,9392.79,9866.0,0.0,2022-01-01 00:00:00, ,IP Package,35638-04-00
FMOBG-0181,HYDROTUBATION FEE OB00371104,OS   ,149.33,149.33,15.0,2022-01-01 00:00:00, ,Main Pricelist,35703-00-00
FMOBG-0145,HYSTEROSCOPIC EXAMINATION,OS   ,1026.8,1026.8,15.0,2022-01-01 00:00:00, ,Additional Pricelist,35630-00-00
FMOBG-0146,HYSTEROSCOPIC BIOPSY,OS   ,2673.75,2781.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,35630-00-00
MTOBG-0010,D & C DR00371205,OS   ,1072.78,1072.78,15.0,2022-01-01 00:00:00, ,Main Pricelist,35640-00-00
OBG-0001,,P1   ,2210.77,2322.0,0.0,2022-01-01 00:00:00, ,IP Package,35633-01-00
FMOBG-0035,MYOMECTOMY OT00371241,OS   ,3974.62,3974.62,15.0,2022-01-01 00:00:00, ,Main Pricelist,35649-01-00
OBG-0031,MYOMECTOMY,P1   ,11745.64,12867.0,0.0,2022-01-01 00:00:00, ,IP Package,35649-01-00
MTOBG-0017,CERVICAL CAUTERY OB00371003,OS   ,124.97,124.97,15.0,2022-01-01 00:00:00, ,Main Pricelist,35608-00-00
FMOBG-0003,CRYO CAUTERY OB00371007,OS   ,357.21,357.21,15.0,2022-01-01 00:00:00, ,Main Pricelist,35608-00-00
FMORT-0818,CLOSED REDUCTION OF INT. FIX. SUPRADONDYLE,OS   ,2746.14,2938.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47456-01-01
FMOBG-0189,IMPERFORATE HYMEN INCISION EM00371206,OS   ,625.47,625.47,15.0,2022-01-01 00:00:00, ,Main Pricelist,35509-00-00
FMOBG-0151,BARTHOLIN.S CYST INCISION OT00371211,OS   ,1363.47,1363.47,15.0,2022-01-01 00:00:00, ,Main Pricelist,35513-00-00
FMIVF-0051,E.T. EMBRYO TRANSFER OB00371244,OS   ,2623.3,2623.3,15.0,2022-01-01 00:00:00, ,Main Pricelist,13215-01-00
OBG-0035,Vaginal IUFD Delivery,P1   ,5304.5,5733.0,0.0,2022-01-01 00:00:00, ,IP Package,90467-00-00
OBG-0028,CEASARIAN SECTION + NORMAL BABY CARE (ONE BABY ONLY),P1   ,14210,14926.0,0.0,2024-01-01 00:00:00, ,IP Package,16520-04-00
SMO11393,BALDE SHAVER AGRSV.CUTTER STRL.4.5MM KARL STROZ#28205AK5,OS   ,1064.17,1064.17,15.0,2022-01-01 00:00:00, ,Consumables,41499
MS-P-003748,PLATE RECONSTRUCTION STRAIGHT 7 HOLES X 82 L. IRENE # S72000708,OS   ,470,470.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,61573
MS-P-002487,PLATE T-BUTTRESS 6 HOLES LARGES ORTHO SELECT# 6016-0-6006,OS   ,1500,1500.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,61573
MS-P-004647,PLATE RADIUS DISTAL VORTEX LEFTSIDE 18 HOLES  SANATMETAL #280114718,OS   ,3500,3500.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,61573
MS-W-000272,WASHER OVAL 16MM TIPMED #042785,OS   ,18.45,18.45,15.0,2022-01-01 00:00:00, ,Consumables,61670
MS-C-002052,CANNULA TWIST-IN 8.25MM X 9CM ARTHREX # AR-6540,OS   ,461.35,461.35,15.0,2022-01-01 00:00:00, ,Consumables,61510
FMXRY-0643,MRI WHOLE SPINE,OS   ,1273.08,1273.08,15.0,2022-01-01 00:00:00, ,Additional Pricelist,90901-03-10
SMI9108,TUBE BREATHING SYSTEM  HEATED VENSTAR NEONATAL DRAGER MP # 00308,OS   ,537.8,537.8,15.0,2022-01-01 00:00:00, ,Consumables,61347
SMI1224,CATHETER EMBOLECTOMY 5CH 80CM RUS#337000/BAX#120805F/300580,OS   ,592.28,592.28,15.0,2022-01-01 00:00:00, ,Consumables,60449
ORT-0068,O.R.I.F. & PARTIAL OR TOTAL EXCISION OF PATELLA,P1   ,8507.61,9194.0,0.0,2022-01-01 00:00:00, ,IP Package,47060-00-01
FMORT-1005,ILIZAROVE APPLICATION,OS   ,9270.14,9919.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,50130-00-01
ORT-0079,"ARTHRODESIS OF (KNEE, HIP, T.B.)",P1   ,13258.11,13926.0,0.0,2022-01-01 00:00:00, ,IP Package,49509-01-00
FMPTD-0037,INTRA-ARTICULAR INJECTION PA00355007,OS   ,157.04,157.04,15.0,2022-01-01 00:00:00, ,Main Pricelist,50124-01-10
FMORT-0172,INTRA ART. INJ. TO SHOULDER AND MEDICATION,OS   ,637.05,637.05,15.0,2022-01-01 00:00:00, ,Additional Pricelist,50124-01-31
ORT-0008,"PLATE REMOVAL/SCREW OR NAIL, LONG BONE",P1   ,3745.92,5939.0,0.0,2022-01-01 00:00:00, ,IP Package,47930-00-01
FMORT-0778,MOSAICOPLASTY,OS   ,5273.1,5642.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,49503-02-01
FMORT-0484,ANKLE/KNEE RUPT. LIG. REPAIR OT00355244,OS   ,2027.19,2027.19,15.0,2022-01-01 00:00:00, ,Main Pricelist,49539-01-01
ORT-0089,ONE REVISION OF TKR OPERATION ALSO APPLICABLE TO KNEE REPLACEMENT + PRO,P1   ,33146.36,33478.0,0.0,2022-01-01 00:00:00, ,IP Package,49527-00-01
FMPDS-0012,RELEASE  G-P ADHESIONS POST CIRCUMCISION PS00371117,OS   ,1083.83,1083.83,15.0,2022-01-01 00:00:00, ,Main Pricelist,90402-01-00
ORT-0101,"Closed reduction with internal fixation metacarpal, metatarsal",P1   ,5834.95,6129.0,0.0,2022-01-01 00:00:00, ,IP Package,47636-01-01
ORT-0009,AMPUTATION OF FINGER OR TOE,P1   ,2762.65,2902.0,0.0,2022-01-01 00:00:00, ,IP Package,46465-00-01
FMORT-0080,CLOSED REDUCT OF FRACT W/ INT. FIX AT PHALANGES - FOOT,OS   ,1925.96,2003.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47663-01-01
FMORT-0076,CLOSED REDUCT OF FRACT W/ INT. FIX AT PHALANGES-HAND,OS   ,1740.3,1862.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,47300-01-01
FMORT-0714,PROXIMAL RAW CARPECTOMY,NC   ,0,0.0,0.0,2022-01-01 00:00:00, ,Additional Pricelist,49206-00-01
MS-B-001209,BALLOON VENOUS LARGE DIAMETER ATLAS GOLD  DIFF. SIZES ATLAS BARD #ATG,OS   ,3700,3700.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,44794
FMSUR-0057,EXCISION OF GANGLION NS00355212,OS   ,795.36,795.36,15.0,2022-01-01 00:00:00, ,Main Pricelist,46494-00-01
ORT-0041,ARTHRODEASIS OF THE BIG TOE,P1   ,2762.65,2902.0,0.0,2022-01-01 00:00:00, ,IP Package,90559-00-00
VAS-0027,ABOVE KNEE AMPUTATION,P1   ,19888.25,20891.0,0.0,2022-01-01 00:00:00, ,IP Package,44367-00-00
ORT-0053,CONGENITAL DISLOCATION OF HIP (CHD),P1   ,11049.51,11160.0,0.0,2022-01-01 00:00:00, ,IP Package,47048-00-01
CAR-0025,CATH LAB WITH PTCA MULTI-VESSEL (WITHOUT STENT PRICE),P1   ,19335.28,19529.0,0.0,2022-01-01 00:00:00, ,IP Package,49318-00-00
SMH2437,SUTURE PDS II MONOFILOMENT 3/0 ETHICON #W9134T/Z316E,OS   ,79.02,79.02,15.0,2022-01-01 00:00:00, ,Consumables,44829
MS-T-000943,TAPE FIBER 2MM X 76CM BRAIDED POLYBEND BLUE ARTHREX # AR-7237-7,OS   ,772.42,772.42,15.0,2022-01-01 00:00:00, ,Consumables,44829
MS-T-000905,TAPE TIGER 2MM BRAIDED WHITE/BLACK ARTHREX # AR-7237-7T,OS   ,922.69,922.69,15.0,2022-01-01 00:00:00, ,Consumables,44829
SMH2589,SUTURE PDS 7/0 ETHICON #Z1711E/W9095T,OS   ,156.61,156.61,15.0,2022-01-01 00:00:00, ,Consumables,44829
SMH1228,SUTURE VICRYL PLUS ANTIMICROBIAL 2/0 ETHICON #W9150/VCP351H,OS   ,54.5,54.5,15.0,2022-01-01 00:00:00, ,Additional Pricelist,44829
FMORT-0378,HIGH TIBIAL OSTEOTOMY W\O GRFT,OS   ,2387.75,2387.75,15.0,2022-01-01 00:00:00, ,Additional Pricelist,48418-00-01
FMORT-0605,SUPRACONDYLAR OSTEOTOMY OT00355277,OS   ,3066.72,3066.72,15.0,2022-01-01 00:00:00, ,Main Pricelist,48424-06-01
MS-B-000814,BOWL KIT ATLS2001 BT725  & EL2402-2 MEDTRONIC #ATLS24,OS   ,1142.38,1142.38,15.0,2022-01-01 00:00:00, ,Consumables,42891
MS-B-001635,BLADE SAW DISPOSABLES KIT TIBIAL ACL . ARTHREX # AR-1898S,OS   ,1564.18,1564.18,15.0,2022-01-01 00:00:00, ,Consumables,43376
FMINTR0017,NEBULIZATION,OS   ,143.22,143.22,15.0,2022-01-01 00:00:00, ,Additional Pricelist,92043-00-00
FMNUR-0053,NEBULIZATION FMNUR - 0053,OS   ,80,80.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,92043-00-00
FMXRY-0465,NM- LYMPHOSCINTIGRAPHY RA00421038,OS   ,1300.1,1300.1,15.0,2022-01-01 00:00:00, ,Main Pricelist,61469-00-00
FMXRY-0417,NM- RENOGRAM (DIURETIC) SCINTIGRAPHY (DTPA) RA00421010,OS   ,953.33,953.33,15.0,2022-01-01 00:00:00, ,Main Pricelist,61389-00-00
FMLAB-9630,HUMAN PAPILLOMA VIRUS DNA (HPV-DNA),OS   ,1869.3,1869.3,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-57-60
FMERDA0044,GASTRIC LAVAGE W/ N.G.T. EM00130007,OS   ,308.43,308.43,15.0,2022-01-01 00:00:00, ,Main Pricelist,14200-00-00
FMXRY-0451,NM- HEPATOBILIARY HIDA SCAN RA00421026,OS   ,953.33,953.33,15.0,2022-01-01 00:00:00, ,Main Pricelist,61369-00-00
FMVAS-0003,EXCISION AND STRIPPING OF VARICOSE VEIN OT00389966,OS   ,5366.23,5366.23,15.0,2022-01-01 00:00:00, ,Main Pricelist,45503-02-00
OBG-0003,REMOVAL OF SUTURE (SHIRODKAR OR MCDONAL SUTURE),P1   ,1215.21,1276.0,0.0,2022-01-01 00:00:00, ,IP Package,92200-00-00
FMNUR-0050,SUTURE REMOVAL,OS   ,106.95,106.95,15.0,2022-01-01 00:00:00, ,Additional Pricelist,92200-00-00
FMPTD-0013,ELECTRIC. MASSAGE - TOTAL - OP,OS   ,153.86,153.86,15.0,2022-01-01 00:00:00, ,Additional Pricelist,96162-00-00
MRICONTRAST,MRI package with contrast,P2   ,1250,1250.0,0.0,2022-01-01 00:00:00, ,Notifications,90901-08-20
FMLAB-1058,PLATELET COUNT LA00410009,OS   ,91.8,91.8,15.0,2022-01-01 00:00:00, ,Main Pricelist,73100-01-60
FMLABM0104,FACTOR II MUTATION (PROTHROMBIN G20210A),OS   ,957.99,957.99,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73100-02-30
FMLAB-9060,FACTOR VIII RELATED AG-VIII AG  (VON WILLEBERAND FACTOR),OS   ,795.68,795.68,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73100-02-70
FMLABM0052,D-DIMER,OS   ,537,537.0,15.0,2024-01-01 00:00:00, ,Additional Pricelist,73100-05-70
FMLAB-3017,GROWTH HORMONE (HGH)( SO ) LA99900529,OS   ,319.62,319.62,15.0,2022-01-01 00:00:00, ,Main Pricelist,73000-02-60
FMLAB-2084,URINEKETONES,OS   ,58.35,58.35,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-00-00
FMLAB-2057,MICROALBUMIN( SO ) LA99900784,OS   ,274,274.0,15.0,2024-01-01 00:00:00, ,Main Pricelist,73050-00-90
FMLAB-3003,AFP (ALPHA FETO PROTEIN)-AP LA99901810,OS   ,552.98,552.98,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-01-90
FMORT-0178,OTHER LOCAL EXCISN OR DESTRCTNOF LESION-HAND & FINGER,P1   ,5304.5,5733.0,0.0,2022-01-01 00:00:00, ,IP Package,90574-00-01
FMORT-0305,EXCISION OF HETEROPTIC BONE,OS   ,1216.73,1265.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,90572-00-01
FMPSDJ0039,FAT INJECTION IN THE BREAST,OS   ,2500,2500.0,15.0,2023-01-11 00:00:00, ,Notifications,90723-00-00
FMLAB-9169,APOLIPOPROTEIN A1 (APOA) LA00410370,OS   ,270.95,270.95,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-03-60
FMLAB-9170,APOLIPOPROTEIN B (APB) LA00410371,OS   ,270.95,270.95,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-03-60
FMLAB-9140,VITAMIN C (ASCORBIC ACID)( SO ) LA99901200,OS   ,438.7,438.7,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-03-80
FMLAB-2058,OCCULT BLOOD LA00410285,OS   ,76.19,76.19,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-04-80
FMLAB-9031,CAROTENE( SO ) LA00410310,OS   ,357.21,357.21,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-06-90
FMLABM0006,CATECHOLAMINES (ADRENALIN & NORADENALIN)(URINE),OS   ,763.85,763.85,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-07-00
FMLABM0132,CATECHLOMINES (ADRENALIN & NORADENALIN) (BLOOD),OS   ,1379.17,1379.17,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-07-10
FMORT-0256,BURSECTOMY OF HAND,OS   ,1491.92,1552.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30107-01-01
ORT-0052,BONE GRAFTING FOR UN-UNITED FRACTURES,P1   ,8838.74,9552.0,0.0,2022-01-01 00:00:00, ,IP Package,48239-00-00
FMORT-0015,BONE BANK GRAFT,OS   ,908.11,972.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,48239-00-00
FMOBG-0110,SIMPLE MASTECTOMY NS00388240,OS   ,2498.62,2498.62,15.0,2022-01-01 00:00:00, ,Main Pricelist,31518-00-00
FMEGD-0008,OT SESSION (A),OS   ,288.3,288.3,15.0,2022-01-01 00:00:00, ,Additional Pricelist,95550-02-00
FMPTD-0032,TOTAL PT >3 MODALITIES - OP,OS   ,270.95,270.95,15.0,2022-01-01 00:00:00, ,Additional Pricelist,95550-03-00
FMPTD-0031,TOTAL PT - 3 MODAL. - OP,OS   ,390,390.0,15.0,2024-01-01 00:00:00, ,Additional Pricelist,95550-03-00
FMLAB-2091,CHLORIDE  24 HOURS URINE (PROFILE ) LA00410772,OS   ,81.83,81.83,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-07-90
FMLAB-2014,CK-MB LA00410162,OS   ,130.25,130.25,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-09-60
FMLAB-9049,DHEA( SO ) LA99900361,OS   ,401.45,401.45,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-10-90
FMLAB-9335,21- DESOXYCORTISOL,OS   ,1000,1000.0,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-11-00
FMLABM0121,ANTI-TISSUE TRANSGLUTAMINASE (lgG),OS   ,848.72,848.72,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-11-50
FMLAB-9157,ERYTHROPOIETIN,OS   ,954.81,954.81,15.0,2022-01-01 00:00:00, ,Additional Pricelist,73050-11-80
ORT-0106,Tendon Transfer,P1   ,11270,12179.0,0.0,2022-01-01 00:00:00, ,IP Package,47966-00-01
FMONC-0021,RADIATION/SINGLE SET ON00423003,OS   ,786.32,786.32,15.0,2022-01-01 00:00:00, ,Main Pricelist,15000-00-00
FMLAB-2037,GAMMA-GT LA00410182,OS   ,97.08,97.08,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-15-40
FMLAB-2041,BLOOD SUGAR FBS LA00410022,OS   ,81,81.0,15.0,2024-01-01 00:00:00, ,Main Pricelist,73050-15-50
FMERDA0062,BLOOD SUGAR (GLUCOMETER) F-UP EM00410373,OS   ,43.02,43.02,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-15-60
FMLAB-2042,P P B S(GLUCOSE) LA00410289,OS   ,65.13,65.13,15.0,2022-01-01 00:00:00, ,Main Pricelist,73050-15-70
FMPSDH0008,"BURN DRESSING , 5%",OS   ,188.84,188.84,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30010-00-10
FMPSDH0006,BURN DRESSING 10 - 20%,OS   ,744.26,744.26,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30014-00-00
FMNUR-0004,ORDINARY DRESSING,OS   ,47.74,47.74,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30055-00-00
FMERDA0067,ORDINARY DRESSING.,OS   ,42.44,42.44,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30055-00-00
FMURO-0056,DRESSING OF WOUND,OS   ,196,196.0,15.0,2024-01-01 00:00:00, ,Additional Pricelist,30055-00-00
FMORT-0422,DRESSING OF SMALL WOUND,OS   ,21.22,21.22,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30055-00-10
MTNUR-0005,DRESSING SMALL,OS   ,88.35,88.35,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30055-00-10
FMENTE4026,DRESSING OF WOUND (MEDIUM),OS   ,68.96,68.96,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30055-00-20
FMNUR-0005,MEDIUM DRESSING,OS   ,68.96,68.96,15.0,2022-01-01 00:00:00, ,Additional Pricelist,30055-00-20
