Service Code,Service Description,Serv ice Type,Disco unt,Gross price Applicabl eEffective 1/5/2024,Gross price ApplicableEffective 1/1/2025    ,"Gross price Applicabl e
Effective 1/1/2026",Effective Date,Naphies,Notes
FMENTN2009,CONTROL OF EPISTAXIS BY CHEM. CAUTERIZATION - UNILATERAL,OS,0.25,85,89.25,93.71,,,
FMLAB-8143,CONVENTIONALCHROMOSOMEANALYSISFORHEMATOLOGIC ALDISORDER.(WHOLEBLOOD),OS,0.25,4873.5,5117.18,"5,373.0
3",,,
FMNBD-0011,COOLING THERAPY,OS,0.25,2052,2154.6,"2,262.3
3",,,
FMLAB-8138,COOMB'S TEST DIRECT MONOCLONAL TYPE,OS,0.25,194.94,204.69,214.92,,,
FMLAB-1033,COOMBS TEST-DIRECT,OS,0.25,60,63,66.15,,,
FMLAB-1034,COOMBS TEST-INDIRECT,OS,0.25,60,63,66.15,,,
FMLAB-9045,COPPER (U),OS,0.25,232,243.6,255.78,,,
FMLAB-1529,COPPER (URINE 24HR),OS,0.25,200,210,220.5,,,
NEU-0024,Cord Tumour,P1,0,16427,17248.35,"18,110.
77",,,
ENT-0015,Cordal Nodule of Benign Tumour from the Vocal Cord,P1,0,7040,7392,"7,761.6
0",,,
ENT-0033,Cordopexy,P1,0,3911,4106.55,"4,311.8
8",,,
ORT-0060,Core Tax Band for Cruciate Ligament Reconstruction-PT/IP,P1,0,9152,9609.6,"10,090.
08",,,
MS-C-003828,COR-KNOT MINI COMBO KIT 4MMx17CM 12 QUICK LOAD PETERS No.031450,OS,0.25,2463.3,2586.47,"2,715.7
9",,,
MS-C-003829,COR-KNOT QUICK LOAD SINGLE UNIT PETERS No.030950,OS,0.25,863.19,906.35,951.67,,,
OPT-0018,Corneal Dermoid Excision,P1,0,4480,4704,"4,939.2
0",,,
OPT-0036,Corneal Graft (P. Keratoplasty),P1,0,9500,9975,"10,473.
75",,,
OPT-0004,Corneal Graft Suture Removal,P1,0,2347,2464.35,"2,587.5
7",,,
FMOPTH0028,CORNEAL TOPOGRAPHY,OS,0.25,525,551.25,578.81,,,
FMOPTH0028- O,CORNEAL TOPOGRAPHY.,OS,0.25,525,551.25,578.81,,,
FMCAT-0009,CORONARY ANGIOGRAPHY,OS,0.25,1920,2016,"2,116.8
0",,,
FMCAT-0052,CORONARY ANGIOGRAPHY (RADIAL APPROACH),OS,0.25,2640,2772,"2,910.6
0",,,
FMCARS0014,CORONARY ANGIOGRAPHY.,OS,0.25,1920,2016,"2,116.8
0",,,
SUR-1956,"Stereotactic Excision of a Pineal Body
Tumor",P1 ,0,,85000,89250,16/04/2025,,
ENT-0040,Correction of Deviated Nasal Septum,P1,0,4978,5226.9,"5,488.2
5",,,
ORT-0040,Correction of Hallux Valgus,P1,0,2500,2625,"2,756.2
5",,,
FMORT-0451,CORRECTION OF HALUX VALGUS,OS,0.25,1920,2016,"2,116.8
0",,,
ORT-0045,Correction of Hand & Finger Deformity,P1,0,8213,8623.65,"9,054.8
3",,,
MS-C-001490,CORTEX SCREW 3.5MM SELF TAPPING LENGTH 16MM #204.816,OS,0.25,200,210,220.5,,,
FMLAB-3009,CORTISOL (A.M.),OS,0.25,160,168,176.4,,,
FMLAB-3044,CORTISOL (P.M.),OS,0.25,160,168,176.4,,,
FMLAB-9241,CORTISOL FREE (U),OS,0.25,341.15,358.21,376.12,,,
026665,COTTON ROLL 500GMS,OS,0.25,37.34,39.21,41.17,,,
26665,COTTON ROLL 500GMS.,OS,0.25,37.34,39.21,41.17,,,
MS-C-003959,COUPLING ROD TO ROD 5/5 IMPLANTCAST #201102-0505,OS,0.25,800,840,882,,,
MS-C-001134,COVER ABSORBANT OR TABLE 101 X 229CM #ATC4090N,OS,0.25,24,25.2,26.46,,,
018539,COVER OVERSHOES NON WOVEN,OS,0.25,0.65,0.68,0.72,,,
18539,COVER OVERSHOES NON WOVEN.,OS,0.25,0.14,0.15,0.15,,,
18898,COVER STERILE F/CAMERA 13x250CM KARL STORZ #538X/31401,OS,0.25,16,16.8,17.64,,,
MS-C-001788,COVERSHOESHIGHCUFF#15375,OS,0.25,6.6,6.93,7.28,,,
FMNUR- Q1004,COVID-19 (ISOLATION ROOM),OS,0.25,1401.46,1471.53,"1,545.1
1",,,
FMPTD-0113,CPM FOR ELBOW,OS,0.25,67,70.35,73.87,,,
NEU-0027,Cranioplasty,P1,0,16427,17248.35,"18,110.
77",,,
NEU-0015,Craniotomy & Craniectomy & Procedure for different lesions ( non Traumatic),P1,0,16427,17248.35,"18,110.
77",,,
FMNUR-0152,CRANIOTOMY FOR EPILEPSY -2 DAYS ICU & 4 DAYS PKG,P1 ,0,62000,62000,65100,2025-09-28 00:00:00,39706-00-00,
NEU-0016,"Craniotomy for Hemorrhage, Other & Unspecified Intrcranial,following Injury",P1,0,20907,21952.35,"23,049.
97",,,
NEU-0017,"Craniotomy for Hemorrhage, Subarachnoid, Subdural & Extradural, following Injury",P1,0,20907,21952.35,"23,049.
97",,,
FMNEU-0016,CRANIOTOMY R/L FRONTAL,OS,0.25,6779.04,7117.99,"7,473.8
9",,,
FMLAB-2023,CREATININE,OS,0.25,70,73.5,77.18,,,
FMLAB-2024,CREATININE CLEARANCE,OS,0.25,150,157.5,165.38,,,
CROSS MATCH,CROSS MATCH.,OS,0.25,50,52.5,55.13,,,
FMLAB-1035,CROSS MATCHING,OS,0.25,100,105,110.25,,,
7310,CRUCH AXILLARY ALAMINUM ADULT #44-52 INCH,OS,0.25,60,63,66.15,,,
ORT-0046,Cruciate Ligament Reconstruction without Prothesis,P1,0,6000,6300,"6,615.0
0",,,
MS-C-001600,CRUSHED CANCELLOUS 30CC #103430,OS,0.25,4872,5115.6,"5,371.3
8",,,
FMOBG-0003,CRYOCAUTERY,OS,0.25,214.43,225.15,236.41,,,
FMLAB-9047,"CRYOGLOBULIN, QUAL (S)",OS,0.25,30,31.5,33.08,,,
FMLAB-9991,CRYOPRECIPITATION,OS,0.25,90,94.5,99.23,,,
FMLAB-8085,CSF REPORT,OS,0.25,230,241.5,253.58,,,
FMXRY-0690,CT ANGIO. CORONARY,P1,0,1500,1575,"1,653.7
5",,,
FMXRY-0692,CT ANGIO. PERIPHERAL,P1,0,1500,1575,"1,653.7
5",,,
FMXRY-0691,CT ANGIO. PULMONARY,P1,0,1500,1575,"1,653.7
5",,,
FMXRY-0337,CT CEREBRAL ANGIOGRAPHY,P1,0,1500,1575,"1,653.7
5",,,
FMXRY-0693,CT FACIAL BONE / 3D,P1,0,1500,1575,"1,653.7
5",,,
FMXRY-0591,CT GUIDED LUNG BIOPSY,P1,0,3000,3150,"3,307.5
0",,,
FMXRY-0352,CT HIP JOINTS,OS,0.25,833.33,875,918.75,,,
FMXRY-0340,CT MANDIBLE,OS,0.25,833.33,875,918.75,,,
FMXRY-0363,CT SCAN OF MUSCLES,OS,0.25,1026,1077.3,"1,131.1
7",,,
17794,"CUFF BP F/PEDIA 18-26CM REUSABLE HP/SPACELAB#685-00-
/40401B",OS,0.25,40,42,44.1,,,
019481,CUFF NIBP NEONATAL SIZE 1 DISPOSABLE #1008B/K30/NN1ST,OS,0.25,90.12,94.63,99.36,,,
19481,CUFF NIBP NEONATAL SIZE 1 DISPOSABLE #1008B/K30/NN1ST.,OS,0.25,90.12,94.63,99.36,,,
043716,CUFF NIBP NEONATAL SIZE 2 DISPOSABLE #1008B/K30/NN2ST,OS,0.25,140.19,147.2,154.56,,,
043717,CUFF NIBP NEONATAL SIZE 3 DISPOSABLE #1008B/K30/NN3ST,OS,0.25,140.19,147.2,154.56,,,
43717,CUFF NIBP NEONATAL SIZE 3 DISPOSABLE #1008B/K30/NN3ST.,OS,0.25,140.19,147.2,154.56,,,
043718,CUFF NIBP NEONATAL SIZE 4 DISPOSABLE #1008B/K30/NN4ST,OS,0.25,140.19,147.2,154.56,,,
43716,CUFFNIBPNEONATALSIZE2DISPOSABLE#1008B/K30/NN2ST,OS,0.25,140.19,147.2,154.56,,,
43718,CUFFNIBPNEONATALSIZE4DISPOSABLE#1008B/K30/NN4ST,OS,0.25,140.19,147.2,154.56,,,
42620,CUP BI-POLAR ACETABULAR (BIOMET)28MMX46MM#165216,OS,0.25,3091.2,3245.76,"3,408.0
5",,,
18514,CUP MEDICINE 1 OZ,OS,0.25,0.2,0.21,0.22,,,
FMORT-0695,CURRETTAGE OF BONE SYST SMALL,OS,0.25,300,315,330.75,,,
MS-C-002017,"CUTTER FLIP 10.5 MM , ARTHREX # AR-1204AF-105",OS,0.25,1335.17,1401.93,"1,472.0
2",,,
MS-C-001724,CUTTER FLIP 8MM #AR-1204AF-80,OS,0.25,2049.6,2152.08,"2,259.6
8",,,
39402,CUTTING LOOP ANGLED 24/26FR COLOR CODE: YELLOW # 27050G,OS,0.25,280,294,308.7,,,
OPT-0023,Cyclodialysis,P1,0,5500,5775,"6,063.7
5",,,
FMLAB-9048,CYCLOSPORIN ASSAY,OS,0.25,475,498.75,523.69,,,
FMLAB-8186,CYSTIC FIBROSIS MOST COMMON CFTR MUTATIONS(STEP 1),OS,0.25,2883.06,3027.21,"3,178.5
7",,,
FMXRY-0218,CYSTOGRAM,OS,0.25,500,525,551.25,,,
URO-0024,Cystolithopaxy,P1,0,4729,4965.45,"5,213.7
2",,,
URO-0003,Cystoscopy & Biopsy,P1,0,2489,2613.45,"2,744.1
2",,,
FMURO-0088,CYSTOSCOPY (DIAGNOSTIC),OS,0.25,561.6,589.68,619.16,,,
URO-0022,Cystoscopy + Diathermy of Bladder Carcinoma,P1,0,6400,6720,"7,056.0
0",,,
URO-0006,Cystoscopy + Insertion of DJ Stent,P1,0,2500,2625,"2,756.2
5",,,
URO-0021,Cystoscopy + Optical Urethroscopy,P1,0,5333,5599.65,"5,879.6
3",,,
URO-0007,Cystoscopy + Removal of DJ Stent,P1,0,1422,1493.1,"1,567.7
6",,,
URO-0005,Cystoscopy + Retrograde,P1,0,2347,2464.35,"2,587.5
7",,,
FMURO-0130,CYSTOSCOPY AND BIOPSY,OS,0.25,1339.2,1406.16,"1,476.4
7",,,
FMURO-0002,CYSTOURETHOSCOPY,OS,0.25,1113.6,1169.28,"1,227.7
4",,,
URO-0002,Cystourethroscopy,P1,0,3000,3150,"3,307.5
0",,,
URO-0051,Cystourethroscopy and T.U.R. Prostatectomy,P1,0,8000,8400,"8,820.0
0",,,
FMLAB-9792,CYTOGENETICS LEUKEMIC BLOOD/BONE MARROW,OS,0.25,2418.23,2539.14,"2,666.1
0",,,
FMLAB-8003,CYTOLOGY - PAP SMEAR,OS,0.25,200,210,220.5,,,
FMLAB-9455,CYTOMEGALO VIRUS (PCR),OS,0.25,1200,1260,"1,323.0
0",,,
OBG-0008,D & C / ERPC,P1,0,2400,2520,"2,646.0
0",,,
OPT-0019,Dacro Cystorhinostomy,P1,0,5000,5250,"5,512.5
0",,,
OPT-0008,Dacryo Cystectomy,P1,0,1200,1260,"1,323.0
0",,,
FMDER-1000,DAY CARE SUPERVISIONFMDER-1000,OS,0.25,200,210,220.5,,,
FMBED-00012,NORMAL BABY CRIB - Accommodation,OS,0.25,250,262.5,275.63,,,
FMSUP-00017,DAY CASE - Medical Supervision,OS,0.25,-,-,-,,,
FMLAB-1084,D-DIMER,OS,0.25,430,451.5,474.08,,,
FMSUR-1028,DEBRDMT & SUTURE OF SKIN-DEEP,OS,0.25,794.38,834.1,875.8,,,
FMSUR-9096,DEBRIDEMENT,OS,0.25,750,787.5,826.88,,,
FMPSDK0039,DEBRIDEMENT AND SUTURE OF SKIN DEEP,OS,0.25,843.12,885.28,929.54,,,
FMORT-0748,DEBRIDEMENT AND SUTURING (ORTHO),OS,0.25,779.76,818.75,859.69,,,
SUR-0009,Debridement of Friction Burns L.A.,P1,0,1173,1231.65,"1,293.2
3",,,
FMCTS-0085,DEBRIDEMENT OF STERNAL WOUND,OS,0.25,18000,18900,"19,845.
00",,,
FMORT-9960,DEBRIDEMENT WITH POSTERIOR FI-,OS,0.25,2295,2409.75,"2,530.2
4",,,
FMOBG-0183,DEBULRING OPERATION FOR OVARIN CA,OS,0.25,5117.18,5373.04,"5,641.6
9",,,
FMNEU-9931,DECOMPRESSION CRANIECTOMY AND PARTIAL TEMPORAL LOBECTOMY,OS,0.25,3078,3231.9,"3,393.5
0",,,
ORT-0071,Decompression of Spine w/ Arthrodesis,P1,0,22400,23520,"24,696.
00",,,
NEU-0028,Decompression- Trigeminal Nerve Root,P1,0,29867,31360.35,"32,928.
37",,,
FMSUR-6014,DECORTICATION,OS,0.25,3565.35,3743.62,"3,930.8
0",,,
FMCTSS0027,DECORTICATION OF THE LUNG,OS,0.25,5848.2,6140.61,"6,447.6
4",,,
VAS-6070,CAROTID STENTING,P1 ,0,,58000,60900,,,
FMERDA0013,DEEP CUT WOUND LARGE (10 - 20 STITCHES),OS,0.25,220,231,242.55,,,
FMERDA0014,DEEP CUT WOUND MEDIUM ( 5 - 10 STITCHES),OS,0.25,165,173.25,181.91,,,
FMERDA0015,DEEP CUT WOUND SMALL ( 3 - 5 STITCHES),OS,0.25,110,115.5,121.28,,,
FMICU-0002,DEFIBRILLATOR,OS,0.25,210,220.5,231.53,,,
FMERDA0039,DEFIBRILLATOR.,OS,0.25,160.83,168.87,177.32,,,
FMLAB-9049,DEHYDROEPIANDROSTERONE SULFATE (S) DHEA (S,OS,0.25,614.06,644.76,677,,,
MS-D-000348,DELIVERY & SAMPLING KIT 12MM SIZE 2 DISPOSABLE BEDFONT #NOXKIT-2-12,OS,0.25,2087.57,2191.95,"2,301.5
5",,,
FMANAP9915,DELIVERY G.A (30 Min),OS,0.25,576.61,605.44,635.71,,,
FMLAB-2121,DELIVERY INVESTIGATIONS,OS,0.25,700,735,771.75,,,
FMBED-0002,SECONDCLASS - Accommodation,OS,0.25,300,315,330.75,,,
FMSUP-00015,DELIVERY ROOM - Medical Supervision,OS,0.25,-,-,-,,,
P16DELUX6+,"DELUXE WRIST, RIGHT HAND, (L/XL) FUTURO (09137ENT)",OS,0.25,136.8,143.64,150.82,,,
PAPE030736,DENA MOHAMMED NAGUIB,CO,0,100,125,150,,,
FMLAB-9174,DENGUE FEVER Igh Igm,OS,0.25,270,283.5,297.68,,,
FMDNTC103,DENTO -  ALVEOLAR FRACTURE FIXATION - III,OS,0.25,2500,2625,"2,756.2
5",,,
FMDNTC104,DENTO - ALVEOLAR FRACTURE FIXATION - I,OS,0.25,1100,1155,"1,212.7
5",,,
FMDNTC105,DENTO - ALVEOLAR FRACTURE FIXATION - II,OS,0.25,1500,1575,"1,653.7
5",,,
6128028,DENTURE - COMPLERE LOWER (ACRYLIC),OS,0.25,2100,2100,2100,,,
6128030,DENTURE - COMPLETE UPPER (ACRYLIC),OS,0.25,2100,2100,2100,,,
NEU-0003,Depressed Fracture of Skull & Decompression,P1,0,9447,9919.35,"10,415.
32",,,
MS-D-000549,DERMABOND SKIN ADHESIVE PROPEN XL 0.75ML ETHICON #APPXL6,OS,0.25,702.24,737.35,774.22,,,
FMDER-0149,DERMOJET INJECTION-LARGE AREA,OS,0.25,250,262.5,275.63,,,
FMDER-0148,DERMOJET INJECTION-MEDIUM AREA,OS,0.25,150,157.5,165.38,,,
FMXRY-0565,DEXA SCAN,OS,0.25,650,682.5,716.63,,,
FMLAB-7046,DIABETIC CHECK UP,OS,0.25,1513,1588.65,"1,668.0
8",,,
ORT-0027,Diagnostic Arthroscopy,P1,0,2500,2625,"2,756.2
5",,,
URO-0001,Diagnostic Cystoscopy,P1,0,2200,2310,"2,425.5
0",,,
FMSUR-2061,DIAGNOSTIC LAPAROSCOPY,OS,0.25,1113.6,1169.28,"1,227.7
4",,,
FMOBG-0106,DIAGNOSTIC LAPAROSCOPY WITH INSUFFLATION,OS,0.25,2149.21,2256.67,"2,369.5
0",,,
FMXRY-0954,DIAGNOSTIC PTC,OS,0.25,2924.1,3070.31,"3,223.8
2",,,
FMLAB-7048,DIALYSIS PROFILE - I,OS,0.25,451.44,474.01,497.71,,,
MS-D-000528,DIAPER INFANT LARGE 8~16 KGS SIZE#4,OS,0.25,3.3,3.47,3.64,,,
17644,DIAPER INFANT MEDIUM (5 -9 KG),OS,0.25,2.68,2.81,2.95,,,
017644,DIAPER INFANT MEDIUM 5~9 KGS SIZE#3,OS,0.25,3.18,3.34,3.51,,,
MS-D-000288,DIAPER INFANT PRETERM SIZE 800-1250 GRM,OS,0.25,1.4,1.47,1.54,,,
18459,DIAPER INFANT SMALL (3-6 KG),OS,0.25,2.43,2.55,2.68,,,
018459,DIAPER INFANT SMALL 3~6 KGS SIZE#2,OS,0.25,1.6,1.68,1.76,,,
18495,DIAPERS ADULT SIZE LARGE,OS,0.25,4,4.2,4.41,,,
SUR-0078,Diaphragmatic Hernia- Open,P1,0,10453,10975.65,"11,524.
43",,,
FMLAB-9462,DIBUCAINE INH. OF PSEUDO-CHOLE,OS,0.25,160.83,168.87,177.32,,,
FMNUM-0033,DIGITAL EEG,OS,0.25,450,472.5,496.13,,,
ORT-0039,Digital Nerve Repair,P1,0,8500,8925,"9,371.2
5",,,
FMPSDK0083,DIGITAL NERVE REPAIR.,OS,0.25,2400,2520,"2,646.0
0",,,
FMLAB-4012,DIGOXIN (LANOXIN),OS,0.25,200,210,220.5,,,
FMOBG-0021,DILATATION & CURETTAGE,OS,0.25,960,1008,"1,058.4
0",,,
MS-D-000095,DILATATION SET URETERAL WITH HYDRO PLUS COATING BOSTON # 240-100,OS,0.25,1083.46,1137.63,"1,194.5
1",,,
FMURO-0182,DILATION OF STRUCTURE URETHRA SERIALS IN OPD,OS,0.25,718.2,754.11,791.82,,,
XR-D-000025,DILATOR VESSEL 10FR GALT # DIL-600-10,OS,0.25,60,63,66.15,,,
XR-D-000026,DILATOR VESSEL 12FR # GALT DIL-600-12,OS,0.25,50,52.5,55.13,,,
XR-D-000023,DILATOR VESSEL 6FR GALT# DIL-600-06,OS,0.25,60,63,66.15,,,
OGOB080940,DINA ABDEL HEFEZ,CO,0,100,125,150,,,
OGOB030967,DINA ELSAYED ABDELHAFEZ,CO,0,100,125,150,,,
PAPE031345,DINA MOHAMED NAGUIB MOHAMED ABOUELSAAD,CO,0,100,125,150,,,
ENT-0001,Direct Laryngoscopy,P1,0,2489,2613.45,"2,744.1
2",,,
MS-D-001205,DISC GLUCONATE 2% I.V W/CHLORHEXIDINE H/1.5MM 1.9CM MEDTRADE#FG08844091,OS,0.25,90,94.5,99.23,,,
MS-D-001204,DISC GLUCONATE 2% I.V W/CHLORHEXIDINE H/7MM 2.5CM MEDTRADE#FG08844091,OS,0.25,100,105,110.25,,,
018559,DISINFECTANT ISOPROPYL ALCOHOL 70% SPRAY 250ML SKINDESS/NAPHCARE,OS,0.25,21.83,22.92,24.07,,,
18559,DISINFECTANT ISOPROPYL ALCOHOL 70% SPRAY 250ML SKINDESS/NAPHCARE.,OS,0.25,21.83,22.92,24.07,,,
FMDNTC101,DISTRACTION OSTEOGENESIS (PER SIDE),OS,0.25,12200,12810,"13,450.
50",,,
SUR-0072,Diverticulation Repair without Mesh,P1,0,4000,4200,"4,410.0
0",,,
URO-0036,Diverticulum (Excision of Bladder),P1,0,4500,4725,"4,961.2
5",,,
PAPE031107,DOAA MAMDOUH MOHAMMED TAWFIK,CO,0,100,125,150,,,
OGOB031152,DOAA SALAHELDIN HAMZA ELSAYED..,CO,0,100,125,150,,,
PAPI011164,DOAA SHABAN AMIN HASSANIN,CO,0,100,125,150,,,
FMCAR-0021,DOBUTAMINE STRESS NUCLEAR SCANNING,OS,0.25,3283.2,3447.36,"3,619.7
3",,,
MS-D-000128,DORMIA BASKET 3FR 90CM # EXN434,OS,0.25,1765.63,1853.91,"1,946.6
1",,,
FMNEU-9969,DORSO-LUMBAR TRANSPEDICULAR SCREW FIXATION 4 SCREWS/2 RODS,OS,0.25,6822.9,7164.05,"7,522.2
5",,,
FMDNTS0244,DOUBLE FRACTURE OF MANDIBLE,OS,0.25,9747,10234.35,"10,746.
07",,,
FMDNTC102,DOUBLE JAW (ORTHOGNATHIC),OS,0.25,33094,34748.7,"36,486.
14",,,
FMPDT-0001,Double Phototherapy,OS,0.25,112.5,118.13,124.03,,,
OBG-0009,Douglas Pouch Abcess Drainage,P1,0,2240,2352,"2,469.6
0",,,
EDPC090801,DR. MOHAMMED HUSSEIN ALGHAMDI,CO,0,100,125,150,,,
018852,DRAIN CHEST 2 BOTTLE SET STERILE #8888-571299/AA- 8000/8002,OS,0.25,564.03,592.23,621.84,,,
18852,DRAIN CHEST 2 BOTTLE SET STERILE #8888-571299/AA- 8000/8002.,OS,0.25,564.03,592.23,621.84,,,
SUR-0084,Drain Liver Abcess,P1,0,8000,8400,"8,820.0
0",,,
ENT-0018,Drainage of Abscess Neck,P1,0,1636,1717.8,"1,803.6
9",,,
FMSUR-1026,DRAINAGE OF ABSCESS UNDER L.A,OS,0.25,570.2,598.71,628.65,,,
FMSUR-9024- O,DRAINAGE OF ABSCESS UNDER LA,OS,0.25,600.21,630.22,661.73,,,
SUR-0006,Drainage of Peri-Anal Abscess L.A.,P1,0,1400,1470,"1,543.5
0",,,
FMSUR-2070,DRAINAGE OF PERINEAL ABCESS,OS,0.25,729.6,766.08,804.38,,,
FMURO-2075,DRAINAGE OF PERINEAL ABSCESS & DEBRIDEMENT,OS,0.25,1462.05,1535.15,"1,611.9
1",,,
ENT-0019,Drainage of Quinsy,P1,0,1000,1050,"1,102.5
0",,,
FMSUR-1013,DRAINAGE SM.ABCESS-LOCAL ANAES,OS,0.25,117.99,123.89,130.08,,,
SUR-0015,Drainage-Large Abcess Under G.A.,P1,0,2000,2100,"2,205.0
0",,,
39803,DRAPE IOBAN 35x17CM INCISE 3M #6650EZ,OS,0.25,32,33.6,35.28,,,
18584,"DRAPE STERILE 48x118"""" F/ZEISS OPMI MD #326071- 0000/326070/4862UK",OS,0.25,459.65,482.63,506.76,,,
018584,"DRAPE STERILE 48x118"""" F/ZEISS OPMI MD #326071- 0000/326070/4862UK.",OS,0.25,459.65,482.63,506.76,,,
39132,DRAPE SURGICAL COVER 150x120/175/,OS,0.25,16,16.8,17.64,,,
039132,DRAPE SURGICAL COVER 150x120~190CM STERILE #JM- OP6076,OS,0.25,47.88,50.27,52.79,,,
18541,DRAPE TOWEL SURGICAL 50x75CM STERILE #706300,OS,0.25,8,8.4,8.82,,,
MS-D-001057,DRAPEOPTHALMIC120x120CMDOUBLELCPF/CATARACTTIOME DICAL#EYE,OS,0.25,65.12,68.38,71.79,,,
FMNUR-0005,DRESSING (FMNUR-0005),OS,0.25,41.25,43.31,45.48,,,
MS-D-001175,DRESSING BACTIGRAS WITH CHLORHXDINE 10X10 STERILE SMITH & NEPHEW # WO-50768323,OS,0.25,10,10.5,11.03,,,
MS-D-001059,DRESSING CLEAR IV CANNULA FIXATION MEDIUM 5.50x6.50 EASYFIX #TN00106097,OS,0.25,4.12,4.33,4.54,,,
MS-D-001058,DRESSING CLEAR IV CANNULA FIXATION SMALL 4.10x6.50 EASYFIX #TN0106096,OS,0.25,3.36,3.53,3.7,,,
18570,DRESSING IV CANNULA FIXATION 6x7/7x9CM #1623W/4923/691505,OS,0.25,1.72,1.81,1.9,,,
MS-D-000142,DRESSING MEBO 40 X 60MM JULPHAR #6291100087440,OS,0.25,16,16.8,17.64,,,
FMSUR-9018,DRESSING OF BURNS UPTO 10%AREA,OS,0.25,470,493.5,518.18,,,
FMSUR-9025,DRESSING OF DIABETIC FOOT,OS,0.25,150,157.5,165.38,,,
FMSUR-9025- O,DRESSING OF DIABETIC FOOT.,OS,0.25,150,157.5,165.38,,,
FMORT-0424,DRESSING OF WOUND - LARGE,OS,0.25,112.5,118.13,124.03,,,
FMORT-0423,DRESSING OF WOUND - MEDIUM,OS,0.25,82.85,86.99,91.34,,,
FMORT-0422,DRESSING OF WOUND - SMALL,OS,0.25,121.84,127.93,134.33,,,
FMDNTC0085,DRESSING OF WOUND (LARGE),OS,0.25,112.5,118.13,124.03,,,
27203,DRESSING SHEET 10CMx10M HYPAFIX/C,OS,0.25,0.02,0.02,0.02,,,
027201,DRESSING SHEET 15CMx10M HYPAFIX/CURAFIX,OS,0.25,0.05,0.05,0.06,,,
27201,DRESSING SHEET 15CMx10M HYPAFIX/CURAFIX #30343/62- 421,OS,0.25,0.06,0.06,0.07,,,
27205,DRESSING SHEET 20CMx10M CURAFIX/HYPAFIX #350300/30344,OS,0.25,0.05,0.05,0.06,,,
27204,DRESSING SHEET 30CMx10M HYPAFIX/C,OS,0.25,0.07,0.07,0.08,,,
27202,DRESSING SHEET 5CMx10M HYPAFIX/CU,OS,0.25,0.01,0.01,0.01,,,
18358,DRESSING SURGICAL 6x7CM MOLNLYCKE #30510/670800,OS,0.25,0.84,0.88,0.93,,,
018479,DRESSING SURGICAL 9x10CM CURAPOR/MEPORE #30511/670900,OS,0.25,3.93,4.13,4.33,,,
18479,DRESSING SURGICAL 9x10CM CURAPOR/MEPORE #30511/670900.,OS,0.25,3.93,4.13,4.33,,,
18136,DRESSING SURGICAL 9x15CM MOLNLYCKE #67100/072590,OS,0.25,3.15,3.31,3.47,,,
18210,DRESSING SURGICAL 9x20CM MOLNLYCKE #30513/671100,OS,0.25,4.2,4.41,4.63,,,
18480,DRESSING SURGICAL 9x25CM MOLNLYCKE #30514/671200-08,OS,0.25,5.66,5.94,6.24,,,
FMSUR-9097,DRESSING UNDER GA,OS,0.25,135,141.75,148.84,,,
MS-D-000194,DRESSINGJELONETSTERILE10X10CMX100PIEASES,OS,0.25,4,4.2,4.41,,,
MS-D-000177,DRILL BIT 4.5/2.1MM CANNULATED SYNTHES# 315.69 SMITH & NEPHEW #7207315,OS,0.25,1313.28,1378.94,"1,447.8
9",,,
FMXRY-0710,DRUG COATED BALLOON ANGIOPLASTY,OS,0.25,29241,30703.05,"32,238.
20",,,
XR-D-000022,DUAL-NEEDLE ENDED STAINLESS 5F 18G 16CM (6.3”)16CM # PSI-5F-11-035-18G,OS,0.25,100,105,110.25,,,
XR-D-000020,DUAL-NEEDLE ENDED STAINLESS 6F 18G 7CM (2.8”) 16CM #PSI-6F-11-035-18G,OS,0.25,100,105,110.25,,,
XR-D-000021,DUAL-NEEDLE ENDED STAINLESS 8F 18G 16CM (6.3”) 16CM # PSI-8F-11-035-18G,OS,0.25,100,105,110.25,,,
MS-D-001158,DURAL LYOPALNT BIOLOGICAL 6x14MM SYNTHETIC AESCULAP #1067020 B-BRAUN #1067020,OS,0.25,3665.69,3848.97,"4,041.4
2",,,
MS-D-000208,DURAL REPAIR PATCH SIZE 60X80 REDURA #RDS6,OS,0.25,3696,3880.8,"4,074.8
4",,,
MS-D-000207,DURALREPAIRPATCHSIZE80X80REDURA#RDS8,OS,0.25,4979.52,5228.5,"5,489.9
2",,,
FMNUM-0031,E M G,OS,0.25,233.93,245.63,257.91,,,
FMENDE0034,E. STONE EXTRACTION 1 STONE,OS,0.25,569.43,597.9,627.8,,,
FMCAR-0002,E.C.G.,OS,0.25,90,94.5,99.23,,,
FMPSYB0014,E.C.T. WITH ANAESTHESIA,OS,0.25,506.84,532.18,558.79,,,
FMNUM-0003,E.E.G. WITHOUT PROVOCATION,OS,0.25,385,404.25,424.46,,,
FMNUM-0005,"E.M.G. FACE 1,2",OS,0.25,506.84,532.18,558.79,,,
FMNUM-0012,E.M.G. FOR 1 MUSCLE OR NERVE,OS,0.25,220,231,242.55,,,
FMPDT-0015,EAR CANAL WASH (EVACUATION OF CERUMEN OR PUS),OS,0.25,87.72,92.11,96.71,,,
FMENTE3002,EAR WASH - BILATERAL,OS,0.25,180,189,198.45,,,
FMENTE3001,EAR WASH - UNILATERAL,OS,0.25,115,120.75,126.79,,,
FMPDT-0022,EARLOBE PIERCING,OS,0.25,90,94.5,99.23,,,
