Code,Discription,Price,Class VIP A,SBS Mappping
FMPSD-2002,REMOVAL OF MINI PALOTS & SCREWS FROM OLD FRACTURE MANDIBULE,3438,3782,52102-00-01
FMSUR-3045,RECONSTRUCTION OF RADIAL ARTERY ANEURYSM,3438,3782,33070-00-00
FMURO-2060,NEPHROLITHOTOMY,3438,3782,36540-00-01
FMURO-2075,NEPHROLITHOTOMY FOR STAGHORN STONE HORSE SHOE KIDNEY,3438,3782,36543-00-01
FMENTE6007,HEARING AID PHILIPS M47-D,3410,3751,96092-00-41
FMENTE6008,HEARING AID M60-OL,3410,3751,41557-02-01
FMLAB-1201,JAK2 MUTATION,3410,3751,73350-02-20
FMLAB-9800,SKIN BIOPSY MOSAICISM STUDY,3410,3751,73200-04-90
FMONC-0031,RADICAL TREATMENT REST PAYMENT,3410,3751,83700-00-00
FMDNTS0323,RCT 2 PERMANENT TEETH 3 RC,3399,3739,371
FMERDC0008,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL ZAHAB),3399,3739,83520-00-00
FMERDC0019,AMBULANCE W / NURSE (MADINAH TO JEDDAH),3399,3739,83500-00-80
FMPSDA-0007,REPAIR OF SMALL DEFECT -UPPER,3399,3739,99999-99-99
FMENDE0063,INJECTION OF FUNDAL VARICES,3388,3727,30476-03-00
FMOOPTG008,MOLTENO IMPLANT IN GLAUCOMA OPERATION,3388,3727,42752-00-01
FMENTE0012,HEARING AID PHILIPS M20,3372,3710,96092-00-41
FMDER-0256,LASER HAIR REMOVAL OF WHOLE BODY,3366,3703,99999-99-99
FMDER-0183,SKIN GRAFTING LARGE AREA,3350,3685,99999-99-99
FMDNTS0106,COMPOUND FRACTURE,3344,3679,99999-99-99
FMDNTS0174,CRONOIDECTOMY,3344,3679,45720-02-00
FMONC-0010,CANCER THYROID (ABLATIVE DOSE),3344,3679,15000-00-00
FMONC-0012,POLYCYTHEMIA(THERAP.DOSE),3344,3679,99999-99-99
FMXRY-0226,MYELOGRAM COMBINATION,3333,3667,59724-00-00
FMORT-0497,OPEN RED. & INT. FIX -PATELLA,3318,3650,47585-00-01
FMORT-0044,REVISN OF DISPL.OR BROKEN FIX. DEVICE AT CARPALS & METACARPAL,3317,3649,47921-00-01
FMORT-0046,REVISN OF DISPL.OR BROKEN FIX. AT PATELLA,3317,3649,47585-00-01
FMORT-0047,REVISN OF DISPL.OR BROKEN FIX. DEVICE AT TARSALS & METATARSAL,3317,3649,47921-00-01
FMORT-0092,OPEN REDUCT OF FRACT W/INT FIX AT RADIUS & ULNA,3317,3649,47366-02-01
FMORT-0125,OPEN REDUCT OF DISLOCATN AT    UNSPEC. SITE,3317,3649,99999-99-99
FMORT-0136,EXCISN OF MINISCUS PER ARTROSC,3317,3649,49560-03-01
FMORT-0158,"RELEASE OF ADHERENT JNT CAPSUL LIGAMENT,CARTILAGE-HIP",3317,3649,90570-00-01
FMORT-0162,"RELEASE OF ADHERENT JNT CAPSUL LIGAMENT,CARTILAGE-SPINE",3317,3649,90570-00-01
FMORT-0213,ARTHRODESIS OF CARPORADIAL JNT,3317,3649,49200-00-01
FMORT-0214,METACARPO-CARPAL FUSION,3317,3649,46303-00-01
FMORT-0215,METACARPO PHALANGEAL FUSION,3317,3649,46300-01-01
FMORT-0266,DELAYED SUTURE OF FLEXOR TENDN OF HAND,3317,3649,46435-00-01
FMORT-0281,RECONSTRUCTION OF OPPONEUSPLA- STY,3317,3649,46507-00-01
FMORT-0288,OTHER TENDESIS OF HAND,3317,3649,47963-01-01
FMORT-0311,HAM STRING LENGHTENING,3317,3649,47957-00-01
FMORT-0321,DISARTICULATION OF WRIST,3317,3649,44328-02-01
FMORT-0322,AMPUTATION THROUGH FOREARM,3317,3649,44328-00-01
FMORT-0323,AMPUTATION THROUGH HUMERUS,3317,3649,44328-01-00
FMORT-0333,DISARTICULATION OF ANKLE,3317,3649,44361-00-01
FMORT-0347,REVISION OF AMPUTATION STUMP - (TRIMMING),3317,3649,44376-00-01
FMORT-0403,CARPAL TUNNEL DECOMPRESSION,3317,3649,48400-02-01
FMORT-0410,REMOVAL OF MEDIUM BONE OR SOFT TISSUE,3317,3649,30241-00-01
FMORT-0485,FUSION OF THE SPINE AFTER FRAC OR FRACTURE DISLOCATION,3317,3649,48642-00-00
FMORT-0486,OPEN REDUCTION OF INT. FIX OF  FRACT. & DISLOC. SPINE,3317,3649,47699-01-00
FMORT-0489,CORRECTION OF BONE DEFORMITIES AFTER PATHOLOGICAL FRACTURE.],3317,3649,90604-00-00
FMORT-0490,CORRECTIVE OSTEOTOMY FOR DEF.  OF HIP JOIN AFTER T.B.,3317,3649,48424-00-00
FMORT-0491,IF P/S R.U.F.T.E.,3317,3649,99999-99-99
FMORT-0494,CORRECTION OF DEFORMITIES LIMB,3317,3649,99999-99-99
FMORT-0496,EXPLORATN LYSIS & NERVE SUTURE OF THE ULNAR,3317,3649,39300-00-00
FMORT-0499,OPEN RED. FOR HIP IN C.D.H.,3317,3649,47051-00-01
FMORT-0500,CORRECTION OF DEFORMITY - KNEE,3317,3649,90604-00-00
FMORT-0501,CALCANEUM OSTEOTOMY FOR CORREC TION OF FOOT DEFORMITIES,3317,3649,50333-00-01
FMORT-0502,SEQUESTROMY OF LONG BONES,3317,3649,90603-15-01
FMORT-0503,ARTHRODESIS OF SHOULDER & KNEE,3317,3649,48939-00-01
FMORT-0506,EXCISION OF CEVICAL RIB,3317,3649,48406-12-00
FMORT-0507,MAJOR JOINT DISARTICULATION,3317,3649,50109-00-01
FMORT-0523,REPAIR OF RUPTURED ANTERIOR -  CRUCIATE LIGAMENT,3317,3649,49539-00-01
FMORT-0524,REPAIR OF OSTEOCHONDRITIS -    DISSEC. - KNEE,3317,3649,90598-00-01
FMORT-0525,OPEN REDUCT.OF FIX RADIUS HEAD OR EXCISION,3317,3649,47408-01-01
FMORT-0549,TRANSFER OF MUSCLE AT THIGH,3317,3649,47966-01-00
FMORT-0558,RELEASE OF OBTURATOR NERVE AT  HIP,3317,3649,39330-00-00
FMORT-0559,REMOVAL OF INTERNAL FIXATION   DEVICE AT SPINE,3317,3649,47930-00-01
FMORT-0575,PATELLOPLASTY,3317,3649,49534-01-01
FMORT-0580,REPAIR OF COLLATERAL LATERAL   LIGAMENT,3317,3649,49539-00-01
FMORT-0601,O.R. AND I.F.OF FRACTURE SCAPL,3317,3649,47468-01-01
FMORT-0611,FRACTURE MEDIAL AND LATERAL    MALLEOLUS,3317,3649,90558-00-01
FMORT-0630,CORTICOTOMY & APPLICATION OF   EXTERNAL FIXATOR,3317,3649,50130-00-01
FMORT-0637,ACETABULUM RECONSTRUCTION,3317,3649,90552-00-01
FMCAT-0036,DR. ALAMRI THERAPEUTIC CATHLAB(SINGLE),3300,3630,99999-99-99
FMCTS-0019,MEDIASTINOSCOPY DIAGNOSTIC,3300,3630,38448-01-00
FMCTS-0048,EXPLORATORY THORACOTOMY,3300,3630,38418-00-00
FMDNTF0035,COMPOSITE FILLING 7 TEETH,3300,3630,531
FMENDE0071,GASTRIC BALLON REMOVAL,3300,3630,90950-03-00
FMENT-0023,CENTRAL EPISTAXIS BY ELECTRO CAVTERIZATION BILATERAL,3300,3630,41677-00-00
FMENTE6010,HEARING AID PHONAK BASEO Q15,3300,3630,96092-00-41
FMENTE6091,HEARING AID MENU-ME-CIC-64,3300,3630,96092-00-41
FMENTE6092,HEARING AID MENU-ME-X-ITE-67,3300,3630,96092-00-41
FMENTP3011,LASER ASSISTED UVULOPALATOPLAS TY W/O TONSILECTOMY (LAUP),3300,3630,41786-00-00
FMENTR0005,RADIO FREQUENCY APPLICATION TO THE  INFERIOR TURBINATES AND P,3300,3630,41674-00-00
FMENTR0006,RADIO FREQUENCY APPLICATION TO THE INFERIOR TURBINATES AND PA,3300,3630,41674-00-00
FMENTR0008,RADIO FREQUENCY APPLICATION TO THE PALATE AND TONGUE,3300,3630,90141-00-00
FMLAB-2108,ANTI CARDIOLIPIN IGM,3300,3630,73100-11-70
FMLAB-2132,IMMUNO HISTOCHEMISTRY PANEL (9MARKERS),3300,3630,73200-08-40
FMLAB-9182,IMMUNOPHENOTYPING,3300,3630,73100-29-20
FMNEU-0151,ENDOSCOPIC VENTRICULOSTOMY,3300,3630,40012-00-00
FMNUM-0027,EEG VIDEO MONITORING,3300,3630,92011-00-00
FMNUM-0028,SUBDURAL,3300,3630,99999-99-99
FMODT-0029,CLICKING TMJ[FJO],3300,3630,50115-00-00
FMODT-0049,ORTHODONTIC DEPOSIT,3300,3630,963
FMOPT-1022,INTRAVITREAL INJECTION OF KENACORT,3300,3630,42740-03-01
FMOPTC0022,LASH REMOVAL BY ARGON LASER,3300,3630,42746-04-01
FMORT-0595,CERVICAL RHIZOTOMY LEVEL II,3300,3630,40330-00-00
FMORT-0599,ULNARIS NERVE TRANSPOSITION,3300,3630,39321-00-00
FMORT-0612,FRACTURE AT MEDIAL OR LATERAL  MALLEOLUS,3300,3630,90558-00-01
FMORT-0827,FASCIOTOMY OF THE LEG,3300,3630,30226-00-01
FMORT-0846,AUGEMENTATION OF TENDO ACHILLES REPAIR,3300,3630,49718-01-00
FMPDT-0188,PORTAL CATH REMOVAL,3300,3630,34530-04-00
FMPSDB0002,NASAL TIP CORRECTION,3300,3630,45632-00-00
FMPSDJ0002,ROTATION FLAP (MODERATE),3300,3630,45200-00-00
FMPSDK0007,GENIOPLASTY,3300,3630,45761-01-00
FMPSDK0008,SOLEUS MUSCLE FLAT,3300,3630,45009-01-00
FMSUR-2097,TRANS-ABDOMINAL RECTOPEXY,3300,3630,32117-00-00
FMSUR-2103,ABDOMINAL RECTOPEXY,3300,3630,32117-00-00
FMSUR-2139,LAPAROSCOPIC ADRENALECTOMY,3300,3630,36500-01-00
FMSUR-3008,VARICODE VIENS ONE LIMB MAJOR,3300,3630,32500-01-01
FMSUR-4023,LOBECTOMY - BREAST,3300,3630,31500-00-01
FMSUR-9023,PSARP FOR IMPERFORATE ANUS (VAGINAL FISTULA),3300,3630,43966-00-00
FMSUR-9030,PSARP FOR IMPERFORATE ANUS (VESTIBULAR FISTULA),3300,3630,43963-00-00
FMSUR-9035,LAPAROSCOPIC ORCHIDECTOMY,3300,3630,30390-00-00
FMSUR-9037,RESECTION-ANASTOMOSIS OF A SMALL INTENSINAL LOOP,3300,3630,30566-00-00
FMURO-2023,ANTERIOR VAGINAL REPAIR FOR CYSTOCELE,3300,3630,35570-00-00
FMURO-2028,ENDOSCOPIC STONE RETRIVAL,3300,3630,99999-99-99
FMXRY-0905,HOME DOPPLER ULTRASOUND,3300,3630,90908-00-00
FMDNTI0025,T.P.S. IMPLANT 4,3289,3618,99999-99-99
FMDNTP0137,BRIDGE 4 UNITS,3289,3618,643
FMDNTS0267,OPEN REDUCTION+MINIPLATE FIXATION SIMPLE,3289,3618,359
FMDNTS0277,SEQUESTRECTOMY LARGE,3289,3618,332
FMDNTS0319,RESTORATIVE REHABILITATION ADULT,3289,3618,97963-00-00
FMDNTS0320,MODERATE ORTHODONTIC TREATMENT,3289,3618,831
FMOHU-0011,MITRAL VALVE REPLACEMENT (TWO HOURS),3289,3618,38488-03-00
FMOPTJ0004,OPERATION OF EOM BOTH EYES,3289,3618,42854-00-02
FMORT-0174,REPAIR OF PARS DEFECT,3289,3618,48678-00-00
FMURO-0170,PENILE AUGMENTATION,3289,3618,90405-01-00
FMENDE0038,E.S. WITH STONE EXTRACTION,3278,3606,30485-01-00
FMLAB-7058,OR PROFILE BARICATRIC I,3278,3606,73350-06-00
FMXRY-0406,THALLIUM W/EXERCISE,3273,3601,61458-00-00
FMORT-0619,CLOSED REDUCTION AND INTERNAL FIXATION OF TIBIA (ILN),3267,3594,47546-01-01
FMENTD0004,BRONCHOSCOPY FOR F.B. REMOVAL  FORM TRACHEA,3190,3509,41889-05-01
FMENTE2007,EXCISION OF PRE-AURICULAR CYST,3190,3509,30104-00-01
FMENTE2008,EXCISION OF PRE-AURICULAR - SINUS,3190,3509,30104-00-01
FMENTE2009,EXCISION OF PRE-AURICULAR - REMNANT,3190,3509,30104-00-01
FMENTE2014,PARTIAL EXCISION & RECONSRUCTN OF THE PINNA,3190,3509,45660-00-01
FMENTE3013,MIC. EXCISION OF EXOSTOSIS,3190,3509,41518-00-01
FMENTE3014,RECONSTRUCTION OF EXTERNAL EAR EAR STENOSIS,3190,3509,45660-00-01
FMENTL0006,EXCISION OF VOCAL CORDS MICRO- SURGERY,3190,3509,41876-01-00
FMENTL0010,EXCISION OF PHARYNGEAL POUCH,3190,3509,41770-00-00
FMENTL0011,DIATHERMY TREATMENT OF PHARYNGEAL POUCH,3190,3509,41674-02-00
FMENTN2037,REPAIR OF CHOANAL ATRESIA-UNIL,3190,3509,45646-00-00
FMENTN2040,LIMITED RHINOPLASTY,3190,3509,45638-00-00
FMENTN2041,AUGMENTATION RHINOPLASTY,3190,3509,45051-00-00
FMENTN2050,SURGERY OFTUMOUR OF NASAL - CAVITY - BENIGN,3190,3509,90131-00-00
FMENTN2052,SURGERY OF TUMOUR OF NASAL -   SEPTUM - BENIGN,3190,3509,31230-01-00
FMENTO0006,BONY TUMOURS OF THE PALATE,3190,3509,90141-00-00
FMENTP3007,LASER EXCISSION OF BENIGN TUM. OF THE PHARYNX,3190,3509,52035-00-00
FMENTS0010,TRANSANTRAL APPROACH FOR CORR- ECTION BLOW-OUT FRACT. ORBIT,3190,3509,45590-00-01
FMENTS0015,TRANSNASAL ETHMOIDECTOMY,3190,3509,41737-02-00
FMNEU-0027,BILATERAL TEMPORAL CRANIOTOMY,3190,3509,39615-00-00
FMOPTF0006,COBINED GLAUCOMA & CATARACT,3190,3509,42701-00-01
FMOPTF0007,COMPLICATED CATARACT,3190,3509,42701-00-01
FMOPTG0003,SCLERAL FISTULIZATION,3190,3509,42746-05-01
FMOPTH0001,REP. OF RETINAL TEAR BY CRYO-  THERAPY,3190,3509,42773-01-01
FMOPTH0006,SCLERAL BUCKLE RE-OPERATION,3190,3509,42779-00-01
FMOPTH0010,LASER FOR RETINOPATHY 3 OR >   SETTING,3190,3509,42809-00-01
FMOPTI0004,DACRYOCYSTORHINOSTOMY,3190,3509,42623-00-01
FMOPTL0003,REMVL OF I.O. F.B. FM POSTRIOR,3190,3509,42569-00-01
FMPSD-1039,FRACTURE MENDIBLE TWO SITES FIXATION,3190,3509,47756-00-01
FMPSD-1065,ABDOMINPLASTY (MINI),3190,3509,30165-00-00
FMPSDA0012,EXCISION OF TUMOUR OF UPPER LIP & REPAIR,3190,3509,45671-00-00
FMPSDD0003,REPAIR OF FEMORAL HERNIA,3190,3509,30614-00-00
FMPSDF0006,ABDOMINAL OR PECTORAL FLAP TO  THUMB (1ST STAGE),3190,3509,45221-01-00
FMSUR-2011,DIAPHRAGMATIC HERNIA(NEW BORN),3190,3509,30601-00-00
FMSUR-2014,REPAIR OF RUPTURED STOMACH OR  DUODENUM,3190,3509,90304-00-00
FMSUR-2017,SUTURE OF LACERATION STOMACH,3190,3509,90342-02-00
FMSUR-2019,CLOSURE OF GASTROSTOMY,3190,3509,90339-00-00
FMSUR-2021,GASTROPEXY,3190,3509,30530-00-00
FMSUR-2036,GASTRO-ENTEROSTOMY,3190,3509,30515-00-00
FMSUR-2040,REPAIR OF HIATUS HERNIA,3190,3509,30601-00-00
FMSUR-2054,PERITONEAL WASHOUT,3190,3509,30396-00-00
FMSUR-2055,FEEDING INTEROSTOMY,3190,3509,31462-00-00
FMSUR-2057,LYSIS OF PERITONEAL ADHESION,3190,3509,30378-00-00
FMSUR-2063,EXCIS. OF INTRA ABDOMINAL CYST,3190,3509,35713-14-00
FMSUR-2066,LOCAL EXCISN OR DESTRUCTION OF LESION OR TISSUE OF RECTUM,3190,3509,90341-00-00
FMSUR-2077,COLOSTOMY,3190,3509,30375-04-00
FMSUR-2088,CECOSTOMY,3190,3509,30375-00-00
FMSUR-2111,REPAIR OF RUPTURED LIVER,3190,3509,30422-00-00
FMSUR-2115,TRANSDUCTINAL AMPUTATION SPINCTEROTOMY,3190,3509,30458-01-00
FMSUR-2116,CHOLEDOCHODUODINOSTOMY,3190,3509,30460-03-00
FMSUR-2118,CHOLESYSTOGASTROENTERIC FISTULECTOMY,3190,3509,90304-00-00
FMSUR-2128,TRANSDUCTINAL AMPUTATION & SPHINCTEROPLASTY,3190,3509,32126-00-00
FMSUR-4016,SUPERFICIAL PAROTEDECTOMY,3190,3509,30253-00-00
FMSUR-5011,REPAIR OF INCARCERATED HERNIA,3190,3509,30615-00-00
FMSUR-5024,RECURRENT HERNIA W/OUT GRAFT,3190,3509,30403-01-00
FMSUR-7006,CRANIOTOMY,3190,3509,99999-99-99
FMSUR-8009,REMOVAL OF FIBRO CHONDROMA,3190,3509,31350-00-01
FMURO-0012,VISUAL LITHOLAPAXY,3190,3509,36863-00-00
FMURO-0016,RECURRENT SPURAPUB. CYSTOSTOMY,3190,3509,37011-00-00
FMURO-0017,RECURRENT SPURAPUBIC CYSTO- LITHOTOMY,3190,3509,37008-03-00
FMURO-0031,RENAL CYST RESECTION,3190,3509,36558-01-00
FMURO-0080,ORCHIDOPEXY,3190,3509,37604-12-00
FMURO-0143,TRAN.MIC.HYPER.TREAT.- 45 MINS FOR PROSTRATE,3190,3509,90395-00-00
FMURO-2019,ORCHIDOPEXY IN < 6 YRS.,3190,3509,37604-10-00
FMURO-2048,LASER URETERAL FRAGMENTATION,3190,3509,36809-01-00
FMDER-0194,LASER TREATMENT EXTRA LARGE,3179,3497,30195-02-00
FMLAB-2153,SAIPEM MEDICAL PERIODICAL FITNESS CHECKUP,3171,3489,83600-02-10
FMORT-0670,EXCISION OF NEUROMA FINGER,3152,3468,39324-02-00
FMORT-0677,"BI. ALLEOLAR FRACTURE, ANKLE",3152,3468,47597-00-01
FMNEU-0115,EVACUATION OF BRAIN CONTUSION,3119,3431,39600-00-00
FMLAB-9853,IMMUNOHISTOCHEMISTRY FOR S.C.S,3102,3413,73200-08-40
FMOPT-1020,IRIDOPLASTY (RECONSTRUCTION OF PUPIL),3102,3413,42764-03-01
FMOPT-1021,EXCISION OF FIBROVASCULAR TISSUE WITH CONJ-GRAFT FOLLOWING TRAUM,3102,3413,99999-99-99
FMPSD-1085,IMPLANTATION OF AMPUTATED FINGER,3102,3413,99999-99-99
FMENTE6093,HEARING AID MENU-ME-9-BTE-65,3080,3388,96092-00-41
FMENTE6094,HEARING AID MENU-ME-19-BTE-75,3080,3388,96092-00-41
FMENTE6102,HEARING AID MENU-ME-M-BTE-67,3080,3388,96092-00-41
FMERDC0026,AMBULANCE W / NURSE & DOCTOR (MADINAH TO MAKKAH),3080,3388,83500-00-80
FMNEU-0177,EXTERNAL VENTRICULAR DRAIN INSERTION (EVD INSERTION),3080,3388,39015-00-00
FMOPTH0012,LASER IRIDOTOMY,3080,3388,42764-00-01
FMOPTH-0012,LASER IRIDOTOMY,3080,3388,42764-00-01
FMOPTH0013,LASER CAPSULECTOMY,3080,3388,90077-00-01
FMDNTS0253,SEGMENTAL ONE JAW MILD,3069,3376,45608-01-01
FMDNTS0269,OPEN REDUCTION+T.O.W. FRACTURE COMPOUND,3069,3376,359
FMNSCA0018,OPEN LUMBAR DISCECTOMY (MULTIPLE),3069,3376,48636-00-00
FMNSCA0020,LUMBAR LAMINOTOMY OR LAMINECTO,3069,3376,90024-00-00
FMNSCA0022,PERCUTANEOUS THERMO LASER DIS-,3069,3376,99999-99-99
FMNSCA0023,ENDOSCOPIC THERMO-LASER (ANY,3069,3376,99999-99-99
FMNSCA0024,LUMBAR DISCESTOMY WITH PDN IN-,3069,3376,48636-00-00
FMNSCA0027,POSTERIOR CERVICAL WIRING,3069,3376,48678-00-00
FMNSCA0033,FIXATIONOF SACRAL FRACTURE,3069,3376,48678-00-00
FMNSCA0045,SACRO-ILIAC JOINT ARTHRODESIS,3069,3376,49300-00-00
FMNSCA0064,EXCISION OF PARASPINAL SOFT,3069,3376,90011-06-00
FMNSCA0069,DESTANTU LUMBAR LAMINOTOMY (2),3069,3376,40300-01-00
FMORT-0033,FIXATIONOF SACRAL  FRACTURE,3069,3376,48678-00-00
FMORT-0064,EXCISION OF PARASPINAL  SOFT,3069,3376,90011-06-00
FMORT-0726,DESTANTU LUMBAR LAMINOTOMY ( 2 ),3069,3376,99999-99-99
FMORT-0729,ENDOSCOPIC THERMO-LASER (ANY),3069,3376,52035-00-00
FMORT-0734,LUMBAR DISCESTOMY WITH PDN IN,3069,3376,40300-00-00
FMORT-0735,LUMBAR LAMINOTOMY OR  LAMINECTO,3069,3376,40300-00-00
FMORT-0738,OPEN LUMBAR DISCECTOMY  (MULTIPLE),3069,3376,40300-01-00
FMORT-0741,PERCUTANEOUS THERMO LASER DIS,3069,3376,48636-00-00
FMORT-0742,POSTERIOR CERVICAL  WIRING,3069,3376,50130-00-01
FMORT-9909,ARTHOSCOPY SHOULDER (DIAGNOSTIC),3069,3376,48945-00-01
FMENTK0009,PARTIAL THYROIDECTOMY,3042,3347,30310-00-00
FMENTO0019,GLOSSOPLASTY,3042,3347,90136-00-00
FMDNTS0084,SURGICAL EXCISION OF BENIGN TUMOUR IN SOFT PALATE,3036,3340,371
FMENDE0036,E. STONE EXTRACTION 5 OR MORE  STONES,3036,3340,30485-01-00
FMIVF-0033,LAPAROSCOPIC OPERATION FOR INFERTILITY,3036,3340,30390-00-00
FMIVF-0035,HYSTEROSCOPIC OPERATION FOR INFERTILITY,3036,3340,35630-00-00
FMOBG-0012,FORCEPS DELIVERY COMPLICATED   KIELAND,3036,3340,90468-01-00
FMOBG-0019,TRIPLETS DELIVERY,3036,3340,16520-04-00
FMOBG-0025,LAPAROSCOPY - OPERATION,3036,3340,30390-00-00
FMOBG-0026,LAPAROSCOPY STERILIZATION,3036,3340,35688-00-00
FMOBG-0081,OOPHORECTOMY - BILATERAL,3036,3340,35717-01-00
FMOBG-0082,SALPINGO OOPHORECTOMY-UNILAT.,3036,3340,35713-11-00
FMOBG-0093,SUBTOTAL HYSTERECTOMY,3036,3340,35653-00-00
FMOBG-0107,LAPAROSCOPY W/ SALPINGOTOMY,3036,3340,35638-06-01
FMOBG-0110,SIMPLE MASTECTOMY,3036,3340,31518-00-00
FMOBG-0147,HYSTEROSCOPIC OPERATION,3036,3340,35630-00-00
FMOBG-0168,RECTOVAGINAL FISTULA (LOW),3036,3340,35596-00-00
FMOBG-0176,LAPAROSCOPIC OPER.(INFERTILITY,3036,3340,30390-00-00
FMOBG-0178,HYSTEROSCOPIC OPER(INFERTILITY,3036,3340,35630-00-00
FMORT-0078,CLOSED REDUCTION INT FIX HUMERUS ILN,3025,3328,47451-00-01
FMORT-0593,LUMBAR PERCUTANEOUS RHIZOTOMY  LEVEL II,3025,3328,40330-00-00
FMORT-0594,CERVICAL RHIZOTOMY LEVEL I,3025,3328,40330-00-00
FMURO-2050,BILATERAL MICRODESSECTION OF SPERMATIC CORD VESSELS,3014,3316,30644-12-01
FMORT-0697,CURRETTAGE OF BONE SYST LARGE,3003,3304,30241-00-01
FMXRY-0474,I-131 120 MCI,3003,3304,61426-00-00
FMLAB-2131,IMMUNO HISTOCHEMISTRY PANEL (6MARKERS),2992,3292,73200-08-40
FMORW-0117,SHOULDER ARM ABDUCTION SPLINT  (ORTHOPLAST),2992,3292,97823-00-00
FMORT-0154,"RELEASE OF ADHERENT JNT CAPSUL LIGAMENT,CARTILAGE-SHOULDER",2981,3280,90600-01-01
FMORT-0166,COMPLETE OR PARTL.RESECTION OF SYNOVIAL MEMBR.-SHOULDER,2981,3280,48936-00-01
FMORT-0493,OPEN RED.& INT.FIX.OF FRACTURE OF CALCANEUS,2981,3280,47615-01-01
FMPDS-0087,BURN DRESSING MORE THAN 30%,2981,3280,30014-00-00
FMCTSS0001,CHEST TUBE INSERTION,2970,3267,38806-00-00
FMURO-0166,EXPLORATION & DRAINAGE OF RETROPERITONEAL,2970,3267,37004-02-00
FMDNTP0136,BRIDGE 3 UNITS,2959,3255,643
FMENTE6063,HEARING AID START POWER-136-BTE,2948,3243,96092-00-41
FMORT-0313,PLASTIC ACHILLOTENOTOMY BY,2948,3243,49718-01-00
FMNEU-0011,MATERIAL FOR VA SHUNT,2937,3231,83700-00-00
FMNEU-0035,CHYMOPAPAIN AMP INJECTION-EACH,2937,3231,40336-00-00
FMPSYB0025,PSYCHOTHERAPY X 8,2937,3231,96185-00-00
FMENTE6041,HEARING AID-START-131,2926,3219,96092-00-41
FMENTE6042,HEARING AID-START-123,2926,3219,96092-00-41
FMENTE6043,HEARING AID-START-121,2926,3219,96092-00-41
FMLAB-9793,CHORIONIC VILLI SAMPLING (CVS),2915,3207,16603-00-00
FMLAB-9797,PERIPHRAL BLOOD MOSAICISM STUD Y,2915,3207,73200-04-90
FMLAB-9798,PRODUCTS OF CONCEPTION,2915,3207,73350-05-50
FMLAB-9799,SKIN BIOPSY CHROMOSOME ANALYSI S,2915,3207,73200-06-10
FMLAB-9801,SOLID TUMOUR/ASCITES/EFFUSION,2915,3207,73200-04-10
FMDNTO0070,REMOVABLE APPLIANCES,2904,3195,821
FMDNTP0117,IMPLANT 2ED STAGE EASTHTICPLUS INCLUDING IMPLANT,2904,3195,691
FMDNTP0121,INSERTION OF IMPLANT SUBMERGED INCLUDING IMPLANT,2904,3195,684
FMDNTS0289,EXCISION OF OSTEOMA FROM EXTERNAL AUDITORY CANAL (CANALPLASTY),2904,3195,41518-00-01
FMLAB-9240,HCV QUANTITATIVE W/ GENOTYPING,2904,3195,73050-60-90
FMODT-0122,REMOVABLE APPLIANCES,2904,3195,821
FMORT-9976,RELEASE OF COMPARTMENT SYNDROME IN THE LEG,2904,3195,47978-01-01
FMPDS-0092,BILATERAL EXCISION OF INGROWING TOE NAIL,2904,3195,47915-00-02
FMPDS-0101,DIAGNOSTIC LAPAROSCOPY.,2904,3195,30390-00-00
FMPDS-0117,RIGID BRONCHOSCOPY,2904,3195,41889-05-01
FMPDS-0132,HAEMORRHOIDECTOMY.,2904,3195,32138-00-00
FMPDS-0139,REPAIR OF CLEFT PALATE FISTULA,2904,3195,45707-00-00
FMPDS-0140,CORRECTION OF PENILE TORSION,2904,3195,90404-00-00
FMPSD-1007,LOCAL FLAPS OF SKIN (MAJOR),2904,3195,45200-00-00
FMPSD-1036,FRACTURE ZYGOMATIC EACH PLATE & SCREWS FIXATION,2904,3195,47762-01-01
FMPSD-1066,RHINOPLASTY (MINI),2904,3195,45638-00-00
FMSUR-9086,SUBFACIAL ENDOSCOPIC PERFORATOR SURGERY,2904,3195,32508-00-01
FMURO-2046,LASER STONE KIDNEY FRAGMENTATION,2904,3195,36639-01-01
FMURO-2047,LASER PROSTATECTOMY,2904,3195,37224-00-00
FMURO-2059,MALLEABLE PROSTHESIS IMPLANTATION,2904,3195,96092-00-00
FMCTS-0033,DRAINAGE OF LUNG ABSCESS,2888,3177,38418-04-00
FMCTSS0012,THERA. RIGID OESOPHAGOSCOPY,2888,3177,41816-00-00
FMCTSS0018,PERICARDIOTHENTESIS,2888,3177,38359-00-00
FMDNTF0034,COMPOSITE FILLING 6 TEETH,2888,3177,531
FMNEU-0114,ELEVATION OF DEPRESSED FRACTU RE & DURAL REPAIR,2888,3177,39606-00-00
FMPDS-0028,COLOSTOMY,2888,3177,30375-04-00
FMPDS-0030,ILEOSTOMY,2888,3177,30375-01-00
FMPDS-0032,EXPLORATORY LAPAROTOMY,2888,3177,30373-00-00
FMPDS-0045,UNDESCENDED OR ECTOPIC TESTIS  (ORCHIDOPEXY),2888,3177,37604-10-00
FMPDS-0073,BILATERAL INGUINAL HERNIOTOMY,2888,3177,30614-03-00
FMPSYB0036,(20) SESSION OF BIOFEEDBACK,2888,3177,96152-00-00
FMDNTS0258,OPEN REDUCTION + FIXATION MAXILLA COMPOUND,2882,3171,359
