S/No,ItemCode,Name,Price/ Unit,price of 1/2/2021,price of 1/2/2022,GMDN 1,GMDN 2,GMDN 3
586,MS-F-000624,FILTER CAPSULES BACTERIAL. OXYLITRE # S750,182.0,201,222,33868,,
587,MS-F-000644,FEMORAL SLEEVE UNIVERSAL 40MM FULL POROUS. JOH. & JOH. # 1294-53-236,15000.0,16500,18150,44855,,
588,MS-F-000655,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 1.5 L. JOH. & JOH. # 1960-40-150,7875.0,8663,9530,44855,,
589,MS-F-000664,FEMORAL COMPONENT CR CEMENTED KNEE MRI CONDITIONAL  ALL SIZES HIPOKRAT # 374.XXXX,3500.0,3850,4235,44855,,
590,MS-F-000665,FEMORAL COMPONENT PS CEMENTED KNEE MRI CONDITIONAL  ALL SIZES HIPOKRAT # 374.XXXX,3500.0,3850,4235,65063,,
591,MS-F-000667,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 5 RIGHT. JOH. & JOH. # 1960-50-500,9034.5,9938,10932,44855,,
592,MS-F-000684,FIBULA SHAFT BONE GRAFT 10MM L12-13MM W.FREEZE DRIED.  MTF  # 400751,9576.0,10534,11588,47938,58890.0,
593,MS-F-000705,FEMORAL SPACER CEMENTED S4 80MM SMALL RIGHT LINK #15-2964/01,3538.5,3893,4283,44855,,
594,MS-F-000712,FOLDING WALKER,135.0,149,164,37951,,
595,MS-F-000714,"FEMORAL TC3 CEMENTED SIZE 3 LEFT . JOH,JOH #96-0081",16500.0,18150,19965,44855,,
596,MS-G-000054,GUEDEL AIRWAY SIZE 00 INFANT BLUE STERILE DISPOSABLE,7.0,8,9,42424,,
597,MS-G-000055,GUEDEL AIRWAY SIZE 000 STERILE DISPOSABLE,7.0,8,9,42424,,
598,MS-G-000272,GLOVES SURGICAL SIZE 7.0 STERILE LATEX FREE / POWDER FREE SEMPERMED #827056,6.12,7,8,60857,,
599,MS-G-000273,GLOVES SURGICAL SIZE 7.5 STERILE LATEX FREE / POWDER FREE SEMPERMED #827056,7.88,9,10,56293,,
600,MS-G-000274,GLOVES SURGICAL SIZE 8.0 STERILE LATEX FREE / POWDER FREE SEMPERMED #827056801,5.625,7,8,60857,,
601,MS-G-000275,GLOVES SURGICAL SIZE 8.5 STERILE LATEX FREE / POWDER FREE SEMPERMED #827056821,6.125,7,8,33518,,
602,MS-G-000289,GRAFTON PUTTY SUREFUSE DBM 1CC TIKNIMED #SP1,1640.0,1804,1985,47257,,
603,MS-G-000300,GRAFT STRAIGHT INTERGARD WOVEN SIZE 28MM X 60CM MAQUET # IGW0028-60,2953.1,3249,3574,35281,,
604,MS-G-000301,GRAFT STRAIGHT INTERGARD WOVEN SIZE 30MM X 60CM MAQUET # IGW0030-60,2953.1,3249,3574,35281,,
605,MS-G-000302,GRAFT STRAIGHT INTERGARD WOVEN SIZE 32MM X 60CM MAQUET # IGW0032-60,5167.925,5685,6254,35281,,
606,MS-G-000311,GRAFT VASCULAR WOVEN 32MM X 30CM MAQUET #175432P,5687.5,6257,6883,35281,,
607,MS-G-000326,GUIDEWIRE STAINLESS STEEL CRUISER 18 VASCULAR BIOTRONIK #357259,1680.0,1848,2033,35685,,
608,MS-G-000330,GRAFT FLIXENE GRADUATED WALL TAPER 4-7MM X 35CM PTFE ATRIUM # 25129,8400.0,9240,10164,35281,,
609,MS-G-000348,GOWN SURGEON XL STERILE,26.25,29,32,35091,11902.0,
610,MS-G-000357,GELPOINT PATH TRANSANAL ACCESS PLATFORM APPLIED MED# CN011,8043.0,8848,9733,63391,,
611,MS-G-000360,GRAFT VASCULAR 7MM X 80CM FUSION BIOLINE STRAIGHT DOUBLE LAYERS MAQUET#M00201503087B0,9750.0,10725,11798,35281,,
612,MS-G-000364,GLOVES SURGICAL HEAVY DUTY FOR INFECTED PATIENT SIZE 7,17.5,20,22,56293,,
613,MS-G-000370,GRAFT TIBIALIS TENDON POSTERIOR  8.5 MM X 24 CM MTF # 400340,18525.0,20378,22416,44874,,
614,MS-G-000374,GRAFT VASCULAR 8 MM X 60 CM FUSION STRAIGHT LOT. MAQUET # M002015010680,8062.5,8869,9756,35281,,
615,MS-G-000379,GLOVES SURGEON SIZE 7.5 STERILE PEHA-TATT CLASSIC PF HARTMANN # 942 648,3.325,4,5,33518,,
616,MS-G-000380,GLOVES SURGEON SIZE 8.0 STERILE PEHA-TATT CLASSIC PF HARTMANN # 942 649,3.325,4,5,33518,,
617,MS-G-000381,GLOVES SURGEON SIZE 8.5 STERILE PEHA-TATT CLASSIC PF HARTMANN # 942 650,3.325,4,5,33518,,
618,MS-G-000382,GASTROJEJUNOSTOMY TUBE FR12 1X1 HALYARD-KIMBELRY #0200-12LV,1200.0,1320,1452,42215,,
619,MS-G-000385,GRAFT VASCULAR NEO VASCULAR PTFE 7MM X 80 CM B.BRAUN # V1103586,4170.0,4587,5046,35281,,
620,MS-G-000386,GRAFT VASCULAR PATCH IMPREGNATED K DV 2 X 9 CM B.BRAUN # 1107403,1980.0,2178,2396,35281,,
621,MS-G-000387,GRAFT VASCULAR K DV STRAIGHT 8MM X 60CM . B.BRAUN # 1104080,5057.5,5564,6121,35281,,
622,MS-G-000388,GRAFT VASCULAR K DV 8MMX100/60CM AXILLO-BIFEMORAL RIGHT. B.BRAUN # 1104705,26475.0,29123,32036,35281,,
623,MS-G-000389,GEL DIANATAL OBSTETRIC 5ML STERILE HCB WOMEN'S HEALTH GmbH # 6401411,525.0,578,636,No codes,,
624,MS-G-000672,GLIDE CATHETER 4F&5F DIFFERENT SIZES TERUMO # RF*YA35110M,500.0,550,605,13895,,
625,MS-G-000675,GLOVES SURGEON 8.5 STERILE POWDER FREE,1.56,2,3,47178,,
626,MS-G-000678,GILL QUICKANCHOR PLUS ORTHOCORD. JOH. & JOH. # 222983,1950.0,2145,2360,13895,,
627,MS-G-000687,GRAFT POSTERIOR TIBIALIS TENDON MIN. LENGTH DIAMETER 7.5 MM 230. LIFENET # FPOST.TIBIAL,12500.0,13750,15125,60501,,
628,MS-G-000688,GRAFT BONE PUTT 2.5CC OPTIUM DBM. LIFENET # TPUT02,2975.0,3273,3601,16966,,
629,MS-G-000695,"GRAFT VASCULAR NEO VASCULAR PTEE ,DIA 8MM LENGTH 80CM. B.BRAUN # V1103588",4880.0,5368,5905,35281,43526.0,35950.0
630,MS-G-000700,"GRAFT SILVER 14 X 7MM,40CM . B.BRAUN # 1108017",7182.0,7901,8692,16266,,
631,MS-G-000701,GRAFT VASCULAR FUSION PTFE RINGED 8MM X 80MM MAQUET # 503088,9045.0,9950,10945,35281,,
632,MS-G-000730,GEL HAND SANITIZER DISINFECTANT 70% ALCOHOL NAPHCARE PLUS # NFP0045 (BAG/1000ML),20.0,22,25,41550,,
633,MS-G-000731,GEL HAND RUB SANITIZER DISINFECTANT 70% ALCOHOL BTL/1000ML NAPHCARE PLUS,0.12,1,2,41550,,
634,MS-G-000732,GEL BURN FREE FIRST AID HYDROGEL 118ML EUROMED # #2B,280.0,308,339,41550,,
635,MS-G-000733,GEL BURN FREE FIRST AID HYDROGEL 50 ML EUROMED # # 1B,147.0,162,179,58108,,
636,MS-G-000737,GRAFT VASCULAR FILIXIENE GRADUATED WALL PTFF WITH DOUBLE SILDER GDS 4-7MMX45CM. MAQUET # 25138,7787.63,8567,9424,35281,,
637,MS-G-000745,GEL BARRIER ANTI ADHESION OXIPLEX 3ML. FZIOMED # FBC-09006,2450.0,2695,2965,41550,,
638,MS-G-000746,GRAFT VASCULAR FILIXENE GRADUATED WALL PTEF W/ DOUBLE SLIDER GDS 4-6MMX45CM. MAQUET # 25137,5191.75,5711,6283,35281,,
639,MS-G-000750,GRAFT MED ILIUM STRIPS 15X30MM. LIFENET # ISP MED,6562.5,7219,7941,35281,,
640,MS-G-000753,GRAFT VASCULAR 8MM/60CM FUSION BIOLINE STRAIGHT EXTERNALLY SUPPORTED . MAQUET # M00201503068B0,10200.0,11220,12342,35281,,
641,MS-G-000771,GRAFT VASCULAR INTERGARD KNITTED STRAIGHT RADIALLY SUPPORTED 8MMX85CM. MARTIN # IGK0008RS45SG,6483.75,7133,7847,35281,,
642,MS-H-000039,"HEAD HUMERAL 15°  DIAMETER:40MM,STAINLESS STEEL.",2250.0,2475,2723,48089,,
643,MS-H-000045,SCREW LOCKING 3.5X26  # T50093526,322.0,355,391,16101,,
644,MS-H-000046,HIP TOTAL REPLACEMENT CEMENTLESS DIFFERENT SIZES,15000.0,16500,18150,61940,,
645,MS-H-000047,HIP TOTAL REPLACEMENT CEMENTED DIFFERENT SIZES,9000.0,9900,10890,61940,,
646,MS-H-000052,HAEMOSTAT SANGUSTOP 5CM X 8CM B.BRAUN #1069550,1600.0,1760,1936,47201,,
647,MS-H-000098,HINGE HALF MALE TIPMED #041795,312.5,344,379,46453,,
648,MS-H-000099,HINGE HALF FEMALE 1 HOLE TIPMED #041801,213.5,235,259,46453,,
649,MS-H-000100,HINGE HALF DOUBLE FEMALE TIPMED #041863,514.5,566,623,46453,,
650,MS-H-000107,HARMONIC ACE & SHEARS ETHICON #HAR36,3150.0,3465,3812,38727,,
651,MS-H-000110,HUMERAL HEAD 15 DEGREE X  47MM S/STEEL TIPMED  #019251,3937.5,4332,4766,60512,,
652,MS-H-000111,HUMERAL STEM 11MM X 150MM S/STEEL TIPMED  #019039,7437.5,8182,9001,60512,,
653,MS-H-000114,HUMERAL HEAD 15 DEG. S/STEEL 38MM TIPMED #019671,3937.5,4332,4766,52522,,
654,MS-H-000115,HUMERAL STEM 7MM X 130MM S/STEEL TIPMED #018964,7437.5,8182,9001,34197,,
655,MS-H-000128,HUMERAL STEM 9 X 130MM S/STEEL TIPMED #018995,4500.0,4950,5445,48090,,
656,MS-H-000189,"HEAD FEMORAL 12/14X28MM ,ZIMMER#8018-28-03",1500.0,1650,1815,33175,,
657,MS-H-000194,HOLDER LIMB SINGLE STRAP TIE POSEY ECONOMY #2510,70.0,77,85,31072,,
658,MS-H-000197,HEMAPATCH SILVER KNITTED ULTRATHIN SIZE 10X125MM MAQUET #HEK10/150UTS(1),2355.605,2592,2852,35273,,
659,MS-H-000198,HEMAPATCH WOVEN SIZE 15X50MM MAQUET #HEW50/50P (1),1178.1,1296,1426,35273,,
660,MS-H-000219,HOOK LAMINAR SMALL 6.0MM LEFT MEDTRONIC #7756074,2362.5,2599,2859,61325,,
661,MS-H-000251,HEAD BIPOLAR HIP CENT. SELF 42 X 28MM J&J $# 103542000,5600.0,6160,6776,33695,,
662,MS-H-000263,HOOK LAMINAR SMALL 6.0MM OFFSET RIGHT MEDTRONIC #7756074R,2362.5,2599,2859,61325,,
663,MS-H-000267,HOOK LAMINAR 4.5MM OFFSET RIGHT SOFAMOR #7756073R,4104.0,4515,4967,61325,,
664,MS-H-000268,HOOK LAMINAR 4.5MM OFFSET LEFT SOFAMOR #7756073L,4104.0,4515,4967,61325,,
665,MS-H-000297,HARMONIC ACE 23CM ERGONOMIC ETHICON# ACE23E,4413.5,4855,5341,38727,,
666,MS-H-000329,HEAD POSITIONER  UNIVERSAL ARTHREX # AR-1627-06,450.0,495,545,40898,,
667,MS-H-000333,HEAD 28MMX45MM BI-POLAR SELF CENTERING J&J # 1035-45-000,5600.0,6160,6776,33175,,
668,MS-H-000334,HEAD FEMORAL 28MM +12 TAPER J&J # 1365-14-000,2400.0,2640,2904,33175,,
669,MS-H-000337,HOOK LAMINAR 4.5MM MEDTRONIC # 7756073,2467.5,2715,2987,33542,,
670,MS-H-000339,"HIP STEM NETUTRAL 2,L-130 LINK # 164-004",5250.0,5775,6353,61271,,
671,MS-H-000340,HEAD CUP VARIO 51MM DIA 28MM. LINK # 107-220/51,4637.5,5102,5613,33695,,
672,MS-H-000341,HEAD V40  28MM -4LFIT STRYKER # 6260-9-028,4038.5625,4443,4888,33175,,
673,MS-H-000476,HIP LINEAR PINN MAR NEUTRAL 32ID X56OD. JOH. & JOH. # 1219-32-056,3150.0,3465,3812,43168,,
674,MS-H-000478,HEAD FEMORAL  CERAMIC 36MM 12/14 TAPER BIOLOX JHONSON & JHONSON # 1365-36-320,4200.0,4620,5082,38156,,
675,MS-H-000484,HEAD FEMORAL ARTICUL/EZE 28MM X +1.5 12/14 TAPER. JOH. & JOH. # 1365-11-000,2625.0,2888,3177,33175,,
676,MS-H-000485,HEAD BI-POLAR SELF CENTERING 28MM X 40MM JOH. & JOH. # 1035-40-000,5400.0,5940,6534,33695,,
677,MS-H-000502,HEAD FEMORAL METAL 36MM X-2 /12/14TAPER JOH. & JOH. # 1365-50-000,5250.0,5775,6353,33175,,
678,MS-H-000518,HEAD 28MM X 54MM BI-POLAR SELF CENTERING. JOH. & JOH. # 1035-54-000,5400.0,5940,6534,33746,58798.0,58772.0
679,MS-H-000519,HIP SYSTEM CEMENTED FEMORAL STEM SIZE 11 STANDARD NO COLLAR. JOH. & JOH. # L96411,6650.0,7315,8047,61271,,
680,MS-H-000525,HBS 2 MINI SHORT THREAD 10MM. IRENE # 26-820-10-09,1800.0,1980,2178,61689,,
681,MS-H-000526,HBS 2 MINI SHORT THREAD 11MM. IRENE # 26-820-11-09,1800.0,1980,2178,61689,,
682,MS-H-000527,HBS 2 MINI SHORT THREAD 12MM. IRENE # 26-820-12-09,1800.0,1980,2178,61689,,
683,MS-H-000528,HBS 2 MINI SHORT THREAD 13MM. IRENE # 26-820-13-09,1800.0,1980,2178,61689,,
684,MS-H-000529,HBS 2 MINI SHORT THREAD 14MM. IRENE # 26-820-14-09,1800.0,1980,2178,61689,,
685,MS-H-000530,HBS 2 MINI SHORT THREAD 15MM. IRENE # 26-820-15-09,1800.0,1980,2178,61689,,
686,MS-H-000531,HBS 2 MINI SHORT THREAD 16MM. IRENE # 26-820-16-09,1800.0,1980,2178,61689,,
687,MS-H-000532,HBS 2 MINI SHORT THREAD 17MM. IRENE # 26-820-17-09,1800.0,1980,2178,61689,,
688,MS-H-000533,HBS 2 MINI SHORT THREAD 18MM. IRENE # 26-820-18-09,1800.0,1980,2178,61689,,
689,MS-H-000534,"HBS 2 MINI SHORT THTEAD 19MM ,CAN/SD/TI. IRENE # 26-820-19-09",1800.0,1980,2178,61689,,
690,MS-H-000535,"HBS 2 MINI SHORT THTEAD 20MM ,CAN/SD/TI. IRENE # 26-820-20-09",1800.0,1980,2178,61689,,
691,MS-H-000536,"HBS 2 MINI SHORT THTEAD 21MM ,CAN/SD/TI. IRENE # 26-820-21-09",1800.0,1980,2178,61689,,
692,MS-H-000537,"HBS 2 MINI SHORT THTEAD 22MM ,CAN/SD/TI. IRENE # 26-820-22-09",1800.0,1980,2178,61689,,
693,MS-H-000538,"HBS 2 MINI SHORT THTEAD 23MM ,CAN/SD/TI. IRENE # 26-820-23-09",1800.0,1980,2178,61689,,
694,MS-H-000539,"HBS 2 MINI SHORT THTEAD 24MM ,CAN/SD/TI. IRENE # 26-820-24-09",1800.0,1980,2178,61689,,
695,MS-H-000540,"HBS 2 MINI SHORT THTEAD 25MM ,CAN/SD/TI. IRENE # 26-820-25-09",1800.0,1980,2178,61689,,
696,MS-H-000541,"HBS 2 MINI SHORT THTEAD 26MM ,CAN/SD/TI. IRENE # 26-820-26-09",1800.0,1980,2178,61689,,
697,MS-H-000542,"HBS 2 MINI SHORT THTEAD 27MM ,CAN/SD/TI. IRENE # 26-820-27-09",1800.0,1980,2178,61689,,
698,MS-H-000543,"HBS 2 MINI SHORT THTEAD 28MM ,CAN/SD/TI. IRENE # 26-820-28-09",1800.0,1980,2178,61689,,
699,MS-H-000547,"HBS 2 SHORT MINI THREAD 29MM,CAN/SD/TI . IRENE # 26-820-29-09",1800.0,1980,2178,61689,,
700,MS-H-000548,"HBS 2 SHORT MINI THREAD 30MM,CAN/SD/TI . IRENE # 26-820-30-09",1800.0,1980,2178,61689,,
701,MS-H-000549,"HBS 2 MINI THREAD 20MM,CAN/SD/TI . IRENE # 26-830-20-09",1800.0,1980,2178,61689,,
702,MS-H-000550,"HBS 2 MINI THREAD 22MM,CAN/SD/TI . IRENE # 26-830-22-09",1800.0,1980,2178,61689,,
703,MS-H-000551,"HBS 2 MINI THREAD 24MM,CAN/SD/TI . IRENE # 26-830-24-09",1800.0,1980,2178,61689,,
704,MS-H-000552,"HBS 2 MINI THREAD 26MM,CAN/SD/TI . IRENE # 26-830-26-09",1800.0,1980,2178,61689,,
705,MS-H-000553,"HBS 2 MINI THREAD 28MM,CAN/SD/TI . IRENE # 26-830-28-09",1800.0,1980,2178,61689,,
706,MS-H-000554,"HBS 2 MINI THREAD 30MM,CAN/SD/TI . IRENE # 26-830-30-09",1800.0,1980,2178,61689,,
707,MS-H-000555,"HBS 2 MINI THREAD 32MM,CAN/SD/TI . IRENE # 26-830-32-09",1800.0,1980,2178,45039,,
708,MS-H-000559,"HEAD FEMORAL ARTICUL / EZE 32MM+9  12/14 TAPER, JOH. & JOH. # 1365-24-000/1365-23-000",4200.0,4620,5082,33175,,
709,MS-H-000560,HEAD BI-POLAR 28MM ID X49MM OD. JOH. & JOH. # 1035-49-000,6300.0,6930,7623,33695,,
710,MS-H-000566,HEAD BI-POLAR 28MM ID 50MM OD. JOH. & JOH. # 1035-50-000,5400.0,5940,6534,33695,,
711,MS-H-000567,HEAD RADIAL MODULAR 12MMX24MM. BIOMET # 11-210042,5789.0,6368,7005,33701,,
712,MS-H-000570,HEAD BI-POLAR 28MM ID 44MM OD. JOH. & JOH. # 1035-44-000,5400.0,5940,6534,33695,,
713,MS-H-000575,HEAD BI -POLAR SELF CENTERING 28MM ID 46MM OD. JOH. & JOH. # 1035-46-000,6300.0,6930,7623,33695,,
714,MS-H-000576,HOOK NARROW BLADE MEDIUM. MEDTRONIC # 7541123,1900.0,2090,2299,61325,,
715,MS-H-000582,HIP STEM PROSTHESIS SP-CL SYSTEM SIZE 8 LEFT. LINK # 177-227/26,6650.0,7315,8047,33581,,
716,MS-H-000584,HUMERUS FRACT STEM COMPR 12MM PPS BIOMET # 12-113562,10503.0,11554,12710,48090,,
717,MS-H-000585,HIP SELF CENT RUST 41X28 JOH. & JOH. # JOLOP103541000,6300.0,6930,7623,34191,,
718,MS-H-000586,HIP SELF CENT 41X28 RUST JOH. & JOH. # JOLOP103541000,6300.0,6930,7623,34191,,
719,MS-H-000597,HINGED MALE 1 HOLE HIPOKRAT # D124000001,87.5,97,107,40124,,
720,MS-H-000600,"HEAD FEMORAL METAL 28MM 12/14 TAPER, JOHNSON & JOHNSON # 1365-13-500",4200.0,4620,5082,33175,,
721,MS-H-000601,HIP PROTHESIS STEM SIZE 5MM RIGHT LENGTH 135MM. LINK # 177-204/26,3800.0,4180,4598,33581,,
722,MS-H-000602,HEAD RADIAL 24MM POLY ASSEMBLY. INTEGRA LIFE SCIENCES # 22-1424,6912.5,7604,8365,33701,,
723,MS-H-000604,HEAD MODULAR VERSA-DIAL 46X27X46MM. ZIMMER # 113048,6742.75,7418,8160,39702,,
724,MS-H-000606,HINGED FEMALE STRAIGHT 1 HOLE. HIPOKRAT # D123000001,87.5,97,107,40124,,
725,MS-H-000611,HEAD FEMORAL HIP ALL SIZES HIPOKRAT # 172.XXXX,1600.0,1760,1936,33175,,
726,MS-H-000612,HIP PROSTHESIS STEM SP-CL LEFT SIZE 9.SIZE LINK # 177-228/26,6650.0,7315,8047,33581,,
727,MS-H-000613,HEAD BALL FEMORAL ARTICUL/EZE 28+8.5BL. JOH. & JOH. # 1365-13-000,4200.0,4620,5082,58798,58772.0,
728,MS-H-000614,HEAD RADIAL MODULAR HEIGHT 10MMX20MM. ZIMMER # 11-210022,5789.0,6368,7005,33701,,
729,MS-H-000615,"HEAD RADIAL MODULAR 10X24MM , 24MMX12. ZIMMER #11-210041",5789.0,6368,7005,41488,,
730,MS-H-000623,HEAD BIPOLAR SELF CENTERING 28MM ID 52MM OD.JOH. & JOH.#1035-52-000,6300.0,6930,7623,33695,,
731,MS-H-000628,HEAD FEMORAL CERAMIC +5.0 32MM DIA 12/14 TAPER.JOH. & JOH. #1365-32-320,3500.0,3850,4235,38156,,
732,MS-H-000630,HEAD RADIAL MODULAR 10MM HEIGHT X20MM. ZIMMER BIOMET # 11-210022,5789.0,6368,7005,41488,,
733,MS-H-000633,"HEAD FEMORAL CERAMIC +1.5 36MM DIA 12/14 TAPER. JOH,JOH #1635-36-310",4200.0,4620,5082,38156,,
734,MS-H-000636,HEAD BI-POLAR SEL CENTERING 28MM ID 53MMOD TAMER #1035-53-000,6300.0,6930,7623,33695,,
735,MS-H-000637,"HEAD BALL PROSTHESIS 32MM MEDIUM TAPER ,12/14.LINK #128-832/02",2275.0,2503,2754,33175,,
736,MS-H-000638,HEAD MODULAR W/VARIABLE OFFSET VERSA-DIAL SHOULDER STSYTEM.BIOMET #113046,6742.75,7418,8160,48088,,
737,MS-H-000643,"HEAD FEMORAL 36MM+12.0 . JOH,JOH  #1365-36-340",2625.0,2888,3177,38156,,
738,MS-H-000646,"HEAD FEMORAL CERAMIC +1 32MM DIA12/14 TAPER BIOLOX .JOH,JOH #1365-32-310",2625.0,2888,3177,38156,,
739,MS-H-000647,HEAD RADIAL MODULAR EXPLOR 10MM HIGHT X 22MM. ZIMMER BIOMET #11-210031,5789.0,6368,7005,33701,,
740,MS-H-000660,HEAD RADIAL  MODULAR IMPLANT 14X20MM  ZIMMER BIOMET #11-210024,5789.0,6368,7005,33701,,
741,MS-I-000014,"INTRODUCER SHEATH KIT 6FR, 11CM",252.0,278,306,62156,,
742,MS-I-000035,IMPLANT FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 3 RIGHT DEPUY SYNTHES SIGMA J&J# 1960-50-300,7875.0,8663,9530,52747,,
743,MS-I-000085,INFLATION DEVICE SET DOLPHIN MID PRESSURE 3WAY,660.0,726,799,64917,,
744,MS-I-000105,IOL IMPLANT ORBITAL POROUS HYDROXY. 14MM CORONET #54-300-14,2025.0,2228,2451,47726,,
745,MS-I-000127,INSERT TIBIAL FIXED BEARING STABILIZED 2.5/8MM XLK SIGMA DEPUY J&J #1581-22-108,2187.5,2407,2648,36027,,
746,MS-I-000128,INSERT TIBIAL FIXED BEARING STABILIZED 2.5/10MM XLK SIGMA DEPUY J&J #1581-22-110,2187.5,2407,2648,48068,,
747,MS-I-000156,INTRODUCER FORTRESS REINFORCES 4FR PRE-CURVED BIOTRONIC#358813,1680.0,1848,2033,64145,,
748,MS-I-000161,INFULSION I.V SET VENTED WITH REGULATOR F/ PHOTOSENSITIVE DRUGS ANGIPLAST #,68.95,76,84,36244,,
749,MS-I-000165,IMPLANT STAND ALONE 2HOLE INTERBODY DEVICE 6MMX16MMX14MM# 4210664,5600.0,6160,6776,60762,,
750,MS-I-000192,INTRA OCCULAR LENS TECNIS PRELOADED POWER AMO ALL SIZES,900.0,990,1089,47724,,
751,MS-I-000193,INTRA OCCULAR LENS AMO SENSAR 3 PIECE W/ CARTILAGE FROM +6.0 TO 30.0 AMO#AR40E,1170.0,1287,1416,47726,,
752,MS-I-000201,INTRODUCER BRAIDED (COIL TYPE) DIFFERENT SIZES BALTON,1125.0,1238,1362,64145,,
753,MS-I-000202,INTRODUCER SHEATH 4FR X 100CM FORTRESS REINFORCED BIOTRONIK #358815,2000.0,2200,2420,58865,,
754,MS-I-000213,I-PORT ADANCE F/ INSULIN INJECTION MEDTRONIC #MMT-100,192.5,212,234,17180,,
755,MS-I-000225,IMPLANT SYSTEM MPFL W/BIOCOMPOSITE ARTHREX #AR-1360C-CP,1800.0,1980,2178,44759,,
756,MS-I-000226,INTRODUCER SET ALL SIZES,262.5,289,318,58865,,
757,MS-I-000234,IMPLANT CAPSTONE PEEK VBS 12 / 26 MM VERTE-STACK MEDTRONIC # 2991226INT,6300.0,6930,7623,60762,,
758,MS-I-000244,ICE STERILE F/LIVER & CARDIAC SURGERY BAXTER # 2B7231,490.0,539,593,35913,,
759,MS-I-000245,INTRA OCCULAR LENS FOCUS ONE PIECE HYDROPHOBIC ACRYLIC  BAUSCH & LOMB #AS60130,750.0,825,908,47726,,
760,MS-I-000248,INSERT MODULAR 46MM DUAL MOBILITY STRYKER # 626-00-46F,10027.875,11031,12135,43167,,
761,MS-I-000249,INSERT 28/52 RESTORATION ADM X3 STRYKER # 1236-2-852,2774.1875,3052,3358,43168,,
762,MS-I-000548,"INSERT TIBIAL FIXED BEARING STABILIZED 2.5/12.5MM,SIGMA #1581-22-112 SIGMA # 1581-22-112",2187.5,2407,2648,48068,,
763,MS-I-000549,INSERT TIBIAL FIXED STABILIZED 3/15MM XLK SIGMA DEPUY. JOH. & JOH. # 1581-23-115,2187.5,2407,2648,46585,,
764,MS-I-000552,INSERT TIBIA 10MM SZ 3 JOH. & JOH. # 1581-23-110,2187.5,2407,2648,48068,,
765,MS-I-000559,INSERT 5-6MM ARTICULAR CONSTRAINED. SMITH&NEPHEW # 71420538,2000.0,2200,2420,33580,,
766,MS-I-000575,INSERT TIBIA XLK 12.5MM X 3 . JOH. & JOH. # 158-123-112,4641.0,5106,5617,46585,,
767,MS-I-000578,INSERT TIBIA 12.5MM X 2.5 . JOH. & JOH. # 1581-22-112,4641.0,5106,5617,46585,,
768,MS-I-000579,INSERT TIBIA 8MM SZ 3- JOH. & JOH. # 1581-23-108,2187.5,2407,2648,46585,,
769,MS-I-000583,"ITRODUCER SHEATH BRITE TIP OPEN ALL SIZES,40511M#CORDIS CORDIS # 40511M",325.0,358,394,58865,,
770,MS-I-000584,INSERT TIBIA 12.5MM X 2 JOH. & JOH. # 1581-21-112,2187.5,2407,2648,46585,,
771,MS-I-000585,INSERT TIBIA 15MMX2.5 . JOH. & JOH. # 1581-22-115,2187.5,2407,2648,46585,,
772,MS-I-000586,INSERT TIBIA 10MM SZ 2. JOH. & JOH. # 1581-21-110,2187.5,2407,2648,46585,,
773,MS-I-000593,INSERT PS FB SIZE 46MM . JOH. & JOH. # 1516-40-406,4500.0,4950,5445,46585,,
774,MS-I-000595,INSERT TIBIAL FIXED BEARING STABILIZED 3 .12.5MM JOH. & JOH. # 1581-23-112,2187.5,2407,2648,48068,,
775,MS-I-000596,INSERT TIBIA 17.5MM X 4 . JOH. & JOH. # 1581-24-117,3978.0,4376,4814,46585,,
776,MS-I-000598,INTRA OCCULAR LENS IOL SULCOFLEX ASPHERIC 653L POWER  -8.5 RAYNER CO. # SULCOFLEX,3000.0,3300,3630,47726,,
777,MS-I-000619,"INSERT CUP PE W/SHOULDER,MEDIUM . LINK # 182-152/03",4375.0,4813,5295,48090,,
778,MS-I-000620,INSERT CUP PE COMBI MEDIUM. LINK # 182-152/02,4375.0,4813,5295,48090,,
779,MS-I-000621,INJECTION MACROPLASTIQUE STERILE 1.5CC FOR TREATMENT OF VESICO URETRO REFLUX CHILDRAN (VUR). UROPLAS,4375.0,4813,5295,60961,,
780,MS-I-000622,INSERT TIBIAL FIXED BEARING STABILIZED SIZE 3  10MM GVF. JOH. & JOH. # 1581-23-010,4641.0,5106,5617,46585,,
781,MS-I-000629,"INSERT TIBIAL FIXED BEARING STABILIZED 4,15MM SIGMA. JOH. & JOH. # 1581-24-115",4641.0,5106,5617,46585,,
782,MS-I-000630,INSERT CUP COMBI PF SMALL 46MM. LINK # 182-001/46,8925.0,9818,10800,48090,,
783,MS-I-000633,INFUSION I.V AMINISTRATION SET W/ AFFP CLIP F/ INFUSION PUMP TERUMO # TI-PU300WY,35.0,39,43,36794,,
784,MS-I-000636,INSERT CUP COMBI PF W/SHOULDER LARGE HEAD 28MM. LINK # 182-152/04,6562.5,7219,7941,48090,,
785,MS-I-000638,"INSERT TIBIAL FIXED BEARING STABILIZED 2.5, 17.5MM. JOH. & JOH. # 1581-22-117",2187.5,2407,2648,46585,,
