SERVICE CODE,CATEGORY,SERVICE DESCRIPTION,SGH DMM Price,type,Department,Unified code ,Service Description2,LOS,Type3,NPHIES Code (Hyphenated )2
7128007,LABORATORY,"CYTOLOGY, CERVICAL (PAP) SMEAR",320.0,service,LABORATORY,FMLAB-8003,Pap Smear (Cervical Cytology),,Service,73200-01-20
7128177,LABORATORY,CYTO.BF. PERITONEAL FLUID,375.0,service,LABORATORY,fmlab-1330,Cyto.Bf. Peritoneal Fluid,0,Service,73200-00-00
7128178,LABORATORY,CYTO.BF. PELVIC FLUID,375.0,service,LABORATORY,fmlab-1329,Cyto.Bf. Pelvic Fluid,0,Service,73200-00-00
7129015,LABORATORY,CA-125,575.0,service,LABORATORY,FMLAB-3005,Ca 125,,Service,73100-14-00
7129016,LABORATORY,CALCITONIN,575.0,service,LABORATORY,FMLAB-9027,Calcitonin,,Service,73050-05-40
7129019,LABORATORY,CARCINOEMBRYONIC ANTIGEN (CEA),450.0,service,LABORATORY,FMLAB-3004,Carcinoembryonic Antigen Cea,,Service,73050-06-70
7129044,LABORATORY,CHROMOGRANIN A,575.0,service,LABORATORY,FMLAB-9999,Chromogranin A,0,Service,73100-14-50
7129065,LABORATORY,KAPPA LIGHT CHAINS,450.0,service,LABORATORY,FMLAB10269,Kappa Light Chains,0,Service,99999-99-99
7129066,LABORATORY,Ki-67 (MIB-1),450.0,service,LABORATORY,fmlab-1337,Ki-67 (Mib-1),0,Service,99999-99-99
7131010,BLOOD BANK,VENESECTION,150.0,service,LABORATORY,FMLAB-1036,Venesection,,Service,13757-00-00
8112002,OPHTHALMOLOGY,ANTERIOR STROMAL PUNCTURE,400.0,service,Ophthalmology,FMOPT-4102,Anterior Stromal Puncture,DAY CASE,PKG,42692-01-01
8112048,OPHTHALMOLOGY,FUNDUS EXAMINATION,50.0,service,Ophthalmology,FMOPTA0004,Fundus Examination,,Service,42503-00-01
8112064,OPHTHALMOLOGY,LASER PERIPHERAL IREDECTOMY,3150.0,service,Ophthalmology,FMOPT-4172,Laser Peripheral Iredectomy,1,PKG,42764-04-01
8112071,OPHTHALMOLOGY,LASER TRABECULOPLASTY,4200.0,service,Ophthalmology,FMOPT-4173,Laser Trabeculoplasty,DAY CASE,PKG,42782-00-01
8112139,OPHTHALMOLOGY,YAG. LASER POST. CAPSULOTOMY (DONE INSIDE),1500.0,service,Ophthalmology,FMOPT-4170,Yag Laser Post. Capsulotomy (Done Inside),DAY CASE,PKG,42734-01-01
8112140,OPHTHALMOLOGY,YAG. LASER POST. CAPSULOTOMY (DONE OUTSIDE),2750.0,service,Ophthalmology,FMOPT-4171,Yag Laser Post. Capsulotomy (Done Outside),DAY CASE,PKG,42734-01-01
8121031,RADIOLOGY,FLUOROSCOPY IN O.R (C-ARM),425.0,service,Radiology ,FMXRAY1610,Fluoroscopy In O.R (C-Arm),0,Service,60503-00-00
8121080,RADIOLOGY,PELVIS - 2 VIEWS,170.0,service,Radiology ,FMXRAY1641,Pelvis (2 Views),,Service,57715-00-00
8122022,RADIOLOGY,ULTRASOUND ONE BREAST,500.0,service,Radiology ,FMXRAY1622,Ultrasound One Breast,,Service,55070-00-00
8122031,RADIOLOGY,ULTRASOUND TENDON & JOINT (TWO),1000.0,service,Radiology ,FMRHE-1002,Ultrasound Tendon & Joint (Two),0,Service,90908-01-00
8122034,RADIOLOGY,ULTRASOUND TWO BREAST ,800.0,service,Radiology ,FMXRAY1623,Ultrasound Two Breast,0,Service,55070-00-00
8122038,RADIOLOGY,SONOHYSTEROGRAPHY,700.0,service,Radiology ,FMXRAY1645,Sonohysterography,0,Service,59712-00-00
8122043,RADIOLOGY,PORTABLE ULTRASOUND BRAIN (TRANSCRANIAL) ,685.0,service,Radiology ,FMXRAY1638,Portable Ultrasound Brain (Transcranial),0,Service,90908-00-00
8123041,RADIOLOGY,MRI LUMBER SPINE WITH CONTRAST,3400.0,service,Radiology ,FMXRAY1080,Mri Lumber Spine With Contrast,,Service,90901-03-60
8124019,RADIOLOGY,CT NECK WITH CONTRAST,1900.0,service,Radiology ,FMXRAY1126,Ct. Neck With Contrast,,Service,56101-00-00
8124044,RADIOLOGY,CT WHOLE SPINE,3500.0,service,Radiology ,FMXRAY1145,Ct. Spine (Whole),0,Service,56233-00-00
8124049,RADIOLOGY,CT PNS WITH CONTRAST,1900.0,service,Radiology ,FMXRAY1683,Ct Pns With Contrast,0,Service,56022-01-00
8125002,RADIOLOGY,COLOUR DOPPLER TRANSVAGINAL,1200.0,service,Radiology ,FMXRAY1651,Colour Doppler Transvaginal,0,Service,55065-00-10
8125003,RADIOLOGY,COLOUR DOPPLER PREGNANCY UMBILICAL  ARTERY PLACENTAL FLOW OVARIAN & UTERIAN ,1200.0,service,Radiology ,FMOBG-0277,Colour Doppler Pregnancy Umbilical  Artery Placental Flow Ovarian & Uterian,0,Service,55729-01-00
9112012,ONCOLOGY,CHEMOTHERAPY PREPARATION,500.0,service,Medication,fmph-00014,Chemotherapy - Preparation,0,Service,40336-00-00
9141017,AESTHETIC MEDICINE,SKIN BIOPSY ,300.0,service,Dermatology ,FMDER-0004,Skin Biopsy,,Service,30071-00-00
9141018,AESTHETIC MEDICINE,TRICHOGRAM ,300.0,service,Dermatology ,FMDER-0034,Trichogram,0,Service,99999-99-99
1011001,E.N.T.,ANTERIOR NASAL PACK UNDER GENERAL ANESTHESIA,1782.5,pk,ENT,FMENT-3123,Anterior Nasal Pack Under General Anesthesia,DAY CASE,PKG,90133-00-00
1011002,E.N.T.,BILATERAL MIDDLE MEATAL ANSTROSTOMY,8383.8,pk,ENT,FMENT-3108,Bilateral Middle Meatal Anstrostomy,1,PKG,41716-02-00
1011004,E.N.T.,CRYOTURBINECTOMY,5238.0,pk,ENT,FMENT-3115,Cryoturbinectomy,1,PKG,41695-00-00
1011005,E.N.T.,ENDOSCOPIC CAUTERY,6942.0,pk,ENT,FMENT-3106,Endoscopic Cautery,1,PKG,41674-01-00
1011006,E.N.T.,ENDOSCOPIC ETHMOIDECTOMY ,12672.0,pk,ENT,FMENT-3107,Endoscopic Ethmoidectomy,1,PKG,41737-02-00
1011007,E.N.T.,ENDOSCOPIC PARTIAL TURBINECTOMY,5238.0,pk,ENT,FMENT-3109,Endoscopic Partial Turbinectomy,1,PKG,41689-00-00
1011010,E.N.T.,EXAMINATION UNDER GENERAL ANESTHESIA,1500.0,pk,ENT,FMENT-3125,Examination Under General Anesthesia,1,PKG,96037-00-00
1011011,E.N.T.,EXTERNAL NASAL SINUS SURGERY,12672.0,pk,ENT,FMENT-3116,External Nasal Sinus Surgery,1,PKG,41737-00-00
1011012,E.N.T.,FRACTURE NOSE,4158.0,pk,ENT,FMENT-3105,Fracture Nose,DAY CASE,PKG,41686-00-00
1011014,E.N.T.,LASER SURGERY,5238.0,pk,ENT,FMENT-3114,Laser Surgery,1,PKG,90063-00-01
1011016,E.N.T.,NASAL BIOPSY,2538.0,pk,ENT,FMENT-3118,Nasal Biopsy,DAY CASE,PKG,41761-00-00
1011017,E.N.T.,NASAL CAUTERY UNDER G.A.,2143.2,pk,ENT,FMENT-3101,Nasal Cautery Under G.A.,DAY CASE,PKG,41674-01-00
1011018,E.N.T.,NASAL FOREIGN BODY REMOVAL G.A.,2199.6,pk,ENT,FMENT-3100,Nasal Foreign Body Removal G.A.,DAY CASE,PKG,99999-99-99
1011020,E.N.T.,OPEN REDUCTION OF FRACTURED NOSE,11440.0,pk,ENT,FMENT-3130,Open Reduction Of Fractured Nose,1,PKG,47741-00-00
1011021,E.N.T.,ORO-ANTRAL FISTULA REPAIR,8712.0,pk,ENT,FMENT-3120,Oro-Antral Fistula Repair,1,PKG,41722-00-01
1011022,E.N.T.,POSTERIOR NASAL PACK UNDER GENERAL ANESTHESIA ,2425.2,pk,ENT,FMENT-3124,Posterior Nasal Pack Under General Anesthesia,DAY CASE,PKG,90133-00-00
1011023,E.N.T.,REMOVAL OF ANTRAL FOREIGN BODY,4212.0,pk,ENT,FMENT-3119,Removal Of Antral Foreign Body,DAY CASE,PKG,41659-00-00
1011024,E.N.T.,REVISION OF RHINOPLASTY (MEDIUM),4500.0,pk,ENT,FMENT-3129,Revision Of Rhinoplasty (Medium),1,PKG,45650-00-00
1011025,E.N.T.,RHINOPLASTY,14375.0,pk,ENT,FMENT-3117,Rhinoplasty,1,PKG,45632-00-00
1011028,E.N.T.,SEPTORHINOPLASTY,13200.0,pk,ENT,FMENT-3121,Septorhinoplasty,1,PKG,45638-00-00
1011029,E.N.T.,SUBMUCOUS DIATHERMY + TURBINECTOMY,5238.0,pk,ENT,FMENT-3122,Submucous Diathermy + Turbinectomy,1,PKG,41695-00-00
1011030,E.N.T.,SUBMUCOUS RESECTION OF NASAL SPECTUM (MEDIUM),4306.5,pk,ENT,FMENT-3127,Submucous Resection Of Nasal Spectum (Medium),1,PKG,41671-00-00
1012001,E.N.T.,ADENOIDECTOMY,2472.5,pk,ENT,FMENT-3134,Adenoidectomy,1,PKG,41801-00-00
1012002,E.N.T.,ADENOTONSILECTOMY,5462.5,pk,ENT,FMENT-3153,Adenotonsilectomy,1,PKG,41789-01-00
1012003,E.N.T.,BRONCHOSCOPY,5940.0,pk,Internal Medicine,FMENDA0001,Bronchoscopy,0,Service,41889-05-01
1012004,E.N.T.,CLEFT PALATE REPAIR,12672.0,pk,ENT,FMENT-3150,Cleft Palate Repair,1,PKG,45710-00-00
1012005,E.N.T.,ESOPHAGOSCOPY,3236.4,pk,ENT,FMENT-3139,Esophagoscopy,1,PKG,30473-03-00
1012006,E.N.T.,HYPOPHARYNGOSCOPY ,3208.5,pk,ENT,FMENT-3152,Hypopharyngoscopy,DAY CASE,PKG,90149-00-00
1012007,E.N.T.,HYPOPHARYNGOSCOPY & FOREIGN BODY REMOVAL ,5238.0,pk,ENT,FMENT-3138,Hypopharyngoscopy & Foreign Body Removal,1,PKG,99999-99-99
1012008,E.N.T.,INCISION & DRAINAGE OF QUINSY UNDER G.A.,2425.2,pk,ENT,FMENT-3144,Incision & Drainage Of Quinsy Under G.A.,1,PKG,41807-00-00
1012010,E.N.T.,LARYNX LASER SURGERY,7636.2,pk,ENT,FMENT-3133,Larynx Laser Surgery,1,PKG,90160-00-00
1012011,E.N.T.,LASER TONSILLECTOMY,4590.0,pk,ENT,FMENT-3135,Laser Tonsillectomy,1,PKG,41789-00-00
1012014,E.N.T.,MICROLARYNGOSURGERY,8010.0,pk,ENT,FMENT-3132,Microlaryngosurgery,1,PKG,41849-00-00
1012015,E.N.T.,PAN-ENDOSCOPY (TRIPLE PROCEDURE),4482.0,pk,ENT,FMENT-3137,Pan-Endoscopy (Triple Procedure),DAY CASE,PKG,30473-00-00
1012017,E.N.T.,REMOVAL OF SUBMANDIBULAR GLAND STONE (MEDIUM),4005.0,pk,ENT,FMENT-3151,Removal Of Submandibular Gland Stone (Medium),1,PKG,30266-02-00
1012018,E.N.T.,RESECTION OF SUBMANDIBULAR GLAND ,7315.8,pk,ENT,FMENT-3145,Resection Of Submandibular Gland,1,PKG,30256-00-00
1012019,E.N.T.,THROAT FOREIGN BODY REMOVAL G.A.,2199.6,pk,ENT,FMENT-3147,Throat Foreign Body Removal G.A.,DAY CASE,PKG,99999-99-99
1012020,E.N.T.,TONSILLECTOMY,4427.5,pk,ENT,FMENT-3136,Tonsillectomy,1,PKG,41789-00-00
1012021,E.N.T.,TRACHEOSTOMY,12672.0,pk,ENT,FMENT-3143,Tracheostomy,1,PKG,41881-00-00
1012022,E.N.T.,TUMOR SURGERY OF THROAT ,12144.0,pk,ENT,FMENT-3142,Tumor Surgery Of Throat,1,PKG,90335-01-00
1013001,E.N.T.,BAT EAR SURGERY,12144.0,pk,ENT,FMENT-3175,Bat Ear Surgery,1,PKG,45659-00-01
1013003,E.N.T.,CORTICAL MASTOIDECTOMY,3627.0,pk,ENT,FMENT-3179,Cortical Mastoidectomy,1,PKG,41545-00-01
1013004,E.N.T.,EAR FOREIGN BODY REMOVAL UNDER G.A.,2199.6,pk,ENT,FMENT-3171,Ear Foreign Body Removal Under G.A.,DAY CASE,PKG,41503-00-01
1013005,E.N.T.,ENDOLYMPHATIC SHUNT,14094.0,pk,ENT,FMENT-3162,Endolymphatic Shunt,1,PKG,90281-00-00
1013006,E.N.T.,EXPLORATORY TYMPANOTOMY,9504.0,pk,ENT,FMENT-3176,Exploratory Tympanotomy,1,PKG,41629-00-01
1013007,E.N.T.,FACIAL NERVE SURGERY,14616.0,pk,ENT,FMENT-3165,Facial Nerve Surgery,2,PKG,41569-00-00
1013008,E.N.T.,IMPLANTABLE HEARING AID,10401.6,pk,ENT,FMENT-3168,Implantable Hearing Aid,1,PKG,96092-00-41
1013009,E.N.T.,INCISION & DRAINAGE OF EXTERNAL EAR ABSCESS,2199.6,pk,ENT,FMENT-3174,Incision & Drainage Of External Ear Abscess,DAY CASE,PKG,30223-01-00
1013010,E.N.T.,LABYRINTHECTOMY,13572.0,pk,ENT,FMENT-3163,Labyrinthectomy,1,PKG,41572-00-01
1013011,E.N.T.,LASER EAR SURGERY,10401.6,pk,ENT,FMENT-3169,Laser Ear Surgery,1,PKG,90111-00-01
1013012,E.N.T.,MASTOID ABSCESS DRAINAGE UNDER G.A.,2199.6,pk,ENT,FMENT-3170,Mastoid Abscess Drainage Under G.A.,DAY CASE,PKG,92514-99-00
1013013,E.N.T.,MYRINGOPLASTY,8976.0,pk,ENT,FMENT-3158,Myringoplasty,1,PKG,41530-00-01
1013016,E.N.T.,OSSICULOPLASTY,12144.0,pk,ENT,FMENT-3166,Ossiculoplasty,1,PKG,41539-00-01
1013017,E.N.T.,PLASTIC SURGERY OF EAR LOBULE,5238.0,pk,ENT,FMENT-3141,Plastic Surgery Of Ear Lobule,1,PKG,90111-00-01
1013018,E.N.T.,PRE AURICLAR  FISTULA EXCISION ,10032.0,pk,ENT,FMENT-3177,Pre Auriclar Fistula Excision,1,PKG,30104-00-01
1013019,E.N.T.,RADICAL MASTOIDECTOMY,14616.0,pk,ENT,FMENT-3160,Radical Mastoidectomy,2,PKG,41557-01-01
1013021,E.N.T.,SUCTION CLEARANCE UNDER G.A.,2425.2,pk,ENT,FMENT-3172,Suction Clearance Under G.A.,DAY CASE,PKG,96157-00-00
1013022,E.N.T.,TYMPANOPLASTY ,10032.0,pk,ENT,FMENT-3178,Tympanoplasty,1,PKG,41530-00-01
1013023,E.N.T.,TYMPANOPLASTY + MASTOIDECTOMY,12672.0,pk,ENT,FMENT-3159,Tympanoplasty + Mastoidectomy,1,PKG,41560-00-01
1013026,E.N.T.,VESTIBULAR NEURECTOMY ,19536.0,pk,ENT,FMENT-3164,Vestibular Neurectomy,1,PKG,39500-00-00
1014001,E.N.T.,BLOCK NECK DISSECTION ,23460.0,pk,ENT,FMENT-3182,Block Neck Dissection,2,PKG,31435-00-00
1014002,E.N.T.,BRANCHIAL FISTULECTOMY,24480.0,pk,ENT,FMENT-3186,Branchial Fistulectomy,1,PKG,30289-00-00
1014003,E.N.T.,PARTIAL LARYNGECTOMY,19550.0,pk,ENT,FMENT-3181,Partial Laryngectomy,3,PKG,41840-00-00
1014004,E.N.T.,SUPERFICIAL PAROTIDECTOMY,19890.0,pk,Dental & Maxillofacial,DNT-0028,Superficial Parotidectomy,3,PKG,30253-00-00
1014005,E.N.T.,THYROGLOSSAL CYST EXCISION ,14094.0,pk,ENT,FMENT-3185,Thyroglossal Cyst Excision,1,PKG,30313-00-00
1014006,E.N.T.,TOTAL LARYNGECTOMY ,19008.0,pk,ENT,FMENT-3180,Total Laryngectomy,3,PKG,41834-00-00
1014007,E.N.T.,TOTAL PAROTIDECTOMY,24480.0,pk,ENT,FMENT-3184,Total Parotidectomy,2,PKG,30247-00-00
2011001,GENERAL SURG.,ANAL DILATATION (UNDER G.A.),3680.0,pk,SURGERY,FMSUR-3068,Anal Dilatation (Under G.A.),1,PKG,32153-00-00
2011003,GENERAL SURG.,CIRCUMCISION (ADULT) UNDER GA,3306.25,pk,SURGERY,FMSUR-3074,Circumcision (Adult) Under Ga,1,PKG,30653-00-00
2011005,GENERAL SURG.,CIRCUMCISION (LESS THAN ONE YEAR),805.0,pk,SURGERY,FMSUR-3064,Circumcision (Less Than One Year),DAY CASE,PKG,30653-00-00
2011006,GENERAL SURG.,DERMOID CYST EXCISION,3255.0,pk,SURGERY,FMSUR-3082,Dermoid Cyst Excision,1,PKG,31205-00-10
2011007,GENERAL SURG.,DIVISION OF TONGUE TIE UNDER L.A.,2760.0,pk,SURGERY,FMSUR-3087,Division Of Tongue Tie Under L.A.,DAY CASE,PKG,30278-02-00
2011008,GENERAL SURG.,ENDOSCOPIC POLYPECTOMY,3236.4,pk,Endoscopy,FMSUR-3072,Endoscopic Polypectomy,1,PKG,30478-13-00
2011011,GENERAL SURG.,EXCISION OF SIMPLE CYST OR LIPOMA UNDER G.A. + HISTOPATHOLOGY ,4185.0,pk,SURGERY,FMSUR-3080,Excision Of Simple Cyst Or Lipoma Under G.A. + Histopathology,1,PKG,31350-00-01
2011012,GENERAL SURG.,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER G.A.,3236.4,pk,SURGERY,FMSUR-3081,Excision Of Simple Or Small Lipoma Under G.A.,1,PKG,31350-00-01
2011013,GENERAL SURG.,EXCISION OF SIMPLE OR SMALL LIPOMA UNDER L.A.,2030.4,pk,SURGERY,FMSUR-3079,Excision Of Simple Or Small Lipoma Under L.A.,DAY CASE,PKG,31205-00-10
2011015,GENERAL SURG.,EXCISION OF SIMPLE TUMOURS OR CHRONIC BREAS ABSCESS,3942.0,pk,SURGERY,FMSUR-3070,Excision Of Simple Tumours Or Chronic Breas Abscess,1,PKG,31500-00-01
2011017,GENERAL SURG.,I & D LARGE OR DEEP ABSESS UNDER G.A.,3780.0,pk,SURGERY,FMSUR-3077,I & D Large Or Deep Absess Under G.A.,DAY CASE,PKG,30223-01-00
2011018,GENERAL SURG.,INGROWING TOE NAIL UNDER G.A.,3780.0,pk,SURGERY,FMSUR-3076,Ingrowing Toe Nail Under G.A.,DAY CASE,PKG,47916-00-01
2011019,GENERAL SURG.,LOW IMPERFORATED ANUS,6408.0,pk,SURGERY,FMSUR-3069,Low Imperforated Anus,2,PKG,32123-00-00
2011020,GENERAL SURG.,PERCUTANEOUS LIVER BIOPSY WITH US,3208.5,pk,SURGERY,FMSUR-3073,Percutaneous Liver Biopsy With Us,DAY CASE,PKG,30409-00-00
2011021,GENERAL SURG.,PERIANL ABSCESS (UNDER G.A.),5130.0,pk,SURGERY,FMSUR-3067,Perianl Abscess (Under G.A.),1,PKG,32174-01-00
2011022,GENERAL SURG.,RELEASE OF TONGUE TIE UNDER G.A.,4320.0,pk,SURGERY,FMSUR-3085,Release Of Tongue Tie Under G.A.,1,PKG,30278-00-00
2011023,GENERAL SURG.,REMOVAL OF FOREIGN BODY UNDER L.A.,3036.0,pk,SURGERY,FMSUR-3084,Removal Of Foreign Body Under L.A.,DAY CASE,PKG,92201-00-00
2011024,GENERAL SURG.,REMOVAL OF THROMBOSED PILES OR EXCISION OF PERIANAL SKIN TAGS,5130.0,pk,SURGERY,FMSUR-3066,Removal Of Thrombosed Piles Or Excision Of Perianal Skin Tags,DAY CASE,PKG,32142-00-00
2011025,GENERAL SURG.,REMOVAL SUB-MANDIBULAR SALIVARY STONES (DUCT STONE),5130.0,pk,SURGERY,FMSUR-3065,Removal Sub-Mandibular Salivary Stones (Duct Stone),DAY CASE,PKG,30266-02-00
2011026,GENERAL SURG.,SCLEROTHERAPY OESOPHAGEAL,3780.0,pk,Endoscopy,FMSUR-3071,Sclerotherapy Oesophageal,1,PKG,30476-04-00
2011027,GENERAL SURG.,SINGLE BALLOON ENTEROSCOPY,4050.0,pk,Endoscopy,FMSUR-3088,Single Balloon Enteroscopy,1,PKG,30473-05-00
2011028,GENERAL SURG.,SUTURING LARGE WOUND UNDER G.A.,3780.0,pk,SURGERY,FMSUR-3078,Suturing Large Wound Under G.A.,DAY CASE,PKG,30026-00-30
2012003,GENERAL SURG.,AMPUTATION IN CASE OF LIMBS GANGRENE,11616.0,pk,SURGERY,FMSUR-3104,Amputation In Case Of Limbs Gangrene,2,PKG,44367-02-00
2012004,GENERAL SURG.,ANAL FISSURECTOMY,6900.0,pk,SURGERY,FMSUR-3090,Anal Fissurectomy,1,PKG,90315-01-00
2012005,GENERAL SURG.,APPENDECTOMY ,7187.5,pk,SURGERY,FMSUR-3097,Appendectomy,1,PKG,30571-00-00
2012006,GENERAL SURG.,CLOSURE OF COLOSTOMY WITH ANASTOMOSIS,8410.5,pk,SURGERY,FMSUR-3110,Closure Of Colostomy With Anastomosis,2,PKG,30562-03-00
2012007,GENERAL SURG.,CORRECTION OF BURIED PENIS OR CONCEALED PENIS,25500.0,pk,SURGERY,FMSUR-3124,Correction Of Buried Penis Or Concealed Penis,1,PKG,90405-01-00
2012008,GENERAL SURG.,DIAGONSTIC ERCP,5175.0,pk,Endoscopy,FMSUR-3120,Diagonstic Ercp,1,PKG,30484-00-00
2012009,GENERAL SURG.,ENDOSCOPIC SPHINCTEROTOMY,5805.0,pk,Endoscopy,FMSUR-3111,Endoscopic Sphincterotomy,1,PKG,30485-00-00
2012010,GENERAL SURG.,ENDOSCOPIC SPHINCTEROTOMY & DRAIN INSERTION,7075.5,pk,Endoscopy,FMSUR-3114,Endoscopic Sphincterotomy & Drain Insertion,1,PKG,30485-00-00
2012011,GENERAL SURG.,ENDOSCOPIC SPHINCTEROTOMY & STONE CRUSHING,8712.0,pk,Endoscopy,FMSUR-3113,Endoscopic Sphincterotomy & Stone Crushing,1,PKG,30485-01-00
2012012,GENERAL SURG.,ENDOSCOPIC SPHINCTEROTOMY & STONE EXTRACTION,7075.5,pk,Endoscopy,FMSUR-3112,Endoscopic Sphincterotomy & Stone Extraction,1,PKG,30485-00-00
2012013,GENERAL SURG.,EPIGASTRIC HERNIA REPAIR,8410.5,pk,SURGERY,FMSUR-3117,Epigastric Hernia Repair,1,PKG,30617-01-00
2012014,GENERAL SURG.,EXCISION OF BIG OR MULTIPLE LIPOMA UNDER G.A.,5130.0,pk,SURGERY,FMSUR-3115,Excision Of Big Or Multiple Lipoma Under G.A.,1,PKG,99999-99-99
2012015,GENERAL SURG.,EXCISION OF BIG OR MULTIPLE LIPOMA UNDER G.A. + HISTOPATHOLOGY,5805.0,pk,SURGERY,FMSUR-3116,Excision Of Big Or Multiple Lipoma Under G.A. + Histopathology,1,PKG,99999-99-99
2012016,GENERAL SURG.,EXCISION OF SUBMANDIBULAR GLAND,8410.5,pk,SURGERY,FMSUR-3099,Excision Of Submandibular Gland,1,PKG,30256-00-00
2012017,GENERAL SURG.,"GASTROSTOMY, COLOSTOMY (WITHOUT CONSUMABLES)",10692.0,pk,SURGERY,FMSUR-3103,"Gastrostomy, Colostomy (Without Consumables)",2,PKG,30515-00-00
2012018,GENERAL SURG.,HAEMORRHOIDECTOMY,7618.75,pk,SURGERY,FMSUR-3089,Haemorrhoidectomy,1,PKG,32138-01-00
2012019,GENERAL SURG.,HAEMORRHOIDECTOMY BY STAPPLER,9775.0,pk,SURGERY,FMSUR-3119,Haemorrhoidectomy By Stappler,1,PKG,32138-02-00
2012020,GENERAL SURG.,HYDROCELE,7075.5,pk,SURGERY,FMSUR-3093,Hydrocele,1,PKG,30631-00-01
2012021,GENERAL SURG.,"INGUINAL, UMBILICAL OR FEMORAL HERNIA",8337.5,pk,SURGERY,FMSUR-3094,"Inguinal, Umbilical Or Femoral Hernia",1,PKG,30614-02-00
2012022,GENERAL SURG.,LAPARASCOPIC APPENDECTOMY,11212.5,pk,SURGERY,FMSUR-3230,Laparascopic Appendectomy,1,PKG,30572-00-00
2012023,GENERAL SURG.,LAPARASCOPY (DIAGNOSTIC),7743.0,pk,SURGERY,FMSUR-3228,Laparascopy (Diagnostic),1,PKG,30390-00-00
2012024,GENERAL SURG.,LAPARASCOPY (DIAGNOSTIC) + BIOPSY,9345.6,pk,SURGERY,FMSUR-3229,Laparascopy (Diagnostic) + Biopsy,1,PKG,30390-00-00
2012026,GENERAL SURG.,ORCHIDECTOMY,5805.0,pk,SURGERY,FMSUR-3096,Orchidectomy,1,PKG,30641-00-00
2012027,GENERAL SURG.,PARTIAL MASTECTOMY WITH HISTOPATHOLOGY,7075.5,pk,SURGERY,FMSUR-3108,Partial Mastectomy With Histopathology,2,PKG,31500-00-01
2012028,GENERAL SURG.,PEDIATRIC COLONOSCOPY,7120.0,pk,Endoscopy,FMSUR-3122,Pediatric Colonoscopy,1,PKG,32090-00-00
2012029,GENERAL SURG.,PEDIATRIC ENDOSCOPY,6230.0,pk,SURGERY,FMSUR-3123,Pediatric Endoscopy,1,PKG,30511-07-00
2012030,GENERAL SURG.,PILONIDAL SINUS,7618.75,pk,SURGERY,FMSUR-3100,Pilonidal Sinus,1,PKG,30676-01-00
2012031,GENERAL SURG.,POST HAEMORRHOIDECTOMY STRICTURE ANUS,8010.0,pk,SURGERY,FMSUR-3101,Post Haemorrhoidectomy Stricture Anus,1,PKG,32153-00-00
2012032,GENERAL SURG.,REMOVAL OF FOREIGN BODY UNDER G.A.,5130.0,pk,SURGERY,FMSUR-3118,Removal Of Foreign Body Under G.A.,1,PKG,30061-00-00
2012033,GENERAL SURG.,SIMPLE LOW ANAL FISTULA,7075.5,pk,SURGERY,FMSUR-3091,Simple Low Anal Fistula,1,PKG,90315-01-00
2012034,GENERAL SURG.,SMALL INCISIONAL HERNIA WITHOR W/O HERNIOPLASTY,7743.0,pk,SURGERY,FMSUR-3105,Small Incisional Hernia Withor W/O Hernioplasty,1,PKG,30403-00-00
2012035,GENERAL SURG.,SPERMATOCELE,7476.0,pk,SURGERY,FMSUR-3102,Spermatocele,1,PKG,37604-00-00
2012036,GENERAL SURG.,THERAPEUTIC ERCP,6230.0,pk,Endoscopy,FMSUR-3121,Therapeutic Ercp,1,PKG,30484-00-00
2012037,GENERAL SURG.,THYROGLOSSAL CYST OF FISTULA,10692.0,pk,SURGERY,FMSUR-3098,Thyroglossal Cyst Of Fistula,1,PKG,90559-00-00
2012038,GENERAL SURG.,UNDESCENDED TESTIS WITHIN THE INGUINAL CANAL,11352.0,pk,SURGERY,FMSUR-3095,Undescended Testis Within The Inguinal Canal,1,PKG,37604-10-00
2012039,GENERAL SURG.,VARICOCELES,7075.5,pk,SURGERY,FMSUR-3092,Varicoceles,1,PKG,30635-00-01
2012040,GENERAL SURG.,VARICOSE VEINS STRIPPING  (BILATERAL),12362.5,pk,SURGERY,FMSUR-3107,Varicose Veins Stripping (Bilateral),1,PKG,32508-00-02
2012041,GENERAL SURG.,VARICOSE VEINS STRIPPING  (UNILATERAL),9056.25,pk,SURGERY,FMSUR-3106,Varicose Veins Stripping (Unilateral),1,PKG,32508-00-01
2013001,GENERAL SURG.,ACUTE PERITONITIS/LAPAROTOMY,13200.0,pk,SURGERY,FMSUR-3133,Acute Peritonitis/Laparotomy,2,PKG,30373-00-00
2013002,GENERAL SURG.,BILATERAL HERNIA REPAIR,9504.0,pk,SURGERY,FMSUR-3153,Bilateral Hernia Repair,2,PKG,30405-03-00
2013003,GENERAL SURG.,BOWEL ANASTOMOSIS RESECTION,14355.0,pk,SURGERY,FMSUR-3130,Bowel Anastomosis Resection,2,PKG,30566-00-00
2013004,GENERAL SURG.,CHOLECYSTECTOMY,15956.25,pk,SURGERY,FMSUR-3125,Cholecystectomy,2,PKG,43900-00-00
2013005,GENERAL SURG.,CHOLECYSTECTOMY AND OPERATION OF BILLIARY PASSAGES,17250.0,pk,SURGERY,FMSUR-3140,Cholecystectomy And Operation Of Billiary Passages,2,PKG,30454-01-00
