PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
2015016,GENERAL SURG.,COLORECTAL SURG,COLOVAGINAL FISTULA REPAIR,20188.0
2015017,GENERAL SURG.,COLORECTAL SURG,DUODENAL OBSTRUCTION REPAIR / NEONATAL,20592.0
2015018,GENERAL SURG.,COLORECTAL SURG,EXCISION OF THROMBOTIC HAEMORRHOIDS,4062.0
2015019,GENERAL SURG.,COLORECTAL SURG,CLOSURE OF POSITERIOR ANAL FISSURE WITH A FLAP ,5919.0
2015020,GENERAL SURG.,COLORECTAL SURG,GASTRECTOMY / LAPAROSCOPIC / COMPLICATED,37202.0
2015021,GENERAL SURG.,COLORECTAL SURG,GASTRECTOMY / SUBTOTAL-PARTIAL  / LAPAROSCOPIC / COMPLICATED,30780.0
2015022,GENERAL SURG.,COLORECTAL SURG,ILEO-CECAL RESECTION,16720.0
2015023,GENERAL SURG.,COLORECTAL SURG,ILEO-ANAL POUCH CREATION / LAPAROSCOPIC / COMPLICATED,37202.0
2015024,GENERAL SURG.,COLORECTAL SURG,ILEOSTOMY,8360.0
2015025,GENERAL SURG.,COLORECTAL SURG,INCISION OF PERIANAL ABSCESS / HIGH - COMPLEX,5919.0
2015026,GENERAL SURG.,COLORECTAL SURG,INCISION OF PERIANAL ABSCESS / LOW - SIMPLE,4062.0
2015027,GENERAL SURG.,COLORECTAL SURG,ABDOMINAL EXPLORATION / LAPARASCOPIC ,8360.0
2015028,GENERAL SURG.,COLORECTAL SURG,COLOSTOMY / LAPARASCOPIC ,12540.0
2015029,GENERAL SURG.,COLORECTAL SURG,ILEO-CECAL RESECTION / LAPARASCOPIC ,20188.0
2015030,GENERAL SURG.,COLORECTAL SURG,ILEOSTOMY / LAPARASCOPIC ,12540.0
2015031,GENERAL SURG.,COLORECTAL SURG,LEFT HEMI COLECTOMY / LAPARASCOPIC ,24225.0
2015032,GENERAL SURG.,COLORECTAL SURG,SEGMENTAL RESECTION OF SMALL INTESTINE - MULITPLE  / LAPARASCOPIC ,20188.0
2015033,GENERAL SURG.,COLORECTAL SURG,PROCTOPEXY WITH RESECTION / LAPARASCOPIC ,20188.0
2015034,GENERAL SURG.,COLORECTAL SURG,PROCTOPEXY WITHOUT RESECTION LAPARASCOPIC ,16720.0
2015035,GENERAL SURG.,COLORECTAL SURG,RIGHT HEMI COLECTOMY / LAPARASCOPIC ,20188.0
2015036,GENERAL SURG.,COLORECTAL SURG,SIGMOID COLON RESECTION / LAPARASCOPIC ,20188.0
2015037,GENERAL SURG.,COLORECTAL SURG,SMALL TO SMALL INTESTINE ANASTOMOSIS / LAPARASCOPIC ,16720.0
2015038,GENERAL SURG.,COLORECTAL SURG,ANAL SPHINCTEROTOMY / LEFT LATERAL ,5130.0
2015039,GENERAL SURG.,COLORECTAL SURG,HEMORRHOID / LIGATION,1786.0
2015040,GENERAL SURG.,COLORECTAL SURG,SEGMENTAL RESECTION OF SMALL BOWEL - MULTIPLE ,16720.0
2015041,GENERAL SURG.,COLORECTAL SURG,NEONATAL ESOPHAGIAL ATRESIA/FISTULA,12958.0
2015042,GENERAL SURG.,COLORECTAL SURG,NEONATAL INTESTINAL OBSTRUCTION (INTESTINAL ATRESIA),20592.0
2015043,GENERAL SURG.,COLORECTAL SURG,OMENTECTOMY,12935.0
2015044,GENERAL SURG.,COLORECTAL SURG,OMPHALOCELE REPAIR - MINOR ,12958.0
2015045,GENERAL SURG.,COLORECTAL SURG,OMPHALOCELE REPAIR - MAJOR,29925.0
2015046,GENERAL SURG.,COLORECTAL SURG,PILONIDAL SINSUS EXCISION WITH CLOSURE,6764.0
2015047,GENERAL SURG.,COLORECTAL SURG,PROCTO COLECTOMY WITH ILEAL POUCH ANAL ANASTOMOSIS,42275.0
2015048,GENERAL SURG.,COLORECTAL SURG,PROCTOCOLECTOMY /  / LAPAROSCOPIC / COMPLICATED,30780.0
2015049,GENERAL SURG.,COLORECTAL SURG,RADICAL RESECTION AND RE-ANASTOMOSIS OF COLON CANCER,39739.0
2015050,GENERAL SURG.,COLORECTAL SURG,RECTAL MUCOSECTOMY FOR RECTAL PROLAPSE,12540.0
2015051,GENERAL SURG.,COLORECTAL SURG,ANAL SPHENECTER STENOSIS REPAIR WITH FLAP,12540.0
2015052,GENERAL SURG.,COLORECTAL SURG,PARASTOMAL HERNIAREPAIR,12540.0
2015053,GENERAL SURG.,COLORECTAL SURG,TRANSVERSE COLON RESECTION,20188.0
2015054,GENERAL SURG.,COLORECTAL SURG,RIGHT HEMI-COLECTOMY,16720.0
2015055,GENERAL SURG.,COLORECTAL SURG,SIGMOID COLON RESECTION,16720.0
2015056,GENERAL SURG.,COLORECTAL SURG,ANAL FISTULOTOMY / SIMPLE ,5919.0
2015057,GENERAL SURG.,COLORECTAL SURG,SMALL TO SMALL INTESTINE ANASTOMOSIS,12540.0
2015058,GENERAL SURG.,COLORECTAL SURG,TOTAL COLECTOMY,27313.0
2015059,GENERAL SURG.,COLORECTAL SURG,TOTAL COLON RESECTION,34200.0
2015060,GENERAL SURG.,COLORECTAL SURG,ULTRA LOW ANTERIOR BOWEL RESECTION / LAPAROSCOPIC / COMPLICATED,37202.0
2016001,GENERAL SURG.,BARIATRIC SURG,BARIATRIC OPERATION REVISION,3534.0
2016002,GENERAL SURG.,BARIATRIC SURG,BILIO-PANCREATIC DIVERSION (BPD) (SCOPINARO PROCEDURE ),35511.0
2016003,GENERAL SURG.,BARIATRIC SURG,BILIOPANCREATIC DIVERSION (BPD) SCOPINARO PROCEDURE WITH BAND REMOVAL,40584.0
2016004,GENERAL SURG.,BARIATRIC SURG,BILIOPANCREATIC DIVERSION (BPD) SCOPINARO PROCEDURE WITH CHOLECYSTECTOMY ,40584.0
2016005,GENERAL SURG.,BARIATRIC SURG,BILIOPANCREATIC DIVERSION (BPD) SCOPINARO PROCEDURE WITH CHOLECYSTECTOMY AND BAND REMOVAL,45657.0
2016006,GENERAL SURG.,BARIATRIC SURG,DIAGNOSTIC LAPAROSCOPY POST BARIATRIC SURGERY ,8360.0
2016007,GENERAL SURG.,BARIATRIC SURG,BAND REMOVAL / LAPAROSCOPIC,16720.0
2016008,GENERAL SURG.,BARIATRIC SURG,BAND REMOVAL WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,20188.0
2016009,GENERAL SURG.,BARIATRIC SURG,GASTRIC BANDING / LAPAROSCOPIC ,29925.0
2016010,GENERAL SURG.,BARIATRIC SURG,GASTRIC BANDING WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,34666.0
2016011,GENERAL SURG.,BARIATRIC SURG,MINI GASTRIC BYPASS / LAPAROSCOPIC ,32490.0
2016012,GENERAL SURG.,BARIATRIC SURG,MINI GASTRIC BYPASS WITH BAND REMOVAL / LAPAROSCOPIC ,37202.0
2016013,GENERAL SURG.,BARIATRIC SURG,MINI GASTRIC BYPASS WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,37202.0
2016014,GENERAL SURG.,BARIATRIC SURG,MINI GASTRIC BYPASS WITH CHOLECYSTECTOMY AND BAND REMOVAL / LAPAROSCOPIC ,42275.0
2016015,GENERAL SURG.,BARIATRIC SURG,NISSEN FUDOPLICATION / LAPAROSCOPIC ,24225.0
2016016,GENERAL SURG.,BARIATRIC SURG,ROUX-EN-Y GASTRIC BYPASS / LAPAROSCOPIC ,32490.0
2016017,GENERAL SURG.,BARIATRIC SURG,ROUX-EN-Y GASTRIC BYPASS WITH BAND REMOVAL / LAPAROSCOPIC ,37202.0
2016018,GENERAL SURG.,BARIATRIC SURG,ROUX-EN-Y GASTRIC BYPASS WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,37202.0
2016019,GENERAL SURG.,BARIATRIC SURG,ROUX-EN-Y GASTRIC BYPASS WITH CHOLECYSTECTOMY AND BAND REMOVAL LAPAROSCOPIC ,42275.0
2016020,GENERAL SURG.,BARIATRIC SURG,SLEEVE GASTRECTOMY / LAPAROSCOPIC ,23750.0
2016021,GENERAL SURG.,BARIATRIC SURG,SLEEVE GASTRECTOMY WITH BAND REMOVAL / LAPAROSCOPIC ,28500.0
2016022,GENERAL SURG.,BARIATRIC SURG,SLEEVE GASTRECTOMY WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,37202.0
2016023,GENERAL SURG.,BARIATRIC SURG,SLEEVE GASTRECTOMY WITH CHOLECYSTECTOMY AND BAND REMOVAL / LAPAROSCOPIC ,42275.0
2016024,GENERAL SURG.,BARIATRIC SURG,BARIATRIC REVISION / MAJOR ,6764.0
2016025,GENERAL SURG.,BARIATRIC SURG,GASTRIC BYPASS POUCH RESIZING FOLLOWING REGAIN,32490.0
2016026,GENERAL SURG.,BARIATRIC SURG,GASTRIC BYPASS COMMON LIMB SHORTENING FOLLOWING REGAIN,32490.0
2016027,GENERAL SURG.,BARIATRIC SURG,ROUX-EN-Y GASTRIC BYPASS TOTAL REVERSAL,32490.0
3011001,OBS & GYN,MINOR SURG,CERVICAL CIRCLAGE / SHIRODKAR SUTURE,2907.0
3011002,OBS & GYN,MINOR SURG,CERVICAL POLYPECTOMY,2713.2
3011004,OBS & GYN,MINOR SURG,DOUGLAS POUCH ABSCESS DRAINAGE,4605.599999999999
3011005,OBS & GYN,MINOR SURG,EXCISION OF BARTHOLIN'S CYST,2907.0
3011006,OBS & GYN,MINOR SURG,EXTERNAL CEPHALIC VERSION (ECV),2161.25
3011007,OBS & GYN,MINOR SURG,HYMENOTOMY / HYMENECTOMY,2398.75
3011008,OBS & GYN,MINOR SURG,DIAGNOSTIC LAPARASCOPY (NON-INFERTILITY) ,5373.2
3011009,OBS & GYN,MINOR SURG,POLYPECTOMY FRACTIONAL CURRETAGE,3003.8999999999996
3011010,OBS & GYN,MINOR SURG,POLYPECTOMY WITH D WITH C,3838.0
3011011,OBS & GYN,MINOR SURG,REMOVAL OF CIRCLAGE,1453.5
3011012,OBS & GYN,MINOR SURG,REMOVAL OF IUCD (U.G.A.),1453.5
3011013,OBS & GYN,MINOR SURG,SURGICAL EVACUATION OF UTERUS WITH BIOPSY,3598.125
3011014,OBS & GYN,MINOR SURG,VAGINAL PERINEAL REPAIR,3598.125
3012001,OBS & GYN,MEDIUM SURG,CERVICAL TEAR REPAIR,5757.0
3012002,OBS & GYN,MEDIUM SURG,DISSECTION OF SYNOECHEA-ASHERMAN'S SYNDROME / HYSTROSCOPIC  ,14968.199999999999
3012003,OBS & GYN,MEDIUM SURG,ENDROETRIAL ABLATION / HYSTROSCOPIC ,13720.849999999999
3012004,OBS & GYN,MEDIUM SURG,METROPLASTY-REPAIR OF SEPTATE UTERUS / HYSTROSCOPIC ,14968.199999999999
3012005,OBS & GYN,MEDIUM SURG,POLYPECTOMY / HYSTROSCOPIC ,8731.449999999999
3012006,OBS & GYN,MEDIUM SURG,REMOVAL OF ENDOMETRIAL FIBROID / HYSTROSCOPIC ,12473.5
3012007,OBS & GYN,MEDIUM SURG,POSTERIOR COLPOPERINEORRHAPHY,3633.75
3012008,OBS & GYN,MEDIUM SURG,SALPINGECTOMY / SALPINGOSTOMY,4173.825
3013001,OBS & GYN,MAJOR SURG,CERVIX AMPUTATION,5996.875
3013002,OBS & GYN,MAJOR SURG,ANTERIOR COLPOPERINEORRHAPHY,7196.25
3013003,OBS & GYN,MAJOR SURG,VAGINAL CLASSICAL REPAIR,9595.0
3013004,OBS & GYN,MAJOR SURG,OOPHRECTOMY,10794.375
3013005,OBS & GYN,MAJOR SURG,OVARIAN CYSTECTOMY,6589.2
3013006,OBS & GYN,MAJOR SURG,SIMPLE VULVECTOMY,7004.349999999999
3014001,OBS & GYN,FINE MAJOR SURG,ECTOPIC PREGNANCY / LAPARASCOPIC,13912.75
3014002,OBS & GYN,FINE MAJOR SURG,ABDOMINAL COLPOPEXY,14877.0
3014003,OBS & GYN,FINE MAJOR SURG,ABDOMINAL TOTAL HYSTERECTOMY,13792.8125
3014004,OBS & GYN,FINE MAJOR SURG,ABDOMINAL SLING FOR CONGENITAL PROLAPSE,13792.8125
3014005,OBS & GYN,FINE MAJOR SURG,DIAGNOSTIC LAPARASCOPY WITH CANALIZATION OF TUBE,8875.375
3014006,OBS & GYN,FINE MAJOR SURG,DIAGNOSTIC LAPARASCOPY WITH NEW OSTIA OF FALLOPIAN TUBE (BILATERAL),13912.75
3014007,OBS & GYN,FINE MAJOR SURG,DIAGNOSTIC LAPARASCOPY WITH NEW OSTIA OF FALLOPIAN TUBE (UNILATERAL),13672.875
3014008,OBS & GYN,FINE MAJOR SURG,EXCISION OF TUBAL ECTOPIC PREGNANCY,9403.1
3014009,OBS & GYN,FINE MAJOR SURG,EXPLORATION WITH RECONSTRUCTION OF FALLOPIAN TUBES,11394.0625
3014010,OBS & GYN,FINE MAJOR SURG,FOTHERGILLS OPERATION,10194.6875
3014011,OBS & GYN,FINE MAJOR SURG,HYSTERECTOMY,11394.0625
3014012,OBS & GYN,FINE MAJOR SURG,HYSTERECTOMY WITH SALPINGO-OOPHORECTOMY / LAPAROSCOPIC UILATERAL,12852.074999999999
3014013,OBS & GYN,FINE MAJOR SURG,HYSTERECTOMY WITH SALPINGO-OOPHORECTOMY / LAPAROSCOPIC BILATERAL,17442.0
3014014,OBS & GYN,FINE MAJOR SURG,ADHESIOLYSIS WITH OVARIAN CYSTECTOMY WITH NEO-OSTIA OF FALLOPIAN TUBE / LAPAROTOMY,13912.75
3014015,OBS & GYN,FINE MAJOR SURG,CHECKING OF TUBAL PATENCY / LAPARASCOPIC ,7196.25
3014016,OBS & GYN,FINE MAJOR SURG,COAGULATION OF ENDOMETRIOSIS / LAPARASCOPIC ,13912.75
3014017,OBS & GYN,FINE MAJOR SURG,HYSTERECTOMY / LAPARASCOPIC ,15112.125
3014018,OBS & GYN,FINE MAJOR SURG,LASER MYOLISIS / LAPARASCOPIC ,14632.375
3014019,OBS & GYN,FINE MAJOR SURG,OVARIAN CYSTECTOMY WITH ADHESIOLYSIS / LAPARASCOPIC ,14248.574999999999
3014020,OBS & GYN,FINE MAJOR SURG,OVARIAN DRILLING (BILATERAL) / LAPARASCOPIC ,11034.25
3014021,OBS & GYN,FINE MAJOR SURG,OVARIAN DRILLING (UNILATERAL) / LAPARASCOPIC ,8875.375
3014022,OBS & GYN,FINE MAJOR SURG,OVARIAN DRILLING WITH ADHESIOLYSIS / LAPARASCOPIC ,14248.574999999999
3014023,OBS & GYN,FINE MAJOR SURG,REMOVAL OF MISSED IUCD / LAPARASCOPIC ,8875.375
3014024,OBS & GYN,FINE MAJOR SURG,SALPINGECTOMY WITH REMOVAL OF ECTOPIC PREGNANCY / LAPARASCOPIC ,14248.574999999999
3014025,OBS & GYN,FINE MAJOR SURG,SALPINGO-OOPHORECTOMY (BILATERAL) / LAPARASCOPIC ,11274.125
3014026,OBS & GYN,FINE MAJOR SURG,SALPINGO-OOPHORECTOMY (UNILATERAL) / LAPARASCOPIC ,8875.375
3014027,OBS & GYN,FINE MAJOR SURG,TUBAL LIGATION ON CAUTERIZATION / LAPARASCOPIC ,6956.375
3014028,OBS & GYN,FINE MAJOR SURG,TUBAL LIGATION ON CAUTERIZATION BILATERAL / LAPARASCOPIC ,7915.875
3014029,OBS & GYN,FINE MAJOR SURG,OVARIAN CYSTECTOMY (BILATERAL) / LAPARASCOPIC ,13444.875
3014030,OBS & GYN,FINE MAJOR SURG,MYOMECTOMY,9595.0
3014031,OBS & GYN,FINE MAJOR SURG,RADICAL VULVECTOMY,13792.8125
3014032,OBS & GYN,FINE MAJOR SURG,RECURRENT MYOMECTOMY   ,13792.8125
3014033,OBS & GYN,FINE MAJOR SURG,RECURRENT OVARIAN TUMOUR   ,13792.8125
3014034,OBS & GYN,FINE MAJOR SURG,REPAIR OF RECTO-VAGINAL FISTULA   ,14392.5
3014035,OBS & GYN,FINE MAJOR SURG,REPAIR OF VESICO-VAGINAL FISTULA   ,14392.5
3014036,OBS & GYN,FINE MAJOR SURG,VAGINAL COLPSUSPENSION (VSSF),14877.0
3014037,OBS & GYN,FINE MAJOR SURG,VAGINAL HYSTERECTOMY  ,11993.75
3014038,OBS & GYN,FINE MAJOR SURG,VAGINAL SACRO SPINOUS FIXATION,14050.5
3014039,OBS & GYN,FINE MAJOR SURG,VAGINAL SACROSPINOUS HYSTEROPEXY   ,14050.5
3014040,OBS & GYN,FINE MAJOR SURG,WEDGE RESECTION OF OVARY   ,4488.75
3014041,OBS & GYN,FINE MAJOR SURG,WEDGE RESECTION OF OVARY / LAPAROSCOPIC    ,6446.9375
3014042,OBS & GYN,FINE MAJOR SURG,ANTERIOR/POSTERIOR COLPOPERINEORRHAPHY WITH MESH (IMPLANT NOT INCLUDED),10687.5
3014043,OBS & GYN,FINE MAJOR SURG,LABIOPLASTY ,6175.0
3015001,OBS & GYN,DELIVERY,DELIVERY BREECH WITH NORMAL BABY,5637.0625
3015003,OBS & GYN,DELIVERY,DELIVERY CAESARIAN FOR TRIPLETS,15591.875
3015004,OBS & GYN,DELIVERY,DELIVERY CAESARIAN FOR TWINS,13672.875
3015006,OBS & GYN,DELIVERY,L.S.C.S WITH BILATERAL TUB LIGITATION AND REMOVAL OF OVARY ,12112.5
3015007,OBS & GYN,FINE MAJOR SURG,L.S.C.S WITH ABDOMINAL HYSTERECTOMY,14877.0
3015009,OBS & GYN,DELIVERY,DELIVERY NORMAL FOR TWINS (UNCOMPLICATED),6225.825
3015010,OBS & GYN,DELIVERY,DELIVERY VACUUM  (WITH NORMAL BABY),5637.0625
3021001,OBS & GYN,IVF ,ASSISTED HATCHING  ,2228.7
3021002,OBS & GYN,IVF ,DIGANOSTIC HYSTEROSCOPY  ,4275.0
3021003,OBS & GYN,IVF ,EMBRYO CRYO STORAGE FEE (3 YEARS)   ,5757.0
3021004,OBS & GYN,IVF ,EMBRYO CRYO STORAGE FEE (ONE YEAR)  ,1938.0
3021005,OBS & GYN,IVF ,EMBRYO CRYO STORAGE FEE (TWO YEARS)   ,3838.0
3021006,OBS & GYN,IVF ,EMRYO TRANSFER  ,1938.0
3021007,OBS & GYN,IVF ,ENDOMETRIAL ABLATION   ,11514.0
3021008,OBS & GYN,IVF ,FROZEN EMBRYO REPLACEMENT CYCLE  ,3454.2
3021009,OBS & GYN,IVF ,HYSTEROSALPINGOGRAPHY IN O.R. (U.G.A.)  ,2638.625
3021010,OBS & GYN,IVF ,ENDOMETRIAL BIOPSY / HYSTEROSCOPIC ,5757.0
3021011,OBS & GYN,IVF ,METROPLASTY / HYSTEROSCOPIC ,11514.0
3021012,OBS & GYN,IVF ,POLYPECTOMY / HYSTEROSCOPIC ,6716.5
3021013,OBS & GYN,IVF ,REMOVAL OF SYNECHIA / HYSTEROSCOPIC ,11514.0
3021014,OBS & GYN,IVF ,MYOMECTOMY / HYSTEROSCOPIC ,11514.0
3021015,OBS & GYN,IVF ,ICSI CYCLE FIRST ATTEMPT   ,17442.0
3021016,OBS & GYN,IVF ,ICSI CYCLE SECOND ATTEMPT   ,15352.0
3021017,OBS & GYN,IVF ,IUI INCLUDING 3 ULTRASOUND WITH URINE TEST   ,1938.0
3021018,OBS & GYN,IVF ,IVF CYCLE FIRST ATTEMPT   ,14535.0
3021019,OBS & GYN,IVF ,IVF CYCLE SECOND ATTEMPT   ,13566.0
3021020,OBS & GYN,IVF ,PRE IMPLANTATION GENETIC SCREEING (PGS) 4 EMBRYOS   ,5277.25
3021021,OBS & GYN,IVF ,TESTICULAR ASPIRATION   ,4317.75
4011001,C.V.T.,FINE MAJOR SURG,AORTIC VALVE / MECHANICAL                                                          ,53139.674999999996
4011002,C.V.T.,FINE MAJOR SURG,AORTIC VALVE / TISSUE                                                                 ,50603.174999999996
4011003,C.V.T.,FINE MAJOR SURG,ATRIAL FIBRILLATION BY CRYOTHERAPY ,80750.0
4011004,C.V.T.,FINE MAJOR SURG,AV FISTULA ANGIOPLASTY,14535.0
4011005,C.V.T.,FINE MAJOR SURG,"BIOPSY, PERICARDIAM",28785.0
4011006,C.V.T.,FINE MAJOR SURG,BIVENTRICULAR IMPLANTABLE CARDIAC DEFIBRILLATOR,67640.0
4011007,C.V.T.,FINE MAJOR SURG,BIVENTRICULAR PERMANENT PACEMAKER CRT-P,59185.0
4011008,C.V.T.,FINE MAJOR SURG,BLALOCK - TAUSSING SHUNT                                          ,15579.525
4011009,C.V.T.,FINE MAJOR SURG,"FEMORO-TIBIAL ARTERY BYPASS, IN-SITU, ",59058.174999999996
4011010,C.V.T.,FINE MAJOR SURG,CABG WITH DOUBLE MECHANICAL VALVE                         ,84407.5
4011011,C.V.T.,FINE MAJOR SURG,CABG WITH DOUBLE TISSUE VALVE                                                                ,70895.175
4011012,C.V.T.,FINE MAJOR SURG,CABG WITH MECHANICAL AORTIC VALVE                                                   ,57367.174999999996
4011013,C.V.T.,FINE MAJOR SURG,CABG WITH MECHANICAL MITRAL VALVE                                                                                     ,58212.674999999996
4011014,C.V.T.,FINE MAJOR SURG,CABG WITH MITRAL VALVE REPAIR  (NO RING)                                                                                     ,50603.174999999996
4011015,C.V.T.,FINE MAJOR SURG,CABG WITH MITRAL VALVE REPAIR  (WITH RING)                  ,52294.174999999996
4011016,C.V.T.,FINE MAJOR SURG,CABG WITH TISSUE AORTIC VALVE REPLACEMENT                                             ,52294.174999999996
4011017,C.V.T.,FINE MAJOR SURG,CABG WITH TISSUE MITRAL VALVE                                                                                                                                                            ,54830.674999999996
4011018,C.V.T.,FINE MAJOR SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT-PROCRSEXC,24947.0
4011019,C.V.T.,FINE MAJOR SURG,CARDIAC PACEMAKER REVISION WITHOUT DEVICE REPLACEMENT,23987.5
4011020,C.V.T.,FINE MAJOR SURG,CORONARY BYPASS (CABG)        ,43605.0
4011021,C.V.T.,FINE MAJOR SURG,DIAGNOSTIC EP STUDY ,29925.0
4011022,C.V.T.,FINE MAJOR SURG,DOUBLE VALVE / MECHANICAL                                                                         ,72586.175
4011023,C.V.T.,FINE MAJOR SURG,DOUBLE VALVE / TISSUE,63285.674999999996
4011024,C.V.T.,FINE MAJOR SURG,DUAL CHAMBER PERMANENT PACEMAKER,50730.0
4011025,C.V.T.,FINE MAJOR SURG,EP STUDY AND ABLATION FOR ATRIAL FLUTTER AND/OR SVT ,54957.5
4011026,C.V.T.,FINE MAJOR SURG,EP STUDY AND ABLATION FOR ATRIAL TACHYCARDIA OR WPW,54957.5
4011027,C.V.T.,FINE MAJOR SURG,IMPLANTABLE CARDIORATOR DEFIBRILLATOR,59185.0
4011028,C.V.T.,FINE MAJOR SURG,IMPLANTATION OF ICD DOUBLE ,63412.5
4011029,C.V.T.,FINE MAJOR SURG,IMPLANTATION OF ICD SINGLE,59185.0
4011030,C.V.T.,FINE MAJOR SURG,IMPLANTATION OF PERMANENT PACEMAKER (PPM),15884.0
4011031,C.V.T.,FINE MAJOR SURG,IMPLANTATION OR EXPLANTATION OF LOOP RECORDER (NOT INCLUDING THE PRICE OF THE IMPLANT),10032.0
4011032,C.V.T.,FINE MAJOR SURG,THORACOSTOMY TUBE INSERTION,3454.2
4011033,C.V.T.,FINE MAJOR SURG,INTRA AORTIC BALOON INSERTION     ,10450.0
4011034,C.V.T.,FINE MAJOR SURG,LIGATION PATENT DUCTUS  ARTERIOSUS (PEDIATRIC)               ,15358.65
4011035,C.V.T.,FINE MAJOR SURG,LIGATION PATENT DUCTUS ARTERIOSUS (ADULT)                ,24911.375
4011036,C.V.T.,FINE MAJOR SURG,CARDIAC MASSAGE / OPEN ,3454.2
4011037,C.V.T.,FINE MAJOR SURG,MITRAL WITH TRICUSPID VALVE REPAIR (WITHOUT RING)                                                  ,42148.174999999996
4011038,C.V.T.,FINE MAJOR SURG,MITRAL WITH TRICUSPID VALVE REPAIR (WITH RING)                                                      ,46375.674999999996
4011039,C.V.T.,FINE MAJOR SURG,VALVULOPLASTY / MITRAL WITH BALLOON ,46375.674999999996
4011040,C.V.T.,FINE MAJOR SURG,MITRAL VALVE / MECHANICAL         ,53139.674999999996
4011041,C.V.T.,FINE MAJOR SURG,MITRAL VALVE / TISSUE         ,56857.5
4011042,C.V.T.,FINE MAJOR SURG,MITRAL VALVE REPAIR (WITHOUT RING)                                                         ,42148.174999999996
4011043,C.V.T.,FINE MAJOR SURG,MITRAL VALVE REPAIR (WITH RING)                                                                 ,42148.174999999996
4011044,C.V.T.,FINE MAJOR SURG,PACEMAKER ANALYSIS AND REPROGRAMING,570.0
4011045,C.V.T.,FINE MAJOR SURG,PERICARDIOCENTESIS,5757.0
4011046,C.V.T.,FINE MAJOR SURG,PERICARDIOTOMY   ,32623.0
4011047,C.V.T.,FINE MAJOR SURG,PERMANENT CARDIAC PACEMAKER / ACUTE IMPLANTATION,36461.0
4011048,C.V.T.,FINE MAJOR SURG,PERMANENT PACEMAKER BIVENTRICULAR PLUS ICD (CRTD),76000.0
4011049,C.V.T.,FINE MAJOR SURG,PERMANENT CARDIAC PACEMAKER  / DUAL CHAMBER,50730.0
4011050,C.V.T.,FINE MAJOR SURG,PERMANENT PACEMAKET BIVENTRICULAR    ,59185.0
4011051,C.V.T.,FINE MAJOR SURG,RENAL ANGIOGRAM / BOTH ARTERIES,5130.0
4011052,C.V.T.,FINE MAJOR SURG,RING IMPLANT / EACH                                                                                                                          ,3548.25
4011053,C.V.T.,FINE MAJOR SURG,ROTABLATOR APPLICATION,20187.5
4011054,C.V.T.,FINE MAJOR SURG,SIMPLE OPEN CONGENITAL DEFORMITIES (A.S.D./V.S.D /P.D.A.),40552.65
4011055,C.V.T.,FINE MAJOR SURG,PERMANENT CARDIAC PACEMAKER / SINGLE CHAMBER ,46502.5
4011056,C.V.T.,FINE MAJOR SURG,USE OF SUCTION DEVICE (PRIMARY PCI),10032.0
4021001,C.V.T.,CARDIAC CATH,CATHETERIZATION LEFT HEART,8575.65
4021002,C.V.T.,CARDIAC CATH,CATHETERIZATION LEFT HEART WITH GRAFT,11143.5
4021003,C.V.T.,CARDIAC CATH,CATHETERIZATION RIGHT WITH LEFT HEART,12597.0
4021004,C.V.T.,CARDIAC CATH,CATHETERIZATION RIGHT HEART,7170.599999999999
4021005,C.V.T.,CARDIAC CATH,CATHETERIZATION RIGHT HEART WITH SHUNT,8333.4
4021006,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY AGIOPLASTY) – SV WITH STENT ,(IMPLANT NOT INCLUDED)",29070.0
4021007,C.V.T.,CARDIAC CATH,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV ,25194.0
4021008,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 2 STENT , (PRICE IS  WITHOUT STENT",38760.0
4021009,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 3 STENT ,(IMPLANT NOT INCLUDED)",38760.0
4021010,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 4 STENTS ,",50730.0
4021011,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 5 STENTS ,(IMPLANT NOT INCLUDED)",54957.5
4021012,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH STENT ,(IMPLANT NOT INCLUDED)",38000.0
4021013,C.V.T.,CARDIAC CATH,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV,17926.5
