SERVICE CODE,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
2132011,VIDEO URODYNAMICS, أختبـار ديناميكية البـول الراجـع,1890.0
2132012,INTRA CORPORAL INJECTION WITH DRUG, حـقـن دواء داخل الـقـضــيــب,248.0
2132013,DIVERTICULAM - EXCISION OF BLADDER, أسـتـصـال الـرتـوج المثـانـيـة,1890.0
2132014,SPS CHANGING (SUPRAPUBIC CATHETHER CHANGING),تغير قسطرة بولية,225.0
2132015,SUPRAPUBIC CATHETER,تركيب قسطرة بولية من فوق العانة,225.0
2132016,URETHERAL SWAB CULTURE,أخذ عينة من مجرى البول,198.0
2132017,URETHRAL DILATION BY METAL DILATORS,توسيع مجرى البول بالموسعات ,675.0
2132018,URINARY STENT REMOVAL (CLINIC PROCEDURE ULA),إزالة الدعامة البولية ,2250.0
,PHYSICAL THERAPY,العلآج الطبيعي,
2142001,PHYSIOTHERAPY  (PER PROCEDURE), العلاج الطبيعي (  كل جلسة ),60.0
2142002,PHYSIOTHERAPY HYDROTHERAPY, جلسـة عـلاج مـائـي,60.0
2142003,PHYSIOTHERAPY EXERCISES, تمـاريــن عـلاجيـة,60.0
2142004,PHYSIOTHERAPY CRYOTHERAPY, عــلاج بـالـثـلـج,60.0
2142005,PHYSIOTHERAPY MUSCLE STIMULATION, تنـبـيــه عـضــلات,60.0
2142006,PHYSIOTHERAPY MASSAGE, مــســاج,60.0
2142007,PHYSIOTHERAPY HOT PACKS, كـمــادات حـراريــة,60.0
2142008,NERVE CONDUCTION, تـوصـيـل عـصــب,450.0
2142009,PHYSIOTHERAPY ULTRASOUND, مـوجـات فـوق الصـوتـيـة,60.0
2142010,PHYSIOTHERAPY WAX, شـمـع بـرافيــن,60.0
2142011,PHYSIOTHERAPY SHORTWAVE DIATHERMY, مـوجــات قـصـيــرة,60.0
2142012,PHYSIOTHERAPY TRACTION, عمليـة الـشـد للعمــود الـفـقـري,60.0
2142013,PHYSIOTHERAPY ULTRA VIOLET, أشـعـة فـوق البنـفسجيـة,60.0
2142014,PHYSIOTHERAPY STEAM INHALATION, الـعــلاج بـالـبـخــار,60.0
2142015,PHYSIOTHERAPY OTHERS, العـلاج الفـزيـائـي ( مـتـفـرقــات ),60.0
2142016,PHYSIOTHERAPY CHEST, عـلاج  طـبيـعـي  للـصـدر,60.0
2142017,PHYSIOTHERAPY LAZER, لــيـــزر,60.0
2142018,PHYSIOTHERAPY INTEREFERENTIAL, تـيـارات مـتـداخـلــة,60.0
2142019,PHYSIOTHERAPY TENS, تـنـبـيـه أعــصــاب,60.0
2142020,PHYSIOTHERAPY RUSSIAN CURRENT, تـيــار روسن,60.0
2142021,SHOCK WAVE THERAPY, العلاج بالموجه التصادمية,200.0
2142022,SCANNER LASER, العلاج بالليزر المسحي,125.0
2142023,MAGNA THERAPY, العلاج بالموجات المغناطسية,100.0
2142024,VASOTRAIN, علاج أمراض الاوعية الدموية الطرفية,200.0
2142025,HYDROTHERAPY (WHOLE BODY), العلآج المائى ( كامل الجسم ),100.0
2142026,HYDROTHERAPY (PART OF BODY), العلاج المائى ( لجزء من الجسم ),50.0
2142027,OCCUPATIONAL THERAPY (MORE THAN ONE PART), عـلاج وظـيـفـى لأكـثـر مـن جـزء,200.0
2142028,OCCUPATIONAL THERAPY (ONE PART), عـلاج وظـيـفـى لجـزء واحـد,150.0
2142029,OCCUPATIONAL THERAPY & PHYSIOTHERAPY (ONE SITTING), عـلاج وظـيـفـي مـع جلـسـة عـلاج طـبيـعـي,275.0
2142030,OCCUPATIONAL THERAPY (SPEECH / SWALLOWING), عـلاج وظـيـفـي (تكلم / بلع),413.0
2142031,PHYSIOTHERAPY  SESSION (MULTIPLE MODALITIES),علآج طبيعي (عدة وسائل) الجلسة الواحدة,280.0
2142032,PHYSIOTHERAPY  6 SESSION (MULTIPLE MODALITIES),علآج طبيعي (عدة وسائل) 6 جلسات ,1500.0
2142033,PHYSIOTHERAPY INITIAL EVALUATION,التقييم الأولي للعلاج الطبيعي,250.0
2142034,PHYSIOTHERAPY RE- EVALUATION,إعادة التقييم للعلاج الطبيعي,150.0
,NEUROSCIENCE SERVICES,خدمات علم الأعصاب,
7112001,ELECTROMYOGRAM, رســم عـضــلات,540.0
7112002,MOTOR NERVE CONDUCTION VELOCITY - ONE NERVE, سـرعــة تـوصـيـل عـصـب حـركــي,180.0
7112003,MOTOR NERVE CONDUCTION VELOCITY - TWO NERVES, سـرعــة تـوصـيـل 2 عـصـب حـركـي ,293.0
7112004,MOTOR NERVE CONDUCTION VELOCITY - NERVE SURVEY, سرعة توصيل العصـب الحركـي ,585.0
7112005,SENSORY NERVE CONDUCTION VELOCITY - 1 NERVE, سرعة توصيل العصب الحسي ( عصب واحد ),126.0
7112006,SENSORY NERVE CONDUCTION VELOCITY - 2 NERVES, سرعة توصيل العصب الحسي ( عصبيـن ),248.0
7112007,SENSORY NERVE CONDUCTION VELOCITY - NERVE SURVE, سرعة التوصيل العصبي الحسي ( مسح أعصاب ),630.0
7112008,DECREMENT TEST - 1 NERVE, أختبـار الهبـوب عصـب واحـد,315.0
7112009,F-RELFEX - EACH NERVE, ردة فعل لا ارادي ( F) - لكــل عـصـب,315.0
7112010,H-REFLEX - EACH NERVE, ردة فعل لا ارادي (H) - لكــل عـصـب,248.0
7112011,BLINK REFLEX - EACH SIDE,  ردة فعل لا ارادي للأجفـال - لكـل جـانـب ,248.0
7112012,SOMATO SENSORY EVOKED POTENTIAL - ONE UPPER LIMB, التحريض للأمن الجسمي الحسي - طرف علوي واحد,630.0
7112013,SOMATO SENSORY EVOKED POTENTIAL - ONE LOWER LIMB, التحريض للأمن الجسمي الحسي - طرف سفلي واحد,630.0
7112014,SOMATO SENSORY EVOKED POTENTIAL - BOTH UPPER OR LOWER LIMB, التحريض للأمن الجسمي الحسي - - كلا الطرفين ( علوى أو سفلي),990.0
7112015,AUDITORY EVOKED POTENTIAL - ADULT, التحريض للأمن السمعي - بـالـغ,630.0
7112016,AUDITORY EVOKED POTENTIAL - INFANT, التحريض للأمن السمعي - رضـيـع,990.0
7112017,VISUAL EVOKED POTENTIAL, التحريض للأمن البصري,720.0
7112018,NAVIGATION,استخدام الملاح الجراحي ,27000.0
7112019,THROMBOLYTIC THERAPY IN ACUTE STROKE,مسيلات الجلطه الحادة بالمخ ,13500.0
7112020,24H EEG (VIDEO EEG),تخطيط الدماغ ,4500.0
7112021,DEEP BRAIN STIMULATION -  SESSION,تحفيز عميق للدماغ – جلسة ,900.0
,RESPIRATORY THERAPY,العلآج التنفسي,
2152001,FLEXIBLE BRONCHOSCOPY, منظار الشعب الهوائية,3500.0
2152002,CHEST PHYSIO. &  POSTURAL DRAINAGE, تمارين للصدر بالجهاز الخاص / بالجلسة,45.0
2152003,AIR MIST THERAPY, المعالجة بالهواء الرطب / بالجلسة ,35.0
2152004,PULMONARY FUNCTION TEST,اختبار وظائف التنفس ,340.0
2152005,SMALL VOLUME NEBULIZER AND INCENTIVE SPIROMETER, قسم نسبي من الأكسجين للإنعاش التنفسي تبخير بجهاز ذو الكمية المحدودة,40.0
2152006,O2 THERAPY (COST PER HOUR), عـلاج بألاكسـجـيـن / بالساعة,65.0
2152007,O2 THERAPY (COST PER DAY), عـلاج بألاكسـجـيـن / بـالـيـوم,175.0
2152008,BLOOD GAS ANALYSIS (POINT OF CARE) ,قياس غازات الدم (في غرف التنويم),250.0
2152009,CEREBRAL STIMULATOR, الـمـنـبـه الـدمـاغـي,350.0
2152010,SPIROMETRY, مـقـيـاس الـتـنـفــس,975.0
2152011,LUNG VOLUME & CO TRANSFER FACTOR, حجم الرئـة و عامل الإنتقال المساعد,2000.0
2152012,REVERSIBILITY TESTS, الإختـبـارات العكوســة,1100.0
2152013,LUNG VOLUMES WITHOUT CO TRANSFER FACTOR, حجـوم الرئـة بـدون عامل الإنتقـال المساعد,1500.0
2152014,SINGLE BREATH CO TRANSFER FACTOR, عامل الإنتقال المساعد في تنفـس واحـد,975.0
2152015,FRC REBREATHING + CO TRANSFER FACTOR, السعة الوظيفية المتبقيـة مع عامل الإنتقـال المساعد,1900.0
2152016,RESPIRATORY DRIVE STRENGTH, القوة التنفسيــة الـموجـهــه,975.0
2152017,SPUTUM INDUCTION, تحريض إخـراج البلـغـم,200.0
2152018,PEAKFLOW MONITORING, جهاز معدل التنفس,130.0
2152019,PLEURAL BIOPSY, خزعة الغشاء البلوري للصدر  ,2000.0
2152020,PERCUTANEOUS TRACHEOSTOMY,شق الحنجرة من تحت الجلد ,5000.0
2152021,BODY PLETHYSMOGRAPH (BODY BOX), وظائف تنفس بالتحجم فقط,1000.0
2152022,BODY PLETHYSMOGRAPH (BODY BOX) WITH SPIROMETER, وظائف تنفس كامله + تحجم ,2200.0
2152023,FRACTION OF EXHALED NITRIC OXIDE,قياس نسبة أول أكسيد النيتريك أثناء الزفير,400.0
2152024,IPPB WITH BROCHODILATOR AND MUCOLYTIC AGENT, التهوية تحت الضغط المتقطع بالأكسجين بالجلسة,55.0
2152025,MECHANICAL VENTILATOR / PER DAY, التهوية الميكانيكية / اليوم,350.0
2152026,MECHANICAL VENTILATOR - BIPAP  PER DAY ,جهاز التنفس الصناعي - bipap يوميًا,1188.0
2152027,NIV (NON-INVASIVE VENTILATION) THERAPY, دعم التنفس بدون أنبوب في القصبة الهوائية ,550.0
2152028,NONEMERGENT/NONINVASIVE POSITIVE PRESSURE VENTILATION (NPPV) / HOUR ,التهوية بالضغط الإيجابي غير الموصلة / غير الموسعة / ساعة,157.0
2152029,PRESSURIZED OR NONPRESSURIZED INHALATION TREATMENT FOR ACUTE AIRWAY OBSTRUCTION / SMALL VOLUME NEBULIZER / MDI ,علاج استنشاق مضغوط أو غير مضغوط لعرقلة مجرى الهواء الحاد / بخاخ صغير الحجم / mdi,69.0
2152030,PORTABLE VENTILATOR (PER HOUR), جهاز تهوية متنقل (بالساعة ),250.0
2152031,VENTILATOR TUBING & ACCESSORIES (ADULT), دعم التنفس بواسطة انبوب في القصبة الهوائية مع الكماليات (للراشدين),70.0
2152032,VENTILATOR TUBING & ACCESSORIES (NEONATAL), دعم التنفس بواسطة انبوب في القصبة الهوائية مع الكماليات (حديثي الولادة),260.0
2152033,CATHETER ASPIRATION (SEPARATE PROCEDURE); NASOTRACHEAL SUCTIONING ,شفط بالقسطرة (إجراء منفصل) ؛ شفط القصبة الهوائية,107.0
2152034,CATHETER ASPIRATION PLACEMENT OR CHANGE - EXTUBATION OF AIRWAY ,وضع أو تغيير أنبوب الشفط بالقسطرة - نزع الأنبوب الهوائي,63.0
2152035,CATHETER ASPIRATION PLACEMENT OR CHANGE OF IN-LINE SUCTION CATHETER. ,وضع أو تغيير أنبوب الشفط بالقسطرة - قسطرة الشفط المضمنة.,563.0
2152036,CATHETER ASPIRATION SUCTIONING OF ARTIFICIAL AIRWAY TUBE CARE ,شفط بالقسطرة  للأنبوب الهوائي الاصطناعي,107.0
2152037,CHEST PHYSIOTHERAPY/ FLUTTER INITIAL ,العلاج الطبيعي الصدر / الرفرفة الأولية,160.0
2152038,BREATHING EXERCISE, تمارين التنفس - شهيق و زفير بعد العملية بالجلسة ,35.0
2152039,"CONTINUOUS BILEVEL POSITIVE AIRWAY PRESSURE VENTILATION, NON-EMERGENT INITIATION AND MANAGEMENT / DAY ",تهوية ضغط مجرى الهواء الايجابي المستمر ، بدء وإدارة غير طارئة / يوم,688.0
2152040,CONTINUOUS INHALATION TREATMENT WITH AEROSOL MEDICATION FOR ACUTE AIRWAY OBSTRUCTION; / DAY ,علاج الاستنشاق المستمر مع دواء الهباء الجوي لعرقلة مجرى الهواء الحاد ؛ / يوم,625.0
2152041,CONTINUOUS INHALATION TREATMENT WITH AEROSOL MEDICATION FOR ACUTE AIRWAY OBSTRUCTION; CONTINIUOS ,علاج الاستنشاق المستمر مع دواء الهباء الجوي لعرقلة مجرى الهواء الحاد ؛ continiuos,94.0
2152042,"CONTINUOUS NEGATIVE PRESSURE VENTILATION (CNP), INITIATION AND MANAGEMENT / HOUR ",تهوية الضغط السلبي المستمر (cnp) ، البدء والإدارة / ساعة,132.0
2152043,"ENDOTRACHEAL TUBE, RESTABILIZATION ",أنبوب القصبة الهوائية ، وإعادة الاستقرار,813.0
2152044,"ENDOTRACHEAL, MONITOR CUFF PRESSURE/PROCEDURE CARE ",القصبة الهوائية ، ومراقبة ضغط الكفة / الرعاية الإجراء,63.0
2152045,"ENDOTRACHEAL, PLACEMENT / REMOVAL OF ASSISTIVE SPEECH VALVE ",القصبة الهوائية ، وضع / إزالة صمام الكلام المساعد,63.0
2152046,"ENDOTRACHEAL, PLACEMENT OF NASAL AIRWAY ",القصبة الهوائية ، وضع مجرى الهواء الأنفي,63.0
2152047,"HIGH FREQUENCY VENTILATION ASSIST AND MANAGEMENT, INITIATION OF PRESSURE OR VOLUME PRESET VENTILATORS FOR ASSISTED OR CONTROLLED BREATHING / HOUR ",مساعدة في التهوية عالية التردد وإدارتها ، وبدء الضغط أو أجهزة تهوية محددة مسبقًا من أجل التنفس / ساعة يتم التحكم فيها أو التحكم فيها,250.0
2152048,INHALED NITRIC OXIDE / HOUR ,استنشاق أكسيد النيتريك / ساعة,250.0
2152049,INTRAPULMONARY SURFACTANT ADMINISTRATION BY A PHYSICIAN THROUGH ENDOTRACHEAL TUBE ,إدارة السطحي داخل الرئة من قبل الطبيب من خلال أنبوب القصبة الهوائية,313.0
2152050,"INTUBATION, ENDOTRACHEAL, EMERGENCY PROCEDURE / RT ",إدخال أنبوب الرغامي داخل القصبة الهوائية، إجراءات الطوارئ ,625.0
2152051,"LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; DIAGNOSTIC, NEWBORN ",تنظير الحنجرة مباشرة ، مع أو بدون تنظير القصبة الهوائية ؛ التشخيص ، الوليد,599.0
2152052,MANIPULATION / POSITIONING TO FACILITATE LUNG FUNCTION; INITIAL DEMONSTRATION AND/OR EVALUATION ,التلاعب / تحديد المواقع لتسهيل وظائف الرئة. مظاهرة أولية و / أو تقييم,157.0
2152053,"MANIPULATION CHEST WALL, SUCH AS CUPPING, PERCUSSING, AND VIBRATION TO FACILITATE LUNG FUNCTION; SUBSEQUENT ",جدار الصدر التلاعب ، مثل الحجامة ، الإيقاع ، والاهتزاز لتسهيل وظائف الرئة ؛ لاحق,160.0
2152054,RT TRANSPORT PER HOUR,RT النقل في الساعة,125.0
2152055,"SPIROMETER, NONELECTRONIC, INCLUDES ALL ACCESSORIES ",مقياس التنفس ، غير الكتروني ، ويشمل جميع الملحقات,228.0
2152056,"SPUTUM, OBTAINING SPECIMEN, AEROSOL INDUCED TECHNIQUE (SEPARATE PROCEDURE) ",البلغم ، الحصول على عينة ، تقنية الهباء الجوي المستحث (إجراء منفصل),250.0
2152057,SUCTIONING OF ARTIFICIAL AIRWAY WITH IN-LINE SUCTION CATHETER ,شفط مجرى الهواء الاصطناعي مع قسطرة الشفط المضمنة,32.0
2152058,TRACHEOSTOMY TUBE CARE/G. SURGERY ,رعاية أنبوب القصبة الهوائية / ز. الجراحة,250.0
2152059,"VENTILATION ASSISTMENT, INITIATION OF PRESSURE VENTILATORS /OBSERVATION, INITIAL DAY ",مساعدة في التهوية ، بدء تهوية / مراقبة الضغط ، اليوم الأولي,750.0
2152060,VENTILATION ASSISTMENT AND MANAGEMENT; EACH SUBSEQUENT DAY ,مساعدة التهوية وإدارتها ؛ كل يوم لاحق,250.0
,PSYCHIATRY,العلآج النفسي,
2162001,PSYCHOLOGICAL ASSESSMENT- CATEGORY 1 - I.Q. - ADULT / CHILD, التقييم النفسى - المستوى الاول - اختبارات الذكاء ( للاطفال - الراشدين ),550.0
2162002,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - ORGANICITY, التقييم النفسى - المستوى الثانى - الاختبارات النفسية والعصبية  ,275.0
2162003,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - SCHIZOPHRENIA, التقييم النفسى - المستوى الثانى - اختبارات الفصام ,275.0
2162004,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - DEPRESSION, التقييم النفسى - المستوى الثانى - اختبارات الاكتئاب,275.0
2162005,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - ANXIETY, التقييم النفسى - المستوى الثانى - اختبارات القلق,275.0
2162006,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - OCD, التقييم النفسى - المستوى الثانى - اختبارات الوسواس القهرى,275.0
2162007,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - PANIC & PHOBIA,  التقييم النفسى - المستوى الثانى - اختبارات الهلع والمخاوف المرضية,275.0
2162008,PSYCHOLOGICAL ASSESSMENT- CATEGORY 2 - PERSONALITY, التقييم النفسى - المستوى الثانى - اختبارات الشخصية ,275.0
2162009,PSYCHOLOGICAL ASSESSMENT- CATEGORY 3 - PSYCHOSOCIAL , التقييم النفسى - المستوى الثالث - الاختبارات النفسية الاجتماعية ,200.0
2162010,PSYCHOLOGICAL ASSESSMENT- CATEGORY 3 - SLEEP, التقييم النفسى - المستوى الثالث - اختبارات النوم,200.0
2162011,PSYCHOLOGICAL ASSESSMENT- CATEGORY 3 - SELF SATISFACTION, التقييم النفسى - المستوى الثالث - اختبارات توكيد الذات,200.0
2162012,PSYCHOLOGICAL ASSESSMENT- CATEGORY 3 - OTHER SCALES, التقييم النفسى - المستوى الثالث - اختبارات اخرى,200.0
2162013,PSYCHOTHERAPY BRIEF PER SESSION, الجلسات النفسية - جلسة نفسية بسيطة,175.0
2162014,PSYCHOTHERAPY (BEHAVIOUR) PER SESSION, الجلسات النفسية - جلسة العلاج السلوكى,175.0
2162015,PSYCHOTHERAPY (SPEECH) PER SESSION, الجلسات النفسية - جلسة علاج معرفى,175.0
2162016,PSYCHOTHERAPY (COGNITIVE) PER SESSION, الجلسات النفسية - جلسة علاج معرفى,175.0
2162017,PSYCHOTHERAPY (COUPLE) PER SESSION, الجلساتالنفسبة - جلسة علاج زواجى,175.0
2162018,CHILD ANXIETY MANIFEST LEVEL,  مقياس قلق الاطفال,225.0
2162019,CHILD BEHAVIOUR CHECK LIST, قائمة ملاحظة سلوك الاطفال,175.0
2162020,MIDDLE SEX SCALE, مقياس ميدل سيكس,275.0
2162021,MMPI SUB SCALE, مقياس الشخصية متعدد الاوجه,275.0
2162022,SELF ESTEEM INVENTORY, مقياس تقدير الذات للاطفال,175.0
2162023,BECK DEPRESSION INVENTORY, مقياس الاكتئاب فى الاطفال,275.0
2162024,PERFORMANCE ANXIETY SCALE, مقياس قلق الاختبار,275.0
2162025,SELF ASSESSMENT SCALE, مقياس مفهوم الذات,275.0
2162026,EATING DISORDER SCALE, مقياس اضطرابات الطعام,325.0
2162027,BULIMIA NERVOSA SCALE, مقياس الشره العصبى,275.0
2162028,ANOREXIA NERVOSA SCALE, مقياس فقدان الشهية العصبى,275.0
2162029,BENDER GESTALAT SCALE, مقياس بندر جشتلت,260.0
2162030,A D H D SCALE, مقياس فرط الحركة ونقص الانتباه,325.0
2162031,BRIEF PSYCHOTHERAPY 6 SESSIONS, الجلسات النفسية - جلسة نفسية بسيطة عدد ست جلسات,780.0
2162032,BEHAVIOUR THERAPY 6 SESSIONS, الجلسات النفسية - جلسة العلاج السلوكى عدد ست جلسات,780.0
2162033,RELAXATION THERAPY, جلسة الاسترخاء,325.0
2162034,CARS SCALE FOR AUTISM,مقياس فحص التوحد,400.0
2162035,TAT TEST OF PERSONALITY,مقياس تات لفحص الشخصية,210.0
2162036,COMPLETE SENTENCE TEST OF PERSONALITY,فحص الشخصية,210.0
,GASTRO-ENTEROLOGY ,خدمات الجهاز الهضمي,
2172001,EGD/UPPER GI ENDOSCOPY; DIAGNOSTIC W/O BIOPSY, التنظير الداخلي العلوي ؛ التشخيص بدون الخزعة,1500.0
2172002,"EGD/UPPER GI ENDOSCOPY; W/BIOPSY, SINGLE/MULTIPLE", التنظير الداخلي العلوي ؛ مع / خزعة ، واحدة / متعددة,3125.0
2172003,EGD/UPPER GI ENDOSCOPY; W/POLYPECTOMY,التنظير الداخلي العلوي ؛ مع / ازالة التدرن,3125.0
2172004,EGD/UPPER GI ENDOSCOPY; W/ MUCOSAL RESECTION,التنظير الداخلي العلوي ؛ مع / استئصال الغشاء المخاطي,3907.0
2172005,EGD/UPPER GI ENDOSCOPY; W/FOREIGN BODY EXTRACTION,التنظير الداخلي العلوي ؛ مع / استخراج جسم غريب,3907.0
2172006,"EGD/UPPER GI ENDOSCOPY; W/ BAND LIGATION, ESOPHAGIAL ",التنظير الداخلي العلوي ؛ مع / ربط الحزام ، المريء,2500.0
2172007,EGD/UPPER GI ENDOSCOPY; GASTRIC VARIESES INJECTION,التنظير الداخلي العلوي ؛ حقن دوالي المعدة,6250.0
2172008,EGD/UPPER GI ENDOSCOPY; ESOPHAGIAL VARIESES SCLEROTHERAPY,التنظير الداخلي العلوي ؛  العلاج دوالي المريء بالتصلب,7032.0
2172009,"EGD/UPPER GI ENDOSCOPY; ESOPHAGUS, DUODENUM. STRICTURE  DILATATION BY BALLOON ",التنظير الداخلي العلوي ؛ المريء /الاثني عشر. توسيع التضيق بالبالون,6250.0
2172010,EGD/UPPER GI ENDOSCOPY; ESOPHAGUS/DUODENUM STENT PLACEMENT.  (IMPLANT NOT INCLUDED),التنظير الداخلي العلوي ؛ المريء / الاثني عشر وضع الدعامات,6250.0
2172011,EGD/UPPER GI ENDOSCOPY; DILATATION FOR ACHALASIA ,التنظير الداخلي العلوي ؛ توسع لتعذر الارتخاء في المريء,6250.0
2172012,EGD/UPPER GI ENDOSCOPY; W/CLOSURE OF PERFORATION,التنظير الداخلي العلوي ؛ مع / إغلاق ثقب,7032.0
2172013,EGD/UPPER GI ENDOSCOPY; W/ GASTRIC BALLOON PLACEMENT  (IMPLANT NOT INCLUDED),التنظير الداخلي العلوي ؛ مع / وضع بالون في المعدة ,6250.0
2172014,EGD/UPPER GI ENDOSCOPY; W/ HEMOSTATIC TREATMENT (INJECTION / ELECTROCOAGULATION /ARGON PLASMA COAGULATION),التنظير الداخلي العلوي ؛ مع / العلاج النزيف (حقن / التخثير الكهربائي / تخثر الأرجون البلازما),7032.0
2172015,EGD/UPPER GI ENDOSCOPY; W/ HEMOSTATIC TREATMENT BY CLIPPING (IMPLANT NOT INCLUDED),التنظير الداخلي العلوي ؛ مع / العلاج انزيف عن طريق الملقاط ,6250.0
2172016,PER CUTANEOUS ENDOSCOPIC GASTROSTOMY W/ TUBE PLACEMENT (PEG), فغر المعدة بالمنظار مع / وضع أنبوب (الوتد),5469.0
2172017,PER CUTANEOUS ENDOSCOPIC GASTROSTOMY W/ TUBE REPLACEMENT (PEG),فغر المعدة بالمنظار مع / استبدال أنبوب (الوتد),1563.0
2172018,ENTEROSCOPY / PUSH (DIAGNOSTIC / THERAPITIC),تنظير / دفع (تشخيصي / علاجي),5469.0
2172019,ENTEROSCOPY / DOUBLE BALLOON ,تنظير / بالون مزدوج,5469.0
2172020,ENTEROSCOPY / CAPSULE ENDOSCOPY (ENTEROSCOPY & COLONOSCOPY),التنظير المعوي / كبسولة التنظير (تنظير الأمعاء والقولون),8594.0
2172021,"COLONOSCOPY, DIAGNOSTIC W/O BIOPSY ",تنظير القولون ، التشخيص بدون خزعة,3907.0
2172022,COLONSCOPY WITH BIOPSY ,تنظير القولون ، التشخيص مع خزعة,4688.0
2172023,"COLONOSCOPY, W/ POLYPECTOMY",تنظير القولون ، مع / استئصال التدرن,4688.0
2172024,COLONOSCOPY; W/ MUCOSAL RESECTION (EMR),تنظير القولون. مع / استئصال الغشاء المخاطي ,4688.0
2172025,COLONOSCOPY; W/ STRICTURE DILATATION ,تنظير القولون. مع / توسع التضيق,4688.0
2172026,COLONOSCOPY; W/ METALIC STENT PLACEMENT (IMPLANT NOT INCLUDED),تنظير القولون. مع / وضع الدعامة المعدنية ,5469.0
2172027,COLONOSCOPY; W/ HEMOSTATIC TREATMENT (INJECTION/ELECTROCOAGULATION/ARGON PLASMA COAGULATION),تنظير القولون. مع / العلاج النزيف (حقن / التخثير الكهربائي / تخثر الأرجون البلازما),7032.0
2172028,COLONOSCOPY; W/ HEMOSTATIC TREATMENT BY CLIPPING (IMPLANT NOT INCLUDED),تنظير القولون. مع / العلاج النزيف عن طريق الملقاط ,6250.0
2172029,ERCP DIAGNOSTIC - W/ BRUSH BIOPSY & CYTOLOGY, تصوير البنكرياس والقنوات الصفراوية بالمنظار - تشخيصي - مع / خزعة ودراسة الخلايا,5860.0
2172030,"ERCP, W/ SPHINCTEROTOMY - STONE EXTRACTION.",تصوير البنكرياس والقنوات الصفراوية بالمنظار مع شق العضلة العاصرة  - استخراج الحجارة.,6641.0
2172031,"ERCP, MECHANICAL LITHOTRIPSY FOR STONE W/ OR W/O SPHINCTEROTOMY",تصوير البنكرياس والقنوات الصفراوية بالمنظار  ،مع تفتيت الحصوات الميكانيكي للحجر مع أو بدون شق العضلة العاصرة ,10157.0
2172032,"ERCP, W/ SPHINCTEROTOMY - BALLOON DILATATION & STONE EXTRACTION. ", تصوير البنكرياس والقنوات الصفراوية بالمنظار مع شق العضلة العاصرة - توسع بالبالون واستخراج الأحجار.,6250.0
2172033,"ERCP, W/ SPHINCTEROTOMY - LARGE BALLOON PAPILLARY DILATATION & STONE EXTRACTION W/ SPHINCTEROTOMY,", تصوير البنكرياس والقنوات الصفراوية بالمنظار مع شق العضلة العاصرة  - توسع حليمي بالون كبير واستخراج الحجارة,7422.0
2172034,"ERCP, W/ SPHINCTEROTOMY - BILIARY STENT PLACEMENT. (IMPLANT NOT INCLUDED)",تصوير البنكرياس والقنوات الصفراوية بالمنظار  مع شق العضلة العاصرة - وضع الدعامات الصفراوية.,6250.0
2172035,"ERCP, W/ SPHINCTEROTOMY - BILIARY STRICTURE DILATATION",تصوير البنكرياس والقنوات الصفراوية بالمنظار  مع شق العضلة العاصرة  - توسع تضيق الصفراوي,6641.0
2172036,"ERCP, W/ SPHINCTEROTOMY - NASO-BILIARY DRAINAGE",تصوير البنكرياس والقنوات الصفراوية بالمنظار  مع شق العضلة العاصرة   - تصريف الأنف الصفراوية,6250.0
2172037,PROCTOSCOPY, تنظير المستقيم - عيادة خارجية ,175.0
2172038,REGID SIGMAIDOSCOPY, منظــار الـسيـنـي,675.0
2172039,SIGMOIDDOSCOPY DIAGNOSTIC, منظـار الـقـولـون الـسيـني,700.0
2172040,SIGMOIDOSCOPY DIAGNOSTIC + BIOPSY, منظـار الـقـولـون السيـني مع عيـنـه ,1000.0
2172041,HEAT PROBE COAGULATION, التخسر الحرارى المنظار,700.0
2172042,CAPSULE ENDOSCOPY,منظار باستخدام الكبسولة,8000.0
2172043,ARGON PLASMA COAGULATION,خلط البلازما بواسطة غاز الأرجون,4600.0
2172044,EMG ELECTROMYOGRAPHY OF ANORECTUM,فحص اي ام جي للعضلات,5000.0
2172045,PEDIATRIC ENDOSCOPY + GA,منظار معدة للاطفال تحت تاثير التخدير الكلى,7500.0
2172046,ENDOSCOPIC SUBMUCOSAL DISSECTION  ,استئصال ورم بالجهاز الهضمى باستخدام سكين قطع تحت الجدار السطحى,12000.0
2172047,PYLO TEST FOR H.PYLORI,فحص هيليكوباكتر بيلوري,350.0
2172048,ENDOSCOPIC SUTURING (CLOSE FISTULA) (OR PERFORATION),خياطة الجهاز الهضمي بالمنظار,13000.0
2172049,ENDOSCOPIC SUTURING (REDUCTION OF DILATED POUCH OR STOMACH) POST SLEEVE,خياطة بالمنظار ( تصغير المعدة بعد عملية التكميم),13000.0
2172050,ENDOSCOPIC SUTURING (PRIMARY),خياطة بالمنظار (تصغير المعدة الأصلية),14000.0
2172051,SMART BALLOON - BARIATRIC,وضع البالونة الذكية للسمنة,16000.0
