code,discription ,old Price,2021 price
FMENTE0023,SIMPLE MYRINGO PLASTY,1733,2080
FMENTE0024,FITTING OF HEARING AID CLUB 65,6700,8040
FMENTE0025,TINNITUS MATCHING & MASKING,308,370
FMENTE0026,VOICE DISORDER SESSION,490,588
FMENTE0027,HEARING AID FITTING COLIBRIE I I,1771,2126
FMENTE0028,HEARING. AID FITTING COLIBRIE I I,1771,2126
FMENTE0029,COMPTUER ASSISTED VESTIBULAR   REHABILIATION EXERCISE,187,225
FMENTE0030,TINNITUS MATCHING,308,370
FMENTE0031,TINNITUS MASKING,154,185
FMENTE0032,FITTING HEARING AID AUDIOFLEX  120,3388,4066
FMENTE0033,FITTING HEARING AID AUDIOFLEX  110,5150,6180
FMENTE0034,FITTING HEARING AID STAR,5150,6180
FMENTE0035,CANALITH REPOSITIONING MANEUVE R FOR BENIGH PAROXYSMAL POSTIO,605,726
FMENTE0036,DEVICE OF SENSO-HEARING AID,4853,5824
FMENTE0037,FITTING OF COMPACT DIGIFOCUS   HEARING AID,7827,9393
FMENTE0038,FITTING OF FM SYSTEM FOR  HEARING IMPAIRMENT,9763,11716
FMENTE0039,TINNITUS RETRAINING THERAPHY,297,357
FMENTE0040,AUDITORY TRAINING SESSION,297,357
FMENTE0041,Puncture of maxillary sinus (antral lavage),400,480
FMENTE0042,Cautery of ear drum,290,348
FMENTE2003,REPAIR OF EARING TEAR OF EAR   LOBE,517,621
FMENTE2004,SUTURE OF LACERATION OF EXTRNL EAR (PER SUTURE),160,192
FMENTE2005,ASPIRATION OF HEMATOMA,517,621
FMENTE2006,DRAINAGE OF AURICULAR ABSCESS  AND DEBRIDEMENT,809,971
FMENTE2007,EXCISION OF PRE-AURICULAR CYST,3190,3828
FMENTE2008,EXCISION OF PRE-AURICULAR -    SINUS,3190,3828
FMENTE2009,EXCISION OF PRE-AURICULAR -    REMNANT,3247,3897
FMENTE2010,INJECTION OF KELOID - SMALL,259,311
FMENTE2011,INJECTION OF KELOID - LARGE,385,462
FMENTE2012,EXCISION OF KELOID,1276,1532
FMENTE2013,SURGICAL CORRECTN OF PROMINENT EARS,4074,4889
FMENTE2014,PARTIAL EXCISION & RECONSRUCTN OF THE PINNA,3190,3828
FMENTE2015,AMPUTATION OF EXTERNAL EAR,3568,4282
FMENTE3001,EAR WASH - UNILATERAL,171,206
FMENTE3002,EAR WASH - BILATERAL,270,324
FMENTE3003,TREATMENT OF OTOMYCOSIS-UNILAT,270,324
FMENTE3004,TREATMENT OF OTOMYCOSIS-BILAT.,429,515
FMENTE3005,DEBRIDEMENT & INSERTION OF     OTO-WICK,55,66
FMENTE3006,INCISION OF ABSCESS OF EXTERNL EAR CANAL,336,404
FMENTE3007,REMVL OF FOREING BODY WITHOUT  INCISN-W/O MICROSCOPE-NOT IMPC,270,324
FMENTE3008,REMVAL OF FOREIGN BODY WITHOUT INCISN-W/O MICROSCOPE-IMPACTED,385,462
FMENTE3009,REMOVAL OF FOREIGN BODY WITH   MICROSCOPE,1023,1228
FMENTE3010,REMOVAL OF FOREIGN BODY WITH   INCISION,1469,1763
FMENTE3011,DEBRIDEMENT - EAR INFECTION,259,311
FMENTE3013,MIC. EXCISION OF EXOSTOSIS,3190,3828
FMENTE3014,RECONSTRUCTION OF EXTERNAL EAR EAR STENOSIS,3190,3828
FMENTE3015,REMOVAL OF EXTERNAL EAR POLYP,1276,1532
FMENTE3016,BIOPSY OF EXTERNAL EAR,451,542
FMENTE3017,MICROSCOPIC EXAMINATION UNILAT,171,206
FMENTE3018,MICROSCOPIC EXAMINATION BILAT,270,324
FMENTE3019,EAR PLUG,187,225
FMENTE3020,VESTIBULAR ASSESTMENT,1122,1347
FMENTE3021,FITTING OF NOISE GENERATOR,2794,3353
FMENTE3022,FITTING OF DIGITAL SIEMENS        HEARING AID,4884,5861
FMENTE4001,MYRINGOTOMY - UNILATERAL,517,621
FMENTE4002,MYRINGOTOMY - BILATERAL,1023,1228
FMENTE4003,MYRINGOTOMY ANS ASPIRATION OF  MIDDLE EAR FLUID - UNILATERAL,644,773
FMENTE4004,MYRINGOTOMY AND ASPIRATION OF  MIDDLE EAR FLUID,1276,1532
FMENTE4005,MYRINGOTOMY & GROMMET-UNILAT.,1100,1320
FMENTE4006,MYRINGOTOMY & GROMMET-BILAT.,1535,1842
FMENTE4007,REMOVAL OF GROMMET-UNILATERAL,171,206
FMENTE4008,REMOVAL OF GROMMET-BILATERAL,198,238
FMENTE4009,MIDDLE EAR OSSICULOPLASSTY HEARING,4660,5592
FMENTE4011,CORTICAL MASTOIDECTOMY,5320,6384
FMENTE4012,CLOSURE OF MASTOID FISTULA,4074,4889
FMENTE4013,MASTOIDECTOMY - RADICAL,4950,5940
FMENTE4014,MASTOIDECTOMY - REVISION,4950,5940
FMENTE4015,MASTOID - TYMPANOPLASTY,4950,5940
FMENTE4016,TYMPANOPLASTY - TYPE I         (MYRINGOPLASTY),4070,4884
FMENTE4017,TYMPANOPLASTY - TYPE II,3410,4092
FMENTE4018,TYMPANOPLASTY - TYPE  III,3410,4092
FMENTE4019,TYMPANOPLASTY - TYPE IV,4070,4884
FMENTE4020,TYMPANOPLASTY - TYPE V,4070,4884
FMENTE4021,REVISION TYMPANOPLASTY,5280,6336
FMENTE4022,STAPEDECTOMY,4400,5280
FMENTE4023,REVISION STAPEDECTOMY,6120,7344
FMENTE4024,MYRINGOTOMY AD ASP. OF FLUID   BEHIND TYMPANIC MEMBRANE UNIL.,517,621
FMENTE4025,MYRINGOTOMY & ASP. OF FLUIDS   BEHIND TYMPANIC MEMBRANE-BILAT,1023,1228
FMENTE4026,RE-INTRODUCTION OF TRACHEOSTOMY TUBE UNDER G.A,3850,4620
FMENTE5001,LABYRINTHECTOMY,3058,3670
FMENTE5002,DECOMPRESSION OF TEMPORAL      PORTION OF THE 7TH NERVE,6120,7344
FMENTE5003,EAR MOULD,297,357
FMENTE5004,HEARING AID FITTING,529,635
FMENTE5005,FREE FIELD AUDIOMETRY,550,660
FMENTE6001,POLITZERIZATION,171,206
FMENTE6002,CATHETERIZATION OF EUSTACHIAN  TUBE,451,542
FMENTE6003,HEARING AID  M35,2866,3440
FMENTE6004,HEARING AID M36,2767,3321
FMENTE6005,HEARING AID M49-0,2954,3545
FMENTE6006,HEARING AID P47,3650,4380
FMENTE6007,HEARING AID PHILIPS M47-D,2767,3321
FMENTE6008,HEARING AID M60-OL,2508,3010
FMENTE6009,HEARING AID PHILIPS M60-OR,2508,3010
FMENTE6010,HEARING AID PHONAK BASEO Q15,2400,2880
FMENTE6011,HEARING AID PHONAK TAO Q10,3100,3720
FMENTE6012,HEARING AID  PHILIPS  P44,2270,2724
FMENTE6013,HEARING AID PHILIPS P47-H,2270,2724
FMENTE6014,HEARING AID PHILIPS P47-I,2270,2724
FMENTE6015,HEARING AID PHILIPS P47-IH,1860,2232
FMENTE6016,HEARING AID PHILIPS P49-O,1550,1860
FMENTE6017,HEARING AID PHILIPS P60PP/01,12000,14400
FMENTE6018,HEARING AID PHILIPS S1594,6700,8040
FMENTE6019,HEARING AID PHILIPS S41KH,6700,8040
FMENTE6020,HEARING AID PHILIPS S46-O,2866,3440
FMENTE6021,HEARING AID PHILIPS S46-OL,5150,6180
FMENTE6022,HEARING AID PHILIPS S47,2684,3221
FMENTE6023,HEARING AID M30,5150,6180
FMENTE6024,FARO REMOTE CONTROL,1089,1307
FMENTE6025,LASER STAPEDECTOMY,5390,6468
FMENTE6026,COCHLEAR IMPLANT SURGERY,14020,16824
FMENTE6027,CREATING A MAP FOR COCHLEAR    IMPLANT,704,845
FMENTE6028,REVISING A MAP FOR COCHLEAR    IMPLANT,435,522
FMENTE6029,PROMONTORY STIMULATION TEST,567,681
FMENTE6030,HEARING AID - BOSCH STAR 33 PP,2244,2693
FMENTE6031,HEARING AID -UNITRON 80 APPL,4950,5940
FMENTE6032,HEARING AID BOSCH STAR 42 PPSP,4950,5940
FMENTE6033,HEARING AID FITTING SENSO,3950,4740
FMENTE6034,COCHLEAR FUNCTION MONITORING,297,357
FMENTE6035,FITTING OF SIGNIA HEARING AID,10930,13116
FMENTE6036,HEARING AID-AVIO 3-121,3950,4740
FMENTE6037,HEARING AID-AVIO 3-118,3950,4740
FMENTE6038,HEARING AID-AVIO 1-129,3100,3720
FMENTE6039,HEARING AID-AVIO 1-121,3100,3720
FMENTE6040,HEARING AID-AVIO 1-119,3100,3720
FMENTE6041,HEARING AID-START-131,2500,3000
FMENTE6042,HEARING AID-START-123,2500,3000
FMENTE6043,HEARING AID-START-121,2500,3000
FMENTE6044,HEARING AID-RELAY CM-115,12000,14400
FMENTE6045,FITTING DEVICE-EAR NOISE TERMINATION,5000,6000
FMENTE6046,HEARING AID SCOPE-127-BTE,7800,9360
FMENTE6047,HEARING AID SCOPE6-127-BTE,8030,9636
FMENTE6048,HEARING AID SCOPE6-132-BTE,6900,8280
FMENTE6049,HEARING AID SCOPE6-POWER 140-BTE,6900,8280
FMENTE6050,HEARING AID SCOPE6-133-BTE,6900,8280
FMENTE6051,HEARING AID SCOPE4-127-BTE,6390,7668
FMENTE6052,HEARING AID SCOPE4-POWER-132-BTE,5300,6360
FMENTE6053,HEARING AID SCOPE4-133-BTE,5300,6360
FMENTE6054,HEARING AID AVIO 5-127-BTE,5870,7044
FMENTE6055,HEARING AID AVIO 5-132-BTE,5100,6120
FMENTE6056,HEARING AID AVIO 5-133-BTE,5100,6120
FMENTE6057,HEARING AID AVIO 3-127-BTE,4790,5748
FMENTE6058,HEARING AID AVIO 3-132-BTE,4070,4884
FMENTE6059,HEARING AID AVIO 3-133-BTE,4070,4884
FMENTE6060,HEARING AID AVIO 1-127-BTE,3760,4512
FMENTE6061,HEARING AID AVIO 1-132-BTE,3190,3828
FMENTE6062,HEARING AID AVIO 1-133-BTE,3190,3828
FMENTE6063,HEARING AID START POWER-136-BTE,2680,3216
FMENTE6064,HEARING AID START-134-BTE,2470,2964
FMENTE6065,HEARING AID ELIPSE SUPER POWER-145-BTE,3190,3828
FMENTE6066,HEARING AID STAGE-133-BTE,2340,2808
FMENTE6067,HEARING AID STAGE-123-BTE,2340,2808
FMENTE6068,HEARING AID STAGE-145-BTE,2340,2808
FMENTE6069,HEARING AID BODY WORN-150,1920,2304
FMENTE6070,HEARING AID BODY WORN-133,1600,1920
FMENTE6071,HEARING AID RELAY-124-BTE,12360,14832
FMENTE6072,HEARING AID SCOPE-6-129-ITE,6900,8280
FMENTE6073,HEARING AID SCOPE 6-123-ITC,6900,8280
FMENTE6074,HEARING AID SCOPE 6-121-CIC,6900,8280
FMENTE6075,HEARING AID SCOPE 4-129-ITE,5300,6360
FMENTE6076,HEARING AID SCOPE 4-123-ITC,5300,6360
FMENTE6077,HEARING AID SCOPE 4-119-CIC,5300,6360
FMENTE6078,HEARING AID AVIO 5-129-ITE,5100,6120
FMENTE6079,HEARING AID AVIO 5-121-ITC,5100,6120
FMENTE6080,HEARING AID AVIO 5-111-CIC,5000,6000
FMENTE6081,HEARING AID-AVIO 3-129-ITE,4000,4800
FMENTE6090,HEARING AID-RELAY CM-151-ITE,12000,14400
FMENTE6091,HEARING AID MENU-ME-CIC-64,3300,3960
FMENTE6092,HEARING AID MENU-ME-X-ITE-67,3300,3960
FMENTE6093,HEARING AID MENU-ME-9-BTE-65,3080,3696
FMENTE6094,HEARING AID MENU-ME-19-BTE-75,3080,3696
FMENTE6095,HEARING AID SUPER-S2-SP-RIC-87,6050,7260
FMENTE6096,HEARING AID DREAM-D2-CIC-64,6820,8184
FMENTE6097,HEARING AID DREAM-D2-XP-ITE-67,6820,8184
FMENTE6098,HEARING AID DREAM-D2-9-BTE-68,6600,7920
FMENTE6099,HEARING AID DREAM-D2-FA-BTE-75,6600,7920
FMENTE6100,HEARING AID DREAM-D2-FS-RIC-83,6600,7920
FMENTE6101,HEARING AID DREAM-D2-PA-RIC-70,6600,7920
FMENTE6102,HEARING AID MENU-ME-M-BTE-67,3080,3696
FMENTE9903,HEARING AID EVALUATION (PRE-SELECTION),300,360
FMENTE9908,CAUERY OF NASAL MUCOUSA FOR EPISTA,240,288
FMENTE9909,OSSICULOPLASTY,9000,10800
FMENTE9910,AUDITORY BRAIN STEM RESPONSE UNDER SEDATION,1980,2376
FMENTE9911,TYMPANUMETERY TO ACCESS MIDDLE EAR PRESSURE,280,336
FMENTE9912,TINNITUS MATCHING TEST,330,396
FMENTE9913,TINNITUS MEASURING TEST,330,396
FMENTE9914,DIX-HALLPIKE TEST FOR BPPV,110,132
FMENTG0001,FASHION OF THE SKIN FLAP,1155,1386
FMENTG0002,TRANSFER OF SKIN FLAP,924,1109
FMENTK0001,TRACHEOSTOMY,2552,3063
FMENTK0002,CHANGE OF TRACHEOSTOMY TUBA,350,420
FMENTK0003,EXCISION OF THYROGLOSSAL CYST,2552,3063
FMENTK0004,CERVICAL NODE BIOPSY,1634,1961
FMENTK0005,EXCISION OF SUBMANDIBULAR -    SALIVARY GLAND,3058,3670
FMENTK0006,DRAINAGE OF LUDWIG'S ANGINA,1535,1842
FMENTK0007,SUB-TOTAL THYROIDECTOMY,3366,4040
FMENTK0008,CLOSURE OF TRACHEOSTOMY,506,608
FMENTK0009,PARTIAL THYROIDECTOMY,2970,3564
FMENTL0001,DIRECT LARYNGOSCOPY,1276,1532
FMENTL0002,DIRECT LARYNGOSCOPY W/ REMOVAL OF FORIEGN BODY,1452,1743
FMENTL0003,DIRECT LARYNGOSCOPY W\ BIOPSY,1870,2244
FMENTL0004,MICROLARYNGO SURGERY,1914,2297
FMENTL0005,SURGERY OF VOCAL CORDS,3058,3670
FMENTL0006,EXCISION OF VOCAL CORDS MICRO- SURGERY,3190,3828
FMENTL0007,MICROSCOPIC SURGERY OF CORAL - PARALYSIS,3568,4282
FMENTL0008,OPEN SURGERY FOR CORAL         PARALYSIS,3058,3670
FMENTL0009,EXCISION OF LARYNGOCELE,3058,3670
FMENTL0010,EXCISION OF PHARYNGEAL POUCH,3190,3828
FMENTL0011,DIATHERMY TREATMENT OF         PHARYNGEAL POUCH,3190,3828
FMENTL0012,SURGERY FOR CA. OF LARYNX -    PARTIAL,5095,6114
FMENTL0013,SURGERY FOR CA.LARYNX - TOTAL,5095,6114
FMENTL0014,SPEECH THERAPHY SESSION,132,159
FMENTL0015,INDIRECT LARYNGOSCOPY USING    ENDOSCOPE,171,206
FMENTL0016,THYROPLASTY,4000,4800
FMENTL0017,SPEACH THERAPY SINGLE,143,172
FMENTL0018,LASER MIRCOSURGERY OF LARYNX   FROM THE BENIGN TUMOUR,2811,3374
FMENTL0019,LASER MICROSURGERY OF THE LARY FOR MALIGNANT TUMOUR,4484,5381
FMENTL0020,LASER BIOPSY OF THE LARYNX,2811,3374
FMENTL0021,LASER ARETENOIDECTOMY,3401,4082
FMENTL0022,ADDITIONAL USE OF LASER,798,958
FMENTL0023,DELAYED SPEECH & LANG.DEVELOP- MENT,407,489
FMENTL0024,STUTTERING&STAMMERING SESSION,490,588
FMENTL0025,DEFECT IN ARTICULATION SESSION,490,588
FMENTL0027,SPEECH ASSESSMENT,363,436
FMENTL0028,HEARING LOSS SESSION / AURAL THERAPY,370,444
FMENTL0029,COUNSELLING SESSION,80,96
FMENTL0030,SPEECH THERAPY CONSULTATION (INPATIENT),150,180
FMENTM0001,CONDYLECTOMY,2426,2912
FMENTN0001,SUTURE OF LACERATION OF NOSE,127,153
FMENTN0002,EXCISION OF LIMITED TUMOUR OF  EXTERNAL NOSE & NASAL RECONST.,3568,4282
FMENTN0003,NASOVESTIBULAR CYST,2552,3063
FMENTN0004,PROETZ MANOEUVRE (NASAL SINUS,171,206
FMENTN0005,RHINOSCOPY,105,126
FMENTN2001,FOREIGN BODY REMOVAL,341,410
FMENTN2002,RHINOLITH EXTRACTION,2442,2931
FMENTN2003,CLOSED REDUCTN OF NASAL FRACT.,1584,1901
FMENTN2004,REDUCTION OF NASAL FRACTURE -  OPEN,160,192
FMENTN2005,INCISION & DRAINAGE OF SEPTAL  HEMATOMA,1040,1248
FMENTN2006,INCISION & DRAINAGE OF SEPTAL  ABSCESS,1023,1228
FMENTN2007,CONTROL OF EPISTAXIS BY ANTER- NASAL PACKING,385,462
FMENTN2008,CONTROL OF EPISTAXIS BY ANT. & POSTERIOR NASAL PACKING,1276,1532
FMENTN2009,CONTROL OF EPISTAXIS BY CHEM.  CAUTERIZATION - UNILATERAL,132,159
FMENTN2010,CONTROL OF EPISTAXIS BY CHEM.  CAUTERIZATION - BILATERAL,171,206
FMENTN2011,CONTROL OF EPISTAXIS BY ELECT. CAUTERIZATION - UNILATERAL,259,311
FMENTN2012,CONTROL OF EPISTAXIS BY ELECT. CAUTERIZATION - BILATERAL,385,462
FMENTN2013,CORTICOSTEROID INJ.-TURBINATE,127,153
FMENTN2014,CAUTERY - SUBMUCOSAL DIATHERMY OF THE TURBINATE - UNILATERAL,385,462
FMENTN2015,CAUTERY - SUBMUCOSAL DIATHERMY OFTHE TURBINATE - BILATERAL,644,773
FMENTN2016,TURBINECTOMY LATERAL FRACTURE  UNILATERAL,1485,1782
FMENTN2017,TURBINECTOMY LATERAL FRACTURE  BILATERAL,1485,1782
FMENTN2018,TURBINECTOMY-CRYOSURGERY-UNILA,517,621
FMENTN2019,TURBINECTOMY-CRYOSURGERY-BILAT,897,1077
FMENTN2020,TURBINECTOMY-PARTIAL EXCISION- UNILATERAL,1485,1782
FMENTN2021,TURBINECTOMY-PARTIAL EXCISION  BILATERAL,1485,1782
FMENTN2022,TURBINECTOMY - TOTAL,1760,2112
FMENTN2023,OTHER TURBINECTOMIES (MIDDLE-  TURBINECTOMY),1535,1842
FMENTN2024,PERNASAL REMOVAL OF ALLERGIC   POLYP - UNILATERAL,1535,1842
FMENTN2025,PERNASAL REMOVAL OF ALLERGIC   POLYP - BILATERAL,1914,2297
FMENTN2026,PERNASAL REMOVAL OF POLYPI -   INFLAMMATORY - UNILATERAL,1914,2297
FMENTN2027,PERNASAL REMOVAL OF POLYPI -   INFLAMMATORY - BILATERAL,2552,3063
FMENTN2028,PERNASAL REMOVAL OF POLYPI -   HAEMORRHAGIC,1914,2297
FMENTN2029,PERNASAL REMOVAL OF POLYPI -   MALIGNANT,1914,2297
FMENTN2030,ANTROCHOANAL POLYPECTOMY WITH  CALDWELL - LUC,3058,3670
FMENTN2031,ANTROCHOANAL POLYPECTOMY WITH- OUT CALDWELL LUC,1535,1842
FMENTN2032,NASAL ADHESIONS-UNILATERAL,1276,1532
FMENTN2033,NASAL ADHESIONS - BILATERAL,1914,2297
FMENTN2034,DEBRIDEMENT-ATROFIC RHINITIS - UNILATERAL,127,153
FMENTN2035,DEBRIDEMENT-ATROFIC RHINITIS - BILATERAL,198,238
FMENTN2036,SILASTIC IMPLANTATION ATROFIC  RHINITIS,3058,3670
FMENTN2037,REPAIR OF CHOANAL ATRESIA-UNIL,3190,3828
FMENTN2038,REPAIR OF CHOANAL ATRESIA-BILA,4074,4889
FMENTN2039,NOSE RECONSTRUCTION-RHINOPLAST,4074,4889
FMENTN2040,LIMITED RHINOPLASTY,3190,3828
FMENTN2041,AUGMENTATION RHINOPLASTY,3190,3828
FMENTN2042,REVISION OF RHINOPLASTY,4074,4889
FMENTN2043,RHINOSEPTOPLASTY,3850,4620
FMENTN2044,REVISION RHINOSEPTOPLASTY,5095,6114
FMENTN2045,SEPTOPLASTY,2420,2904
FMENTN2046,REVISION SEPTOPLASTY,3575,4290
FMENTN2047,SUBMUCOUS RESECTION OF SEPTUM,1485,1782
FMENTN2048,REPAIR OF SEPTAL PERFORATION,3058,3670
FMENTN2049,BIOPSY OF NOSE,644,773
FMENTN2050,SURGERY OFTUMOUR OF NASAL -    CAVITY - BENIGN,3190,3828
FMENTN2051,SURGERY OF TUMOUR OF NASAL -   CAVITY - MALIGNANT,4074,4889
FMENTN2052,SURGERY OF TUMOUR OF NASAL -   SEPTUM - BENIGN,3190,3828
FMENTN2053,SURGERY OF TUMOUR OF NASAL -   SEPTUM - MALIGNANT,4074,4889
FMENTN2054,CHANGE OF NASAL SPLINT,72,87
FMENTN2055,REMOVAL OF NASAL PACK,160,192
FMENTN2056,LASER APPLIC.TO INT.TURBINATES (UNILATERAL),1914,2297
FMENTN2057,LASER APPLIC.TO INFER.TURBINA- TES (BILATERAL),2552,3063
FMENTN2058,LASER ARETENOIDECTOMY,3401,4082
FMENTN2060,ENDOSCOPY MIDDLE MEATAL,2552,3063
FMENTN2061,TRANS-NASAL HYPOPHYSECTOMY,11215,13458
FMENTN2062,NASAL SINUSCOPY,138,166
FMENTN2063,NASAL ENDOSCOPY,132,159
FMENTN2064,NASAL SINUSCOPY WITH BIOPSY,435,522
FMENTN2065,INCISSION OF NASAL ABSCESS,259,311
FMENTN2066,ADDT'L CODE FOR PHOTO,72,87
FMENTN2067,SKIN TEST FOR NASAL ALLERGY,638,766
FMENTN2068,CLOSURE OF ORO-NASAL FISTULA,1458,1750
FMENTN2069,SINUS SCOPY,150,180
FMENTO0001,SUTURE OF LACERATION OF LIP    (EACH),127,153
FMENTO0002,SUTURE OF LACERATION OF TONGUE,127,153
FMENTO0003,SUTURE OF LACERATION OF SOFT - PALATE,605,726
FMENTO0004,REPAIR OF PARTIAL CLEFT PALATE (SOFT PAL. & UVULA),2552,3063
FMENTO0005,PARTIAL EXCISION OF PALATE     (SOFT PALATE),1276,1532
FMENTO0006,BONY TUMOURS OF THE PALATE,3190,3828
FMENTO0007,UVULECTOMY,858,1030
FMENTO0008,FRENOTOMY,1023,1228
FMENTO0009,REMOVAL OF FOREIGN BODY-THROAT,270,324
FMENTO0010,FOREIGN BODY EXTRACTION-MOUTH,198,238
FMENTO0011,CAUTERIZATION OF MOUTH ULCER - CHEMICAL,385,462
FMENTO0012,CAUTERIZATION OF MOUTH ULCER - CRYOCAUTERY,836,1004
FMENTO0013,MARSIPULIZATION OF RANULA,2000,2400
FMENTO0014,REMOVAL OF CALCULUS FROM -     SUBMANDIBULAR DUCT,1639,1967
FMENTO0015,LASER UVULECTOMY,1458,1750
FMENTO0016,LASER EXCISSION OF MALIGNANT   TUMOUR OF THE TONGUE,4074,4889
FMENTO0017,SUPERFICIAL PAROTIDECTOMY,2805,3366
FMENTO0018,SUBMANDIBULAR SAILADERECTOMY,2811,3374
FMENTO0019,GLOSSOPLASTY,3042,3651
FMENTP0001,NASOPHARYNGOSCOPY,138,166
FMENTP0002,NASOPHARYNGEAL EXAM. & BIOPSY,1276,1532
FMENTP0003,ADENOIDECTOMY,1150,1380
FMENTP0004,REVISION ADENOIDECTOMY,1535,1842
FMENTP0005,ADENOTONSILLECTOMY,1628,1954
FMENTP0006,CONTROL OF HAEMORRHAGE AFTER - ADENOIDECTOMY (IN SGH),325,390
FMENTP0007,CONTROL OF HAEMORRHAGE AFTER - ADENOIDECTOMY (OUTSIDE),1150,1380
FMENTP2001,REMOVAL OF TONSILLO-LITHS -    SMALL,198,238
FMENTP2002,REMOVAL OF TONSILLO-LITHS-     LARGE,1023,1228
FMENTP2003,INCISION & DRAINAGE OF TONSIL- LAR ABSCESS,325,390
FMENTP2004,INCISION & DRAINAGE OF PERIT-  ONSILLAR ABSCESS,418,502
FMENTP2005,INCISION & DRAINAGE OF RETRO-  PHARYNGEAL ABSCESS,1276,1532
FMENTP2006,INCISION & DRAINAGE OF PARA-   PHARYNGEAL ABSCESS,2552,3063
FMENTP2007,TONSILLECTOMY UNDER 12 YEARS,1023,1228
FMENTP2008,TONSILLECTOMY - 12 YEAR & OVER,1485,1782
FMENTP2010,EXCISION OF TONSILAR TAG,1276,1532
FMENTP2012,CONTROL OF HAEMORRHAGE AFTER-  TONSILLECTOMY - REACTIONARY,385,462
FMENTP2013,CONTROL OF HAEMORRHAGE AFTER-  TONSILLECTOMY 2NDARY (IN SGH),644,773
FMENTP2014,CONTROL OF HAEMORRHAGE AFTER - TONSILLECTOMY-2NDARY (OUTSIDE),1914,2297
FMENTP2015,ORAL BIOPSY,385,462
FMENTP2017,EXCISION OF VALLECULAR CYST,2552,3063
FMENTP2018,PALATOPHARYNGOPLASTY,4074,4889
FMENTP2019,EXCISION OF ORAL /OROPHARYNGEAL PAPILLOMA BIOPSY,1965,2358
FMENTP3001,HYPOPHARYNGOSCOPY UNDER L.A.,644,773
FMENTP3002,HYPOPHARYNGOSCOPY UNDER G.A.,1276,1532
FMENTP3003,HYPOPHARYNGOSCOPY WITH REMOVAL OF FORIEGN BODY,1914,2297
FMENTP3004,HYPOPHARYNGOSCOPY WITH BIOPSY,1535,1842
FMENTP3005,LASER TONSILLECTOMY,1914,2297
FMENTP3006,LASER PALATOPLASTY,5095,6114
FMENTP3007,LASER EXCISSION OF BENIGN TUM. OF THE PHARYNX,3190,3828
FMENTP3008,CRICO-PHARYNGEAL MYOTOMY,3366,4040
FMENTP3009,LASER EXCISSION OR LINGUAL,2426,2912
FMENTP3010,EXCISION OF ELONGATED STYLOID  PROCESS,1700,2040
FMENTP3011,LASER ASSISTED UVULOPALATOPLAS TY W/O TONSILECTOMY (LAUP),3300,3960
FMENTP3012,LASER ASSISTED UVULOPALATOPLAS TY WITH TONSILECTOMY,3080,3696
FMENTP3013,PRE-OPERATIVE EVALUATION OF    OSAS,1403,1684
FMENTP3014,POST OPERATIVE EVALUATION OF   OSAS,996,1196
FMENTP3015,PRE & POST EVALUATION OF OSAS,2101,2522
FMENTP3016,C P A P,2519,3023
FMENTR0001,RADIO FREQENCY APPLIACATION TO INFERIOR TURBINATES (UNILATERA,2101,2522
FMENTR0002,RADIO FREQUENCY APPLICATION TO INFERIOR TURBINATES (BILATERAL,2800,3360
FMENTR0003,RADIO FREQUENCY APPLICATION TO THE PALATE,2800,3360
FMENTR0004,RADIO FREQUENCY APPLICATION TO THE TONGUE,2800,3360
FMENTR0005,RADIO FREQUENCY APPLICATION TO THE  INFERIOR TURBINATES AND P,3353,4024
FMENTR0006,RADIO FREQUENCY APPLICATION TO THE INFERIOR TURBINATES AND PA,3353,4024
FMENTR0007,RADIO FREQUENCY APPLICATION IN FERIOR TURB. TONGUE AND PALATE,4466,5360
FMENTR0008,RADIO FREQUENCY APPLICATION TO THE PALATE AND TONGUE,3353,4024
FMENTS0001,ANTRAL PUNCTURE + WASH-UNILAT.,385,462
FMENTS0002,ANTRAL PUNCTURE + WASH-BILAT.,644,773
FMENTS0003,INTRANASAL ANTROSTOMY-BILAT.,1535,1842
FMENTS0004,INTRANASAL ANTROSTOMY -UNILAT.,897,1077
FMENTS0005,ANTRAL SINUSCOPY - UNILATERAL,897,1077
FMENTS0006,ANTRAL SINUSCOPY - BILATERAL,1535,1842
FMENTS0007,EXCISION OF LESION MAXILLARY   SINUS BY SINUSCOPY,1276,1532
FMENTS0008,EXCISN OF LESION OF MAXILLARY  SINUS BY EXT. AX. ANTROTOMY,1535,1842
FMENTS0009,CALDWELL-LUC OPERATION,2811,3374
FMENTS0010,TRANSANTRAL APPROACH FOR CORR- ECTION BLOW-OUT FRACT. ORBIT,3190,3828
FMENTS0011,BIOPSY OF MAXILLIARY SINUS,1276,1532
FMENTS0012,RADICAL MAXILLECTOMY,6120,7344
FMENTS0013,REPAIR OF ORO-ANTRAL FISTULA,3058,3670
FMENTS0014,ETHMOID SINUSCOPY,1023,1228
FMENTS0015,TRANSNASAL ETHMOIDECTOMY,3190,3828
FMENTS0016,TREPHINE OF THE FRONTAL SINUS,1276,1532
FMENTS0017,EXTERNAL OPERATION ON FRONTAL  ETHMOIDAL & SPHENOID SINUSES,4074,4889
FMENTS0018,BONY TUMOURS OF NASAL SINUSES- BENIGN,4074,4889
FMENTS0019,BONY TUMPURS OF NASAL SINUSES- MALIGNANT,6120,7344
FMENTS0020,ENDOSCOPIC SINUS SURGERY,3058,3670
