ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2,  PRICE ,additional date
FMDER-4063,Skin Cleaning - Three Sessions,0,Service,90676-00-00,750,
FMDER-4064,Stem Cells Injection - Face - 1 Session,0,Service,90676-00-00,1200,
FMDER-4066,Botox Injection - Full Face,0,Service,90676-00-00,1250,
FMDER-4068,Stem Cells Injection - Hair - 2 Sessions,0,Service,90676-00-00,2400,
FMDER-4072,Gold Plasma Treatment - 1 Session,0,Service,90676-00-00,1400,
FMDER-4076,Mesotherapy For Face - 1 Session,0,Service,90676-00-00,400,
FMDER-4077,Mesotherapy For Hair - 1 Session,0,Service,90676-00-00,400,
FMDER-4082,Peeling Package,0,Service,90676-00-00,2000,
FMDER-4084,Mesotherapy For Face - 5 Sessions,0,Service,90675-00-00,1500,
FMDER-4085,Fractional Laser - 3 Session,0,Service,90676-00-00,1500,
FMDER-4090,Stem Cells Injection - Hair -1 Session,0,Service,90676-00-00,1000,
FMDER-4111,Pulsed Dye Laser ( Medium ),0,Service,90676-00-00,835,
FMDER-4112,Pulsed Dye Laser ( Large ),0,Service,90676-00-00,1190,
FMDER-501,Cold Peeling Meladeep ,0,Service,45019-00-00,1000,
FMDER-502,Cold Peeling Meladeep + Cream  ,0,Service,45019-00-00,1100,
FMDER-503,Cold Peeling Dermamelan ,0,Service,45019-00-00,1000,
FMDER-504,Cold Peeling Dermamelan + Mask ,0,Service,45019-00-00,1100,
FMDER-505,Cold Peeling Dermamelan + Mask + Treatment ,0,Service,45019-00-00,1800,
FMDER-506,Cold Peeling Dermamelan + Treatment ,0,Service,45019-00-00,900,
FMDER-9986,Laser Hair Removal - Axilae,0,Service,90676-00-00,575,
FMDERH0001,Hair Loss (Tsh- Vit. D -Iron -Cbc - Zn),0,Service,73050-39-70,500,
FMDERH002,Rocktan Analysis,0,Service,83700-00-00,450,
FMDERM0005,Chemical Peeling - Tca,0,Service,90676-00-00,335,
FMDERMU01,Carbon Peel Laser1 Session + Mesotherapy 1St Session With Roller + Hydrafacial 1 Session,0,Service,45019-00-00,550,
FMDERMU02,Carbon Peel Laser. 1 Session+ Platelet Rich Plasma (Prp) 1 Session+ Mesotherapy For Face - 1 Sessi,0,Service,45019-00-00,1050,
FMDERMU06,3 Sessions Laser Facial Hair Removal+3 Eye Brow Definition Laser,0,Service,45669-00-10,450,
FMDERP0002,Platelet Rich Plasma (Prp) 1 Session,0,Service,92062-00-00,4930,
FMDERP0003,Body Sculpting - Elixis Elite Machine - One Session,0,Service,90676-00-00,525,
FMDERP0004,Body Sculpting - Elixis Elite Machine - 5 Sessions,0,Service,90676-00-00,2100,
FMDERP0005,Face Sculpting - Elixis Elite Machine - One Sessions,0,Service,90676-00-00,735,
FMDERP0006,Face Sculpting - Elixis Elite Machine - 5 Sessions,0,Service,90676-00-00,3150,
FMDERP0014,Dermal Filler 1Ml,0,Service,90676-00-00,1095,
FMDERP0015,Dermal Filler 2Ml,0,Service,90676-00-00,2095,
FMDERP0016,Dermal Filler 3Ml,0,Service,90676-00-00,3095,
FMDERP0020,Fractional Laser,0,Service,90676-00-00,395,
FMDERSP006,Trichoslasis Spinolosa Treatment,0,Service,90676-00-00,70,
FMDERSP011,Radio Frequency Therapy For Past Acne,0,Service,90676-00-00,400,
FMDERT-0001,Laser Full Body Pkg - 3 Sessions,0,Service,90676-00-00,2000,
FMDERT-0002,"Laser Hair Removal (Bikini, Underarms & Mustache) - 3 Sessions",0,Service,90676-00-00,800,
FMDERT-0003,Laser Hair Removal - Face - 3 Sessions,0,Service,90676-00-00,600,
FMDERT-0004,Laser Hair Removal - Three Areas,0,Service,90676-00-00,500,
FMDERT-0010,Laser Hair Removal - Full Body - One Session,0,Service,90676-00-00,700,
FMDERT-0011,"Laser Hair Removal (Bikini, Underarms & Mustache) - One Session",0,Service,90676-00-00,300,
FMDERT-0012,Laser Hair Removal - Face - One Session,0,Service,90676-00-00,200,
FMDERT-0013,Laser Hair Removal -Bikini,0,Service,90676-00-00,250,
FMDNL-0003,Full Denture(Upper & Lower),0,Service,97711-00-00,970,
FMDNL-0006,Additional Tooth Each(Acrylic),0,Service,97765-00-00,85,
FMDNL-0007,Partial Denture First Tooth,0,Service,97727-00-00,170,
FMDNL-0008,Additional Tooth Each Porcelain,0,Service,97765-00-00,135,
FMDNL-0009,Repair Full Or Partial Denture,0,Service,97764-00-00,160,
FMDNL-0010,"Full Denture, Upper Or Lower",0,Service,97711-00-00,170,
FMDNL-0015,Full Denture Chrome Cobalt,0,Service,97727-00-00,1185,
FMDNL-0016,Jacket Crown Acrylic,0,Service,97611-01-00,170,
FMDNL-0017,"Jacket Crown, Isosit",0,Service,97613-01-00,225,
FMDNL-0018,"Jacket Crown, Porcelain",0,Service,97613-01-00,260,
FMDNL-0019,Inlay/Onlay Cast Core + Post,0,Service,97625-10-00,260,
FMDNL-0020,Ceramic Fused Non-Precious Metal Cast,0,Service,90595-00-00,2320,
FMDNL-0021,Isosit Cast Non-Pre Metal,0,Service,97613-02-00,415,
FMDNL-0023,Splint - Acrylic,0,Service,97772-00-00,260,
FMDNL-0026,Andersen Activator,0,Service,97575-00-00,505,
FMDNL-0027,Study Models,0,Service,97071-00-00,260,
FMDNL-0029,Veneer Crown Cast W/ Acrylic Face,0,Service,97582-01-00,260,
FMDNL-0030,Veneer Crown Cast W/ Isosit Face,0,Service,97631-00-00,260,
FMDNL-0031,Acrylic Partial Denture 2 Teeths,0,Service,97765-00-00,260,
FMDNL-0033,Com. Denture Chrome Cobalt W/Teeth,0,Service,97765-00-00,2315,
FMDNL-0035,Chrome Cobalt Pist Two Teeth,0,Service,97727-00-00,635,
FMDNL-0036,Chrome Cobalt Pist Three Teeth,0,Service,97727-00-00,750,
FMDNL-0037,Chrome Cobalt Pist Four Teeth,0,Service,97727-00-00,970,
FMDNL-0038,Chrome Cobalt Five Teeth,0,Service,97727-00-00,1185,
FMDNL-0039,Porcelain With Precious Metal,0,Service,97613-04-00,635,
FMDNL-0040,Porcelain W/Non-Precious Metal,0,Service,97613-04-00,415,
FMDNL-0041,Veneer Crown Cast Porcelain,0,Service,97631-00-00,355,
FMDNL-0042,Full Denture (Upper & Lower),0,Service,97711-00-00,970,
FMDNL-0043,Acrylic Partial Denture 1 Unit,0,Service,97721-00-00,170,
FMDNL-0044,Additional Tooth,0,Service,97765-00-00,110,
FMDNL-0045,Acr.Partial Denture .8 Teeths & 1/2 Den,0,Service,97765-00-00,415,
FMDNL-0047,Reline (Upper & Lower),0,Service,97743-00-20,260,
FMDNL-0050,Retainer,0,Service,97731-00-00,415,
FMDNL-0053,Reline (Upper Or Lower),0,Service,97743-00-20,260,
FMDNL-0058,Ear Mold, ,Service,41557-02-02,260,
FMDNL-0059,Ear Plug, ,Service,41647-01-00,260,
FMDNT00038,Removal Of Fixed Appliance,0,Service,97874-00-10,825,
FMDNT-1001,Daycare Supervision,0,Service,83700-00-00,185,
FMDNT-2000,Additional Fee For Complicated Operations G.A, ,Service,97015-00-00,2670,
FMDNT-3000,Incision & Drainage Under La (Minor),DAY CASE,PKG,30223-02-10,1200,
FMDNT-3001,Incision & Drainage Under La (Complicated),DAY CASE,PKG,45054-00-00,2467.5,
FMDNT-3002,Incision & Drainage Under Ga,1,PKG,96215-00-20,5670,
FMDNT-3003,Closure Oroantral Fistula Under La (Minor),DAY CASE,PKG,41722-00-01,3417.75,
FMDNT-3004,Closure Oroantral Fistula Under Ga (Major),2,PKG,41722-00-02,11088,
FMDNT-3005,Enucleation Of Cystic Lesion + Histopathology,1,PKG,83700-00-00,11088,
FMDNT-3006,Enucleation Of Cystic Lesion + Histopathology + Bone Graft,1,PKG,83700-00-00,20328,
FMDNT-3007,General Anesthesia For Pediatric Dental Treatment (Medium),DAY CASE,PKG,92514-99-00,1974,
FMDNT-3008,General Anesthesia For Pediatric Dental Treatment (Major),DAY CASE,PKG,92514-99-00,2898,
FMDNT-3009,General Anesthesia For Pediatric Dental Treatment (Fine Major),DAY CASE,PKG,92514-99-00,3906,
FMDNT-3010,Commando Operation (Mandibulectomy+ Reconstruction Of The Bony Defect With Palte And Screws),5,PKG,45608-03-00,30000,
fmdnt-3011,Treatment Of Acute Periodontal Infection – Per Appointment,0,Service,97213-00-00,5100,
fmdnt-3012,Complete Chemo-Mechanical Preparation Of Root Canal   Each Additional Canal,0,Service,97416-00-00,264,
fmdnt-3013,Root Canal Obturation – Each Additional Canal,0,Service,97418-00-00,132,
FMDNTC0004,Marsupialization Of Cyst,2,PKG,97379-00-00,4500,
FMDNTC0005,Plastic Closure Of Chronic     Skin  Fistula,1,PKG,41722-00-02,3000,
FMDNTC0006,Closure Of Accidental Opening  Of Max. Sinus (Small),1,PKG,41722-00-01,2500,
FMDNTC0007,Closure Of Accidental Opening  Of Max. Sinus (Large),1,PKG,41716-04-00,4000,
FMDNTC0009,Caldwell-Luc Operation,1,PKG,41710-00-00,5500,
FMDNTC0017,Lingual Frenectomy (Tongue Tie),1,PKG,30278-02-00,2000,
FMDNTC0018,Removal Of Denture Fissuratum  Small,2,PKG,97663-00-00,1400,
FMDNTC0020,Removal Of Tores Palatinus Sml,1,PKG,45825-00-00,3000,
FMDNTC0021,Remov. Of Tores Palatinus Lrge,1,PKG,45825-00-00,5000,
FMDNTC0024,Vestibuloplasty 1/2 Jaw,1,PKG,45837-01-00,3000,
FMDNTC0025,Vestibuloplasty With Graft(Mm),1,PKG,45837-01-00,4000,
FMDNTC0026,Lowering Of The Floor Of Mouth,1,PKG,45837-01-00,5000,
FMDNTC0028,Removal Of Salivary Calcul.Ant,1,PKG,30266-02-00,2000,
FMDNTC0029,Remval Of Salivary Calcul.Post,1,PKG,30266-02-00,3000,
FMDNTC0030,Enucleation Of Mucocele,1,PKG,30283-00-00,2000,
FMDNTC0035,Surgical Excision  Of Intra-Oral Tumour Small,1,PKG,30275-00-00,3000,
FMDNTC0036,Surgical Excision Of Intraoral Tumour Medium,1,PKG,30275-00-00,4000,
FMDNTC0037,Surgical Excision Of Intraoral Tumour Large,1,PKG,30275-00-00,5000,
FMDNTC0040,Removal Of Foreign Body,1,PKG,92201-00-00,2000,
FMDNTC0041,Removal Of Plate Or Wires Of   Old Fracture,1,PKG,47927-00-01,2500,
FMDNTC0047,Biopsy Of Soft Tissue,1,PKG,30075-01-01,2000,
FMDNTC0056,Rotation Flap (Moderate),1,PKG,45200-00-00,3000,
FMDNTC0057,Rotation Flap (Large),1,PKG,45200-00-00,5000,
FMDNTC0058,Transposition Flap (Small),2,PKG,45239-00-00,5000,
FMDNTC0059,Transposition Flap (Moderate),2,PKG,45239-00-00,6500,
FMDNTC0060,Transposition Flap (Large),2,PKG,45239-00-00,8000,
FMDNTC0085,Dressing Of Wound (Large),1,PKG,30055-00-30,5000,
FMDNTC0086,Non-Surgical Treatment Of T.M. J. Clinical Reciprocal,1,PKG,45875-00-00,7000,
FMDNTC100,External Sinus Lift W/ Autogenous Graft,1,PKG,45841-00-00,8000,
FMDNTC101,Distraction Osteogenesis (Per Side),3,PKG,52420-00-00,20000,
FMDNTC102,Double Jaw (Orthognathic),4,PKG,90569-00-01,60000,
FMDNTC103,Dento -  Alveolar Fracture Fixation - Iii,1,PKG,90530-00-00,5000,
FMDNTC104,Dento - Alveolar Fracture Fixation - I,1,PKG,90530-00-00,3000,
FMDNTC105,Dento - Alveolar Fracture Fixation - Ii,1,PKG,90530-00-00,4000,
FMDNTC106,Chin Bone Harvest,1,PKG,48239-00-00,7000,
FMDNTC107,Arthrocenthesis (One Side),1,PKG,45865-00-00,15000,
FMDNTC108,Arthrocenthesis (Two Sides),2,PKG,45865-00-00,30000,
FMDNTC90,Ramus Bone Harvest,1,PKG,48239-00-00,7000,
FMDNTC91,Soft Tissue Grafting ( Per Site ),1,PKG,48239-00-00,6000,
FMDNTC92,Tmj - Follow Up Visit,1,PKG,97012-00-00,300,
FMDNTC93,Tmj Exam + Articulation,1,PKG,97011-00-00,2000,
FMDNTC94,Inernal Sinus Lift ( Per Site ),1,PKG,45841-00-00,4000,
FMDNTC95,Insicional Biopsy ( Hard Tissue ),1,PKG,96215-00-00,7000,
FMDNTC96,Insicional Biopsy ( Soft Tissue ),1,PKG,96215-00-00,5000,
FMDNTC97,Genioplasty Stand Alone Procedure,3,PKG,45761-00-00,25000,
FMDNTC98,Exposure Of Impact Canine,1,PKG,97324-01-10,3000,
FMDNTC99,External Sinus Lift ( Allograft),1,PKG,45841-00-00,6000,
FMDNTF0001,Amalgam Filling One Surface, ,Service,97521-01-00,470,
FMDNTF0002,Amalgam Filling Two Surfaces, ,Service,97521-01-00,580,
FMDNTF0003,Amalgam Filling > 2 Surfaces, ,Service,97521-01-00,735,
FMDNTF0004,Amalgam Core, ,Service,97625-10-00,835,
FMDNTF0005,Reinforcement Each Pin, ,Service,97575-00-00,185,
FMDNTF0006,Composite Filling - Simple,0,Service,97521-01-00,369.6,
FMDNTF0007,Composite Filling Compound,0,Service,97511-01-00,446.25,
FMDNTF0008,Composite Core, ,Service,97625-10-00,727.65,
FMDNTF0009,Temporary Filling,0,Service,97572-01-00,103.95,
FMDNTF0010,Children Tooth Filling One Surface, ,Service,97521-01-00,315,
FMDNTF0011,Children Tooth Filling Two Surfaces, ,Service,97521-02-00,470,
FMDNTF0012,Flouride Treatment (Children) Per Visit,0,Service,97281-00-00,470,
FMDNTF0013,Ketac Filling One Surface, ,Service,97572-01-00,580,
FMDNTF0014,Ketac Filling Two Surface, ,Service,97572-01-00,473.55,
FMDNTF0015,Child. Ketac Filling 1 Surface, ,Service,97572-01-00,470,
FMDNTF0016,Child. Ketac Filling 2 Surface, ,Service,97572-01-00,580,
FMDNTF0018,Pit And Fissure Sealing,0,Service,97161-00-00,520,
FMDNTF0019,Desensitization Of Teeth,0,Service,97165-01-00,365,
FMDNTM0001,Scaling, ,Service,97281-00-10,470,
FMDNTM0002,Polishing,0,Service,97111-00-00,470,
FMDNTM0003,Scaling And Polishing,0,Service,97281-00-10,835,
FMDNTM0004,Gum Treatment Quad. (Mild), ,Service,97281-00-10,727.65,
FMDNTM0005,Gum Treatment Quad. (Moderate), ,Service,97281-00-10,907.2,
FMDNTM0006,Gum Treatment Quad. (Severe), ,Service,97281-00-10,1097.25,
FMDNTM0007,Root Planning Curretage Quad, ,Service,97222-00-00,1370,
FMDNTM0008,Gingivectomy Or Gingivoplasty/Quadrant,0,Service,97231-01-00,1485,
FMDNTM0009,Reverse Bevel Gingivectomy/Quadrant,0,Service,97231-01-00,2520,
FMDNTM0010,Sliding Flap Operation 1/4 Jaw,0,Service,97232-00-10,1100,
FMDNTM0012,Reconstruction Of Periodontal Bone Defect Quadrant,0,Service,97989-00-10,2315,
FMDNTM0013,Local Treatment Of Oral Lesion Small, ,Service,97989-00-10,260,
FMDNTM0014,Local Treatment Of Oral Lesion Medium, ,Service,97989-00-10,505,
FMDNTM0015,Local Treatment Of Large, ,Service,97989-00-10,580,
FMDNTM0016,Occlussal Adjustment, ,Service,97961-00-00,1100,
FMDNTM0017,Smoothing Of Sharp Edge, ,Service,97113-00-00,315,
FMDNTM0018,Whitening One Session,0,Service,97118-00-00,500,
FMDNTM0019,Whitening Two Session,0,Service,97118-00-00,2580,
FMDNTM0020,Whitening Three Session,0,Service,97118-00-00,3335,
FMDNTM0021,Bleaching (One Tooth),0,Service,97118-00-00,1185,
FMDNTM0022,Bleaching (Two Teeth),0,Service,97118-00-00,1670,
FMDNTM0023,Consultation + Scaling + Bleaching,0,Service,97281-00-10,200,
FMDNTN0055,Apicectomy – Per Root,0,Service,97432-00-00,1550,
FMDNTN0057,Removal Of Root Filling – Per Canal,0,Service,97451-00-00,1300,
FMDNTN0058,Metallic Restoration One Surface Direct,0,Service,97511-01-00,275,
FMDNTN0059,Metallic Restoration Two Surfaces Direct,0,Service,97511-01-00,360,
FMDNTN0060,Metallic Restoration Three Surfaces Direct,0,Service,97511-01-00,460,
FMDNTN0062,Adhesive Restoration One Surface Anterior Tooth Direct, ,Service,97521-01-00,360,
FMDNTN0063,Adhesive Restoration Two Surfaces Anterior Tooth Direct,0,Service,97521-01-00,540,
FMDNTN0065,Adhesive Restoration Four Surfaces Anterior Tooth Direct, ,Service,97521-01-00,750,
FMDNTN0066,Adhesive Restoration Veneer Anterior Tooth Direct,0,Service,97582-01-00,360,
FMDNTN0067,Adhesive Restoration One Surface Posterior Tooth Direct, ,Service,97521-01-00,360,
FMDNTN0068,Adhesive Restoration Two Surfaces Posterior Tooth Direct, ,Service,97521-01-00,540,
FMDNTN0069,Adhesive Restoration Three Surfaces Posterior Tooth Direct, ,Service,97521-01-00,720,
FMDNTN0071,Provisional (Intermediate/Temporary) Restoration – Per Tooth, ,Service,97281-00-10,90,
FMDNTN0074,Crown – Metallic – Minimal Tooth Preparation – Preformed,0,Service,97618-01-00,650,
FMDNTN0076,Removal Of Indirect Restoration,0,Service,97595-00-00,350,
FMDNTN0077,Recementing Of Indirect Restoration,0,Service,97596-00-10,250,
FMDNTN0079,Full Crown Non-Metallic Indirect,0,Service,97613-07-00,3205,
FMDNTN0082,Post And Core For Crown Indirect,0,Service,97625-10-00,200,
FMDNTN0084,Post And Root Cap Indirect,0,Service,97629-00-00,185,
FMDNTN0092,Recementing Crown Or Veneer,0,Service,97651-00-00,90,
FMDNTN0111,Partial Maxillary Denture – Resin Base,0,Service,97721-00-00,810,
FMDNTN0133,Cleaning And Polishing Of Pre-Existing Denture,0,Service,97753-00-00,110,
FMDNTN0167,Sedation – Intravenous – Per 30 Minutes,0,Service,92515-99-00,450,
FMDNTO0002,Grade I Maloccl. 1St Depotsit,0,Service,97343-00-00,9610,
FMDNTO0004,Grade I Maloccl. 3Rd Deposit,0,Service,97963-00-00,4900,
FMDNTO0005,Grade Ii Malocclussion Total Rem. Stage I,0,Service,97963-00-00,23255,
FMDNTO0009,Grade Iii Malocclussion Total,0,Service,97968-00-00,27910,
FMDNTO0013,Grade Iv Malocclussion Total,0,Service,97968-00-00,32545,
FMDNTO0017,Grade V Malocclussion Total,0,Service,97963-00-00,37190,
FMDNTO0021,Grade Vi Malocclussion Total,0,Service,97961-00-00,41830,
FMDNTO0025,Grade Vii Malocclussion Total,0,Service,97343-00-00,45600,
FMDNTO0029,Clicking Tmj[Fjo], ,Service,50115-00-00,7330,
FMDNTO0030,Retainer Upper Or Lower,0,Service,97649-00-00,1320,
FMDNTO0034,Space Maintainer Simple,0,Service,97845-00-00,1320,
FMDNTO0052,Night Guard,0,Service,97965-00-00,315,
FMDNTP0001,Temporary Acrylic Crown,0,Service,97611-01-00,315,
FMDNTP0002,Temporary Ready Made Crown,0,Service,97631-00-00,580,
FMDNTP0003,Temporary Metalic Crown,0,Service,97618-01-00,835,
FMDNTP0005,Isosit Jacket Crown,0,Service,97615-10-00,1100,
FMDNTP0006,Isosit Veneer Crown,0,Service,97615-10-00,1370,
FMDNTP0007,Metalic Casting Crown,0,Service,97613-04-00,1370,
FMDNTP0008,Porcelain Facing Jacket,0,Service,97631-00-00,1640,
FMDNTP0009,Porcelain Facing Crown,0,Service,97615-10-00,1905,
FMDNTP0010,Porcelain Jacket Crown,0,Service,97615-10-00,2750,
fmdntp0011,Procelain Crown (Type I),0,Service,97615-10-00,1250,
FMDNTP0012,Procelain Crown (Type Ii),0,Service,97615-10-00,1994.3,
FMDNTP0013,Porcelain Crown (Type Iii), ,Service,97615-10-00,3630,
FMDNTP0014,Porcelain Crwon (Type Iv),0,Service,97615-10-00,4130,
FMDNTP0015,Porcelain Jacket Precious Metal,0,Service,97989-00-10,4650,
FMDNTP0016,Porcelain Crown Precious Metal,0,Service,97613-07-00,5140,
FMDNTP0017,Inlay Metallic,0,Service,97541-01-00,1370,
FMDNTP0018,Inlay Metallic 2 Surfaces,0,Service,97541-01-00,1640,
FMDNTP0019,Inlay Metallic 3 Surfaces,0,Service,97541-01-00,1905,
FMDNTP0020,Onlay Core + Post,0,Service,97625-10-00,2935,
FMDNTP0021,Additional Post, ,Service,97625-20-00,835,
FMDNTP0022,Metallic Crown 3/4,0,Service,97613-04-00,3380,
FMDNTP0023,Cementation Of Crown,0,Service,97651-00-00,185,
FMDNTP0025,Removal Of Bridge,0,Service,97656-00-00,470,
FMDNTP0026,Full Denture Acrylic Type I,0,Service,97711-00-00,5855,
FMDNTP0027,Full Denture Acrylic Type Ii,0,Service,97711-00-00,8820,
FMDNTP0028,Full Denture Acrylic Type Iii,0,Service,97711-00-00,12590,
FMDNTP0029,Acrylic Denture Upper/Lower I,0,Service,97721-00-00,3870,
FMDNTP0030,Acrylic Denture Upper/Lower Ii,0,Service,97721-00-00,5140,
FMDNTP0031,Acrylic Denture Upper/Lower Iii,0,Service,97721-00-00,7710,
FMDNTP0032,Partial Denture Acrylic 1 Tooth,0,Service,97765-00-00,835,
FMDNTP0033,Partial Denture Acrylic 2 Teeth,0,Service,97765-00-00,1250,
FMDNTP0034,Partial Denture Acrylic 3 Teeth,0,Service,97765-00-00,1640,
FMDNTP0035,Partial Denture Acrylic Extra Teeth,0,Service,97765-00-00,470,
FMDNTP0036,Complete Denture Vitalium Type I,0,Service,97711-00-00,15090,
FMDNTP0037,Completel Denture Vitalium Type Ii,0,Service,97711-00-00,20095,
FMDNTP0038,Complete Denture Vitalium Type Iii,0,Service,97711-00-00,24425,
FMDNTP0039,Upper/Lower Dental Vitallium Type I,0,Service,97989-00-10,10070,
FMDNTP0040,Upper/Lower Denture Vitalium Type Ii,0,Service,97989-00-10,12590,
FMDNTP0041,Upper/Lower Denture Vitalium Type Iii,0,Service,97989-00-10,15090,
FMDNTP0042,Vitalium Chrome Cobalt One Tooth,0,Service,97989-00-10,2155,
FMDNTP0043,Vitalium Chrome Cobalt Two Tooth,0,Service,97989-00-10,2670,
FMDNTP0044,Extra Vitalium Teeth,0,Service,97989-00-10,580,
FMDNTP0045,Vitalium Clasp,0,Service,97761-00-00,835,
FMDNTP0046,Vitalium Bar,0,Service,97762-00-00,1370,
FMDNTP0047,Relining Of Partial Denture,0,Service,97743-00-20,580,
FMDNTP0048,Relining Of Upper/Lower Denture,0,Service,97743-00-20,1100,
FMDNTP0049,Relining Of Complete Denture,0,Service,97743-00-20,1640,
FMDNTP0050,Repair Of Broken Partial Denture,0,Service,97764-00-00,835,
FMDNTP0051,Repair Of Broken Denture,0,Service,97764-00-00,1100,
FMDNTP0052,Repair Of Clasp,0,Service,97762-00-00,470,
FMDNTP0053,Repair Of Casting Clasp,0,Service,97876-00-00,735,
FMDNTP0055,Lateral Training Flange,0,Service,97812-01-00,2670,
FMDNTP0058,Mouth Gaurd,0,Service,97151-00-00,1640,
FMDNTP0060,Splint - Acrylic I,0,Service,97772-00-00,1370,
FMDNTP0061,Splint Acylic Ii,0,Service,97772-00-00,2670,
FMDNTP0062,Splint Acylic Iii,0,Service,97772-00-00,3870,
FMDNTP0063,One Surface Ceramic Filling,0,Service,97521-01-00,580,
FMDNTP0064,Two Surfaces Ceramic Filling,0,Service,97521-02-00,835,
FMDNTP0065,Three Surfaces Ceramic Filling,0,Service,97521-02-00,1100,
FMDNTP0066,Vener Face Ceramic,0,Service,97541-01-00,2670,
FMDNTP0067,Vener Cerec Filling,0,Service,97582-01-00,580,
FMDNTP0068,Study Model,0,Service,97071-00-00,580,
FMDNTP0069,Veener Face Ceramic,0,Service,97541-01-00,1400,
FMDNTP0070,Veneer Cerec Filling,0,Service,97521-01-00,580,
FMDNTP0071,Bleaching Teeth,0,Service,97118-00-00,1575,
FMDNTP0072,Oral Mucosal Lesions,0,Service,90141-01-10,190,
FMDNTP0073,Fissure Sealent Teeth,0,Service,97161-00-00,275,
FMDNTP0074,Single Porcelain Tooth,0,Service,97551-02-00,700,
FMDNTP0075,Space Mainteiner Pedo (Simple),0,Service,97845-00-00,1015,
FMDNTP0076,Space Mainteiner Pedo (Compound),0,Service,97845-00-00,1670,
FMDNTP0077,Habit Breaking Appliance (Acrylic),0,Service,97575-00-00,1670,
FMDNTP0078,Posterior Crossbite Appliance,0,Service,97575-00-00,1670,
FMDNTP0079,Anterior Crossbite Appliance,0,Service,97575-00-00,1670,
FMDNTP0080,Topical Application Of Fluoride,0,Service,97121-01-00,250,
FMDNTP0081,Inceram Crown,0,Service,97615-10-00,4045,
FMDNTP0082,High Ceram Crown,0,Service,97615-10-00,4045,
FMDNTP0083,Zirconium Crown Anterior,0,Service,97613-07-00,4850,
FMDNTP0084,Zirconium Crown Posterior,0,Service,97613-07-00,5655,
FMDNTP0085,Metal Post,0,Service,97625-20-00,1015,
FMDNTP0086,Additional Metal Post,0,Service,97625-20-00,700,
FMDNTP0087,Fiber Optic Post,0,Service,97625-20-00,520,
FMDNTP0088,Additional Fiberoptic Post,0,Service,97625-20-00,365,
FMDNTP0089,Stainless Steel Crown,0,Service,97613-04-00,484.884847125,
FMDNTP0090,Fissure Sealant,0,Service,97161-00-00,365,
FMDNTP0091,Ready Made Post (For Children), ,Service,97597-00-00,1350,
FMDNTP0093,In Clinic Bleaching,0,Service,97117-00-00,600,
FMDNTP0094,In Home Bleaching,0,Service,97119-00-00,885,
FMDNTP0097,Crown Lengthening 1 Tooth,0,Service,97238-00-00,2100,
FMDNTP0098,Crown Lengthening For Extra Teeth,0,Service,97238-00-00,1050,
FMDNTR0001,Root Canal Treatment 1 Root, ,Service,97415-00-00,1650,
FMDNTR0002,Root Canal Treatment 2 Roots,0,Service,97416-00-00,1370,
FMDNTR0003,Root Canal Treatment 3 Or More,0,Service,97416-00-00,1617,
FMDNTR0004,Root Canal Treatment Infected Tooth 1 Root, ,Service,97415-00-00,1370,
FMDNTR0005,Root Canal Treatment Infected Tooth 2 Roots, ,Service,97416-00-00,1905,
FMDNTR0006,Root Canal Treatment Infected Tooth 3 Roots Or More, ,Service,97416-00-00,2400,
FMDNTR0007,Rct And Filling One Root, ,Service,97415-00-00,1796.5500000000002,
FMDNTR0008,Rct And Filling Two Roots, ,Service,97416-00-00,3240,
FMDNTR0009,Rct And Filling Three Roots, ,Service,97416-00-00,2079,
FMDNTR0010,Rct Decidious Molar, ,Service,97421-00-00,1260,
FMDNTR0011,Rct Decidious Teeth, ,Service,97421-00-00,1015,
FMDNTR0012,Pulpotomy (Children), ,Service,97414-00-00,473.55,
FMDNTR0013,Ready-Made Post,0,Service,97625-20-00,315,
FMDNTR0014,Retreatment One Root Canal,0,Service,97989-00-10,1050,
FMDNTR0015,Retreatment Two Root Canal,0,Service,97415-00-00,1260,
FMDNTR0016,Root Canal Retreatment 3 Canals,0,Service,97415-00-00,1575,
FMDNTR0019,Remove Old Filling,0,Service,97451-00-00,315,
FMDNTR0020,Remove Old Root One Canal,0,Service,97451-00-00,473.55,
FMDNTR0021,Remove Old Root Two Canals,0,Service,97451-00-00,525,
FMDNTR0022,Remove Old Root Three Canals, ,Service,97451-00-00,630,
FMDNTR0023,Composite Veneer For One Tooth,0,Service,97582-01-00,630,
FMDNTR0024,Snap On Smile,0,Service,97989-00-10,945,
FMDNTR0026,Orthodontic Deposit One,0,Service,97963-00-00,525,
FMDNTR0027,Orthodontic Deposit Two,0,Service,97862-00-00,840,
FMDNTS0002,Additional Fee For Complicated Operation - La, ,Service,83700-00-00,1640,
FMDNTS0003,Additional Fee For Complicated Operation - Ga, ,Service,83700-00-00,2670,
FMDNTS0004,Simple Extraction (Decidious), ,Service,97311-01-00,191.1,
FMDNTS0005,Simple Extraction (Permanent Teeth), ,Service,97311-01-00,1210,
FMDNTS0006,Simple Extraction (Pre Or Post Molar), ,Service,97311-01-00,580,
FMDNTS0007,Simple Extraction Of Remaining Root, ,Service,97311-01-00,735,
FMDNTS0008,Normal External Upper 3Rd Mollar, ,Service,97311-01-00,835,
FMDNTS0009,Normal External Lower 3Rd Molar, ,Service,97311-01-00,995,
