SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
2122019,ENT,ENT SERVICES ,FLEXIBLE OESOPHOAGOSCOPY,منظار داخلي بالأنف,1875.0
2122020,ENT,ENT SERVICES ,FOREIGN BODY REMOVAL - NOSE / EAR,إزالة جسم غريب,150.0
2122021, ENT,ENT SERVICES ,FOREIGN BODY REMOVAL L.A. (THROAT),إزالة جسم غريب من الحنجرة - مخدر موضعى,450.0
2122022,ENT,ENT SERVICES ,FREXIBLE NASAL ENDOSCOPY,منظار داخلي للأنف ( مرن ),300.0
2122023,ENT,ENT SERVICES ,INCISION + DRAINAGE OF QUINZY (L.A),فتح وبذل خراج,900.0
2122024,ENT,ENT SERVICES ,INCISION AND DRAINAGE ,فتح و بذل خراج,375.0
2122025,ENT,ENT SERVICES ,INTRA TYMPANIC STEROID INJECTION (ITSI),حقن الستيرويد (ITSI) داخل غشاء الطبل ,3125.0
2122026,ENT,ENT SERVICES ,LARYNGO-BRONOSCOPY/DIAGNOSTIC, منظار الحنجرة و الشعب الهوائية تشخيصي,1050.0
2122027,ENT,ENT SERVICES ,LARYNGO-BRONOSCOPY/DIAGNOSTIC + BIOPSY, منظار الحنجرة و الشعب الهوائية مع عينه تسيجية,1500.0
2122028,ENT,ENT SERVICES ,LARYNGO-BRONOSCOPY/DIAGNOSTIC + FILM, منظار الشعب الهوائية مع تصوير فلم,1275.0
2122029,ENT,ENT SERVICES ,MASTOID ABSCESS DRAINAGE (L.A.),بدل خراج النتوء الحلمى - مخدر موضعى,900.0
2122030,ENT,ENT SERVICES ,MYRINGOTOMY & GROMMET - OPD,شق طبلة الأذن ( مخدر موضعي ) و تركيب أنبوب تهوية,900.0
2122031,ENT,ENT SERVICES ,MYRINGOTOMY (LOCAL),شق طبلة الأذن ( مخدر موضعي ),375.0
2122032,ENT,ENT SERVICES ,NASAL IRRIGATION DEVICE,غسيل للانف,2250.0
2122033,ENT,ENT SERVICES ,NOSE/SINUS WASH,غسيل للأنف و الجيوب الأنفية,75.0
2122034,ENT,ENT SERVICES ,OTO ACOUSTIC EMISSION OAE,اختبار بارسال اوتو,625.0
2122035,ENT,ENT SERVICES ,OTOCOUSTIC EMISSION,قياس الإرتداد الرنيني للإذن,450.0
2122036,ENT,ENT SERVICES ,POST OPERATIVE FOLLOW UP ENDOSCOPY,منظار للانف بعد العملية,300.0
2122037,ENT,ENT SERVICES ,POSTERIOR NASAL PACK (L.A.),حشو خلفى للانف,1125.0
2122038,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY,قياس السمع توصيلي و عصبي,150.0
2122039,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY (AIR & BONE),قياس السمع التوصيلى والعصبى,450.0
2122040,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY (AIR & BONE) / FOLLOW UP ,مراجعة فحص السمع,225.0
2122041,ENT,ENT SERVICES ,PURE TONE AUDIOMETRY + SPEECH,قياس السمع باستخدام النغمات النقية والكلام,450.0
2122042,ENT,ENT SERVICES ,REPEATED EAR DRESSING FOR OTITIS EXTERNA EACH,غيار متكرر لالتهاب الاذن الخارجية - اذن واحدة,112.5
2122043,ENT,ENT SERVICES ,RIGID ENDOSCOPY + PRINT,منظار صلب و تصوير,525.0
2122044,ENT,ENT SERVICES ,RIGID ENDOSCOPY + STROBOSCOPY,منظار صلب + تحليل ذبيبات الصوت,900.0
2122045,ENT,ENT SERVICES ,RIGID NASAL ENDOSCOPY,منظار داخلي للأنف ( صلب ),300.0
2122046,ENT,ENT SERVICES ,SCREENING AUDIOMETRY,قياس السمع المبدئي,150.0
2122047,ENT,ENT SERVICES ,SINSUS PUNCTURE,بذل الجيوب الأنفية,375.0
2122048,ENT,ENT SERVICES ,SINUS ENDOSCOPY  (ONE TIME) / FOLLOW UP ,مراجعة عمليات منظار الجيوب الأنفية,150.0
2122049,ENT,ENT SERVICES ,SOMNOPLASTY PALATE - CLINIC,سمنوبلستي سقف الحلق  ( عيادة ),5250.0
2122050,ENT,ENT SERVICES ,SOMNOPLASTY PALATE - SECOND,ثاني مرة سمنوبلستي سقف الحلق  ( عيادة ),3750.0
2122051,ENT,ENT SERVICES ,SOMNOPLASTY TOUNGE - CLINIC (1ST STAGE),سمنوبلستى للسان ( عيادة ),9750.0
2122052,ENT,ENT SERVICES ,SOMNOPLASTY TOUNGE - CLINIC (2ND STAGE),سمنوبلستى للسان ثانى مرة ( عيادة ),4500.0
2122053,ENT,ENT SERVICES ,STRENGER TEST,اختبار ستنجر,225.0
2122054,ENT,ENT SERVICES ,SUCTION CLEARANCE,شفط و تنظيف ,75.0
2122055,ENT,ENT SERVICES ,TONE DECAY TEST,فحص تأخر الانعكاس الصوتيى,225.0
2122056,ENT,ENT SERVICES ,TYMPANOMETRY,قياس ضغط الأذن الوسطى,150.0
2122057,ENT,ENT SERVICES ,TYMPANOMETRY / FOLLOW UP ,مراجعة فحص الاذن الوسطى,225.0
2122058,ENT,ENT SERVICES ,TYMPANOMETRY + ACUASTIC REFLEXES,فحص ضغط الاذن الوسطى والارتداد الصوتى,450.0
2122059,ENT,ENT SERVICES ,VESTIBLUAR TEST BATERY,فحص اتزان شامل,8750.0
2122060,ENT,ENT SERVICES ,VESTIBULAR ABSCESS DRAINAGE,تنظيف خراج بالانف,450.0
2122061,ENT,ENT SERVICES ,VESTIBULAR POSITIONING TEST,اختبار توازن وضعي,750.0
2122062,ENT,ENT SERVICES ,VESTIBULAR REHABILATION,تأهيل التوازن,75.0
2122063,ENT,ENT SERVICES ,VIDEO RHINOSCOPY ,تصوير الأنف بالفيديو,900.0
2122064,ENT,ENT SERVICES ,VIDEO LARYNGOSCOPY,فحص الحنجرة بالفيديو,900.0
2122065,ENT,ENT SERVICES ,VEDIO NYSTAGMOGRAPHY (VNG),فحص اتزان,1875.0
2132001,UROLOGY,UROLOGY SERVICES ,CYSTOSCOPY WITH BIOPSY , تنظير المثانه - عيادة خارجية,3200.0
2132002,UROLOGY,UROLOGY SERVICES ,FLEXIBLE / RIGID CYSTOSCOPY, منظـار المثـانـة المـرتــد,2625.0
2132003,UROLOGY,UROLOGY SERVICES ,CYSTOLYSIS IRRIGATION - BLADDER WASH, غـسـيـل المـثـانــة,56.25
2132004,UROLOGY,UROLOGY SERVICES ,CYSTOSCOPY + RETROGRADE URETERIC CATHER UNDER G.A., تنظير المثانه مع وضع قسطرة تحت مخدر عام بالطريق الراجع,1950.0
2132005,UROLOGY,UROLOGY SERVICES ,REMOVAL OF URINERY CATHETER,إزالة القسطرة البولية ,62.5
2132006,UROLOGY,UROLOGY SERVICES ,PENILE DOPPLER TEST, فحـص القـضيـب بالـدوبـلار,1275.0
2132007,UROLOGY,UROLOGY SERVICES ,UROFLOWMETRY , مقيــاس ضـغـط جـريـان البـول,300.0
2132008,UROLOGY,UROLOGY SERVICES ,CYSTOMETRY, مقيــاس ضـغـط الـمـثـانــة,1650.0
2132009,UROLOGY,UROLOGY SERVICES ,CYSTOMETRY AND URETHRAL PRESSURE STUDY, مقيـاس حفـظ المثـانـة و دراسـة ضغـط الإحليل,2100.0
2132010,UROLOGY,UROLOGY SERVICES ,"CYSTOMETRY, URETHRAL PRESSURE STUDY & EMG", مقيـاس حفـظ المثـانـة و دراسـة ضغـط الإحليل تخـطيـط عضـلات كهربـائي,2550.0
2132011,UROLOGY,UROLOGY SERVICES ,VIDEO URODYNAMICS, أختبـار ديناميكية البـول الراجـع,3150.0
2132012,UROLOGY,UROLOGY SERVICES ,INTRA CORPORAL INJECTION WITH DRUG, حـقـن دواء داخل الـقـضــيــب,412.5
2132013,UROLOGY,UROLOGY SERVICES ,DIVERTICULAM - EXCISION OF BLADDER, أسـتـصـال الـرتـوج المثـانـيـة,2625.0
2132014,UROLOGY,UROLOGY SERVICES ,SPS CHANGING (SUPRAPUBIC CATHETHER CHANGING),تغير قسطرة بولية,312.5
2132015,UROLOGY,UROLOGY SERVICES ,SUPRAPUBIC CATHETER,تركيب قسطرة بولية من فوق العانة,625.0
2132016,UROLOGY,UROLOGY SERVICES ,URETHERAL SWAB CULTURE,أخذ عينة من مجرى البول,218.75
2132017,UROLOGY,UROLOGY SERVICES ,URETHRAL DILATION BY METAL DILATORS,توسيع مجرى البول بالموسعات ,750.0
2132018,UROLOGY,UROLOGY SERVICES ,URINARY STENT REMOVAL (CLINIC PROCEDURE ULA),إزالة الدعامة البولية ,2500.0
2142001,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY  (PER PROCEDURE), العلاج الطبيعي (  كل جلسة ),87.5
2142002,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY HYDROTHERAPY, جلسـة عـلاج مـائـي,87.5
2142003,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY EXERCISES, تمـاريــن عـلاجيـة,87.5
2142004,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY CRYOTHERAPY, عــلاج بـالـثـلـج,87.5
2142005,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY MUSCLE STIMULATION, تنـبـيــه عـضــلات,87.5
2142006,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY MASSAGE, مــســاج,87.5
2142007,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY HOT PACKS, كـمــادات حـراريــة,87.5
2142008,PHYSICAL THERAPY,PHYSIOTHERAPY,NERVE CONDUCTION, تـوصـيـل عـصــب,675.0
2142009,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY ULTRASOUND, مـوجـات فـوق الصـوتـيـة,87.5
2142010,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY WAX, شـمـع بـرافيــن,87.5
2142011,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY SHORTWAVE DIATHERMY, مـوجــات قـصـيــرة,87.5
2142012,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY TRACTION, عمليـة الـشـد للعمــود الـفـقـري,87.5
2142013,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY ULTRA VIOLET, أشـعـة فـوق البنـفسجيـة,87.5
2142014,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY STEAM INHALATION, الـعــلاج بـالـبـخــار,87.5
2142015,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY OTHERS, العـلاج الفـزيـائـي ( مـتـفـرقــات ),87.5
2142016,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY CHEST, عـلاج  طـبيـعـي  للـصـدر,87.5
2142017,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY LAZER, لــيـــزر,87.5
2142018,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY INTEREFERENTIAL, تـيـارات مـتـداخـلــة,87.5
2142019,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY TENS, تـنـبـيـه أعــصــاب,87.5
2142020,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY RUSSIAN CURRENT, تـيــار روسن,87.5
2142021,PHYSICAL THERAPY,PHYSIOTHERAPY,SHOCK WAVE THERAPY, العلاج بالموجه التصادمية,300.0
2142022,PHYSICAL THERAPY,PHYSIOTHERAPY,SCANNER LASER, العلاج بالليزر المسحي,187.5
2142023,PHYSICAL THERAPY,PHYSIOTHERAPY,MAGNA THERAPY, العلاج بالموجات المغناطسية,150.0
2142024,PHYSICAL THERAPY,PHYSIOTHERAPY,VASOTRAIN, علاج أمراض الاوعية الدموية الطرفية,300.0
2142025,PHYSICAL THERAPY,PHYSIOTHERAPY,HYDROTHERAPY (WHOLE BODY), العرج المائى ( كامل الجسم ),150.0
2142026,PHYSICAL THERAPY,PHYSIOTHERAPY,HYDROTHERAPY (PART OF BODY), العلاج المائى ( لجزء من الجسم ),75.0
2142027,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY (MORE THAN ONE PART), عـلاج وظـيـفـى لأكـثـر مـن جـزء,300.0
2142028,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY (ONE PART), عـلاج وظـيـفـى لجـزء واحـد,225.0
2142029,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY & PHYSIOTHERAPY (ONE SITTING), عـلاج وظـيـفـي مـع جلـسـة عـلاج طـبيـعـي,412.5
2142030,PHYSICAL THERAPY,PHYSIOTHERAPY,OCCUPATIONAL THERAPY (SPEECH / SWALLOWING), عـلاج وظـيـفـي (تكلم / بلع),412.5
2142031,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY  SESSION (MULTIPLE MODALITIES),,280.0
2142032,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY  6 SESSION (MULTIPLE MODALITIES),,1500.0
2142033,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY INITIAL EVALUATION,,250.0
2142034,PHYSICAL THERAPY,PHYSIOTHERAPY,PHYSIOTHERAPY RE- EVALUATION,,150.0
7112001,NEUROSCIENCE,NEURO. SERVICES ,ELECTROMYOGRAM, رســم عـضــلات,900.0
7112002,NEUROSCIENCE,NEURO. SERVICES ,MOTOR NERVE CONDUCTION VELOCITY - ONE NERVE, سـرعــة تـوصـيـل عـصـب حـركــي,300.0
7112003,NEUROSCIENCE,NEURO. SERVICES ,MOTOR NERVE CONDUCTION VELOCITY - TWO NERVES, سـرعــة تـوصـيـل 2 عـصـب حـركـي ,487.5
7112004,NEUROSCIENCE,NEURO. SERVICES ,MOTOR NERVE CONDUCTION VELOCITY - NERVE SURVEY, سرعة توصيل العصـب الحركـي ,975.0
7112005,NEUROSCIENCE,NEURO. SERVICES ,SENSORY NERVE CONDUCTION VELOCITY - 1 NERVE, سرعة توصيل العصب الحسي ( عصب واحد ),206.25
7112006,NEUROSCIENCE,NEURO. SERVICES ,SENSORY NERVE CONDUCTION VELOCITY - 2 NERVES, سرعة توصيل العصب الحسي ( عصبيـن ),412.5
7112007,NEUROSCIENCE,NEURO. SERVICES ,SENSORY NERVE CONDUCTION VELOCITY - NERVE SURVE, سرعة التوصيل العصبي الحسي ( مسح أعصاب ),1050.0
7112008,NEUROSCIENCE,NEURO. SERVICES ,DECREMENT TEST - 1 NERVE, أختبـار الهبـوب عصـب واحـد,525.0
7112009,NEUROSCIENCE,NEURO. SERVICES ,F-RELFEX - EACH NERVE, المنعـكـس F - لكــل عـصـب,525.0
7112010,NEUROSCIENCE,NEURO. SERVICES ,H-REFLEX - EACH NERVE, المنعـكـس H - لكــل عـصـب,412.5
7112011,NEUROSCIENCE,NEURO. SERVICES ,BLINK REFLEX - EACH SIDE, منـعـكس الأجفـال - لكـل جـانـب ,412.5
7112012,NEUROSCIENCE,NEURO. SERVICES ,SOMATO SENSORY EVOKED POTENTIAL - ONE UPPER LIMB, التحريض للأمن الجسمي الحسي - طرف علوي واحد,1050.0
7112013,NEUROSCIENCE,NEURO. SERVICES ,SOMATO SENSORY EVOKED POTENTIAL - ONE LOWER LIMB, التحريض للأمن الجسمي الحسي - طرف سفلي واحد,1050.0
7112014,NEUROSCIENCE,NEURO. SERVICES ,SOMATO SENSORY EVOKED POTENTIAL - BOTH UPPER OR LOWER LIMB, التحريض للأمن الجسمي الحسي - - كلا الطرفين ( علوى أو سفلي),1650.0
7112015,NEUROSCIENCE,NEURO. SERVICES ,AUDITORY EVOKED POTENTIAL - ADULT, التحريض للأمن السمعي - بـالـغ,1050.0
7112016,NEUROSCIENCE,NEURO. SERVICES ,AUDITORY EVOKED POTENTIAL - INFANT, التحريض للأمن السمعي - رضـيـع,1650.0
7112017,NEUROSCIENCE,NEURO. SERVICES ,VISUAL EVOKED POTENTIAL, التحريض للأمن البصري,1200.0
7112018,NEUROSCIENCE,NEURO. SERVICES ,NAVIGATION,استخدام الملاح الجراحي ,37500.0
7112019,NEUROSCIENCE,NEURO. SERVICES ,THROMBOLYTIC THERAPY IN ACUTE STROKE,مسيلات الجلطه الحادة بالمخ ,18750.0
7112020,NEUROSCIENCE,NEURO. SERVICES ,24H EEG (VIDEO EEG),تخطيط الدماغ ,6250.0
7112021,NEUROSCIENCE,NEURO. SERVICES ,DEEP BRAIN STIMULATION -  SESSION,تحفيز عميق للدماغ – جلسة ,1250.0
2152001,RESPIRATORY,RESPIRATORY THERAPY,FLEXIBLE BRONCHOSCOPY, منظار الشعب الهوائية,5250.0
2152002,RESPIRATORY,RESPIRATORY THERAPY,CHEST PHYSIO. &  POSTURAL DRAINAGE, تمارين للصدر بالجهاز الخاص / بالجلسة,68.75
2152003,RESPIRATORY,RESPIRATORY THERAPY,AIR MIST THERAPY, المعالجة بالهواء الرطب / بالجلسة ,50.0
2152004,RESPIRATORY,RESPIRATORY THERAPY,PULMONARY FUNCTION TEST,اختبار وظائف التنفس ,425.0
2152005,RESPIRATORY,RESPIRATORY THERAPY,SMALL VOLUME NEBULIZER AND INCENTIVE SPIROMETER, قسم نسبي من الأكسجين للإنعاش التنفسي تبخير بجهاز ذو الكمية المحدودة,56.25
2152006,RESPIRATORY,RESPIRATORY THERAPY,O2 THERAPY (COST PER HOUR), عـلاج بألاكسـجـيـن / بالساعة,93.75
2152007,RESPIRATORY,RESPIRATORY THERAPY,O2 THERAPY (COST PER DAY), عـلاج بألاكسـجـيـن / بـالـيـوم,262.5
2152008,RESPIRATORY,RESPIRATORY THERAPY,BLOOD GAS ANALYSIS (POINT OF CARE) ,قياس غازات الدم (في غرف التنويم),231.25
2152009,RESPIRATORY,RESPIRATORY THERAPY,CEREBRAL STIMULATOR, الـمـنـبـه الـدمـاغـي,525.0
2152010,RESPIRATORY,RESPIRATORY THERAPY,SPIROMETRY, مـقـيـاس الـتـنـفــس,1462.5
2152011,RESPIRATORY,RESPIRATORY THERAPY,LUNG VOLUME & CO TRANSFER FACTOR, حجم الرئـة و عامل الإنتقال المساعد,3000.0
2152012,RESPIRATORY,RESPIRATORY THERAPY,REVERSIBILITY TESTS, الإختـبـارات العكوســة,1650.0
2152013,RESPIRATORY,RESPIRATORY THERAPY,LUNG VOLUMES WITHOUT CO TRANSFER FACTOR, حجـوم الرئـة بـدون عامل الإنتقـال المساعد,2250.0
2152014,RESPIRATORY,RESPIRATORY THERAPY,SINGLE BREATH CO TRANSFER FACTOR, عامل الإنتقال المساعد في تنفـس واحـد,1462.5
2152015,RESPIRATORY,RESPIRATORY THERAPY,FRC REBREATHING + CO TRANSFER FACTOR, السعة الوظيفية المتبقيـة مع عامل الإنتقـال المساعد,2850.0
2152016,RESPIRATORY,RESPIRATORY THERAPY,RESPIRATORY DRIVE STRENGTH, القوة التنفسيــة الـموجـهــه,1462.5
2152017,RESPIRATORY,RESPIRATORY THERAPY,SPUTUM INDUCTION, تحريض إخـراج البلـغـم,300.0
2152018,RESPIRATORY,RESPIRATORY THERAPY,PEAKFLOW MONITORING, جهاز معدل التنفس,193.75
2152019,RESPIRATORY,RESPIRATORY THERAPY,PLEURAL BIOPSY, خزعة الغشاء البلوري للصدر  ,3000.0
2152020,RESPIRATORY,RESPIRATORY THERAPY,PERCUTANEOUS TRACHEOSTOMY,شق الحنجرة من تحت الجلد ,6250.0
2152021,RESPIRATORY,RESPIRATORY THERAPY,BODY PLETHYSMOGRAPH (BODY BOX), وظائف تنفس بالتحجم فقط,1250.0
2152022,RESPIRATORY,RESPIRATORY THERAPY,BODY PLETHYSMOGRAPH (BODY BOX) WITH SPIROMETER, وظائف تنفس كامله + تحجم ,2750.0
2152023,RESPIRATORY,RESPIRATORY THERAPY,FRACTION OF EXHALED NITRIC OXIDE,قياس نسبة أول أكسيد النيتريك أثناء الزفير,500.0
2152024,RESPIRATORY,RESPIRATORY THERAPY,IPPB WITH BROCHODILATOR AND MUCOLYTIC AGENT, التهوية تحت الضغط المتقطع بالأكسجين بالجلسة,81.25
2152025,RESPIRATORY,RESPIRATORY THERAPY,MECHANICAL VENTILATOR / PER DAY, التهوية الميكانيكية / اليوم,787.5
2152026,RESPIRATORY,RESPIRATORY THERAPY,MECHANICAL VENTILATOR - BIPAP  PER DAY ,جهاز التنفس الصناعي - bipap يوميًا,1187.5
2152027,RESPIRATORY,RESPIRATORY THERAPY,NIV (NON-INVASIVE VENTILATION) THERAPY, دعم التنفس بدون أنبوب في القصبة الهوائية ,825.0
2152028,RESPIRATORY,RESPIRATORY THERAPY,NONEMERGENT/NONINVASIVE POSITIVE PRESSURE VENTILATION (NPPV) / HOUR ,التهوية بالضغط الإيجابي غير الموصلة / غير الموسعة / ساعة,156.25
2152029,RESPIRATORY,RESPIRATORY THERAPY,PRESSURIZED OR NONPRESSURIZED INHALATION TREATMENT FOR ACUTE AIRWAY OBSTRUCTION / SMALL VOLUME NEBULIZER / MDI ,علاج استنشاق مضغوط أو غير مضغوط لعرقلة مجرى الهواء الحاد / بخاخ صغير الحجم / mdi,68.75
2152030,RESPIRATORY,RESPIRATORY THERAPY,PORTABLE VENTILATOR (PER HOUR), جهاز تهوية متنقل (بالساعة ),250.0
2152031,RESPIRATORY,RESPIRATORY THERAPY,VENTILATOR TUBING & ACCESSORIES (ADULT), دعم التنفس بواسطة انبوب في القصبة الهوائية مع الكماليات (للراشدين),106.25
2152032,RESPIRATORY,RESPIRATORY THERAPY,VENTILATOR TUBING & ACCESSORIES (NEONATAL), دعم التنفس بواسطة انبوب في القصبة الهوائية مع الكماليات (حديثي الولادة),387.5
2152033,RESPIRATORY,RESPIRATORY THERAPY,CATHETER ASPIRATION (SEPARATE PROCEDURE); NASOTRACHEAL SUCTIONING ,طموح القسطرة (إجراء منفصل) ؛ شفط القصبة الهوائية,106.25
2152034,RESPIRATORY,RESPIRATORY THERAPY,CATHETER ASPIRATION PLACEMENT OR CHANGE - EXTUBATION OF AIRWAY ,القسطرة الطموح التنسيب أو التغيير - نزع الأنبوب الهوائية,62.5
2152035,RESPIRATORY,RESPIRATORY THERAPY,CATHETER ASPIRATION PLACEMENT OR CHANGE OF IN-LINE SUCTION CATHETER. ,موضع شفط القسطرة أو تغيير قسطرة الشفط المضمنة.,562.5
2152036,RESPIRATORY,RESPIRATORY THERAPY,CATHETER ASPIRATION SUCTIONING OF ARTIFICIAL AIRWAY TUBE CARE ,القسطرة شفط شفط من الرعاية أنبوب الهوائية الاصطناعي,106.25
2152037,RESPIRATORY,RESPIRATORY THERAPY,CHEST PHYSIOTHERAPY/ FLUTTER INITIAL ,العلاج الطبيعي الصدر / رفرفة الأولي,160.0
2152038,RESPIRATORY,RESPIRATORY THERAPY,BREATHING EXERCISE, تمارين التنفس - شهيق و زفير بعد العملية بالجلسة ,50.0
2152039,RESPIRATORY,RESPIRATORY THERAPY,"CONTINUOUS BILEVEL POSITIVE AIRWAY PRESSURE VENTILATION, NON-EMERGENT INITIATION AND MANAGEMENT / DAY ",تهوية ضغط مجرى الهواء الايجابي المستمر ، بدء وإدارة غير طارئة / يوم,687.5
2152040,RESPIRATORY,RESPIRATORY THERAPY,CONTINUOUS INHALATION TREATMENT WITH AEROSOL MEDICATION FOR ACUTE AIRWAY OBSTRUCTION; / DAY ,علاج الاستنشاق المستمر مع دواء الهباء الجوي لعرقلة مجرى الهواء الحاد ؛ / يوم,625.0
2152041,RESPIRATORY,RESPIRATORY THERAPY,CONTINUOUS INHALATION TREATMENT WITH AEROSOL MEDICATION FOR ACUTE AIRWAY OBSTRUCTION; CONTINIUOS ,علاج الاستنشاق المستمر مع دواء الهباء الجوي لعرقلة مجرى الهواء الحاد ؛ continiuos,93.75
2152042,RESPIRATORY,RESPIRATORY THERAPY,"CONTINUOUS NEGATIVE PRESSURE VENTILATION (CNP), INITIATION AND MANAGEMENT / HOUR ",تهوية الضغط السلبي المستمر (cnp) ، البدء والإدارة / ساعة,131.25
2152043,RESPIRATORY,RESPIRATORY THERAPY,"ENDOTRACHEAL TUBE, RESTABILIZATION ",أنبوب القصبة الهوائية ، وإعادة الاستقرار,812.5
2152044,RESPIRATORY,RESPIRATORY THERAPY,"ENDOTRACHEAL, MONITOR CUFF PRESSURE/PROCEDURE CARE ",القصبة الهوائية ، ومراقبة ضغط الكفة / الرعاية الإجراء,62.5
2152045,RESPIRATORY,RESPIRATORY THERAPY,"ENDOTRACHEAL, PLACEMENT / REMOVAL OF ASSISTIVE SPEECH VALVE ",القصبة الهوائية ، وضع / إزالة صمام الكلام المساعد,62.5
2152046,RESPIRATORY,RESPIRATORY THERAPY,"ENDOTRACHEAL, PLACEMENT OF NASAL AIRWAY ",القصبة الهوائية ، وضع مجرى الهواء الأنفي,62.5
2152047,RESPIRATORY,RESPIRATORY THERAPY,"HIGH FREQUENCY VENTILATION ASSIST AND MANAGEMENT, INITIATION OF PRESSURE OR VOLUME PRESET VENTILATORS FOR ASSISTED OR CONTROLLED BREATHING / HOUR ",مساعدة في التهوية عالية التردد وإدارتها ، وبدء الضغط أو أجهزة تهوية محددة مسبقًا من أجل التنفس / ساعة يتم التحكم فيها أو التحكم فيها,250.0
2152048,RESPIRATORY,RESPIRATORY THERAPY,INHALED NITRIC OXIDE / HOUR ,استنشاق أكسيد النيتريك / ساعة,250.0
2152049,RESPIRATORY,RESPIRATORY THERAPY,INTRAPULMONARY SURFACTANT ADMINISTRATION BY A PHYSICIAN THROUGH ENDOTRACHEAL TUBE ,إدارة السطحي داخل الرئة من قبل الطبيب من خلال أنبوب القصبة الهوائية,312.5
2152050,RESPIRATORY,RESPIRATORY THERAPY,"INTUBATION, ENDOTRACHEAL, EMERGENCY PROCEDURE / RT ",التنبيب ، الرغامي ، إجراءات الطوارئ / ط,625.0
2152051,RESPIRATORY,RESPIRATORY THERAPY,"LARYNGOSCOPY DIRECT, WITH OR WITHOUT TRACHEOSCOPY; DIAGNOSTIC, NEWBORN ",تنظير الحنجرة مباشرة ، مع أو بدون تنظير القصبة الهوائية ؛ التشخيص ، الوليد,598.75
2152052,RESPIRATORY,RESPIRATORY THERAPY,MANIPULATION / POSITIONING TO FACILITATE LUNG FUNCTION; INITIAL DEMONSTRATION AND/OR EVALUATION ,التلاعب / تحديد المواقع لتسهيل وظائف الرئة. مظاهرة أولية و / أو تقييم,156.25
2152053,RESPIRATORY,RESPIRATORY THERAPY,"MANIPULATION CHEST WALL, SUCH AS CUPPING, PERCUSSING, AND VIBRATION TO FACILITATE LUNG FUNCTION; SUBSEQUENT ",جدار الصدر التلاعب ، مثل الحجامة ، الإيقاع ، والاهتزاز لتسهيل وظائف الرئة ؛ لاحق,160.0
2152054,RESPIRATORY,RESPIRATORY THERAPY,RT TRANSPORT PER HOUR,RT النقل في الساعة,125.0
2152055,RESPIRATORY,RESPIRATORY THERAPY,"SPIROMETER, NONELECTRONIC, INCLUDES ALL ACCESSORIES ",مقياس التنفس ، غير الكتروني ، ويشمل جميع الملحقات,227.5
2152056,RESPIRATORY,RESPIRATORY THERAPY,"SPUTUM, OBTAINING SPECIMEN, AEROSOL INDUCED TECHNIQUE (SEPARATE PROCEDURE) ",البلغم ، الحصول على عينة ، تقنية الهباء الجوي المستحث (إجراء منفصل),250.0
2152057,RESPIRATORY,RESPIRATORY THERAPY,SUCTIONING OF ARTIFICIAL AIRWAY WITH IN-LINE SUCTION CATHETER ,شفط مجرى الهواء الاصطناعي مع قسطرة الشفط المضمنة,31.25
2152058,RESPIRATORY,RESPIRATORY THERAPY,TRACHEOSTOMY TUBE CARE/G. SURGERY ,رعاية أنبوب القصبة الهوائية / ز. الجراحة,250.0
