Departemnt,code,Discription,Price,Revised,SBS
ORTHOPAEDIC,FMORW-0123,MAILWAIKEE BRACE ORTHOP.MEDIUM,12374.0,12374.0,96092-00-00
DENTAL,FMDNTP0028,FULL DENTURE ACRYLIC TYPE III,12370.0,12370.0,99999-99-99
DENTAL,FMDNTP0040,UPPER/LOWER DENT.VITAL.TYPE II,12370.0,12370.0,99999-99-99
CSS,MS-S-003820,STENT ALEX B.D.P DRUG ELUTING ALL SIZES,12362.0,12362.0,99999
CSS,SMI7947,STENT TAXUS DRUG ELUTING (ALL SIZES),12362.0,12362.0,99999
LABORATORY,FMLAB-9302,MELANOCYTE CULTURE (MEDIUM),12357.0,12357.0,73200-03-80
CSS,MS-S-005319,STENT  CAROTID X. ACT FREESTYLE 40X8-6MM TAPERED ABBOTT# XRX04008T,12355.0,12355.0,99999
PAIN MANAGEMENT,FMPN-0084,trigemial Rf one nerve,12338.0,12338.0,83700-00-00
CARDIO THORACIC SURGERY,FMCTS-0039,REPAIR OF TRACHEO-OESOPHAGEAL  FISTULA,12301.0,12301.0,43900-00-00
CSS,MS-P-001829,PLATE CONDYLAR 6 HOLE  SYNTHES # 02.124.406,12272.5125,12272.5125,44896
DENTAL,FMDNTS0296,OSTEOTOMY OF MAXILLA (LOCALIZED ANTERIOR),12272.0,12272.0,83700-00-00
CSS,MS-K-000165,KNEE PROSTHESIS SYSTEM TIBIAL COMPLETE LEFT SMALL LINK #ORT-LIN-318-483/02,12206.25,12206.25,48067
CSS,MS-P-002190,PROSTESIS PENILE SPECTRA CONCEALABLE AMS #123,12206.25,12206.25,36251
CSS,MS-S-003776,STEM HIP STANDARD CEMENTLESS 7.5MM #30396075,12206.25,12206.25,55833
CSS,MS-S-003982,STEM HIP STD. 6.25MM #30393062 (IMPLANTCAST,12206.25,12206.25,55833
CSS,MS-S-004318,STEM HIP FEMORAL 12.5 MM  IMPLANTCAST # 30396125,12206.25,12206.25,33175
CSS,MS-S-004595,SHELL ACETABULAR SYSTEM W/HOLE 54MM ZIMMER #6200-54-20,12206.25,12206.25,43167
CSS,MS-S-008951,SHELL ACETABULAR SIZE 58MM PROCOTYL MICRO PORT # PHA06218,12206.25,12206.25,43167
CSS,MS-S-009257,STEM HIP ECOFIT 6.25MM CEMENTED CHM # 30396062,12206.25,12206.25,55833
CSS,MS-T-000069,TIBIAL COMPONENT R1X-SMALLRIGHT,12206.25,12206.25,33580
CSS,MS-T-000192,TIBIAL COMPONENT MEDIUM RIGHT,12206.25,12206.25,33580
CSS,MS-T-001423,TIBIAL BASE ADVANCED SIZE 2 STD  MICRO PORT # KTCCNP20,12206.25,12206.25,32832
CSS,MS-T-001426,TIBIAL BASE ADVANCE RIGHT SIZE 4 STD WRIGHT # KTCCNP40,12206.25,12206.25,32832
CSS,MS-T-001474,TIBAL BASE COMPONENT SIZE 2L STATURE MICRO PORT # KTCCNP21,12206.25,12206.25,32832
CSS,MS-T-001486,TIBIAL BASE COMPONENT 3 PLUS MICRO PORT # KTCCNP31,12206.25,12206.25,32832
CSS,MS-T-001493,TIBIAL COMPONENT SZ 1 PLUS WRIGHT # KTCCNP11,12206.25,12206.25,33580
CSS,MS-T-001494,TIBIAL BASE COMPONENT W/PLUGS SZ 1 PLIS WRIGHT # KTTINP11,12206.25,12206.25,32832
CSS,MS-T-001522,TIBIAL BASE MODULAR W/PLUGS SIZE 2 STD MICRO PORT # KTTINP20,12206.25,12206.25,64151
CSS,MS-V-000071,VALVE MITRAL DIFFERENT SIZES STANDARD,12206.25,12206.25,60241
CSS,SMI9742,STENT DRUG ELUTED 3.5X24MM MEDTRONIC#35024X,12206.25,12206.25,35882
CSS,SMI9825,STENT DRUG ELUTING 2.75X18MM MEDTRONIC,12206.25,12206.25,35882
CSS,SMO11344,COMPONENT TIBIAL L4 LARGE LINK #318-313/04,12206.25,12206.25,32832
CSS,MS-P-000589,PUTTY 10CC GRAFTON DBM OSTEOTECH #C43110,12178.35,12178.35,61884
CSS,MS-C-003642,COIL SYSTEM EV3 3MM X8CM#QC-3-8 HELIX MEDTRONIC #QC-3-8-HELIX,12157.425000000001,12157.425000000001,60940
CSS,MS-C-003652,COIL DTACHABLE 5MM X 20CM EV3 AXIUM MEDTRONIC # QC-5-20-HELIX,12157.425000000001,12157.425000000001,60940
CSS,MS-S-001864,SHELL ACETABULAR MULTI-HOLE 62MM POROCOAT  J&J # 1217-20-062,12142.7775,12142.7775,43167
CSS,MS-F-000341,FIXATOR DYNAMIC AXIAL DAF W/ T-CLAMP SHORT OSTEONIC 40095,12136.5,12136.5,48011
CSS,MS-P-001634,PLATE LCP DISTAL TIBIAL 7 HOLE # SYNTHES,12136.5,12136.5,61573
DENTAL,FMDNTS0237,RECONSTRUCTION OF MANDIBLE (LOCALIZED),12115.0,12115.0,83700-00-00
DENTAL,FMDNTS0262,SCAR CORRECTION (SEVERE),12115.0,12115.0,355
DENTAL,FMDNTS0310,REMOVAL OF MANDIBULAR PLATE AND SCREWS (EXTRA-ORAL),12115.0,12115.0,83700-00-00
DENTAL,FMDNTS0317,REMOVAL OF ORBITAL PLATE AND SCREWS (LONG),12115.0,12115.0,83700-00-00
DENTAL,FMDNTS0321,REMOVAL OF  ZYGOMATIC PLATE AND SCREWS (LONG),12115.0,12115.0,83700-00-00
DENTAL,FMDNTS0335,BIOPSY OF HARD TISSUE (DEEP),12115.0,12115.0,83700-00-00
PLASTIC SURGERY,FMPSDJ0042,SARTORIUS MUSCLE FLAP,12115.0,12115.0,83700-00-00
CSS,SMI9717,STENT DRUG ELUTED 2.5X18 MEDTRONIC#EN25018X,12090.000465000001,12090.000465000001,35882
CSS,MS-B-000482,BALLOON CATHETER RELIANT 12FR MEDTRONIC #AB46,12084.1875,12084.1875,17184
CSS,MS-B-001810,BIO 1-QUIQSET 15CC SBM SAS # QUICK26240,12084.1875,12084.1875,17751
CSS,MS-C-000710,CAGE CERVICAL 5MM#AR1C51516,12084.1875,12084.1875,38161
CSS,MS-C-000758,CERVICAL CAGE WITH PLATE (PCB) ALL SIZE SCIENT'X.,12084.1875,12084.1875,60762
CSS,MS-G-000241,GRAFT VASCULAR GDS 5-8MMX45CMMAQUET#25139,12084.1875,12084.1875,35281
CSS,MS-K-000247,KIT 1 PLATE CERVICLE + 1 SCREW FIXATION + 2 SCREW CERVICLE STERILE BIOTECH MEDICAL SUPPLIES TRAD #,12084.1875,12084.1875,45471
CSS,MS-N-001602,NAIL ANATOMICAL FEMORAL RIGHT 11X400 CHM # 3.5106.401,12084.1875,12084.1875,56643
PLASTIC SURGERY,FMPSDF0029,EXTERNAL FIXATOR FOR FINGERS,12069.0,12069.0,83700-00-00
CSS,MS-P-001833,PLATE DISTAL TIBIA 7 HOLE RIGHT SYNTHES # 02.118.411,12047.56875,12047.56875,46585
CSS,MS-P-001857,PLATE DISTAL TEBIAL 7 HOLE SYNTHES #02.118.409,12047.56875,12047.56875,46585
ORTHOPAEDIC,FMORT-2021,PELVIS PLATE REMOVAL,12000.0,12000.0,83700-00-00
PAIN MANAGEMENT,FMPN-0029,Trigeminal  Radiofrequency,12000.0,12000.0,83700-00-00
PAIN MANAGEMENT,FMPN-0047,Radiofrequency ablation (RFA),12000.0,12000.0,83700-00-00
Surgery,FMSUR-1024,EXCISION OF ILIOINGUINAL MASS,12000.0,12000.0,30055-00-20
CSS,MS-B-001745,BONE GRAFT PUTTY 10CC . LIFENET # T43110INT,11990.025000000001,11990.025000000001,61884
CSS,MS-B-001955,BALLOON CATHETER BALT USA # ECL2L 6X12,11962.125,11962.125,32584
CSS,MS-C-003637,CATHETER MICRO W/PROXIMAL RIGID 2.7 FR BALT -FRANCE # SONIC1.2F25,11962.125,11962.125,10691
CSS,MS-C-003838,CATHETER MICRO SONIC INTRACEREBRAL WITH FUSECATHF25 PROXIMAL BALT -FRANCE # SONIC1.5F25,11962.125,11962.125,10691
CSS,MS-C-003839,CATHETER MICRO SONIC INTRACEREBRAL WITH FUSECATHF35 PROXIMAL BALT -FRANCE # SONIC1.5F35,11962.125,11962.125,10691
CSS,MS-C-003857,CATHETER MICRO INTRACEREBRAL 5FR 1.5CM BALT -FRANCE #SONIC1.5F15,11962.125,11962.125,10691
CSS,MS-M-000200,MESH PHYSIO 20X30CM ETHICON #PHY2030R,11927.25,11927.25,60300
DENTAL,FMDNTS0168,OSTEOTOMY BODY MANDIBLE (E/O),11892.0,11892.0,45726-00-00
DENTAL,FMDNTS0176,OSTEOTOMY MAXILLA SEGMENTAL,11892.0,11892.0,45720-01-00
neurosurgery,FMNEU-0137,CORPUS CALLOSOTOMY FOR EPILEPSY,11892.0,11892.0,40700-00-00
neurosurgery,FMNEU-0186,INTRADURAL EXTRA MEDULLARY CORD TUMOR DORSAL,11892.0,11892.0,83700-00-00
obstatric and Gynecology,FMOBG-0206,VESICO-AMNIOTIC SHUNT,11892.0,11892.0,35713-09-00
obstatric and Gynecology,FMOBG-0208,CORDOCENTESIS,11892.0,11892.0,83700-00-00
CSS,MS-P-004603,PLATE CONDYLAR 4.5/5.0 VA-LCP 8 HOLE SYNTHES #02.124.408,11864.475,11864.475,44896
CSS,MS-P-001126,PLATE 7 HOLES DISTAL HUMERUS LOCKING RIGHT # 241.286,11840.0625,11840.0625,64673
ONCOLOGY/NUCLEAR MED,FMONC-0081,Thoracic or lumbar paravertebral sympathetic or ganglion impar block,11807.0,11807.0,83700-00-00
ONCOLOGY/NUCLEAR MED,FMONC-0090,Cooled radiofrequency (RF),11807.0,11807.0,83700-00-00
ONCOLOGY/NUCLEAR MED,FMONC-0101,Trigeminal nerve (any branch),11807.0,11807.0,83700-00-00
ONCOLOGY/NUCLEAR MED,FMONC-0118,Radiofrequency Ablation (RFA) - cervical or thoracic,11807.0,11807.0,83700-00-00
ONCOLOGY/NUCLEAR MED,FMONC-0122,Pulsed RF of lumbar nerve root,11807.0,11807.0,83700-00-00
ONCOLOGY/NUCLEAR MED,FMONC-0126,RF of S3 lateral branches,11807.0,11807.0,83700-00-00
PAIN MANAGEMENT,FMPN-0046,Bilateral multiple level median branches,11807.0,11807.0,83700-00-00
CSS,MS-P-002088,PLATE LCP ANTERIOR CLAYICLE 5 HOLE SYNTHES # 02.112.012,11791.237500000001,11791.237500000001,61573
CSS,MS-S-008626,STEM MODULAR HUMERAL 12MM CEMENTLESSJ&J#1307-12-000 JOH. & JOH. # 1307-12-000,11779.31025,11779.31025,60512
CSS,MS-F-000149,FILTER WIRE ALL SIZES BOSTON SCIENTIFIC # 20105-190,11759.85,11759.85,44865
CSS,MS-F-000590,FILTER WIRE EZ 3.5 -5.5X190CM BOSTON # H749201051900,11759.85,11759.85,44865
CSS,MS-C-001952,CATHETER FLEBOGRIF SET W/AETHOXYSKLEROL FOAM F/VARICOSEVEIN BALTON # FLE6F,11718.0,11718.0,62232
urologu,FMURO-2006,EXPLORATION OF RENAL TRAUMA,11710.0,11710.0,37821-00-00
CSS,MS-S-001764,STEM STRAIGHT CEMENTLES MODULAR 7MM HIPOKRAT #400010410070,11688.705,11688.705,33581
CSS,MS-G-000336,GRAFT VASCULAR 8MM X 90CM RINGED PTFE THIN WALL ATRIUM # 21231,11686.26375,11686.26375,35281
CSS,SMI9826,STENT DRUG ELUTING 2.75X24MM MEDTRONIC,11683.124302500002,11683.124302500002,35882
E. N. T.,FMENTE2013,SURGICAL CORRECTN OF PROMINENT,11647.0,11647.0,45659-00-01
E. N. T.,FMENTE4011,MASTOIDECTOMY - OTHERS,11647.0,11647.0,41545-00-01
E. N. T.,FMENTE4012,CLOSURE OF MASTOID FISTULA,11647.0,11647.0,90117-00-01
E. N. T.,FMENTE4019,TYMPANOPLASTY - TYPE IV,11647.0,11647.0,41542-00-01
E. N. T.,FMENTL0019,LASER MICROSURGERY OF THE LARY,11647.0,11647.0,41861-00-00
E. N. T.,FMENTN2038,REPAIR OF CHOANAL ATRESIA-BILA,11647.0,11647.0,45646-00-00
E. N. T.,FMENTN2039,NOSE RECONSTRUCTION-RHINOPLAST,11647.0,11647.0,45638-00-00
E. N. T.,FMENTN2042,REVISION OF RHINOPLASTY,11647.0,11647.0,45650-00-00
E. N. T.,FMENTN2053,SURGERY OF TUMOUR OF NASAL -,11647.0,11647.0,31230-01-00
E. N. T.,FMENTO0016,LASER EXCISSION OF MALIGNANT,11647.0,11647.0,90135-00-00
E. N. T.,FMENTS0017,EXTERNAL OPERATION ON FRONTAL,11647.0,11647.0,41749-00-00
E. N. T.,FMENTS0018,BONY TUMOURS OF NASAL SINUSES-,11647.0,11647.0,41737-03-00
neurosurgery,FMNEU-0052,SELECTIVE DORSAL RHIZOTOMY,11647.0,11647.0,40330-00-00
neurosurgery,FMNEU-0056,COSTO TRANSVERSECTOMY,11647.0,11647.0,40345-00-00
neurosurgery,FMNEU-0061,REPAIR OF NERVE INJURY W/GRAFT,11647.0,11647.0,39318-00-00
neurosurgery,FMNEU-0175,SPINAL FUSION,11647.0,11647.0,83700-00-00
PLASTIC SURGERY,FMPSDD0006,ABDOMINOPLASTY,11647.0,11647.0,30165-00-00
PLASTIC SURGERY,FMPSDG0004,REDUCTION MAMMOPLASTY,11647.0,11647.0,83700-00-00
PLASTIC SURGERY,FMPSDG0008,RADICAL MASTECTOMY,11647.0,11647.0,31518-00-00
Surgery,FMSUR-0132,VAGOTOMY & GASTROJEJUNOSTOMY,11647.0,11647.0,83700-00-00
Surgery,FMSUR-0136,MULTIPLE SEGMENTAL RESECTION OF SMALL INTESTINE,11647.0,11647.0,83700-00-00
urologu,FMURO-0086,ULTRASONIC STONE DISINTEGRATN,11647.0,11647.0,92199-00-00
CSS,MS-P-001595,PLATE LCP PROX FEMORAL 14 HOLE  SYNTHES # 242.814,11600.82,11600.82,61573
NEUROLOGY,FMNUM-0043,DIAGNOSTIC CEREBRAL ANGIOGRAPHY,11598.0,11598.0,59970-02-00
CSS,MS-P-001724,PLATE PROXIMAL TIBIA 3.5x12HOLES # PA3542-12-2 / SYNTHES # 02.127.251,11595.9375,11595.9375,61573
CSS,MS-P-001736,PLATE VA LCP PROX / TIB 3.5 MM X 10 HOLE  SYNTHES # 02.127.241,11595.9375,11595.9375,61573
CSS,MS-P-001886,PUTTY DBM 5.0CC CONNECT #CT200005,11595.9375,11595.9375,61884
CSS,MS-P-001983,PLATE PROXIMAL TIBIAL 4 HOLE SYNTHES # 02.127.210,11595.9375,11595.9375,61573
CSS,MS-P-001744,PLATE LATERAL DISTAL VA-LCP 6 HOLE  SYNTHES # 02.118.405,11534.90625,11534.90625,61573
Surgery,FMSUR-0305,LAP CHOLIDOCHO-DUODENOSTOMY,11533.0,11533.0,83700-00-00
CSS,MS-C-001971,CATHETER APOLLO 1.5CM TIP F/ EMBOLIZATION MEDTRONIC EV-105-5095-000,11527.5825,11527.5825,10691
CSS,MS-C-003837,CATHETER MICRO APOLLO WITH DETACHABLE TIP3CM FOR EMBOLIZATION MEDTRONIC # EV-105-5096-000,11527.5825,11527.5825,10691
CSS,MS-C-004025, CAGE LUMBAR SIZE 9 X 26 MMCHM # L7109.09.526,11509.0,11509.0,38161
CSS,MS-B-001180,BEARING PS FEMORAL COMPLETE FIXED LEFT MEDIUM SMALL LINK #ORT-LIN-318-413/26,11508.75,11508.75,32831
CSS,MS-L-000658,LUMBER CAGE 12 PL PLIF ORIO CHM # L7109-12-526,11508.75,11508.75,61230
CSS,MS-N-000548,NECK TAPER CEMENTED 13X130MM ZIMMER #7857-13-20,11508.75,11508.75,58481
CSS,MS-N-000888,NAIL FEMORAL LEFT 11x200MM MICROMED #3.5179.200 / CHM # 3.5652.200,11508.75,11508.75,56643
CSS,MS-P-001692,PART CENTRAL FRACTURE 2 / 18  MATHYS # 60.21.0001,11508.75,11508.75,44759
CSS,MS-T-000471,TIBIAL COMPONENT SIZE 5 ZIMMER #598004701,11508.75,11508.75,33580
CSS,MS-T-000781,TIBIAL COMPONENT SIZE 4  ZIMMER # 5980-37-02,11508.75,11508.75,33580
NEURO SCIENCE,FMNSCA0047,FUSION IN SITU FOR CONGENTIAL,11464.0,11464.0,83700-00-00
CSS,SMI9792,STENT DRUG ELLUTING 2.5X24MM MEDTRONIC,11461.193752500001,11461.193752500001,35882
CSS,MS-G-000170,GRAFT VASCU. STRAIGHT W/HILIX 6X70MM B.BRAUN #V1101520,11444.58,11444.58,60467
CSS,MS-C-000128,CATHETER IMAGER II 5FR 65CM .038 GUIDEWIRE,11433.42,11433.42,10688
CSS,MS-C-003619,CATHETER INTRACRANIAL SUPPORT NAVIEN A+ 072  MEDTRONIC # RFXA072-115-08MP,11433.42,11433.42,63571
CSS,MS-C-003685,CATHETER SUPPORT NAVIEN A+058 MEDTRONIC # RFXA058-125-08,11433.42,11433.42,58712
CSS,MS-M-000267,MAGNIFUSE OST MEDIUM 10 X 25 MM SOFAMOR # 7509010 INT,11383.2,11383.2,16966
CSS,MS-C-003581,COIL EMBOLIZATION 2MM X 1 CM HYPER SOFT # 100201HS-V,11351.8125,11351.8125,60941
CSS,MS-C-003582,COIL VFC ADVANCED 1-3MM X 3 CM HYPER SOFT # VFC010303-V,11351.8125,11351.8125,60940
CSS,MS-C-003583,COIL COMPLEX HYDROFRAME 4MM X 5 CM HYPER SOFT # 100405HFRM-V,11351.8125,11351.8125,60941
ENDOSCOPY,FMENDE0082,ENDOSCOPIC MUCOSAL RESECTION >2CM,11345.0,11345.0,83700-00-00
CSS,MS-P-001708,PLATE LATERAL DISTAL VA-LCP 2.7 MM X 7 HOLE  SYNTHES # 02.118.408,11309.962500000001,11309.962500000001,61573
CSS,MS-P-001860,PLATE TIBIAL DISTAL 9 HOLE SYNTHES # 02.118.410,11309.962500000001,11309.962500000001,61573
CSS,MS-E-000579,EMBOLIC LIQUID PHIL25% MICRO VENTION #LEN10250,11299.5,11299.5,60449
CSS,MS-N-001257,NAIL ANATOMICAL FEMORAL 10x380MM TITANIUM MICROMED #3.5107.380,11299.5,11299.5,56643
CSS,MS-N-001560,NAIL GAMA 11X240MM CHM # 3.5652.240,11299.5,11299.5,55851
CSS,MS-N-001587,NAIL FEMORAL ANATOMICAL 12X380MM CHM # 3.5208.380,11299.5,11299.5,56643
CSS,MS-B-001220,BONE GRAFT 10CC PUTTY LIFENET # TPUT10,11268.112500000001,11268.112500000001,46543
PLASTIC SURGERY,MTPSD-0043,LIPOSUCTION OF THIGH SMALL AREA,11265.0,11265.0,83700-00-00
LABORATORY,FMLABM0205,KIT EXON 9-11 & PDGFRA-exon 12-18,11253.0,11253.0,83700-00-00
CSS,SMO11333,COMPONENT FEMURAL L2A MEDIUM LINK #318-103/25,11237.073750000001,11237.073750000001,63995
CSS,MS-N-000155,NAIL FEMORAL FWDA 9X380MM SANATMETAL #SAN-257309380 / 04.003.256,11227.30875,11227.30875,56643
CSS,MS-T-001461,TIP UNIVERSAL STRAIGHT FOR SONOPET STRYKER # 5450-800-307,11217.54375,11217.54375,44755
CSS,MS-G-000383,GEL GRAFTON DBM 10 CC MEDTRONIC # T41150INT,11215.800000000001,11215.800000000001,47257
CSS,MS-P-001770,PLATE LOCKING HOOK 6 HOLE SYNTHES # 241.094,11202.89625,11202.89625,61573
CSS,SMO10800,COMPONENT FEMORAL L2 LEFT-SMALL LINK # 318-103/02,11169.765000000001,11169.765000000001,63995
CSS,MS-N-000785,NAIL TIBIAL 11 X 42 MM  SYNTHES # 04.003.465,11151.630000000001,11151.630000000001,56645
CSS,MS-P-001472,PLATE DISTAL HUMERAL DHP 14HOLES 2.7/3.5 DORSOLATERAL #241.302,11132.1,11132.1,33702
DENTAL,FMDNTS0308,REMOVAL OF MANDIBULAR PLATE AND SCREWS (LONG),11099.0,11099.0,83700-00-00
DENTAL,FMDNTS0319,REMOVAL OF NASAL PLATE AND SCREWS (LONG),11099.0,11099.0,83700-00-00
PLASTIC SURGERY,FMPSDD0020,BILATERAL ARM LIFTING1,11093.0,11093.0,83700-00-00
VASCULAR SURGERY,FMVAS-0033,BILATERAL ARM LIFTING,11093.0,11093.0,83700-00-00
CSS,MS-G-000259,GRAFT UNI 24X30MM #1106635,11090.25,11090.25,60467
CSS,MS-G-000317,GRAFT AORTIC UNI¿STRAUGHT 26 X 30 B.BRAUN #1106643,11090.25,11090.25,60467
ONCOLOGY/NUCLEAR MED,FMONC-0030,RADICAL TREATMENT START PAYMEN T,11084.0,11084.0,83700-00-00
DENTAL,FMDNTS0108,COMMINUTED FRACTURE,11071.0,11071.0,99999-99-91
neurosurgery,FMNEU-0049,EXPLORATION OF THE SCIATIC    NERVE  AND NEUROLLISIS,11071.0,11071.0,39330-00-00
neurosurgery,FMNEU-0113,REMOVAL OF CONVEXITY MENINGIO MA,11071.0,11071.0,90007-02-00
neurosurgery,FMNEU-0116,AV MALFORMATION BRAIN (SMALL),11071.0,11071.0,35412-00-00
neurosurgery,FMNEU-0122,THORACIC DISC EXCISION,11071.0,11071.0,40300-00-00
neurosurgery,FMNEU-0146,POST. FOSSA RHIZOTOMY,11071.0,11071.0,40330-00-00
neurosurgery,FMNEU-0180,THORACIC DISC EXCISSION,11071.0,11071.0,83700-00-00
obstatric and Gynecology,FMOBG-0121,ABDOMINAL LIPOIDECTOMY + FREE  UMBILICAL TRANSPLANT,11071.0,11071.0,83700-00-00
urologu,FMURO-0155,BLADDER NECK SUSPENSION,11071.0,11071.0,35684-01-00
CSS,MS-S-010304,STEM MINI HUMERAL 9MM BIOMET # 113629,11068.6275,11068.6275,33746
I.V.F.,FMIVF-0065,TRANSVAGINAL ULTRASOUND GUIDED CYST ASPIRATION,11048.0,11048.0,83700-00-00
I.V.F.,FMIVF-0069,DIAGNOSTIC HYSTEROSCOPY BEFORE ICSI,11048.0,11048.0,83700-00-00
PLASTIC SURGERY,FMPSDD0021,BRACHIOPLASTY,11048.0,11048.0,83700-00-00
CSS,MS-G-000359,GLUE ONYX KIT18 PACKAGED AVM & TUMOR F/ EMBOLIZATION MEDTRONIC #EV-105-7000-060,11027.475,11027.475,60939
E. N. T.,FMENTE3032,BICROS HEARING AID,11025.0,11025.0,83700-00-00
PEDIATRIC SURGERY,FMPDS-0089,OPEN HEART SURGERY FEE PER HOUR,11025.0,11025.0,45707-00-00
PEDIATRIC SURGERY,FMPDS-0094,FUNDOPLICATION,11025.0,11025.0,45683-00-00
ORTHOPAEDIC,FMORT-0636,CORRECTION OF SCOLLIOSIS USING ISOLA-SYSTEM,11014.0,11014.0,90011-02-00
ORTHOPAEDIC,FMORT-0814,BLOOD CNETRIFUGE AND THERMOGENESIS (INCLUDING THE KIT),11014.0,11014.0,83700-00-00
PEDIATRIC SURGERY,FMPDS-0119,PYLOROMYOTOMY,11014.0,11014.0,83700-00-00
PEDIATRIC SURGERY,FMPDS-0179,tracheo-esophageal fistula repair,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0131,HEMICOLECTOMY -RT\LT,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0179,HYDATID CYST (HEPATIC LESSION EVACUATION),11014.0,11014.0,83700-00-00
Surgery,FMSUR-0183,REVISION OF RETROPERITONEAL   TUMOUR,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0245,LAPAROSCOPIC BILATERAL HERNIO-RHAPY,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0269,SPLENECTOMY DEVASCULARIZATION,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0304,LAPAROSCOPIC GASTRO-JEJUNOSTROMY,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0310,LAPAROSCOPIC CARIOD MYOTOMY,11014.0,11014.0,83700-00-00
Surgery,FMSUR-0311,LAPAROTOMY FOR EXCISION RETROPERITONIAL SARCOMA,11014.0,11014.0,83700-00-00
urologu,FMURO-0040,TOTAL CYSTECTOMY,11014.0,11014.0,37014-00-00
urologu,FMURO-0085,BLADDER AUGMENTATION OR        DILATATION,11014.0,11014.0,37047-01-00
urologu,FMURO-0200,LAPAROSCOPIC NEPHRECTOMY,11014.0,11014.0,83700-00-00
X-RAY,FMXRAY1395,IR. PICC LINE INSERTION,11000.0,11000.0,83700-00-00
X-RAY,FMXRAY1396,IR. Gastrostomy tube insertion,11000.0,11000.0,83700-00-00
X-RAY,FMXRAY1398,IR. Additional LIQUID EMBOLICS (Cyanoacrylates) & PVA,11000.0,11000.0,83700-00-00
CSS,MS-N-000704,NAIL FEMORAL EXPERT LATERAL12.0MM RT CANNULATED #04.003.560,10998.18,10998.18,56643
CSS,MS-N-000823,NAIL FEMORAL LATERAL 12 X 340MM SYNTHES # 04.003.548,10998.18,10998.18,56643
ORTHOPAEDIC WORKSHOP,FMORW-0066,KNEE ORTHOSIS FREE KNEE RADL,10998.0,10998.0,96092-00-00
ORTHOPAEDIC WORKSHOP,FMORW-0068,KNEE ORTHOSIS DONJOY,10998.0,10998.0,96092-00-00
CSS,MS-P-001741,PLATE MAND MATRIX RECON 2 MM 7+23HOLES SYNTHES # 04.503.733,10997.831250000001,10997.831250000001,46642
CSS,MS-A-000037,ALLOGRAFT CANCELLOUS CRUSHED 1-4MMX30CC ISOTIS# 03-0100-300,10985.625,10985.625,47967
CSS,MS-A-000513,ACETABULAR CUP SIZE 56MM HIPOKRAT # 77.2300,10985.625,10985.625,34076
CSS,MS-B-000924,BURR ROUND 8 FLUTE 4.0MM X 13CM #AR-8400RBE,10985.625,10985.625,16669
CSS,MS-B-000930,BALLOON IN-PACT FALCON DEB ALL SIZE  MEDTRONIC # FLCP25014B12,10985.625,10985.625,47732
CSS,MS-C-001545,CATHETER SDS MARIS PLUS 60 X 60MM INVATEC #MRP060060120,10985.625,10985.625,34924
CSS,MS-I-000088,INJECTION MACROPLASTIQUE 2.5CM UROPLASTY,10985.625,10985.625,64279
CSS,MS-N-001413,NAIL FEMORAL PROXIMAL 11 X 360 MM MEDGAL BOLAND # 07-128-360,10985.625,10985.625,56643
CSS,MS-N-001443,NAIL ANATOMICAL FEMORAL 12X400MM TITANIUM CHM # 3.5108.340,10985.625,10985.625,56643
CSS,MS-N-001447,NAIL TIBIAL 11X360MM CHM # 3.2654.360,10985.625,10985.625,56645
CSS,MS-N-001577,NAIL TIBIAL 10X360MM CHM POLAND CHM #3.2653.360,10985.625,10985.625,56645
CSS,MS-N-001581,NAIL TIBIAL 10X315MM CHM # 3.2651.315,10985.625,10985.625,56645
CSS,MS-P-000690,PLATE DHS 135'3 HOLES #400-02-310-0003 / JINDAL # 4166.304,10985.625,10985.625,34003
CSS,MS-P-003942,PATCH DUREPAIR MATRIX SIZE 10 X 12.5 CM MEDTRONIC # 61110,10985.625,10985.625,48044
CSS,MS-P-004043,PLATE PELVIC 10HOLE CHM # TI727.207C,10985.625,10985.625,61573
CSS,MS-P-004044,PLATE PELVIC 7HOLE CHM # TI727.210C,10985.625,10985.625,61573
CSS,MS-S-000630,STENT EXPRESS VASCULAR ALL SIZES.,10985.625,10985.625,44279
CSS,MS-S-003541,STEM STANDARD 10CM #56.11.2001,10985.625,10985.625,43583
CSS,MS-S-004377,SNARE KIT RETRIEVAL F/ VASCULAR VENA CAVA FILTER SIZE 6-1MMX120CM 6FRX100CM ARGON #171-382006010,10985.625,10985.625,17927
CSS,MS-S-004574,STENT COMPLETE SE VASCULAR 5 X 40 X 130CM MEDTRONIC #SC540LG,10985.625,10985.625,45851
CSS,MS-T-001386,TIBIAL COMPONENT SIZE 3 MEDIUM LEFT CEMENTED LINK IMPLANTCAST # 42010423,10985.625,10985.625,64588
CSS,MS-T-001477,TIBIAL 4RIGHT CERAMIC COATED CHM # 42010434,10985.625,10985.625,32832
CSS,MS-T-001488,TIBIAL COMPONENT CERAMIC ACS 3.5 LEFT CHM # 42010429,10985.625,10985.625,64588
CSS,SMI6743,VALVE MITRAL SIZE 27/29MM ONX 593308,10985.625,10985.625,60241
