CODE,SERVICES,Price,20% increase -april 2021
FMENTE6027,CREAT. MAP - COCHLEAR IMPLANT,640,768.0
FMENTE6028,REVIS.A MAP - COCHLEAR IMPLANT,395,474.0
FMENTE6029,PROMONTORY STIMULATION TEST,515,618.0
FMENTE6030,HEARING AID - BOSCH STAR 33 PP,2040,2448.0
FMENTE6034,COCHLEAR FUNCTION MONITORING,270,324.0
FMENTE6036,DIGITAL HEARING AID (UNILATERAL),3556,4267.2
FMENTE6037,INTRATYMPANIC INFUSSION OF CORTICOSTIROID OR GENTAMICYN,640,768.0
FMENTE6038,PROGRAMMABLE HEARING AID FITTING (BASIC),2645,3174.0
FMENTE6039,HEARING THRESHOLD BY ABR,905,1086.0
FMENTE6040,HEARING AID COUNCELING SELECTION AND FITTING,845,1014.0
FMENTE6041,LOCAL SPINAL INFELTRATION,595,714.0
FMENTE6042,BROAD BAND NOSE GENERATOR,1980,2376.0
FMENTE6043,HEARING AID SENSO PLUS,7195,8634.0
FMENTE6044,VEMPS VESTIBULAR EVODES MYOGENIC POTENTIALS,680,816.0
FMENTE6045,VIDEO NYSTAGMOGRAPHY(VNG),910,1092.0
FMENTE6046,FITTING FO COCHLEAR IMPLANT SPEECH PROCESSOR,45035,54042.0
FMENTE6047,VEMP VESTIBULAR EVOKED MYOGENIC POTENTIAL,750,900.0
FMENTG0001,FASHION OF THE SKIN FLAP,1050,1260.0
FMENTG0002,TRANSFER OF SKIN FLAP,840,1008.0
FMENTK0001,TRACHEOTOMY,2320,2784.0
FMENTK0002,CHANGE OF TRACHEOSTOMY TUBA,390,468.0
FMENTK0003,EXCISION OF THYROGLOSSAL CYST,2320,2784.0
FMENTK0004,CERVICAL NODE BIOPSY,1485,1782.0
FMENTK0005,EXCISION OF SUBMANDIBULAR -,2780,3336.0
FMENTK0006,DRAINAGE OF LUDWIG'S ANGINA,1395,1674.0
FMENTK0007,SUB-TOTAL THYROIDECTOMY,3060,3672.0
FMENTK0008,CLOSURE OF TRACHEOSTOMY,460,552.0
FMENTK0009,PARTIAL THYROIDECTOMY,2700,3240.0
FMENTK0010,SELECTIVE NECK DISSECTION,4328,5193.6
FMENTK0011,RADICAL NECK DISSECTION,8655,10386.0
FMENTL0001,DIRECT LARYNGOSCOPY,1160,1392.0
FMENTL0002,DIRECT LARYNGOSCOPY W/ REMOVAL,1320,1584.0
FMENTL0003,DIRECT LARYNGOSCOPY W\ BIOPSY,1700,2040.0
FMENTL0004,MICRO-LARYNGOSCOPY,1740,2088.0
FMENTL0005,SURGERY OF VOCAL CORDS,2780,3336.0
FMENTL0006,EXCISION OF VOCAL CORDS MICRO-,2900,3480.0
FMENTL0007,MICROSCOPIC SURGERY OF CORAL -,3244,3892.8
FMENTL0008,OPEN SURGERY FOR CORAL,2780,3336.0
FMENTL0009,EXCISION OF LARYNGOCELE,2780,3336.0
FMENTL0010,EXCISION OF PHARYNGEAL POUCH,2900,3480.0
FMENTL0011,DIATHERMY TREATMENT OF,2900,3480.0
FMENTL0012,SURGERY FOR CA. OF LARYNX -,4632,5558.4
FMENTL0013,SURGERY FOR CA.LARYNX - TOTAL,4632,5558.4
FMENTL0014,SPEECH THERAPHY SESSION,120,144.0
FMENTL0015,INDIRECT LARYNGOSCOPY USING    ENDOSCOPE,155,186.0
FMENTL0016,LARYNGOPLASTY,2780,3336.0
FMENTL0017,SPEACH THERAPY SINGLE,130,156.0
FMENTL0018,LASER MIRCOSURGERY OF LARYNX,2555,3066.0
FMENTL0019,LASER MICROSURGERY OF THE LARY,4076,4891.2
FMENTL0020,LASER BIOPSY OF THE LARYNX,2555,3066.0
FMENTL0021,LASER ARETENOIDECTOMY,3092,3710.4
FMENTL0022,ADDITIONAL USE OF LASER,725,870.0
FMENTL0023,DELAYED SPEECH & LANG.DEVELOP- MENT,370,444.0
FMENTL0024,STUTTERING&STAMMERING SESSION,445,534.0
FMENTL0025,DEFECT IN ARTICULATION SESSION,445,534.0
FMENTL0026,VOICE DISORDER SESSION,445,534.0
FMENTL0027,SPEECH ASSESTMENT,330,396.0
FMENTL0028,STANDARDIZED ARABIC LANGUAGE TEST,310,372.0
FMENTL0029,ARTICULATION  TEST,105,126.0
FMENTL0030,CHILDHOOD AUTISM RATING  SCALE (CARS),155,186.0
FMENTL0031,ILLINOIS TEST OF PSYCHOLIONGUISTIC ABILITIES,415,498.0
FMENTL0032,PORTAGE  EVALUATION,210,252.0
FMENTL0033,COUNSELLING SESION,105,126.0
FMENTL0034,STIMULATION  SESSIONS,210,252.0
FMENTL0035,PORTAGE  PROGRAM  FOR  2 WEEKS (2SESSIONS),260,312.0
FMENTL0036,PORTAGE  PROGRAM  FOR  1  MONTH  (3SESSIONS),465,558.0
FMENTL0037,PORTAGE  PROGRAM FOR  2  MONTHS (5SESSIONS),670,804.0
FMENTL0038,AUTISM  PER SESSIONS,150,180.0
FMENTL0039,STANDARDIZED ARABIC LANGUAGE TEST (MULTIPLE),775,930.0
FMENTL0040,ARTICULATION TEST (TYPE II),365,438.0
FMENTL0041,CHILDHOOD AUTISM RATING SCALE (TYPE II),465,558.0
FMENTL0042,ILLIONOIS TEST OF SPYCHOLIGUISTIC ABLTS (MUL SESSI,825,990.0
FMENTL0043,PORTAGE EVALUATION (MULTIPLE SESSIONS),670,804.0
FMENTL0044,PORTAGE PROGRAM (MULTIPLE SISSION),620,744.0
FMENTL0045,VOICE THERAPY SESSION (SINGLE),210,252.0
FMENTL0046,STUTTERING THERAPY SESSION(SINGLE),210,252.0
FMENTL0047,DLD SESSION (SINGLE ),210,252.0
FMENTM0001,CONDYLECTOMY,2205,2646.0
FMENTN0001,SUTURE OF LACERATION OF NOSE   (EACH),115,138.0
FMENTN0002,EXCISION OF LIMITED TUMOUR OF,3244,3892.8
FMENTN0003,NASOVESTIBULAR CYST,2320,2784.0
FMENTN0004,PROETZ MANOEUVRE (NASAL SINUS,155,186.0
FMENTN0005,RHINOSCOPY,95,114.0
FMENTN0006,ALLERGY PRICK TEST,475,570.0
FMENTN006,ALLERGY PRICK TEST,445,534.0
FMENTN2001,FOREIGN BODY REMOVAL,310,372.0
FMENTN2002,RHINOLITH EXTRACTION,2220,2664.0
FMENTN2003,CLOSED REDUCTN OF NASAL FRACT.,1440,1728.0
FMENTN2004,REDUCTION OF NASAL FRACTURE -,145,174.0
FMENTN2005,INCISION & DRAINAGE OF SEPTAL,945,1134.0
FMENTN2006,INCISION & DRAINAGE OF SEPTAL,930,1116.0
FMENTN2007,CONTROL OF EPISTAXIS BY ANTER- NASAL PACKING,350,420.0
FMENTN2008,CONTROL OF EPISTAXIS BY ANT. &,1160,1392.0
FMENTN2009,CONTROL OF EPISTAXIS BY CHEM.  CAUTERIZATION - UNILATERAL,120,144.0
FMENTN2010,CONTROL OF EPISTAXIS BY CHEM.  CAUTERIZATION - BILATERAL,155,186.0
FMENTN2011,CONTROL OF EPISTAXIS BY ELECT. CAUTERIZATION - UNILATERAL,235,282.0
FMENTN2012,CONTROL OF EPISTAXIS BY ELECT. CAUTERIZATION - BILATERAL,350,420.0
FMENTN2013,CORTICOSTEROID INJ.-TURBINATE,115,138.0
FMENTN2014,CAUTERY - SUBMUCOSAL DIATHERMY,350,420.0
FMENTN2015,CAUTERY - SUBMUCOSAL DIATHERMY,585,702.0
FMENTN2016,TURBINECTOMY - LATEAL FRACTURE,1350,1620.0
FMENTN2017,TURBINECTOMY LATERAL FRACTURE,1350,1620.0
FMENTN2018,TURBINECTOMY-CRYOSURGERY-UNILA,470,564.0
FMENTN2019,TURBINECTOMY-CRYOSURGERY-BILAT,815,978.0
FMENTN2020,TURBINECTOMY-PARTIAL EXCISION-,1350,1620.0
FMENTN2021,TURBINECTOMY-PARTIAL EXCISION,1350,1620.0
FMENTN2022,TURBINECTOMY - TOTAL,1600,1920.0
FMENTN2023,OTHER TURBINECTOMIES (MIDDLE-,1395,1674.0
FMENTN2024,PERNASAL REMOVAL OF ALLERGIC,1395,1674.0
FMENTN2025,PERNASAL REMOVAL OF ALLERGIC,1740,2088.0
FMENTN2026,PERNASAL REMOVAL OF POLYPI -,1740,2088.0
FMENTN2027,PERNASAL REMOVAL OF POLYPI -,2320,2784.0
FMENTN2028,PERNASAL REMOVAL OF POLYPI -,1740,2088.0
FMENTN2029,PERNASAL REMOVAL OF POLYPI -,1740,2088.0
FMENTN2030,ANTROCHOANAL POLYPECTOMY WITH,2780,3336.0
FMENTN2031,ANTROCHOANAL POLYPECTOMY WITH-,1395,1674.0
FMENTN2032,NASAL ADHISIONS UNILATERAL,1160,1392.0
FMENTN2033,NASAL ADHESIONS - BILATERAL,1740,2088.0
FMENTN2034,DEBRIDEMENT-ATROFIC RHINITIS - UNILATERAL,115,138.0
FMENTN2035,DEBRIDEMENT-ATROFIC RHINITIS - BILATERAL,180,216.0
FMENTN2036,SILASTIC IMPLANTATION ATROFIC,2780,3336.0
FMENTN2037,REPAIR OF CHOANAL ATRESIA-UNIL,2900,3480.0
FMENTN2038,REPAIR OF CHOANAL ATRESIA-BILA,3704,4444.8
FMENTN2039,NOSE RECONSTRUCTION-RHINOPLAST,3704,4444.8
FMENTN2040,LIMITED RHINOPLASTY,2900,3480.0
FMENTN2041,AUGMENTATION RHINOPLASTY,2900,3480.0
FMENTN2042,REVISION OF RHINOPLASTY,3704,4444.8
FMENTN2043,RHINOSEPTOPLASTY,3500,4200.0
FMENTN2044,REVISION RHINOSEPTOPLASTY,4632,5558.4
FMENTN2045,SEPTOPLASTY,2200,2640.0
FMENTN2046,REVISION SEPTOPLASTY,3250,3900.0
FMENTN2047,SUBMUCOUS RESECTION OF SEPTUM,1350,1620.0
FMENTN2048,REPAIR OF SEPTAL PERFORATION,2780,3336.0
FMENTN2049,BIOPSY OF NOSE,585,702.0
FMENTN2050,SURGERY OFTUMOUR OF NASAL -,2900,3480.0
FMENTN2051,SURGERY OF TUMOUR OF NASAL -,3704,4444.8
FMENTN2052,SURGERY OF TUMOUR OF NASAL -,2900,3480.0
FMENTN2053,SURGERY OF TUMOUR OF NASAL -,3704,4444.8
FMENTN2054,CHANGE OF NASAL SPLINT,65,78.0
FMENTN2055,REMOVAL OF NASAL PACK,145,174.0
FMENTN2056,LASER APPLIC.TO INT.TURBINATES,1740,2088.0
FMENTN2057,LASER APPLIC.TO INFER.TURBINA-,2320,2784.0
FMENTN2058,LASER ARETENOIDECTOMY,3092,3710.4
FMENTN2059,ENDOS.MEATUS AUTROSTOMY(UNILA-,1740,2088.0
FMENTN2060,ENDOS.MIDDLE MEATUS AUTROS(BIL,2320,2784.0
FMENTN2061,TRANS-NASAL HYPOPHYSECTOMY,10195,12234.0
FMENTN2062,NASAL SINUSCOPY,125,150.0
FMENTN2063,NASAL ENDOSCOPY,120,144.0
FMENTN2064,NASAL SINUSCOPY WITH BIOPSY,395,474.0
FMENTN2065,INCISSION OF NASAL ABSCESS,235,282.0
FMENTN2066,ADDT'L CODE FOR PHOTO,65,78.0
FMENTN2067,SKIN TEST FOR NASAL ALLERGY,580,696.0
FMENTN2068,CLOSURE OF ORO-NASAL FISTULA,1325,1590.0
FMENTO0001,SUTURE OF LACERATION OF LIP    (EACH),115,138.0
FMENTO0002,SUTURE OF LACERATION OF TONGUE,115,138.0
FMENTO0003,SUTURE OF LACERATION OF SOFT - PALATE,550,660.0
FMENTO0004,REPAIR OF PARTIAL CLEFT PALATE,2320,2784.0
FMENTO0005,PARTIAL EXCISION OF PALATE,1160,1392.0
FMENTO0006,BONY TUMOURS OF THE PALATE,2900,3480.0
FMENTO0007,UVULECTOMY,780,936.0
FMENTO0008,FRENOTOMY,930,1116.0
FMENTO0009,REMOVAL OF FOREIGN BODY-THROAT,245,294.0
FMENTO0010,FOREIGN BODY EXTRACTION-MOUTH,180,216.0
FMENTO0011,CAUTERIZATION OF MOUTH ULCER - CHEMICAL,350,420.0
FMENTO0012,CAUTERIZATION OF MOUTH ULCER - CRYOCAUTERY,760,912.0
FMENTO0013,MARSUPIALIZATION OF SALIVARY,1740,2088.0
FMENTO0014,REMOVAL OF CALCULUS FROM -,1490,1788.0
FMENTO0015,LASER UVULECTOMY,1325,1590.0
FMENTO0016,LASER EXCISSION OF MALIGNANT,3704,4444.8
FMENTO0017,SUPERFICIAL PAROTIDECTOMY,2550,3060.0
FMENTO0018,SUBMANDIBULAR SAILADERECTOMY,2555,3066.0
FMENTO0019,GLOSSOPLASTY,2765,3318.0
FMENTP0001,NASOPHARYNGOSCOPY,125,150.0
FMENTP0002,NASOPHARYNGEAL EXAM. & BIOPSY,1160,1392.0
FMENTP0003,ADENOIDECTOMY,1045,1254.0
FMENTP0004,REVISION ADENOIDECTOMY,1395,1674.0
FMENTP0005,ADENOTONSILLECTOMY,1480,1776.0
FMENTP0006,CONTROL OF HAEMORRHAGE AFTER -,295,354.0
FMENTP0007,CONTROL OF HAEMORRHAGE AFTER -,1045,1254.0
FMENTP2001,REMOVAL OF TONSILLO-LITHS -,180,216.0
FMENTP2002,REMOVAL OF TONSILLO-LITHS-,930,1116.0
FMENTP2003,INCISION & DRAINAGE OF TONSIL-,295,354.0
FMENTP2004,INCISION & DRAINAGE OF PERIT-,380,456.0
FMENTP2005,INCISION & DRAINAGE OF RETRO-,1160,1392.0
FMENTP2006,INCISION & DRAINAGE OF PARA-,2320,2784.0
FMENTP2007,TONSILLECTOMY UNDER 12 YEARS,930,1116.0
FMENTP2008,TONSILLECTOMY - 12 YEAR & OVER,1350,1620.0
FMENTP2009,EXCISION OF LINGUAL TONSIL,1160,1392.0
FMENTP2010,EXCISION OF TONSILAR TAG,1160,1392.0
FMENTP2011,TONSILLECTOMY FOR BENIGN TUMOR,2320,2784.0
FMENTP2012,CONTROL OF HAEMORRHAGE AFTER-,350,420.0
FMENTP2013,CONTROL OF HAEMORRHAGE AFTER-,585,702.0
FMENTP2014,CONTROL OF HAEMORRHAGE AFTER -,1740,2088.0
FMENTP2015,ORAL BIOPSY,350,420.0
FMENTP2017,EXCISION OF VALLECULAR CYST,2320,2784.0
FMENTP2018,PALATOPHARYNGOPLASTY,3704,4444.8
FMENTP3001,HYPOPHARYNGOSCOPY UNDER L.A.,585,702.0
FMENTP3002,HYPOPHARYNGOSCOPY UNDER G.A.,1160,1392.0
FMENTP3003,HYPOPHARYNGOSCOPY WITH REMOVAL,1740,2088.0
FMENTP3004,HYPOPHARYNGOSCOPY WITH BIOPSY,1395,1674.0
FMENTP3005,LASER TONSILLECTOMY,1740,2088.0
FMENTP3006,LASER PALATOPLASTY,4632,5558.4
FMENTP3007,LASER EXCISSION OF BENIGN TUM.,2900,3480.0
FMENTP3008,CRICO-PHARYNGEAL MYOTOMY,3060,3672.0
FMENTP3009,LASER EXCISSION OR LINGUAL,2205,2646.0
FMENTP3010,EXCISION OF ELONGATED STYLOID,1545,1854.0
FMENTP3011,LASER ASSISTED UVULOPALATOPLAS,3000,3600.0
FMENTP3012,LASER ASSISTED UVULOPALATOPLAS,2800,3360.0
FMENTP3013,PRE-OPERATIVE EVALUATION OF,1275,1530.0
FMENTP3014,POST OPERATIVE EVALUATION OF,905,1086.0
FMENTP3015,PRE & POST EVALUATION OF OSAS,1910,2292.0
FMENTP3016,C P A P,2290,2748.0
FMENTR0001,RADIO FREQENCY APPLIACATION TO,1910,2292.0
FMENTR0002,RADIO FREQUENCY APPLICATION TO,2545,3054.0
FMENTR0003,RDO. PREQ. APPL. TO THE PALAT],2545,3054.0
FMENTR0004,RDO. FREQ. APPL. TO THE TONGUE,2545,3054.0
FMENTR0005,RDO.FREQ.APPL.TO THE INFER. TU,3048,3657.6
FMENTR0006,RDO. FREQ. APPL. TO INFER. TUR,3048,3657.6
FMENTR0007,RDO. PREQ.APPL. INFR. TURB. TO,4060,4872.0
FMENTR0008,RADIO FREQUENCY APPLICATION TO,3048,3657.6
FMENTS0001,ANTRAL PUNCTURE + WASH-UNILAT.,350,420.0
FMENTS0002,ANTRAL PUNCTURE + WASH-BILAT.,585,702.0
FMENTS0003,INTRANASAL ANTROSTOMY-BILAT.,1395,1674.0
FMENTS0004,INTRANASAL ANTROSTOMY -UNILAT.,815,978.0
FMENTS0005,ANTRAL SINUSCOPY - UNILATERAL,815,978.0
FMENTS0006,ANTRAL SINUSCOPY - BILATERAL,1395,1674.0
FMENTS0007,EXCISION OF LESION MAXILLARY,1160,1392.0
FMENTS0008,EXCISN OF LESION OF MAXILLARY,1395,1674.0
FMENTS0009,CALDWELL-LUC OPERATION,2555,3066.0
FMENTS0010,TRANSANTRAL APPROACH FOR CORR-,2900,3480.0
FMENTS0011,BIOPSY OF MAXILLIARY SINUS,1160,1392.0
FMENTS0012,RADICAL MAXILLECTOMY,5564,6676.8
FMENTS0013,REPAIR OF ORO-ANTRAL FISTULA,2780,3336.0
FMENTS0014,ETHMOID SINUSCOPY,930,1116.0
FMENTS0015,TRANSNASAL ETHMOIDECTOMY,2900,3480.0
FMENTS0016,TREPHINE OF THE FRONTAL SINUS,1160,1392.0
FMENTS0017,EXTERNAL OPERATION ON FRONTAL,3704,4444.8
FMENTS0018,BONY TUMOURS OF NASAL SINUSES-,3704,4444.8
FMENTS0019,BONY TUMPURS OF NASAL SINUSES-,5564,6676.8
FMENTS0020,ENDOSCOPIC SINUS SURGERY,2780,3336.0
FMENTS0021,ADD'L FEE FOR COM.OR OVER 3HRS,585,702.0
FMENTS0022,FUNCTIONAL ENDOSCOPIC SINUS,2675,3210.0
FMENTS0023,SPECCH PROCESSOR OF COCHLEAR IMPLAN,5072,6086.4
MTENT-0001,TONSELECTOMY,1810,2172.0
MTENT-0002,ADENOIDECTOMY,1100,1320.0
MTENT-0003,TONSELECTOMY WITH ADENOIDECTOMY,990,1188.0
MTENT-0004,PIERCING OF EARLOBE (L.A.),525,630.0
MTENT-0005,PIERCING OF EARLOBE ANDINSERTION (L.A.),595,714.0
MTENT-0006,PIERCING OF EARLOBE & INSERTION (G.A.),1530,1836.0
MTENT-0007,REPAIR OF EARING TEAR OF THE EAR (L.A.),1005,1206.0
MTENT-0008,REPAIR OF EARING TEAR OF THE EAR (G.A.),1940,2328.0
MTENT-0009,SUTURE OF LACIRATION OF THE EAR (L.A),565,678.0
MTENT-0010,SUTURE OF LACERATION OF THE EAR (G.A.),1490,1788.0
MTENT-0011,ASPIRATION OF HAEMATOMAY (L.A.),1005,1206.0
MTENT-0012,ASPIRATION OF HAEMATOMA (G.A.),1940,2328.0
MTENT-0013,DRAINAGE OF AURICULAR (L.A),1155,1386.0
MTENT-0014,DRAINAGE OF AURICULAR CYST(G.A.),2085,2502.0
MTENT-0015,EXCISION OF KELOID (L.A.),1880,2256.0
MTENT-0016,EXCISION OF KELOID (G.A.),2815,3378.0
MTENT-0017,INCISION OF ABSCESS OF EXT. EAR (L.A.),710,852.0
MTENT-0018,EXCISION OF ASBCESS OF EXT. EAR (G.A.),1640,1968.0
MTENT-0019,REMOVAL OF  FOREING BODY W/OUT MIC (L.A),635,762.0
MTENT-0020,REMOVAL OF FOREIGN BODY W/OUT MIC (G.A.),1570,1884.0
MTENT-0021,REMOVAL OF FOREIGN BODY IMPACTED (L.A.),850,1020.0
MTENT-0022,REMOVAL OF FOREIGN BODY IMPACTED (G.A.),1790,2148.0
MTENT-0023,REMOVAL OF FOREIGN BODY W/MIC (L.A.),1590,1908.0
MTENT-0024,REMOVAL OF FOREIGN BODY W/MIC (G.A.),2520,3024.0
MTENT-0025,REMOVAL OF F.B. W/MIC & INCISN (L.A.),1745,2094.0
MTENT-0026,REMOVAL OF F.B. W/MIC & INCN (G.A.),2675,3210.0
MTENT-0027,DEBRIDEMENT OF EAR INFECTION UNILATERAL (L.A.),710,852.0
MTENT-0028,DEBRIDEMENT OF EAR INFECTION UNILATERA (G.A.),1640,1968.0
MTENT-0029,DEBRIDEMENT OF EAR INFECTION BILATERAAL (L.A.),850,1020.0
MTENT-0030,DEBRIDEMENT OF EAR INFECTION BILATERAL (G.A.),1790,2148.0
MTENT-0031,BIOPSY OF EXT. EAR (L.A.),950,1140.0
MTENT-0032,BIOPSY OF EXT. EAR (G.A.),1870,2244.0
MTENT-0033,MYRINGOTOMY UNILAT (L.A),1005,1206.0
MTENT-0034,MYRINGOTOMY UNILATERAL (G.A.),1800,2160.0
MTENT-0035,MYRINGOTOMY BILATERAL (L.A.),1590,1908.0
MTENT-0036,MYRINGOTOMY BILATERAL (G.A.),2100,2520.0
MTENT-0037,MYRINGOTOMY AND ASPIRATION OF FLUID UNILATERAL (LA,1155,1386.0
MTENT-0038,MYRINGOTOMY AND ASPIRATION OF FLUID UNILATERAL G.A,2085,2502.0
MTENT-0039,MYRINGOTOMY AND ASPIRATION OF FLUID BILATERAL L.A.,1880,2256.0
MTENT-0040,MYRINGOTOMY AND ASPIRATION OF FLUID BILATERAL G.A.,2815,3378.0
MTENT-0041,MYRINGOTOMY AND GROMMET INSERTION UNILATERAL L.A.,1590,1908.0
MTENT-0042,MYRINGOTOMY AND GOMMET INSERTION UNILATERAL G.A.,1800,2160.0
MTENT-0043,MYRINGOTOMY AND GROMMET INSER-TION BILATERAL (L.A.),1710,2052.0
MTENT-0044,MYRINGOTOMY AND GROMMET INSERTION BILATERAL G.A.,2100,2520.0
MTENT-0045,REMOVAL OF GROMMET'S TUBE     UNILATERAL (L.A.),565,678.0
MTENT-0046,REMOVAL OF GROMMET TUBE UNILATERAL G.A.,1490,1788.0
MTENT-0047,REMOVAL OF GROMMET TUBE BILATERAL L.A.,635,762.0
MTENT-0048,REMOVAL OF GROMMETS TUBE BILATERAL G.A.,1570,1884.0
MTENT-0049,DRESSING OF WOUND LARGE (L.A.),495,594.0
MTENT-0050,DRESSING OF WOUND LARGE G.A.,1430,1716.0
MTENT-0051,CHANGE OF TRACHEOSTOMY TUBE   (L.A.),755,906.0
MTENT-0052,CHANGE OF TRACHEOSTOMY TUBE  G.A.,1680,2016.0
MTENT-0053,SUTURE OF LACERATION OF THE   NOSE (L.A.),430,516.0
MTENT-0054,SUTURE OF LACERATION OF NOSE  (G.A.),1165,1398.0
MTENT-0055,FOREIGN BODY REMOVAL NOSE (L.A,710,852.0
MTENT-0056,FOREIGN BODY REMOVAL NOSE(G.A),1285,1542.0
MTENT-0057,INCISION AND DRAINAGE SEPTAL  HAEMA. (L.A.),1015,1218.0
MTENT-0058,INCISION AND DRAINAGE SEPTAL  HAEMA. (G.A.),1750,2100.0
MTENT-0059,INCISION AND DRAINAGE SEPTAL  ABSCESS (L.A.),1245,1494.0
MTENT-0060,INCISION AND DRAINAGE SEPTAL,1980,2376.0
MTENT-0061,CONTROL OF EPISTAXSIS BY ANT. PACKING (L.A.),850,1020.0
MTENT-0062,CONTROL OF EPISTAXSIS BY ANT. PACKING (G.A.),1400,1680.0
MTENT-0063,CONTROL OF EPISTAXSIS BY ANT. &POST. PACK (L.A.),1475,1770.0
MTENT-0064,CONTROL OF EPISTAXSIS BY ANT. & POST. PACK (G.A.),2210,2652.0
MTENT-0065,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY UNILATERAL (L.A.),710,852.0
MTENT-0066,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY UNILATERAL (G.A.),1640,1968.0
MTENT-0067,CONTROL OF EPISTAXSIS ELECTRO CAUTERY BILATERAL (L.A.),665,798.0
MTENT-0068,CONTROL OF EPISTAXSIS ELECTRO-CAUTERY BILATERAL (G.A.),1790,2148.0
MTENT-0069,BIOPSY OF THE NOSE (L.A.),1155,1386.0
MTENT-0070,BIOPSY OF THE NOSE (G.A.),1635,1962.0
MTENT-0071,REMOVAL OF NASAL PACK (L.A.),495,594.0
MTENT-0072,REMOVAL OF NASAL PACK (G.A.),1115,1338.0
MTENT-0073,NASAL SINUSCOPY WITH BIOPSY   (L.A.),710,852.0
MTENT-0074,NASAL SINUSCOPY WITH BIOPSY   (G.A.),1285,1542.0
MTENT-0075,INCISION OF NASAL ABSCESS(L.A),550,660.0
MTENT-0076,INCISION OF NASAL ABSCESS(G.A),1285,1542.0
MTENT-0077,SUTURE OF LACERATED LIP (L.A.),430,516.0
MTENT-0078,SUTURE OF LACERATED LIP (G.A.),1165,1398.0
MTENT-0079,SUTURE OF LACERATED TONGUE(L.A,580,696.0
MTENT-0080,SUTURE OF LACERATED TONGUE(G.A,1165,1398.0
MTENT-0081,SUTURE OF LACERATED SOFT PALA-TE (L.A.),430,516.0
MTENT-0082,SUTURE OF LACERATED SOFT PALA-TE (G.A.),1165,1398.0
MTENT-0083,FRENOTOMY OR TONGUE TIE RELEASE (L.A.),1245,1494.0
MTENT-0084,FRENOTOMY OR TONGUE TIE RELEA-SE (L.A.),1980,2376.0
MTENT-0085,REMOVAL OF F.B. THROAT (L.A.),635,762.0
MTENT-0086,REMOVAL OF F.B. THROAT (G.A.),1570,1884.0
MTENT-0087,FOREIGN EXTRACTION MOUTH (L.A),635,762.0
MTENT-0088,FOREIGN EXTRACTION MOUTH (G.A),1230,1476.0
MTENT-0089,CAUTERY OF MOUTH ULCER CHEMI- CAL (L.A),990,1188.0
MTENT-0090,CAUTERY OF MOUTH ULCER CHEMI- CAL (G.A.),1400,1680.0
MTENT-0091,CAUTERY OF MOUTH ULCER CRYOCAUTERY (L.A.),1155,1386.0
MTENT-0092,CAUTERY OF MOUTH ULCER CRYOCAUTERY (G.A.),1635,1962.0
MTENT-0093,CONTROL OF HGE AFTER ADENOIDE-CTOMY SGH (L.A.),610,732.0
MTENT-0094,CONTROL OF HGE. AFTER ADENOID-ECTOMY (G.A.),1345,1614.0
MTENT-0095,CONTROL OF HGE. AFTER ADENOI- DECTOMY OUTSIDE SGH (L.A.),1365,1638.0
MTENT-0096,CONTROL OF HGE. AFTER ADENOI- DECTOMY OUTSIDE SGH (G.A.),2100,2520.0
MTENT-0097,REMOVAL OF TONSILLO-LITHS     SMALL (L.A.),635,762.0
MTENT-0098,REMOVAL OF TONSILLO-LITHS     SMALL (G.A.),1230,1476.0
MTENT-0099,REMOVAL OF TONSILLO-LITHS     LARGE (L.A.),1245,1494.0
MTENT-0100,REMOVAL OF TONSILLO-LITHS     LARGE (G.A.),1980,2376.0
MTENT-0101,INCISION & DRAINAGE OF TONSIL-AR ABSCESS (L.A.),610,732.0
MTENT-0102,INCISION & DRAINAGE OF TONSIL AR ABSCESS (G.A.),905,1086.0
MTENT-0103,INCISION & DRAINAGE OF PERITONSILAR ABSCESS (L.A.),610,732.0
MTENT-0104,INCISION & DRAINAGE OF PERITONSILAR ABSCESS (G.A.),1345,1614.0
MTENT-0105,CONTROL OF HGE. AFTER TONS.   REACTIONARY (L.A),665,798.0
MTENT-0106,CONTROL OF HGE. AFTER TONS.   REACTIONARY (G.A.),1400,1680.0
MTENT-0107,CONTROL OF HGE. AFTER TONS.   2ND IN SGH (L.A.),900,1080.0
MTENT-0108,CONTROL OF HGE. AFTER TONS.   2ND IN SGH (G.A.),1635,1962.0
MTENT-0109,CONTROL OF HGE. AFTER TONS.   OUTSIDE SGH (L.A.),2100,2520.0
MTENT-0110,CONTROL HGE. AFTER TONS.      OUTSIDE SGH (G.A.),2790,3348.0
MTENT-0111,ORAL BIOPSY (L.A.),850,1020.0
MTENT-0112,ORAL BIOPSY (G.A.),1400,1680.0
MTENT-0113,HYPOPHARYNGOSCOPY UNDER (L.A),1155,1386.0
MTENT-0114,HYPOPHARYNGOSCOPY UNDER L.A.  (G.A.),1635,1962.0
MTENT-0115,ANTRAL PUNCTURE AND WASH UNI. (L.A.),665,798.0
MTENT-0116,ANTRAL PUNCTURE AND WASH UNI. (G.A.),1400,1680.0
MTENT-0117,ANTRAL PUNCTURE AND WASH BILAT(L.A.),900,1080.0
MTENT-0118,ANTRAL PUNCTURE AND WASH BILAT(G.A.),1635,1962.0
MTENT-0119,EXCISION OF NASAL ADHISION UNILATERAL,1880,2256.0
