Code,Discription,Price,SBS CODE,category
FMCTSS0022,REPAIR OF WOUND DEHESENCE,5775,30026-00-10,services
FMACUA0016,ACUPUNCTURE PER SESSION,165,93173-00-00,services
FMDER-0148,DERMOJET INJECTION-MEDIUM AREA,165,99999-99-99,services
FMLAB-5025,CHLAMYDIA TR. DIRECT SPECIMEN,165,73050-45-90,Laboratory
FMNEU-0145,MICRO VASCULAR DECOMPRESSION,5775,39112-00-00,services
FMNEU-0147,STAX IMPLANTATION OF DEPTH ELE,5775,99999-99-99,services
FMOBG-0183,DEBULRING OPERATION FOR OVARIN CA,5775,35720-00-00,services
FMLAB-6030,SWAB FOR INFECTION CONTROL,165,73050-40-90,Laboratory
FMPDS-0026,GASTROCHISIS REPAIR,5775,43864-00-00,services
FMENTS0009,CALDWELL-LUC OPERATION,5764,41710-00-00,services
FMENTE4020,TYMPANOPLASTY - TYPE V,5737,41542-00-01,services
FMNEU-0082,PERINEURAL CYST,5737,39324-02-00,services
FMSUR-2023,ACHALSIA OF CARDIA,5737,30532-00-00,services
FMURO-0110,"ESWL (I)  GRADE ""D""",5737,92199-00-00,services
FMURO-0117,LITHOTRIPSY (GRADE A),5737,36546-00-00,services
FMURO-0126,RECURRENT PYELOLOTHOTOMY FOR   STAGHORN STONE KIDNEY,5737,36543-00-01,services
FMORT-0652,"ARTHROSCOPIC FIX. OF BANKART   LESION, SHOULDER",5720,48960-00-01,services
FMONC-1004,CHEMOTHERAPY SINGLE INJECTION,165,96199-00-00,services
FMORT-0659,REMOVAL OF TUMOUR OF THE SPINE,5720,40309-00-00,services
FMORT-0440,P.O.P. TO SIMPLE FRACTURE 2ND  VISIT,165,96092-00-00,services
FMORT-0700,CERVICAL POSTERIOR DECOMPRESSI ON WITHOUT PLATTING,5720,40331-00-00,services
FMORT-0704,POSTERO LATERAL ROTERY INSTABI LITY (DLRI),5720,47363-00-01,services
FMORT-0705,TOTAL ELBOW PROSTESIS,5720,50127-00-01,services
FMENTE4017,TYMPANOPLASTY - TYPE II,5698,41641-00-01,services
FMORT-0444,P.O.P. TO SIMPLE FRACTURE W/O  DISPLACEMENT,165,96092-00-00,services
FMORT-0445,SKIN TRACTION,165,90531-00-00,services
FMENTS0020,ENDOSCOPIC SINUS SURGERY,5698,41764-01-00,services
FMENTE0033,FITTING HEARING AID AUDIOFLEX  110,5665,96092-00-41,services
FMENTE0034,FITTING HEARING AID STAR,5665,96092-00-41,services
FMENTE6021,HEARING AID PHILIPS S46-OL,5665,96092-00-41,services
FMENTE6022,HEARING AID PHILIPS S47,5665,96092-00-41,services
FMENTE6023,HEARING AID M30,5665,96092-00-41,services
FMENTE6055,HEARING AID AVIO 5-132-BTE,5610,96092-00-41,services
FMENTE6056,HEARING AID AVIO 5-133-BTE,5610,96092-00-41,services
FMENTE6078,HEARING AID AVIO 5-129-ITE,5610,96092-00-41,services
FMENTE6079,HEARING AID AVIO 5-121-ITC,5610,96092-00-41,services
FMENTE6080,HEARING AID AVIO 5-111-CIC,5610,96092-00-41,services
FMXRY-0914,ARCH AORTOGRAM,5610,60000-01-00,Radiology
FMXRY-0915,THORACIC AORTOGRAM,5610,59903-03-00,Radiology
FMXRY-0916,ABDOMINAL AORTOGRAM,5610,59903-03-00,Radiology
FMXRY-0946,ASPIRATION/DRAINAGE,5610,99999-99-99,Radiology
FMENTL0019,LASER MICROSURGERY OF THE LARY FOR MALIGNANT TUMOUR,5605,41861-00-00,services
SMY6826,CARTRIDGE ACT MEDTRONIC/HEMOCHRON #402-03/JACT+,171.5,45792,supplies
FMPTD-0064,LOCOMOTION THERAPY - 6S/1W/1M  6 SESSION/ 1 WEEK F,5599,96131-00-00,services
FMOPTE0024,Squint Unilateral,5577,42833-00-00,services
FMCARS0015,BALLON VALVULOPLASTY,5500,38270-03-00,services
FMCARS0017,P.T.C.A. (MULTI VESSEL),5500,38303-00-00,services
FMCAT-0012,P.T.C.A. (MULTI VESSEL),5500,38303-00-00,services
FMCAT-0018,PERICARDIAL TAPPING,5500,38359-00-00,services
FMCAT-0051,IVC FILTER INSERSION,5500,35330-00-01,services
FMCTS-0002,THORACOTOMY PLUS BIOPSY,5500,38418-00-00,services
FMCTS-0006,STERNOTOMY PLUS BIOPSY,5500,38418-00-00,services
FMCTS-0008,REPAIR OF DIAPHERNIA,5500,30601-01-00,services
FMCTS-0017,CERVICAL RIB EXCISION,5500,34139-00-01,services
FMCTS-0020,MEDIASTINOSCOPY OPERATIVE,5500,38448-01-00,services
FMCTS-0023,EXTERNAL PACE-MAKER,5500,38390-02-00,services
MS-C-000271,CONNECTOR STR. LL 1/4X1/4.,171.5,46453,supplies
FMCTS-0049,CORONARY ARTERY BYPASS GRAFTING (CABG),5500,38500-02-00,services
FMCTS-0050,CABG + VALVE SURGERY,5500,90201-00-00,services
FMCTS-0051,SINGLE VALVE SURGERY,5500,38488-09-00,services
FMCTS-0052,MORE THAN SINGLE VALVE SURGERY,5500,99999-99-99,services
FMCTS-0083,SUBAORTIC MEMBRANE EXCISION VIA OPEN HEART SURGERY,5500,38456-00-00,services
FMDER-0212,MELANOCYTE CULTURE SMALL,5500,99999-99-99,services
FMDER-0258,SEBACEOUS CYSTS,5500,30223-02-00,services
FMENDE0061,ACHALASIA DILATATION SESSION,5500,41828-00-00,services
FMENTS0052,EAR EXAMINATION UNDER GENERAL ANESTHESIA BILATERAL,5500,90119-00-02,services
FMNEU-0169,INSERTION OF HALO VEST UNDER LOCAL ANESTHESIA &  C-ARM GUIDE,5500,47717-00-00,services
FMNEU-0171,REMOVAL OF EXTRA DURAL HAEMOTOMA,5500,39600-00-00,services
FMOBG-0131,DEFLORATION INJURY,5500,99999-99-99,services
MS-D-001057,DRAPE OPTHALMIC 120x120CM DOUBLE LCP F/CATARACT TIO MEDICAL #EYE,171.5,46697,supplies
FMODT-0068,CLICKING TMJ [FJO],5500,971,services
FMODT-0078,GRADE II MALOCCL. 2ND DEPOSIT,5500,963,services
FMOPTH0016,REPAIR OF RUPTURED GLOBE USING SCLARAL FLAP,5500,42551-02-00,services
FMORT-0835,TENDOACHILLIS  TENDON REPAIR,5500,49718-01-00,services
FMORT-0878,ORIF NECK FEMUR (PINNING),5500,47519-00-01,services
FMPDS-1002,PERITOREAL DRAINAGE,5500,30394-00-00,services
FMPDT-0187,PORTAL CATH INSERTION,5500,34528-02-00,services
MS-S-010494,Suit Protective Coveralls Double Extra-large ( XXL) Size 3M  Barrier # 4570,171.5,35334,supplies
FMANA-9902,ANAESTHETIC DOCTOR,176,83670-00-60,services
FMPSDB0001,RHINOPLASTY (COMPLETE),5500,45638-00-00,services
FMPSDG0005,AUGMENTATION MAMMOPLASTY (ONE0 SIDE),5500,45524-00-00,services
MS-S-010493,Suit Protective Coveralls  Extra-large ( XL) Size 3M  Barrier # 4570,177.625,35334,supplies
FMSUR-2159,UNILATERAL ILIAC ARTERY ANGIOPLASTY,5500,33836-02-01,services
FMSUR-3048,VENOUS ANGIOPLASTY BILATERAL,5500,35303-07-00,services
FMSUR-9024,PSARVUP FOR REPAIR OF CLOACA,5500,43882-00-00,services
FMSUR-9026,DUHAMEL OPERATION FOR HIRSCHSPRUNG'S DISEASE,5500,43816-02-00,services
FMSUR-9031,GASTRIC BY PASS,5500,30512-00-00,services
FMSUR-9136,EXCISION OF CAVERNOUS HAEMANGIOMA,5500,45033-06-00,services
FMURO-0163,RECURRENT VESICO VAGINAL FISTULA,5500,37029-00-00,services
FMURO-2078,LAPAROSCOPIC PYELOPLASTY,5500,36564-00-00,services
FMERDC0012,AMBULANCE W / NURSE & DOCTOR (MADINAH TO AL AIS),182,83520-00-00,services
FMORT-0355,COLCHICINE COURSE (6 WEEKS),5473,50124-01-10,services
FMORT-0553,ORTHOSIS II,5473,96092-00-00,services
FMXRY-0232,VERTEBRAL ARTERY 1ST RUN,5467,59970-02-00,Radiology
FMOBG-0034,MICRO TUBAL SURGERY,5462,35638-09-00,services
FMONC-1003,INTRATHECAL INJECTION OF MEDICATION,182,96198-19-00,services
FMPDT-0031,ENDOTRACHEAL SUCTION MUCOUS    OR ASPIRATION INFANT OVER 3 YR,182,38803-00-00,services
FMLAB-2133,IMMUNO HISTOCHEMISTRY PANEL (12MARKERS),5456,73200-08-40,Laboratory
FMENTE6030,HEARING AID - BOSCH STAR 33 PP,5445,96092-00-41,services
FMENTE6031,HEARING AID -UNITRON 80 APPL,5445,96092-00-41,services
FMENTE6032,HEARING AID BOSCH STAR 42 PPSP,5445,41880-00-00,services
FMDNTP0039,UPPER/LOWER DENT.VITAL.TYPE I,5341,97719-00-00,services
FMDNTS0060,RIDGE AUGEMENTATION,5341,45841-00-00,services
FMDNTS0140,TRANSPOSITION FLAP (MODERATE),5341,45239-00-00,services
FMDNTS0151,PHARYNGOPLASTY,5341,45716-00-00,services
FMDNTS0166,CHIN AUGMENTATION (LARGE),5341,45761-01-00,services
FMDNTS0167,OSTEOTOMY BODY MANDIBLE (I/O),5341,45726-00-00,services
FMDNTS0171,OSTEOTOMY IN THE CONDYLAR NECK,5341,45726-00-00,services
FMDNTS0175,OSTEOTOMY MAXILLA (LOCALIZED),5341,45720-01-00,services
FMDNTS0180,GRAFTING SOFT TISSUE (LARGE),5341,45439-00-00,services
FMDNTS0182,GRAFTING HARD TISSUE (MEDIUM),5341,83700-00-00,services
FMONC-0019,RADIATION (HALF COST),5341,15254-00-00,services
FMORW-0031,LUMBAR SPINE BRACE,5341,96092-00-00,services
FMORW-0036,PARTIAL HAND PROSTEHSIS COSME- TIC FOREARM CUFF,5341,96092-00-00,services
FMORT-0201,TRIPLE ARTHRODESIS (TALUS TO   CALCANEUS TO CABOID &NAVICULAR,5308,49815-00-00,services
FMDNTO0049,ORTHODONTIC DEPOSIT,5280,963,services
FMLAB-9868,ALPHA THALASEMIA DNA ANALYSIS,5280,73050-42-50,Laboratory
FMOBG-0041,VESICO VAGINAL FISTULA REPAIR,5280,37029-00-00,services
FMPDT-0102,PROPHYLACTIC GEN.CHECKUP PGC-2,182,96037-00-00,services
FMSUR-2042,ADJ. SILICONE GASTRIC BANDING,5280,31587-00-00,services
FMENTE6057,HEARING AID AVIO 3-127-BTE,5269,96092-00-41,services
FMPDT-0103,PROPHYLACTIC GEN.CHECKUP PCG-3,182,96037-00-00,services
FMNEU-0137,CORPUS CALLOSOTOMY FOR EPILEPS Y,5198,40700-00-00,services
FMPDS-0052,EXCISION OF CYSTIC HYGROMA,5198,45033-06-00,services
FMPDS-0070,REPAIR OF CLOACAL EXTROPHY,5198,43882-00-00,services
FMDNTS0244,T.M.J. INTERNAL DERANGMENT,5137,971,services
FMDNTS0252,SEGMENTAL ONE JAW MODERATE,5137,45608-01-01,services
FMPDT-0104,PROPHYLACTIC GEN.CHECKUP PGC-4,182,96037-00-00,services
FMPDT-0105,PROPHYLACTIC GEN.CHECKUP PGC-5,182,96037-00-00,services
FMNSCA0035,POSTERIOR ATLANTO-AXIAL SPINAL,5137,48642-00-00,services
FMNSCA0036,TRANS-ORAL ATLANDO-AXIAL FUSION,5137,48660-00-00,services
FMNSCA0038,ANTERIOR THORACIC INTERBODY,5137,48660-00-00,services
FMNSCA0040,POSTEROLATERAL WITH INTERBODY,5137,48648-00-00,services
FMNSCA0041,POSTERIOR OSTEOTOMY WITH FUSI-,5137,99999-99-99,services
FMNSCA0047,FUSION IN SITU FOR CONGENITIAL,5137,99999-99-99,services
FMPDT-0106,PROPHYLACTIC GEN.CHECKUP PGC-6,182,96037-00-00,services
FMPDT-0107,PROPHYLACTIC GEN.CHECKUP PGC-7,182,96037-00-00,services
FMNSCA0060,POSTERIOR INSTRUMENTATION  WITH,5137,99999-99-99,services
FMORT-0035,POSTERIOR ATLANTO-AXIAL  SPINAL,5137,48642-00-00,services
FMORT-0036,TRANS-ORAL ATLANDO-AXIAL  FUSION,5137,48660-00-00,services
FMORT-0038,ANTERIOR THORACIC  INTERBODY,5137,48660-00-00,services
FMPSYA0013,MAINTAINING DIRECTION,182,96101-00-00,services
FMORT-0060,POSTERIOR INSTRUMENTATION WITH,5137,99999-99-99,services
SMY7144,PAPER CTG THERMAL 152X90 160SHEET F/FETAL MONITOR #7981,183.75,16754,supplies
FMORT-0731,FUSION IN SITU FOR  CONGENITIAL,5137,50336-00-00,services
FMPTD-0115,MEDICAL BATH + MASSAGE(MANUAL OR ELECTRICAL ),187,96162-00-00,services
FMORT-0746,POSTERIOR OSTEOTOMY WITH FUSI,5137,90569-00-01,services
FMORT-0749,POSTEROLATERAL WITH  INTERBODY,5137,48648-00-00,services
FMENTE6003,HEARING AID  M35,5115,41557-02-01,services
FMSUR-7016,FEMORO POPLITEAL ANGIOPLASTY,5104,32763-06-00,services
SMT1025,SPIROMETER AIR INCENTIVE INTERTECT #2000/8884-719033,196,31266,supplies
FMDER-0193,INTRACORPORAL INJECTION I.C.I,198,37415-00-00,services
FMENTE4012,CLOSURE OF MASTOID FISTULA,5093,90117-00-01,services
FMENTE4019,TYMPANOPLASTY - TYPE IV,5093,41542-00-01,services
FMENTN2038,REPAIR OF CHOANAL ATRESIA-BILA,5093,45646-00-00,services
FMDER-4006,COMEDO EXTRACTION (LARGE AREA),198,99999-99-99,services
FMENTN2042,REVISION OF RHINOPLASTY,5093,45650-00-00,services
FMENTN2043,RHINOSEPTOPLASTY,5093,41671-02-00,services
FMENTN2051,SURGERY OF TUMOUR OF NASAL -   CAVITY - MALIGNANT,5093,90131-00-00,services
FMENTN2053,SURGERY OF TUMOUR OF NASAL -   SEPTUM - MALIGNANT,5093,31230-01-00,services
FMENTO0016,LASER EXCISSION OF MALIGNANT   TUMOUR OF THE TONGUE,5093,90135-00-00,services
FMENTP2018,PALATOPHARYNGOPLASTY,5093,41786-00-00,services
FMENTS0017,EXTERNAL OPERATION ON FRONTAL  ETHMOIDAL & SPHENOID SINUSES,5093,41749-00-00,services
FMENTS0018,BONY TUMOURS OF NASAL SINUSES- BENIGN,5093,41737-03-00,services
FMNEU-0019,CERVICAL DISC CLOWARD OP 1 LVL,5093,48660-00-00,services
FMNEU-0021,RECURRENT LUMBAR DISC,5093,40300-00-00,services
FMNEU-0024,DURAL REPAIR IN THE FLOOR OF   ANT. FOSSA,5093,39615-00-00,services
FMENTO0010,FOREIGN BODY EXTRACTION-MOUTH,198,92087-00-00,services
FMSUR-2073,PROCTO-SIGMOIDOSCOPY,198,32084-00-00,services
FMNEU-0061,REPAIR OF NERVE INJURY W/GRAFT,5093,39318-00-00,services
FMNEU-0111,TRIGEMINAL RHIZOTOMY PERCAUTE  NOUS,5093,99999-99-99,services
FMURO-0123,INJECTION OF PEROXINORM,198,50124-01-10,services
FMPDS-0065,"HYPOSPADIAS, SINGLE STAGE/SKIN TUBE URETHROPLASTY",5093,37827-00-00,services
FMPSDD0006,ABDOMINOPLASTY,5093,30165-00-00,services
FMORW-0078,CORRECTION OF SHOE - MIDIUM,204,96092-00-31,services
FMLAB-6052,RECTAL  SWAB CULTURE & SENSITI VITY,209,73050-40-90,Laboratory
MS-B-000797,BANDAGE CONTACT LENSE 6PK,218.45425,36054,supplies
FMACUA0002,ACUPUNCTURE THERAPY,220,93173-00-00,services
FMACUA0003,TRIGGER POINT INJECTION,220,93173-00-00,services
FMSUR-2022,VAGOTOMY & GASTROJEJUNOSTOMY,5093,30496-02-00,services
FMSUR-2056,"INTRA-ABDOMINAL MANIPULATION   OF INTESTINES,NOT OTHER SPEC",5093,90307-00-00,services
FMDER-0166,MILIA EXTRACTION - SMALL,220,31205-00-10,services
FMENTE6034,COCHLEAR FUNCTION MONITORING,220,96009-00-00,services
FMEXS-0001,EXTERNAL DOCTOR CONSULTATION,220,96037-00-00,services
FMLAB-1026,CLOTTING FACTOR 7,220,73100-03-40,Laboratory
FMSUR-2113,PARTIAL EXCISION OF LIVER,5093,30418-00-00,services
FMLAB-1027,CLOTTING FACTOR 8,220,73100-03-50,Laboratory
FMSUR-4022,NECK EXPLORATION,5093,90047-01-00,services
FMSUR-7011,CERVICAL DISC W/PLATE FUSION,5093,40332-00-00,services
FMLAB-1029,CLOTTING FACTOR 10,220,73100-03-20,Laboratory
FMLAB-2066,SEMEN FRUCTOSE,220,73050-13-60,Laboratory
FMURO-0043,RECURRENT REPAIR OF URETER,5093,90357-00-00,services
FMURO-0044,STAGHORN RENAL CALCULI,5093,99999-99-99,services
FMLAB-3021,PROLACTIN (PRL),220,73050-29-90,Laboratory
FMURO-0050,ILEAL BLADDER URINE DIVERSION,5093,36606-00-00,services
FMURO-0051,ILEOCAECAL-BLADDER URINE DIVER SION,5093,99999-99-99,services
FMURO-0052,BOARIPLASTY & TUNNEL BLADDER   DIVERSION,5093,36588-03-00,services
FMURO-0085,BLADDER AUGMENTATION OR DILATATION,5093,37047-01-00,services
FMURO-0086,ULTRASONIC STONE DISINTEGRATN,5093,92199-00-00,services
FMURO-0109,"ESWL (I) GRADE ""C""",5093,36549-00-00,services
FMURO-0127,BILATERAL LIGATION OF THE INT- ERNAL ILIAC VEIN,5093,34103-17-02,services
FMURO-0141,TRANSURETHRAL MICROWAVE HYPER- THERMIC TREAT.PROSTRATE(FULL P,5093,90395-00-00,services
FMDNTO0002,GRADE I MALOCCL. 1ST DEPOTSIT,5082,963,services
FMDNTO0011,GRADE III MALOCCL. 2ND DEPOSIT,5082,963,services
FMDNTO0051,ORTHODONTIC DEPOSIT,5082,963,services
FMORW-0115,PELVIC-THIGH ORTHOSIS - LARGE,5082,96092-00-00,services
FMDNTO0057,GRADE MODERATE MALOCCLUSION 1ST DEPOSIT,5071,963,services
FMODT-0095,GRADE MODERATE MALOCCLUSION IST DEPOSIT,5071,963,services
FMPDS-0130,REPAIR OF FEMORAL HERNIA.,5071,30614-00-00,services
FMPDS-0131,REPAIR OF INCISIONAL HERNIA.,5071,30403-00-00,services
FMLAB-9389,BILE DUCT ABS (CANAL),220,73050-04-10,Laboratory
FMSUR-9094,REPAIR OF VENTRAL HERNIA WITH MESH,5071,30405-04-00,services
FMPSDK0043,ROTATIONAL FLAP AFTER TISSUE EXPANDER,5016,45200-00-00,services
FMORT-0703,REPAIR OF BANKART LESION SHOUL DER PER ARTHROSCOPY,5005,48960-00-01,services
FMORT-0016,BONE LENGTHENING W/BONE GRAFT  AT UNSPEC. SITE,4972,50303-00-00,services
FMORT-0017,BONE LENGHTENING W/BONE GRAFT  AT FEMUR,4972,50303-00-00,services
FMORT-0018,BONE LENGHTENING W/ BONE GRAFT AT TIBIA & FIBULA,4972,50303-00-00,services
FMORT-0024,INT. FIXATN OF BONE AT HUMERUS,4972,47921-00-01,services
FMORT-0027,INT. FIXATN OF BONE FEMUR,4972,47519-00-01,services
FMORT-0040,REVISN OF DISPL.OR BROKEN FIX. DEVISE UNSPEC. SITE,4972,47921-00-01,services
FMORT-0042,REVISN OF DISPL.OR BROKEN FIX. DEVICE AT HUMERUS,4972,47921-00-01,services
FMLAB-9390,BILE DUCT ABS (EPITHELIAL),220,73250-00-20,Laboratory
FMLAB-9482,FACTOR  II,220,73100-02-30,Laboratory
FMLAB-9483,FACTOR COAGULAT ACTIVITY,220,73100-04-90,Laboratory
FMLAB-9484,FACTOR VIII RISTOCETIN COFACTO R,220,73100-02-80,Laboratory
FMLAB-9485,FACTOR VIII INHIBOTOR,220,73100-04-60,Laboratory
FMORT-0200,ANKLE FUSION(TIBUTALAR FUSION),4972,49712-00-00,services
FMORT-0203,MIDTARSAL FUSION,4972,44364-00-01,services
FMORT-0209,ARTHRODESIS OF HIP,4972,49306-00-00,services
FMORT-0210,ARTHRODESIS OF KNEE,4972,49509-01-00,services
FMORT-0211,ARTHRODESIS OF SHOULDER,4972,48939-00-01,services
FMORT-0212,ARTHRODESIS OF ELBOW,4972,49106-00-01,services
FMORT-0219,MEDIAL COLLATERAL LIGAMENT REPAIR,4972,49539-01-01,services
FMORT-0239,ARTHROPLASTY OF CARPALS W/O SYNTHETIC PROSTHESIS,4972,46324-00-01,services
FMORT-0267,DELAYED SUTURE OF OTHER TENDON OF HAND,4972,47963-02-01,services
FMORT-0317,AMPUTATION OF UPPER LIMB,4972,44328-01-00,services
FMORT-0319,AMPUTATION & DISARTICULATION   OF THUMB,4972,46465-00-01,services
FMORT-0324,DISARTICULATION OF SHOULDER,4972,44331-00-01,services
FMORT-0326,LOWER LIMB AMPUTATION,4972,44367-00-00,services
FMORT-0334,DISARTICULATION OF KNEE,4972,44367-01-00,services
FMORT-0335,AMPUTATION OF LEG THRU FEMUR,4972,44367-00-00,services
FMORT-0379,HIGH TIBIAL OSTEOTOMY W/ GRAFT,4972,48418-00-01,services
FMORT-0381,VALGUS OSTEOTOMY OF HIP,4972,48424-00-00,services
FMORT-0382,VARUS OSTEOTOMY OF HIP,4972,99999-99-99,services
FMORT-0383,OSTEOTOMY OF SHOULDER,4972,48412-00-01,services
FMORT-0388,OSTEOTOMY OF KNEE,4972,48424-06-01,services
FMORT-0404,SECOND REVISN OF CARPAL TUNNEL SYNDROME,4972,39331-01-01,services
FMORT-0433,PARTIAL KNEE REPLACEMENT,4972,49517-00-01,services
FMORT-0513,"ARTHROPLASTY OF SHOULDER,ELBOW & KNEE",4972,90533-00-01,services
FMORT-0514,HIND QUARTER OR FORE QUARTER   AMPUTATION,4972,44373-00-00,services
FMORT-0515,BONE LENGHTENING OR SHORTENING,4972,50300-00-00,services
FMLAB-9486,FACTOR VIII MULTIMERS,220,73100-03-00,Laboratory
FMLAB-9809,C.S.F DIRECT AGGLUT,220,73050-25-00,Laboratory
FMORT-0528,OPEN RED.& INT.FIX OF SYMPH.   PUBIS DISATASIS W/ OR W/O FRAC,4972,47486-00-01,services
FMORT-0547,OPEN.REDUC. W/ INT/FIX. FRAC.  ACHRONIC CLAVICULAR JOINT,4972,47465-01-01,services
FMORT-0590,GASTROCNEMIUS MUSCLE FLAP,4972,45009-01-00,services
FMORT-0605,SUPRACONDYLE OSTEOTOMY FEMUR,4972,48424-06-01,services
FMORT-0609,OSTEOTOMY OF FEMUR,4972,48424-06-01,services
FMORT-0638,REPAIR -NERVE INJURY W/O GRAFT,4972,39300-00-00,services
FMORT-0644,EXPLOR.OF RETRO-PERITO.REGION,4972,90952-00-00,services
FMENTE3022,FITTING OF DIGITAL SIEMENS HEARING AID,4950,96092-00-41,services
FMENTE6033,HEARING AID FITTING SENSO,4950,96092-00-41,services
FMORT-0576,"TRANSPED.FIX.,LAMINEC., INTER. AND SPINAL FUSION",4950,48654-00-00,services
FMPSD-1086,IMPLANTATION OF AMPUTATED HAND OR FOOT OR ORGAN,4950,99999-99-99,services
FMPSDJ0001,ROTATION FLAP (MAJOR),4950,45200-00-00,services
FMSUR-2046,VERTICAL BANDING GASTROPLASTY,4950,30511-08-00,services
FMSUR-3013,ARTERIOVENOUS FISTOIR GRAFT LOWERLIMB,4950,34509-00-00,services
FMNUM-2002,INJECTION OF TWO-2-MUSCLE,220,96197-19-00,services
FMSUR-3042,ARTERIAL OR VENOUS INJURY - MAJOR,4950,35202-00-00,services
FMSUR-9025,TRANSANAL PULL THROUGH FOR HIRSCHSPRIING DISEASE,4950,43816-02-00,services
FMPDT-0025,VENESECTION,220,13757-00-00,services
FMPSDA0021,REVISION OF CLEFT PALATE,4906,45713-00-00,services
FMPSDA0022,ORONASAL FISTULA,4906,45714-00-00,services
FMPSDA0023,PALATOPLASTY,4906,90142-01-00,services
FMPSDB0007,AUGMENTATION RHINOPLASTY(BONE- GRAFT),4906,45641-01-00,services
FMPSDB0012,PART. CONST. OF NOSE BY COMBINE PROCEDURE(FLAP & GRAFT,4906,45206-01-00,services
FMPTD-0096,ONE SESSION WEIGHT REDUCTION   (STEAM OR HYDRO+HYDRO+MASSAGE),220,92178-00-90,services
6320010066,GALACTOMINE 19,220,99999999999999,pharamcy
FMPSDD0019,BILATERAL THIGH LIFT,4906,30168-00-00,services
FMPSDE0003,PTOSIS BILATERAL,4906,45623-05-02,services
SMF3144,SEPTOGEL HAND DISINFECTANT BTL/500ML WITH PUMP,220.5,59102,supplies
FMPSDE0027,EXCISION OF CANCER OF ORAL CAVITY,4906,30275-00-00,services
FMPSDE0030,TOTAL EXCISION OF MAXILLA,4906,45596-00-00,services
FMLAB-9534,HPL (HUMAN PLACENTAL LACTOGEN),226,73050-22-20,Laboratory
FMPSDE0032,FORE HEAD FLAP TO ORAL CAVITY,4906,45206-09-00,services
FMOPTB0005,DAILY CONTACT LENS (ONE),227,96092-00-20,services
FMPSDF0017,TENDON GRAFT TO ONE FINGER,4906,90583-00-00,services
FMPSDI0009,EXCISION OF TUMOUR MANDIBLE    (TOTAL),4906,30241-00-01,services
FMPSDJ0017,LATISMUS DORSI MUSCLE FLAP,4906,45009-01-00,services
FMACUA0024,SLEEP INDUCING ACUPUNCTURE FOR INSOMNIA,231,93173-00-00,services
FMDNTS0087,SURGICAL EXCISION OF BENIGN TUMOUR IN JAW,4851,373,services
FMICU-0009,LUMBAR PUNCTURE,231,39000-00-00,services
FMINT-0058,AIRWAY RESISTENCE & CONDUCTANE,231,11503-13-00,services
FMOHU-0009,LUMBAR PUNCTURE,231,39000-00-00,services
FMOPTC0018,ELECTROLYSIS (BOTH EYELIDS),231,42587-05-01,services
FMIVF-0002,PERITONEAL OOCYTE AND SPERM TRANSFER (POST),4851,13215-00-00,services
FMNEU-0049,EXPLORATION OF THE SCIATIC NERVE  AND NEUROLLISIS,4851,39330-00-00,services
FMLAB-1025,CLOTTING FACTOR 5,242,73100-03-20,Laboratory
FMLAB-1030,CLOTTING FACTOR 11,242,73100-03-30,Laboratory
FMLAB-9026,PTH-INTACT (  PARATHORMONE),242,73050-26-70,Laboratory
FMOBG-0139,ABDOMINAL  METROPLASTY,4851,99999-99-99,services
FMOBG-0154,FALLOP.TUBE REANASTOMOSIS BIL.,4851,35694-01-00,services
FMOBG-0160,MODIFIED MACINDOE,4851,35565-00-00,services
FMOBG-0163,OVARIAN TUMORS RECURRENT(DEB.),4851,35717-01-00,services
FMOBG-0164,PROLAPSE CONGENITAL SLING OPER ATION,4851,35599-00-00,services
FMOBG-0165,"PELVIC ADHESIOLYSIS,EXCESSIVE",4851,35633-00-00,services
FMURO-0155,BLADDER NECK SUSPENSION,4851,35684-01-00,services
FMORT-0772,REPAIR OF BANKART LESION OF SHOULDER (OPEN) WITH SUBSCAPULARIS I,4813,90533-00-01,services
FMPSDK0204,ORIF OF COMMUNITED ANTERO LAT. WALL OF MAXILLA,4813,47789-00-01,services
FMSUR-1064,LAPAROSCOPIC REPAIR OF VENTRAL HERNIA,4813,30403-01-00,services
FMENT-0036,DEVICE OF SENSO-HEARING DEVICE,4769,41557-02-01,services
FMODT-0069,CLICKING TMJ [FJO].,4741,971,services
FMPDT-0007,LUMBAR PUNCTURE,242,39000-00-00,services
FMPSDH0016,REPAIR OF ALL TENDONS OF HAND  (FLEXORS),4681,46432-00-01,services
FMDNTP0027,FULL DENTURE ACRYLIC TYPE II,4675,97611-01-00,services
FMPDT-0096,REDUCTION OR TRIAL ENCLAMPED   INGUINAL HERNIA W/O OPERATION,242,92071-00-00,services
FMDNTS0139,TRANSPOSITION FLAP (SMALL),4675,45239-00-00,services
FMORW-0021,ABOVE KNEE ORTHO. UPTO 10 YRS.,4675,96092-00-00,services
FMORW-0035,PARTIAL HAND PROSTHESIS COSME- TIC,4675,96092-00-00,services
FMPDT-0108,PROPHYLACTIC GEN.CHECKUP PGC-8,242,96037-00-00,services
FMCTSS0021,INTERNAL PACE MAKER,4620,38353-00-00,services
FMERDC0023,AMBULANCE W / NURSE (MADINAH TO AL QASIM),4620,83500-00-80,services
FMNEU-0113,REMOVAL OF CONVEXITY MENINGIO  MA,4620,90007-02-00,services
FMNEU-0116,AV MALFORMATION BRAIN (SMALL),4620,35412-00-00,services
FMPTD-2160,Acupuncture Session,242,93173-00-00,services
