Service Code,Service Description,Price,Gross/Net,Discount %,Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
11-549-89,ISOPROTERENOL HCL EMERG.1:5000 SYRING,22.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-5492-21,ERASTAPEX PLUS 40/12.5MG F.C.TABLET,63.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-55-86,PIRACETAM CAPS 400MG,8.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-553-09,OPTIRAY 300MG-ML SOLUTION FOR IV. Injection*,3975.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-560-19,MEPROSON 500 MG POWDER FOR INJECTION,258.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-584-10,NEOTERB 1.5MG-5ML ORAL SYRUP,5.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-590-10,PANTOLOC 40MG TABLETS,28.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-6-81,DAKTARIN CREAM 2%,15.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-61-83,RIFADIN  CAP  300 MG,12.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-62-81,PREDNISOLONE,17.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-631-18,VILDATIN 50 mg Tablet,79.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-646-17,EDARBYCLOR 80 MG/25 MG TABLET,71.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-65-89,PROTHIADEN 25MG CAPS,26.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-66-84,VIDAYLIN SYRUP,5.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-665-17,ZOFRAN,104.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-666-21,KLACID 250MG TAB,60.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-718-18,CERUXIM 500 mg Film Coted Tablet,56.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-762-11,DIANEAL PD4 GLUCOSE 1.36% SOLUTION FOR PERITONEAL DIALYSIS,60.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-8-82,BANOCIDE  50 MG TAB,26.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-803-11,DEXT.5% +0.225% SOD.CHLORIDE INFUSION,4.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-807-18,NIVESTIM 600 mcg Solution for Injection/ Infusion,378.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-809-14,AZAR-D 100/25 mg film-coated tablet,123.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-824-14,PANADOL COLD & FLU NIGHT RELIEF PE,10.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-828-19,VIAGRA 50 mg Orodispersible Tablet,147.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-832-17,CAPRELSA 300 mg film-coated tablet,20056.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-849-13,LOCASALEN OINT.,46.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-883-16,DEPAKINE 57.64MG-ML SYRUP,20.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-886-16,LANOXIN 0.25MG/ML INJ,13.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-887-16,LANOXIN 0.25MG/ML INJ,13.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-892-13,ZITHROMAX 200MG-5ML SUSP.AFTER RECONSTIT,53.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-920-20,LIPANTHYL 200MG MICRONISED CAPS,44.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-94-82,SEDERGINE Effervescent tablet,4.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-949-17,ASPIRIN EFFERVESCENT WITH VITAMIN C,8.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-960-16,ABILIFY 15MG TABLET,419.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-968-15,MOXIFLOX 400 mg film-coated tablet,49.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-972-17,BISOLOL 2.5 mg Tablet,10.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
11-993-17,TOPRAZOLE 40 mg Powder for solution for injection ,22.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-10-14,TRAVOGEN 1% CREAM,14.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-116-17,BINOCRIT 4000 I.U/0.4 ml Solution For Injection,659.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-119-02,CLAFOTAX 500MG I.V VIAL,18.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-149-95,CAPD3 PERITONEAL DIALYSIS SOLN,15.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-15-18,XIGDUO XR 5 mg/500 mg Film Coted Tablet,144.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-172-97,ZENOS AMP 4MG-ML,3.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-186-99,DEXIPAN 5%   CREAM,5.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-212-00,FEVADOL SYRUP 160MG-5ML SUGAR FREE,5.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-24-80,NIPRIDE DOUBLE 50 MG AMP.,131.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-25-14,CUTIVATE 0.05% cream,18.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-276-13,ROTARIX ORAL SUSPENSION VACCINE,182.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-277-01,VAVO 2% SHAMPOO,23.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-325-03,RIAGESIC,2.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-334-07,ATORVA  40MG F.C. TABLETS,86.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-368-09,OSELTA 75MG CAPSULES,91.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-539-19,ENNLA 5% Cream,29.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-6-17,DARZALEX 20 mg/ml CONCENTRATE FOR SOLUTION FOR INFUSION,8162.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-68-17,SYNJARDY 5/850 mg Film-coated Tablet,165.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
110-9-16,SANDIMMUN 50MG-ML AMPULE,113.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210399,JANUVIA 100MG F.C. TABLETS,140.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210400,LACOSAMIDE SPC,101.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210401,LACOSAMIDE SPC,152.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210402,LACOSAMIDE SPC,203.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210403,LACOSAMIDE SPC,52.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210405,ARGENTA,41.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210406,ARGENTA,11.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101210407,ARGENTA,41.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1101221583,KANUMA,32606.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1102210510,Thiozac,110.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1103210598,Milrinone TBM,786.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1103210599,Ketorolac Tromethamine TBM,447.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1103210600,UNIFED DM SYRUP,5.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1104210674,Lipofirate,37.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1108210923,TERODA,85.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1108210924,TERODA,171.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1108210925,TERODA,17.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1108210926,TERODA,8.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1108210927,AERIUS 5MG TABLETS,23.3,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1108210928,AERIUS 2.5 MG-5ML SYRUP,23.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-10-14,TRAVOCORT CREAM,20.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-116-17,BINOCRIT 10000 I.U/1.0 ml Solution For Injection,274.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-119-02,CLAFOTAX 1GM I.V VIAL,29.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-124-18,DIVAD 10000 I.U Capsule,64.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-149-95,CAPD3 PERITONEAL DIALYSIS SOLN,17.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-172-97,ZENOS AMP 4MG-ML,5.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-186-00,RISEK 20 MG CAPS,88.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-212-00,FEROSE 50MG-ML DROPS,20.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-25-14,CUTIVATE 0.005% ointment,18.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-276-13,AUGMENTIN SR TABLET,89.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-277-01,VAVO 2% CREAM,14.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-325-03,RIAGESIC,5.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-334-07,ATORVA  80MG F.C. TABLETS,86.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-368-09,SELECTA 2.5MG F.C. TABLETS,14.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-370-20,LIDOVA 5 mg capsule,11206.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-539-19,ENNLA 5% Cream,59.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-6-17,STELARA 130MG/26ML Concentrate for solution for infusion,11057.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-68-17,SYNJARDY 5/1000 mg Film-coated Tablet,171.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
111-9-16,SANDIMMUN NEORAL 50MG CAP,381.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211114,METFOR 500,8.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211115,METFOR 850 MG TAB,15.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211116,Finate,37.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211117,Trivira,2404.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211118,Tyronib,1766.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211119,Tyronib,795.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211120,Divira,1366.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211121,Zostivr,375.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211122,Virad,843.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211124,Bosfit,4874.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211125,Cincet,451.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211126,Cincet,221.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211127,Urago,90.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211128,Urago,90.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211134,OCRAN,665.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211135,OCRAN,133.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1110211137,C-Fasta plus Zinc,19.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200259,DASATINIB SPC,8514.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200260,DASATINIB SPC,8285.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200261,DASATINIB SPC,8541.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200262,DASATINIB SPC,5003.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200263,DASATINIB SPC,8285.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200264,DASATINIB SPC,4270.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111200266,GALTIPEX,3452.748,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211297,Veltero,2177.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211298,Erloz,3358.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211299,Erloz,4488.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211300,Pexapan,77.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211301,Pexapan,231.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211302,ASTATIN 40MG F.C TABLETS,86.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211303,Pexapan,231.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211304,IBRANCE,11401.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211305,IBRANCE,11401.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211306,IBRANCE 100 mg capsule,23478.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211307,IBRANCE 125 mg capsule,23478.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211308,IBRANCE 75 mg capsule,23478.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
1111211309,IBRANCE,11401.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-10-14,SKINOREN 20% CREAM,32.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-1014-2002,CHROMIUM 200,33.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-11-87,REGITINE AMP,15.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-116-17,BINOCRIT 20000 I.U/0.5 ml Solution For Injection,549.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-119-02,CLAFOTAX 1GM I.M VIAL,29.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-124-18,DIVAD 50000 I.U Capsule,25.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-149-95,CAPD3 PERITONEAL DIALYSIS SOLN,19.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-172-97,FENDOL 50MG-5ML SUSP,8.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-186-00,MOXAL SUSP SACHET,5.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-25-15,KIVEXA film-coated tablet,1676.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-277-01,OMIZ 10MG CAP,23.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-325-03,NAZOPHEN  NASAL DROPS,4.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-368-09,SELECTA 5MG F.C. TABLETS,22.3,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-370-20,LIDOVA 10 mg capsule,11749.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-6-18,ZYTIGA 500 Film-coated Tablet,10029.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-68-17,SYNJARDY 12.5/850 mg Film-coated Tablet,165.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
112-9-16,SANDOSTATIN 0.2MG-ML 5ML AMP,348.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-10-15,ADEMPAS 0.5 mg film-coated tablets,6543.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-116-17,BINOCRIT 30000 I.U/0.75 ml Solution For Injection,824.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-119-02,NOHIST 10MG TAB,8.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-124-18,ESPERAL 25 mg Film Coated Tablet,19.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-149-95,CAPD4 PERITONEAL DIALYSIS SOLN,15.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-186-00,SCOPINAL 20MG AMPOULE,12.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-25-15,RELVAR ELLIPTA inhalation powder,158.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-276-13,AUGMENTIN 600MG VIAL,81.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-277-01,OMIZ 20MG CAP,45.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-334-09,OSTEOMAX 70 MG TABLETS,85.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-368-09,SELECTA 10MG F.C. TABLETS,31.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-370-20,LIDOVA 25 mg capsule,13611.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-6-18,TREMFYA 100 MG/ML,10295.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-68-17,SYNJARDY 12.5/1000 mg Film-coated Tablet,171.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
113-9-16,SANDOSTATIN LAR 20MG VIAL,4316.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-10-15,ADEMPAS 1 mg film-coated tablets,6543.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-1014-2002,SELENIUM 50,14.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-116-17,BINOCRIT 40000 I.U/1.0 ML SOLUTION FOR INJECTION,1098.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-119-02,ACTOS 30MG TAB,87.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-124-18,ESPERAL 100 mg Film Coated Tablet,46.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-149-95,CAPD4 PERITONEAL DIALYSIS SOLN,17.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-15-19,FASENRA 30MG/ML SOL. FOR INJECTION,9386.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-172-97,BETACORT 4MG-ML AMP,4.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-186-00,JULPHAMOX 250MG CAPSULE,16.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-25-15,RELVAR ELLIPTA 200/25 mcg inhalation powder,158.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-276-13,AUGMENTIN 1.2GM VIAL,81.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-277-01,METFOR 500,8.45,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-334-09,TACHOSIL MEDICATED SPONGE,994.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-68-17,SPIOLTO RESPIMATE 2.5/2.5 mcg Inhalation Solution,200.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
114-9-16,SIRDALUD 2MG TAB,18.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-10-15,ADEMPAS 1.5 mg film-coated tablets,6543.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-116-18,TOURNES 50 MG FILM COATED TABLET,39.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-119-02,BLOPRESS 16 MG TABLETS,54.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-124-18,ESPERAL 200 mg Film Coated Tablet,87.0,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-149-95,CAPD4 PERITONEAL DIALYSIS SOLN,19.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-15-22,SYNAGIS 100MG\ML I.M Solution for Injection,3679.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-172-98,AMOCLAN 375 MG TAB.,35.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-186-00,JULPHAMOX 500MG CAPSULES,22.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-212-00,CECLOR 125MG-5ML SUSP,20.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-25-15,ANORO ELLIPTA inhalation powder  pre-dispensed,158.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-277-01,EZIPECT 12.5MG-5ML SYRUP,6.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-334-09,CIFLOX 200MG-100ML I.V. INFUSION,120.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-368-09,MIRAGEL 2% ORAL GEL,12.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
115-9-16,VI-DE-3  4500 I.U-ML ORAL DROPS,9.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-10-15,ADEMPAS 2 mg film-coated tablets,6543.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-116-18,TOURNES 100 MG FILM COATED TABLET,39.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-119-03,KLARIBAC 500 MG FILM COATED TABLETS,51.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-124-18,ESPERAL 300 mg Film Coated Tablet,71.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-149-96,HAEMODIALYSIS CONC.SOLU.35X FORM.(5),45.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-172-98,AMOCLAN FORTE 625MG TAB,45.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-186-00,JULMENTIN 375 MG TAB,23.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-212-00,CECLOR 250 MG-5ML SUSP,41.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-25-15,INCRUSE ELLIPTA 62.5 mcg inhalation powder,153.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-276-13,AUGMENTIN (ES) SUSPENSION,58.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-277-02,VONAL 100MG-ML ORAL DROP,6.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-334-09,OFLAM 50MG F.C. TABLETS,19.3,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-368-09,VOLTIC -D 50MG DISPERSIBLE TABLETS,19.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
116-9-16,SIMULECT 20 MG I.V VIAL,4922.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-10-15,ADEMPAS 2.5 mg film-coated tablets,6543.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-11-87,LIORESAL 10MG TAB,44.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-116-18,RAMEP 10 MG GASTRO-RESISTANT TABLET,17.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-119-04,ACTOS 15MG TABLET,51.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-124-18,LIVADOR 750MG F.C.TABLET,43.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-149-96,HAEMODIALYSIS CONC.SOLU.35X FORM.(7),45.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-172-98,BUCAINE 0.25% VIAL,16.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-186-00,JULMENTIN 625 MG TAB,53.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-212-00,FEROSE - F TABLET,19.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-277-02,VINTEC 5MG-ML RESPIRATOR SOLUTION,12.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-334-09,TERFINIL 1% CREAM,12.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-368-09,LATANO 0.005% W-V OPHTHALMIC SOLUTION,36.25,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
117-9-16,LEPONEX 100MG TAB,156.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-11-87,LIORESAL 25MG TAB,90.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-116-18,RAMEP 20 MG GASTRO-RESISTANT TABLET,30.15,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-119-09,BLOPRESS 8 PLUS TABLETS,47.7,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-124-19,GAMCET 0.4MG PROLONGED RELEASE F.C.TABLET,50.3,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-149-96,HAEMODIALYSIS CONC.SOLU.35X FORM.(9),45.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-172-98,BUCAINE 0.5% VIAL,16.95,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-186-00,JULMENTIN 156.25 MG POWDER FOR SUSP,14.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-212-00,FUSIDERM 2% OINTMENT,10.1,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-277-02,TABETA 0.1%OINTMINT,4.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-334-09,TRAVOLONE CREAM,10.75,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-368-09,LATANOCOM  OPHTHALMIC SOLUTION,62.6,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
118-9-16,LEPONEX 25MG TAB,50.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-10-16,VENTAVIS 10 mcg/ml solution for inhalation,3280.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-116-18,KEPCITAM 500 MG FILM COATED TABLET,70.5,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-119-09,BLOPRESS 16 PLUS TABLETS,54.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-124-19,QUREX XL 1000 mg film-coated tablet,37.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-149-96,HAEMODIALYSIS CONC.SOLU.35X FORM.(12),45.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-172-98,SAMIXON 1GM VIAL,30.55,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-186-00,JULMENTIN FORTE 312.5MG POWDER FOR SUSP,27.2,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-212-00,FUSIDERM 2% CREAM,11.35,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-276-13,AUGMENTIN 625 MG TAB,63.8,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-277-02,TABETA 0.1%SCALP APPLICATION,10.9,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-334-09,LORINEX 0.5MG-1ML SYRUP,17.65,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-368-09,MAXIM 400MG FILM COATED TABLETS,61.05,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-66-00,NORVIR 80MG-ML ORAL SOLN.,795.4,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
119-9-16,TRILEPTAL 150MG F.C TAB,35.85,Gross,5.0,yes,21.0,Portal Medicine/Drug,,
