SER,PACKAGE CODE ,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,Admission Days (LOS),Unnamed: 7,SNC GROSS PRICE FOR ALL CLASSES 10% decrease
481.0,4011054.0,C.V.T.,FINE MAJOR SURG,"SIMPLE OPEN CONGENITAL A.S.D., V.S.D AND P.D.A.",تصليح عيب خلقى بسيط بالقلب (ثقب بين الاذينين) ، (ثقب بين البطينين),0,3,43315.0
482.0,4011055.0,C.V.T.,FINE MAJOR SURG,SINGLE CHAMBER PERMANENT PACEMAKER,منظم قلب احادي التردد,1,4,44055.0
483.0,4011056.0,C.V.T.,FINE MAJOR SURG,USE OF SUCTION DEVICE (EXPORT CATHETER I PRIMARY PCI),استخدام جهاز الشفط (تصدير قسطرة في بي سي اي الابتدائي),0,0,9504.0
484.0,4021001.0,C.V.T.,CARDIAC CATH,CATHETERIZATION LEFT HEART ( DAY CASE ),قسطرة للجزء الايسر من القلب,0,1,9160.0
485.0,4021002.0,C.V.T.,CARDIAC CATH,CATHETERIZATION LEFT HEART + GRAFT ( DAY CASE ),قسطرة للجزء الايسر من القلب مع تصوير وصلات جراحة القلب,0,1,11903.0
486.0,4021003.0,C.V.T.,CARDIAC CATH,CATHETERIZATION RIGHT + LEFT HEART ( DAY CASE ),قسطرة للجزئين الايمن والايسر من القلب,0,1,13455.0
487.0,4021004.0,C.V.T.,CARDIAC CATH,CATHETERIZATION RIGHT HEART ( DAY CASE ),قسطرة للجزئين الايمن  من القلب,0,1,7659.0
488.0,4021005.0,C.V.T.,CARDIAC CATH,CATHETERIZATION RIGHT HEART WITH SHUNT ( DAY CASE ),قسطرة للجزء الايمن من القلب مع شنط,0,1,8901.0
489.0,4021006.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY AGIOPLASTY) – SV + STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + ONE DAY WARD)",التوسعة بالبالون لشريان تاجى واحد مع وضع دعامة واحدة,1,2,39330.0
490.0,4021007.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV , (ONE DAY CCU + ONE DAY WARD)",التوسعة بالبالون لشريانين تاجيين,1,2,26910.0
491.0,4021008.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV + 2 STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لشريانين ووضع دعامتين,1,2,40050.0
492.0,4021009.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV + 3 STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لشريانين مع وضع ثلاث دعامات,1,2,44055.0
493.0,4021010.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV + 4 STENTS , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + FOUR DAYS WARD)",التوسعة بالبالون لشريانين مع وضع اربع دعامات,1,2,48060.0
494.0,4021011.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV + 5 STENTS , (ONE DAY CCU + FOUR DAYS WARD) EXCLUDING THE PRICE OF THE STENTS",التوسعة بالبالون لشريان تاجي واحد مع وضع خمسة دعامات,1,2,52065.0
495.0,4021012.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV + STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لشريانين ووضع دعامة واحدة,1,2,36045.0
496.0,4021013.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV ,(ONE DAY CCU + ONE DAY WARD)",التوسعة بالبالون لشريان تاجى واحد,1,2,19148.0
497.0,4021014.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV + 2 STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لشريان تاجى واحد مع وضع دعامتين,1,2,34443.0
498.0,4021015.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV + 3 STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + FOUR DAYS WARD)",التوسعة بالبالون لشريان تاجى واحد مع وضع ثلاث دعامات,1,2,38448.0
499.0,4021016.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV + 4 STENTS , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + FOUR DAYS WARD)",التوسعة بالبالون لشريان تاجى واحد مع وضع اربع دعامات,1,2,42453.0
500.0,4021017.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV , (ONE DAY CCU + ONE DAY WARD)",التوسعة بالبالون لثلاثة شرايين تاجية,1,2,30015.0
501.0,4021018.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV + 2 STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لثلاث شرايين مع وضع دعامتين,1,2,45657.0
502.0,4021019.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV + 3 STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لثلاث شرايين مع وضع ثلاث دعامات,1,2,50463.0
503.0,4021020.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV + 4 STENTS , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + FOUR DAYS WARD)",التوسعة بالبالون لثلاث شرايين مع وضع اربع دعامات,1,2,54468.0
504.0,4021021.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV + 5 STENTS , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + FOUR DAYS WARD)",التوسعة بالبالون لثلاث شرايين مع وضع خمسة دعامات,1,2,58473.0
505.0,4021022.0,C.V.T.,CARDIAC CATH,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV + STENT , (PRICE IS  WITHOUT STENT) (ONE DAY CCU + THREE DAYS WARD)",التوسعة بالبالون لثلاث شرايين مع وضع دعامة واحدة,1,2,41652.0
506.0,4021023.0,C.V.T.,CARDIAC CATH,PTCA SINGLE VESSEL & DRUG ELUTING BALLOON (ONE DAY CCU + ONE DAY WARD)  EXCLUDING THE PRICE OF THE DRUG ELUTING BALLOON,التوسعة بالبالون بالمخذر,1,2,22950.0
507.0,4021024.0,C.V.T.,CARDIAC CATH,TEMPORARY PACEMAKER ( DAY CASE ),منظم دقات القلب (مؤقت),0,D/C,7209.0
508.0,4021025.0,C.V.T.,CARDIAC CATH,MITRAL BALLOON VALULOPLASTY,إصلاح الصمام الميترالي بالبالون ( توسيع ),1,3,38448.0
509.0,4031001.0,C.V.T.,PEDIA CARDIAC SURGERY,ASD DEVICE CLOSURE (ATRIAL SEPTAL DEFECT) ,علق الثقب من الأذنين بجهاز الغلق عن طريق القسطره ,0,3,32400.0
510.0,4031002.0,C.V.T.,PEDIA CARDIAC SURGERY,BALLOON ATRIAL SEPTOSTOMY ,عمل توسيع للحاجز الأذني باالبالون ,0,2,15840.0
511.0,4031003.0,C.V.T.,PEDIA CARDIAC SURGERY,LAA DEVICE CLOSURE (LEFT ATRIAL APPENDAGE) ,وضع دعامه بمخرج العضد الايمن ,1,4,56070.0
512.0,4031004.0,C.V.T.,PEDIA CARDIAC SURGERY,MELODY VALVE IMPLANTATION ,تركيب صمام الميلودي عن طريق القسطره ,1,5,107100.0
513.0,4031005.0,C.V.T.,PEDIA CARDIAC SURGERY,PDA COIL CLOSURE (PATENT DUCTUS ARTERIOSUS),غلق الوصلة الشريانيه بالقسطرة باستخدام الملف ,0,2,15840.0
514.0,4031006.0,C.V.T.,PEDIA CARDIAC SURGERY,PDA DEVICE CLOSURE (PATENT DUCTUS ARTERIOSUS) ,غلق الوصلة الشريانيه عن طريق القسطره ,0,2,22950.0
515.0,4031007.0,C.V.T.,PEDIA CARDIAC SURGERY,PDA STENTING  (PATENT DUCTUS ARTERIOSUS) ,عمل دعامة للوصلة الشريانيه عن طريق القسطرة ,0,2,32400.0
516.0,4031008.0,C.V.T.,PEDIA CARDIAC SURGERY,PULMONARY ARTERY DILATATION W/WITHOUT STENTING (EXCLUDING STENT COST) ,توسيع للشريان الرئوي بالبالونه + دعامة ,0,2,22950.0
517.0,4031009.0,C.V.T.,PEDIA CARDIAC SURGERY,PULMONARY BALLOON VALVULOPLASTY ,"توسيع الصمام الرئوي بالبالون (قسطرة,بالون ,سلك)         ",0,3,19125.0
518.0,4031010.0,C.V.T.,PEDIA CARDIAC SURGERY,RADIOFREQUENCY PULMONARY VALVE PERFORATION ,عمل ثقب بالصمام الرئوي عن طريق التردد ,1,4,114750.0
519.0,4031011.0,C.V.T.,PEDIA CARDIAC SURGERY,RVOT STENTING (VENTRICULAR OUTFLOW TRACT) ,غلق زائدة الاذين الأيسر بالقسطرة ,1,3,36045.0
520.0,4031012.0,C.V.T.,PEDIA CARDIAC SURGERY,VSD DEVICE CLOSURE (VENTRICULAR SEPTAL DEFECT) ,غلق ثقب من البطينين بجهاز الغلق عن طريق القسطره الداخليه ,1,3,36045.0
521.0,4041001.0,C.V.T.,VASCULAR SURG,"AMPUTATION, ABOVE KNEE",عملية بتـر فوق الركبـة,0,3,23868.0
522.0,4041002.0,C.V.T.,VASCULAR SURG,"AMPUTATION, BELOW KNEE",عملية بتـر تحت الركبــة,0,3,23868.0
523.0,4041003.0,C.V.T.,VASCULAR SURG,"AMPUTATION, THROUGH FOOT",عملية بتـر عبـر القـدم,0,3,20196.0
524.0,4041004.0,C.V.T.,VASCULAR SURG,"AMPUTATION, TOES",عملية بتـر الأصابع ,0,2,20196.0
525.0,4041005.0,C.V.T.,VASCULAR SURG,"ANASTOMOSIS, VENOUS, INTRA-ABDOMINAL",مفاغـرة - وريدية داخل البطـن,0,4,37487.0
526.0,4041006.0,C.V.T.,VASCULAR SURG,ANASTOMOSIS-VENOUS INTRA-ABDOMINAL,وصل أوردة - ضمن البطــن,0,4,29160.0
527.0,4041007.0,C.V.T.,VASCULAR SURG,"ANGIOPLASTY, PATCH, ARTERY, SYNTHETIC",تصنيع وعائي / رقعة شريان طبيعية صناعية,0,3,32076.0
528.0,4041008.0,C.V.T.,VASCULAR SURG,"ANGIOPLASTY, PATCH, ARTERY, TISSUE",تصنيع وعائي / رقعة شريان طبيعية نسيجية,0,3,32076.0
529.0,4041009.0,C.V.T.,VASCULAR SURG,"ANGIOPLASTY, PATCH, ARTERY, UNSPECIFIED",تصنيع وعائي / شرياني رقعة غير محددة,0,3,32076.0
530.0,4041010.0,C.V.T.,VASCULAR SURG,"ANGIOPLASTY, VESSEL, VEIN (PRICE IS  WITHOUT STENT)S",تصنيع وعائي / وعاء دموي / وريـد,0,3,32076.0
531.0,4041011.0,C.V.T.,VASCULAR SURG,"ARTERIOGRAM, COMPLETION",تصوير شريان ظليل / اسـتـكـمـال,0,1,17108.0
532.0,4041012.0,C.V.T.,VASCULAR SURG,"ARTERIOGRAM, INTRAOPERATIVE",تصوير شريان ظليل أثناء العمل الجراحي,0,0,17108.0
533.0,4041013.0,C.V.T.,VASCULAR SURG,"ARTERIOVENOSTOMY, FOR RENAL DIALYSIS (AGE 0-17)",وصلة شريانية وريدية لغسيل الكلي ( عمر حتى 17 سنه),0,2,29160.0
534.0,4041014.0,C.V.T.,VASCULAR SURG,BILATERAL CAROTID AND VERTEBRAL ANGIOGRAM  ,تصوير الشرايين الاربعة للمخ,0,1,7209.0
535.0,4041015.0,C.V.T.,VASCULAR SURG,BYPASS VASCULAR-PERIPHERAL ARTERY,مجازة وعائية شريانية محيطة,0,2,29160.0
536.0,4041016.0,C.V.T.,VASCULAR SURG,"BYPASS, ARTERY, FEMORO-TIBIAL",مجازة شريانية / فخذية ظنبوبيــة,0,3,32681.0
537.0,4041017.0,C.V.T.,VASCULAR SURG,"BYPASS, ARTERY, POPLITEO-TIBIAL",مجازة شريانية / ظنبوبية مئبضية,0,3,32076.0
538.0,4041018.0,C.V.T.,VASCULAR SURG,"BYPASS, IN SITU, FEMORO-TIBIAL ARTERY",مجازة شريانية موضعية في الشريان الفخذي الظنبوبي,0,3,34604.0
539.0,4041019.0,C.V.T.,VASCULAR SURG,"BYPASS, VASCULAR, INTRA-ABDOMINAL",مجازة وعائية داخل البطـن,0,3,34604.0
540.0,4041020.0,C.V.T.,VASCULAR SURG,"BYPASS, VASCULAR-INTRATHORACIC",مجازة وعائية داخل الصــدر,0,3,34604.0
541.0,4041021.0,C.V.T.,VASCULAR SURG,"BYPASS, VASCULAR-RENAL ARTERY",مجازة وعائية شريان كلــوي,0,3,39410.0
542.0,4041022.0,C.V.T.,VASCULAR SURG,"CAROTICO-CAVERNOUS FISTULA CLOSURE INCLUDING THE BASIC MICROCATHETETER, MICROGUIDE WIRE AND THE FIRST COIL",اغلاق الناصور الدموى بين الشريان السباتى والجيب الكهفى بقاع الجمجمة باستخدام القسطرة المتناهية الصغر والقسطرة مع سلك مرشد متناهى الصغر وحلزون واحد,0,4,32076.0
543.0,4041023.0,C.V.T.,VASCULAR SURG,COIL ADDITIONAL EACH,لكل حلزون اضافى,0,0,8412.0
544.0,4041024.0,C.V.T.,VASCULAR SURG,DETACHABLE BALLOON ADDITIONAL EACH,لكل بالون ذاتى الانفصال اضافى,0,0,7746.0
545.0,4041025.0,C.V.T.,VASCULAR SURG,DURAL ARTERIOVENOUS FISTULA CLOSURE ,اغلاق ناصور شريانى وريدى بالأم الجافية شاملا قسطرة دقيقة وقسطرة مع سلك مرشد متناهى الصغر وحلزون واحد,0,3,20655.0
546.0,4041026.0,C.V.T.,VASCULAR SURG,EMBOLIZATION OF CRANIAL AND SPINAL ARTERIOVENOUS MALFORMATIONS BY GLUE AND COILS  1-3 NEDAL INJECTIONS,اغلاق العيوب الخلفية لشرايين المخ والنخاع الشوكى بواسطة المواد المجلطة والحلزون شاملا القسطرة المتناهية الصغر وقسطرة وسلك مرشد متناهى الصغر وحلزون وعمل 1 - 3 حقنات,0,4,50463.0
547.0,4041027.0,C.V.T.,VASCULAR SURG,EMBOLIZATION OF CRANIAL AND SPINAL ARTERIOVENOUS MALFORMATIONS BY GLUE AND COILS > 6 NEDAL INJECTIONS,اغلاق العيوب الخلفية لشرايين المخ والنخاع الشوكى بواسطة المواد المجلطة والحلزون شاملا القسطرة المتناهية الصغر وقسطرة وسلك مرشد متناهى الصغر وحلزون الى اكثر من 6 حقنات,0,4,63920.0
548.0,4041028.0,C.V.T.,VASCULAR SURG,EMBOLIZATION OF CRANIAL AND SPINAL ARTERIOVENOUS MALFORMATIONS BY GLUE AND COILS 3-6 NEDAL INJECTIONS,اغلاق العيوب الخلفية لشرايين المخ والنخاع الشوكى بواسطة المواد المجلطة والحلزون شاملا القسطرة المتناهية الصغر وقسطرة وسلك مرشد متناهى الصغر وحلزون وعمل 3 - 6 حقنات,0,4,56231.0
549.0,4041029.0,C.V.T.,VASCULAR SURG,EMBOLIZATION OF CRANIAL AND SPINAL VASCULAR TUMORS AS PRE-OPERATIVE AND DECREASE IN BLOOD SUPPLY TO THE TUMOR ,حقن واغلاق الشرايين المغذية لاورام المخ او النخاع الشوكى قبل الجراحة لتقليل الدم الواصل لها شاملا القسطرة المتناهية الصغر والقسطرة والسلك المرشد المتناهى الصغر وحلزون واحد,0,1,13014.0
550.0,4041030.0,C.V.T.,VASCULAR SURG,"ENDARTERECTOMY, ABDOMINAL ARTERIES",استئصال بطانه الشرايين البطنية ,0,3,32681.0
551.0,4041031.0,C.V.T.,VASCULAR SURG,"ENDARTERECTOMY, OTHER THORACIC VESSELS",استئصال بطانه الشرايين الصدرية الأخرى,0,3,34604.0
552.0,4041032.0,C.V.T.,VASCULAR SURG,"ENDARTERECTOMY, VESSEL, CAROTID",استئصال بطانة شريانية -  الشريان السباتي,0,3,40371.0
553.0,4041033.0,C.V.T.,VASCULAR SURG,"ENDARTERECTOMY-OTHER, VESSELS, HEAD AND NECK",استئصال بطانه الشريان أوعية الرأس و العنق,0,3,40371.0
554.0,4041034.0,C.V.T.,VASCULAR SURG,"ENDOVASCULAR INTRAARTERIAL FIBRINOLYSIS FOR CEREBROVASCULAR EMBOLIZATION / THROMBOSIS (SHORT SEGMENT <10 CM) INCLUDING THE BASIC MICROCATHETER, MICROGUIDE WIRE",ازالة الجلطة داخل الاوعية بواسطة القسطرة الدقيقة وحقن الشرايين مباشرة بالادوية المذيبة للجلطة شاملا القسطرة المتناهية الصغر والسلك المرشد المتناهى الصغرولمسافة اقل من 10 سم .,0,3,32681.0
555.0,4041035.0,C.V.T.,VASCULAR SURG,"ENDOVASCULAR REVASCULARIZATION OF CEREBRAL ISCHEMIA – MUTIPLE VESSEL INCLUDING THE BASIC MICROCATHETER, MICROGUIDE WIRE",تسليك اكثر من شريان بالمخ فى حالات السكتة الدماغية التجلطية شاملا القسطرة المتناهية الصغر وقسطرة مع سلك مرشد متناهى الصغر,0,3,38304.0
556.0,4041036.0,C.V.T.,VASCULAR SURG,"ENDOVASCULAR REVASCULARIZATION OF CEREBRAL ISCHEMIA – SINGLE VESSEL INCLUDING THE BASIC MICROCATHETER, MICROGUIDE WRIE",تسليك شريان واحد فقط مغلق بالمخ شاملا قسطرة متناهية الصغر وقسطرة مع سلك مرشد متناهى الصغر,0,3,32681.0
557.0,4041037.0,C.V.T.,VASCULAR SURG,"EXCISION, LESION, OTHER, ABDOMINAL ARTERIES",استئصال آفـه من شريـان بطنيــة,0,3,32681.0
558.0,4041038.0,C.V.T.,VASCULAR SURG,"EXCISION, LESION, OTHER, ABDOMINAL VEINS",استئصال آفـه من أوردة بطنـيـة,0,3,32681.0
559.0,4041039.0,C.V.T.,VASCULAR SURG,"EXCISION, LESION, OTHER, THORACIC VESSELS",استئصال آفـه من أوعيـة صـدريـة,0,3,36526.0
560.0,4041040.0,C.V.T.,VASCULAR SURG,"EXCISION, LESION, OTHER, VESSELS, HEAD, NECK",استئصال آفة - أوعية شريان محيطــه,0,3,29160.0
561.0,4041041.0,C.V.T.,VASCULAR SURG,"FASCIOTOMY, LOWER EXTREMITIES",خـزع الصفـاق ( طرفين سفلييـن ),0,3,23868.0
562.0,4041042.0,C.V.T.,VASCULAR SURG,"FASCIOTOMY, UPPER EXTREMITIES",خـزع الصفـاق ( طرفين علويين ),0,3,23868.0
563.0,4041043.0,C.V.T.,VASCULAR SURG,"FORMATION, SHUNT, PERITONEOVASCULAR",تشكيل وصل وعائي بريتواني,0,3,29160.0
564.0,4041044.0,C.V.T.,VASCULAR SURG,"FORMATION, SHUNT, PERITONEOVASCULAR (AGE 0-17)",وصلة وعائي صفاقي ( عمر حتى 17 سنه),0,3,29160.0
565.0,4041045.0,C.V.T.,VASCULAR SURG,"INSERTION, CANNULA, VESSEL-TO-VESSEL",إدخال قسطرة - وعاء إلى وعـاء,0,3,32681.0
566.0,4041046.0,C.V.T.,VASCULAR SURG,"INSERTION, GRAFT, FOR HEMODIALYSIS",إدخال قسطرة طعم الغسيل الكلى  التحال الدموي,0,3,29160.0
567.0,4041047.0,C.V.T.,VASCULAR SURG,"INTERRUPTION, VENA CAVA",انقـطـاع الـوريـد الأجــوف,0,3,28188.0
568.0,4041048.0,C.V.T.,VASCULAR SURG,"LIGATION AND STRIPPING, VARICOSE VEINS, OTHER THOR",ربط سحب الدوالي - للأوعية الصدرية الأخرى,0,3,32681.0
569.0,4041049.0,C.V.T.,VASCULAR SURG,"LIGATION, DIVISION, OTHER, THORACIC VESSELS",ربط - قطع - الأوعية الصدريــة,0,3,36526.0
570.0,4041050.0,C.V.T.,VASCULAR SURG,"LIGATION, EXCISION OF PERFORATORS",ربـط استئصال الثواقـب الوريـديـة,0,2,23868.0
571.0,4041051.0,C.V.T.,VASCULAR SURG,MICROCATHETER ADDITIONAL EACH,لكل قسطرة دقيقة اضافية,0,0,4666.0
572.0,4041052.0,C.V.T.,VASCULAR SURG,MICROGUIDE WIRE ADDITIONAL EACH,لكل سلك مرشد دقيق اضافى,0,0,3743.0
573.0,4041053.0,C.V.T.,VASCULAR SURG,"OBLITERATION OF CEREBRAL ANEURYSMS BY COILS – LARGE ANEURYSMS (> 10 MM) INCLUDING THE BASIC MICROCATHER, MICROGUIDE WIRE AND THE FIRST COIL",اغلاق التمديد الشريانى داخل الجمجمة كبير الحجم ( اكبر من 10 ملم),1,4,80784.0
574.0,4041054.0,C.V.T.,VASCULAR SURG,"OBLITERATION OF CEREBRAL ANEURYSMS BY COILS – MEDIUM ANEURYSMS (5 TO 10 MM) INCLUDING THE BASIC MICROCATHETER, MICROGUIDE WIRE AND THE FIRST COIL",اغلاق التمديد الشريانى داخل الجمجمة متوسط الحجم (5 - 10 ملم),1,4,73181.0
575.0,4041055.0,C.V.T.,VASCULAR SURG,OBLITERATION OF CEREBRAL ANEURYSMS BY COILS – SMALL ANEURYSMS (<5 MM) ,اغلاق التمديد الشريانى داخل الجمجمة (اقل من 5ملم) ,1,4,62478.0
576.0,4041056.0,C.V.T.,VASCULAR SURG,"OPERATIONS-CAROTID BODY, OTHER VASCULAR BODIES",عملية على جسم السباتي - أجسام وعائية أخرى ,0,3,40371.0
577.0,4041057.0,C.V.T.,VASCULAR SURG,PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA) FOR EXTRACRANIAL CEREBROVASCULAR STENOSIS WITH  BALLOON,توسيع الشرايين خارج الجمجمة بواسطة القسطرة البالونية,1,2,24786.0
578.0,4041058.0,C.V.T.,VASCULAR SURG,PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA) FOR EXTRACRANIAL CEREBROVASCULAR STENOSIS WITH STENT,توسيع الشرايين خارج الجمجمة بواسطة الدعامة,1,2,33642.0
579.0,4041059.0,C.V.T.,VASCULAR SURG,PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA) FOR EXTRACRANIAL CEREBROVASCULAR STENOSIS WITHOUT STENT AND BALLOON,توسيع الشرايين خارج الجمجمة بواسطة القسطرة بدون استخدام الدعامة او البالون,1,2,21114.0
580.0,4041060.0,C.V.T.,VASCULAR SURG,PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA) FOR INTRACRANIAL CEREBROVASCULAR STENOSIS WITH  BALLOON,توسيع الشرايين داخل الجمجمة البالون,1,2,41332.0
581.0,4041061.0,C.V.T.,VASCULAR SURG,PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA) FOR INTRACRANIAL CEREBROVASCULAR STENOSIS WITH STENT,توسيع الشرايين داخل الجمجمة بواسطة الدعامة,1,2,47099.0
582.0,4041062.0,C.V.T.,VASCULAR SURG,PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA) FOR INTRACRANIAL CEREBROVASCULAR STENOSIS WITHOUT STENT AND BALLOON,توسيع الشرايين داخل الجمجمة بواسطة القسطرة وبدون استخدام الدعامة او البالون,1,2,33642.0
583.0,4041063.0,C.V.T.,VASCULAR SURG,PERMICATH INSERTION FOR HEMODIALYSIS ,وضع قسطرة وريدية شريانية لغسيل الكلى,0,D/C,7604.0
584.0,4041064.0,C.V.T.,VASCULAR SURG,"PHLEBECTOMY, WITH ANASTOMOSIS, OTHER VESSELS, HEAD",قطع الوريد مع مفاغرة لأوعية الرأس و العنق,0,4,40371.0
585.0,4041065.0,C.V.T.,VASCULAR SURG,"REMOVAL, ARTERIOVSENOUS SHUNT FOR RENAL DIALYSIS",إزالة وصله شرياني وريدي من أجل غسيل كلوي,0,1,7209.0
586.0,4041066.0,C.V.T.,VASCULAR SURG,"REPAIR, ARTERY BRACHIAL",إصلاح الشريان العضدي,0,3,30132.0
587.0,4041067.0,C.V.T.,VASCULAR SURG,"REPAIR, BLOOD VESSEL, PATCH GRAFT SYNTHETIC",إصلاح اوعية دموية - طعم صناعي,0,3,32681.0
588.0,4041068.0,C.V.T.,VASCULAR SURG,"REPAIR, BLOOD VESSEL, PATCH GRAFT TISSUE",إصلاح أوعية دموية - طعم نسيج,0,3,32681.0
589.0,4041069.0,C.V.T.,VASCULAR SURG,"REPAIR, BLOOD VESSEL, PATCH GRAFT UNSPECIFIED TYPE",إصلاح أوعية دموية - كطعم غير نوعي,0,3,32681.0
590.0,4041070.0,C.V.T.,VASCULAR SURG,"REPAIR, FISTULA, ARTERIOVENOUS",إصلاح ناسور شرياني وريدي,0,3,32681.0
591.0,4041071.0,C.V.T.,VASCULAR SURG,"REPAIR, OTHER ANEURYSM",إصـلاج - أم . دم,0,3,34604.0
592.0,4041072.0,C.V.T.,VASCULAR SURG,"REPAIR, OTHER BLOOD VESSEL",إصلاح أوعية دموية أخرى,0,3,29160.0
593.0,4041073.0,C.V.T.,VASCULAR SURG,REPAIR-BLOOD VESSEL WITH/WITHOUT GRAFT,إصلاح تمزق وعائي دموي ( مع أو بدون ) وصله,0,3,29160.0
594.0,4041074.0,C.V.T.,VASCULAR SURG,"REPLACEMENT, CANNULA, VESSEL-TO-VESSEL",استبدال قسطرة - وعـاء لـوعـاء,0,2,32681.0
595.0,4041075.0,C.V.T.,VASCULAR SURG,"RESECTION, ANEURYSM, ABDOMINAL AORTA",استئصال أم. دم. الأبهر البطني,0,3,32681.0
596.0,4041076.0,C.V.T.,VASCULAR SURG,"RESECTION, ANEURYSM, ILIAC ARTERY",استئصال أم. دم. الشريان الحرقفي,0,3,30132.0
597.0,4041077.0,C.V.T.,VASCULAR SURG,"RESECTION, ANEURYSM, OTHER ARTERIES",استئصال أم. دم. شرايين أخــرى,0,3,30132.0
598.0,4041078.0,C.V.T.,VASCULAR SURG,"RESECTION, RIB, FIRST WITH/WITHOUT CERVICAL",استئصال ضلع صدري/أول/مع أو بدون ضلع رقبي,0,3,32681.0
599.0,4041079.0,C.V.T.,VASCULAR SURG,"RESECTION, THORACIC VESSELS, WITH GRAFT REPLACEMEN",خزع الأوعية الصدرية مع وضع طعم تعويضي,0,3,44216.0
600.0,4041080.0,C.V.T.,VASCULAR SURG,REVISION OF STUMP,إصلاح جـزمـور البـتــــر,0,2,18058.0
601.0,4041081.0,C.V.T.,VASCULAR SURG,"REVISION, ARTERIOVENOUS FISTULA /  GORTEX","ترجيع , شرياني للناسور",0,1,5607.0
602.0,4041082.0,C.V.T.,VASCULAR SURG,"REVISION, ARTERIOVENOUS FISTULA / GORTEX",اعادة اصلاح وصلة شريانية وريدية تنويم يوم بالعناية القلبية + اربعة ايام بالتنويم,0,1,5607.0
603.0,4041083.0,C.V.T.,VASCULAR SURG,"REVISION, ARTERIOVENOUS SHUNT FOR RENAL DIALYSIS",إعادة وضع وصله شرياني وريدي من أجل غسيل كلوي,0,1,9504.0
604.0,4041084.0,C.V.T.,VASCULAR SURG,"REVISION, VASCULAR PROCEDURE",إعادة إجراء ( عملية ) وعائية,0,3,32681.0
