PC_PRVSRVCODE,PC_PRVSRVDESC,PC_STRTDATE,PC_ORPRICE
EM00000447,شريحة لعنق عظمة الفخذ-EM00000447,2019-04-01,160.0
NS00000447,شريحة لعنق عظمة الفخذ-NS00000447,2019-04-01,160.0
OR00000447,شريحة لعنق عظمة الفخذ-OR00000447,2019-04-01,160.0
OT00000447,شريحة لعنق عظمة الفخذ-OT00000447,2019-04-01,160.0
EM00000426,شريحة معدنية ذات زاوية 130110/120/ درجة .-EM00000426,2019-04-01,228.0
NS00000426,شريحة معدنية ذات زاوية 130110/120/ درجة .-NS00000426,2019-04-01,228.0
OR00000426,شريحة معدنية ذات زاوية 130110/120/ درجة .-OR00000426,2019-04-01,228.0
OT00000426,شريحة معدنية ذات زاوية 130110/120/ درجة .-OT00000426,2019-04-01,228.0
EM00000427,شريحة معدنية ذات زاوية 130110/120/ درجة-EM00000427,2019-04-01,264.0
NS00000427,شريحة معدنية ذات زاوية 130110/120/ درجة-NS00000427,2019-04-01,264.0
OR00000427,شريحة معدنية ذات زاوية 130110/120/ درجة-OR00000427,2019-04-01,264.0
OT00000427,شريحة معدنية ذات زاوية 130110/120/ درجة-OT00000427,2019-04-01,264.0
EM00000452,شريحة+نصل(130)4فتحةتسمح با-EM00000452,2019-04-01,212.0
NS00000452,شريحة+نصل(130)4فتحةتسمح با-NS00000452,2019-04-01,212.0
OR00000452,شريحة+نصل(130)4فتحةتسمح با-OR00000452,2019-04-01,212.0
OT00000452,شريحة+نصل(130)4فتحةتسمح با-OT00000452,2019-04-01,212.0
EM00000453,شريحة+نصل(130)6فتحةتسمح با-EM00000453,2019-04-01,248.0
NS00000453,شريحة+نصل(130)6فتحةتسمح با-NS00000453,2019-04-01,248.0
OR00000453,شريحة+نصل(130)6فتحةتسمح با-OR00000453,2019-04-01,248.0
OT00000453,شريحة+نصل(130)6فتحةتسمح با-OT00000453,2019-04-01,248.0
EM00000454,شريحة+نصل(130)9فتحةتسمح با-EM00000454,2019-04-01,280.0
NS00385220,دمج فقرتين عنقيتين-NS00385220,2019-04-01,4224.0
OT00385220,دمج فقرتين عنقيتين-OT00385220,2019-04-01,4224.0
NS00385221,دمج فقرتين قطنيتين-NS00385221,2019-04-01,5808.0
OT00385221,دمج فقرتين قطنيتين-OT00385221,2019-04-01,5808.0
FMDER0053,دهان لعلاج البرص,2019-04-01,94.0
FMDER0052,دهان لعلاج الصلع,2019-04-01,94.0
FMLAB2072,دهون ثلاثية,2019-04-01,123.0
LA00410277,دواء ضد التشنج بالمصل-LA00410277,2019-04-01,292.0
FMORT0355,دواء( كولشيسية) 6 أسابيع,2019-04-01,5982.0
OT00388269,دوالى بالحبل المنوى-OT00388269,2019-04-01,1760.0
SK00388269,دوالى بالحبل المنوى-SK00388269,2019-04-01,1760.0
OT00388214,دوالى بالخصية-OT00388214,2019-04-01,1760.0
OT00388236,دوالى بالساق-OT00388236,2019-04-01,1936.0
VA00388236,دوالى بالساق-VA00388236,2019-04-01,1936.0
FMDER0067,دوالي الخصية,2019-04-01,1395.0
FMXRY0531,دوبل أولي مبدئي,2019-04-01,270.0
OB00371255,دوبلار للوريد السري-OB00371255,2019-04-01,172.0
FMXRY0532,دوبلر لأحد الأوعية الدموية,2019-04-01,210.0
FMXRY0530,دوبلر لأوعية الكلى,2019-04-01,677.0
FMXRY0528,دوبلر للشريان السباتي واوعية المخ والشربان ال,2019-04-01,1331.0
FMXRY0527,دوبلر للشريان الفقاري والقاعدي مع تصوير دينان,2019-04-01,677.0
FMXRY0529,دوبلر للشرياناالمعوية,2019-04-01,270.0
FMXRY0526,دوبلر للشريايين السباتية واوعية المخ خلال الر,2019-04-01,1068.0
FMXRY0533,دوبلر متابعة,2019-04-01,339.0
FMXRY0534,دوبلر متنقل,2019-04-01,141.0
CL00381010,دوبلر ملون  M. MODE & 2D-CL00381010,2019-04-01,688.0
CR00381010,دوبلر ملون  M. MODE & 2D-CR00381010,2019-04-01,688.0
IC00381010,دوبلر ملون  M. MODE & 2D-IC00381010,2019-04-01,688.0
OT00381010,دوبلر ملون  M. MODE & 2D-OT00381010,2019-04-01,688.0
20301604,دورابور 2 /1,2019-04-01,4.86
20301603,دورابور 3,2019-04-01,33.0
20301601,دورابور1,2019-04-01,11.0
20301602,دورابور2,2019-04-01,22.0
GOSI0632,دى - ديمر,2019-04-01,220.0
LA99900016,دى اوكسي كورتيزول ( مركب )-LA99900016,2019-04-01,490.0
21617301,دى بى ال تى اتش -0 .5-27- اس تى,2019-04-01,1350.0
21234531,دى سى اتش ان -20-0 .15,2019-04-01,161.70000000000002
22730626,دى سى اتش ان -20-0 .20,2019-04-01,161.70000000000002
20228518,دى سى بى لعظمه الوجنه 4 ثقوب بورتيتانيوم *443 .440,2019-04-01,561.21
22402502,دياله دى 289 -تركيز حمضى 296,2019-04-01,123.0
22402501,دياله دى 294,2019-04-01,92.0
22402508,ديالوكس 5 كجم جال #ار -38/ار-41,2019-04-01,333.0
LA00410154,ديباكين-LA00410154,2019-04-01,148.0
21001404,ديتول 2 لتر #دى جى 138 للعمليات سى 6 بى,2019-04-01,99.0
21001402,ديتول 750 مل #دى جى 542 ايه للعمليات سى 12 بى,2019-04-01,39.0
21001401,ديتول سائل 500مل سى 4بى,2019-04-01,26.0
LA00410141,ديجوكسين-LA00410141,2019-04-01,292.0
OT00387503,ديرمابراثيون موضعية-OT00387503,2019-04-01,484.0
OT00387512,ديرمابريشن مع شيب جرافت-OT00387512,2019-04-01,800.0
PL00387512,ديرمابريشن مع شيب جرافت-PL00387512,2019-04-01,800.0
22101816,ديرماهيل لمنع سقوط الشعر,2019-04-01,1300.0
21221005,ديستال كابز *ماج-311,2019-04-01,555.0
21700306,ديسكيلار ان ام 500#1051-08,2019-04-01,177.38
22005501,ديكال,2019-04-01,123.0
21805433,ديكسون 110 بي اى سى 75 سم *983261,2019-04-01,568.5
21854030,ديكسون 112 بى اى سى 90سم جى اس 25*36*983681,2019-04-01,798.0
22402504,ديليسير جى اف اس 11,2019-04-01,176.0
22400606,ديليسير جى اف اس 16- تدفق بولى *17 لتر,2019-04-01,170.0
22402505,ديليسير جى اف اس12 ? تدفق بولى *14 لتر,2019-04-01,136.0
22212101,ديناماب كاف للكبار #8308 &2774,2019-04-01,180.0
20500402,ديودرم اى تى 2*8#187961,2019-04-01,28.0
20500405,ديودرم اى تى 3*3#187901,2019-04-01,12.0
20500401,ديودرم اى تى 4*4#187955,2019-04-01,15.0
20500404,ديودرم اى تى 6*6#187957,2019-04-01,23.0
20500303,ديودرم سى جى اف 4 *4#187658,2019-04-01,34.0
20500505,ديودرم سى جى اف 4*4  187971,2019-04-01,46.0
21616613,شيلز انتروديسور ,2019-04-01,156.0
CL00381018,شيلونج تيست-CL00381018,2019-04-01,132.0
CR00381018,شيلونج تيست-CR00381018,2019-04-01,132.0
SME1029,MASK FACE SURGEON BLUE SURGIKOS/TECNOL #48100-,2019-04-01,0.25
SME1035,BANDAGE COT.GAUZE ELAS.10CMX4M HARTMANN #303 113 3/LOH#14413,2019-04-01,2.08
ET04,MOHAMED BASIONY B. ASSAL,2019-04-01,105.0
OR4Z,BASSEM EZZELDINE ABDELHALIM,2019-04-01,105.0
IM2Q,IBRAHIM ELSAID ABDELWAHAB MOHD ELSAYED,2019-04-01,105.0
UR06,SAMY ABDUL HADY SOLIMAN,2019-04-01,105.0
DR75,HATEM HASSAN ABDELHAMID,2019-04-01,105.0
IM2G,HANI ABOU SHAEISHA,2019-04-01,105.0
CD81,GAMAL ABDALLA MOHD. ALI EL ATTAR,2019-04-01,105.0
SMC1080,ICE PACK COLD/HOT,2019-04-01,40.0
IM3I,TURKI  ABDULAZIZ,2019-04-01,105.0
ER71,MUJAHID GASEM ELSEED ELHAJ,2019-04-01,105.0
PDT6,FAWZIA FAIZ ALSHARIF,2019-04-01,105.0
ET2T,MOHAMED ABDELAZIZ AMER,2019-04-01,105.0
SG1Y,AMR ALI MOHAMED ALI DORGHAM,2019-04-01,130.0
SMI1060,CATHETER FOLEY BALLOON,2019-04-01,6.5
P091R0NCIT,IRON,2019-04-01,118.0
ER27,AHMED ABDEL MONEIM AHMED ISMAIL,2019-04-01,105.0
P12XEFO81T,XEFO 8MG TAB X 20,2019-04-01,16.8
P09ESSEN3C,ESSENTIAL D3 50000 IU CAP X 12,2019-04-01,38.45
P09FEMAR1T,FEMARA 2.5MG TAB X 30,2019-04-01,1013.7
OR5F,OSAMA RAMDAN ABDELHAMID KARDOUS,2019-04-01,105.0
SG3D,WAEL IBRAHIM ELSHELFA,2019-03-01,105.0
ET87,MUHAMMAD AMJAD  OBAID,2019-03-01,105.0
OR2G,METWALLY MOHAMED M,2019-03-01,130.0
SUR-0052-,FISTULA ? IN -ANO- EXCISION -LOW,2019-03-01,3500.0
M2G,HANI ABOU SHAEISHA,2019-03-01,130.0
OT87,MONA MOHAMED GAMALELDIN,2019-03-01,130.0
OR3D,OSAMA TAYSEER A OTHMAN,2019-03-01,130.0
CR5Q,SHAKER MOHAMED GABR,2019-03-01,130.0
IM79,AHMED MOHAMED AHMED,2019-03-01,130.0
MTPSD-0014,SCAR REVISION LARGE (L.A),2019-03-01,923.0
MTPSD-0033,REMOVAL OF MULTIPLE NAVI MORE THAN 6 (L.A.),2019-03-01,923.0
FMPSDH0002,DERMABRASION 1%,2019-03-01,998.0
FMPSDH0025,DEBRIBMENT OF SMALL AREA,2019-03-01,1000.0
FMPSDJ0020,SCAR REVISION,2019-03-01,1093.0
MTPSD-0038,FINGER TIP RECONSTRUCTION FOR ONE FINGER (G.A.),2019-03-01,1093.0
FMPSDA0034,MICRODERMABRASTION HANDS OR NECK (PACKAGE OF 5 SESSION),2019-03-01,1093.0
FMPSDE0040,EXCISION OF MEDIUM KELOID OF FACE,2019-03-01,1125.0
FMPSDF0012,REPAIR OF MINOR LACERATION OF  HAND,2019-03-01,1125.0
FMPSDH0005,BURN DRESSING 20 - 30%,2019-03-01,1125.0
MTPSD-0021,DRESSING  OF BURNS (G.A. 10 %),2019-03-01,1152.0
MTPSD-0004,EXCISION OF  SEBACEOUS CYST (SMALL),2019-03-01,1152.0
MTPSD-0005,EXCISION OF SEBACEOUS CYST (MODERATE),2019-03-01,1152.0
MTPSD-0006,EXCISION OF SEBACEOUS (BIG),2019-03-01,1152.0
MTPSD-0007,EXCCISION OF SMALL KELOID OF FACE,2019-03-01,1152.0
MTPSD-0017,SCAR REVISION LARGE  (G.A.),2019-03-01,1152.0
FMPSDJ0028,RESURFACING ERBIAN LAZER MEDIU M LESSION,2019-03-01,1210.0
MTPSD-0054,MEDIUM AREA FOR HAIR REMOVAL,2019-03-01,1268.0
FMPSD-2000,ADDITIONAL FEE FOR COMPLICATED OPERATIONS,2019-03-01,1268.0
FMPSDA0036,MICRODERMABRASTION CHEST(PACKAGE OF 5 SESSION),2019-03-01,1316.0
FMPSDA0026,Q-SWITCH FOR PIGMENTATION AND TATTO MEDIUM AREA,2019-03-01,1332.0
FMPSDH0004,BURN DRESSING > 30 %,2019-03-01,1401.0
MTPSD-0024,REMOVAL OF MULTIPLE WARTY OR NOVI,2019-03-01,1496.0
MTPSD-0040,ARTIFICIAL HAIR TRANSPLATATION  (100 HAIR),2019-03-01,1639.0
MTPSD-0025,EXCSN BIOPSY 0F MASS FROM BREAST/UNDER AXILLA SML,2019-03-01,1725.0
MTPSD-0001,EXCISION OF LIPOMA (MODERATE),2019-03-01,1725.0
MTPSD-0002,EXCISION OF LIPOMA (SMALL),2019-03-01,1725.0
MTPSD-0008,REPAIR OF MINOR LACERATION OF HAND,2019-03-01,1725.0
MTPSD-0009,REPAIR OF MODERATE LACERATION OF HAND,2019-03-01,1725.0
MTPSD-0010,REPAIR OF SOFT TISSUE LACERATION OF NOSE,2019-03-01,1725.0
MTPSD-0011,SUTURE OF LACERATION OF EXTERNAL EAR,2019-03-01,1725.0
FMPSDJ0033,MODERATE LESSION OF PORT WINE STAIN & HAEMAGIOMA,2019-03-01,1814.0
FMPSDJ0029,RESURFACING ERBIAN LAZER LARGE LESSION,2019-03-01,1814.0
FMPSDA0039,CHEMICAL PEEL (GLYCOLIC ACID) M.D. FORTE PACKAGE OF 6 PEELS,2019-03-01,1969.0
FMPSDH0024,DEBRIBMENT OF LARGE AREA,2019-03-01,2000.0
MTPSD-0055,LARGE AREA FOR HAIR REMOVAL,2019-03-01,2001.0
FMPSDA0027,Q-SWITCH FOR PIGMENTATION AND TATTOO LARGE AREA,2019-03-01,2001.0
FMPSDE0010,REPAIR OF LACERATIONS OF,2019-03-01,2096.0
FMPSDB0005,REPAIRT OF SOFT TISSUE LACIRATION OF NOSE,2019-03-01,2096.0
MTPSD-0056,X-LARGE AREA FOR HAIR REMOVAL,2019-03-01,2297.0
MTPSD-0034,SLIM FRAFT OF BURN UPTO 5% (G.A.),2019-03-01,2297.0
MTPSD-0029,HAIR TRANSPLATION OF AREA FOR 50-150 GRAMS,2019-03-01,2297.0
FMPSD-0006,EXTRA LARGE LESION FOR ERBIUM LAZER,2019-03-01,2297.0
FMPSDA0028,Q-SWITCH FOR PIGMENTATION AND TATTOO EXTRA LARGE AREA,2019-03-01,2525.0
FMPSDA0032,MICRODERMABRASION FACE (PACKAGE OF 5 SESSION),2019-03-01,2732.0
FMPSDF0014,REPAIR OF MAJOR LACERATION OF HAND,2019-03-01,2796.0
FMPSDH0003,RESUSSITATION OF MAJOR BURN,2019-03-01,2796.0
FMPSDA0038,MICRODERMABRASION LOWER ABDOMEN/UPPER ABDOMEN(PACKAGE OF 5 SESSION),2019-03-01,3279.0
FMPSDB0002,NASAL TIP CORRECTION,2019-03-01,3279.0
MTPSD-0036,ARTIFICIAL HAIR TRANSPLANTATION (300 HAIR),2019-03-01,3443.0
FMPSDA0013,EXCISION OF TUMOPOR OF LOWER LIP & REPAIR,2019-03-01,3491.0
MTPSD-0045,LIPOSUCTION OF BUTTOCKS ONE BUTTOCK,2019-03-01,3608.0
MTPSD-0026,EXCNL BPSY OF MASS FROM BREAST OR UNDER AXILLA (SM,2019-03-01,4022.0
FMPSDE0047,REPAIR OF LACIRATIONS OF THE FACE,2019-03-01,4120.0
FMPSDA0010,REPAIR OF BIG DEFECPT OF LOWER LIP,2019-03-01,4180.0
MTPSD-0050,PLEPAROPLASTY,2019-03-01,4372.0
FMPSDJ0001,ROTATION FLAP (MAJOR),2019-03-01,4918.0
MTPSD-0043,LIPOSUCTION OF THIGH SMALL AREA,2019-03-01,5359.0
MTPSD-0041,LIPOSUCTION OF ABDOMIN SMALL AREA,2019-03-01,5359.0
FMDNTS0223,LINKOW WITH 2 PFOSTEN,2019-03-01,2653.0
FMDNTS0054,REMOV. OF TORES PALATINUS LRGE,2019-03-01,2653.0
FMDNTS0016,"IMPACTED 3RD MOLAR ""SEVERE CASE""",2019-03-01,2653.0
FMDNTS0019,IMPAC. CANINE LABIO - PALATALY,2019-03-01,2653.0
FMINT-0048,GEN.CHECK UP IV(W/SUSPECTED   LIVER DISEASE),2019-03-01,1772.0
FMINT-0046,GEN. CHECK UP II(MALES&FEMALES,2019-03-01,2027.0
FMINT-0036,GEN.CHECK-UP I-WARD 1ST CLASS WITH NO SUITE OR SEMI SUITE,2019-03-01,2027.0
FMINT-0044,PATIENT W/ DYSPEPSIA WHOLE GUTAND WHOLE ABDOMEN OPD,2019-03-01,2292.0
FMINT-0038,GEN CHECK-UP II MALE IP 2ND   CLASS (1 DAY CASE),2019-03-01,2525.0
FMINT-0040,GEN CHECK-UP II FEMALE IP 2ND CLASS (1 DAY CASE),2019-03-01,2525.0
FMINT-0051,GEN. CHECK UP IV W/DYSPEPSIA  WHOLE GUT AND WHOLE ABDOMEN,2019-03-01,2525.0
FMINT-0047,GEN. CHECK UP III(FEMALES ONLY,2019-03-01,2812.0
FMINT-0039,GEN CHECK-UP II FEMALE IP 1ST CLASS (1 DAY CASE),2019-03-01,3162.0
FMINT-0037,GEN CHECK-UP II FOR MALE IP   1ST CLASS (1 DAY CASE),2019-03-01,3162.0
FMINT-0018,HEMODIALYSIS TYPE C2 (72SE),2019-03-01,32013.0
MTNUR-0017,GLUCO TEST,2019-03-01,16.0
MTNUR-0005,DRESSING SMALL,2019-03-01,26.0
MTNUR-0020,BREAST PUMP,2019-03-01,31.0
MTNUR-0012,OXYGEN INHALATION,2019-03-01,36.0
MTNUR-0021,FLEET CLEANSING ENEMA,2019-03-01,36.0
MTNUR-0010,HOT COMPRESS,2019-03-01,62.0
MTNUR-0006,DRESSING MEDIUM,2019-03-01,62.0
MTNUR-0018,CARDIAC MONITORING /30 MNTS,2019-03-01,62.0
MTNUR-0011,TEPID SPONGE BATH,2019-03-01,62.0
MTNUR-0004,I.V. INSERTION,2019-03-01,62.0
MTNUR-0009,COLD COMPRESS,2019-03-01,62.0
MTNUR-0008,DRESSING WITH BANDAGE,2019-03-01,93.0
MTNUR-0007,DRESSING LARGE,2019-03-01,98.0
MTNUR-0014,NEBULIZER (VENTOLIN),2019-03-01,98.0
MTNUR-0013,CODE BLUE,2019-03-01,175.0
MTNUR-0016,DEFIBRILLATOR,2019-03-01,175.0
MTNUR-0019,"BLOOD TRANSFUSION (BT SET,IV C",2019-03-01,227.0
FMMOR-0001,MORGUE PER DAY,2019-03-01,155.0
FMNEP-0037,O2 OXYGEN SESSION,2019-03-01,38.0
FMNEP-0033,GLUCOTEST,2019-03-01,48.0
FMNEP-0023,SUDDEN NEED OF OXYGEN IN REG.,2019-03-01,64.0
FMNEP-0024,SUDDEN USE OF ECG MONITORING,2019-03-01,64.0
FMNEP-1001,DOCTOR'S DAYCARE SUPERVISION,2019-03-01,64.0
FMNEP-0022,SINGLE USE OF VANFLOW CANULA,2019-03-01,64.0
FMNEP-0001,REFERAL FROM OTHER DOCTOR,2019-03-01,75.0
FMNEP-0035,E.C.G.,2019-03-01,96.0
FMNEP-0036,NEPTROLOGY FOLLOW UP DURING H.D.,2019-03-01,100.0
FMNEP-0038,NEBULIZER SESSION,2019-03-01,101.0
FMNEP-1000,DAY CARE SUPPERVISION,2019-03-01,181.0
FMNEP-0034,FOLLOW-UP NEPROLOGY,2019-03-01,388.0
FMNEP-0002,REGULAR HEMODIALYSIS,2019-03-01,578.0
FMNEP-0030,ADD'L FEE FOR COM.OR OVER 3HRS,2019-03-01,610.0
FMNEP-0003,REGULAR HEMODIALYSIS W/ STAND.,2019-03-01,865.0
FMNEP-0007,REGULAR PERITONEAL DIALYSIS,2019-03-01,1152.0
FMNEP-0004,URGENT HEMODIALYSIS (PATIENT   HAS VASCULAR ACCESS,2019-03-01,1152.0
FMNEP-0009,ARTERIO-VENOUS FISTULA CREAT.,2019-03-01,1152.0
FMNEP-0026,REG.HEMODIALYSIS STAND.INVEST.,2019-03-01,1210.0
FMNEP-2000,ADDITIONAL FEE FOR COMPLICATED,2019-03-01,1210.0
FMNEP-0008,TINKOFF CATHETER PLACEMENT,2019-03-01,1380.0
FMNEP-0032,PERM CATHETHER FOR HEMODIALYSIS,2019-03-01,1639.0
FMNEP-0027,URGENT HEMO.(PAT.W/VASC.ACCESS,2019-03-01,1809.0
FSALA-F002,"BEEF STROGANOFF - SAUTE BEEF, W.HAM,MUSHROOM,SR.CREAM,RICE",2019-03-01,45.0
FSALA-F006,CHICKEN A LA KIEV - GARLIC    BUTTER STUFFED CHICKEN BREASTS,2019-03-01,45.0
FSALA-G007,"MACHIWAT MUSHAKALA - GRIL.LAMBCUTLET,KOFTA,KABAB,LIVER,CHICK",2019-03-01,45.0
FSALA-H116,CHOCOLATE CAKE PER KILO - STAF,2019-03-01,45.0
FSALA-R024,VEAL KABAB HALA,2019-03-01,45.0
FSALA-R029,CHICKEN TIKKA,2019-03-01,45.0
FSEXTR-069,COFFEE (1 BOX),2019-03-01,45.0
FSALA-F001,ESCALOPE OF VEAL (OSTEREICH)  VEAL IN TRAD.AUSTRIAN STYLE,2019-03-01,50.0
FSALA-H073,VANILLA CAKE,2019-03-01,50.0
FSALA-H075,MUCHA CAKE,2019-03-01,50.0
FSALA-R006,"FIRRI BI SALSAH - YOUNG TENDERQUAILS, W. RICE, ALMONDS,TOMAT",2019-03-01,50.0
FSALA-R023,VEAL STEAK,2019-03-01,50.0
FSALA-R030,PIGEON (GRILLED OR STUFFED),2019-03-01,50.0
FSALA-B006,CHEESE CAKE (PER KG),2019-03-01,55.0
FSALA-B007,ST. PIE (PER KG),2019-03-01,55.0
FSALA-H074,BLACK FOREST,2019-03-01,55.0
FSALA-H076,CHOCOLATE CAKE,2019-03-01,55.0
FSALA-H118,PINEAPLE CAKE 1 1/2 KG (STAFF),2019-03-01,55.0
FSALA-R028,LAMB CHOPS,2019-03-01,55.0
FSEXTR-102,SYMPOSIUM PER PERSON (OUTSIDE),2019-03-01,55.0
FSEXTR-417,UMA ALI SMALL DISH (10 PORTION,2019-03-01,55.0
FSEXTR-766,COOKING FEE FOR WHOLE LAMB W/ RICE + DISP. PLATE - STAFF,2019-03-01,55.0
FSALA-F004,NEW YORK CUT (SIRLOIN) STEAK  GRILLED TO PERFECTION W. VEGS.,2019-03-01,60.0
CB004,"SOUP/SWEET BOWL ""CALDOMATE""",2019-03-01,65.0
FSALA-R003,SAMAK FI AS SINNIYAH          BAKED HAMOUR W.FRESH VEGETABS.,2019-03-01,65.0
FSALA-C001,SYMPOSIUM PER PERSON,2019-03-01,70.0
FMCAR-0000,CARDIOLOGY CONSULTATION- IN PT,2019-03-01,100.0
FMCAR-0001,REFERRAL FROM OTHER DOCTOR OP,2019-03-01,75.0
FMCAR-0002,E.C.G.,2019-03-01,101.0
FMCAR-0003,E.C.G. WITH ERGOMETRY,2019-03-01,849.0
FMCAR-0004,ECHO CARDIOGRAM 2D + M MODE,2019-03-01,669.0
FMCAR-0005,ECHO CARDIOGRAM 2D + M MODE + DOPPLER (FULL STUDY),2019-03-01,934.0
FMCAR-0006,HOLTER MONITOR 24 HOURS ECG,2019-03-01,669.0
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,2019-03-01,669.0
FMCAR-0008,CARDIAC CATHETERIZATION,2019-03-01,8838.0
FMCAR-0009,E.C.G. FOR INPATIENT,2019-03-01,122.0
FMCAR-0010,VENOUS DUPLEX,2019-03-01,245.0
FMCAR-0011,SURFACE PACEMAKER(NON-INVASIVE,2019-03-01,1809.0
FMCAR-0012,EXTERNAL TEMPORARY PACEMAKER,2019-03-01,2838.0
FMCAR-0013,PERICARDIOCENTESIS-6,2019-03-01,2414.0
FMCAR-0014,ECHO M-MODE ONLY,2019-03-01,346.0
FMCAR-0015,HYPERTENSION CHECK-UP I,2019-03-01,546.0
FMCAR-0016,HYPERTENSION CHECK-UP II,2019-03-01,1152.0
FMCAR-0017,PERMANENT  PACEMAKER-7,2019-03-01,4372.0
FMCAR-0018,PORTABLE ECHO SCREENING,2019-03-01,277.0
FMCAR-0019,PORTABLE ECHO FULL STUDY,2019-03-01,659.0
FMCAR-0020,24 HOURS AMBULATORY BP MONITORING,2019-03-01,440.0
FMCAR-0021,48 HOURS AMBULATORY BY MONITORING,2019-03-01,659.0
FMCAR-0500,SECOND OPINION CONSULTATION,2019-03-01,114.0
FMCAR-1000,DAY CARE SUPERVISION,2019-03-01,128.0
FMCAR-1001,DOCTOR'S DAYCARE SUPERVISION,2019-03-01,64.0
FMCARS0001,CARDIO VERSION (DC SHOCK),2019-03-01,1093.0
FMCARS0002,TEMPORARY PACEMAKER LEVEL REPOSITIONING,2019-03-01,1093.0
FMCARS0003,EXTERNAL PACEMAKER USE /DAY,2019-03-01,223.0
FMCARS0004,ATRIAL PACING,2019-03-01,1093.0
FMCARS0005,PERMANENT PACEMAKER IMPLANTATION (DDD),2019-03-01,6556.0
FMCARS0006,TRANSESOPHAGEAL ECHOCARDIOGRAPHY (TEE),2019-03-01,1316.0
FMCARS0007,PHARMACOLOGICAL TEST,2019-03-01,770.0
FMCARS0008,PHARMACOLOGICAL STRESS ECHOCARDIOGRAPHY,2019-03-01,1639.0
FMCARS0009,ABULATORY BP MONITORING,2019-03-01,7649.0
FMCARS0010,INTRA-AROTIC BALLOON INSERTION,2019-03-01,2186.0
FMCARS0011,INTRA-AORTIC BALLOON PUMP USE / DAY,2019-03-01,659.0
FMCARS0012,RIGHT HEART CATHETERIZATION,2019-03-01,1639.0
FMORT-0765,COSTOPLASTY,2019-03-01,2732.0
FMORT-0770,REPAIR DURAL RENT,2019-03-01,2732.0
MTORT-0002,ARTROSCOPY OF KNEE DIAGNOSTIC,2019-03-01,2732.0
MTORT-0005,CARPAL TUNNEL DECOMPRESSCION,2019-03-01,2732.0
MTORT-0014,REMVL OF INT. FIXATN DEVICE ATFEMUR,2019-03-01,2732.0
MTORT-0018,SEQUESTROMY OF LONG BONES,2019-03-01,2732.0
FMORT-3001,PULSED SIGNAL THERAPY 9 SESSION,2019-03-01,3000.0
FMORT-0593,LUMBAR PERCUTANEOUS RHIZOTOMY  LEVEL II,2019-03-01,3008.0
FMORT-0594,CERVICAL RHIZOTOMY LEVEL I,2019-03-01,3008.0
FMORT-0595,CERVICAL RHIZOTOMY LEVEL II,2019-03-01,3279.0
FMORT-0716,SHOCK WAVE FOR PSEUDOARTHROSIS OF DELAYED UNION UNDER G.A. (DAY CARE) P.D.,2019-03-01,3279.0
FMORT-0717,ARTHROSCOPIC CARBON PINS INPLANTATION,2019-03-01,3279.0
FMORT-0736,OPEN LUMBAR DISCECTOMY ( MULTIPLE LEVEL ),2019-03-01,3279.0
FMORT-0738,LUMBAR LAMINOTOMY / LAMINECTOMY ( MULTIPLE LEVEL ),2019-03-01,3279.0
FMORT-0740,PERCUTANEOUS THERMO-LASER,2019-03-01,3279.0
FMORT-0741,ENDOSCOPIC THERMO-LASER ( ANY REGION ),2019-03-01,3279.0
FMORT-0742,LUMBAR DISCECTOMY W/PDN INSERTION,2019-03-01,3279.0
FMORT-0744,POSTERIOR CERVICAL WIRING,2019-03-01,3279.0
FMORT-0757,SACRO-ILIAC JOINT ARTHRODESIS,2019-03-01,3279.0
FMORT-0773,DESTANTU LIMBAR LAMINOTOMY ( 2 LEVEL ),2019-03-01,3279.0
MTORT-0001,ARTHROSCOPY OF KNEE SURGICAL,2019-03-01,3279.0
FMORT-0612,FRACTURE AT MEDIAL OR LATERAL MALLEOLUS,2019-03-01,3279.0
FMORT-0491,IF P/S R.U.F.T.E.,2019-03-01,3300.0
FMORT-0611,FRACTURE MEDIAL AND LATERAL   MALLEOLUS,2019-03-01,3300.0
FMORT-0580,REPAIR OF COLLATERAL LATERAL  LIGAMENT,2019-03-01,3300.0
FMORT-0403,CARPAL TUNNEL DECOMPRESSION1,2019-03-01,3300.0
FMORT-3002,PULSED SIGNAL THERAPY 12 SESSION,2019-03-01,3500.0
FMORT-0731,POSTERIOR CERVICAL DECOMPRESSION WITH FIXATION,2019-03-01,3825.0
FMORT-0733,ANTERIOR THORACIC DESICTOMY,2019-03-01,3825.0
FMORT-0755,MODIFIED SCOTT WIRING,2019-03-01,3825.0
FMORT-0003,BONE GRAFT OUT OF ILIAC BONE- CREST,2019-03-01,3825.0
FMORT-0723,COLCHICINE INJECTION COURSE,2019-03-01,4180.0
FMORT-0657,TENDON TRANSFER AT SHOULDER,2019-03-01,4266.0
FMPTD-0097,AROMA THERAPY WITH MASSAGE ONE SESS,2019-03-01,277.0
FMPTD-0062,CRUTCHES - ALUM. - LGE. - ADLT,2019-03-01,277.0
FMPTD-2065,MEDICAL BATH + MASSAGE (1X),2019-03-01,287.0
FMPTD-2082,ONE SESSION WEIGHT REDUCTION,2019-03-01,287.0
FMPTD-2068,PT MULTIPLE AREAS (3 PROCS),2019-03-01,287.0
FMPTD-0053,NERVE CONDUCTION - 3 NERVES,2019-03-01,292.0
