Unified Codes,Unified Descr.,LOS, SBS Codes,type,Gross Price,Unnamed: 6
FMENT-3246,Pk-Full Abdominoplasty - Large (Skincare) Including O.R. Anaeasthesia Two Night In Hospital,2,30165-00-00,PKG,21600,
FMENT-3247,Pk-Buttock Lifting Including O.R. Anaeasthesia Two Night In Hospital,2,30168-00-00,PKG,18000,
FMENT-3248,Pk-Thigh Lifting Including O.R. Anaeasthesia Two Night In Hospital,2,30168-00-00,PKG,18000,
FMENT-3249,Pk-Lower Back Lifting Including O.R. Anaeasthesia One Night In Hospital,1,30168-00-00,PKG,21600,
FMENT-3250,Endoscopic Trans Sphenoidal Repair Of Csf Rhinorrhoea. ,,39712-04-00,PKG,46023.862499999996,
FMENT-3253,Middle turbinectomy,,41689-02-00,PKG,2580.6,
FMENT-3254,Incision and Drainage of ludwig angina,(1day),45676-00-00,PKG,6500,
FMENT-9000,C.P Program - 1 Session (P.D),,83620-00-30,services,302,
FMENT-9004,Speech Therapy Session -10 Sessions,,95550-05-00,services,2500,
FMENTD0002,OESOPHAGEAL DILATATION OT00352256,,41819-00-00,services,5233.305,
FMENTD0006,SWABBING OF TRACHEA,,83700-00-00,services,3024,
FMENTD0009,LASER BIOSY ANY ORGAN,,83700-00-00,services,6009,
FMENTE0001,Audiometry (Pure Tone + Speech ),,11309-00-00,services,599,
FMENTE0002,Audiometry - Pure Tone,,11306-00-00,services,200,
FMENTE0003,Audiometry - Speech,,11306-00-00,services,200,
FMENTE0005,Tympanometry,,11324-00-01,services,410,
FMENTE0006,SPECIAL TEST BATTERY,,99999-99-99,services,621,
FMENTE0007,ELECTRONYSTAMOGRAPHY - ENG,,11339-00-00,services,700,
FMENTE0008,Facial Nerve Excitability Test,,11012-01-00,services,730,
FMENTE0009,Brain Stem Evoked Response Audiometry,,11300-00-00,services,2021,
FMENTE0010,Electrochochleography,,11303-00-00,services,1644,
FMENTE0011,Play Audiometry (Ped),,11306-00-00,services,400,
FMENTE0013,Otoacoustic Emission Test,,11332-02-00,services,701,
FMENTE0014,Neuro-Otological Hearing Test,,96009-00-00,services,906,
FMENTE0015,Impedancemetry Study,,11324-00-01,services,895,
FMENTE0016,FOR SITE OF LESS.TEST BATTERY,,83700-00-00,services,807,
FMENTE0018,Hearing Aid Unitron (Program),,96092-00-41,services,5140,
FMENTE0020,Caloric Test For Vertigo,,11333-00-00,services,956,
FMENTE0021,Transient Evoked Otoacoustic Emissions (Ped),,11332-00-00,services,243,
FMENTE0025,Tinnitus Matching & Masking,,96065-00-00,services,407,
FMENTE0026,Voice Disorder Session,,95550-05-00,services,793,
FMENTE0027,Hearing Aid Fitting Colibrie Ii,,96092-00-41,services,2760,
FMENTE0029,Comptuer Assisted Vestibular Rehabiliation Exercise,,96130-00-00,services,287,
FMENTE0030,Tinnitus Matching,,96065-00-00,services,447,
FMENTE0031,Tinnitus Masking,,96065-00-00,services,227,
FMENTE0032,Fitting Hearing Aid Audioflex 120,,41557-02-01,services,5140,
FMENTE0035,Canalith Repositioning Maneuver For Benign Paroxysmal Postion,,96064-00-11,services,878,
FMENTE0036,Device Of Senso-Hearing Aid,,96009-00-00,services,9769,
FMENTE0037,Fitting Of Compact Digifocus Hearing Aid,,41557-02-01,services,11625,
FMENTE0038,Fitting Of Fm System For Hearing Impairment,,41557-02-01,services,14495,
FMENTE0039,Tinnitus Retraining Therapy (Trt),,96065-00-00,services,448,
FMENTE0040,Auditory Training Session,,96132-00-00,services,350,
FMENTE0041,Laryngo-Vediostroboscopy,,41764-03-00,services,1408.05,
FMENTE0044,MODIFIED CANALITH REPOSITIONING MANUEVER,,90118-00-01,services,741,
FMENTE0046,INTRA TYMPANIC INJECTION,,90114-00-01,services,368,
FMENTE0047,INTRATYMPANIC INJ. UNDER SURFACE ANESTHESIA,,90114-00-01,services,570,
FMENTE0050,ABR NUEROTOLOGY,,83700-00-00,services,2732,
FMENTE0051,ABR SCREENING FOR NEW BORN,,11300-00-00,services,1000,
FMENTE2004,Suture Of Laceration Of Extrnal Ear (Per Suture),,30052-00-01,services,216,
FMENTE2006,Aspiration Of Hematoma,,90111-00-01,services,1702,
FMENTE2007,EXCISION OF PRE-AURICULAR CYST,,30104-00-01,PKG,8208,
FMENTE2013,SURGICAL CORRECTN OF PROMINENT,,45659-00-01,services,11647,
FMENTE3001,Ear Wash - Unilateral,,41647-00-00,services,200,
FMENTE3002,Ear Wash - Bilateral,,41647-01-00,services,350,
FMENTE3003,Treatment Of Otomycosis-Unilateral,,41626-00-00,services,392,
FMENTE3004,Treatment Of Otomycosis-Bilateral,,90111-00-02,services,621,
FMENTE3005,Debridement & Insertion Of Otowick,,90665-00-10,services,109,
FMENTE3006,Incision Of Abscess Of External Ear Canal,,41626-00-00,services,481,
FMENTE3007,Removal Of Foreign Body Without Incision W/O Microscope-Not Impc,,41503-00-01,services,397,
FMENTE3008,REMVAL OF FOREIGN BODY WITHOUT INCISN-W/O MICROSCOPE-IMPACTED,,41629-00-01,services,942,
FMENTE3011,DEBRIDEMENT - EAR INFECTION,,83700-00-00,services,942,
FMENTE3016,BIOPSY OF EXTERNAL EAR,,30075-28-01,services,1101,
FMENTE3017,Microscopic Examination Unilateral,,90119-00-01,services,342,
FMENTE3018,Microscopic Examination Bilateral,,90119-00-02,services,418,
FMENTE3020,Vestibular Assestment,,96009-00-00,services,1674,
FMENTE3026,Hearing Aid,,83700-00-00,services,11025,
FMENTE3031,VESTIBULAR REHABILITATION SESSION,,96064-00-00,services,260,
FMENTE4007,Removal Of Grommet-Unilateral,,90114-00-01,services,888,
FMENTE4009,MIDDLE EAR SURGERY-IMPAIRED,,41539-00-01,services,10198,
FMENTE4011,MASTOIDECTOMY - OTHERS,,41545-00-01,services,11647,
FMENTE4012,CLOSURE OF MASTOID FISTULA,,90117-00-01,services,11647,
FMENTE4029,INFRA TEMPORAL FOSSA APPROACH TYPE A,,83700-00-00,services,47752,
FMENTE5002,DECOMPRESSION OF TEMPORAL,,41569-00-00,services,17154,
FMENTE5003,Ear Mould,,41557-02-01,services,436,
FMENTE5004,Hearing Aid Fitting,,96092-00-41,services,500,
FMENTE5005,Free Field Audiometry,,11306-00-00,services,765,
FMENTE6001,Politzerization,,90113-00-02,services,258,
FMENTE6002,CATHETERIZATION OF EUSTACHIAN  TUBE,,41755-00-01,services,1101,
FMENTE6003,Hearing Aid M35,,41557-02-01,services,4350,
FMENTE6004,Hearing Aid M36,,41557-02-01,services,4205,
FMENTE6005,Hearing Aid M49-0,,41557-02-01,services,4480,
FMENTE6008,Hearing Aid M60-Ol,,41557-02-01,services,3810,
FMENTE6009,Hearing Aid Philips M60-Or,,96092-00-41,services,3810,
FMENTE6020,Hearing Aid Philips S46-O,,41557-02-01,services,4350,
FMENTE6022,Hearing Aid Philips S47,,96092-00-41,services,4075,
FMENTE6024,FARO REMOTE CONTROL,,83700-00-00,services,1678,
FMENTE6025,LASER STAPEDECTOMY,,41608-00-01,services,14552,
FMENTE6026,Cochlear Implant Surgery,,83700-00-00,services,3102,
FMENTE6027,CREAT. MAP - COCHLEAR IMPLANT,,96092-00-00,services,1021,
FMENTE6029,Promontory Stimulation Test,,96155-00-00,services,828,
FMENTE6034,Cochlear Function Monitoring,,96009-00-00,services,448,
FMENTE6037,Intratympanic Infussion Of Corticostiroid Or Gentamicyn,,96199-02-00,services,1039,
FMENTE6039,Hearing Threshold By Abr,,96173-00-00,services,1506,
FMENTE6041,LOCAL SPINAL INFELTRATION,,92513-99-00,services,901,
FMENTE6042,BROAD BAND NOSE GENERATOR,,83700-00-00,services,3308,
FMENTE6044,Vemps Vestibular Evodes Myogenic Potentials,,92015-00-01,services,977,
FMENTE6045,Video Nystagmography(Vng),,11339-00-00,services,1568,
FMENTE6048,Audio Brain Evoked Response,,11300-00-00,services,3121,
FMENTE6052,Central Auditory Battery Test (Psychophysical),,83700-00-00,services,2855,
FMENTE6053,Central Auditory Test For Children (Psychophysical,,83700-00-00,services,4283,
FMENTE6055,Central Auditory Remediation Course,,83700-00-00,services,2855,
FMENTE6056,Video Hit Impulse Test ,,83700-00-00,services,525,
FMENTE6057,Epley Maneuver      ,,96064-00-11,services,512,
FMENTE6058,Fibro Optic Laryngoscopic  - Evaluation Of Swallowing ,,41764-03-00,services,225.75,
FMENTE6059,Laryngoscopy Indirect Diagnostic Separate Procedure,,41849-00-00,services,700,
FMENTE6082,E.N.G + CALORIC TEST,,11339-00-00,services,1650,
FMENTE9914,Dix-Hallpike Test For Bppv,,92001-00-00,services,158.4,
FMENTG0002,TRANSFER OF SKIN FLAP,,45200-00-00,services,2208,
FMENTH-0001,Sinusitis,,41737-01-00,services,900,
FMENTK0002,Change Of Tracheostomy Tube,,83700-00-00,services,2996,
FMENTL0008,OPEN SURGERY FOR CORAL,,83700-00-00,services,8748,
FMENTL0010,EXCISION OF PHARYNGEAL POUCH,,41770-00-00,services,7498,
FMENTL0011,DIATHERMY TREATMENT OF,,41674-02-00,services,7498,
FMENTL0013,SURGERY FOR CA.LARYNX - TOTAL,,41834-00-00,services,14552,
FMENTL0014,Speech Therapy Session,,95550-05-00,services,302,
FMENTL0015,Indirect Laryngoscopy Using Endoscope,,41849-00-00,services,258,
FMENTL0016,LARYNGOPLASTY,,90150-00-00,services,8748,
FMENTL0017,Speech Therapy Single,,95550-05-00,services,251,
FMENTL0021,LASER ARETENOIDECTOMY,,41867-00-00,services,13673,
FMENTL0023,Delayed Speech & Language Development,,95550-05-00,services,679,
FMENTL0024,Stuttering Or Stammering Session,,83700-00-00,services,793,
FMENTL0025,Articulation Session For Defect,,83700-00-00,services,793,
FMENTL0027,SPEECH ASSESTMENT,,96012-00-00,services,492,
FMENTL0029,Articulation Test,,83700-00-00,services,682,
FMENTL0031,Illinois Test Of Psycholionguistic Abilities,,92204-00-00,services,750,
FMENTL0046,STUTTERING THERAPY SESSION(SINGLE),,83700-00-00,services,406,
FMENTM0046,STUTTERING THERAPY SESSION (SINGLE),,95550-05-00,services,302,
FMENTN0004,PROETZ MANOEUVRE (NASAL SINUS,,83700-00-00,services,550,
FMENTN0005,Rhinoscopy,,41764-00-00,services,160,
FMENTN0006,Allergy Prick Test,,73100-18-40,services,1144,
FMENTN2002,RHINOLITH EXTRACTION,,45638-00-00,services,3638,
FMENTN2005,INCISION & DRAINAGE OF SEPTAL,,83700-00-00,services,5176,
FMENTN2009,Control Of Epistaxis By Chemeical Cauterization - Unilateral,,41677-00-00,services,214,
FMENTN2010,Control Of Epistaxis By Chemical Cauterization - Bilateral,,41677-00-00,services,281,
FMENTN2011,CAUTERY TO NOSE,,41677-00-00,services,633,
FMENTN2012,Control Of Epistaxis By Elect. Cauterization - Bilateral,,83700-00-00,services,3373,
FMENTN2034,DEBRIDEMENT-ATROFIC RHINITIS - UNILATERAL,,90665-00-10,services,342,
FMENTN2035,DEBRIDEMENT-ATROFIC RHINITIS - BILATERAL,,30023-00-01,services,508,
FMENTN2036,SILASTIC IMPLANTATION ATROFIC,,90133-00-00,services,8748,
FMENTN2037,Choanal Atresia Repair - Unilateral,1,45645-00-00,PKG,9000,
FMENTN2038,Choanal Atresia Repair - Bilateral,1,45645-00-00,PKG,15000,
FMENTN2045,Septoplasty,,41671-02-00,PKG,6443.34075,
FMENTN2050,SURGERY OFTUMOUR OF NASAL -  CAVITY - BENIGN,3,90141-01-10,PKG,12000,
FMENTN2051,SURGERY OF TUMOUR OF NASAL -  CAVITY - MALIGNANT,,31230-01-00,services,11647,
FMENTN2054,Change Of Nasal Splint,,96092-00-00,services,205,
FMENTN2055,Removal Of Nasal Pack,,92031-00-00,services,791,
FMENTN2056,LASER APPLIC.TO INT.TURBINATES,,41674-00-00,services,4531,
FMENTN2057,LASER APPLIC.TO INFER.TURBINA-,,41674-00-00,services,6009,
FMENTN2062,NASAL SINUSCOPY,,41764-01-00,services,417,
FMENTN2063,Nasal Endoscopy,,41764-00-00,services,203,
FMENTN2064,Nasal Sinuscopy With Biopsy,,41764-01-00,services,1122,
FMENTN2065,INCISSION OF NASAL ABSCESS,,30223-01-00,services,633,
FMENTN2068,CLOSURE OF ORO-NASAL FISTULA,,45714-00-00,services,3447,
FMENTN2090,Bilateral Partial Inferior Turbinectomy.,,41689-01-00,PKG,4000,
FMENTO0003,Suture Of Laceration Of Soft - Palate,,83700-00-00,services,1158,
FMENTO0008,FRENOTOMY,,83700-00-00,services,5176,
FMENTO0009,Removal Of Foreign Body-Throat,,92032-00-00,services,1009,
FMENTO0011,CAUTERIZATION OF MOUTH ULCER - CHEMICAL,,90143-00-00,services,942,
FMENTO0012,Cauterization Of Mouth Ulcer - Cryocautery,,83700-00-00,services,2054,
FMENTO0013,MARSUPIALIZATION OF SALIVARY,,97379-00-00,services,4531,
FMENTO0014,REMOVAL OF CALCULUS FROM -,,99999-99-99,services,2387,
FMENTO0015,LASER UVULECTOMY,,41810-01-00,services,3447,
FMENTO0019,GLOSSOPLASTY,,90136-00-00,services,7156,
FMENTP0001,Nasopharyngoscopy,,41653-00-00,services,426,
FMENTP2004,INCISION & DRAINAGE OF PERIT-,,41807-00-00,services,800,
FMENTP2009,EXCISION OF LINGUAL TONSILL,,83700-00-00,services,3024,
FMENTP2012,Control of Haemorrhage after tonsillectomy.,,30058-01-00,services,1036,
FMENTP2017,EXCISION OF VALLECULAR CYST,,41813-00-00,services,6009,
FMENTP3006,LASER PALATOPLASTY,,99999-99-91,services,14552,
FMENTP3007,LASER EXCISSION OF BENIGN TUM.,,52035-00-00,services,7498,
FMENTP3008,CRICO-PHARYNGEAL MYOTOMY,,41776-00-00,services,8748,
FMENTP3009,LASER EXCISSION OR LINGUAL,,30278-00-00,services,5712,
FMENTP3010,EXCISION OF ELONGATED STYLOID,,30244-00-01,services,4017,
FMENTP3011,LASER ASSISTED UVULOPALATOPLAS,,41786-00-00,services,9256,
FMENTS0002,ANTRAL PUNCTURE + WASH-BILAT,,41704-00-00,services,440,
FMENTS0004,INTRA-NASAL ANTROSTOMY,,41716-01-00,PKG,3313.2,
FMENTS0007,EXCISION OF LESION MAXILLARY,,41716-00-00,services,3024,
FMENTS0008,EXCISN OF LESION OF MAXILLARY,,41716-06-00,services,3612,
FMENTS0011,BIOPSY OF MAXILLIARY SINUS,,41716-05-00,services,3024,
FMENTS0012,RADICAL MAXILLECTOMY,,45596-00-00,services,13000,
FMENTS0016,TREPHINE OF THE FRONTAL SINUS,,41743-00-00,services,3492.72,
FMENTS0017,EXTERNAL OPERATION ON FRONTAL,,41749-00-00,services,11647,
FMENTS0024,SLEEP ENDOSCOPY,,41632-00-00,services,4154,
FMENTS0027,Central Auditory Remediation Session (Single),,83700-00-00,services,289,
FMENTS0028,Swallowing Therapy Session,,90147-00-00,services,400,
FMENTS0029,Swallowing Electrical Stimulation Therapy Session,,83700-00-00,services,5250,
FMENTS0030,A Non-Instrumental Swallowing Assessment,,96010-00-00,services,400,
FMERD-0001,Ed Consultation,,83600-00-10,services,445,
FMERD-0015,"Ambulance Service - With Nurse Or Emt/ Paramedic, 80 - 150 Km (Single Trip)",,83500-00-80,services,800,
FMERD-0016,"Ambulance Service - With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 80 - 150 Km (Round",,83500-00-80,services,3500,
FMERD-0017,"Ambulance Service - Without Nurse Or Physician, 150 - 250 Km (Single Trip)",,83500-00-80,services,1600,
FMERD-0018,"Ambulance Service - With Nurse Or Emt/ Paramedic, 150 - 250 Km (Single Trip)",,83500-00-80,services,2600,
FMERD-0019,"Ambulance Service - With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 150 - 250 Km (Roun",,83500-00-80,services,3195,
FMERD-0020,"Ambulance Service - Without Nurse Or Physician, 250 - 400 Km (Single Trip)",,83500-00-80,services,6600,
FMERD-0024,"Ambulance Service - With Nurse Or Emt/ Paramedic, 250 - 400 Km (Round Trip)",,83500-00-80,services,3990,
FMERD-0025,"Ambulance Service - With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 250 - 400 Km (Single",,83500-00-80,services,1995,
FMERD-0026,"Ambulance Service - Without Nurse Or Physician, 400 - 800 Km (Single Trip)",,83500-00-80,services,2395,
FMERD-0028,"Ambulance Service - With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 400 - 800 Km (Rou",,83500-00-80,services,4790,
FMERD-0039,Ambulance Fee Less Than 50 Kms,,83500-00-10,services,480,
FMERD-0040,"Endotracheal, Monitor Cuff Pressure/Procedure Care",,92001-00-10,services,60,
FMERD-0041,Wound Debridement,,83700-00-00,services,1150,
FMERD-9906,"Ambulance Service - With Physician (Consultant) And Nurse Or Emt/ Paramedic, 20 - 40 Km (Single Trip",,83500-00-80,services,750,
FMERD-9925,Emergency Cardioversion,,83610-04-30,services,565,
FMERD-9926,Emergency Transcutaneous Pacing,,83610-04-30,services,1050,
FMERD-9938,Emergency Echocardiogram Study,,11700-00-00,services,1200,
FMERD-9940,Emergency Doppler Study,,90908-00-00,services,258,
FMERD-9944,Emergency Pulmonary Function Test (Portable / Disposable) Device,,11503-16-00,services,360,
FMERDA0001,Abcess Incision And Drainage - Superfecial,,30223-01-00,services,251,
FMERDA0002,Abcess Incision And Drainage - Deep,,30223-01-20,services,988,
FMERDA0003,Endotracheal Intubation,,22007-00-00,services,536,
FMERDA0004,Abcess Incision And Drainage - Paronychia,,47912-00-01,services,1415,
FMERDA0006,Removal Of Stitches,,16512-00-00,services,416,
FMERDA0007,REMOVL OF FOREIGN BODY extermaties and trunk,,99999-99-99,services,863,
FMERDA0008,Burn Dressing 5 % - Bsa,,30010-00-10,services,350,
FMERDA0009,Burn Dressing 10 - 20% - Bsa,,30014-00-00,services,1260,
FMERDA0010,"Burn Dressing Large > 25 Cm, Multiple Sites",,30014-00-00,services,1965,
FMERDA0011,Burn Dressing 5 - 10% - Bsa,,30010-00-20,services,520,
FMERDA0012,Urinary Bladder Catheterization - Foley Catheter,,36800-00-00,services,297,
FMERDA0014,Deep Cut Wound Medium (5 -10 Stitches),,83700-00-00,services,457,
FMERDA0015,DEEP CUT WOUND SMALL ( 3 - 5   STITCHES),,83700-00-00,services,285,
FMERDA0016,Intrapulmonary Surfactant Administration By A Physician Through Endotracheal Tube,,96205-19-00,services,300,
FMERDA0017,Iv Cannula Insertion,,90220-00-00,services,85,
FMERDA0018,Emergency Central Catheter Insertion,,13815-00-00,services,210,
FMERDA0019,Iv Insertion,,90029-00-00,services,173,
FMERDA0020,I.V. Medication Adminstration,,96199-19-00,services,34.65,
FMERDA0021,Home Visit - G.P. On Duty,,83620-00-50,services,960,
FMERDA0022,Home Visit - G.P. Off Duty,,83620-00-50,services,960,
FMERDA0023,Home Visit - Consultant On Duty,,83620-00-70,services,1505,
FMERDA0024,Home Visit - Consultant Off Duty,,83620-00-70,services,400,
FMERDA0025,Home Visit - Nurse,,83620-00-00,services,400,
FMERDA0026,Cardiac Monitoring (Per 30 Min),,92056-00-00,services,168,
FMERDA0027,Deep Cut Wound Medium (10-20 Stitches),,83700-00-00,services,439,
FMERDA0028,Superfecial Wound Suturing (5-10 Stitches),,30026-00-20,services,260,
FMERDA0029,Superfecial Wound Suturing (3-5 Stitches),,30026-00-10,services,182,
FMERDA0031,Epistaxix - Unilateral Packing,,41677-00-00,services,1355,
FMERDA0033,External Ear Laceration Suturing,,30052-00-01,services,306,
FMERDA0034,Lip Laceration Suturing,,30052-02-00,services,342,
FMERDA0035,Nose Laceration Suturing,,83700-00-00,services,342,
FMERDA0036,Toungue Laceration Suturing,,83700-00-00,services,1086,
FMERDA0037,Check-Up Food Handler,,99999-99-99,services,520,
FMERDA0038,External Consultatnt Fee - With Permession,,83700-00-00,services,771,
FMERDA0039,Emergency Defibrillation,,38393-00-00,services,439,
FMERDA0042,FIXATION OF AGRYL CATHETER,,13109-00-00,services,1410,
FMERDA0045,Health Certificate - Check-Up,,99999-99-99,services,445,
FMERDA0047,INCISION & DRAINAGE (PEDIA),,83700-00-00,services,297,
FMERDA0050,MINI DRESSING PACK,,99999-99-99,services,117,
FMERDA0051,Nasal Tube Suctioning,,41704-00-00,services,91,
FMERDA0052,Home Visit - Nurse Escort Per 12 Hours,,83610-04-50,services,1114,
FMERDA0053,Fleet Enema - Double,,92066-00-00,services,114,
FMERDA0054,Lose Nail Removal,,83700-00-00,services,530,
FMERDA0056,SM.DRESSING W/OINT & BAN DIF.A,,30055-00-10,services,200,
FMERDA0057,UNDER WATER DRAINAGE,,83700-00-00,services,371,
FMERDA0058,VACCINATION FOR CHOLERA (ER),,92143-00-00,services,96,
FMERDA0060,Ice Compressor,,83700-00-00,services,170,
FMERDA0061,Fleet Enema - Single,,92077-00-00,services,84,
FMERDA0062,Glucotest,,83700-00-00,services,40,
FMERDA0063,Warm Compressor,,92178-00-90,services,177,
FMERDA0064,Im Inj/Subcut Inj,,96197-19-00,services,25,
FMERDA0065,Large Dressing > 25 Cm,,30055-00-30,services,245,
FMERDA0066,Medium Dressing 15 - 25 Cm,,30055-00-20,services,170,
FMERDA0067,Ordinary Dressing,,30055-00-00,services,144,
FMERDA0069,Tepid Sponge Bath - Tsb,,96153-00-00,services,151,
FMERDA0070,Skin Test,,12000-00-00,services,906,
FMERDA0071,Code Blue Activation,,83700-00-00,services,744,
FMERDA0072,Superfecial Wound Suturing (1-3 Stitches),,30026-00-10,services,139,
FMERDA0073,Nebulizer (Ventoline/ Atrovent),,92043-00-00,services,182.7231021,
FMERDA0075,Small Dressing < 10 Cm,,30055-00-10,services,73.5,
FMERDA0076,11 Leads E.C.G.,,11700-00-00,services,218.4,
FMERDA0077,Home Visit - Specialist On Duty,,96028-00-00,services,825,
FMERDA0078,Home Visit - Specialist Off Duty,,83620-00-60,services,1300,
FMERDA0079,CHEMOTHERAPY (1) DAY TREAT.ER,,96206-00-00,services,456,
FMERDA0082,EVALUATION OF BREAST MILK      USING ELECTRONIC BREAST PUMP,,92001-00-00,services,107,
FMERDA0083,FINE FAC.SUTRES.USING 8-12 SUT USING 5 OR 6 SUTURE,,30032-00-30,services,371,
FMERDA0084,FINE FACIAL SUTUR.USG.5-6 1-3  SUTURES,,30032-00-10,services,240,
FMERDA0085,FINE FAC.SUT.USNG. 5-6 SUT.4-7 SUTURES,,30032-00-10,services,297,
FMERDA0086,Ambulance For Aramco Patient --5436,,83520-00-00,services,790,
FMERDA0087,Ambulance For Aramco Patient --5437,,83520-00-00,services,370,
FMERDA0088,Home Visit - Escorting Patient,,96028-00-00,services,1050,
FMERDA0089,Use Of Pulse Oximeter 30 Mnts.,,99999-99-99,services,98,
FMERDA0090,Home Visit - Outside The City,,96028-00-00,services,5390,
FMERDA0091,Vital Sign Monitoring Multi Parameter Hourly Rate,,83700-00-00,services,507,
FMERDA0093,E.C.G. ANALYZER,,11700-00-00,services,200,
FMERDA0095,Triage Cardiac Profiler,,92204-00-00,services,2240,
FMERDA0102,USER OF AMBULANCE FOR ECT PATIENT,,83500-00-80,services,86,
FMERDA0104,USE OF PORTABLE VENTILATOR,,92044-00-00,services,133,
FMERDA0105,Code Yellow,,83500-00-10,services,339.9165,
FMERDA0111,Ac Bandage,,90676-00-00,services,405,
FMERDA0112,Home Visit - Covid - 19 Swab,,73100-26-20,services,265,
FMERDA0114,COVID 19 RAPID ANTIGEN TEST,,83700-00-00,services,170,
FMERDA0118,14 Leads Ecg,,11700-00-00,services,145,
FMERDA0119,Back Slab Application,,50130-00-01,services,90,
FMERDA0120,Back Slab Long - Above Elbow,,96092-00-00,services,250,
FMERDA0121,Back Slab Long - Above Knee,,96092-00-00,services,250,
FMERDA0122,Back Slab Removal,,47948-00-01,services,75,
FMERDA0123,Back Slab Short - Below Elbow,,50130-00-01,services,150,
FMERDA0124,Back Slab Short - Below Knee,,96092-00-00,services,150,
FMERDA0125,Cast Removal,,96094-00-00,services,125,
FMERDA0126,Complex Wound Sub-Speciality Suturing,,90676-00-00,services,700,
FMERDA0127,Dressing Change - Large (> 25 Cm),,30055-00-30,services,35,
FMERDA0128,Dressing Change - Medium (10 - 25 Cm),,30055-00-20,services,30,
FMERDA0129,Dressing Change - Small (< 10 Cm),,30055-00-10,services,25,
FMERDA0130,E.C.G. Rhythm Strep,,11700-00-00,services,150,
FMERDA0132,Emergency Transvenous Pacing,,83700-00-00,services,75,
FMERDA0133,Eyelid Laceration Suturing,,90085-00-01,services,3330,
FMERDA0134,Finger Neighbour Strapping,,90595-00-00,services,150,
FMERDA0135,Full Cast - Above Elbow,,50130-00-01,services,350,
FMERDA0136,Full Cast - Above Knee,,96092-00-00,services,1520,
FMERDA0137,Full Cast - Below Elbow,,50130-00-01,services,605,
FMERDA0138,Full Cast - Below Knee,,96092-00-00,services,726.7396106250001,
FMERDA0139,Full Cast Application,,50130-00-01,services,150,
FMERDA0140,Glue And Starry Streps,,83700-00-00,services,50,
FMERDA0141,Iv Fluids - Ongoing Infusion,,96199-19-00,services,93.5,
FMERDA0142,Iv Medication Infusion (Anti-Biotics),,96199-19-00,services,40,
FMERDA0143,Iv Services,,96199-19-00,services,40,
FMERDA0144,Iv Vaso-Active Medication Infusion,,96199-19-00,services,60,
FMERDA0145,Joint Immobilizer,,50130-00-01,services,1080,
FMERDA0146,Laryngeal Mask Intubation,,22007-00-00,services,298,
FMERDA0147,Needle Crycothyrotomy,,83700-00-00,services,350,
FMERDA0148,Open Crycothyrotomy,,83700-00-00,services,290,
FMERDA0149,Oxygen Service - Bipap,,83700-00-00,services,55,
FMERDA0150,Oxygen Service - Cpap,,92209-00-00,services,3618,
FMERDA0151,Oxygen Service - Nasal Cannula,,96191-00-00,services,65,
FMERDA0152,Oxygen Service - Face Mask,,96191-00-00,services,50,
FMERDA0153,Oxygen Service - Non Rebreather,,96191-00-00,services,60,
FMERDA0154,Removal Of Clips,,83700-00-00,services,70,
FMERDA0155,Starry Streps,,83700-00-00,services,55,
FMERDA0156,Superfecial Wound Stapling (Clips),,90676-00-00,services,55,
FMERDA0157,Superfecial Wound Suturing (>10 Stitches),,90676-00-00,services,45,
FMERDA0158,Wound Glue Application (Acrylate),,90676-00-00,services,190,
FMERDA0159,Wound Irrihation,,90676-00-00,services,75,
FMERDA0170,Code Green Activation,,83700-00-00,services,340,
FMERDA0172,CARDIAC MONITOR /HR,,92056-00-00,services,250,
FMERDA0640,DEEP CUT WOUND SMALL ( 3 - 5 STITCHES),,83700-00-00,services,110,
FMERDA200,LTC Home Visit - Nurse per day,,83620-00-00,services,20000,
FMERDA201,EMERGENCY ROOM FEES FOR OBSERVATION (1-3 HOURS),,83700-00-00,services,350,
FMERDA202,ADVANCED VENUS ULCER/ PER DRESSING,,30055-00-00,services,240,
FMERDA203,AIRWAY,,90179-02-00,services,94,
FMERDC0001,Ambulance W/ Or W/Out Nurse  (Return Jeddah),,83500-00-20,services,4268,
FMERDC0003,"Ambulance Service - Local Airport With Nurse Or Emt/ Paramedic, 20 - 40 Km (Round Trip)",,83520-00-00,services,1965,
FMERDC0004,"Ambulance Service - Local Airport With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 40 -",,83500-00-80,services,2599,
FMERDC0006,"Ambulance W/ Doctor G.P,Nurse",,83500-00-80,services,5967,
FMERDC0009,CRUTCHES RENTAL PER WEEK       (PLUS DEPOSIT),,83500-00-20,services,167,
FMERDC0011,WHEELCHAIR RENTAL-PER DAY      (DEPOSIT 500),,83500-00-20,services,131,
FMERDC0018,"Ambulance Service - With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 250 - 400 Km (Roun",,83520-00-10,services,4690,
FMERDC0020,"Ambulance Service - With Physician (Gp, Registrar) And Nurse Or Emt/ Paramedic, 400 - 800 Km (Singl",,83520-00-10,services,4715,
FMERDC0022,"Ambulance Service - With Nurse Or Emt/ Paramedic, 250 - 400 Km (Single Trip)",,83520-00-00,services,2915,
