SERVICE CODE,CATEGORY,SUB-CATEGORY,SERVICE DESCRIPTION,TCS /TOTAL CARE SAUDI
4112015,VACCINE,VACCINATION,DOBUTREX INJECTION,86
4112016,VACCINE,VACCINATION,DT PAEDIA,15
4112017,VACCINE,VACCINATION,EPREX 2000 IU,186
4112018,VACCINE,VACCINATION,HAVRIX ADULT,247
4112019,VACCINE,VACCINATION,HEPATECT (2ML) VACCINATION,680
4112020,VACCINE,VACCINATION,HEPATITIS VACCINATION,124
4112021,VACCINE,VACCINATION,HIBREX 10 MG VACCINE,162
4112022,VACCINE,VACCINATION,HUMULIN N INJECTION,105
4112023,VACCINE,VACCINATION,HUMULIN R INJECTION,105
4112024,VACCINE,VACCINATION,INFANRIX 0.5 ML SYRINGE,143
4112025,VACCINE,VACCINATION,INFANRIX HEXA VACCINE,371
4112026,VACCINE,VACCINATION,INFANRIX HIB VACCINE,186
4112027,VACCINE,VACCINATION,INFLUVAC - FLUARIX,48
4112028,VACCINE,VACCINATION,M.M.R. VACCINATION,133
4112029,VACCINE,VACCINATION,MEASLES VACCINATION,81
4112030,VACCINE,VACCINATION,MENACTRA INJECTION,352
4112031,VACCINE,VACCINATION,MOMMAN,570
4112032,VACCINE,VACCINATION,OKAVAX VIAL,357
4112033,VACCINE,VACCINATION,P.P.D.(VACCINE),38
4112034,VACCINE,VACCINATION,PANTOZOL INJECTION,138
4112035,VACCINE,VACCINATION,PARVOLEX INJECTION,124
4112036,VACCINE,VACCINATION,PEDIACEL VACCINE,238
4112037,VACCINE,VACCINATION,PNEUMO 23 VACCINE,105
4112038,VACCINE,VACCINATION,POLIO VACCINATION,53
4112039,VACCINE,VACCINATION,PREVENAR VACCINE,556
4112040,VACCINE,VACCINATION,RABIS VACCINE (ANTI-RABIS),190
4112041,VACCINE,VACCINATION,RHESUS FACTOR  VACCINATION,570
4112042,VACCINE,VACCINATION,ROTA VIRUS VACCINE,395
4112043,VACCINE,VACCINATION,RUDIVAX VACCINE,24
4112044,VACCINE,VACCINATION,SYNFLORIX VACCINE,285
4112045,VACCINE,VACCINATION,TETANUS TAXOID,24
4112046,VACCINE,VACCINATION,TETRACT HIB VACCINE,124
4112047,VACCINE,VACCINATION,TPN,927
4112048,VACCINE,VACCINATION,TRITANRIX HB + HIBERIX INJECTION,152
4112049,VACCINE,VACCINATION,TRITANRIX HB10 VACCINE VIAL,114
4112050,VACCINE,VACCINATION,TWINRIX ADULT VACCINE,186
4112051,VACCINE,VACCINATION,TYPHOID VACC.,86
4112052,VACCINE,VACCINATION,VACCINATION - MENINGITIS MENCEVAX,105
4112053,VACCINE,VACCINATION,VARILRIX VACCINE,271
4112054,VACCINE,VACCINATION,VARIVAX VIAL,333
4112055,VACCINE,VACCINATION,VAXIGRIP,38
5112001,SURGERY,SURGICAL SERVICES,OPERATION FINE MAJOR - DOCTOR FEES,4275
5112002,SURGERY,SURGICAL SERVICES,OPERATION MAJOR - DOCTOR FEES ,3800
5112003,SURGERY,SURGICAL SERVICES,OPERATION MEDIUM - DOCTOR FEES,3325
5112004,SURGERY,SURGICAL SERVICES,OPERATION MINOR - DOCTOR FEES,2375
5112005,SURGERY,SURGICAL SERVICES,OPERATION SIMPLE - DOCTOR FEES,1425
5112006,SURGERY,SURGICAL SERVICES,OPERATION ROOM CHARGES FINE MAJOR,713
5112007,SURGERY,SURGICAL SERVICES,OPERATION ROOM CHARGES MAJOR,570
5112008,SURGERY,SURGICAL SERVICES,OPERATION ROOM CHARGES MEDIUM,475
5112009,SURGERY,SURGICAL SERVICES,OPERATION ROOM CHARGES MINOR,380
5112010,SURGERY,SURGICAL SERVICES,OPERATION ROOM CHARGES SIMPLE,333
5112011,SURGERY,SURGICAL SERVICES,ANAESTHESIOLOGIST FEE FINE MAJOR OPERATION,713
5112012,SURGERY,SURGICAL SERVICES,ANAESTHESIOLOGIST FEE MAJOR OPERATION,570
5112013,SURGERY,SURGICAL SERVICES,ANAESTHESIOLOGIST FEE  MEDIUM OPERATION,475
5112014,SURGERY,SURGICAL SERVICES,ANAESTHESIOLOGIST FEE MINOR OPERATION,380
5112015,SURGERY,SURGICAL SERVICES,ANAESTHESIOLOGIST FEE SIMPLE OPERATION,333
5112016,SURGERY,SURGICAL SERVICES,DISPOSABLES OR FINE MAJOR,713
5112017,SURGERY,SURGICAL SERVICES,DISPOSABLES OR MAJOR,570
5112018,SURGERY,SURGICAL SERVICES,DISPOSABLES OR MEDIUM,475
5112019,SURGERY,SURGICAL SERVICES,DISPOSABLES OR MINOR,380
5112020,SURGERY,SURGICAL SERVICES,DISPOSABLES OR SIMPLE,333
5112021,SURGERY,SURGICAL SERVICES,ANAESTHESIA FINE MAJOR,713
5112022,SURGERY,SURGICAL SERVICES,ANAESTHESIA MAJOR,570
5112023,SURGERY,SURGICAL SERVICES,ANAESTHESIA MEDIUM,475
5112024,SURGERY,SURGICAL SERVICES,ANAESTHESIA MINOR,380
5112025,SURGERY,SURGICAL SERVICES,ANAESTHESIA SIMPLE,333
5112026,SURGERY,SURGICAL SERVICES,LOCAL ANAESTHESIA FEES - SMALL AREA,95
5112027,SURGERY,SURGICAL SERVICES,LOCAL ANAESTHESIA FEES - LARGE AREA,523
5112028,SURGERY,SURGICAL SERVICES,EPIDURAL INCLUDING ANAESTHESIOLOGIST FEE,1235
5112029,SURGERY,SURGICAL SERVICES,ANAESTHIA FEES - SPINAL,855
6112001,ORTHOPAEDIC ,ORTHO. SERVICES ,PLASTER JACKET - GIBSONA,1093
6112002,ORTHOPAEDIC ,ORTHO. SERVICES ,ABOVE KNEE POP - GIBSONA,523
6112003,ORTHOPAEDIC ,ORTHO. SERVICES ,BELOW KNEE POP - GIBSONA,523
6112004,ORTHOPAEDIC ,ORTHO. SERVICES ,BELOW ELBOW POP - GIBSONA,523
6112005,ORTHOPAEDIC ,ORTHO. SERVICES ,ABOVE ELBOW POP - GIBSONA,523
6112006,ORTHOPAEDIC ,ORTHO. SERVICES ,UNILATERAL HIP SPICA - GIBSONA,760
6112007,ORTHOPAEDIC ,ORTHO. SERVICES ,BILATERAL HIP SPICA - GIBSONA,1093
6112008,ORTHOPAEDIC ,ORTHO. SERVICES ,PLASTER SPICA - (ONE LEG/ARM),760
6112009,ORTHOPAEDIC ,ORTHO. SERVICES ,PLASTER CAST REMOVAL,86
6112010,ORTHOPAEDIC ,ORTHO. SERVICES ,REMOVAL OF K-WIRE,380
6112011,ORTHOPAEDIC ,ORTHO. SERVICES ,KNEE IMMOBILIZER,238
6112012,ORTHOPAEDIC ,ORTHO. SERVICES ,CERVICAL TRACTION,81
6112013,ORTHOPAEDIC ,ORTHO. SERVICES ,SKIN TRACTION,428
6112014,ORTHOPAEDIC ,ORTHO. SERVICES ,HALTER TRACTION,428
6112015,ORTHOPAEDIC ,ORTHO. SERVICES ,MEASUREMENT OF COMPARTMENTAL PRESSURE,1425
6112016,ORTHOPAEDIC ,ORTHO. SERVICES ,ASPIRATION FROM JOINTS,167
6112017,ORTHOPAEDIC ,ORTHO. SERVICES ,INJECTION INTO JOINTS,119
6112018,ORTHOPAEDIC ,ORTHO. SERVICES ,MANIPULATION OF TALIPES EQUINO VARUS WITHOUT POP,618
6112019,ORTHOPAEDIC ,ORTHO. SERVICES ,MANIPULATION OF TALIPES EQUINO VARUS WITH POP,855
6112020,ORTHOPAEDIC ,ORTHO. SERVICES ,JOINT INFILTRATION ,570
6112021,ORTHOPAEDIC ,ORTHO. SERVICES ,NEURAL NERVE BLOCK FOR PAIN MANAGEMENT ,1140
6113001,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CERVICAL COLLAR,190
6113002,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CHILD OSTEOTOMY DCP,950
6113003,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,WALKING HEEL,53
6113004,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CORSET BELT,428
6113005,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,ABDOMINAL BINDER,190
6113006,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,WALKING CANE,81
6113007,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,EPIDURAL SET,81
6113008,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,ANKLET,81
6113009,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,KNEE BRACE,81
6113010,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,SKIN TRACTION KIT,190
6113011,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,DYNAMIC HIP SCREWS (DHS) EACH,665
6113012,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,DYNAMIC HIP SCREW & PLATE,4275
6113013,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,DYNAMIC SCR PT W/DEP HOLES EACH,1330
6113014,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,DYNAMIC COMPRESSION PLATE FROM 4 HOLES TO 12 HOLES,428
6113015,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,TOTAL HIP REPLACEMENT (CERAMIC JOINT) ,9500
6113016,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,TOTAL HIP SCREW REPLACEMENT (CERAMIC JOINT),1045
6113017,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,BROAD DYNAMIC COMP. PLATE 6 HOLES EACH,380
6113018,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,BROAD DYNAMIC COMP PLATE 7 HOLES EACH,523
6113019,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,BROAD DYNAMIC COMP PLATE 8 HOLES EACH,523
6113020,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,BROAD DYNAMIC COMP PLATE 9 HOLES EACH,523
6113021,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,BROAD DYNAMIC COMP PLATE 12 HOLES EACH,523
6113022,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,BROAD DYNAMIC COMP PLATE 14 HOLES EACH,523
6113023,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,SPOON PLATE 6 HOLES EACH,618
6113024,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CANCELLEUS BONE SCREWS,119
6113025,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CORTEX BONE SCREWS,119
6113026,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,MALLEABLE BONE SCREWS,119
6113027,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,T-PLATES W/SHAFT FROM 4 HOLES TO 8 HOLES EACH,713
6113028,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,T-BUTTRESS PLATE FROM 4 HOLES TO 6 HOLES EACH,713
6113029,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,TUBULAR PLATE FROM 2 HOLES TO 8 HOLES EACH,143
6113030,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CONDYLER PLATE FROM 5 HOLES TO 12 HOLES EACH,855
6113031,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CONDYLER BUTRESS PLATES,1615
6113032,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,SEMI-TUBULAR PLATE FROM 4 HOLES TO 7 HOLES,143
6113033,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,KIRCHNAR/W W/TROCAR FROM I.D TO 3.D EACH,57
6113034,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,WIRE COIL SOFT,238
6113035,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,WASHER 7MM CANCELLEUS BONE SCREWS,29
6113036,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,DRILL BIT FROM 2.0MM TO 3.5 DIAMETER,57
6113037,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,CORTICAL TAP 3.5/1025 MM DIAMETER,176
6113038,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,REDIVAC DRAIN,176
6113039,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,TOE SPLINT,67
6113040,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,MAJOR ARM SPLINT,171
6113041,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,MAJOR LEG SPLINT,171
6113042,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,METALLIC SPLINT,171
6113043,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,STOCKING,76
6113044,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,ROBERT JONES BANDAGE,285
6113045,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,ZIMMER FRAME(ALUMINIUM),380
6113046,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,COLLAR & CUFF,72
6113047,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,INTERLOCKING TIBIAL SET,3325
6113048,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,INTERLOCKING FEMORAL SET,3325
6113049,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,SCHANZ SCREW,176
6113050,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,MALLEOLAR SCREW,238
6113051,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,PARTIAL HIP - THOMSON  HIP PROTHESIS,2613
6113052,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,PENNING MINI EXTERNAL FIXATOR,4038
6113053,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,AO LARGE EXTERNAL FIXATOR,4038
6113054,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,HOFFMAN EXTERNAL FIXATOR,4038
6113055,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,SMALL EXTERNAL FIXATOR,4038
6113056,ORTHOPAEDIC ,ORTHO. CONSUMABLES & IMPLANTS,TITANIUM ELASTIC NAIL,950
6121001,DENTAL,DIAGNOSTIC EXAM,INITIAL ORAL CONSULTATION,143
6121002,DENTAL,DIAGNOSTIC EXAM,FREE FOLLOW UP (DENTAL),0
6121003,DENTAL,DIAGNOSTIC EXAM,PERIODIC EXAMINATION,53
6121004,DENTAL,DIAGNOSTIC EXAM,"INTRAORAL PERIAPICAL - SINGLE, FIRST FILM",62
6121005,DENTAL,DIAGNOSTIC EXAM,X-RAY PANORAMIC,323
6121006,DENTAL,DIAGNOSTIC EXAM,INTRAORAL COMPLETE SERIES (INCLUDING BITEWINGS),309
6121007,DENTAL,DIAGNOSTIC EXAM,INTRAORAL - OCCLUSAL FILM,105
6121008,DENTAL,DIAGNOSTIC EXAM,BIOPSY PUNCH/ASPIRATION,81
6121009,DENTAL,DIAGNOSTIC EXAM,JUMPERS,148
6121010,DENTAL,DIAGNOSTIC EXAM,EMERGENCY ORAL CONSULTATION,247
6121011,DENTAL,DIAGNOSTIC EXAM,BITEWINGS - TWO  FILMS,129
6121012,DENTAL,DIAGNOSTIC EXAM,BITEWINGS - FOUR FILMS,238
6121013,DENTAL,DIAGNOSTIC EXAM,PULP VITALITY TEST,62
6121014,DENTAL,DIAGNOSTIC EXAM,DIAGNOSTIC CASTS ,423
6121015,DENTAL,DIAGNOSTIC EXAM,SPACE MAINTAINERS - FIXED OR REMOVABLE,1045
6121016,DENTAL,DIAGNOSTIC EXAM,SPACE MAINTAINERS - REMOVABLE BILATERAL ,642
6121017,DENTAL,DIAGNOSTIC EXAM,RECEMEMNTATION OF SPACE MAINTAINERS,162
6121018,DENTAL,DIAGNOSTIC EXAM,3D HEAD CBCT IMAGING,1520
6121019,DENTAL,DIAGNOSTIC EXAM,3D CBCT IMPLANT STUDY FOR   (1) IMPLANT ,1710
6121020,DENTAL,DIAGNOSTIC EXAM,3D CBCT IMPLANT STUDY FOR  (2-3) IMPLANTS ,1900
6121021,DENTAL,DIAGNOSTIC EXAM,3D CBCT IMPLANT STUDY FOR   (4-8) IMPLANTS ,2233
6121022,DENTAL,DIAGNOSTIC EXAM,3D CBCT IMPLANT STUDY FOR   (8-12) IMPLANTS ,2850
6121023,DENTAL,DIAGNOSTIC EXAM,3D AIR WAY CBCT IMAGING ,1140
6121024,DENTAL,DIAGNOSTIC EXAM,3D PARA NASAL SINUSES CBCT ,1140
6121025,DENTAL,DIAGNOSTIC EXAM,3D TMJ CBCT IMAGING ,1140
6121026,DENTAL,DIAGNOSTIC EXAM,3D TEMPORAL BONE CBCT IMAGING ,1140
6121027,DENTAL,DIAGNOSTIC EXAM,IMPLANT SURGICAL GUIDE FOR   (1) IMPLANT ,190
6121028,DENTAL,DIAGNOSTIC EXAM,IMPLANT SURGICAL GUIDE FOR   (2-3) IMPLANTS ,380
6121029,DENTAL,DIAGNOSTIC EXAM,IMPLANT SURGICAL GUIDE FOR   (4-8) IMPLANTS ,713
6121030,DENTAL,DIAGNOSTIC EXAM,IMPLANT SURGICAL GUIDE FOR   (9-12) IMPLANTS ,1140
6121031,DENTAL,DIAGNOSTIC EXAM,3D CEPHALOMETRIC CBCT IMAGING ,713
6121032,DENTAL,DIAGNOSTIC EXAM,3D PANORAMIC CBCT IMAGING ,475
6122001,DENTAL,SURGICAL PROCEDURES,ALVEOLECTOMY (PER QUADRANT),808
6122002,DENTAL,SURGICAL PROCEDURES,BIOPSY OF EXTRA ORAL TISSUES,808
6122003,DENTAL,SURGICAL PROCEDURES,BIOPSY OF ORAL TISSUE (HARD),808
6122004,DENTAL,SURGICAL PROCEDURES,BIOPSY OF ORAL TISSUE (SOFT),475
6122005,DENTAL,SURGICAL PROCEDURES,CLOSURE OROANTRAL FISTULA UNDER LOCAL ANAESTHESIA (MINOR),3325
6122006,DENTAL,SURGICAL PROCEDURES,CYST OPERATION,1045
6122007,DENTAL,SURGICAL PROCEDURES,EPULIS EXCISION,903
6122008,DENTAL,SURGICAL PROCEDURES,EXCISION OF BENGIN TUMOUR - LESION DIAMETER OVER 1 CM,1235
6122009,DENTAL,SURGICAL PROCEDURES,EXCISION OF BENGIN TUMOUR - LESION DIAMETER UPTO 1CM,475
6122010,DENTAL,SURGICAL PROCEDURES,EXCISION OF HYPERPLASTIC TISSUE (PER ARCH),2375
6122011,DENTAL,SURGICAL PROCEDURES,EXCISION OF MINOR SALIVRY GLAND SWELLING,475
6122012,DENTAL,SURGICAL PROCEDURES,EXCISION OF SUBMANDIBULAR SALIVARY GLAND - OR,6650
6122013,DENTAL,SURGICAL PROCEDURES,EXTRACTION OF A TOOTH FRAGMENT/SMALL RETAINED TOOTH,162
6122014,DENTAL,SURGICAL PROCEDURES,FOREIGN BODY REMOVAL OF MANDIBLE L.A.,2185
6122015,DENTAL,SURGICAL PROCEDURES,FRAENECTOMY,1615
6122016,DENTAL,SURGICAL PROCEDURES,GINGIVECTOMY AND TREATMENT (FEWER THAN 5 TEETH),475
6122017,DENTAL,SURGICAL PROCEDURES,GINGIVECTOMY OR GINGIOPLASTY - PER QUADRANT,570
6122018,DENTAL,SURGICAL PROCEDURES,INCISION AND DRAINAGE UNDER LA (COMPLICATED),2375
6122019,DENTAL,SURGICAL PROCEDURES,INCISION AND DRAINAGE UNDER LA (MINOR),1140
6122020,DENTAL,SURGICAL PROCEDURES,LOCAL ANAESTHESIA INJECTION,48
6122021,DENTAL,SURGICAL PROCEDURES,LOCAL ANAESTHESIA SPRAY,24
6122022,DENTAL,SURGICAL PROCEDURES,MANIPULATION OF FRACTURED NASAL BONES - OR,4750
6122023,DENTAL,SURGICAL PROCEDURES,MEMBRANE / BONE GRAFTS - PER TOOTH,1995
6122024,DENTAL,SURGICAL PROCEDURES,OTHER UNDEFINED SURGICAL PROCEDURES PER 15 MINUTES,162
6122025,DENTAL,SURGICAL PROCEDURES,PERICORONAL FLAP REMOVAL - COMPLEX,328
6122026,DENTAL,SURGICAL PROCEDURES,PERICORONAL FLAP REMOVAL - SIMPLE,162
6122027,DENTAL,SURGICAL PROCEDURES,PERIODONTAL ROOT PLANNING (ENTIRE MOUTH),3230
6122028,DENTAL,SURGICAL PROCEDURES,PERIODONTAL ROOT PLANNING (LESS THAN 6 TEETH),808
6122029,DENTAL,SURGICAL PROCEDURES,POST EXTRACTION COMPLICATION:DRESSING (OPD),81
6122030,DENTAL,SURGICAL PROCEDURES,POST SURGICAL EXTRACTION:DRSYSPICULES REMOVAL,48
6122031,DENTAL,SURGICAL PROCEDURES,REDUCTION OF SIMPLE ALVEOLAR FRACTURE - OR,2470
6122032,DENTAL,SURGICAL PROCEDURES,REIMPLANTATION OF MULTI-ROOTED TOOTH,1615
6122033,DENTAL,SURGICAL PROCEDURES,REIMPLANTATION OF SINGLE ROOTED TOOTH,1045
6122034,DENTAL,SURGICAL PROCEDURES,RELEASE OF TOUNGE TIE,1615
6122035,DENTAL,SURGICAL PROCEDURES,REMOVAL OF LORUS PALATINUS OR MANDIBULARIS,1615
6122036,DENTAL,SURGICAL PROCEDURES,REMOVAL OF SALIVARY GLAND STONE (INTRA-ORAL),1615
6122037,DENTAL,SURGICAL PROCEDURES,REMOVAL OF TEETH (COMPLETELY BONY) + L.A.,1045
6122038,DENTAL,SURGICAL PROCEDURES,REMOVAL OF TEETH (PARTIALLY BONY) + L.A.,523
6122039,DENTAL,SURGICAL PROCEDURES,REMOVAL OF TEETH (SOFT TISSUE) + LA,404
6122040,DENTAL,SURGICAL PROCEDURES,RIDGE EXTENSION (AUGMENTATION PER ARCH),3230
6122041,DENTAL,SURGICAL PROCEDURES,SIMPLE EXTRACTION INCLUDING L.A.,162
6122042,DENTAL,SURGICAL PROCEDURES,STEROID INJECTION IN T.M.J. (EXCLUDING L.A.),81
6122043,DENTAL,SURGICAL PROCEDURES,SURGICAL EXPOSURE OF IMPACTED OR UNERRUPTED TOOTH,1615
6122044,DENTAL,SURGICAL PROCEDURES,SURGICAL EXTRACTION - COMPLEX  (BONE REMOVAL),642
6122045,DENTAL,SURGICAL PROCEDURES,SURGICAL EXTRACTION - SIMPLE,475
6122046,DENTAL,SURGICAL PROCEDURES,SURGICAL REMOVAL OF SUPRENUMERARY TOOTH,2375
6122047,DENTAL,SURGICAL PROCEDURES,SUTURING - LARGE AREA,162
6122048,DENTAL,SURGICAL PROCEDURES,SUTURING - SMALL AREA (2-3 SUTURES),81
6122049,DENTAL,SURGICAL PROCEDURES,SUTURING OF FACIAL / EXTRA ORAL LACERATIONS (UPTO 10 SUTURES),713
6122050,DENTAL,SURGICAL PROCEDURES,SUTURING OF FACIAL EXTRA / ORAL LACERATIONS (MORE THAN 10 SUTURES),1330
6122051,DENTAL,SURGICAL PROCEDURES,SUTURING OF INTRA-ORAL LACERATIONS (MORE THAN 5 SUTURES),808
6122052,DENTAL,SURGICAL PROCEDURES,SUTURING OF INTRA-ORAL LACERATIONS (UPTO 5 SUTURES),404
6122053,DENTAL,SURGICAL PROCEDURES,TOOTH EXTRACTION ADDITIONAL EACH + L.A..,143
6122054,DENTAL,SURGICAL PROCEDURES,VESTIBULOPLASTY/SULCUS DEEPENING (PER JAW),4750
6122055,DENTAL,SURGICAL PROCEDURES,WIRING FRACTURED JAW - COMPLEX,5700
6122056,DENTAL,SURGICAL PROCEDURES,WIRING FRACTURED JAW - SIMPLE,1235
6124001,DENTAL,AMALGAM RESTORATION,TEMPORARY FILLING,81
6124002,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - ONE SURFACE, PERMANENT",238
6124003,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - ONE SURFACE, DECIDUOUS",162
6124004,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - TWO SURFACES, PERMANENT",323
6124005,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - TWO SURFACES, DECIDUOUS",238
6124006,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - THREE SURFACES, PERMANENT",404
6124007,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - THREE SURFACES, DECIDUOUS",323
6124008,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - FOUR SURFACES, PERMANENT",475
6124009,DENTAL,AMALGAM RESTORATION,"AMALGAM FILLING - FOUR SURFACES, DECIDUOUS",404
6124010,DENTAL,AMALGAM RESTORATION,"GOLD INLAY-GOLD(ONE SURFACE, EXCLUDING PRICE OF GOLD)",1615
6124011,DENTAL,AMALGAM RESTORATION,"GOLD INLAY-GOLD(TWO SURFACES,EXCLUDING PRICE OF GOLD)",1758
6124012,DENTAL,AMALGAM RESTORATION,"GOLD INLAY-GOLD(THREE SURFACES,EXCLUDING PRICE OF GOLD) ",1900
6124013,DENTAL,AMALGAM RESTORATION,"GOLD INLAY-GOLD(FOUR SURFACES,EXCLUDING PRICE OF GOLD)",2470
6124014,DENTAL,AMALGAM RESTORATION,REINFORCED COMPOSITE FILLING/BUILD-UP,323
6124015,DENTAL,AMALGAM RESTORATION,LIGHT CURED LABIAL COATING (PRISMA LITE),323
6124016,DENTAL,AMALGAM RESTORATION,CORE BUILDUP (INCLUDING PINS),428
6124017,DENTAL,AMALGAM RESTORATION,COMPOSITE RESIN (ONE SURFACE),323
6124018,DENTAL,AMALGAM RESTORATION,CEMENT FILLING,81
6124019,DENTAL,AMALGAM RESTORATION,DENTIN DESENSITISER APPLICATION - PER QUADRANT/VISIT,48
6124020,DENTAL,AMALGAM RESTORATION,DEVITALIZING DRESSING,129
6124021,DENTAL,AMALGAM RESTORATION,PIN RETAINED AMALGAM - EXCLUSIVE OF AMALGAM (PER PIN),162
6124022,DENTAL,AMALGAM RESTORATION,GLASS INOMER RESTORATIONS,323
6124023,DENTAL,AMALGAM RESTORATION,COMPOSITE RESIN (TWO SURFACES),404
6124024,DENTAL,AMALGAM RESTORATION,COMPOSITE RESIN (THREE SURFACES),475
6124025,DENTAL,AMALGAM RESTORATION,PIN RETENTION - EXLCUSIVE OF COMPOSITE RESIN (PER PIN),162
6124026,DENTAL,AMALGAM RESTORATION,COMPOSITE RESIN (INVOLVING INCISAL EDGE),642
6124027,DENTAL,AMALGAM RESTORATION,PULP CAPPING (EXCLUDING FINAL RESTORATIONS),162
6124028,DENTAL,AMALGAM RESTORATION,RECEMENTATION OF INLAYS (PER INLAY),162
6124029,DENTAL,AMALGAM RESTORATION,RECEMENTATION OF BRIDGE,238
6125001,DENTAL,ENDODONTICS,EMERGENCY DRAINING THROUGH TOOTH/DEVITALIZING,129
6125002,DENTAL,ENDODONTICS,ROOT THERAPY FOLLOW-UP,81
6125003,DENTAL,ENDODONTICS,ROOT CANAL - ANTERIOR TOOTH (INCISOR/CANINE),475
6125004,DENTAL,ENDODONTICS,ROOT CANAL - BICUSPID TOOTH (PREMOLAR),642
6125005,DENTAL,ENDODONTICS,ROOT CANAL - POSTERIOR TOOTH (MOLAR),808
6125006,DENTAL,ENDODONTICS,ROOT THERAPY SARGENT/ONE SITTING PROCEDURE,357
6125007,DENTAL,ENDODONTICS,PULPOTOMY (EXCLUDING FINAL RESTORATIONS),238
6125008,DENTAL,ENDODONTICS,OTHER UNDEFINED ENDO PROCEDURES (PER 15 MINUTES),81
6125009,DENTAL,ENDODONTICS,BLEACHING ENDO TREATED TOOTH,214
6125010,DENTAL,ENDODONTICS,ROOT CANAL - ONE (W/O L.A. & X-RAY),214
