code,description,type
38837,"Photometer, absorbance/transmission, manual",medical-devices
38839,Gypsum mixer,medical-devices
38868,Drug-testing specimen collection kit IVD,medical-devices
38869,Patient lifting system hammock sling,medical-devices
38884,Radiation shielding goggles/spectacles,medical-devices
39335,"Aerosol tent, paediatric",medical-devices
39404,"Radiopaque non-woven surgical sponge, sterile",medical-devices
39609,"Lecithin-cholesterol acyltransferase (LCAT) IVD, kit, fluorescent immunoassay",medical-devices
39610,General-purpose surgical spatula,medical-devices
39640,"Cholesteryl ester transfer protein (CETP) IVD, kit, enzyme immunoassay (EIA)",medical-devices
40735,Accelerator system gantry,medical-devices
40736,Teletherapy radionuclide system gantry,medical-devices
40737,Hyperthermia system gantry,medical-devices
40738,Radioisotope calibration system,medical-devices
40740,Medical-imaging cine projector,medical-devices
40743,Nuclear medicine system synchronizer,medical-devices
40744,Radiation prep-pad warmer,medical-devices
40745,X-ray system synchronizer,medical-devices
40747,"Wheelchair, electric-motor-driven, attendant-controlled, manual-steering, collapsible",medical-devices
41011,Darkroom automated x-ray film processor,medical-devices
41012,Daylight automated x-ray film processor,medical-devices
41013,X-ray film processor loader,medical-devices
41014,"Cine film processor, automatic",medical-devices
41016,Assistive chopsticks,medical-devices
41017,"Polymer orthopaedic cement restrictor, non-bioabsorbable, non-sterile",medical-devices
41018,Orthopaedic CAD/CAM system,medical-devices
41023,Skin-tumour low-voltage therapeutic x-ray system,medical-devices
41026,Sacroiliac spine orthosis,medical-devices
41029,"Lumbosacral spine orthosis, hernia/ptosis support",medical-devices
41030,"Lumbosacral spine orthosis, pendulous abdomen support",medical-devices
41031,"Thoracolumbosacral spine orthosis, flexible",medical-devices
41032,"Cervicothoracolumbosacral spine orthosis, rigid",medical-devices
41034,"Cervicothoracolumbosacral spine orthosis, Milwaukee",medical-devices
38431,"Anorectal brachytherapy system applicator, remote-afterloading",medical-devices
38432,"Intravascular brachytherapy system applicator, manual",medical-devices
38433,"Intravascular brachytherapy system applicator, remote-afterloading",medical-devices
38434,"Eye brachytherapy system applicator, manual",medical-devices
38435,"General-purpose brachytherapy system applicator, manual",medical-devices
38436,"General-purpose brachytherapy system applicator, remote-afterloading",medical-devices
38437,Brachytherapy system remote afterloading source transfer tube,medical-devices
38438,Brachytherapy system remote afterloading source safe,medical-devices
38440,Paranasal sinus trephine,medical-devices
38443,Electromyography telemetric monitoring system transmitter,medical-devices
39659,"Ophthalmic stand, electric",medical-devices
39662,"Euthyscope, battery-powered",medical-devices
39694,Non-corrective tinted spectacles,medical-devices
39702,Coated shoulder humeral stem prosthesis,medical-devices
39704,Coated ankle tibia prosthesis,medical-devices
39765,"Superoxide dismutase (SOD) IVD, control",medical-devices
39987,"Nasal depth gauge, reusable",medical-devices
40086,"Operating table pad, single-use",medical-devices
40087,"Adrenomedullin (ADM) IVD, reagent",medical-devices
40099,Continent-ileostomy rectal catheter,medical-devices
40124,Hinged total elbow prosthesis,medical-devices
40125,Revision coated femoral stem prosthesis,medical-devices
40749,"MRI system coil, radio-frequency",medical-devices
40750,"MRI system coil, gradient",medical-devices
40751,"MRI system coil, shim",medical-devices
40761,General-purpose ultrasound imaging system,medical-devices
40762,Obstetrical/gynaecological ultrasound imaging system,medical-devices
40763,Cardiovascular ultrasound imaging system,medical-devices
40764,Breast ultrasound imaging system,medical-devices
40767,"Extracorporeal ultrasound imaging transducer, mounted",medical-devices
40768,"Extracorporeal ultrasound imaging transducer, hand-held",medical-devices
41035,"Cervicothoracolumbosacral spine orthosis, initial",medical-devices
41038,Orthotic helmet,medical-devices
41039,"Cervical spine collar, reusable",medical-devices
41040,Occupational/commercial subject assistive training device,medical-devices
41041,Cervical spine immobilization frame,medical-devices
41042,Thoracic spine orthosis,medical-devices
41043,Wrist/hand dorsiflexion orthosis,medical-devices
41044,Wrist/hand/finger stable-position orthosis,medical-devices
41045,"Wrist/hand/finger flexion orthosis, manual",medical-devices
41047,"Wrist/hand/finger flexion orthosis, pneumatic",medical-devices
41048,Collar and cuff arm sling material,medical-devices
41049,Nephrology information system application software,medical-devices
41051,Bath board,medical-devices
41052,Non-wearable urine/faecal collection bag holder,medical-devices
38447,"General examination/treatment chair, electric",medical-devices
38448,"General examination/treatment chair, manual",medical-devices
38449,Laser printer,medical-devices
38450,Ink printer,medical-devices
38451,Plotter,medical-devices
38452,Desktop computer,medical-devices
38453,Portable computer,medical-devices
38456,"Laparoscopic multi-instrument access port, single-use",medical-devices
38458,"Examination/treatment table, manual",medical-devices
38459,Antimicrobial bed sheet,medical-devices
38460,"Endoscope leak tester, mechanical",medical-devices
38465,Anaesthesia/respiratory training model,medical-devices
40126,Metacarpal prosthesis,medical-devices
40168,Breast transilluminator,medical-devices
40238,"Laser lens, ophthalmic, surgical",medical-devices
40277,"Gamma-seminoprotein IVD, calibrator",medical-devices
40352,"Subtalar implant, non-bioabsorbable, sterile",medical-devices
40371,"Adrenomedullin (ADM) IVD, kit, enzyme immunoassay (EIA)",medical-devices
40420,"Superoxide dismutase (SOD) IVD, calibrator",medical-devices
40453,"Surgical apron, reusable",medical-devices
40459,"HIV1 immunoglobulin G (IgG) avidity IVD, control",medical-devices
40460,"HIV1 immunoglobulin G (IgG) avidity IVD, calibrator",medical-devices
40462,"HIV1 antigen neutralization IVD, control",medical-devices
40463,"HIV1 antigen neutralization IVD, calibrator",medical-devices
40468,Orthodontic face bow,medical-devices
40472,"Entamoeba histolytica immunoglobulin G (IgG) antibody IVD, control",medical-devices
40473,"Entamoeba histolytica total antibody IVD, calibrator",medical-devices
40478,Distillation water purification system,medical-devices
40770,Surgical ultrasound imaging transducer,medical-devices
40771,Rectal/vaginal ultrasound imaging transducer,medical-devices
40774,Physical therapy ultrasound system applicator,medical-devices
40775,Extracorporeal lithotripsy system ultrasound transducer,medical-devices
40776,"Ultrasonic lithotripsy system transducer, reusable",medical-devices
40777,"Ultrasound hyperthermia system transducer, extracorporeal",medical-devices
40778,"Ultrasound hyperthermia system transducer, intracorporeal, reusable",medical-devices
40779,Bone absorptiometric ultrasound system,medical-devices
40781,Ultrasonic hyperthermia system,medical-devices
41053,Elbow orthosis,medical-devices
41057,Lumbar cushion,medical-devices
41058,Multifunction body cushion,medical-devices
41062,"External defibrillator electrode, adult, reusable",medical-devices
41065,Knee orthosis,medical-devices
41067,Orthodontic chin cap,medical-devices
41069,Bath back rest/seat,medical-devices
41070,Knee/ankle/foot orthosis,medical-devices
41072,Parapodium walking frame,medical-devices
41073,Parapodium standing frame,medical-devices
41074,Swivel-walker,medical-devices
41075,"Sulfidoleukotriene IVD, calibrator",medical-devices
41078,Passive hand prosthesis,medical-devices
38468,"Intravenous pressure infusor, automated",medical-devices
38469,Hot therapy pack heating unit,medical-devices
38470,Centralized patient monitor,medical-devices
38473,Patient health record information system,medical-devices
38474,Analgesic implantable peripheral nerve electrical stimulation system,medical-devices
38477,"Breast pump, manual",medical-devices
38478,"Breast pump, electric",medical-devices
38479,Cardiotocography telemetric monitoring system,medical-devices
38480,Cardiotocography telemetric monitoring system receiver,medical-devices
38481,Cardiotocography telemetric monitoring system transmitter,medical-devices
38486,Electromagnetic field meter,medical-devices
40480,Bed washer,medical-devices
40483,Operating table washer,medical-devices
40484,Medical air low pressure tubing,medical-devices
40485,"Circulating-fluid thermal therapy system pack, single-use",medical-devices
40494,"Medical/surgical procedure scale, electronic",medical-devices
40501,"Bib, infant/child",medical-devices
40502,"Proctoscope, single-use",medical-devices
40503,"Bib/apron, adult, single-use",medical-devices
40504,"Hand-held urinal, male, reusable",medical-devices
40506,Laundry bag rack/stand,medical-devices
40510,"Remote radiation handling tool, manual",medical-devices
40511,"Hygiene apron, single-use",medical-devices
37455,"Waterproof bed mattress cover, reusable",medical-devices
37456,"Pillow cover, single-use",medical-devices
37458,"Scalp haemostasis clip, single-use",medical-devices
37459,"Nose clip, reusable",medical-devices
37461,"Needle recapping device, reusable",medical-devices
37462,"Body aspiration needle, reusable",medical-devices
37463,"Exploratory blunt needle, reusable",medical-devices
37468,"Vaginal speculum, single-use",medical-devices
37469,"Artificial airway stylet, single-use",medical-devices
37470,"Padded stays splint, reusable",medical-devices
37471,"Cervical cytology scraper, reusable",medical-devices
37472,"Dermatome blade, reusable",medical-devices
37473,"Dermatome, pneumatic",medical-devices
37474,"Cosmetic micro-needling roller, reusable",medical-devices
37694,Nitrogen terminal unit,medical-devices
37696,Cerebral perfusion catheter,medical-devices
37697,Exothermic heat therapy pack/patch,medical-devices
37699,"Skin clip, reusable",medical-devices
37704,"Anaesthesia breathing circuit, single-use",medical-devices
37705,"Ventilator breathing circuit, reusable",medical-devices
37706,"Ventilator breathing circuit, single-use",medical-devices
37708,Remotely-driven surgical/dental system drive cable,medical-devices
37709,"Breathing circuit bag, reusable",medical-devices
37710,"Anaesthesia workstation, general-purpose",medical-devices
38260,"Surgical cap, reusable",medical-devices
38261,"Free triiodothyronine (FT3) IVD, calibrator",medical-devices
38262,"Total human chorionic gonadotropin (HCG) IVD, control",medical-devices
38263,"Total human chorionic gonadotropin (HCG) IVD, calibrator",medical-devices
38265,"Human chorionic gonadotropin beta-subunit (beta-HCG) IVD, control",medical-devices
38266,"Human chorionic gonadotropin beta-subunit (beta-HCG) IVD, calibrator",medical-devices
38267,"Stand-on floor scale, mechanical",medical-devices
38268,"Human placental lactogen (HPL) IVD, control",medical-devices
38269,"Human placental lactogen (HPL) IVD, calibrator",medical-devices
38270,"Luteinizing hormone (LH) IVD, calibrator",medical-devices
38271,"Thyroid stimulating hormone (TSH) IVD, control",medical-devices
38272,"Thyroid stimulating hormone (TSH) IVD, calibrator",medical-devices
38273,"Thyroxine binding globulin (TBG) IVD, control",medical-devices
38274,"Thyroxine binding globulin (TBG) IVD, calibrator",medical-devices
38280,"Multiple Chlamydia species antigen IVD, control",medical-devices
38281,"Multiple Chlamydia species immunoglobulin A (IgA) antibody IVD, control",medical-devices
38282,"Multiple Chlamydia species immunoglobulin M (IgM) antibody IVD, control",medical-devices
38283,"Multiple Chlamydia species immunoglobulin G (IgG) antibody IVD, control",medical-devices
36951,Flexible ultrasound gastroduodenoscope,medical-devices
36953,Full-body radiant heating system control unit,medical-devices
36954,Circulating-air whole-body heating system control unit,medical-devices
36955,Electric pad whole-body heating system control unit,medical-devices
36956,Circulating-fluid whole-body heating/cooling system control unit,medical-devices
36961,Water jet knife system generator,medical-devices
36963,Rigid ultrasound laparoscope,medical-devices
36964,Urodynamic ambulatory recorder,medical-devices
36965,Gastric pH ambulatory recorder,medical-devices
36966,Blood-processing autotransfusion system container,medical-devices
36968,Contrast medium injection system control unit,medical-devices
37475,Pneumatic chest percussor,medical-devices
37476,"Anaesthesia mask stabilizer, reusable",medical-devices
37480,General-purpose patient lifting system sling/harness,medical-devices
37482,Pleural catheter,medical-devices
37483,Electrosurgical tip cleaning pad,medical-devices
37485,Hair-removal electrolysis system tweezers electrode,medical-devices
37495,Microwave sterilizer,medical-devices
37498,Respiratory oxygen therapy system,medical-devices
37501,Surgical air cylinder,medical-devices
37502,Ostomy bag closure device,medical-devices
37713,"Surgical/medical face mask, reusable",medical-devices
37716,"Colostomy irrigation kit, single-use",medical-devices
37717,"Urinary tract-access lubricant, non-medicated, non-sterile",medical-devices
37720,"Haemopexin IVD, control",medical-devices
37721,"Albumin IVD, control",medical-devices
37733,"Treponema pallidum total antibody IVD, control",medical-devices
37743,"Tape measure, reusable",medical-devices
37744,Wheelchair bracket,medical-devices
37749,Wheelchair electronic hardware support,medical-devices
37762,"Total immunoglobulin/gamma globulin IVD, control",medical-devices
37763,"Total immunoglobulin E (IgE total) IVD, control",medical-devices
37776,Ultrasonic suction system,medical-devices
37782,"Vacuum suction regulator/regulation set, thoracic",medical-devices
37784,"Laboratory scale, mechanical",medical-devices
38284,"Multiple Chlamydia species total antibody IVD, control",medical-devices
38286,"Multiple Chlamydia species total antibody IVD, calibrator",medical-devices
38287,"Multiple Chlamydia species antigen IVD, calibrator",medical-devices
38288,"Multiple Chlamydia species immunoglobulin A (IgA) antibody IVD, calibrator",medical-devices
38289,"Multiple Chlamydia species immunoglobulin G (IgG) antibody IVD, calibrator",medical-devices
38290,"Multiple Chlamydia species immunoglobulin M (IgM) antibody IVD, calibrator",medical-devices
38294,"Cytomegalovirus (CMV) immunoglobulin M (IgM) antibody IVD, control",medical-devices
38297,"Teletherapy radionuclide system, conventional",medical-devices
38298,Stereotactic radiosurgical system,medical-devices
38299,Manual brachytherapy system,medical-devices
38300,Remote-afterloading brachytherapy system,medical-devices
38302,Remote-afterloading brachytherapy source,medical-devices
36970,Noninvasive vascular ultrasound system probe,medical-devices
36979,Desflurane anaesthesia vaporizer,medical-devices
36980,Sevoflurane anaesthesia vaporizer,medical-devices
36982,Ophthalmic ultrasound imaging transducer,medical-devices
36984,Methoxyflurane anaesthesia vaporizer,medical-devices
36985,Reclining chair,medical-devices
36989,Environmental sensor,medical-devices
36997,"Blood sampling pump, ambulatory",medical-devices
36998,In-exsufflator,medical-devices
37000,Computer printer driver unit,medical-devices
37001,Patient-height measure,medical-devices
37006,"Endoscope leak tester, electrical",medical-devices
37792,"Foetal vacuum extraction system cup, single-use",medical-devices
37794,Electromyography telemetric monitoring system,medical-devices
37795,"Warming infant bed, non-adjustable",medical-devices
37796,Cardiotocograph,medical-devices
37798,"Suction system filter, microbial",medical-devices
37799,Valved nitrous oxide/oxygen cylinder,medical-devices
37800,Injury-management training model,medical-devices
37804,"Cystometer probe, ultrasonic",medical-devices
37806,Manual external defibrillator,medical-devices
37807,Cardiac catheterization monitoring system,medical-devices
37891,"Oesophageal ultrasound imaging transducer, reusable",medical-devices
37895,"Intravascular ultrasound imaging catheter, reusable",medical-devices
37896,"Corneal marker, reusable",medical-devices
37899,Assistive underwear,medical-devices
37906,General positive-pressure manual foot pump,medical-devices
37911,"Radio-frequency hyperthermia system phantom, test-object",medical-devices
37912,"Radio-frequency hyperthermia system phantom, anthropomorphic",medical-devices
37913,"Ultrasonic hyperthermia system phantom, test-object",medical-devices
37914,"Ultrasonic hyperthermia system phantom, anthropomorphic",medical-devices
37915,"Microwave hyperthermia system phantom, anthropomorphic",medical-devices
38303,"Manual brachytherapy source, permanent implant",medical-devices
38304,"Manual brachytherapy source, temporary placement",medical-devices
38305,Teletherapy radionuclide system source,medical-devices
38306,Stereotactic radiosurgical system source,medical-devices
38307,Therapeutic nuclear reactor system,medical-devices
38309,Hand-held radionuclide fluoroscopy system,medical-devices
38310,Radionuclide neutron activation system,medical-devices
38312,Hand-held radionuclide fluoroscopy system source,medical-devices
38313,Radionuclide neutron activation system source,medical-devices
37007,Kinetic bed,medical-devices
37008,"Rocking infant bed, electric",medical-devices
37010,Paediatric bed,medical-devices
37011,Electromechanical tachometer,medical-devices
37012,Infant care table,medical-devices
37014,Radiographic film view box magazine tester,medical-devices
37016,Microscope discussion bridge,medical-devices
37019,Burn bath,medical-devices
37020,Audiometric booth,medical-devices
37021,"Anaesthesia breathing circuit, reusable",medical-devices
37022,"Carbon dioxide absorber, reusable",medical-devices
37025,"Pressure relief valve, reusable",medical-devices
37028,Laboratory thermostat,medical-devices
37808,"Pulse oximeter probe, reusable",medical-devices
37819,"Mechanical expiratory valve, reusable",medical-devices
37821,Craniofacial calliper,medical-devices
37825,Antimicrobial orthopaedic bone pin/wire sleeve,medical-devices
37826,Autopsy knife,medical-devices
37833,Soft contact lens inserter/remover,medical-devices
37835,Myomatome,medical-devices
37837,"Orthopaedic osteotome blade, reusable",medical-devices
37839,"Suturing unit, reusable",medical-devices
37840,Cartilage knife,medical-devices
37841,"Surgical power tool system handpiece, sawing, pneumatic",medical-devices
37916,"Microwave hyperthermia system phantom, test-object",medical-devices
37918,Ionic manual toothbrush,medical-devices
37921,Intracavitary-circulation hyperthermia system,medical-devices
37924,Incontinence device suspender,medical-devices
37926,"Electronic pipette, multifunction",medical-devices
37931,"Nitrous oxide quick-connect coupling, female",medical-devices
37932,"Helium/oxygen quick-connect coupling, female",medical-devices
37933,"Medical air quick-connect coupling, female",medical-devices
37934,"Nitrogen quick-connect coupling, female",medical-devices
38314,Bone absorptiometric radionuclide system,medical-devices
38315,Bone absorptiometric radionuclide system source,medical-devices
38318,"Radionuclide source, quality assurance",medical-devices
38323,Radiation condenser R-meter,medical-devices
38324,Liquid scintillation counter,medical-devices
38325,Ionization-chamber radiation survey meter,medical-devices
38326,Ionization chamber radiation measuring probe,medical-devices
38327,Proportional-counter radiation survey meter,medical-devices
38328,Gas proportional radiation counting system,medical-devices
37034,Clinical refractometer,medical-devices
37035,Barcode reader,medical-devices
37037,Laboratory ware washer,medical-devices
37038,Ventilator converter,medical-devices
37041,Breathing circuit tube holder,medical-devices
37044,Body-insulating pad,medical-devices
37047,"Arm procedure positioner, reusable",medical-devices
37048,Footrest,medical-devices
37050,Medical table clamp,medical-devices
37056,Body fluid tensiometer,medical-devices
37057,X-ray image eraser,medical-devices
37061,"Patient monitoring system module, multiple-gas",medical-devices
37842,"Surgical power tool system handpiece, sawing, rechargeable battery-powered",medical-devices
37846,"Sharp surgical instrument counting tray/pad, reusable",medical-devices
37847,Bare-metal colonic stent,medical-devices
37848,"Laparoscope system, single-use",medical-devices
37851,Blood tube stripper,medical-devices
37852,Infant drinking/feeding cup,medical-devices
37853,"Scleral plug, single-use",medical-devices
37855,Ophthalmic flash generator,medical-devices
37856,"Gait-enhancement electrical stimulation system, implantable",medical-devices
37861,Surgical plume evacuation system,medical-devices
37863,Schirmer tear test strip,medical-devices
37936,Nitrous oxide low pressure tubing,medical-devices
37937,"Standing transfer platform, electric",medical-devices
37939,Patient carrying harness,medical-devices
37940,Retina illumination shield,medical-devices
37942,Palate prosthesis,medical-devices
37944,"Adenovirus immunoglobulin G (IgG)/IgM antibody IVD, calibrator",medical-devices
37946,Leakage current tester,medical-devices
37948,Aqueous flare/cell measuring system,medical-devices
37949,Radioaerosol administration radiation shield,medical-devices
37951,"Basic walker, foldable",medical-devices
38329,Proportional radiation measuring probe,medical-devices
38330,Geiger-Müller counter radiation survey meter,medical-devices
38331,Geiger-Müller radiation measuring probe,medical-devices
38332,Scintillation-counter radiation survey meter,medical-devices
38333,Scintillation radiation measuring probe,medical-devices
38334,Radiation solid-state semiconductor system,medical-devices
38335,Semiconductor-type radiation survey meter,medical-devices
38336,Solid-state-semiconductor radiation measuring probe,medical-devices
37063,Helium breath analyser,medical-devices
37065,Ultrasonic orthopaedic cement extractor,medical-devices
37066,"Colour discrimination tester, quick-test",medical-devices
37068,Pulmonary function valve,medical-devices
37069,Ophthalmic insufflator,medical-devices
37070,Polatest,medical-devices
37071,Binocular vision test unit,medical-devices
37072,Cold-air diagnostic inhalation system,medical-devices
37074,Birthing bath,medical-devices
37076,"X-ray system tube support, floor stand",medical-devices
37079,Radiation therapy beam block production hot-wire,medical-devices
37081,Radiation therapy compensation filter production unit,medical-devices
37867,"Surgical power tool system handpiece, rotary, rechargeable battery-powered",medical-devices
37868,"Surgical power tool system handpiece, reaming, pneumatic",medical-devices
37869,Pneumatic surgical power tool system hose,medical-devices
37871,"Crown surgical drill bit, reusable",medical-devices
37875,Pneumatic surgical power tool system motor,medical-devices
37876,"Surgical power tool system handpiece, rotary, pneumatic",medical-devices
37881,Intravascular catheter endoluminal brush kit,medical-devices
37882,"Incontinence penis clamp, single-use",medical-devices
37883,General positive-pressure manual hand pump,medical-devices
37890,Lumbar decompression procedure kit,medical-devices
37952,"Bariatric walker, foldable",medical-devices
37953,"Standing transfer platform, manual",medical-devices
37954,"Bariatric walker, non-foldable",medical-devices
37955,Assistive soap-holding device,medical-devices
37960,Patient carrying chair,medical-devices
37961,"Basic walking frame, foldable",medical-devices
37963,Antimicrobial pillowcase,medical-devices
37964,Water-filled chair cushion,medical-devices
37967,Fluoroscopic x-ray system operation software,medical-devices
37969,Water-filled bed mattress overlay,medical-devices
37972,Infant incubator cover,medical-devices
36615,"Image display monitor, monochrome",medical-devices
36624,Flexible fibreoptic culdoscope,medical-devices
36626,Flexible video choledochoscope,medical-devices
36628,Rigid optical hysteroscope,medical-devices
36631,Flexible fibreoptic oesophagoscope,medical-devices
36632,Flexible fibreoptic cystourethroscope,medical-devices
36635,"Rectoscope, reusable",medical-devices
36637,Rigid rhinolaryngoscope,medical-devices
36639,Flexible fibreoptic thoracoscope,medical-devices
36640,Flexible fibreoptic ureteroscope,medical-devices
37084,Rigid endoscope telescope,medical-devices
37085,Rigid endoscope working guide,medical-devices
37086,"Endoscope sheath, reusable",medical-devices
37089,Light source adaptor,medical-devices
37090,Endoscope assembly adaptor,medical-devices
37091,Stereotactic radiosurgical system operator console,medical-devices
37092,Accelerator system modulator,medical-devices
37093,Accelerator system heat exchanger,medical-devices
37095,Anaesthesia unit antihypoxia device,medical-devices
37106,Thermoluminescent dosimetry brick radiation detector,medical-devices
37107,Thermoluminescent dosimetry brick radiation electrometer,medical-devices
37109,Thermoluminescent dosimetry brick oven,medical-devices
37110,Thermoluminescent dosimetry brick compact electrometer,medical-devices
37503,Pure-tone audiometer,medical-devices
37508,Snake bite kit,medical-devices
37509,Fluid microwave sterilizer,medical-devices
37510,Patient lifting pole,medical-devices
37512,Vacuum terminal unit,medical-devices
37515,Peritoneal dialysis dialysate warmer,medical-devices
37518,Stand-up toilet seat,medical-devices
37520,"Safety razor, single-use",medical-devices
37521,Razor blade,medical-devices
37529,Bone-angle protractor,medical-devices
37530,"Centrifuge rotor, ultracentrifuge",medical-devices
37531,"Centrifuge rotor, adjustable angle",medical-devices
37532,"Centrifuge rotor, fixed angle",medical-devices
37974,"Microscope slide maker/stainer IVD, automated",medical-devices
37975,Microscope slide box,medical-devices
37976,Antimicrobial duvet cover,medical-devices
37977,"Hand-held urinal, female",medical-devices
37978,Assistive bathing washcloth,medical-devices
37979,"Oxygen quick-connect coupling, female",medical-devices
37980,"Anaesthetic gas scavenging quick-connect coupling, female",medical-devices
37983,Assistive safety razor,medical-devices
37984,Assistive electrical shaver,medical-devices
37985,Assistive shaving brush,medical-devices
37986,Assistive swimming float,medical-devices
36645,Flexible fibreoptic laryngoscope,medical-devices
36647,Rigid antroscope,medical-devices
36652,Rigid cystourethroscope,medical-devices
36653,Rigid oesophagoscope,medical-devices
36654,Rigid ureteroscope,medical-devices
36656,Voltage-stabilizing power supply,medical-devices
36664,Basic roller pump,medical-devices
36667,Nuclear medicine system detector head,medical-devices
36672,Camera flash light source,medical-devices
36673,Patient identification title generator,medical-devices
36674,Package sealing unit,medical-devices
36677,Arthroscopic insufflator,medical-devices
37111,Flexible fibreoptic ureterorenoscope,medical-devices
37112,Rigid ureterorenoscope,medical-devices
37123,Hyperthermia system temperature mapping unit,medical-devices
37127,Probe tester,medical-devices
37138,Ultrasonic lithotripsy system handpiece,medical-devices
37139,"Ultrasonic lithotripsy system probe, reusable",medical-devices
37140,"Electrohydraulic/pneumatic lithotripsy system probe, urinary, reusable",medical-devices
37141,"Rigid endoscopic stone-retrieval forceps, reusable",medical-devices
37142,"Endoscopic-access dilator, reusable",medical-devices
37143,"Bladder evacuator, reusable",medical-devices
37147,Cooling utility supply system,medical-devices
37534,Social-science assistive training device,medical-devices
37537,Microscope slide folder,medical-devices
37542,"Dental bridge, polymer",medical-devices
37543,"Dental bridge, metal-polymer",medical-devices
37544,Oxygen terminal unit,medical-devices
37552,Fallopian tube catheterization kit,medical-devices
37555,Tracheal pilot tube repair kit,medical-devices
37558,Evacuated erythrocyte sedimentation rate (ESR) tube IVD,medical-devices
37563,"Non-evacuated blood collection tube IVD, no additive",medical-devices
37566,"Blood collection tube holder, single-use",medical-devices
37570,"Water jet knife system handpiece, reusable",medical-devices
37576,Artificial saliva,medical-devices
37987,Assistive bathing neck collar,medical-devices
37988,Snorkel,medical-devices
37989,Assistive inflatable bathing cap,medical-devices
37991,Bed remote control,medical-devices
37995,Assistive snow scooter,medical-devices
37997,"Nylon suture, non-bioabsorbable, multifilament",medical-devices
38000,"Nylon suture, non-bioabsorbable, monofilament",medical-devices
38017,Dry salt therapy device,medical-devices
38018,"Medicine chamber spacer, reusable",medical-devices
38022,Toilet booth,medical-devices
38027,Pubic-pressure wearable urinal,medical-devices
38035,Assistive go-kart,medical-devices
36678,Arm ergometer,medical-devices
36679,Cardiopulmonary stress test treadmill,medical-devices
36684,Ergometer control unit,medical-devices
36685,Infant resuscitation table,medical-devices
36686,Gas/fume evacuation system,medical-devices
36688,Alternating-pressure pump,medical-devices
36690,"Cardiopulmonary resuscitation kit, reusable",medical-devices
36691,Optical-disc-station computer drive,medical-devices
36693,Ambulatory fall sensor,medical-devices
36694,Floppy-diskette computer drive,medical-devices
36696,Anaesthetic gas scavenging unit,medical-devices
36698,Hard-disc-station computer drive,medical-devices
36703,Computer tape station,medical-devices
36705,Compact-disc computer drive,medical-devices
37148,"Laparoscopic access cannula, reusable",medical-devices
37149,Laparoscopic dilation guide rod,medical-devices
37151,Laparoscopic access cannula dilator,medical-devices
37152,Flexible fibreoptic hysteroscope,medical-devices
37160,"Patient transfer system, powered",medical-devices
37162,Patient transfer sliding board,medical-devices
37163,Patient transfer sliding mat,medical-devices
37164,Patient transfer turntable,medical-devices
37165,Patient transfer/turning sheet,medical-devices
37167,Boat ambulance,medical-devices
37578,Anaesthesia workstation antihypoxia unit,medical-devices
37589,Syringe autofill kit,medical-devices
37591,"CPAP/BPAP nasal mask, single-use",medical-devices
37592,Ostomy odour-absorbent/deodorizer,medical-devices
37593,"Bed mattress support platform, manual",medical-devices
37597,Heat/moisture exchanger insertable filter,medical-devices
37598,"Hygiene apron, reusable",medical-devices
37601,Orthodontic magnet,medical-devices
37602,Assistive skirt/dress,medical-devices
37604,"Diagnostic x-ray system generator, stationary",medical-devices
37605,"Diagnostic x-ray system generator, mobile",medical-devices
38037,Patient grip ladder,medical-devices
38042,Assistive soap dish,medical-devices
38045,Chest-percussion airway secretion-clearing system applicator,medical-devices
38047,"Nitrous oxide/oxygen quick-connect coupling, female",medical-devices
38049,Tinnitus masking application software,medical-devices
38050,"Stand-up mobile patient lifting system, electric",medical-devices
38052,Assistive wheeled stretcher,medical-devices
38058,Assistive drinking mug,medical-devices
38061,Assistive soap dispenser,medical-devices
38062,Oxidase production microbial reagent IVD,medical-devices
38064,Ankle continuous passive motion exerciser,medical-devices
36706,Flexible fibreoptic intubation laryngoscope,medical-devices
36708,Rigid pharyngoscope,medical-devices
36709,Flexible fibreoptic pharyngoscope,medical-devices
36712,"Elapsed-time clock, electronic",medical-devices
36713,"Elapsed-time clock, mechanical",medical-devices
36717,Impedance audiometer,medical-devices
36719,Electrocardiographic signal amplifier,medical-devices
36723,Audio amplifier,medical-devices
36725,Microphone amplifier,medical-devices
36728,Electromyographic signal amplifier,medical-devices
36729,Infant incubator control unit,medical-devices
36731,Thermographic camera,medical-devices
36737,Interferential electrical stimulation system,medical-devices
36739,Camera control unit,medical-devices
36740,Electroencephalographic signal amplifier,medical-devices
37172,"Patient monitoring system module, intracardiac oximetry",medical-devices
37173,X-ray film chemistry mixer central bulk supply,medical-devices
37174,Battery tester,medical-devices
37175,"Patient monitoring system module, electrocardiographic, long-term recording",medical-devices
37176,"Patient monitoring system module, electrocardiographic, telemetric",medical-devices
37178,Transcutaneous blood gas monitor sensor,medical-devices
37180,Rigid sinoscope,medical-devices
37181,Flexible fibreoptic neuroscope,medical-devices
37182,"TEM/TEO rectoscope, optical",medical-devices
37183,ESDP endoscope,medical-devices
37184,Microscope objective,medical-devices
37606,"Diagnostic x-ray system generator, portable",medical-devices
37607,"Diagnostic x-ray system generator, hand-held",medical-devices
37608,Therapeutic x-ray system generator,medical-devices
37609,Superconducting-magnet breast MRI system,medical-devices
37611,Resistive-magnet breast MRI system,medical-devices
37612,"Mobile angiographic x-ray system, digital",medical-devices
