HCP Name,;,Department,S. Type,Code,Provider Service Description,LOS
SGH Jeddah ,2015030,SUR,PD,2015030,ILEOSTOMY / LAPARASCOPIC ,2
SGH Jeddah ,2015031,SUR,PD,2015031,LEFT HEMI COLECTOMY / LAPARASCOPIC ,2
SGH Jeddah ,2015032,SUR,PD,2015032,SEGMENTAL RESECTION OF SMALL INTESTINE - MULITPLE  / LAPARASCOPIC ,2
SGH Jeddah ,2015033,SUR,PD,2015033,PROCTOPEXY WITH RESECTION / LAPARASCOPIC ,2
SGH Jeddah ,2015034,SUR,PD,2015034,PROCTOPEXY WITHOUT RESECTION LAPARASCOPIC ,2
SGH Jeddah ,2015035,SUR,PD,2015035,RIGHT HEMI COLECTOMY / LAPARASCOPIC ,2
SGH Jeddah ,2015036,SUR,PD,2015036,SIGMOID COLON RESECTION / LAPARASCOPIC ,2
SGH Jeddah ,2015037,SUR,PD,2015037,SMALL TO SMALL INTESTINE ANASTOMOSIS / LAPARASCOPIC ,2
SGH Jeddah ,2015038,SUR,PD,2015038,ANAL SPHINCTEROTOMY / LEFT LATERAL ,1
SGH Jeddah ,2015039,SUR,PD,2015039,HEMORRHOID / LIGATION,0
SGH Jeddah ,2015040,SUR,PD,2015040,SEGMENTAL RESECTION OF SMALL BOWEL - MULTIPLE ,2
SGH Jeddah ,2015041,SUR,PD,2015041,NEONATAL ESOPHAGIAL ATRESIA/FISTULA,2
SGH Jeddah ,2015042,SUR,PD,2015042,NEONATAL INTESTINAL OBSTRUCTION (INTESTINAL ATRESIA),2
SGH Jeddah ,2015043,SUR,PD,2015043,OMENTECTOMY,2
SGH Jeddah ,2015044,SUR,PD,2015044,OMPHALOCELE REPAIR - MINOR ,2
SGH Jeddah ,2015045,SUR,PD,2015045,OMPHALOCELE REPAIR - MAJOR,3
SGH Jeddah ,2015046,SUR,PD,2015046,PILONIDAL SINSUS EXCISION WITH CLOSURE,1
SGH Jeddah ,2015047,SUR,PD,2015047,PROCTO COLECTOMY WITH ILEAL POUCH ANAL ANASTOMOSIS,4
SGH Jeddah ,2015048,SUR,PD,2015048,PROCTOCOLECTOMY /  / LAPAROSCOPIC / COMPLICATED,4
SGH Jeddah ,2015049,SUR,PD,2015049,RADICAL RESECTION AND RE-ANASTOMOSIS OF COLON CANCER,4
SGH Jeddah ,2015050,SUR,PD,2015050,RECTAL MUCOSECTOMY FOR RECTAL PROLAPSE,2
SGH Jeddah ,2015051,SUR,PD,2015051,ANAL SPHENECTER STENOSIS REPAIR WITH FLAP,2
SGH Jeddah ,2015052,SUR,PD,2015052,PARASTOMAL HERNIAREPAIR,2
SGH Jeddah ,2015053,SUR,PD,2015053,TRANSVERSE COLON RESECTION,3
SGH Jeddah ,2015054,SUR,PD,2015054,RIGHT HEMI-COLECTOMY,2
SGH Jeddah ,2015055,SUR,PD,2015055,SIGMOID COLON RESECTION,2
SGH Jeddah ,2015056,SUR,PD,2015056,ANAL FISTULOTOMY / SIMPLE ,1
SGH Jeddah ,2015057,SUR,PD,2015057,SMALL TO SMALL INTESTINE ANASTOMOSIS,2
SGH Jeddah ,2015058,SUR,PD,2015058,TOTAL COLECTOMY,3
SGH Jeddah ,2015059,SUR,PD,2015059,TOTAL COLON RESECTION,3
SGH Jeddah ,2015060,SUR,PD,2015060,ULTRA LOW ANTERIOR BOWEL RESECTION / LAPAROSCOPIC / COMPLICATED,4
SGH Jeddah ,2016001,SUR,PD,2016001,BARIATRIC OPERATION REVISION,1
SGH Jeddah ,2016002,SUR,PD,2016002,BILIO-PANCREATIC DIVERSION (BPD) (SCOPINARO PROCEDURE ),3
SGH Jeddah ,2016003,SUR,PD,2016003,BILIOPANCREATIC DIVERSION (BPD) SCOPINARO PROCEDURE WITH BAND REMOVAL,4
SGH Jeddah ,2016004,SUR,PD,2016004,BILIOPANCREATIC DIVERSION (BPD) SCOPINARO PROCEDURE WITH CHOLECYSTECTOMY ,4
SGH Jeddah ,2016005,SUR,PD,2016005,BILIOPANCREATIC DIVERSION (BPD) SCOPINARO PROCEDURE WITH CHOLECYSTECTOMY AND BAND REMOVAL,4
SGH Jeddah ,2016006,SUR,PD,2016006,DIAGNOSTIC LAPAROSCOPY POST BARIATRIC SURGERY ,1
SGH Jeddah ,2016007,SUR,PD,2016007,BAND REMOVAL / LAPAROSCOPIC,1
SGH Jeddah ,2016008,SUR,PD,2016008,BAND REMOVAL WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,2
SGH Jeddah ,2016009,SUR,PD,2016009,GASTRIC BANDING / LAPAROSCOPIC ,2
SGH Jeddah ,2016010,SUR,PD,2016010,GASTRIC BANDING WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,3
SGH Jeddah ,2016011,SUR,PD,2016011,MINI GASTRIC BYPASS / LAPAROSCOPIC ,2
SGH Jeddah ,2016012,SUR,PD,2016012,MINI GASTRIC BYPASS WITH BAND REMOVAL / LAPAROSCOPIC ,3
SGH Jeddah ,2016013,SUR,PD,2016013,MINI GASTRIC BYPASS WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,3
SGH Jeddah ,2016014,SUR,PD,2016014,MINI GASTRIC BYPASS WITH CHOLECYSTECTOMY AND BAND REMOVAL / LAPAROSCOPIC ,3
SGH Jeddah ,2016015,SUR,PD,2016015,NISSEN FUDOPLICATION / LAPAROSCOPIC ,3
SGH Jeddah ,2016016,SUR,PD,2016016,ROUX-EN-Y GASTRIC BYPASS / LAPAROSCOPIC ,3
SGH Jeddah ,2016017,SUR,PD,2016017,ROUX-EN-Y GASTRIC BYPASS WITH BAND REMOVAL / LAPAROSCOPIC ,3
SGH Jeddah ,2016018,SUR,PD,2016018,ROUX-EN-Y GASTRIC BYPASS WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,3
SGH Jeddah ,2016019,SUR,PD,2016019,ROUX-EN-Y GASTRIC BYPASS WITH CHOLECYSTECTOMY AND BAND REMOVAL LAPAROSCOPIC ,4
SGH Jeddah ,2016020,SUR,PD,2016020,SLEEVE GASTRECTOMY / LAPAROSCOPIC ,3
SGH Jeddah ,2016021,SUR,PD,2016021,SLEEVE GASTRECTOMY WITH BAND REMOVAL / LAPAROSCOPIC ,3
SGH Jeddah ,2016022,SUR,PD,2016022,SLEEVE GASTRECTOMY WITH CHOLECYSTECTOMY / LAPAROSCOPIC ,3
SGH Jeddah ,2016023,SUR,PD,2016023,SLEEVE GASTRECTOMY WITH CHOLECYSTECTOMY AND BAND REMOVAL / LAPAROSCOPIC ,3
SGH Jeddah ,2016024,SUR,PD,2016024,BARIATRIC REVISION / MAJOR ,1
SGH Jeddah ,2016025,SUR,PD,2016025,GASTRIC BYPASS POUCH RESIZING FOLLOWING REGAIN,3
SGH Jeddah ,2016026,SUR,PD,2016026,GASTRIC BYPASS COMMON LIMB SHORTENING FOLLOWING REGAIN,3
SGH Jeddah ,2016027,SUR,PD,2016027,ROUX-EN-Y GASTRIC BYPASS TOTAL REVERSAL,3
SGH Jeddah ,3011001,O&G,PD,3011001,CERVICAL CIRCLAGE / SHIRODKAR SUTURE,D/C
SGH Jeddah ,3011002,O&G,PD,3011002,CERVICAL POLYPECTOMY,D/C
SGH Jeddah ,3011003,O&G,PD,3011003,D WITH C WITH BIOPSY,1
SGH Jeddah ,3011004,O&G,PD,3011004,DOUGLAS POUCH ABSCESS DRAINAGE,1
SGH Jeddah ,3011005,O&G,PD,3011005,EXCISION OF BARTHOLIN'S CYST,1
SGH Jeddah ,3011006,O&G,PD,3011006,EXTERNAL CEPHALIC VERSION (ECV),D/C
SGH Jeddah ,3011007,O&G,PD,3011007,HYMENOTOMY / HYMENECTOMY,D/C
SGH Jeddah ,3011008,O&G,PD,3011008,DIAGNOSTIC LAPARASCOPY (NON-INFERTILITY) ,1
SGH Jeddah ,3011009,O&G,PD,3011009,POLYPECTOMY FRACTIONAL CURRETAGE,1
SGH Jeddah ,3011010,O&G,PD,3011010,POLYPECTOMY WITH D WITH C,1
SGH Jeddah ,3011011,O&G,PD,3011011,REMOVAL OF CIRCLAGE,0
SGH Jeddah ,3011012,O&G,PD,3011012,REMOVAL OF IUCD (U.G.A.),D/C
SGH Jeddah ,3011013,O&G,PD,3011013,SURGICAL EVACUATION OF UTERUS WITH BIOPSY,1
SGH Jeddah ,3011014,O&G,PD,3011014,VAGINAL PERINEAL REPAIR,1
SGH Jeddah ,3012001,O&G,PD,3012001,CERVICAL TEAR REPAIR,1
SGH Jeddah ,3012002,O&G,PD,3012002,DISSECTION OF SYNOECHEA-ASHERMAN'S SYNDROME / HYSTROSCOPIC  ,1
SGH Jeddah ,3012003,O&G,PD,3012003,ENDROETRIAL ABLATION / HYSTROSCOPIC ,1
SGH Jeddah ,3012004,O&G,PD,3012004,METROPLASTY-REPAIR OF SEPTATE UTERUS / HYSTROSCOPIC ,1
SGH Jeddah ,3012005,O&G,PD,3012005,POLYPECTOMY / HYSTROSCOPIC ,1
SGH Jeddah ,3012006,O&G,PD,3012006,REMOVAL OF ENDOMETRIAL FIBROID / HYSTROSCOPIC ,1
SGH Jeddah ,3012007,O&G,PD,3012007,POSTERIOR COLPOPERINEORRHAPHY,1
SGH Jeddah ,3012008,O&G,PD,3012008,SALPINGECTOMY / SALPINGOSTOMY,1
SGH Jeddah ,3013001,O&G,PD,3013001,CERVIX AMPUTATION,1
SGH Jeddah ,3013002,O&G,PD,3013002,ANTERIOR COLPOPERINEORRHAPHY,1
SGH Jeddah ,3013003,O&G,PD,3013003,VAGINAL CLASSICAL REPAIR,1
SGH Jeddah ,3013004,O&G,PD,3013004,OOPHRECTOMY,1
SGH Jeddah ,3013005,O&G,PD,3013005,OVARIAN CYSTECTOMY,1
SGH Jeddah ,3013006,O&G,PD,3013006,SIMPLE VULVECTOMY,1
SGH Jeddah ,3014001,O&G,PD,3014001,ECTOPIC PREGNANCY / LAPARASCOPIC,2
SGH Jeddah ,3014002,O&G,PD,3014002,ABDOMINAL COLPOPEXY,2
SGH Jeddah ,3014003,O&G,PD,3014003,ABDOMINAL TOTAL HYSTERECTOMY,2
SGH Jeddah ,3014004,O&G,PD,3014004,ABDOMINAL SLING FOR CONGENITAL PROLAPSE,2
SGH Jeddah ,3014005,O&G,PD,3014005,DIAGNOSTIC LAPARASCOPY WITH CANALIZATION OF TUBE,1
SGH Jeddah ,3014006,O&G,PD,3014006,DIAGNOSTIC LAPARASCOPY WITH NEW OSTIA OF FALLOPIAN TUBE (BILATERAL),2
SGH Jeddah ,3014007,O&G,PD,3014007,DIAGNOSTIC LAPARASCOPY WITH NEW OSTIA OF FALLOPIAN TUBE (UNILATERAL),2
SGH Jeddah ,3014008,O&G,PD,3014008,EXCISION OF TUBAL ECTOPIC PREGNANCY,2
SGH Jeddah ,3014009,O&G,PD,3014009,EXPLORATION WITH RECONSTRUCTION OF FALLOPIAN TUBES,2
SGH Jeddah ,3014010,O&G,PD,3014010,FOTHERGILLS OPERATION,2
SGH Jeddah ,3014011,O&G,PD,3014011,HYSTERECTOMY,2
SGH Jeddah ,3014012,O&G,PD,3014012,HYSTERECTOMY WITH SALPINGO-OOPHORECTOMY / LAPAROSCOPIC UILATERAL,2
SGH Jeddah ,3014013,O&G,PD,3014013,HYSTERECTOMY WITH SALPINGO-OOPHORECTOMY / LAPAROSCOPIC BILATERAL,2
SGH Jeddah ,3014014,O&G,PD,3014014,ADHESIOLYSIS WITH OVARIAN CYSTECTOMY WITH NEO-OSTIA OF FALLOPIAN TUBE / LAPAROTOMY,2
SGH Jeddah ,3014015,O&G,PD,3014015,CHECKING OF TUBAL PATENCY / LAPARASCOPIC ,2
SGH Jeddah ,3014016,O&G,PD,3014016,COAGULATION OF ENDOMETRIOSIS / LAPARASCOPIC ,2
SGH Jeddah ,3014017,O&G,PD,3014017,HYSTERECTOMY / LAPARASCOPIC ,2
SGH Jeddah ,3014018,O&G,PD,3014018,LASER MYOLISIS / LAPARASCOPIC ,2
SGH Jeddah ,3014019,O&G,PD,3014019,OVARIAN CYSTECTOMY WITH ADHESIOLYSIS / LAPARASCOPIC ,2
SGH Jeddah ,3014020,O&G,PD,3014020,OVARIAN DRILLING (BILATERAL) / LAPARASCOPIC ,2
SGH Jeddah ,3014021,O&G,PD,3014021,OVARIAN DRILLING (UNILATERAL) / LAPARASCOPIC ,2
SGH Jeddah ,3014022,O&G,PD,3014022,OVARIAN DRILLING WITH ADHESIOLYSIS / LAPARASCOPIC ,2
SGH Jeddah ,3014023,O&G,PD,3014023,REMOVAL OF MISSED IUCD / LAPARASCOPIC ,2
SGH Jeddah ,3014024,O&G,PD,3014024,SALPINGECTOMY WITH REMOVAL OF ECTOPIC PREGNANCY / LAPARASCOPIC ,2
SGH Jeddah ,3014025,O&G,PD,3014025,SALPINGO-OOPHORECTOMY (BILATERAL) / LAPARASCOPIC ,2
SGH Jeddah ,3014026,O&G,PD,3014026,SALPINGO-OOPHORECTOMY (UNILATERAL) / LAPARASCOPIC ,1
SGH Jeddah ,3014027,O&G,PD,3014027,TUBAL LIGATION ON CAUTERIZATION / LAPARASCOPIC ,1
SGH Jeddah ,3014028,O&G,PD,3014028,TUBAL LIGATION ON CAUTERIZATION BILATERAL / LAPARASCOPIC ,1
SGH Jeddah ,3014029,O&G,PD,3014029,OVARIAN CYSTECTOMY (BILATERAL) / LAPARASCOPIC ,2
SGH Jeddah ,3014030,O&G,PD,3014030,MYOMECTOMY,1
SGH Jeddah ,3014031,O&G,PD,3014031,RADICAL VULVECTOMY,2
SGH Jeddah ,3014032,O&G,PD,3014032,RECURRENT MYOMECTOMY   ,2
SGH Jeddah ,3014033,O&G,PD,3014033,RECURRENT OVARIAN TUMOUR   ,2
SGH Jeddah ,3014034,O&G,PD,3014034,REPAIR OF RECTO-VAGINAL FISTULA   ,2
SGH Jeddah ,3014035,O&G,PD,3014035,REPAIR OF VESICO-VAGINAL FISTULA   ,2
SGH Jeddah ,3014036,O&G,PD,3014036,VAGINAL COLPSUSPENSION (VSSF),2
SGH Jeddah ,3014037,O&G,PD,3014037,VAGINAL HYSTERECTOMY  ,1
SGH Jeddah ,3014038,O&G,PD,3014038,VAGINAL SACRO SPINOUS FIXATION,2
SGH Jeddah ,3014039,O&G,PD,3014039,VAGINAL SACROSPINOUS HYSTEROPEXY   ,2
SGH Jeddah ,3014040,O&G,PD,3014040,WEDGE RESECTION OF OVARY   ,1
SGH Jeddah ,3014041,O&G,PD,3014041,WEDGE RESECTION OF OVARY / LAPAROSCOPIC    ,1
SGH Jeddah ,3014042,O&G,PD,3014042,ANTERIOR/POSTERIOR COLPOPERINEORRHAPHY WITH MESH (IMPLANT NOT INCLUDED),2
SGH Jeddah ,3014043,O&G,PD,3014043,LABIOPLASTY ,1
SGH Jeddah ,3015001,O&G,PD,3015001,DELIVERY BREECH WITH NORMAL BABY,1
SGH Jeddah ,3015002,O&G,PD,3015002,DELIVERY CAESARIAN WITH NORMAL BABY,3
SGH Jeddah ,3015003,O&G,PD,3015003,DELIVERY CAESARIAN FOR TRIPLETS,4
SGH Jeddah ,3015004,O&G,PD,3015004,DELIVERY CAESARIAN FOR TWINS,3
SGH Jeddah ,3015005,O&G,PD,3015005,DELIVERY CAESARIAN REPEATED (WITH NORMAL BABY),3
SGH Jeddah ,3015006,O&G,PD,3015006,L.S.C.S WITH BILATERAL TUB LIGITATION AND REMOVAL OF OVARY ,3
SGH Jeddah ,3015007,O&G,PD,3015007,L.S.C.S WITH ABDOMINAL HYSTERECTOMY,3
SGH Jeddah ,3015008,O&G,PD,3015008,DELIVERY NORMAL (WITH NORMAL BABY),1
SGH Jeddah ,3015009,O&G,PD,3015009,DELIVERY NORMAL FOR TWINS (UNCOMPLICATED),1
SGH Jeddah ,3015010,O&G,PD,3015010,DELIVERY VACUUM  (WITH NORMAL BABY),1
SGH Jeddah ,3021001,O&G,PD,3021001,ASSISTED HATCHING  ,1
SGH Jeddah ,3021002,O&G,PD,3021002,DIGANOSTIC HYSTEROSCOPY  ,1
SGH Jeddah ,3021003,O&G,PD,3021003,EMBRYO CRYO STORAGE FEE (3 YEARS)   ,0
SGH Jeddah ,3021004,O&G,PD,3021004,EMBRYO CRYO STORAGE FEE (ONE YEAR)  ,0
SGH Jeddah ,3021005,O&G,PD,3021005,EMBRYO CRYO STORAGE FEE (TWO YEARS)   ,0
SGH Jeddah ,3021006,O&G,PD,3021006,EMRYO TRANSFER  ,0
SGH Jeddah ,3021007,O&G,PD,3021007,ENDOMETRIAL ABLATION   ,1
SGH Jeddah ,3021008,O&G,PD,3021008,FROZEN EMBRYO REPLACEMENT CYCLE  ,0
SGH Jeddah ,3021009,O&G,PD,3021009,HYSTEROSALPINGOGRAPHY IN O.R. (U.G.A.)  ,D/C
SGH Jeddah ,3021010,O&G,PD,3021010,ENDOMETRIAL BIOPSY / HYSTEROSCOPIC ,D/C
SGH Jeddah ,3021011,O&G,PD,3021011,METROPLASTY / HYSTEROSCOPIC ,D/C
SGH Jeddah ,3021012,O&G,PD,3021012,POLYPECTOMY / HYSTEROSCOPIC ,D/C
SGH Jeddah ,3021013,O&G,PD,3021013,REMOVAL OF SYNECHIA / HYSTEROSCOPIC ,D/C
SGH Jeddah ,3021014,O&G,PD,3021014,MYOMECTOMY / HYSTEROSCOPIC ,D/C
SGH Jeddah ,3021015,O&G,PD,3021015,ICSI CYCLE FIRST ATTEMPT   ,D/C
SGH Jeddah ,3021016,O&G,PD,3021016,ICSI CYCLE SECOND ATTEMPT   ,D/C
SGH Jeddah ,3021017,O&G,PD,3021017,IUI INCLUDING 3 ULTRASOUND WITH URINE TEST   ,D/C
SGH Jeddah ,3021018,O&G,PD,3021018,IVF CYCLE FIRST ATTEMPT   ,D/C
SGH Jeddah ,3021019,O&G,PD,3021019,IVF CYCLE SECOND ATTEMPT   ,D/C
SGH Jeddah ,3021020,O&G,PD,3021020,PRE IMPLANTATION GENETIC SCREEING (PGS) 4 EMBRYOS   ,D/C
SGH Jeddah ,3021021,O&G,PD,3021021,TESTICULAR ASPIRATION   ,D/C
SGH Jeddah ,4011001,CAR,PD,4011001,AORTIC VALVE / MECHANICAL                                                          ,3
SGH Jeddah ,4011002,CAR,PD,4011002,AORTIC VALVE / TISSUE                                                                 ,3
SGH Jeddah ,4011003,CAR,PD,4011003,ATRIAL FIBRILLATION BY CRYOTHERAPY ,4
SGH Jeddah ,4011004,CAR,PD,4011004,AV FISTULA ANGIOPLASTY,1
SGH Jeddah ,4011005,CAR,PD,4011005,"BIOPSY, PERICARDIAM",2
SGH Jeddah ,4011006,CAR,PD,4011006,BIVENTRICULAR IMPLANTABLE CARDIAC DEFIBRILLATOR,4
SGH Jeddah ,4011007,CAR,PD,4011007,BIVENTRICULAR PERMANENT PACEMAKER CRT-P,4
SGH Jeddah ,4011008,CAR,PD,4011008,BLALOCK - TAUSSING SHUNT                                          ,2
SGH Jeddah ,4011009,CAR,PD,4011009,"FEMORO-TIBIAL ARTERY BYPASS, IN-SITU, ",4
SGH Jeddah ,4011010,CAR,PD,4011010,CABG WITH DOUBLE MECHANICAL VALVE                         ,4
SGH Jeddah ,4011011,CAR,PD,4011011,CABG WITH DOUBLE TISSUE VALVE                                                                ,4
SGH Jeddah ,4011012,CAR,PD,4011012,CABG WITH MECHANICAL AORTIC VALVE                                                   ,4
SGH Jeddah ,4011013,CAR,PD,4011013,CABG WITH MECHANICAL MITRAL VALVE                                                                                     ,4
SGH Jeddah ,4011014,CAR,PD,4011014,CABG WITH MITRAL VALVE REPAIR  (NO RING)                                                                                     ,4
SGH Jeddah ,4011015,CAR,PD,4011015,CABG WITH MITRAL VALVE REPAIR  (WITH RING)                  ,4
SGH Jeddah ,4011016,CAR,PD,4011016,CABG WITH TISSUE AORTIC VALVE REPLACEMENT                                             ,4
SGH Jeddah ,4011017,CAR,PD,4011017,CABG WITH TISSUE MITRAL VALVE                                                                                                                                                            ,4
SGH Jeddah ,4011018,CAR,PD,4011018,CARDIAC PACEMAKER DEVICE REPLACEMENT-PROCRSEXC,4
SGH Jeddah ,4011019,CAR,PD,4011019,CARDIAC PACEMAKER REVISION WITHOUT DEVICE REPLACEMENT,4
SGH Jeddah ,4011020,CAR,PD,4011020,CORONARY BYPASS (CABG)        ,4
SGH Jeddah ,4011021,CAR,PD,4011021,DIAGNOSTIC EP STUDY ,2
SGH Jeddah ,4011022,CAR,PD,4011022,DOUBLE VALVE / MECHANICAL                                                                         ,4
SGH Jeddah ,4011023,CAR,PD,4011023,DOUBLE VALVE / TISSUE,4
SGH Jeddah ,4011024,CAR,PD,4011024,DUAL CHAMBER PERMANENT PACEMAKER,4
SGH Jeddah ,4011025,CAR,PD,4011025,EP STUDY AND ABLATION FOR ATRIAL FLUTTER AND/OR SVT ,4
SGH Jeddah ,4011026,CAR,PD,4011026,EP STUDY AND ABLATION FOR ATRIAL TACHYCARDIA OR WPW,4
SGH Jeddah ,4011027,CAR,PD,4011027,IMPLANTABLE CARDIORATOR DEFIBRILLATOR,4
SGH Jeddah ,4011028,CAR,PD,4011028,IMPLANTATION OF ICD DOUBLE ,4
SGH Jeddah ,4011029,CAR,PD,4011029,IMPLANTATION OF ICD SINGLE,4
SGH Jeddah ,4011030,CAR,PD,4011030,IMPLANTATION OF PERMANENT PACEMAKER (PPM),4
SGH Jeddah ,4011031,CAR,PD,4011031,IMPLANTATION OR EXPLANTATION OF LOOP RECORDER (NOT INCLUDING THE PRICE OF THE IMPLANT),4
SGH Jeddah ,4011032,CAR,PD,4011032,THORACOSTOMY TUBE INSERTION,1
SGH Jeddah ,4011033,CAR,PD,4011033,INTRA AORTIC BALOON INSERTION     ,1
SGH Jeddah ,4011034,CAR,PD,4011034,LIGATION PATENT DUCTUS  ARTERIOSUS (PEDIATRIC)               ,2
SGH Jeddah ,4011035,CAR,PD,4011035,LIGATION PATENT DUCTUS ARTERIOSUS (ADULT)                ,2
SGH Jeddah ,4011036,CAR,PD,4011036,CARDIAC MASSAGE / OPEN ,0
SGH Jeddah ,4011037,CAR,PD,4011037,MITRAL WITH TRICUSPID VALVE REPAIR (WITHOUT RING)                                                  ,4
SGH Jeddah ,4011038,CAR,PD,4011038,MITRAL WITH TRICUSPID VALVE REPAIR (WITH RING)                                                      ,4
SGH Jeddah ,4011039,CAR,PD,4011039,VALVULOPLASTY / MITRAL WITH BALLOON ,4
SGH Jeddah ,4011040,CAR,PD,4011040,MITRAL VALVE / MECHANICAL         ,4
SGH Jeddah ,4011041,CAR,PD,4011041,MITRAL VALVE / TISSUE         ,4
SGH Jeddah ,4011042,CAR,PD,4011042,MITRAL VALVE REPAIR (WITHOUT RING)                                                         ,4
SGH Jeddah ,4011043,CAR,PD,4011043,MITRAL VALVE REPAIR (WITH RING)                                                                 ,4
SGH Jeddah ,4011044,CAR,PD,4011044,PACEMAKER ANALYSIS AND REPROGRAMING,0
SGH Jeddah ,4011045,CAR,PD,4011045,PERICARDIOCENTESIS,1
SGH Jeddah ,4011046,CAR,PD,4011046,PERICARDIOTOMY   ,3
SGH Jeddah ,4011047,CAR,PD,4011047,PERMANENT CARDIAC PACEMAKER / ACUTE IMPLANTATION,3
SGH Jeddah ,4011048,CAR,PD,4011048,PERMANENT PACEMAKER BIVENTRICULAR PLUS ICD (CRTD),4
SGH Jeddah ,4011049,CAR,PD,4011049,PERMANENT CARDIAC PACEMAKER  / DUAL CHAMBER,4
SGH Jeddah ,4011050,CAR,PD,4011050,PERMANENT PACEMAKET BIVENTRICULAR    ,4
SGH Jeddah ,4011051,CAR,PD,4011051,RENAL ANGIOGRAM / BOTH ARTERIES,1
SGH Jeddah ,4011052,CAR,PD,4011052,RING IMPLANT / EACH                                                                                                                          ,0
SGH Jeddah ,4011053,CAR,PD,4011053,ROTABLATOR APPLICATION,0
SGH Jeddah ,4011054,CAR,PD,4011054,SIMPLE OPEN CONGENITAL DEFORMITIES (A.S.D./V.S.D /P.D.A.),3
SGH Jeddah ,4011055,CAR,PD,4011055,PERMANENT CARDIAC PACEMAKER / SINGLE CHAMBER ,4
SGH Jeddah ,4011056,CAR,PD,4011056,USE OF SUCTION DEVICE (PRIMARY PCI),0
SGH Jeddah ,4021001,CAR,PD,4021001,CATHETERIZATION LEFT HEART,1
SGH Jeddah ,4021002,CAR,PD,4021002,CATHETERIZATION LEFT HEART WITH GRAFT,1
SGH Jeddah ,4021003,CAR,PD,4021003,CATHETERIZATION RIGHT WITH LEFT HEART,1
SGH Jeddah ,4021004,CAR,PD,4021004,CATHETERIZATION RIGHT HEART,1
SGH Jeddah ,4021005,CAR,PD,4021005,CATHETERIZATION RIGHT HEART WITH SHUNT,1
SGH Jeddah ,4021006,CAR,PD,4021006,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY AGIOPLASTY) – SV WITH STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021007,CAR,PD,4021007,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV ,2
SGH Jeddah ,4021008,CAR,PD,4021008,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 2 STENT , (PRICE IS  WITHOUT STENT",2
SGH Jeddah ,4021009,CAR,PD,4021009,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 3 STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021010,CAR,PD,4021010,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 4 STENTS ,",2
SGH Jeddah ,4021011,CAR,PD,4021011,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH 5 STENTS ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021012,CAR,PD,4021012,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – DV WITH STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021013,CAR,PD,4021013,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV,2
SGH Jeddah ,4021014,CAR,PD,4021014,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV WITH 2 STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021015,CAR,PD,4021015,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV WITH 3 STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021016,CAR,PD,4021016,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – SV WITH 4 STENTS ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021017,CAR,PD,4021017,PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV,2
SGH Jeddah ,4021018,CAR,PD,4021018,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV WITH 2 STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021019,CAR,PD,4021019,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV WITH 3 STENT ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021020,CAR,PD,4021020,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV WITH 4 STENTS ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021021,CAR,PD,4021021,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV WITH 5 STENTS ,(IMPLANT NOT INCLUDED)",2
SGH Jeddah ,4021022,CAR,PD,4021022,"PTCA (PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY) – TV WITH STENT ,(IMPLANT NOT INCLUDED) ",2
