SERVICE CODE,SERVICE DESCRIPTION,CATEGORY,gowth
7121244,EPITHELIAL RELATED ANTIGEN (MOC-31),LABORATORY,546.25
7121245,EPSTEIN BARR VIRUS (PCR),LABORATORY,1667.25
7121246,EPSTEIN BARR VIRUS ABS.,LABORATORY,726.75
7121247,ERYTHROPOCIETIN,LABORATORY,475.0
7121248,ESTRADIOL,LABORATORY,190.0
7121249,ESTROGEN,LABORATORY,190.0
7121250,ESTROGEN & PROGESTERON RECEPTORS (FROZEN TISSUE),LABORATORY,1045.0
7121251,"ETHANOL (S, U)",LABORATORY,199.5
7121252,ETHYL ALCOHOL,LABORATORY,199.5
7121253,ETIOCHOLANOLONE,LABORATORY,275.5
7121254,EV EBER PROBE,LABORATORY,2470.0
7121255,FACTOR II,LABORATORY,218.5
7121256,FACTOR IX,LABORATORY,285.0
7121257,FACTOR V,LABORATORY,218.5
7121258,FACTOR V GENE MUTATION,LABORATORY,1377.5
7121259,FACTOR VII,LABORATORY,218.5
7121260,FACTOR VIII,LABORATORY,475.0
7121261,FACTOR VIII ASSOCIATED AG.,LABORATORY,218.5
7121262,FACTOR VIII RISTOCETIN COFACTOR,LABORATORY,218.5
7121263,FACTOR X,LABORATORY,218.5
7121264,FACTOR XI,LABORATORY,218.5
7121265,FACTOR XII,LABORATORY,218.5
7121266,FACTOR XIII,LABORATORY,916.75
7121267,FACTORY VIII COAGULANT ACTIVITY,LABORATORY,285.0
7121268,"FAMILIAL MEDITRRANEAN FEVER (FMFV GEN, STAGE 1)",LABORATORY,4750.0
7121269,FASCIOLA ABS,LABORATORY,494.0
7121270,"FATTY ACIDS, NONESTERIFIED",LABORATORY,123.5
7121271,"FERRITIN, SERUM",LABORATORY,237.5
7121272,FIBROMAX TEST,LABORATORY,2280.0
7121273,FIBRONECTINE (PLAZMA PUNCTURE FLUID),LABORATORY,294.5
7121274,FILARIOSIS IGG ABS,LABORATORY,247.0
7121275,FLOURIDE (S),LABORATORY,304.0
7121276,FLOURIDE (U),LABORATORY,171.0
7121277,FLUCANOZOL,LABORATORY,399.0
7121278,FOLATE ( RED CELL ),LABORATORY,570.0
7121279,"FOLIC ACID, SERUM",LABORATORY,403.75
7121280,FOOD PANEL 20 IGE ,LABORATORY,902.5
7121281,FREE ANDROGEN INDEX,LABORATORY,845.5
7121282,FREE FATTY ACIDS,LABORATORY,123.5
7121283,FREE LIGHT CHAINS STRUCTURE ,LABORATORY,427.5
7121284,FREE PSA,LABORATORY,308.75
7121285,FREE T4,LABORATORY,190.0
7121286,FREE TESTOSTERONE,LABORATORY,403.75
7121287,FRUCTOSAMINE,LABORATORY,475.0
7121288,FRUCTOSE TEST,LABORATORY,403.75
7121289,FSH,LABORATORY,190.0
7121290,FT3,LABORATORY,304.0
7121291,FTA-ABS,LABORATORY,403.75
7121292,FUNGUS CULTURE BLOOD,LABORATORY,161.5
7121293,GABAPENTIN,LABORATORY,427.5
7121294,GALACTOSE 1 PHOSPHATE URIDYLTRASFERASE (QUANTATIVE,LABORATORY,460.75
7121295,GALACTOSE-I PHOSPHATES,LABORATORY,294.5
7121296,GALACTOSEMIA SCREENING,LABORATORY,403.75
7121297,GALECTIN-3,LABORATORY,760.0
7121298,GANGLIOSIDE PROFILE,LABORATORY,1596.0
7121299,GASTRIN,LABORATORY,394.25
7121300,GENTAMYCIN LEVEL (POST),LABORATORY,380.0
7121301,GENTAMYCIN LEVEL (PRE),LABORATORY,380.0
7121302,GGT,LABORATORY,71.25
7121303,"GLIADINE ABS IGA, IGG",LABORATORY,617.5
7121304,GLOBULIN,LABORATORY,57.0
7121305,GLUCAGON,LABORATORY,475.0
7121306,GLUCOSE ( GLUCOMETER) TEST,LABORATORY,38.0
7121307,GLUCOSE (SERUM) 2HPP,LABORATORY,57.0
7121308,GLUCOSE (SERUM) FASTING,LABORATORY,71.25
7121309,GLUCOSE (SERUM) RANDOM,LABORATORY,71.25
7121310,GLUCOSE TOLERANCE TEST,LABORATORY,190.0
7121311,GLUTAMATE DECARBOXYLASE ABS,LABORATORY,650.75
7121312,GLYPICAN 3,LABORATORY,855.0
7121313,GONOCOCCAL ABS,LABORATORY,209.0
7121314,GRANULOCYTE CYTOPLASMA,LABORATORY,475.0
7121315,GRANZYME B,LABORATORY,546.25
7121316,HAEMOGLOBIN DIFFERENT (A2 & F),LABORATORY,555.75
7121317,HAMS TEST,LABORATORY,256.5
7121318,HAPTOGLOBIN,LABORATORY,403.75
7121319,HB A2 QUANTITATIVE,LABORATORY,570.0
7121320,HBE ABS,LABORATORY,190.0
7121321,HBE AG,LABORATORY,190.0
7121322,HBV - DNA BY PCR,LABORATORY,1667.25
7121323,"HBV-DNA, QUALITATIVE",LABORATORY,1282.5
7121324,"HBV-DNA, QUANTITATIVE",LABORATORY,1425.0
7121325,HCV,LABORATORY,237.5
7121326,HCV GENOTYPING,LABORATORY,1995.0
7121327,HCV IGG ABS,LABORATORY,665.0
7121328,HCV-RNA (PCR) QUALITATIVE,LABORATORY,1667.25
7121329,HCV-RNA (PCR) QUANTITATIVE,LABORATORY,2232.5
7121330,HDL-CHOLESTEROL,LABORATORY,128.25
7121331,HELICOBACTER ANTIGEN,LABORATORY,475.0
7121332,HEPARIN INDUCED THROMBOCYTOPHENIA,LABORATORY,750.5
7121333,HEPATITIS DELTA ABS,LABORATORY,460.75
7121334,HEPATITIS E ANTIBODY,LABORATORY,403.75
7121335,HEPATITIS E ANTIGEN,LABORATORY,403.75
7121336,HEPATOCYTE,LABORATORY,760.0
7121337,HER2 DUAL ISH DNA PROBE,LABORATORY,2470.0
7121338,HERPES SIMPLEX ABS IGG & IGM,LABORATORY,679.25
7121339,HERPES SIMPLEX VIRUS (1 X 2) ANTIGEN,LABORATORY,237.5
7121340,HERPES SIMPLEX VIRUS 1X2 PCR,LABORATORY,1667.25
7121341,"HERPES SIMPLEX VIRUS ANTIBODY, TYPE I IGG SPECIFIC",LABORATORY,403.75
7121342,"HERPES SIMPLEX VIRUS ANTIBODY, TYPE II IGG SPECIFIC",LABORATORY,403.75
7121343,HERPES TYPE I ANTIBODIES IGM SPECIFIC,LABORATORY,475.0
7121344,HERPES TYPE II ANTIBODIES IGM SPECIFIC,LABORATORY,475.0
7121345,HHV-8,LABORATORY,855.0
7121346,HISTONE ABS,LABORATORY,560.5
7121347,HISTOPLASMOSIS ABS,LABORATORY,674.5
7121348,HIV 1/2 (W.B),LABORATORY,532.0
7121349,HIV-I RNA QUANT,LABORATORY,1282.5
7121350,"HLA FULL TYPING (A, B, C, DQ & DR)",LABORATORY,5063.5
7121351,HLA-B27,LABORATORY,1111.5
7121352,HOMOCYSTEINE ( P ),LABORATORY,441.75
7121353,HOMOVANILLIC ACID URINE,LABORATORY,403.75
7121354,HSV-TYPE 1,LABORATORY,855.0
7121355,HUMAN GROWTH HORMONE,LABORATORY,403.75
7121356,HUMAN PAPILLOMA VIRUS,LABORATORY,1026.0
7121357,HUMAN PAPILLOMA VIRUS BY PCR,LABORATORY,1080.0
7121358,HUMAN PLACENTAL LACTOGEN (HPL),LABORATORY,403.75
7121359,HYDROXPROLINE TOTAL,LABORATORY,475.0
7121360,HYDROXYPROLINE,LABORATORY,475.0
7121361,"HYPEROXALURIA, PRIMARY (AGXT) ",LABORATORY,6840.0
7121362,"IG D, QUANT",LABORATORY,114.0
7121363,IGA,LABORATORY,323.0
7121364,IGE,LABORATORY,190.0
7121365,IGF 1,LABORATORY,783.75
7121366,IGFBP - 3,LABORATORY,617.5
7121367,IGG,LABORATORY,323.0
7121368,IGG SUBCLASSES 1 TO 4,LABORATORY,1187.5
7121369,IGG4,LABORATORY,760.0
7121370,IGM,LABORATORY,323.0
7121371,IMMUNE REACTIVE TRYPSIN,LABORATORY,337.25
7121372,IMMUNOGLOBULIN D (IGD),LABORATORY,304.0
7121373,"IMMUNOGLOBULIN ELECTROPHORESIS, URINE",LABORATORY,403.75
7121374,IMMUNOHISTOCHEMISTRY WITH ABS AGAINST IGA,LABORATORY,1890.5
7121375,INFLUENZA A,LABORATORY,104.5
7121376,INHIBIN B,LABORATORY,560.5
7121377,INSULIN ABS (HUMAN),LABORATORY,199.5
7121378,INSULIN ANTIBODY,LABORATORY,522.5
7121379,INSULIN AUTO ANTIBODIES,LABORATORY,475.0
7121380,INSULIN RECEPTOR ABS IGG,LABORATORY,817.0
7121381,"INSULIN, SERUM",LABORATORY,190.0
7121382,INTERLEUKIN 2 RECEPTOR (S),LABORATORY,684.0
7121383,INTERLEUKIN 6,LABORATORY,703.0
7121384,INTRINSIC FACTOR ABS,LABORATORY,380.0
7121385,IODINE,LABORATORY,294.5
7121386,IONIZED CALCIUM,LABORATORY,237.5
7121387,"IRON, SERUM",LABORATORY,95.0
7121388,ISLET CELL  ABS,LABORATORY,308.75
7121389,JAK-2 GENE ANALYSIS,LABORATORY,3847.5
7121390,JAK-2-GENE (V617F MUTATION),LABORATORY,5130.0
7121391,KAPPA PROBE ISH,LABORATORY,2470.0
7121392,LACTIC ACID (SERUM),LABORATORY,61.75
7121393,LAMBDAMRNA PROBE,LABORATORY,2470.0
7121394,LAMOTRIGEN,LABORATORY,394.25
7121395,LDH,LABORATORY,128.25
7121396,LDH ISOENZYMES,LABORATORY,342.0
7121397,LDL-CHOLESTEROL,LABORATORY,128.25
7121398,LEAD U,LABORATORY,332.5
7121399,LEGIONELLA ABS.,LABORATORY,1111.5
7121400,LEGIONELLA PNEMOPHILA ANTIGEN,LABORATORY,266.0
7121401,LEISHMANIA ANTIBODIES,LABORATORY,475.0
7121402,LEPTIN,LABORATORY,508.25
7121403,LEPTOSPIRA ABS,LABORATORY,712.5
7121404,LEVETIRAZETAM,LABORATORY,422.75
7121405,LH,LABORATORY,190.0
7121406,LIPASE,LABORATORY,95.0
7121407,"LIPID PROFILE: T. CHOL., HDL , LDL, TRIGLYCERIDES",LABORATORY,380.0
7121408,LIPOPROTEIN A,LABORATORY,237.5
7121409,LIPOPROTEIN ELECTROPHORESIS,LABORATORY,403.75
7121410,LISTERIA ABS,LABORATORY,389.5
7121411,LITHIUM,LABORATORY,190.0
7121412,LIVER CYTOSOL1 IGG SPEC.  ABS (LCI),LABORATORY,275.5
7121413,"LIVER FUNCTION TEST (TO/DIR BIL, SGOT, SGPT, ALK.PH)",LABORATORY,380.0
7121414,LIVER KIDNEY MICROSOMAL ANTIBODIES,LABORATORY,555.75
7121415,LUPUS ANTICOAGULANT,LABORATORY,783.75
7121416,LYSOSME,LABORATORY,546.25
7121417,MAGNESIUM (SERUM),LABORATORY,76.0
7121418,MAMAGLOBULIN,LABORATORY,546.25
7121419,MEASLES ABS IGG & IGM,LABORATORY,508.25
7121420,MELANOSOME (HMB45,LABORATORY,546.25
7121421,MELATONIN,LABORATORY,465.5
7121422,MERCURY,LABORATORY,494.0
7121423,METANEPHINES & NORMATANEPHRINES,LABORATORY,736.25
7121424,"METANEPHRINES, URINE",LABORATORY,403.75
7121425,METHEAMOGLOBIN,LABORATORY,266.0
7121426,METHOTREXATE,LABORATORY,460.75
7121427,METHYLATION ANALYSIS,LABORATORY,3562.5
7121428,METHYLMALONIC ACID,LABORATORY,551.0
7121429,METHYLTETRAHYDROFOLATE REDUCTASE,LABORATORY,1795.5
7121430,MICROALBUMIN,LABORATORY,114.0
7121431,MICROALBUMINURIA,LABORATORY,123.5
7121432,MICROSOMAL ANTIBODY,LABORATORY,403.75
7121433,MITOCHONDRIAL ANTIBODY,LABORATORY,403.75
7121434,MOLECULAR GENETIC ANALYSIS FOR ALPHA THALASSEMIA,LABORATORY,8122.5
7121435,MOLECULAR GENETIC ANALYSIS FOR BETA THALASSEMIA,LABORATORY,5557.5
7121436,MOLECULAR GENETIC ANALYSIS FOR X LINKED ADRENOLEUKODYSTROPHY,LABORATORY,10830.0
7121437,MOLECULAR GENETIC FOR NTRK1 GENE,LABORATORY,11400.0
7121438,MOLECULAR GENETIC STUDY (DNA ANALYSIS),LABORATORY,4275.0
7121439,MOLECULAR GENETIC TEST FOR NPHS1 - CARRIER GENE,LABORATORY,2850.0
7121440,MONOSPOT ABS,LABORATORY,736.25
7121441,MRD (MINIMAL RESIDUAL DISEASE) TEST,LABORATORY,3705.0
7121442,MUCOPOLYSACCARIDES DIFFERENTIATION,LABORATORY,1045.0
7121443,MUMPS IGG & IGM,LABORATORY,332.5
7121444,MUMPS VIRUS ANTIBODY,LABORATORY,403.75
7121445,MUSK ABS,LABORATORY,427.5
7121446,MYCOPHENOLIC ACID,LABORATORY,266.0
7121447,MYCOPLASMA PNEUMONIA ABS.,LABORATORY,403.75
7121448,MYELIN BASCI PROTEIN,LABORATORY,546.25
7121449,MYELOPEROXIDASE,LABORATORY,546.25
7121450,MYELOPEROXIDASE ABS (MPO),LABORATORY,351.5
7121451,MYO-D1,LABORATORY,546.25
7121452,MYOGLOBIN QUANT,LABORATORY,323.0
7121453,"MYOSIN, SMOOTH MUSCLE",LABORATORY,546.25
7121454,NAPSIN A,LABORATORY,546.25
7121455,NEONATAL SCREENING,LABORATORY,783.75
7121456,NEURONE SPECIFIC ENOLASE,LABORATORY,437.0
7121457,NT-PRO-BNP,LABORATORY,427.5
7121458,OCT ¾,LABORATORY,760.0
7121459,OCT-04,LABORATORY,546.25
7121460,OESTRADIOL,LABORATORY,190.0
7121461,OLIGOCLONAL BAND,LABORATORY,475.0
7121462,OPIATES,LABORATORY,237.5
7121463,ORGANIC ACID SCREEN,LABORATORY,1235.0
7121464,OSMOLALITY,LABORATORY,285.0
7121465,"OSMOLARITY, SERUM / URINE",LABORATORY,128.25
7121466,OSTEOCALCIN,LABORATORY,475.0
7121467,OXALATE,LABORATORY,213.75
7121468,P-ANCA,LABORATORY,285.0
7121469,PANCREATIC ELASTASE (FAECES),LABORATORY,475.0
7121470,PARACETAMOL,LABORATORY,380.0
7121471,PARAGONIMUS ABS,LABORATORY,294.5
7121472,PARATHYROID HORMONE (PTH),LABORATORY,546.25
7121473,PARIETAL CELL ANTIBODY,LABORATORY,403.75
7121474,PARVO VIRUS ABS B-19 IGG & IGM,LABORATORY,589.0
7121475,PARVORIRUS B19,LABORATORY,546.25
7121476,PAX-5,LABORATORY,546.25
7121477,PAX-8,LABORATORY,760.0
7121478,PD-1,LABORATORY,760.0
7121479,PERICARDIAL FLUID (PHYSICAL&CHEMICAL TEST ONLY),LABORATORY,190.0
7121480,PERITONEAL FLUID (PHYSICAL&CHEMICAL ONLY),LABORATORY,190.0
7121481,PHENCYCLIDINE,LABORATORY,237.5
7121482,PHENOBARBITAL,LABORATORY,261.25
7121483,PHENOL,LABORATORY,489.25
7121484,PHENYTOIN,LABORATORY,190.0
7121485,PHOSPOROUS (SERUM),LABORATORY,61.75
7121486,PKU SCREEN,LABORATORY,494.0
7121487,PLASMINOGEN,LABORATORY,389.5
7121488,PLATELET ANTIBODIES,LABORATORY,4256.0
7121489,PLEURAL FLUID (PHYSICAL&CHEMICAL ONLY),LABORATORY,190.0
7121490,PM1 ABS,LABORATORY,380.0
7121491,PNEUMOCYSTIC CARINII,LABORATORY,2850.0
7121492,POLIO VIRUS ANTIBODY,LABORATORY,403.75
7121493,POLYOMA JCV-DNA,LABORATORY,1026.0
7121494,PORPHOBILINOGEN QUANT.,LABORATORY,232.75
7121495,PORPHYRINS,LABORATORY,1235.0
7121496,POTASSIUM URINE,LABORATORY,61.75
7121497,"POTASSIUM, SERUM OR URINE",LABORATORY,61.75
7121498,"POTASSIUM, STOOL",LABORATORY,123.5
7121499,PR,LABORATORY,855.0
7121500,PRA (PANEL REACTIVE ANTIBODY),LABORATORY,1710.0
7121501,PREGNANDIOL,LABORATORY,403.75
7121502,PRENATAL SCREENING FOR HIGH RISK PREGNANCY/CRYPTOGENETIC TEST,LABORATORY,7695.0
7121503,PRESEPSIN,LABORATORY,332.5
7121504,PRICKLE CELL DESMOSMES ABS,LABORATORY,218.5
7121505,PRO INSULIN INTACT,LABORATORY,304.0
7121506,PROGESTERONE,LABORATORY,190.0
7121508,PROLACTIN,LABORATORY,546.25
7121509,PROSTATE SPECIFIC ANTIGEN,LABORATORY,546.25
7121510,PROSTATIC ACID PHOSPHATASE,LABORATORY,427.5
7121511,PROTEIN A AND LEUCOCYTE,LABORATORY,465.5
7121512,PROTEIN C (ANTIGEN & ACTIVITY),LABORATORY,1220.75
7121513,PROTEIN C ACTIVITY,LABORATORY,617.5
7121514,"PROTEIN S (TOTAL,FREE & ACTIVITY)",LABORATORY,1900.0
7121515,PROTEIN S ACTIVITY,LABORATORY,617.5
7121516,PROTEIN TOTAL,LABORATORY,142.5
7121517,PROTHROMBIN MUTATION ,LABORATORY,874.0
7121518,PSAP (PROSTATIC ACID PHOSPHATASE),LABORATORY,546.25
7121519,PSEUDOCHOLINESTERASE,LABORATORY,114.0
7121520,PTEN,LABORATORY,760.0
7121521,PTEN (BREAST CANCER),LABORATORY,1045.0
7121522,PTH INTACT,LABORATORY,584.25
7121523,PYRILINKS D,LABORATORY,403.75
7121524,PYRUVATE KINASE,LABORATORY,123.5
7121525,Q FEVER (COXIELLA BURNETTI IGG & IGM ABS),LABORATORY,636.5
7121526,QUALITATIVE MOLECULAR BLR/ABL DIAGNOSTICS,LABORATORY,3306.0
7121527,QUANTIFERON (TB GOLD),LABORATORY,1026.0
7121528,QUANTIFERON TBGOLD PLUS,LABORATORY,1548.5
7121529,QUANTITATIVE MOLECULAR BCR/ABL DIAGONOSTICS,LABORATORY,6612.0
7121530,RAST,LABORATORY,403.75
7121531,RCC,LABORATORY,546.25
7121532,"RENAL (KIDNEY) FUNCTION TESTS (BUN, CR, NA, K, CL & URIC ACID)",LABORATORY,380.0
7121533,RENAL TUBULAR DYSGENESIS (AGT) SINGLE GENE ANALYSIS,LABORATORY,3087.5
7121534,RENIN .,LABORATORY,432.25
7121535,RESPIRATORY SYNCTIAL VIRUS ABS.,LABORATORY,403.75
7121536,RETT SYNDROME (MECP2-GENE) TEST,LABORATORY,14107.5
7121537,RHINOVIRUS RNA,LABORATORY,1757.5
7121538,RIBOSOMAL ABS,LABORATORY,536.75
7121539,RICKETTSIA ABS,LABORATORY,684.0
7121540,RIVOTRIL,LABORATORY,332.5
7121541,RNP / SM,LABORATORY,247.0
7121542,RO,LABORATORY,560.5
7121543,"RUBELLA, IGG SPECIFIC",LABORATORY,403.75
7121544,"RUBELLA, IGM SPECIFIC",LABORATORY,403.75
7121545,"SACCAROMYCES IGA, IGG, IGM ABS STRUCTURE",LABORATORY,332.5
7121546,SALMONEILA ABS,LABORATORY,389.5
7121547,SCHAWACHMAN DIAMOND SYNDROME,LABORATORY,21660.0
7121548,SCHISTOSOMA ANTIBODY,LABORATORY,403.75
7121549,SCL 70 ABS,LABORATORY,332.5
7121550,SECRETOR IGA (SALIVA),LABORATORY,323.0
7121551,SELENIUM,LABORATORY,389.5
7121552,SEMEN ANALYSIS,LABORATORY,114.0
7121553,SEROTONIN,LABORATORY,247.0
7121554,SERUM B-CROSSLAPS (CTX),LABORATORY,570.0
7121555,SGOT (AST),LABORATORY,71.25
7121556,SGPT (ALT),LABORATORY,71.25
7121557,SHBG (SEX HORMONE BINDING GLOBULIN),LABORATORY,408.5
7121558,SHIGELLA ABS,LABORATORY,380.0
7121559,SIROLIMUS,LABORATORY,560.5
7121560,SMOOTH MUSCLE ANTIBODY,LABORATORY,403.75
7121561,SODIUM URINE,LABORATORY,61.75
7121562,"SODIUM, SERUM OR URINE",LABORATORY,71.25
7121563,"SODIUM, STOOL",LABORATORY,123.5
7121564,SOLUBLE LIVER ANTIGEN ABS,LABORATORY,285.0
7121565,SPERM VITALITY,LABORATORY,190.0
7121566,SPERMATOZOAL ANTIBODIES,LABORATORY,475.0
7121567,"SPINAL MUSCULAR ATROPHY (SMN1,MLPA)",LABORATORY,4560.0
7121568,SSA AND SSB ABS (ANTI RO / ANTI LA),LABORATORY,679.25
7121569,STONE ANALYSIS,LABORATORY,190.0
7121570,STRIATED MUSCLE ANTIBODY,LABORATORY,403.75
7121571,SULFONYLUREA STRUCTURE,LABORATORY,1092.5
7121572,SV40,LABORATORY,760.0
7121573,SYNOVIAL FLUID EXAMINATION,LABORATORY,128.25
7121574,T + B LYMPHOCYTE DIFFERENTIATION,LABORATORY,1330.0
7121575,T B G,LABORATORY,237.5
7121576,T.B MONOCLONAL ANTIBODIES,LABORATORY,403.75
7121577,T4 AND T8 LIMPHOCYTES,LABORATORY,475.0
7121578,TACROLIMUS,LABORATORY,508.25
7121579,TAENIA ABS,LABORATORY,460.75
7121580,TAG-72,LABORATORY,546.25
7121581,TAU-PROTEIN,LABORATORY,783.75
7121582,TB PCR,LABORATORY,1667.25
7121583,TDT,LABORATORY,546.25
7121584,TESTOSTERONE,LABORATORY,475.0
7121585,THEOPHYLLIN LEVEL,LABORATORY,190.0
7121586,"THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME(SLC19A2, REF)",LABORATORY,9063.0
7121587,THIOCYANATE & CYANIDE,LABORATORY,294.5
7121588,THYREOGLOBULIN,LABORATORY,408.5
7121589,THYROGLOBULIN ANTIBODY,LABORATORY,403.75
7121590,THYROID ANTIBODY,LABORATORY,403.75
7121591,THYROID MICROSOMAL ABS,LABORATORY,114.0
7121592,THYROID UPTAKE,LABORATORY,190.0
7121593,THYROXINE BINDING GLOBULIN,LABORATORY,209.0
7121594,TORCH SCREENING,LABORATORY,665.0
7121595,TOTAL AND DIRECT BILIBURIN,LABORATORY,114.0
7121596,"TOTAL BILIBURIN, NEONATAL",LABORATORY,57.0
7121597,TOTAL BILIRUBIN,LABORATORY,71.25
7121598,TOTAL CHOLESTEROL,LABORATORY,95.0
7121599,TOTAL CO2,LABORATORY,61.75
7121600,TOTAL HLA TYPING,LABORATORY,2517.5
7121601,TOTAL IRON BINDING CAPACITY (TIBC),LABORATORY,161.5
7121602,"TOTAL PROTEIN, SERUM",LABORATORY,71.25
7121603,TOXOCARA ABS CANIS IGG & IGM WESTERNBLOT,LABORATORY,874.0
7121604,"TOXOPLASMOSIS, IGG SPECIFIC",LABORATORY,403.75
7121605,"TOXOPLASMOSIS, IGM SPECIFIC",LABORATORY,403.75
7121606,TPMT ACTIVITY,LABORATORY,285.0
7121607,TRACP,LABORATORY,546.25
7121608,"TRANFERRITIN, SERUM",LABORATORY,403.75
7121609,TRANSFERRIN,LABORATORY,299.25
7121610,TREPONEMAL IGG AND IGG ABS IMMUNOBLOT,LABORATORY,1368.0
7121611,TREPONEMAL PALLIDUM ANTIBODIES,LABORATORY,361.0
7121612,TRIGLYCERIDES,LABORATORY,190.0
7121613,TRIPLE TEST,LABORATORY,560.5
7121614,TROP T.,LABORATORY,190.0
7121615,TRYPSIN,LABORATORY,403.75
7121617,TRYPTASE,LABORATORY,546.25
7121618,TSC 1 GENE,LABORATORY,24462.5
7121619,TSC 2 GENE,LABORATORY,24462.5
7121620,TSH,LABORATORY,546.25
7121622,TSH RECEPTOR ANTIBODY    ,LABORATORY,555.75
7121623,TSH-NEONATAL,LABORATORY,190.0
7121624,U1-NRNP,LABORATORY,285.0
7121625,URIC ACID (SERUM),LABORATORY,71.25
7121626,UROPLAKIN III,LABORATORY,546.25
7121627,VANCOMYCIN PEAK,LABORATORY,603.25
7121628,VANCOMYCIN TROUGH,LABORATORY,603.25
7121629,"VANILLYMANDELIC ACID (VMA), URINE",LABORATORY,403.75
7121630,VARICELLA ZOSTER IGM & IGG SPEC ABS,LABORATORY,855.0
7121631,VASOPRESSIN (ADH),LABORATORY,902.5
7121632,VENOUS BLOOD GASES,LABORATORY,237.5
7121633,VERY LONG CHAIN FATTY ACIDS (VLCFA),LABORATORY,1415.5
7121634,VIGABATRIN,LABORATORY,555.75
7121635,VILLIN,LABORATORY,546.25
7121636,VIMENTIN,LABORATORY,546.25
7121637,VITAMIN A (RETINOL),LABORATORY,247.0
7121638,VITAMIN B2 (FAD),LABORATORY,418.0
7121639,VITAMIN C (ASCORBIC ACID),LABORATORY,688.75
7121640,"VITAMIN D1,25 (1.25 DIHYDROXY-CHOLECALCIFEROL)",LABORATORY,950.0
7121641,VITAMIN E,LABORATORY,403.75
7121642,VITAMIN K1,LABORATORY,437.0
7121643,VITAMINE B1 THIAMINE,LABORATORY,294.5
7121644,"VITAMINE B12, SERUM",LABORATORY,403.75
7121645,VITAMINE B6 (PYRIDOXYL PHOSPHATE),LABORATORY,427.5
7121646,VITAMINE D3 (25 HYDROXICHOLICALCIFEROL),LABORATORY,546.25
7121647,VORICONAZOLE,LABORATORY,555.75
7121648,WAALER ROSE,LABORATORY,403.75
7121649,WARFARIN,LABORATORY,418.0
7121650,WESTERNBLOT ECHINOCOCCUS GRANULOSA IGG & IGM,LABORATORY,1596.0
7121651,WESTERNBLOT ECHINOCOCCUS MULTIOCULARIS IGG & IGM,LABORATORY,1596.0
7121652,XYLOSE,LABORATORY,147.25
7121653,ZAP-70,LABORATORY,855.0
7121654,ZINC,LABORATORY,332.5
7121655,ZONISAMIDE,LABORATORY,342.0
7122001,ANTI FACTOR XA DETERMINATION (ANTI-XA),LABORATORY,427.5
7122002,BLEEDING TIME,LABORATORY,38.0
7122003,BONE MARROW ( B.M. ) ASPIRATIONAL BIOPSY,LABORATORY,3800.0
7122004,BONE MARROW EXAMINATION,LABORATORY,403.75
7122005,CBC WITH DIFFERENTIAL COUNT,LABORATORY,123.5
7122006,CLOTTING TIME,LABORATORY,38.0
7122007,COMPLETE BLOOD COUNT (CBC),LABORATORY,114.0
7122008,D-DIMER,LABORATORY,237.5
7122009,ERYTHROCYTE SEDIMENTATION RATE (ESR),LABORATORY,38.0
7122010,FIBRINOGEN,LABORATORY,237.5
7122011,FILARIAL EXAMIANTION,LABORATORY,61.75
7122012,G6PD (QUANTITATIVE),LABORATORY,161.5
7122013,GLYCOSYLATED HEMOGLOBIN (HB AIC),LABORATORY,403.75
7122014,HEINZ BODY STAIN,LABORATORY,61.75
7122015,HEMATOCRITE,LABORATORY,33.25
7122016,HEMOGLOBIN,LABORATORY,33.25
7122017,HEMOGLOBIN F DETERMINATION (KLEINHAUER),LABORATORY,161.5
7122018,HEMOGLOBIN H INCLUSION,LABORATORY,237.5
7122019,"IMMUNOPHENOTYPING FOR LEUKOMIA / LYMPHOMA (WHOLE BLOOD, BONE MARROW)",LABORATORY,3705.0
7122020,L.E. PREPARATION,LABORATORY,80.75
7122021,LEISHMANIA SMEAR,LABORATORY,95.0
7122022,LOW MOLECULAR WEIGHT HEPARIN DETERMINATION (LMWH),LABORATORY,427.5
7122023,MALARIA EXAMINATION,LABORATORY,61.75
7122024,OSMOTIC FRAGILITY TEST,LABORATORY,237.5
7122025,"PARTIAL THROMBOPLASTINE TIME (PTT,APTT)",LABORATORY,237.5
7122026,PERIPHERAL SMEAR,LABORATORY,61.75
7122027,PLATELET COUNT,LABORATORY,33.25
7122028,PROTHROMBINE TIME (PT),LABORATORY,95.0
7122029,RETICULOCYTE COUNT,LABORATORY,33.25
7122030,SICKLE CELL SCREEN,LABORATORY,47.5
7122031,THALASSEMIA SCREENING,LABORATORY,380.0
7122032,WBC COUNT,LABORATORY,33.25
7123001,ACID FAST STAINING,LABORATORY,61.75
7123002,ANAEROBIC CULTURE,LABORATORY,147.25
7123003,BLOOD CULTURE,LABORATORY,161.5
7123004,C & S (CULTURE & SENSITIVITY),LABORATORY,137.75
7123005,C & S AXILLA,LABORATORY,128.25
7123006,C & S BLOOD,LABORATORY,128.25
7123007,C & S CERVICAL SMEAR,LABORATORY,128.25
7123008,C & S CONJUNCTIVA,LABORATORY,128.25
7123009,C & S EAR DISCHARGE,LABORATORY,128.25
7123010,C & S GASTRIC ASPIRATE,LABORATORY,128.25
7123011,C & S PROSTRATE,LABORATORY,128.25
7123012,C & S PUS,LABORATORY,128.25
