Unified Code,Unified Description,Type,SBS V2,LOS,Discount 3 years contract,Price 2026
FMLAB-9237,HISTOPLASMOSIS ABS.,Lab,73100-23-20,-,0.15,793.5
FMLAB-5043,HIV,Lab,73100-22-70,-,0.15,193.1
FMLAB-9265,HIV Qualitative PCR,Lab,73050-55-20,-,0.15,1463.8
FMLAB-5044,HIV/Western Blot,Lab,73050-31-10,-,0.15,895.1
FMLAB-9288,HIV-1 QUANTITATIVE PCR,Lab,73050-55-20,-,0.15,2262.7
FMLAB-9077,HLA B 27,Lab,73100-28-20,-,0.15,1116.9
FMLABM0168,HLA FINAL CROSS MATCH DONOR,Lab,73100-28-80,-,0.15,1676.7
FMLABM0169,HLA FINAL CROSS MATCH RECIPIENT,Lab,73100-28-70,-,0.15,1676.7
FMLAB-9078,HLA Full Tissue Typing,Lab,73100-28-30,-,0.15,6412.6
FMLABM0165,Hla Initial Cross Match Donor,Lab,73100-28-80,-,0.15,1545.1
FMLABM0166,HLA INITIAL CROSS MATCH RECIPIENT,Lab,73100-28-80,-,0.15,1999.7
FMLABM0167,HLA PRA CLASS I SA - LUMINEX,Lab,73350-03-20,-,0.15,3090.2
FMLABM0170,HLA PRA CLASS II SA - LUMINEX,Lab,73350-03-50,-,0.15,3090.2
FMLABM0164,HLA Resolution Typing (Class I and Class II)/ Recipient,Lab,73100-29-00,-,0.15,4120.2
FMLAB-9530,HLA TYPING (A.B.C ),Lab,73100-28-30,-,0.15,4356.0
FMLAB-9531,Hla Typing (Dq) Pcr,Lab,73100-28-30,-,0.15,1602.3
FMLABM0126,HLA TYPING (DR+DQ)(CLASS II),Lab,73100-28-40,-,0.15,1081.6
FMLAB-9246,HLA-B5,Lab,73350-03-40,-,0.15,3486.1
FMLAB-6771,HOMA-IR (INSULIN RESISTANCE) TEST,Lab,73050-15-71,-,0.15,337.9
FMLAB-9300,Homocysteine,Lab,73050-19-70,-,0.15,1351.7
FMLAB-9533,HOMOGENTISIC ACID,Lab,73150-01-20,-,0.15,210.7
FMLAB-9168,Homo-Valinilic Acid (HVA),Lab,73050-19-80,-,0.15,302.4
FMLAB-5039,HSV I IgG,Lab,73100-23-00,-,0.15,322.7
FMLAB-5042,HSV II IgM,Lab,73100-23-10,-,0.15,235.1
FMLAB-9535,HTLV Ab-I & II,Lab,73100-22-50,-,0.15,1458.1
FMLAB-6009,Hvs (High Vaginal Swab) C/S,Lab,73050-40-80,-,0.15,312.4
FMLAB-9080,Hydroxy Indole Acetic Acid (5-Hiaa),Lab,73050-20-00,-,0.15,370.8
FMLAB-2101,HYDROXY PROLINE,Lab,73050-20-30,-,0.15,524.0
FSLAB0008,IDH1- IDH2 -NGC,Lab,73050-39-70,-,0.15,2861.3
FMLAB-9539,IDUORONATE SULFATASE,Lab,73050-08-40,-,0.15,817.5
FMLAB-8052,IGA (CSF),Lab,73050-14-21,-,0.15,257.2
FMLAB-9540,IgA Secretor (Saliva Or Lacrimal Fluid),Lab,73100-09-80,-,0.15,545.9
FMLAB-9541,IgA Sub-Classes 1 & 2,Lab,73100-10-60,-,0.15,1458.1
FMLAB-9542,IGF 1,Lab,73050-33-40,-,0.15,903.7
FMLAB-9543,IGFBP-3 (Insulin-Like-Growth F BP-3),Lab,73000-03-00,-,0.15,997.6
FMLAB-8051,IGG (CSF),Lab,73050-14-21,-,0.15,257.2
FMLAB-9248,IGG QUANTITATIVE (CSF),Lab,73050-14-21,-,0.15,446.0
FMLAB-9165,IgG Sub Classes (1-4),Lab,73050-14-30,-,0.15,1109.6
fmlab-1334,Igg4,Lab,73050-43-50,-,0.15,739.0
FMLAB-8053,IGM (CSF),Lab,73050-14-21,-,0.15,257.2
FMLAB-5088,IL6 + CRP,Lab,73100-11-50,-,0.15,454.2
FMLAB-9545,IMIPRAMINE / DESIPRAMINE,Lab,73300-05-60,-,0.15,1169.7
FMLABM0146,IMMUNE REACTIVE TRYPSIN,Lab,73050-01-50,-,0.15,194.7
FMLAB-2133,IMMUNO HISTOCHEMISTRY PANEL (12MARKERS),Lab,73200-08-40,-,0.15,5804.3
FMLAB-2134,IMMUNO HISTOCHEMISTRY PANEL (15MARKERS),Lab,73200-08-40,-,0.15,7256.1
FMLAB-2131,IMMUNO HISTOCHEMISTRY PANEL (6MARKERS),Lab,73200-08-40,-,0.15,2902.7
FMLAB-2132,IMMUNO HISTOCHEMISTRY PANEL (9MARKERS),Lab,73200-08-40,-,0.15,4353.5
FMLAB-8511,IMMUNOFLUORENCE EBV G,Lab,73100-21-70,-,0.15,158.1
fmlab-3071,Immunoglobulin D (Igd),Lab,73050-61-60,-,0.15,287.8
FMLAB-2049,Immunoglobulin G (Total L IgG),Lab,73050-14-21,-,0.15,193.1
FMLAB-2052,"Immunoglobulin IgG, IgA & IgM",Lab,73050-14-21,-,0.15,370.8
FMLAB-2050,Immunoglobulin M(Total IgM),Lab,73050-14-21,-,0.15,193.1
FMLAB-8084,IMMUNOHISTOCHEMISTRY (SINGLE MARKER),Lab,73200-08-40,-,0.15,402.2
FMLAB-8015,Immunohistochemistry Panel,Lab,73200-08-40,-,0.15,1230.9
FMLAB-9182,Immunophenotyping,Lab,73100-29-20,-,0.15,1652.7
FMLAB-1034,Indirect Coombs Test,Lab,73250-00-40,-,0.15,140.8
FMLAB-9546,INDOXY SULFATE,Lab,73050-34-30,-,0.15,481.6
FMLABM0160,INFLIXIMAB (REMICADE) LEVEL,Lab,73300-01-42,-,0.15,227.1
fmlab-1335,Influenza A,Lab,73050-52-60,-,0.15,119.9
FMLAB-8104,"INFLUENZA A, B AND H1N1 BY PCR",Lab,73050-52-80,-,0.15,25.1
FMLAB-8233,INHIBIN B SERUM LEVEL,Lab,73100-15-70,-,0.15,648.9
FMLAB-9549,Insulin,Lab,73050-20-90,-,0.15,381.1
FMLAB-9085,Insulin Abs,Lab,73100-15-80,-,0.15,459.9
FMLAB-9550,Insulin Receptor Abs IgA & IgG,Lab,73100-15-80,-,0.15,717.3
FMLABM0116,INTERLEUKIN 2 RECEPTOR (sCD25) (SERUM),Lab,73100-09-80,-,0.15,432.6
fmlab-1336,INTERLEUKIN 6,Lab,73350-06-00,-,0.15,622.5
FMLABM0085,INTESTINAL PERMIABILITY,Lab,99999-99-99,-,0.15,324.5
FMLAB-9552,Intrinsic Factor Abs,Lab,73050-21-00,-,0.15,498.0
FMLAB-9553,Iodine (Total),Lab,73050-24-30,-,0.15,481.6
FMLAB-9154,Ionized Calcium,Lab,73050-05-50,-,0.15,455.9
FMLAB-9554,IRON (DESFERAL TEST) (U),Lab,73150-01-20,-,0.15,298.3
FMLAB-2053,Iron (Fe),Lab,73050-21-10,-,0.15,119.3
FMLAB-9292,IRON BIOPSY LIVER TISSUE,Lab,73200-02-60,-,0.15,755.2
FMLAB-1046,Iron Stain,Lab,73100-07-60,-,0.15,332.5
FMLAB-9086,Islet Cell Abs,Lab,73100-16-00,-,0.15,397.1
FMLAB-9556,ISOAGGLUTININGS A1 A2  B,Lab,73100-12-20,-,0.15,664.9
FMLAB-1507,ISOCHROMOSOME X TURNER SYNDROME FISH,Lab,73200-04-70,-,0.15,1898.7
FMLAB-9558,ISONIACID / INH,Lab,73300-09-70,-,0.15,586.9
FMLAB-1627,JACK2-MUTATION ANALYSIS,Lab,73350-02-20,-,0.15,3856.1
FMLABM0089,JAK 2 GENE MUTATION (EXON 14),Lab,73350-02-20,-,0.15,3568.7
FMLAB-9559,JAPAN B ENCEPHALITIS ABS,Lab,73100-21-00,-,0.15,626.6
FMLAB10269,Kappa Light Chains,Lab,73050-25-40,-,0.15,402.2
FMLAB-8229,KEPPRA LEVEL (LEVETIRACETAM),Lab,73300-01-70,-,0.15,436.0
FMLAB-2095,Ketones & Glucose In Urine,Lab,73050-00-00,-,0.15,38.5
fmlab-1337,Ki-67 (Mib-1),Lab,73350-06-41,-,0.15,402.2
FMLAB-2067,Kidney Stone Analysis,Lab,73050-05-90,-,0.15,252.1
FMLAB1010,Kras-Nras-Braf-Egfr-Pik3Ca,Lab,73200-09-50,-,0.15,510.1
FMLAB-5046,L.E. TEST,Lab,73200-03-60,-,0.15,106.7
FMLAB-9560,LACRIMAL GLAND ABS,Lab,73050-39-70,-,0.15,481.6
FMLAB-9179,Lactate (Lactic Acid),Lab,73050-21-70,-,0.15,281.6
FMLAB-2305,LAMBDA LIGHT CHAINS,Lab,73100-15-50,-,0.15,382.6
FMLAB-9562,LAMBLIA ABS,Lab,73100-22-10,-,0.15,225.8
FMLAB-9316,Lamotrigin,Lab,73300-01-50,-,0.15,513.1
FMLAB-9564,LAP (LEUCINE AMINO PEPTIDASE),Lab,73050-22-90,-,0.15,154.6
FMLAB-2054,LDH (Lactate Dehydrogenase),Lab,73050-21-80,-,0.15,134.1
FMLAB-9565,LDH Isoenzyme,Lab,73050-21-90,-,0.15,322.9
Fmlab-9913,LDL Cholesterol,Lab,73050-23-80,-,0.15,281.5
FMLAB-9046,Lead,Lab,73050-22-40,-,0.15,513.9
FMLAB-9567,Legionella Abs,Lab,73100-24-30,-,0.15,1056.2
FMLAB-9569,LEGIONELLA PNEUMOPHILA PCR,Lab,73050-55-80,-,0.15,1602.3
FMLAB-9568,Legionella Pneumphila Ag,Lab,73050-55-80,-,0.15,441.9
FMLAB-9566,Leishmania Antibody IgG,Lab,73100-24-40,-,0.15,955.0
FMLAB-3045,LEPTIN,Lab,73050-39-70,-,0.15,618.4
FMLAB-9202,Leptospira Abs,Lab,73100-24-50,-,0.15,703.2
FMDER-0029,Lesion Smear,Lab,73200-01-80,-,0.15,99.9
FMLAB-1088,Leucocyte Count & Differential,Lab,73100-00-10,-,0.15,206.5
FMLAB-1588,LEVETIRAZETAM,Lab,73300-01-70,-,0.15,419.9
FMLAB-3039,LHRH (LH+FSHx6 + TEST),Lab,73050-17-00,-,0.15,2995.2
FMLAB-4022,LIDOCAINE,Lab,73300-01-60,-,0.15,402.2
FMLAB-2055,Lipase,Lab,73050-23-00,-,0.15,134.1
FMLAB-9325,LIPIDS TOTAL FAECES,Lab,73050-12-60,-,0.15,418.7
FMLAB-9573,LIPOPROTEIN  X,Lab,73050-23-10,-,0.15,250.4
FMLAB-9572,Lipoprotein A,Lab,73050-23-10,-,0.15,410.5
FMLAB-2035,Lipoprotein Electrophoresis,Lab,73050-23-30,-,0.15,212.1
FMLAB-1632,LIQUID BASED CYTOLOGY LBC,Lab,73200-00-90,-,0.15,490.5
FMLAB-9574,LISTERIA ABS,Lab,73100-24-60,-,0.15,504.9
FMLAB-4013,Lithium,Lab,73300-01-80,-,0.15,242.2
FMLAB-9087,LIVER MEMBRANE ABS. (B),Lab,73250-00-20,-,0.15,649.9
FMLAB-9019,Liver Specific Protein Abs,Lab,73250-00-20,-,0.15,649.9
FMLAB-9088,Liver/Kidney Membrane Abs[Lkm],Lab,73250-00-20,-,0.15,636.9
FMLAB-9089,Long Acting Thyroid Stimulator Abs (Thyroid Receptor Abs),Lab,73050-35-60,-,0.15,903.7
FMLAB-9576,LORAZEPAM,Lab,73300-06-70,-,0.15,626.6
FMLAB-1227,Lung Cancer Panel,Lab,73350-01-20,-,0.15,6867.0
FMLAB-9244,Lupus Anticoagulant Abs.,Lab,73100-08-80,-,0.15,858.1
FMLAB-3019,Luteinising Hormone (LH),Lab,73050-17-00,-,0.15,296.3
FMLAB-9577,LYMPH. CHORIO . MENINGITIS IGG (CSF),Lab,73100-24-70,-,0.15,257.2
FMLAB-1582,LYMPHOCYTES SUBSETS-TOTAL T/B/NK,Lab,73100-16-50,-,0.15,1095.5
FMLAB-9579,LYSOZYME (S.U),Lab,73100-07-90,-,0.15,182.4
FMLAB-9870,M2-PK QUALITATIVE IN STOOL,Lab,73050-31-80,-,0.15,490.5
FMLAB-2056,Magnesium (Serum),Lab,73050-24-00,-,0.15,118.2
fmlab-1338,"MAGNESIUM, 24 HOURS URINE",Lab,73050-24-00,-,0.15,159.0
FMLAB-9090,Malaria Abs,Lab,73100-25-40,-,0.15,577.9
FMLAB-2322,MAMAGLOBULIN,Lab,73100-10-60,-,0.15,502.5
FMLAB-9314,Manganese In Plasma,Lab,73050-24-20,-,0.15,649.9
FMLAB-9583,MAPROTILINE & DESMETHYLMAPROTILINE,Lab,73300-03-70,-,0.15,1169.7
FMLAB-9091,Mast - Cla (Inhalants & Foods),Lab,73100-10-20,-,0.15,1263.3
FMLAB-9994,MDS WITH  5q-  by FISH,Lab,73200-05-30,-,0.15,3605.2
FMLAB-9193,"Measles Antibody (IgG, IgM)",Lab,73100-26-00,-,0.15,513.9
FMLABM0149,MEASLES VIRUS (IgG),Lab,73100-26-00,-,0.15,294.0
FMDER-0186,Melanocyte Culture - Medium,Lab,73200-03-80,-,0.15,11313.4
FMDER-0215,Melanocyte Culture Extra-Large,Lab,73200-03-80,-,0.15,22626.8
FMLAB-1226,"Melanoma cancer by NGS panel, genes: BAP1, BRCA2, CDK4, CDKN2A, MC1R, MITF, PTEN, POT1, TP53",Lab,73350-05-50,-,0.15,6867.0
FMLAB-1220,"melanoma, malignant type 3 (CDK4) CDK4 ",Lab,73350-05-50,-,0.15,6867.0
FMLAB-9586,MENINGITIS SCREEN,Lab,73100-25-10,-,0.15,513.1
FMLAB-9587,MEPHENYTOIN (MESANTOIN),Lab,73300-06-00,-,0.15,491.2
FMLAB-9588,"Mercury (Breast Milk, Blood, Urine & Faeces)",Lab,73050-24-40,-,0.15,649.9
FSLAB0013,MET by FISH ,Lab,73050-53-10,-,0.15,1052.9
FMLABM0184,METABOLIC DISEASE SCREENING (TANDEM MASS),Lab,73000-00-40,-,0.15,629.9
FMLAB-9092,Metanephrine & Normetanephrine,Lab,73050-24-50,-,0.15,895.1
FMLAB-2311,METANEPHRINES URINE,Lab,73050-24-50,-,0.15,372.8
FMLAB-8228,METHADONE DRUG TEST,Lab,73300-03-70,-,0.15,311.7
FMLAB-9187,METHAEMOGLOBN,Lab,73050-18-70,-,0.15,370.8
FMLAB-0305,METHOTREXATE Level,Lab,73300-01-82,-,0.15,593.8
FMLAB-9593,Methyl Malonic Acid,Lab,73050-26-00,-,0.15,626.6
FMLAB-9594,MEXITIL,Lab,73300-03-70,-,0.15,593.8
FMLAB-9595,MIANSERINE,Lab,73300-05-90,-,0.15,402.2
FMLAB-2057,Microalbuminuria,Lab,73050-00-90,-,0.15,111.3
FMLAB-9596,MICROPOLYSPORA ABS,Lab,73250-00-20,-,0.15,491.2
FMLAB-6051,MINIMAL INHIBITORY CONC (MIC),Lab,83700-00-00,-,0.15,154.6
FMLAB-9094,Mitochondrial Abs & Anti-Smooth,Lab,73050-20-70,-,0.15,3010.0
FMLAB-9597,MITOCHONDRIAL SUBTYPE M I-9,Lab,73050-20-70,-,0.15,3922.2
FMLABM0309,Molecular Genetic analysis of T-Cell receptor (TCR) gamma rearrangement ,Lab,73350-04-60,-,0.15,621.3
FMLAB-9598,MOLYBDENUM (S.U),Lab,83700-00-00,-,0.15,649.9
FMLAB-5047,Monospot Test,Lab,73100-14-20,-,0.15,126.2
FMLAB-9599,MORPHINE CONFIRMATION,Lab,73300-08-30,-,0.15,225.8
FMLAB-6011,MOUTH C/S,Lab,73050-40-90,-,0.15,318.8
FMLAB-9600,MOUTH MUCOSA ABS,Lab,73250-00-20,-,0.15,441.9
FMLABM0100,MUCOPOLYSACCHARIDES,Lab,73050-24-80,-,0.15,378.5
FMLAB-9155,MUCOPOLYSACHRORIDE QUANTITATIVE (U).,Lab,73050-24-80,-,0.15,1109.6
FMLAB-9095,Mumps Abs,Lab,73100-24-90,-,0.15,649.9
FMLAB-9603,MUMPS CULTURE,Lab,73100-24-90,-,0.15,1458.1
FMLABM0150,MUMPS VIRUS (IgG),Lab,73100-24-90,-,0.15,294.0
FMLAB-8509,MYCOBACTERIAL ANTI BODIES,Lab,73050-42-00,-,0.15,239.8
FMLAB-6020,Mycobacterium tuberculosis C/S,Lab,73050-42-00,-,0.15,309.4
FMLAB-5048,Mycoplasma Abs,Lab,73100-25-00,-,0.15,614.1
FMLAB-9605,MYCOPLASMA CULTURE (SEMEN),Lab,73100-25-00,-,0.15,186.1
FMLABM0162,MYELIN OLIGODENDROCYTE GLYCOPROTEIN ABS,Lab,73100-16-65,-,0.15,262.5
FMLAB-9607,Myeloperoxidase Abs (MPO),Lab,73050-25-20,-,0.15,593.8
FMLAB-9608,MYOCARDIAL ABS,Lab,73250-00-20,-,0.15,337.9
FMLAB-9098,Myoglobin (Urine),Lab,73050-25-10,-,0.15,552.7
FMLAB-9096,MYOGLOBIN QUANT. (S),Lab,73050-25-10,-,0.15,552.7
FMLAB-9609,N-ACETYL-GLUOCSAMINIDASE,Lab,73300-03-70,-,0.15,410.5
FMLAB-4023,N-ACETYLPROCAINAMIDE (NAPA) / PROCAINAMIDE,Lab,73300-02-50,-,0.15,410.5
FMLAB-1047,NAPHTHOL ACETATE ESTERASE,Lab,73050-00-20,-,0.15,332.5
FMLAB-6012,NASAL SWAB C/S,Lab,73050-40-90,-,0.15,309.4
fmlab-1308,Nasal Swab For Mrsa And S. Aureus By Pcr,Lab,73050-58-30,-,0.15,413.1
FMLAB-9610,N-DESMETHYLMESUXIMIDE,Lab,73300-03-70,-,0.15,370.8
FMLAB-3032,Neonatal Free T4,Lab,73050-35-30,-,0.15,330.7
FMLAB-1079,Neonatal Fresh Frozen Plasma,Lab,73250-02-00,-,0.15,293.5
Fmlab-9912,Neonatal Metabolic Screen Test,Lab,73000-01-05,-,0.15,577.9
FMLAB-3031,Neonatal TSH,Lab,73050-35-50,-,0.15,330.7
FMLAB-9611,Neopterin,Lab,73300-09-70,-,0.15,1307.0
FMLAB-7038,"Nephlometer Rheumatology (RF, CRP, ASOT, Uric Acid)",Lab,73100-17-80,-,0.15,552.7
FMLAB-4028,Netromycin,Lab,73400-05-10,-,0.15,593.8
FMLAB-3081,Neurological PANEL FOR VIRAL ENCEPHALITIS,Lab,73100-21-00,-,0.15,1081.6
FMLAB-1048,Neutrophil Alkaline Phospatase (LAP),Lab,73100-07-70,-,0.15,332.5
FMLAB-1216,"Next-generation sequencing analysis of genes for breast and ovarian cancer risk such as ATM, BARD1, BRCA1, BRCA2, BRIP1, CDH1, CHEK2, MRE11, NBN, PALB2, RAD51D, STK11 and TP53",Lab,73350-05-50,-,0.15,6867.0
FMLAB-1217,"Next-generation sequencing analysis of genes for colorectal cancer such as APC, BMPR1A, EPCAM, MLH1, MSH2, MSH3, MSH6, MUTYH, NTHL1, PMS2, POLE, POLD1, PTEN, SMAD4, STK11, TGFBR2, TP53",Lab,73350-05-50,-,0.15,6867.0
FMLAB-9100,NICKEL,Lab,73050-25-50,-,0.15,573.3
FMLAB-9613,Nicotinamide (Niacin) (Vit B3),Lab,73050-38-70,-,0.15,481.6
FMLAB-9614,NICOTINE (S.U),Lab,73300-09-70,-,0.15,481.6
FMLAB-9615,NITRAZEPAM (MOGADAN),Lab,73300-06-70,-,0.15,593.8
FMLAB-1089,Nitro Blue Tetrazon,Lab,73100-17-40,-,0.15,242.2
FMLABM0115,NMDA RECEPTOR ABS (CSF),Lab,73250-00-20,-,0.15,367.4
FMLABM0114,NMDA RECEPTOR ABS (SERUM),Lab,73250-00-20,-,0.15,378.5
FSLAB0007,N-myc by FISH,Lab,73050-39-70,-,0.15,572.3
FMLAB-9616,NOCARDIA/ ACTINOMYCES DIRECT EXAM,Lab,73100-18-90,-,0.15,481.6
FMOBG-8120,Non-Invasive Prenatal Testing,Lab,73200-05-80,-,0.15,5035.8
FMLAB-1049,NON-SPECIFIC ESTERASE,Lab,73050-39-70,-,0.15,332.5
FMLAB-9617,NORTRIPTYLINE,Lab,73300-05-90,-,0.15,481.6
FMLAB-9151,NSE (Neurone Specfic Enolase) in Serum/CSF,Lab,73050-11-61,-,0.15,589.7
FMLAB10137,Nt-Pro-Bnp,Lab,73050-25-30,-,0.15,402.2
FSLAB0012,NTRK by FISH ,Lab,73050-39-70,-,0.15,2861.3
FMLAB-9101,NUCLEOTIDASE,Lab,73050-25-60,-,0.15,318.8
FMLAB-2058,Occult Blood In Stool,Lab,73050-04-70,-,0.15,97.9
FMLAB-2108,OGTT 100g 3 hrs (Pregnant),Lab,66542-00-20,-,0.15,481.4
FMLAB-4030,Oligoclonal Bands (CSF),Lab,73050-25-70,-,0.15,1049.8
FMLAB-9294,OLIGOSACCHARIDES,Lab,73050-33-90,-,0.15,499.4
FMLAB-8148,Oncodeep (Customized Gene Panel),Lab,73200-06-30,-,0.15,19055.9
FMLAB-4014,Opiates,Lab,73300-08-20,-,0.15,272.3
FMLAB-2045,Oral Glucose Tolerance Test (75G) Ogtt,Lab,66542-00-20,-,0.15,555.1
FMLAB-9156,Organic Acid In Blood,Lab,73050-25-80,-,0.15,1164.1
FMLAB-9102,Organic Acids Urine,Lab,73050-25-90,-,0.15,1801.9
FMLAB10257,OSMOLALITY IN URINE,Lab,73050-26-20,-,0.15,249.7
FMLAB-1051,Osmotic Fragility,Lab,73100-08-00,-,0.15,499.4
FMLAB-8230,OSTASE IMMUNOASSAY,Lab,73050-39-70,-,0.15,369.5
FMLAB-9103,OSTEOCALCIN,Lab,73050-26-30,-,0.15,1412.3
FMLAB-9621,Osteoporosis Screen,Lab,73050-26-30,-,0.15,1136.9
FMLAB-9104,OVARIAN ABS.,Lab,73100-14-00,-,0.15,469.3
FMLAB-9105,Oxalate (U),Lab,73050-26-40,-,0.15,469.3
FMLAB-9624,OXAZEPAM,Lab,73300-06-70,-,0.15,474.8
FSLAB0010,P16 FISH ,Lab,73050-39-70,-,0.15,572.3
FMLAB-9625,P53  (TUMOUR SUPRESSOR GENE ),Lab,73350-05-80,-,0.15,2907.0
FMLAB-9626,PAH / PARA-AMINO HIPPURIC ACID,Lab,83700-00-00,-,0.15,225.8
FMLAB-9627,PALLADIUM (B.SALIVA  S.U.),Lab,73050-39-70,-,0.15,955.0
FMLAB-1219,"pancreatic cancer, familial (NGS),  genes: ATM, BRCA1, BRCA2, CDKN2A, MLH1, MSH2, MSH6, PALB2, PRSS1, STK11",Lab,73350-05-60,-,0.15,6867.0
FMLAB-9629,PANCREATIC DUCT EPITHELIAL ABS,Lab,73250-00-20,-,0.15,491.2
FMLAB-9628,Pancreatic Elastase (Faeces),Lab,73050-11-40,-,0.15,664.9
FMLABM0171,PANEL REACTIVE ANTIBODY,Lab,73200-08-80,-,0.15,1558.7
FMLAB-8014,Panel Special Stain(4 Or More),Lab,73200-07-30,-,0.15,634.8
FMLAB-1214,Panel test - NGS Large ,Lab,73350-05-50,-,0.15,6867.0
FMLAB-1213,Panel test - NGS medium ,Lab,73350-05-50,-,0.15,6867.0
FMLAB-1212,Panel test - NGS small Euro ,Lab,73350-05-50,-,0.15,6867.0
FMLAB-8003,Pap Smear (Cervical Cytology),Lab,73200-01-20,-,0.15,296.3
FMLAB-9630,Papilloma Virus (HPV) DNA,Lab,73050-57-50,-,0.15,1486.4
FMLAB-9899,PAPP-A (Pregnancy associated Plasma Protein A),Lab,73050-30-80,-,0.15,1081.6
FMLAB-9631,"Para Influenza (Type 1,2,&3)",Lab,73050-46-80,-,0.15,645.4
FMLAB-9632,Parathyroid Abs,Lab,73050-26-70,-,0.15,576.4
FMLAB-9281,Parietal Cell Abs,Lab,73100-13-40,-,0.15,370.8
FMLAB-5072,Parietal Cell Antibody (Pca),Lab,73100-13-40,-,0.15,367.3
FMLAB-9635,PAROTIS ABS,Lab,73250-00-20,-,0.15,481.6
FMLAB-9328,Paroxysmal Noctural Hemoglobinuria( PNH Screening),Lab,73050-19-30,-,0.15,562.3
FMLAB10170,Paroxysmal nocturnal hemoglobinuria (PNH) with FLAER by flow cytometry,Lab,73050-19-30,-,0.15,1442.1
FMLAB-1054,Partial Thromboplastin Time (PTT),Lab,73100-09-50,-,0.15,134.1
FMLAB-9284,Parvo Virus B19,Lab,73100-25-30,-,0.15,905.7
FMLAB-5081,Parvo Virus IgG,Lab,73100-25-30,-,0.15,458.3
FMLAB-5083,PARVO VIRUS IgM,Lab,73100-25-30,-,0.15,458.3
FMLAB-9637,PARVOVIRUS IMMUNOBLOT IGG,Lab,73100-25-30,-,0.15,732.0
FMLAB-9638,Parvovirus Immunoblot Igm,Lab,73100-25-30,-,0.15,732.0
FMLAB-9639,PCP (PHENCYCLIDINE),Lab,73050-27-00,-,0.15,410.5
FMLAB-9993,PDGFRA/FIP1L1 (FISH),Lab,73200-05-30,-,0.15,3605.2
FMLABM0111,PDGFRB(5q32) (FISH),Lab,73350-02-50,-,0.15,1297.9
FSLAB0004,PD-L1 IMMUNOSTAINING ,Lab,73100-13-70,-,0.15,1030.1
FMLAB-9640,PENTACHLOROPHENOL,Lab,73300-03-70,-,0.15,664.9
FMLAB-1055,Periodic Acid-Schiff (PAS) Stain,Lab,73200-08-60,-,0.15,332.5
FMLAB-9886,Peripheral Smear,Lab,73100-01-80,-,0.15,114.5
FMLAB-1056,Peroxidase Stain,Lab,73050-04-80,-,0.15,332.5
FMLAB-9641,PETHIDINE CONFIRMATION,Lab,73300-08-30,-,0.15,593.8
FMLAB-9647,PH1 (PHOSPHOHYXOSE ISOMERASE),Lab,73050-28-10,-,0.15,210.7
FMLAB-9820,PHADIOTOPE,Lab,73300-09-70,-,0.15,275.0
FMLAB-4015,Phenobarbitone,Lab,73300-02-10,-,0.15,272.3
FMLAB-9644,PHENOL,Lab,73050-39-70,-,0.15,626.6
FMLAB-9790,PHENOTHIAZINE,Lab,73300-03-70,-,0.15,322.9
FMLAB-9106,Phenylalanine,Lab,73050-02-20,-,0.15,287.3
FMLAB-9645,PHENYLBUTAZONE,Lab,73300-03-70,-,0.15,481.6
FMLAB-9108,Phenylketonuria For Neonates,Lab,73050-27-20,-,0.15,222.6
FMLAB-4016,Phenytoin (Epanutin),Lab,73300-02-20,-,0.15,266.8
FMLAB-9648,Phosphate Inorganic,Lab,73050-28-20,-,0.15,154.6
FMLAB-9894,PHOSPHOLIPASE A2 RECEPTOR ANTIBODY (PLA2R),Lab,73050-32-30,-,0.15,545.0
FMLAB-2315,PHOSPHOROUS 24 HOURS URINE,Lab,73050-28-20,-,0.15,154.8
FMLAB-2060,Phosphorus In Blood,Lab,73050-28-20,-,0.15,127.4
FMLAB-2090,Phosphorus In Urine,Lab,73050-28-30,-,0.15,151.9
FMLAB-9650,PHYTANIC ACID,Lab,73050-12-90,-,0.15,1458.1
FMLAB-6864,PLACENTAL ALKALINE PHOSPHATASE (PLAP),Lab,73050-27-60,-,0.15,502.5
FMLAB-9208,PLASMINOGEN,Lab,73100-06-50,-,0.15,355.7
FMLAB-6029,PLATE FOR AIR EXAMINATION,Lab,73350-06-00,-,0.15,197.0
FMLAB-1058,Platelet Count,Lab,73100-01-60,-,0.15,97.0
FMLAB-9653,PLATELET FACTOR IV,Lab,73050-39-70,-,0.15,491.2
FMLAB-1255,PLATLETS RICH PLASMA P.R.P,Lab,92062-00-00,-,0.15,432.6
FMLAB-6063,Pleural/Ascitic Fluid,Lab,73050-40-40,-,0.15,212.6
FMLAB-9310,PNEUMOCOCCAL VACC Ag IgG,Lab,92165-00-00,-,0.15,529.9
FMLABM0176,PNEUMOCYSTIS JIROVECII(P.CARNII),Lab,73050-47-00,-,0.15,324.5
FMPOCT-1,Point Of Care Arterial Blood Gas (Abg),Lab,73050-14-50,-,0.15,272.5
FMPOCT-6,Point of care Ketone Whole blood,Lab,73050-00-10,-,0.15,97.3
FMPOCT-2,POINT OF CARE VENOUS BLOOD GAS (VBG),Lab,73050-14-50,-,0.15,272.5
FMLAB-9262,Polio Virus Abs.,Lab,73100-21-40,-,0.15,280.5
FMLAB-9657,POLYOMA  DETECTION (BKV AND JCV) BY PCR,Lab,73050-59-30,-,0.15,1602.3
FMLAB-9113,Porphobilinogen (U),Lab,73050-28-40,-,0.15,740.2
