Department,ServiceCode,Service Description,LOS,Type,NPHIES Code (Hyphenated )2, price vip & A,Price 2022 ( B-C-Referral)
Radiology ,FMXRAY1062,Mri Pelvis (Perianal Fistula Protocol), ,Service,90901-06-10,1980,1782
Radiology ,FMXRAY1102,Mri Leg Both, ,Service,90901-07-12,3190,2871
Radiology ,FMXRAY1106,Mri Sacroiliac Joint Protocol, ,Service,90901-03-70,1760,1584
Radiology ,FMXRAY1117,Ct. Skull (Sella Protocol), ,Service,56010-00-00,2250,2025
Radiology ,FMXRAY1120,Ct. Skull (P.N.S. Protocol), ,Service,56022-01-00,1059.96,700
Radiology ,FMXRAY1134,Ct. Cardiac (Coronary Angiography Protocol), ,Service,57360-00-00,4715.7,4287
Radiology ,FMXRAY1170,X-Ray Mastoid Schullers & Stenvers, ,Service,57906-00-01,440,396
Radiology ,FMXRAY1171,X-Ray T.M.J., ,Service,57927-00-01,440,396
Radiology ,FMXRAY1173,X-Ray Orbits Pa Waters & Obl., ,Service,57912-00-00,440,396
Radiology ,FMXRAY1175,X-Ray Zygomatic Arch -Townes Jug Ler, ,Service,90908-00-00,231.11,210.1
Radiology ,FMXRAY1179,X-Ray A.C. Joint With & W/O Weight Bearing, ,Service,57700-00-11,440,396
Radiology ,FMXRAY1182,X-Ray Sternum Lat., ,Service,58521-00-00,275,247.5
Radiology ,FMXRAY1183,X-Ray Sternum Multiple Views, ,Service,58521-00-00,440,396
Radiology ,FMXRAY1184,X-Ray Sterno-Clavicular Joints, ,Service,58521-00-00,440,396
Radiology ,FMXRAY1193,X-Ray Thoracic Spine Ap Standing, ,Service,58103-00-00,275,247.5
Radiology ,FMXRAY1194,X-Ray Thoracic Spine Ap & Lat. Swimm., ,Service,58103-00-00,440,396
Radiology ,FMXRAY1205,X-Ray Shoulder Special View For Glenoid, ,Service,57700-00-11,440,396
Radiology ,FMXRAY1206,X-Ray Shoulder Of Intertubecularis Groove, ,Service,57700-00-11,440,396
Radiology ,FMXRAY1211,X-Ray Elbow For Sulcrus Ulnaris View, ,Service,57506-01-11,330,297
Radiology ,FMXRAY1216,X-Ray Carpal Tunnel (Gaynor Hart), ,Service,57506-04-11,330,297
Radiology ,FMXRAY1229,X-Ray Hip Schneider Position (1 Side), ,Service,57712-00-11,330,297
Radiology ,FMXRAY1230,X-Ray Obturate Foramen & Ala.(1 Side), ,Service,57715-00-00,330,297
Radiology ,FMXRAY1235,X-Ray Knee Stress (1 Side), ,Service,57518-01-11,330,297
Radiology ,FMXRAY1259,X-Ray Pelvimetry, ,Service,59503-00-00,330,297
Radiology ,FMXRAY1267,Fluroscopy. Ba. Study (Enema Single Contrast Protocol), ,Service,58916-00-00,1100,990
Radiology ,FMXRAY1275,Fluroscopy. Cavernosogram, ,Service,57715-00-00,990,891
Radiology ,FMXRAY1276,Fluroscopy. Fistulogram, ,Service,59739-03-00,1608.255,1447.4295
Radiology ,FMXRAY1277,Fluroscopy. Nephostomy Dye Exam., ,Service,58715-00-00,514.25,467.5
Radiology ,FMXRAY1278,Fluroscopy. Voiding Cystoureterogram(Vcug), ,Service,61397-00-00,1021.24,928.4
Radiology ,FMXRAY1282,Fluroscopy. Venography Upp/Low Extr. (1 Side), ,Service,59718-00-00,2144.34,1929.906
Radiology ,FMXRAY1284,Fluroscopy. Sialogram, ,Service,57918-00-00,880,792
Radiology ,FMXRAY1312,Us. Portable In Home Visit, ,Service,92204-00-00,1320,1188
Radiology ,FMXRAY1316,Doppler. Portal & Hepatic Veins, ,Service,55276-00-00,603.79,548.9
Radiology ,FMXRAY1346,W.H. Mammography 3D (Tomosynthesis), ,Service,59303-00-00,660.66,600.6
Radiology ,FMXRAY1457,Cephalometric (1 View), ,Service,57902-00-00,174.24,158.4
Radiology ,FMXRAY1458,Cephalometric (2 Views), ,Service,57902-00-00,269.83,245.3
Radiology ,FMXRAY1459,Panorama & Cephalo (1 View), ,Service,57930-00-00,385.99,350.9
Radiology ,FMXRAY1460,Panorama & Cephalo (2 Views), ,Service,57912-00-00,450.12,409.2
Radiology ,FMXRAY1462,Nm. Lacrimal Scan (Tc99M), ,Service,61495-00-01,2750,2475
Radiology ,FMXRAY1463,Nm. Vp Shunt Study (Tc99M), ,Service,40003-02-00,4180,3762
Radiology ,FMXRAY1464,Nm. V/Q Lung Scan (Perfusion Only), ,Service,61328-00-00,2915,2623.5
Radiology ,FMXRAY1466,Nm. V/Q Lung Scan (Ventillation Only), ,Service,61340-00-00,3190,2871
Radiology ,FMXRAY1468,Nm. V/Q Lung (Perfusion & Ventillation), ,Service,61348-00-00,4950,4455
Radiology ,FMXRAY1470,Nm. Liver And Spleen Scan (Sulfur Colloid Scan), ,Service,61352-00-00,3520,3168
Radiology ,FMXRAY1479,Nm. Renal (Dtpa Scan + Captopril Protocol), ,Service,61389-00-00,4785,4306.5
Radiology ,FMXRAY1481,Nm. Renal (Dtpa + Dmsa Scan), ,Service,12524-00-00,4400,3960
Radiology ,FMXRAY1484,Nm. Dynamic Sialoscintigraphy (Tc99M), ,Service,61372-00-00,3190,2871
Radiology ,FMXRAY1485,Nm. Hida Scan, ,Service,61360-00-00,3520,3168
Radiology ,FMXRAY1488,Nm. Thyroid (Diagnostic I-131 - 5 Mci), ,Service,61426-00-00,3520,3168
Radiology ,FMXRAY1489,Nm. Thyroid (Theraputic I-131 - 10 Mci), ,Service,61426-00-00,2640,2376
Radiology ,FMXRAY1490,Nm. Thyroid (Theraputic I-131 - 15 Mci), ,Service,61473-00-00,3080,2772
Radiology ,FMXRAY1496,Nm. Thyroid (Theraputic I-131 - 100 Mci), ,Service,61426-00-00,24200,21780
Radiology ,FMXRAY1497,Nm. Thyroid (Theraputic I-131 - 120 Mci), ,Service,16009-00-00,26400,23760
Radiology ,FMXRAY1501,Nm. Mibg, ,Service,90910-00-00,6600,5940
Radiology ,FMXRAY1505,Nm. Lower Limb Lymphoscintigraphy, ,Service,61469-00-00,3190,2871
Radiology ,FMXRAY1507,Nm. Gallium Scan (Whole Body), ,Service,61429-00-00,5280,4752
Radiology ,FMXRAY1521,Dexa (Bmd) (1) Segment, ,Service,12306-00-00,2450,2205
Radiology ,FMXRAY1541,Mri Abdomen Angiography (Mrv) Without Contrast, ,Service,90902-04-00,2200,1980
Radiology ,FMXRAY1552,Ct Angiography (Ctv) For Upper Limb, ,Service,57350-01-00,6835,6151.5
LABORATORY,FMLAB-1001,24 Hr Life Platelete Conc. (Cytopheresis), ,Service,73100-01-60,5140,4626
LABORATORY,FMLAB-1002,Fresh Pos(+)Blood/250 Ml Unit, ,Service,92064-00-00,220,198
LABORATORY,FMLAB-1011,Acid Phosphatase-Stain, ,Service,73050-27-40,350,315
LABORATORY,FMLAB-1012,Activated Clotting Time, ,Service,73100-05-00,150,135
LABORATORY,FMLAB-1017,Blood Film For Filaria, ,Service,73050-43-50,96.8,88
LABORATORY,FMLAB-1029,Clotting Factor X, ,Service,73100-03-20,735,661.5
LABORATORY,FMLAB-1030,Factor Xi, ,Service,73100-03-30,735,661.5
LABORATORY,FMLAB-1032,Cold Agglutinins Titre, ,Service,73100-12-30,219.01,199.1
LABORATORY,FMLAB-1048,Neutrophil Alkaline Phospatase (Lap), ,Service,73100-07-70,910,819
LABORATORY,FMLAB-1051,Osmotic Fragility, ,Service,73100-08-00,1235,1111.5
LABORATORY,FMLAB-1053,Rh(D) Packed Red Blood Cells, ,Service,73250-00-90,4770,4293
LABORATORY,FMLAB-1055,Periodic Acid-Schiff (Pas) Stain, ,Service,73200-08-60,327.91,298.1
LABORATORY,FMLAB-1056,Peroxidase Stain, ,Service,73050-04-80,327.91,298.1
LABORATORY,FMLAB-1067,Rh-Antibody Titre, ,Service,73250-00-00,269.83,245.3
LABORATORY,FMLAB-1068,Rh-Phenotype, ,Service,73100-29-20,440,396
LABORATORY,FMLAB-1072,Thrombin Time, ,Service,73100-09-20,129.47,117.7
LABORATORY,FMLAB-1079,Neonatal Fresh Frozen Plasma, ,Service,73250-02-00,223.85,203.5
LABORATORY,FMLAB-1080,Neonatal Packed Rbcs, ,Service,73100-07-10,525,472.5
LABORATORY,FMLAB-1083,Cbc Follow Up (Within One Week), ,Service,73100-00-90,58.08,52.8
LABORATORY,FMLAB-1087,Total Leucocyte Count, ,Service,73100-00-10,75,67.5
LABORATORY,FMLAB-1088,Leucocyte Count & Differential, ,Service,73100-00-10,168.19,152.9
LABORATORY,FMLAB-1100,Platelet Concentrate (3 Units), ,Service,92062-00-00,675,607.5
LABORATORY,FMLAB-1222,"Prostate Cancer, Familial (Ngs), Genes: Atm, Brca1, Brca2, Chek2, Hoxb13, Mlh1, Msh2, Msh6, Pms2, Palb2, Tp53", ,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-1223,"Gastric Cancer By Ngs Panel, Genes:  Apc, Cdh1, Ctnna1, Epcam, Map3K6, Mlh1, Msh2, Msh6, Pms2, Smad4, Stk11, Tp53", ,Service,73350-05-50,4622,4159.8
LABORATORY,FMLAB-2016,Carbon Dioxide, ,Service,73050-06-40,160.93,146.3
LABORATORY,FMLAB-2020,Cholinesterase Serum, ,Service,73050-08-20,330,297
LABORATORY,FMLAB-2027,Xylose Test, ,Service,73050-39-00,436.81,397.1
LABORATORY,FMLAB-2035,Lipoprotein Electrophoresis, ,Service,73050-23-30,360,324
LABORATORY,FMLAB-2036,Fructosamine, ,Service,73050-16-80,1130,1017
LABORATORY,FMLAB-2043,Glucose Fasting & Post Prandial, ,Service,73050-15-50,220,198
LABORATORY,FMLAB-2044,Blood Glucose (Fasting/Random/Pp), ,Service,73050-15-60,525,472.5
LABORATORY,FMLAB-2066,Semen Fructose, ,Service,73050-13-60,225.06,204.6
LABORATORY,FMLAB-2067,Kidney Stone Analysis, ,Service,90909-00-00,840,756
LABORATORY,FMLAB-2079,Urine Bile Pigments, ,Service,73050-04-30,71.39,64.9
LABORATORY,FMLAB-2080,Urine Urobilinogen, ,Service,73050-38-00,65.34,59.4
LABORATORY,FMLAB-2088,Amylase In Urine, ,Service,73050-03-00,630,567
LABORATORY,FMLAB-2098,Urine Urea Nitrogen, ,Service,73050-37-40,102.85,93.5
LABORATORY,FMLAB-2103,Growth Hormone (Glucose Load Test), ,Service,73100-13-50,4540,4086
LABORATORY,FMLAB-3001,17-Ketosteroids, ,Service,73050-21-50,411.4,374
LABORATORY,FMLAB-3011,Estriol (E3), ,Service,73050-12-20,1050,945
LABORATORY,FMLAB-3018,Insulin Level, ,Service,73050-20-90,425,382.5
LABORATORY,FMLAB-3032,Neonatal Free T4, ,Service,73050-35-30,335.17,304.7
LABORATORY,FMLAB-3033,Stimulated Growth Hormone, ,Service,73000-02-60,726,660
LABORATORY,FMLAB-4001,Acetaminophen (Paracetamol), ,Service,73300-03-60,1490,1341
LABORATORY,FMLAB-4002,Ethanol, ,Service,73050-01-20,940,846
LABORATORY,FMLAB-4003,Amphetamine, ,Service,73300-04-50,314.6,286
LABORATORY,FMLAB-4004,Barbiturates, ,Service,73300-06-60,418.66,380.6
LABORATORY,FMLAB-4005,Benzodiazepines, ,Service,73300-06-70,418.66,380.6
LABORATORY,FMLAB-4006,Cannabinoid, ,Service,73300-07-00,314.6,286
LABORATORY,FMLAB-4009,Cocaine, ,Service,73300-07-40,314.6,286
LABORATORY,FMLAB-4013,Lithium, ,Service,73300-01-80,314.6,286
LABORATORY,FMLAB-4014,Opiates, ,Service,73300-08-20,720,648
LABORATORY,FMLAB-4015,Phenobarbitone, ,Service,73300-02-10,314.6,286
LABORATORY,FMLAB-4016,Phenytoin (Epanutin), ,Service,73300-02-20,1025,922.5
LABORATORY,FMLAB-4030,Oligoclonal Bands (Csf), ,Service,73050-25-70,1320,1188
LABORATORY,FMLAB-5018,Anti-Hepatitis Delta (Igm), ,Service,73100-22-80,1445,1300.5
LABORATORY,FMLAB-5024,Campylobactor Abs, ,Service,73100-20-00,1910,1719
LABORATORY,FMLAB-5026,"Chlamydia Tr. Abs (Igg, Iga)", ,Service,73100-20-30,1280,1152
LABORATORY,FMLAB-5028,Ecchinococcus Abs, ,Service,73100-22-30,1420,1278
LABORATORY,FMLAB-5034,Hcv Western Blot, ,Service,73050-53-80,1490,1341
LABORATORY,FMLAB-5039,Hsv I Igg, ,Service,73100-23-00,415,373.5
LABORATORY,FMLAB-5040,Herpes Ii ( Igg) Abs, ,Service,73100-23-10,550,495
LABORATORY,FMLAB-5041,Herpes Virus Igg (Total), ,Service,73100-23-10,1235,1111.5
LABORATORY,FMLAB-5042,Hsv Ii Igm, ,Service,73100-23-10,445,400.5
LABORATORY,FMLAB-5045,Iqama Check Up, ,Service,83600-00-00,1050,945
LABORATORY,FMLAB-5048,Mycoplasma Abs, ,Service,73100-25-00,750,675
LABORATORY,FMLAB-5052,Schistosoma Abs. (Bilharzial Abs), ,Service,73250-00-20,1420,1278
LABORATORY,FMLAB-5053,Tpha, ,Service,73100-18-80,505,454.5
LABORATORY,FMLAB-5055,Varicella Zoster Abs, ,Service,73100-26-90,2100,1890
LABORATORY,FMLAB-5061,Helicobacter Pylori Igg, ,Service,73100-22-20,311.3,283
LABORATORY,FMLAB-5067,Anti-Cmv (Igg & Igm), ,Service,73100-20-70,418.66,380.6
LABORATORY,FMLAB-5069,Chlamydia Abs Igm, ,Service,73100-20-30,420,378
LABORATORY,FMLAB-5072,Parietal Cell Antibody (Pca), ,Service,73100-13-40,765,688.5
LABORATORY,FMLAB-5081,Parvo Virus Igg, ,Service,73100-25-30,860.8709839,782.6099854
LABORATORY,FMLAB-5082,Hcv Igm, ,Service,73000-00-80,500,450
LABORATORY,FMLAB-5083,Parvo Virus Igm, ,Service,73100-25-30,860.8709839,782.6099854
LABORATORY,FMLAB-5293,Listeria Dna By Pcr, ,Service,73100-24-60,1140,1026
LABORATORY,FMLAB-6005,Csf C/S, ,Service,73050-30-60,257.73,234.3
LABORATORY,FMLAB-6008,Gram Stain (Direct Smear), ,Service,73050-44-30,130,117
LABORATORY,FMLAB-6010,Koh Preparation (Fungus Examination), ,Service,73050-44-80,84.7,77
LABORATORY,FMLAB-6012,Nasal Swab C/S, ,Service,41659-00-00,308.55,280.5
LABORATORY,FMLAB-6015,Semen C/S, ,Service,73400-03-30,308.55,280.5
LABORATORY,FMLAB-6016,"Sperm Abs In Semen (Iga, Igg, Igm)", ,Service,73400-03-80,1770,1593
LABORATORY,FMLAB-6019,Stool Afb, ,Service,73050-40-20,154.88,140.8
LABORATORY,FMLAB-6020,Mycobacterium Tuberculosis C/S, ,Service,73050-56-40,1050,945
LABORATORY,FMLAB-6025,Wet Smear Test, ,Service,73050-44-70,815,733.5
LABORATORY,FMLAB-6031,Water Bacteriological Examination, ,Service,73050-39-70,585.64,532.4
LABORATORY,FMLAB-6038,Respiratory Syncytial Virus Screen, ,Service,73050-60-00,436.81,397.1
LABORATORY,FMLAB-6044,Anaerobic C/S, ,Service,73050-40-50,330,297
LABORATORY,FMLAB-6063,Pleural/Ascitic Fluid, ,Service,73050-40-40,4000,3600
LABORATORY,FMLAB-7001,"Antenatal Care (Anc )Profile (Rub,Toxo,Vdrl Aids,Cbc)", ,Service,73050-40-83,2760,2484
LABORATORY,FMLAB-7012,"Check Up (Cbc, Esr, Fbs, Cholesterol,Triglycerids,Createnine. Sgpt, Sgot, Urine & Stool Analysis)", ,Service,73000-00-20,3020,2718
LABORATORY,FMLAB-7023,Rheumatology Profile (Crp), ,Service,73100-11-40,715,643.5
LABORATORY,FMLAB-7025,"Torch Test Profile: [ Toxo, Rub, Cmv,Hsv]", ,Service,73100-26-60,1495.56,1359.6
LABORATORY,FMLAB-7030,"Amenorrhea ""Secondary"" Ovarian Insu[Testosterone, T4, T3 Uptake, Tsh]", ,Service,73050-34-50,1072.06,974.6
LABORATORY,FMLAB-7034,"Trimester Rheumatology Follow Up(Esr,Cbc,Sgot,Sgpt,Ggt, Creat,Crp,Urine,Tp,Rf,Ana,Pt Electrophoresis)", ,Service,73000-00-50,3295,2965.5
LABORATORY,FMLAB-7036,Mbd Rheumatology Profile, ,Service,73350-06-10,1720,1548
LABORATORY,FMLAB-7037,"Im Lab Check Up (Alk.Phos.,Biliru T&D, Albumin, Sgpt,Sgot,Uric Acid,Cholesterol,Cr.,Rbs,Cbc,Urea,Urine)", ,Service,73000-00-40,3865,3478.5
LABORATORY,FMLAB-7038,"Nephlometer Rheumatology (Rf, Crp, Asot, Uric Acid)", ,Service,73100-17-80,532.4,484
LABORATORY,FMLAB-7042,Diabetic Profile (Hba1C & Creatinine Urine), ,Service,73000-00-40,705,634.5
LABORATORY,FMLAB-7044,Paediatric Obesity Profile, ,Service,73000-00-60,776.82,706.2
LABORATORY,FMLAB-7046,"Diabetic Panel (1) (Lipid Profile, Cr, Na, K, Fbs ,Hba1C, Microalb,Sgot,Sgpt, Urea, Urine)", ,Service,73000-00-40,2525,2272.5
LABORATORY,FMLAB-7047,"Full Natal Profile (Hbsag, Hcv Ab, Hiv,Tpha)", ,Service,73100-26-60,514.25,467.5
LABORATORY,FMLAB-7051,Cath Lab Profile (Creatinine-Cbc-Hiv-Hbs-Hcv Ag), ,Service,73000-00-20,776.82,706.2
LABORATORY,FMLAB-8005,Extra Blocks, ,Service,73050-39-70,122.21,111.1
LABORATORY,FMLAB-8006,Frozen Sections, ,Service,73200-08-00,1021.24,928.4
LABORATORY,FMLAB-8008,H. Pylori Abs, ,Service,73100-22-20,250,225
LABORATORY,FMLAB-8011,Slide Screening Referral, ,Service,73200-07-60,695,625.5
LABORATORY,FMLAB-8012,Routine Processing Specimens, ,Service,73200-00-20,257.73,234.3
LABORATORY,FMLAB-8013,Special Stain (Each), ,Service,73200-08-50,154.88,140.8
LABORATORY,FMLAB-8014,Panel Special Stain(4 Or More), ,Service,73200-07-30,609.84,554.4
LABORATORY,FMLAB-8017,Surgical Pathology V, ,Service,73200-06-90,10500,9450
LABORATORY,FMLAB-8051,Igg (Csf), ,Service,73050-25-00,257.73,234.3
LABORATORY,FMLAB-8052,Iga (Csf), ,Service,73050-30-60,257.73,234.3
LABORATORY,FMLAB-8053,Igm (Csf), ,Service,73100-10-60,257.73,234.3
LABORATORY,FMLAB-8065,Her2/Neu (Breast Cancer), ,Service,73100-13-80,1990,1791
LABORATORY,FMLAB-8070,Slide Review, ,Service,73200-07-10,296.45,269.5
LABORATORY,FMLAB-8079,Chromosome Analysis Lymph Node Referal, ,Service,73200-05-00,1965,1768.5
LABORATORY,FMLAB-9010,Alpha-1-Antitrypsin, ,Service,73050-01-50,1550,1395
LABORATORY,FMLAB-9011,Alpha-1 Antitrypsin Phenotyping, ,Service,73050-01-60,1330,1197
LABORATORY,FMLAB-9013,Amino Acid Screen, ,Service,73050-02-20,1240,1116
LABORATORY,FMLAB-9014,Amino Acid (Quant) In Urine Or Blood, ,Service,73050-02-40,7850,7065
LABORATORY,FMLAB-9017,Angiotensin Converting Enzyme (Ace), ,Service,73050-03-50,1490,1341
LABORATORY,FMLAB-9018,Anti Dna Single Strand, ,Service,73100-13-10,2990,2691
LABORATORY,FMLAB-9019,Liver Specific Protein Abs, ,Service,73000-00-80,1910,1719
LABORATORY,FMLAB-9021,Antihyaluronidase Abs, ,Service,73050-61-60,1305,1174.5
LABORATORY,FMLAB-9023,Blood Extraction (Home Visit), ,Service,13757-00-00,186.34,169.4
LABORATORY,FMLAB-9024,Buccal Smear (J), ,Service,73200-05-30,900,810
LABORATORY,FMLAB-9027,Calcitonin, ,Service,73050-05-40,965,868.5
LABORATORY,FMLAB-9028,Candida Albicans Titre, ,Service,73100-20-10,1000,900
LABORATORY,FMLAB-9030,Carnitine Total, ,Service,73050-06-80,1490,1341
LABORATORY,FMLAB-9032,Catecholamines In Urine, ,Service,73050-07-00,1355,1219.5
LABORATORY,FMLAB-9034,Ceruloplasmin (S), ,Service,73050-07-40,456.17,414.7
LABORATORY,FMLAB-9037,Cholinesterase In Erythrocytes, ,Service,73050-08-30,730,657
LABORATORY,FMLAB-9042,Citrate, ,Service,73050-08-60,450,405
LABORATORY,FMLAB-9043,Complement C2, ,Service,73100-12-50,1555,1399.5
LABORATORY,FMLAB-9046,Lead, ,Service,73050-22-40,685,616.5
LABORATORY,FMLAB-9047,Cryoglobulin (Qualitative), ,Service,73050-10-20,186.34,169.4
LABORATORY,FMLAB-9055,"Doctor'S Home Visit ""B.E.""", ,Service,83620-00-50,359.37,326.7
LABORATORY,FMLAB-9062,Folic Acid Serum, ,Service,73050-13-50,550,495
LABORATORY,FMLAB-9066,Gastrin, ,Service,73050-15-10,580,522
LABORATORY,FMLAB-9067,Glucagon (P), ,Service,73050-15-20,1300,1170
LABORATORY,FMLAB-9068,Gold, ,Service,73100-17-90,1550,1395
LABORATORY,FMLAB-9069,Gonococcal Abs, ,Service,73100-19-20,1305,1174.5
LABORATORY,FMLAB-9074,Hdv Rna By Pcr, ,Service,73050-53-90,1747.24,1588.4
LABORATORY,FMLAB-9078,Hla Full Tissue Typing, ,Service,73100-28-30,8480,7632
LABORATORY,FMLAB-9080,Hydroxy Indole Acetic Acid (5-Hiaa), ,Service,73050-20-00,1280,1152
LABORATORY,FMLAB-9088,Liver/Kidney Membrane Abs[Lkm], ,Service,73100-17-15,1910,1719
LABORATORY,FMLAB-9089,Long Acting Thyroid Stimulator Abs (Thyroid Receptor Abs), ,Service,73050-35-60,1215,1093.5
LABORATORY,FMLAB-9090,Malaria Abs, ,Service,73050-44-50,1720,1548
LABORATORY,FMLAB-9092,Metanephrine & Normetanephrine, ,Service,73050-24-50,2645,2380.5
LABORATORY,FMLAB-9094,Mitochondrial Abs & Anti-Smooth, ,Service,73050-20-70,995,895.5
LABORATORY,FMLAB-9098,Myoglobin (Urine), ,Service,73050-25-10,1605,1444.5
LABORATORY,FMLAB-9102,Organic Acids Urine, ,Service,73050-25-80,5110,4599
LABORATORY,FMLAB-9106,Phenylalanine, ,Service,73050-27-30,350,315
LABORATORY,FMLAB-9108,Phenylketonuria For Neonates, ,Service,73050-27-30,1050,945
LABORATORY,FMLAB-9111,Porphyrins In Urine, ,Service,73050-28-70,4625,4162.5
LABORATORY,FMLAB-9113,Porphobilinogen (U), ,Service,73050-28-40,2165,1948.5
LABORATORY,FMLAB-9119,Reducing Substance Faeces, ,Service,73050-33-90,1255,1129.5
LABORATORY,FMLAB-9121,Sex Hormone Binding Globulin (Shbg), ,Service,73050-32-80,1705,1534.5
LABORATORY,FMLAB-9125,Sperm Abs. (Serum), ,Service,73400-03-80,1995,1795.5
LABORATORY,FMLAB-9127,"T4/T8 Lymphocytes (Cd3, Cd4, Cd8)", ,Service,73100-17-10,3415,3073.5
LABORATORY,FMLAB-9132,Tsi/Tsh Receptor Abs, ,Service,73050-35-60,2655,2389.5
LABORATORY,FMLAB-9134,Tsh Screening, ,Service,73050-35-50,685,616.5
LABORATORY,FMLAB-9135,Vanillmandelic Acid (Vma), ,Service,73050-38-30,685,616.5
LABORATORY,FMLAB-9146,Pyruvate (Csf), ,Service,73050-31-70,805,724.5
LABORATORY,FMLAB-9151,Nse (Neurone Specfic Enolase) In Serum/Csf, ,Service,73050-39-70,695,625.5
LABORATORY,FMLAB-9156,Organic Acid In Blood, ,Service,73050-25-80,1800,1620
LABORATORY,FMLAB-9158,Anti Fasciola Hepatica Abs, ,Service,73050-61-60,1605,1444.5
LABORATORY,FMLAB-9164,Total Acetone, ,Service,73050-00-10,635,571.5
LABORATORY,FMLAB-9165,Igg Sub Classes (1-4), ,Service,73050-14-30,1168.86,1062.6
LABORATORY,FMLAB-9168,Homo-Valinilic Acid (Hva), ,Service,73050-19-80,940,846
LABORATORY,FMLAB-9169,Apolipoprotein A1, ,Service,73050-03-60,940,846
LABORATORY,FMLAB-9170,Aplipoprotein B, ,Service,73050-23-40,940,846
LABORATORY,FMLAB-9172,Bilirubin (Amniotic Fluid), ,Service,73050-04-30,625,562.5
LABORATORY,FMLAB-9180,Scl 70 Abs (Scleroderma 70 Abs), ,Service,73250-00-20,940,846
LABORATORY,FMLAB-9190,Vitamin A (Retinol), ,Service,73050-38-60,1830,1647
LABORATORY,FMLAB-9191,Amikacin (Serum), ,Service,73300-00-00,1015,913.5
LABORATORY,FMLAB-9197,Carboxy Haemoglobin, ,Service,73400-00-20,1080,972
LABORATORY,FMLAB-9198,Chromosomal Analysis (On Products Of Conception), ,Service,73200-06-30,6700,6030
LABORATORY,FMLAB-9202,Leptospira Abs, ,Service,73100-24-50,2190,1971
LABORATORY,FMLAB-9203,11-Deoxycortisol, ,Service,73050-11-10,1450,1305
LABORATORY,FMLAB-9204,17 Hydroxy Corticosteroids, ,Service,73050-08-90,1195,1075.5
LABORATORY,FMLAB-9222,Serum Alkaline Phosphatase B, ,Service,73100-07-70,970,873
LABORATORY,FMLAB-9228,Amylase Isoenzyme, ,Service,73050-03-00,1195,1075.5
LABORATORY,FMLAB-9229,Aspergillus Abs Igg Specific, ,Service,73100-19-10,2100,1890
LABORATORY,FMLAB-9238,Q-Fever Ab, ,Service,73100-20-50,1555,1399.5
LABORATORY,FMLAB-9240,Hepatitis C Virus (Hcv) Genotyping, ,Service,73050-60-90,4750,4275
LABORATORY,FMLAB-9242,"Borrelia Abs (Igg, Igm)", ,Service,73100-19-80,2355,2119.5
LABORATORY,FMLAB-9246,Hla-B5, ,Service,73350-03-40,9505,8554.5
LABORATORY,FMLAB-9252,Soluble Liver Ag, ,Service,73050-45-90,1195,1075.5
LABORATORY,FMLAB-9255,Enterovirus Abs, ,Service,73100-21-40,1000,900
LABORATORY,FMLAB-9260,Reducing Substrate In Stool, ,Service,73050-33-90,165,148.5
LABORATORY,FMLAB-9262,Polio Virus Abs., ,Service,73050-39-70,940,846
LABORATORY,FMLAB-9263,Parvo Virus B19, ,Service,73100-25-30,1055,949.5
LABORATORY,FMLAB-9264,Hepatitis C Genotyping, ,Service,73050-60-90,2837.45,2579.5
LABORATORY,FMLAB-9265,Hiv Qualitative Pcr, ,Service,73050-55-20,2210,1989
LABORATORY,FMLAB-9268,Tpa(Tissue Polypeptide Antigen), ,Service,73050-39-70,800,720
LABORATORY,FMLAB-9274,Monoclonal Immunoglobolin, ,Service,73100-15-50,1092.63,993.3
LABORATORY,FMLAB-9277,Adeno Virus Abs (Csf/Serum), ,Service,73100-19-00,1330,1197
LABORATORY,FMLAB-9280,Tb Pcr & Culture, ,Service,73050-56-40,4150,3735
LABORATORY,FMLAB-9281,Parietal Cell Abs, ,Service,73100-13-40,510,459
LABORATORY,FMLAB-9283,Centromere Abs, ,Service,73250-00-20,510,459
LABORATORY,FMLAB-9284,Parvo Virus B19 Abs Igg & Igm, ,Service,73100-25-30,2340,2106
LABORATORY,FMLAB-9286,Tetanus Abs., ,Service,73100-26-40,1195,1075.5
LABORATORY,FMLAB-9288,Hiv-1 Quantitative Pcr, ,Service,73050-55-20,6205,5584.5
LABORATORY,FMLAB-9289,Cd4 And Cd8 (T4&T8), ,Service,73100-16-90,3500,3150
LABORATORY,FMLAB-9291,B-Hydroxylase Dopamine, ,Service,73050-39-70,1195,1075.5
LABORATORY,FMLAB-9297,Adenosine Deaminase, ,Service,73050-00-60,2185,1966.5
LABORATORY,FMLAB-9306,Very Long Chain Fatty Acids, ,Service,73050-13-00,3265,2938.5
LABORATORY,FMLAB-9308,Erythropoietin Abs, ,Service,73050-11-80,1390,1251
LABORATORY,FMLAB-9310,Pneumococcal Vacc Ag Igg, ,Service,92165-00-00,1330,1197
LABORATORY,FMLAB-9314,Manganese In Plasma, ,Service,73050-24-20,1570,1413
LABORATORY,FMLAB-9316,Lamotrigin, ,Service,73300-01-50,500,450
LABORATORY,FMLAB-9323,Hdv-Rna Qualitative (By Pcr), ,Service,73100-22-80,1747.24,1588.4
LABORATORY,FMLAB-9328,Paroxysmal Noctural Hemoglobinuria( Pnh Screening), ,Service,73050-19-30,1175,1057.5
