Service Code,Service Name, Price,NPHIES ID,2022 Prices,2023 prices
FMOPTK0003,ENUNCLEATION,1160,42506-00-00,1406.6624,1505.128768
FMOPTK0005,ENUNCLEATION WITH IMPLANT,1668,42509-00-00,2022.6835199999998,2164.2713664
FMSUR-0213,ENUNCLIATION OF THYROID CYST  OR ADENOMA,1740,99999-99-99,2109.9936,2257.693152
FMLAB-9477,ENZYME BILIRUBIN UPDS TRANSFERASE,1160,73050-04-30,1406.6624,1505.128768
FMLAB-9478,EPHEDRINE,340,73300-03-70,412.2976,441.158432
FMXRY-0246,EPIDEDIMO VASOGRAPHY,2100,59736-00-00,2546.544,2724.80208
FMURO-0082,EPIDIDYMOVASOSTOMY,5280,37619-02-00,6402.7392,6850.930944000001
FMANA-0057,EPIDURAL ANAESTHESIA - OPD (PAIN RELIEF),850,92508-99-00,1030.744,1102.89608
FMOBG-0009,EPIDURAL ANALGESIA,938,92516-00-00,1137.45632,1217.0782624
FMOHU-0004,EPIDURAL CATHETER INSERTION,280,39125-00-00,339.5392,363.306944
MTNEU-0008,EPIDURAL INJECTION1,675,99999-99-99,818.5319999999999,875.82924
FMICU-0006,EPIDURAL INSERTION,280,90018-00-00,339.5392,363.306944
FMOPTC0019,EPILAITON OF THE EYELASHES,65,90086-00-01,78.82159999999999,84.339112
FMNUM-0007,EPILEPSY CENTER PKG,4855,99999-99-99,5887.3672,6299.482904
FMURO-0081,EPIPADIUS REPAIR,3244,37836-00-00,3933.8041599999997,4209.1704512
FMOBG-0073,EPISIOTOMY - LOCAL ANAESTHESIA,334,90472-00-00,405.02176,433.3732832
MTOBG-0016,EPISIOTOMY WOUND REVISION,765,99999-99-99,927.6696,992.606472
FMPDS-0066,EPISPADIAS REPAIR,3476,37836-00-00,4215.13664,4510.1962048
FMENTE0045,EPLEY MANUEVER FOR BPPV,368,99999-99-99,446.25151999999997,477.4891264
FMERDA0040,ER DELIVERY FEE,1660,99999-99-99,2012.9823999999999,2153.891168
FMERDA0041,ER DELIVERY FEE FOR CONSULTANT,1140,96037-00-00,1382.4096,1479.178272
FMLAB-7059,ER PROFILE (I) CBC + URINE ANALYSIS,196,73350-06-00,237.67744,254.3148608
FMLAB-7060,ER PROFILE (II): ALKPHOS. + T.BIL.+SGHOT+SGPT+GGT+LIPASE+AMALSE+RBS,556,99999-99-99,674.22784,721.4237888
FMLAB-7061,ER PROFILE (III): TROPONIN + CK+ CKMB,568,99999-99-99,688.7795199999999,736.9940864
FMLAB-7062,ER PROFILE (IV): PT+PTT,212,99999-99-99,257.07968,275.0752576
FMERRZ9998,ER RECOVERY ROOM FEE,110,99999-99-99,133.3904,142.727728
FMERD-0010,ER STOCK DEDUCTION,15,99999-99-99,18.1896,19.462872
MTDER-0012,ERBIUM - EXTRA LARGE AREA,4000,99999-99-99,4850.5599999999995,5190.0992
MTDER-0011,ERBIUM - LARGE AREA,3340,99999-99-99,4050.2176,4333.732832000001
MTDER-0010,ERBIUM - MEDIUM AREA,2020,99999-99-99,2449.5328,2621.000096
MTDER-0009,ERBIUM - SMALL AREA,640,99999-99-99,776.0896,830.415872
EXDER-0012,ERBIUM EXTRA LARGE AREA,3175,99999-99-99,3850.1319999999996,4119.64124
EXDER-0011,ERBIUM LARGE AREA,2540,99999-99-99,3080.1056,3295.712992
EXDER-0010,ERBIUM MEDIUM AREA,1910,99999-99-99,2316.1423999999997,2478.272368
EXDER-0009,ERBIUM SMALL AREA,640,99999-99-99,776.0896,830.415872
SUR-0025,ERCP Diagnosis,3300,30484-00-00,4001.712,4281.83184
SUR-0026,ERCP Therapeutic,5500,30484-00-00,6669.5199999999995,7136.3864
FMDER-0095,ERECTILE DISORDERS DETECTION   USING DUPPLER APPARATUS,155,37815-00-00,187.95919999999998,201.116344
FMLAB-9157,ERYTHROPOIETIN,860,73050-11-80,1042.8704,1115.8713280000002
FMSUR-0159,ESOPHAGEAL DIVERTICULUM,3244,99999-99-99,3933.8041599999997,4209.1704512
FMENTD0001,ESOPHAGOSCOPY,1350,30473-03-00,1637.0639999999999,1751.65848
FMENTD0002,ESOPHAGOSCOPY  DILATATION,1740,41819-00-00,2109.9936,2257.693152
FMLAB-1038,ESR,85,73100-09-00,103.0744,110.289608
FMLAB-1039,ESTERASE  STAIN,320,73050-08-20,388.0448,415.207936
FMLAB-3010,ESTRADIOL (E2),290,73050-11-90,351.6656,376.282192
FMLAB-3011,ESTRIOL / OESTERIOL (E3),400,73050-12-20,485.056,519.00992
FMLAB-9480,ESTRONE/OESTRONE,349,73050-12-10,423.21135999999996,452.8361552
FMURO-0110,"ESWL (I)  GRADE ""D""",5300,92199-00-00,6426.991999999999,6876.881439999999
FMURO-0107,"ESWL (I) GRADE ""A""",3528,37008-03-00,4278.19392,4577.6674944
FMURO-0108,"ESWL (I) GRADE ""B""",4128,90404-00-00,5005.7779199999995,5356.182374399999
FMURO-0109,"ESWL (I) GRADE ""C""",4704,36549-00-00,5704.258559999999,6103.5566592
FMURO-0111,"ESWL (I) GRADE ""E""",5876,92199-00-00,7125.47264,7624.2557248
URO-0013,ESWL-Any Additional Session,1200,36546-00-00,1455.168,1557.02976
URO-0012,ESWL-Large Stone,8000,92199-00-00,9701.119999999999,10380.1984
URO-0011,ESWL-Medium Stone,6500,92199-00-00,7882.16,8433.9112
URO-0010,ESWL-Small Stone,5500,92199-00-00,6669.5199999999995,7136.3864
FMURO-0125,ESWL-STONE LOCALIZATION TRIAL,310,92199-00-00,375.91839999999996,402.232688
FMENTS0014,ETHMOID SINUSCOPY,930,41764-01-00,1127.7551999999998,1206.698064
FMLAB-4021,ETHOSUXIMIDE (ZATROTIN),300,99999-99-99,363.792,389.25744
FMDER-0106,EUROPEAN ACNE - FACIAL,825,99999-99-99,1000.428,1070.45796
FMORT-0684,EVAC. OF PSOAS ABCESS W/TRANS- PEDICULAR SPINAL FUSION,3528,48660-00-00,4278.19392,4577.6674944
MTOBG-0011,EVACUATION  CURRATAGE (EC),1433,99999-99-99,1737.71312,1859.3530384
FMOPTL0007,EVACUATION OF ANTER CHAMBER,1668,42740-00-01,2022.6835199999998,2164.2713664
FMNEU-0115,EVACUATION OF BRAIN CONTUSION,2268,39600-00-00,2750.26752,2942.7862464
FMORT-0577,EVACUATION OF HEMATOMA,585,30223-00-00,709.3944,759.0520080000001
FMNEU-0009,EVACUATION OF HEMATOMA(BH),1856,39600-00-00,2250.65984,2408.2060288
MTOBG-0025,EVACUATION OF MILK,38,99999-99-99,46.08032,49.305942400000006
FMOBG-0022,EVACUATION OF RTND PROD. OF    CONCEPTION,829,16564-00-00,1005.27856,1075.6480592
FMPSYC0025,EVALUATION IQ,250,99999-99-99,303.15999999999997,324.3812
FMERDA0082,EVALUATION OF BREAST MILK      USING ELECTRONIC BREAST PUMP,50,92001-00-00,60.632,64.87624
FMPSYC0002,EVALUATION OF STUDENT BEHAVIORAL,250,99999-99-99,303.15999999999997,324.3812
FMOPTK0002,EVISCERATION,1160,42512-00-00,1406.6624,1505.128768
FMOPTK0012,EVISCERATION WITH MOTILITY     IMPLANT,2320,42515-00-00,2813.3248,3010.257536
FMNUM-0032,EVOKED POTENTIAL,1925,92015-00-01,2334.332,2497.73524
FMOBG-0124,EXAM.UNDER GENERAL ANAESTHESIA,165,92514-99-00,200.0856,214.09159200000002
FMPDT-0054,EXAMINATION OF CHILDREN 5 YRS  AND OLDER,145,96037-00-00,175.8328,188.141096
FMPDT-0006,EXAMINATION OF NEW BORN        INCLUDING SIMPLE NEURO TEST,145,96037-00-00,175.8328,188.141096
MTENT-0121,EXAMINATION OF THE EAR UNILATERAL UNDER G.A.,405,99999-99-99,491.1192,525.4975440000001
MTENT-0124,EXAMINATION OF THE NASOPHARYNX(NASOPHARYNGOSCOPY),270,99999-99-99,327.4128,350.331696
FMPDS-0007,EXAMINATION UNDER ANAESTHESIA,720,96037-00-00,873.1007999999999,934.217856
EXOBG-0001,EXAMINATION UNDER G.A.,533,99999-99-99,646.3371199999999,691.5807183999999
FMSUR-0315,EXAMINATION UNDER G.A.,2370,99999-99-99,2873.9568,3075.133776
MTOBG-0001,EXAMINATION UNDER G.A.,345,99999-99-99,418.3608,447.646056
FMPDT-0005,EXAMINATN OF BABY  CHILD UPTO 4 YEARS OLD,145,96037-00-00,175.8328,188.141096
MTPSD-0007,EXCCISION OF SMALL KELOID OF FACE,1345,99999-99-99,1631.0008,1745.1708560000002
MTSUR-0032,EXCCISION OF TONGUE SWELLING,2015,99999-99-99,2443.4696,2614.512472
FMOPTK0004,EXCENTRATION,2780,42536-00-01,3371.1391999999996,3607.118944
FMPDT-0003,EXCHANGE TRANSFUSION EXCLUDING BLOOD MEDICINE  INSTRUMENTS,1140,92206-00-00,1382.4096,1479.178272
FMOPTE0018,EXCIM.LAS.FOR MYOPIA(PPK)/EYE,2320,42809-00-01,2813.3248,3010.257536
FMSUR-0248,EXCIS. OF INTRA ABDOMINAL CYST,2900,99999-99-99,3516.656,3762.8219200000003
MTSUR-0020,EXCISION  BIOPSY OF SKIN (W/OUT ANAESTHESIA),310,99999-99-99,375.91839999999996,402.232688
SUR-0022,Excision - Multiple Big Lipoma G.A.,3300,31205-00-30,4001.712,4281.83184
FMPSDJ0012,EXCISION  OF LIPOMA (MODERATE),520,31350-00-01,630.5727999999999,674.712896
ORT-0070,Excision  of Malignant Tumors  Bone Graft,16500,31205-00-10,20008.559999999998,21409.1592
ORT-0006,Excision  of Olecranon Bursa,3575,30111-00-01,4335.188,4638.65116
OBG-0029,Excision  of Tubal (Ectopic Pregnancy ) Lap,9500,35678-01-00,11520.08,12326.4856
FMSUR-0002,EXCISION AND BIOPSY OF SKIN,295,99999-99-99,357.7288,382.769816
SUR-0020,Excision- Ganglion Cyst L.A,2200,30107-00-01,2667.808,2854.55456
SUR-0024,Excision- Multiple Neurofibroma L.A.,3300,43987-02-00,4001.712,4281.83184
SUR-0011,Excision of  Lipoma GA,2890,99999-99-99,3504.5296,3749.846672
SUR-0007,Excision of  Lipoma LA,1650,31205-00-10,2000.856,2140.91592
MTPSD-0004,EXCISION OF  SEBACEOUS CYST (SMALL),1345,99999-99-99,1631.0008,1745.1708560000002
FMNEU-0040,EXCISION OF ACOUSTIC NEUROMA,5564,41575-00-00,6747.12896,7219.427987200001
FMSUR-0028,EXCISION OF ANAL FISSURE,1925,99999-99-99,2334.332,2497.73524
MTSUR-0022,EXCISION OF ANAL FISSURE,3200,99999-99-99,3880.448,4152.07936
FMSUR-0029,EXCISION OF ANAL FISTULA - LOW,1925,99999-99-99,2334.332,2497.73524
FMSUR-0083,EXCISION OF ANUERYSM OF PERI- PHERAL VESSEL,2780,99999-99-99,3371.1391999999996,3607.118944
MTENT-0018,EXCISION OF ASBCESS OF EXT. EAR (G.A.),1640,99999-99-99,1988.7296,2127.940672
FMSUR-0277,EXCISION OF AXILLARY MASS,1660,99999-99-99,2012.9823999999999,2153.891168
FMPSDG0010,EXCISION OF AXILLARY TAIL OF   BREAST,2555,31500-00-01,3098.2952,3315.1758640000003
FMORT-0308,EXCISION OF BAKER'S CYST,1740,30114-00-00,2109.9936,2257.693152
OBG-0010,Excision of Bartholin Cyst,3575,35513-00-00,4335.188,4638.65116
FMOBG-0185,EXCISION OF BARTHOLIN CYST(BIG,1575,35513-00-00,1909.908,2043.60156
FMPSDG0001,EXCISION OF BENIGN MASSES OF   BREAST,1280,31500-00-01,1552.1792,1660.831744
FMPSDG0011,EXCISION OF BENIGN MASSES OF   BREAST (LARGE),2320,31500-00-01,2813.3248,3010.257536
DNT-0040,EXCISION OF BENIGN TUMOR MANDIBLE OR MAXILLARY BONE,33000,45825-01-00,40017.119999999995,42818.3184
FMPDS-0060,EXCISION OF BRACHIAL CYST OR,3364,30286-00-00,4079.32096,4364.8734272
FMORT-0471,EXCISION OF CALCIFICATION OF   THESUPRASPINATUS TENDON,1045,48900-01-01,1267.2087999999999,1355.9134159999999
FMPSDE0027,EXCISION OF CANCER OF ORAL     CAVITY,3568,30275-00-00,4326.69952,4629.5684864
FMVAS-0020,EXCISION OF CAROTID BODY TUMOUR,5480,99999-99-99,6645.267199999999,7110.435904
FMVAS-0042,EXCISION OF CERVICAL RIB,4760,99999-99-99,5772.1664,6176.218048000001
ORT-0065,Excision of Cervical Rib,11550,48406-12-00,14005.992,14986.411440000002
FMORT-0506,EXCISION OF CEVICAL RIB,2320,48406-12-00,2813.3248,3010.257536
MTOPT-0004,EXCISION OF CHALAZION (BIG),460,99999-99-99,557.8144,596.861408
MTOPT-0003,EXCISION OF CHALAZION (MEDIUM),695,99999-99-99,842.7847999999999,901.779736
MTOPT-0002,EXCISION OF CHALAZION (SMALL),310,99999-99-99,375.91839999999996,402.232688
FMCTS-0036,EXCISION OF CHEST WALL SINUS,3675,30099-00-00,4456.452,4768.40364
FMCTS-0009,EXCISION OF CHEST WALL TUMOUR,7000,31350-00-01,8488.48,9082.6736
FMSUR-0259,EXCISION OF CHOLEDOCAL CYST   CHOLY CYSTO-JUNOSTOMY,2320,99999-99-99,2813.3248,3010.257536
FMORT-0766,EXCISION OF COCCYX,2670,47456-01-01,3237.7488,3464.391216
ORT-0056,Excision of Cyst  Bone Graft,15000,31205-00-10,18189.6,19462.872
FMPSDA0011,EXCISION OF CYST OF UPPER     LOWER LIP WITH REPAIR,1510,31230-03-00,1831.0864,1959.262448
FMPDS-0052,EXCISION OF CYSTIC HYGROMA,4796,45033-06-00,5815.82144,6222.9289408
FMORT-0163,EXCISION OF DESTRUCTION INTER- VERTEBRAL DISC,2780,40300-00-00,3371.1391999999996,3607.118944
FMPSDC0005,EXCISION OF EAR REMINENTS,2552,31230-02-01,3094.65728,3311.2832896
FMENTP3010,EXCISION OF ELONGATED STYLOID,1545,30244-00-01,1873.5287999999998,2004.675816
FMPSDE0038,EXCISION OF EPITHELIOMA OF     HEAD OR NECK,2552,31235-00-00,3094.65728,3311.2832896
FMNEU-0162,EXCISION OF EXTRA MEDULLARY CORD TUMOR,4268,99999-99-99,5175.54752,5537.8358464
DNT-0021,EXCISION OF FACIAL BENIGN CUTANEOUS NEOPLASM + HISTOP. G.A.,19800,31235-00-00,24010.271999999997,25690.991039999997
DNT-0022,EXCISION OF FACIAL CYST G.A.,19800,31205-00-10,24010.271999999997,25690.991039999997
EXSUR-0013,EXCISION OF GANGLION,963,99999-99-99,1167.77232,1249.5163824
FMPDS-0043,EXCISION OF GANGLION,1835,30107-00-01,2225.1944,2380.958008
FMSUR-0057,EXCISION OF GANGLION,963,99999-99-99,1167.77232,1249.5163824
ORT-0013,Excision of Ganglion,3300,30107-00-01,4001.712,4281.83184
FMPSDF0019,EXCISION OF GANGLION  OTHER   CYSTS,1025,46494-00-01,1242.956,1329.96292
FMVAS-0037,EXCISION OF HAEMANGIOMA (LARGE),2960,99999-99-99,3589.4143999999997,3840.6734079999997
VAS-0021,Excision of Haemangioma (Large),14025,45033-00-00,17007.275999999998,18197.78532
FMVAS-0036,EXCISION OF HAEMANGIOMA (SMALL),2700,99999-99-99,3274.1279999999997,3503.31696
VAS-0016,Excision of Haemangioma (Small),8925,45033-06-00,10822.812,11580.40884
FMORT-0465,EXCISION OF HEAD OF RADIUS,1160,48406-03-01,1406.6624,1505.128768
ORT-0035,Excision of Head of Radius,3750,48406-03-01,4547.4,4865.718
SUR-0079,Excision of Hepatic Cysts,11500,30414-00-00,13945.359999999999,14921.5352
FMORT-0305,EXCISION OF HETEROPTIC BONE,1395,90572-00-01,1691.6327999999999,1810.047096
FMENTE2012,EXCISION OF KELOID,1160,45515-00-00,1406.6624,1505.128768
MTENT-0016,EXCISION OF KELOID (G.A.),2815,99999-99-99,3413.5816,3652.5323120000003
MTENT-0015,EXCISION OF KELOID (L.A.),1880,99999-99-99,2279.7632,2439.346624
FMDNTS0135,EXCISION OF LARGE KELOID FACE,2625,45506-00-00,3183.18,3406.0026
FMPSDE0041,EXCISION OF LARGE KELOID OF    FACE,1915,45512-00-00,2322.2056,2484.759992
FMENTL0009,EXCISION OF LARYNGOCELE,2780,90161-00-00,3371.1391999999996,3607.118944
FMENTS0007,EXCISION OF LESION MAXILLARY,1160,41716-00-00,1406.6624,1505.128768
FMORT-0253,EXCISION OF LESION OF MUSCLE   OF HAND,1160,31350-00-01,1406.6624,1505.128768
FMORT-0254,EXCISION OF LESION OF OTHER    LESION OF SOFT TISSUE-HAND,1160,31350-00-01,1406.6624,1505.128768
FMENTN0002,EXCISION OF LIMITED TUMOUR OF,3244,31230-01-00,3933.8041599999997,4209.1704512
FMENTP2009,EXCISION OF LINGUAL TONSIL,1160,99999-99-99,1406.6624,1505.128768
FMPSDJ0011,EXCISION OF LIPOMA (BIG),770,31350-00-01,933.7328,999.094096
MTPSD-0001,EXCISION OF LIPOMA (MODERATE),2015,99999-99-99,2443.4696,2614.512472
FMPSDJ0013,EXCISION OF LIPOMA (SMALL,355,31205-00-10,430.4872,460.621304
MTPSD-0002,EXCISION OF LIPOMA (SMALL),2015,99999-99-99,2443.4696,2614.512472
MTPSD-0003,EXCISION OF LIPOMA BIG,5328,99999-99-99,6460.94592,6913.212134400001
MTSUR-0027,EXCISION OF LIPOMA OR SIMPLE BENIGH TUMOUR OF SKIN,760,99999-99-99,921.6064,986.1188480000001
MTORT-0024,EXCISION OF LISION (GANGLION) OF TENDON EXCEPT HAND,1740,99999-99-99,2109.9936,2257.693152
MTSUR-0025,EXCISION OF LOCALIZED LESION OF BREAST,3200,99999-99-99,3880.448,4152.07936
FMSUR-0037,EXCISION OF LOCALIZED LESION OF BREASTA,2595,99999-99-99,3146.8008,3367.076856
DNT-0011,EXCISION OF LOCALIZED ORAL TUMOR WITH HISTOPATHOLOGY,10450,90141-01-00,12672.088,13559.13416
ORT-0033,Excision of Lower End of Ulna,4400,49224-02-01,5335.616,5709.10912
FMORT-0466,EXCISION OF LOWER END ULNA,1045,48406-05-01,1267.2087999999999,1355.9134159999999
ENT-0012,Excision of Lumps from Neck  Head-G.A.,3300,31235-00-00,4001.712,4281.83184
FMCTS-0011,EXCISION OF LUNG CYST,4900,38424-01-00,5941.936,6357.87152
FMCTS-0043,EXCISION OF LYMPH NODE,315,90282-00-00,381.98159999999996,408.720312
DNT-0043,EXCISION OF MALIGNANT TUMOUR MANDIBLE OR MAXILLARY BONE,46200,30241-00-01,56023.968,59945.64576000001
FMCTS-0028,EXCISION OF MEDIASTINAL MASS,5145,38446-03-00,6239.0328,6675.765096
FMPSDE0040,EXCISION OF MEDIUM KELOID OF FACE,1315,45506-00-00,1594.6216,1706.245112
FMPSDE0037,EXCISION OF MELANOMA OF HEAD   OR NECK,3060,31235-00-00,3710.6784,3970.425888
FMNEU-0125,EXCISION OF MENINGOCELE/ENCEPHALOCELE,1575,40109-00-00,1909.908,2043.60156
MTOPT-0036,EXCISION OF MIN LISSION OF EYELID,460,99999-99-99,557.8144,596.861408
FMOPTC0005,EXCISION OF MINI LISION OF EYELID,460,31230-00-01,557.8144,596.861408
FMPSDC0002,EXCISION OF MINOR KELOID      REPAIR OF EAR,1025,45506-00-00,1242.956,1329.96292
DNT-0005,EXCISION OF MINOR SALIVARY GLAND ( MUCOCELE ),6600,90138-00-00,8003.424,8563.66368
FMORT-0420,EXCISION OF MULTIPLE LIPOMA,1740,99999-99-99,2109.9936,2257.693152
MTSUR-0028,EXCISION OF MULTIPLE LIPOMA OR NEUROMA (G.A.),2220,99999-99-99,2692.0607999999997,2880.505056
FMORT-0260,EXCISION OF MUSCLE OR FACIA OF HAND FOR GRAFT,1740,90577-00-01,2109.9936,2257.693152
FMORT-0306,EXCISION OF MUSCLE SCAR OF     VOLMANN'S CONTRACTURE,1395,50112-00-01,1691.6327999999999,1810.047096
MTENT-0120,EXCISION OF NASAL ADHESION    BILATERAL,2055,99999-99-99,2491.9752,2666.413464
MTENT-0119,EXCISION OF NASAL ADHISION UNILATERAL,1880,99999-99-99,2279.7632,2439.346624
FMPDS-0082,EXCISION OF NEPHROBLASTOMA,3740,36558-01-00,4535.2735999999995,4852.742752
FMPDS-0068,EXCISION OF NEUROBLASTOMA,3740,43987-02-00,4535.2735999999995,4852.742752
FMORT-0670,EXCISION OF NEUROMA FINGER,2205,39324-02-00,2673.8712,2861.0421840000004
FMSUR-0318,EXCISION OF OESOPHOGEAL STRICTURE WITH STOMACH WRAP,15000,99999-99-99,18189.6,19462.872
FMORT-0455,EXCISION OF OLEACRANON BURSE,585,30111-00-01,709.3944,759.0520080000001
FMNEU-0165,EXCISION OF ORTIBAL TUMOR,6396,99999-99-99,7756.04544,8298.9686208
DNT-0037,EXCISION OF PAROTID GLAND,33000,30247-00-00,40017.119999999995,42818.3184
FMCTS-0025,EXCISION OF PERICARDIAL CYST,4200,38456-05-00,5093.088,5449.60416
MTOPT-0026,EXCISION OF PETERYGIUM WITH GRAFT,4272,99999-99-99,5180.39808,5543.0259456
FMENTL0010,EXCISION OF PHARYNGEAL POUCH,2900,41770-00-00,3516.656,3762.8219200000003
FMSUR-0058,EXCISION OF PLANTAR WART,155,99999-99-99,187.95919999999998,201.116344
MTSUR-0026,EXCISION OF PLANTAR WART,220,99999-99-99,266.7808,285.455456
FMPDS-0047,EXCISION OF POLYDACTLY,2810,46516-01-00,3407.5184,3646.044688
FMNEU-0157,EXCISION OF PORAMEN MAGNUM MENENGIOMA,7464,30055-00-20,9051.14496,9684.7251072
FMPDS-0012,EXCISION OF POST CIRCUMSISION,525,90403-00-00,636.636,681.20052
FMENTE2008,EXCISION OF PRE-AURICULAR -,2900,30104-00-01,3516.656,3762.8219200000003
FMENTE2009,EXCISION OF PRE-AURICULAR -,2952,30104-00-01,3579.71328,3830.2932096
FMENTE2007,EXCISION OF PRE-AURICULAR CYST,2900,30104-00-01,3516.656,3762.8219200000003
FMPSDC0004,EXCISION OF PREAURICULAR SINUS,2552,30104-00-01,3094.65728,3311.2832896
FMPDS-0038,EXCISION OF RANULA,1410,30283-00-00,1709.8224,1829.509968
FMPDS-0035,EXCISION OF RECTAL POLYP,1410,32093-00-00,1709.8224,1829.509968
FMPDS-0083,EXCISION OF SACROCOXYGEAL TERE,4272,32036-00-00,5180.39808,5543.0259456
FMPSDJ0016,EXCISION OF SEBA. CYST(SMALL),335,31205-00-10,406.2344,434.670808
FMPSDJ0015,EXCISION OF SEBA.CYST(MODERATE,520,31205-00-20,630.5727999999999,674.712896
MTPSD-0006,EXCISION OF SEBACEOUS (BIG),1345,99999-99-99,1631.0008,1745.1708560000002
MTPSD-0005,EXCISION OF SEBACEOUS CYST (MODERATE),1345,99999-99-99,1631.0008,1745.1708560000002
MTSUR-0029,EXCISION OF SEBACEOUS CYST G.A.,1080,99999-99-99,1309.6512,1401.326784
MTSUR-0030,EXCISION OF SEBACEOUS CYST SINGLE,610,99999-99-99,739.7103999999999,791.490128
FMPSDJ0014,EXCISION OF SEBACEUS CYST(BIG),990,31205-00-30,1200.5136,1284.5495520000002
SUR-0030,Excision of Simple Tumor or Chronic Abscess of Breast,4000,31500-00-01,4850.5599999999995,5190.0992
FMORT-0469,EXCISION OF SIMPLE TUMOUR OF   BONE,1160,30241-00-01,1406.6624,1505.128768
FMORT-0419,EXCISION OF SINGLE LIPOMA,585,31205-00-10,709.3944,759.0520080000001
FMPSDE0039,EXCISION OF SMALL KELOID OF FACE,670,45506-00-00,812.4688,869.341616
URO-0030,Excision of Spermatocele,5670,37601-00-00,6875.6687999999995,7356.9656159999995
DNT-0020,EXCISION OF SUBLINGUAL GLAND,19800,30259-00-00,24010.271999999997,25690.991039999997
FMENTK0005,EXCISION OF SUBMANDIBULAR -,2780,30256-00-00,3371.1391999999996,3607.118944
FMPSDE0033,EXCISION OF SUBMANDIBULAR      SALIVARY GLAND,1915,30256-00-00,2322.2056,2484.759992
SUR-0069,Excision of Submandibular Gland G.A.,6300,30256-00-00,7639.632,8174.40624
FMPDS-0013,EXCISION OF SUPERFICIAL LESION,775,31205-00-10,939.7959999999999,1005.58172
FMCTS-0032,EXCISION OF SUPERIOR SULCU     TUMUR,7460,38440-00-00,9046.294399999999,9679.535007999999
FMPSDG0009,EXCISION OF SUPERNUMERY BREAST,2555,31500-00-01,3098.2952,3315.1758640000003
FMVAS-0046,EXCISION OF SWELLING,1835,99999-99-99,2225.1944,2380.958008
MTVAS-0011,EXCISION OF SWELLING,465,99999-99-99,563.8775999999999,603.349032
FMORT-0257,EXCISION OF TENDON OF HAND FOR GRAFT,1395,90578-00-01,1691.6327999999999,1810.047096
FMORT-0472,EXCISION OF THE ACROMION,1045,48406-09-01,1267.2087999999999,1355.9134159999999
FMENTK0003,EXCISION OF THYROGLOSSAL CYST,2320,30313-00-00,2813.3248,3010.257536
FMPDS-0061,EXCISION OF THYROGLOSSAL CYST,3364,30313-00-00,4079.32096,4364.8734272
FMDNTS0128,EXCISION OF TONGUE (LOCALIZED),1000,41779-01-00,1212.6399999999999,1297.5248
FMDNTS0129,EXCISION OF TONGUE (PARTIAL),2310,30272-00-00,2801.1983999999998,2997.282288
FMSUR-0276,EXCISION OF TONGUE MASS,1325,99999-99-99,1606.7479999999998,1719.2203599999998
MTSUR-0023,EXCISION OF TONGUE MASS,2668,99999-99-99,3235.32352,3461.7961664
FMENTP2010,EXCISION OF TONSILAR TAG,1160,41789-00-00,1406.6624,1505.128768
FMPSDA0013,EXCISION OF TUMOPOR OF LOWER LIP  REPAIR,3664,31230-03-00,4443.1129599999995,4754.1308672
FMPSDB0009,EXCISION OF TUMOPUR OF EXTERNL NOSE AND NASAL RECONSTRUCTION,3060,31230-01-00,3710.6784,3970.425888
FMPSDI0009,EXCISION OF TUMOUR MANDIBLE    (TOTAL),3568,30241-00-01,4326.69952,4629.5684864
FMPSDE0011,EXCISION OF TUMOUR OF EYELID   REPAIR,2552,31230-00-01,3094.65728,3311.2832896
FMPSDE0028,EXCISION OF TUMOUR OF SOFT     PALATE,2555,30275-00-00,3098.2952,3315.1758640000003
FMPSDA0012,EXCISION OF TUMOUR OF UPPER    LIP  REPAIR,2900,45671-00-00,3516.656,3762.8219200000003
ENT-0003,Excision of Uvula,2640,41810-01-00,3201.3696,3425.4654720000003
FMENTP2017,EXCISION OF VALLECULAR CYST,2320,41813-00-00,2813.3248,3010.257536
FMENTL0006,EXCISION OF VOCAL CORDS MICRO-,2900,41876-01-00,3516.656,3762.8219200000003
SUR-0019,Excision-Sebaceous Cyst L.A,1800,31205-00-10,2182.752,2335.54464
SUR-0017,Excision-Small Skin Tumors G.A.,2420,31205-00-10,2934.5888,3140.010016
FMOBG-0057,EXCISN  BIOPSY OF BILATERAL   LABIAL LYMPH NODES,829,90282-02-00,1005.27856,1075.6480592
FMSUR-0018,EXCISN HIGH ANAL FISTULA,2420,99999-99-99,2934.5888,3140.010016
FMSUR-0099,EXCISN OF ANGULAR DERMOID CYST,930,99999-99-99,1127.7551999999998,1206.698064
FMSUR-0066,EXCISN OF CYST OF FORESKIN    PENIS,585,99999-99-99,709.3944,759.0520080000001
FMSUR-0168,EXCISN OF DUODENAL DIVERTICULM,2780,99999-99-99,3371.1391999999996,3607.118944
FMOBG-0054,EXCISN OF ENLARGED LABIA,1076,90442-00-00,1304.80064,1396.1366848
FMOPTC0002,EXCISN OF LARGE CHALAZION,575,42575-00-01,697.2679999999999,746.0767599999999
FMENTS0008,EXCISN OF LESION OF MAXILLARY,1395,41716-06-00,1691.6327999999999,1810.047096
FMSUR-0052,EXCISN OF LIPOMA OR SIMPLE    BENIGN TUMOUR OF SKIN,585,31205-00-10,709.3944,759.0520080000001
FMOPTC0006,EXCISN OF MAJ.LESION OF EYELID,1475,31230-00-01,1788.644,1913.8490800000002
FMORT-0136,EXCISN OF MINISCUS PER ARTROSC,2320,49560-03-01,2813.3248,3010.257536
