WIPRO CODE,NAME,price 
MS-D-000346,DISSECTOR 4.0MM X 13CM #AR-8400DS,2387
MS-D-000147,DISSECTOR ENDO CURVED 5MM ETHICON #5DCD,2812
MS-D-000292,DISSECTOR W/MONOPOLAR CAUTERY 5MM # LA5201-01,6064
MS-D-000293,"DISTAL CENTRALIZER 10MM,ZIMMER#7859-10",14850
MS-D-000314,DISTAL FEMUR PLATE 11HOLES #PF 4510-11-2,11262
MS-D-001088,DISTAL FIBULA KIT STANDARD LEFT SIZE3/NEW CLIP CHM # KIT-AL3G,16335
MS-D-000128,DORMIA BASKET 3FR 90CM # EXN434,3542
MS-D-001099,"DOUBLE Y PLATE 10MM M, OSTEONIC  # FDY307L06A",4447
SMI1932,DRAIN CHEST 1 BOTTLE STERILE 2000CC #R54500/8884-713100,1348
SMI2008,DRAIN CHEST 2 BTL. SET STERILE DEKNATEL #NC-5512/AA-8000/-571299,1348
SMC1039,"DRAINAGE WOUND 400ML 3/32"" 8F",351
SMC1040,"DRAINAGE WOUND CH12(SMALL) 3/16"" / 400ML",351
SMC1041,"DRAINAGE WOUND CH14 (MIDUM) 1/8""/400 ML.",351
SMC1042,"DRAINAGE WOUND CH16 (LARGE) 1/4"" /400 ML",351
MS-D-000169,DRAINAGE WOUND.POLYVAC SET 8CH # 9007,351
SME1132,DRAPE EMBOSSED PLASTIC OPHTHALMIC 40*50 VISITEC #-58-1071,340
MS-D-001070,"DRAPE INCISE ANTIMICROBIAL LOBAN 13X13"" 3M # 6640EZ",539
MS-D-001071,"DRAPE INCISE ANTIMICROBIAL LOBAN 23X23"" 3M # 6648EZ",742
SME1298,DRAPE IOBAN 35X17 IMCISE/30X28 INCIFILM PHARMAPLAST/ 3M # 6650(SME1080),243
MS-D-001057,DRAPE OPTHALMIC 120x120CM DOUBLE LCP F/CATARACT TIO MEDICAL #EYE,189
MS-D-001072,"DRAPE SHEET FOR CESAREAN SECTION W/LOBAN 2 INCISE FILM 77 X 115"" 3M # 6697",1348
SME1139,"DRAPE STERILE 48X118"" F/ZEISS OPMI MD #326071-0000/326070",1386
MS-D-000358,DRAPE SURGICAL 100 X 150CM CARDIVA # CAR-016101205,54
SME1260,DRAPE SURGICAL COVER SIZE 165CMX110CM STERIPHARMA (BIG) #1016,75
SME1056,DRAPE SURGICAL COVER STERILE 99X130CM KIMBERLY CLARK -MEDIUM #89111 / #1019,88
SME1077,DRAPE SURGICAL STERILE 50X75CM (MAYO COVER),48
MS-D-000396,DRAPE VISITEC F/OPTHALMIC SIZE 100X120 # GREEC,189
SMA1141,DRESSING 10CMX10CM OMNIFIX #6615 /MAFIX #350200/CURA#30342,142
MS-D-001119,"DRESSING BIOPATCH PROTECTIVE DISK W/CHG 52.5MG 6FR 1.5MM HOLE, JOHNSON & JOHNSON # 44151",674
MS-D-001120,"DRESSING BIOPATCH PROTECTIVE DISK W/CHG 86.8MG 13-20FR 7MM HOLE, JOHNSON & JOHNSON # 44152",674
MS-D-001118,"DRESSING BIOPATCH PROTECTIVE DISK W/CHG 92MG 6-12FR 4.0MM HOLE, JOHNSON & JOHNSON # 44150",674
SMA1144,DRESSING ELASTIC 30X10 OMNIFIX/CURA#30345/NEO#217441/4 MEF#313000,418
SMA1142,DRESSING HYPAFIX SHEET 15CMX10M #62-421,257
SMA1143,DRESSING HYPAFIX SHEET 20CMX10M #350300,297
SMA3417,DRESSING IV TEGADERM TRANSP. 6X7CM 3M#1623W/PHARMAPLAST,11
SME1264,DRESSING IV. CANNULA FIXATION PORTED S&N #4006/3M1623W,12
MS-D-000158,DRESSING OMNIFIX 20CMX10MTR #HARTTMAN,363
MS-D-000329,DRESSING SENSATRACT LARGE GRANUFOAM KCI#M8275053/10,1914
SMA1103,DRESSING SURGICAL 10X30CM MEPORE STER. CURA#30515,36
SMA1099,DRESSING SURGICAL 10X8CM CURA#30511 /COSM#1277651,13
SMA1098,DRESSING SURGICAL 6X7CM NEO#416/2 /CUR#30510/COS#1277626,8
SMA1101,DRESSING SURGICAL 9/10X20CM ARGO /CURAP#30513 / NEOP#217 427/7,21
SMA1102,DRESSING SURGICAL MEPORE/URGO 9X25CM MOLNLYCKE,31
SMA3416,DRESSING SURGICAL WOUND 10X 8/9CM ARGO CURA# 30511,539
SMA1100,DRESSING SURGICAL WOUND 9/10X15CM MEP#67100/CURA#30512NEO217422/8(SMA3414),16
MS-D-000232,DRESSING TEGADERM CHG 2% 8.5X11.5CM 3M #1657R,674
MS-D-000531,"DRESSING TEGADERM CHG 2% SIZE 7.0 X 8.5 CM , 3M # 1660R",641
MS-D-000532,"DRESSING TEGADERM IV ADVANCED 3.8 X 4.5 CM , 3M # 1680",44
MS-D-000533,"DRESSING TEGADERM IV ADVANCED 5 X 5.8 CM , 3M # 1682",46
MS-D-000542,DRESSING TEGADERM IV ADVANCED 6.5 X 7.0 CM 3M # 1683,41
MS-D-000510,DRESSING TEGADERM IV WTRPROF 10X12 CM,69
SMA2037,DRESSING TEGADERM TRANSPRENT 10 X 12CM 3M #1626W,29
SMA0053,DRESSING TEGADERM WTRPROOF ADHESIVE 5X7CM #3582/PHARMAPLAST,10
SMA0050,DRESSING TEGADERM WTRPROOF ADHESIVE 9 X 10CM #3586/PHARMAPLAST,27
SMA0051,DRESSING TEGADERM WTRPROOF ADHESIVE 9X15CM #3589/PHARMAPLAST,37
SMA0052,DRESSING TEGADERM WTRPROOF ADHESIVE 9X25CM #3591/PHARMAPLAST,65
MS-D-000336,"DRILL BIT 1.0 MM , SYNTHES # 513.005",1386
MS-D-001187,DRILL BIT 1.0 SYNTHES # 03.130.120,2973
MS-D-001123,DRILL BIT 1.0MM A8.2301 OSTEONIC A8.2301,1320
MS-D-000107,"DRILL BIT 1.1 MM WITH STOP LENGTH 44.5/8 MM 2-FLUTE, FOR J-LATCH COUPLING # 317.180",2426
MS-D-000226,DRILL BIT 1.1MM SYNTHES #310.110,2310
MS-D-000277,DRILL BIT 1.1MM X 80MM SYNTHES #316.500,1650
MS-D-000253,DRILL BIT 1.5 X 105 MM (01-08198)#,2310
MS-D-000321,DRILL BIT 1.5 X 44.5MM SYNTHES # 317.820,2305
MS-D-000392,DRILL BIT 1.5 X 96/82 MM SYNTHES # 310.507,1716
MS-D-000227,DRILL BIT 1.5MM SYNTHES #310.150,2316
MS-D-000299,"DRILL BIT 1.5MMX8MM,SYNTHES#03.503.408",2305
MS-D-001134,"DRILL BIT 1.5X85MM, IRENE # C52025",878
MS-D-000350,"DRILL BIT 1.8MM LENGTH 100 75MM, 2 FLUTE COUPLING #310.510",2334
MS-D-000341,DRILL BIT 13 X 3.2 X 150MM TIKNIMED,1155
MS-D-000337,"DRILL BIT 2.0 MM , SYNTHES # 323.062",5670
MS-D-000330,"DRILL BIT 2.0 X 67/55 MM , SYNTHES # 513.140",1964
MS-D-000187,DRILL BIT 2.5 MM S.STEEL -ORTHOMED / HANSBIOMED # 4262.4182,1394
MS-D-000212,DRILL BIT 2.5MM DIA L 85MM F/QUICK COUPLILNG JACOBS SYNTHES #310.250,2203
MS-D-000344,DRILL BIT 2.5MM SYNTHES #315.250/C22001 / 324.214,3605
MS-D-000186,DRILL BIT 3.2 MM S.STEEL ¿ ORTHOMED,1650
MS-D-000239,"DRILL BIT 3.2MM DIA,L 195MM F/QUICK COUPLING #310-290#",2000
MS-D-000190,DRILL BIT 3.5 MM S.STEEL ¿ ORTHOMED,1109
MS-D-000205,DRILL BIT 3.5MM DIA L 110MM F/QUICK COUPLILNG SYNTHES #310.350,2468
MS-D-000347,DRILL BIT 4.2x145MM QUICK COUPLING #03.010.104,3011
MS-D-000191,DRILL BIT 4.5 MM S.STEEL -ORTHOMED,1202
MS-D-000284,"DRILL BIT 5.0MM, ZIMMER #22553550",1499
MS-D-001160,DRILL BIT CANNULATED 2.1MM OSTEONIC #3D8P.31210,2599
MS-D-000418,"DRILL BIT CANNULATED 2.7 X 130 MM ,HANSBIOMED # 42624183",5077
MS-D-000419,"DRILL BIT CANNULATED 3.2 X 130 MM ,HANSBIOMED # 42624188",2310
MS-D-000276,DRILL BIT DIA 1.0MM X 44.5MMM SYNTHES #316.451,2079
MS-D-000513,DRILL BIT ORTHOGNATHIC 1.6MM OSTEONIC # ODB-10,1650
MS-D-000137,DRILL BIT W/STOPER 2.8MM IRINE #C09005,2253
MS-D-001092,DRILL BUR DIAMOND 3.0X2.35MM NSK # PDS-2DM-30,2349
MS-D-001091,DRILL BUR ROUND FLUTED 3.0X2.35MM NSK # PDS-2CM-30,2349
MS-D-000349,DRILL RENT FOR ORTHO CASE SYNTHES # 30815,1509
MS-D-000538,DRILL RENT FOR ORTHOPEDIC CASE IN OR COLLIBRI # .,2888
SMI9925,"DUAL STAGE VENOUS RETURN CATH 34FR/46FR#RDS-61134,CALMED",1309
MS-D-001090,"DURAL GRAFT IMPLANT 1 X 3"" CODMAN # 80-1473EL",2695
MS-D-001089,"DURAL GRAFT IMPLANT 2 X 2"" CODMAN # 80-1475EL",2695
MS-E-000577,"E C G PAPER ROLL 21X30,CHINA #1833",333
SMI0140,"E T TUBE O/N SIZE 8.0 CUFFED # 100/199/080,PORTEX .",77
SMI1200,"E. T. TUBE ORAL /NASAL , SIZE 4 . 50, CUFFED",77
SMI9672,"E. T. TUBE RAE, SIZE 4 . 00, CUFFED",77
SMI3403,"E. T. TUBE RAE, SIZE 4 . 50 MM CUFFED",77
SMY1752,EAR RING F/BABY GIRL W/FIFFERENT DESIGN CAFLON UK,40
SMJ2000,ECG ELECTRODE DISPOSABLE 50/BOX#4527750,36
MS-E-000137,ECHELON FLEX 60MM RELOADS STANDARD BLUE ETHICON #ECR60B,2444
MS-E-000138,ECHELON FLEX 60MM RELOADS THICK GREEN ETHICON #ECR60G,2672
SMJ0011,ELECTRODE ECG PREGELLED ADULT STERILE DISP.,5
SMJ0009,ELECTRODE ECG PREGELLED PEDIATRI STERILE DISP,3
SMJ1087,ELECTRODE F/ HP NEONATAL MONITOR HP #139530/3M #2269T,27
SMJ2007,ELECTRODE HANDLE W/PATIENT PLATE CABLE #VL2600E COVIDIEN/ 20190-045 ERBE,26277
MS-E-000019,ELECTRODE HANDLE WITH 2 BOTTON.,4707
MS-E-000071,ELECTRODE PACING TEMPORARILY 6FR,2118
MS-E-000258,"ELECTRODE PAD REM HYDROGYL , NEONATAL 2.7 MM , COVIDIEN # E7512",1040
SMJ1960,ELECTRODE RESTING ECG KENDALL # 31447793,5
SMJ1976,ELECTRODE RUBBER 8X12CM W/SPONGE 9X13CM PHYSIO-MED#CHA79968,742
MS-E-000068,ELECTRODE SPATULA STRAIGHT ERBE #20191-210/21191-002,666
SMH4568,ELECTRODE TEMPORARY PACEMAKER ETHICON # FEP13.,738
SMJ1967,ELECTRODS PRE-STERILIZED DCN FOR EMG (37MM) #9013S0031,674
MS-E-000097,ELIMINATOR 90 ICW 4.5MM # AC1345-01,3412
MS-E-000579,"EMBOLIC LIQUID PHIL25%, MICRO VENTION #LEN10250",13365
MS-E-000548,EMBOLIC LOW VISCOSITY SQUID BALT -FRANCE # SQUID18,11550
MS-E-000547,"EMBOLIC STANDARD VISCOSITY SQUID, BALT -FRANCE # SQUID12",11550
MS-E-000213,"END CAP 10 MM L , SYNTHES # 04.004.001",2041
MS-E-000199,END CAP 19MM X 4 DEGREE SOFAMOR # 9401904,7648
MS-E-000237,END CAP 8MM LONG SYNTHES # 04.004.004,1670
MS-E-000261,"END CAP EXT 0 MM L , SYNTHES # 04.027.000S",1276
MS-E-000223,"END CAP F/TIBIAL NAIL 8 X 13 MM , SYNTHES # 04.004.000",1753
MS-E-000536,"END CAP FOR LAG SCREW, MEDGAL BOLAND # 1-100-LS",1155
MS-E-000535,"END CAP FOR NAIL, MEDGAL BOLAND # 1-100-NC",1155
MS-E-000183,END CAP FOR TEN 1.5 TO 2.5MM #475.905,2079
MS-E-000243,END CAP FOR TEN 3.0 MM #475.900,2287
MS-E-000129,END CAP FOR TEN 3.0MM TO 4.0MM TITANIUM ALLOY,1964
MS-E-000510,END CAP M85/CHM MICROMED #3.5161.105,2599
MS-E-000273,END CAP ZERO LEVEL/CHM MICROMED #3.5161.700,2888
SMO11608,ENDO BUTTON DIFFERENT SIZES CAT#AMS155.04,2753
SMH4608,"ENDO CLIP APPLIER LARGE 6/BOX # 176625,AUTO SUTURE",3681
SMH4609,"ENDO CLIP APPLIER MED/LRG 6/BOX#176615,AUTU SUTURE",2182
MS-E-000148,ENDO CLOSE COVIDIEN# 173022,1155
SMH1649,ENDO GIA 30 MULTIFINE 30 ATUOSUTURE #030807L,2214
MS-E-000530,"ENDO PATH ECHELON RELOAD 60 MM GOLD W/GRIPPING SURFACE , ETHICON # GST60D",2907
MS-E-000532,"ENDO PATH ECHELON RELOAD 60MM BLUE W/GRIPPING SURFACE , ETHICON # GST60B",2907
MS-E-000531,ENDO PATH ECHELON RELOAD 60MM GREEN W/GRIPPING SURFACE ETHICON # GST60G,2907
SMT10272,"ENDOCLIP MED/LRAGE 10MM #176657,TYCO",2848
SMH1513,ENDOCLIP/ LIGACLIP 10MM TITANIUM # 176657/ ER320,2888
SMH1656,ENDOGRASPER 5MM AUTOSUTURE # 174221 / 5DSG.,2888
SMH4605,ENDOPOUCH RETRIEYER 10 MM / ETHICON # POUCH,1452
SMA3411,ENDOTRACHEAL TUBE SIZE 3.5 UNCUFFED,61
SMI1053,ENEMA SET ECONOMY #20258-010/228 0001 2,68
MS-E-000186,"ENSEAL G2 TISSUE SEALER 35CM,ETHICON#NSLG2C35A",8304
MS-E-000550,ENT KIT GRANULES ENT0001-2 N/A # ENT0001-2,1408
MS-E-000230,EPEDIURAL MINIPACK SYSTEM 1 W/LOCKIT PORTEX # 100/391/128,809
MS-E-000115,EPIDURAL KIT 18G PORTEX #100/391/118,855
SMI1593,"EPIDURAL KIT G16,18 PORTEX #100/391/716/100/391/118.",742
MS-E-000179,"EXPERT HN DIA 7X240MM,SYNTHES#04.01.228S",8568
SML0505,"EXTENSION SET 32""W/2 PORT/ABBOTT4522-48/#MG-V5404)",41
SMD3699,EXTERNAL NASAL SPLINT ALUMINUM .,526
SMA0168,EYE PAD 56X70MM #415450/1,5
SMA1175,EYE SHIELD PLASTIC STERILE # 21-181S UNIVERSAL LOOK 100 CLEAR W/HOLES G701,41
SME1029,FACE MASK GREEN .,7
SMU1047,FANGO FOIL PLASTIC TRANSPARENT 500 MICRON,751
SMI0151,"FEEDING TUBE 8 FR X 15"" LONG STERILE DISP.",12
SMI9914,FEEDING TUBE PVC SIZE 6 #,12
MS-F-000569,FEMORAL ACS COMPONENT 2.5 LEFT IMPLANTCAST # 42006208,37125
MS-F-000603,FEMORAL ADVANCE STATURE RIGHT SIZE 4 WRIGHT # KFTCNN4R,18563
MS-F-000600,"FEMORAL ADVANCE STATURE SIZE 2 LEFT , MICRO PORT # KFTCNN2L",18563
MS-F-000579,FEMORAL CEMENTED POSTERIOR STABILIZED 2 R. JOH. & JOH. # 1960-50-200,15207
MS-F-000630,"FEMORAL CERAMIC CEMENTED ACS PS S4 LEFT, CHM # 42009104",20048
MS-F-000626,"FEMORAL CERAMIC CEMENTED S4R ACS PS, CHM # 42009114",20048
MS-F-000627,"FEMORAL COMPONENT ACS PS S3 L CERAMIC COATED 3L, CHM # 42009103",20048
MS-F-000235,"FEMORAL COMPONENT LEFT , ZIMMER # 5764-015-51",18563
MS-F-000181,FEMORAL COMPONENT POST STABILIZED 5 LEFT S&N #71420104,16406
MS-F-000109,FEMORAL COMPONENT RT SIZE F ZIMMER #596401652,15395
MS-F-000654,"FEMORAL COMPONENT SIZE 2 RIGHT, MICRO PORT # KFTCNP2R",18563
MS-F-000017,"FEMORAL COMPONENT STD.MEDIUM,RIGHT.",18563
MS-F-000011,"FEMORAL COMPONENT STD.R1,X-SMALL,RIGHT",18563
MS-F-000634,"FEMORAL COMPONENT SZ 1 L, WRIGHT # KFTCNP1R",18563
MS-F-000635,"FEMORAL COMPONENT SZ 1L, WRIGHT # KFTCNP1L",18563
MS-F-000645,"FEMORAL COMPONENT SZ 3 L, WRIGHT # KFTCNP3L",18563
MS-F-000028,FEMORAL COMPONENT TITANIUM SMALL LEFT HIPOKRAT #400012500002 (209.3521),14850
SMO11725,FEMORAL CRUCIATE SUBSTITUTING CEMENDTED # 96-0054 J&J SIZE 4 RIGHT,14907
MS-F-000148,FEMORAL HEAD DIA 28MM ZIMMER #8018-28-14,7243
MS-F-000095,"FEMORAL HEAD OXINIUM 12/14,28MM,S&N #061-71342800",10870
MS-F-000335,FEMORAL POSTERIOR SIZE 2 LEFT STABILIZED CEMENTED J&J # 1960-40-200,15207
MS-F-000216,FEMORAL POSTERIOR STABILIZED CEMENTED SIZE 3 LEFT J & J #1960-40-300,15207
MS-F-000307,FEMORAL PS CEMENTED SIZE 4 LEFT J&J # 196040400,12994
MS-F-000161,FEMORAL STAB POSTERIOR BALANSYS #79.15.0001,17325
MS-F-000621,"FEMORAL STATURE ADVANCE SIZE 4 LEFT, MICRO PORT # KFTCNN4L",18563
MS-F-000222,FEMORAL STEM CEMENTLES CORAIL2 STAN. SIZE 11 J&J # 3L92511,10973
MS-F-000253,FEMUR L.R.S W/COMPRESS DISTAL JINDAL # 4034.35.201,17325
MS-F-000674,"FEMUR POSTERIOR STABILIZED SIZE 3 LEFT, ZIMMER #42-5000-054-01",10135
MS-F-000256,FIBER LASER KARL STORZ #27750271,60061
MS-F-000255,FIBER LASER KARL STORZ #27750272,61504
MS-F-000254,FIBER LASER KARL STORZ #27750273,71610
MS-F-000152,FILLER BONE KYPHX DEVICE SOF #F04B,2449
MS-F-000293,FILLER ONE VOID # AR-13370-4E,5475
SMI9940,"FILTER CARE STAR 30 # MPO1770,DRAGER",68
MS-F-000130,FILTER CARE STAR 48 DRAGER EVITA XL #MP01755,81
MS-F-000264,"FILTER DIALYSER DIACAP PS 1.5 , B.BRAUN # 7203541",693
MS-F-000262,"FILTER DIALYSER DIACAP PS 1.8 , B.BRAUN # 7203568",674
MS-F-000263,"FILTER DIALYSER DIACAP PS 2.0 , B.BRAUN # 7203568",751
MS-F-000308,"FILTER DIALYSER FX100 HIGH FLUX , FRESSENIUS # F00002388",1098
SMY7099,FILTER DIASEF FOR FRESINUS MACHINE,3465
SMJ1663,FILTER FOR THERMOVENT HEPA ID PTX # 100/585/000,81
MS-F-000612,"FILTER INTAPUR LIPID ADULT 1.2 UM, B.BRAUN # 4099702",270
MS-F-000611,"FILTER INTRAPUR NEONATE 1.2, B.BRAUN # 4099460",270
SMA1126,FILTER PAPER STERILE AESCULAP #JK095,3
SMI9939,"FILTER SAFE STAR 55 # MP01790,DRAGER",176
MS-F-000131,FILTER VENA TECH LP B.BRAUN AESCULAP AG-CARDIAC #04435125,12128
MS-F-000149,FILTER WIRE ALL SIZES BOSTON SCIENTIFIC # 20105-190,13910
MS-F-000590,FILTER WIRE EZ 3.5 -5.5X190CM BOSTON # H749201051900,13910
MS-F-000565,FILTRATE BAG 10 LTRS FRESENIUS # N/A,539
MS-F-000631,"FIXATION WIRE BOLT SLOTTED, CHM # 301025-1525",506
MS-F-000341,FIXATOR DYNAMIC AXIAL DAF W/ T-CLAMP SHORT OSTEONIC 40095,14355
MS-F-000340,FIXATOR DYNAMIC AXIAL DAF W/135 ANGELED CLAMP MEDIUM OSTEONIC 40156,12870
MS-F-000125,FIXATOR DYNAMIC AXIAL DAF WITH 135 SQUARE CLAMP LONG,14850
SMI9986,"FLEXIBLE BREATHING CIRCUIT,SENSORMEDICS#771375",3273
MS-F-000066,FLEXITAINER 1000ML FLEXIFLO ABBOTT # M240-61 / # AB-0069,135
MS-F-000205,"FOCUS HARMONIC,ETHICON# FCS9",8422
MS-F-000189,FOOT PIECE 180MM ILIZAROV #7040.2180,4161
MS-F-000203,"FORCEP BIPOLAR BLUNTED TIPS,ANGLED #KATENA-K8-7021",5121
MS-F-000320,FORCEP ENDO GRASPER BABCOCK 5 MM DISPOSABLE GRENA # 0208-DG05RX MOLNLYCKE # 899203,1419
MS-F-000318,FORCEP ENDO GRASPER TOOTHED 5MM DISPOSABLE GRENA # 0208-DG04RX / MOLNLYCKE # 899206,1386
MS-F-000223,FORCEP MARYLAND JAW 37CM COVIDIEN # LF1737,9096
MS-F-000696,FRAME MICRUS 10 6MMX11.9CM J&J CERENOVUS USA #MFR100611,12417
MS-F-000695,"FRAME MICRUS 10 7MMX13.9CM, J&J CERENOVUS USA J&J CERENOVUS USA #MFR100713",12417
MS-G-000792,"GALAXY G3 3MMX8CM, J&J CERENOVUS USA #GLY120308",12417
MS-G-000791,"GALAXY G3 4MMX12CM, J&J CERENOVUS USA #GLY120412",12417
MS-G-000789,"GALAXY G3 5MMX15CM, J&J CERENOVUS USA #GLY120515",12417
MS-G-000790,"GALAXY G3 XSFT 4MMX8CM, J&J CERENOVUS USA #GLX120408",12417
MS-G-000793,GALAXY G3 XSFT HEL 2MMX4CM J&J CERENOVUS USA #GLX120204,12417
SMI6224,GASTROSTOMY SET PERCUTANEOUS ENDOSCOPY COOK#PEG-24-PUSH,6545
MS-G-000786,Gastrostomy Tube Size 12 fr x 1.5 cm AMT #M1-5-1212,3793
MS-G-000785,Gastrostomy Tube Size 14 fr x 1.5 cm AMT #M1-5-1415,3793
MS-G-000787,Gastrostomy Tube Size 16 fr x 1.5 cm AMT #M1-5-11615,3793
MS-G-000751,"GAUGE DEPTH F/SCREW 2.4MM, SYNTHES # 319.005",11672
SMA3328,"GAUZE COTTON ROLLS 36""X100 YARDS",513
SMJ1014,GEL AQUASONIC ULTRAPHONIC TRANSMISSION (BTL/250ML),38
MS-G-000105,GEL DISINFECTANT EZ CLEAN 1000ML,607
MS-G-000305,GEL DYNAGRAFT 1CC ISOTIS # 02-2000-010,4016
MS-G-000304,GEL DYNAGRAFT 5CC ISOTIS # 02-2000-050,11773
SMJ1071,GEL ECG SPECTRA 807,48
MS-G-000366,"GEL ETHANOL 70% F/HAND SAITIZING; 60 ML , NAPHCARE # N0583",162
MS-G-000383,GEL GRAFTON DBM 10 CC MEDTRONIC # T41150INT,13266
MS-G-000303,GEL OXIPLEX 3ML FZIOMED # FPC-09006,7749
SMJ1901,GEL SKIN NUPREP 4OZ /114GMS #9015B4712/WEAVER#10-30,982
SME1136,GELFOAM SPONGE SIZE 50 80X50X10MM CS-010,324
MS-G-000284,GELFOAM SPONGE SIZE 60X20X7MM CURASPON #CS-060,562
MS-G-000699,"GLENOSPHERE ECCENTRIC 38MM , J&J # 1307-60-038 JOH. & JOH. # 1307-60-038",12881
MS-G-000770,"GLENOSPHERE MINI BASEPLATE 25MM, BIOMET # 010000589",12460
MS-G-000769,"GLENOSPHERE REVERSE SHOULDER 36MM, BIOMET # 115310",10318
MS-G-000698,"GLENOSPHERE STANDARD 42 MM, J&J#1307-60-142 JOH. & JOH. # 1307-60-142",12881
SME1006,GLOVES EXAM VINYL LARGE N-STER,1
SME1065,GLOVES EXAM VINYL MEDIUM N-STER,2
SME1025,GLOVES EXAM VINYL SMALL N-STER,2
SME1372,GLOVES LATEX LARGE SIZE NON-STERILE DISPOSABLE.,432
MS-G-000363,GLOVES LATEX LARGE; 18MM THICKNESS; POW. FREE,34
MS-G-000362,GLOVES LATEX MEDIUM; 18MM THICKNESS; POW. FREE,34
SME1373,GLOVES LATEX MEDUM SIZE NON-STERILE DISPOSABLE.,432
SME1369,GLOVES LATEX SMALL SIZE NON-STERILE DISPOSABLE.,378
MS-G-000267,GLOVES NITRILE POWDER FREE SMALL,4
SMY7030,GLOVES PLASTIC DISP,1
SME1001,GLOVES SURGEON SIZE 6 STERILE,33
SME1003,GLOVES SURGEON SIZE 6.5 STERILE,15
SME1002,GLOVES SURGEON SIZE 7 STERILE,1386
SME1004,GLOVES SURGEON SIZE 7.5 STERIL,15
SME1005,GLOVES SURGEON SIZE 8 STERILE,17
SME0044,GLOVES SURGEON SIZE 8.5 STERILE,17
MS-G-000069,GLOVES SURGICAL HEAVY DUTY F/ INFECTED PATIENT SIZE 7.5,135
MS-G-000181,GLUE BIO PRE-FILLED 5ML F/CARDIAC SURG.CRYOLIFE #BG3505-5-G,5904
MS-G-000359,"GLUE ONYX KIT18 PACKAGED, AVM & TUMOR F/ EMBOLIZATION MEDTRONIC #EV-105-7000-060",13044
SMF3068,GLYCINE 1.5% SOL. IRRIGATION 2000ML #FBG-E-0507-2000,97
MS-G-000174,GOGGLES PLASTIC,54
SME1297,GOWN ISOLATION,30
SME1195,GOWN SURGEON XXL BARRIER J&J,95
MS-G-000066,GOWN SURGEON XXL/XL REINFORCED.,142
MS-G-000317,GRAFT AORTIC UNI¿STRAUGHT 26 X 30 B.BRAUN #1106643,13118
MS-G-000260,"GRAFT BONE INFUSE 2.5X5CM , SOFAMOR # 7510200",47768
MS-G-000258,GRAFT BONE INFUSE 5.6ML MED SOFAMOR # 7510400,94545
MS-G-000248,"GRAFT BONE INFUSE 8.0ML/LARGE,SOFAMOR#7510800",99792
MS-G-000257,GRAFT BONE MAGNIFUSE 2.5X10CM SOFAMOR # 7509221INT,58163
MS-G-000688,GRAFT BONE PUTT 2.5CC OPTIUM DBM. LIFENET # TPUT02,5377
MS-G-000794,GRAFT FASCIA LATA XS 15 X 30 MM LIFENET #PFL1.5,2491
MS-G-000687,GRAFT POSTERIOR TIBIALIS TENDON MIN. LENGTH DIAMETER 7.5 MM 230. LIFENET # FPOST.TIBIAL,39600
MS-G-000308,GRAFT SILVER WOVEN STRAIGHT 28MM X 30CM MAQUET #IGW0028-30S,5795
MS-G-000368,GRAFT TIBIALIS TENDON 0.75 X 27.0CM A TO Z MEDICAL # 1021-12,24008
MS-G-000259,GRAFT UNI 24X30MM #1106635,13118
MS-G-000170,GRAFT VASCU. STRAIGHT W/HILIX 6X70MM B.BRAUN #V1101520,13537
MS-G-000117,"GRAFT VASCU.SILVER BIFURCATED 16X8MM, 40CMB.BRAUN #1108015",12619
MS-G-000154,GRAFT VASCULAR 8.0MMX70CM STD STRIGHT HELEX #V1103064,33868
MS-G-000336,GRAFT VASCULAR 8MM X 90CM RINGED PTFE THIN WALL ATRIUM # 21231,13823
MS-G-000254,"GRAFT VASCULAR 8X8MM , MAQUET # IGKAX0808RS45/205",10684
MS-G-000249,GRAFT VASCULAR BIFUR GELSOFT 18X9MMX45CM VASC. #631809P/1104586,10511
MS-G-000241,"GRAFT VASCULAR GDS 5-8MMX45CM,MAQUET#25139",14294
MS-G-000253,"GRAFT VASCULAR PTFE 8X80CM W/SLIDER GDS,MAQUET# 22227",10684
MS-G-000328,GRAFT VASCULAR PTFE RINGED 6X80CM MAQUET # 25044,12434
MS-G-000052,GRAFT VASCULAR PTFE SOFT 6MMX40CM #M002004810460/40S06C/40S06,12682
MS-G-000283,"GRAFTON 1CM X 20 CM , SOFAMOR # 7509212 INT",66825
MS-G-000093,GRAFTON DEMIN BONE MATRIX 0.5CC# C43101,3157
MS-G-000192,GRAFTON ORTHOBLEND LARGE 15CC# A44135,12070
MS-G-000282,GRAFTON OSTEOCENTRE 2.5 X 10 CM # C42200,35145
MS-G-000290,GRAFTON PUTTY SURECHIP DBM 10CC TIKNIMED #BC10,5054
MS-G-000288,GRAFTON PUTTY SUREFUSE DBM 10CC TIKNIMED #SP10,14850
MS-G-000289,GRAFTON PUTTY SUREFUSE DBM 1CC TIKNIMED #SP1,4885
MS-G-000287,GRAFTON PUTTY SUREFUSE DBM 5CC TIKNIMED #SP5,9096
MS-G-000245,"GRANULES CHRONOS 0.7-1.4MM-60%,SYNTHES#710.002S",2426
MS-G-000223,"GRANULES CHRONOS 1.4-2.8X10CC,SYNTHES#710.019S",6758
MS-G-000243,"GRANULES CHRONOS 2.8-5.6MMX2.5CC,SYNTHES#710.024S",3575
