Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Column7,Class A ,VIP,Comment
LABORATORY,FMLAB-3013,Ferritin,Service,73050-13-10,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-3014,Folic Acid,Service,73050-13-50,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-3015,Ft4,Service,73050-35-30,0.0,180.0,180.0,180.0,current Price
LABORATORY,FMLAB-3018,Insulin Level,Service,73050-20-90,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-3019,Luteinising Hormone (Lh),Service,73050-17-00,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-3021,Prolactin (Prl),Service,73050-29-90,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-3022,Psa (Total),Service,73050-30-20,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-3023,Tsh (Thyroid Stimulating Hormone),Service,73050-35-50,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-3026,Tbg (Thyroid Binding Globulin),Service,73050-35-40,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-3028,Total Testosterone,Service,73050-34-40,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-3031,Neonatal Tsh,Service,73050-35-20,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-3032,Neonatal Free T4,Service,73050-35-30,0.0,180.0,180.0,180.0,current Price
LABORATORY,FMLAB-3034,Psa (Free),Service,73050-30-30,0.0,309.0,309.0,309.0,current Price
LABORATORY,FMLAB-3048,Procalcitonin( So ) La99900943,Service,73050-29-80,0.0,190.0,190.0,190.0,current Price
Laboratory,fmlab-3100,RaNDOM Cortisol,Service,73050-09-00,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-4001,Acetaminophen (Paracetamol),Service,73300-03-60,0.0,380.0,380.0,380.0,current Price
LABORATORY,FMLAB-4002,Ethanol,Service,73050-01-20,0.0,200.0,200.0,200.0,current Price
LABORATORY,FMLAB-4003,Amphetamine,Service,73300-04-50,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-4005,Benzodiazepines,Service,73300-06-70,0.0,285.0,285.0,285.0,current Price
LABORATORY,FMLAB-4006,Cannabinoid,Service,73300-07-00,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-4007,Carbamazepin (Tegretol),Service,73300-00-20,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-4010,"Drug Screen (Amph,Cann,Opi & Barbi)",Service,73300-04-50,0.0,713.0,713.0,713.0,current Price
LABORATORY,FMLAB-4012,Digoxin (Lanoxin),Service,73300-00-60,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-4015,Phenobarbitone,Service,73300-02-10,0.0,262.0,262.0,262.0,current Price
LABORATORY,FMLAB-4016,Phenytoin (Epanutin),Service,73300-02-20,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-4019,THEOPHYLLINE,Service,73050-15-00,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-4020,Valproic Acid (Depakin),Service,73300-00-90,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-4029,Tacrolimus (Fk 506),Service,73300-02-90,0.0,509.0,509.0,509.0,current Price
LABORATORY,FMLAB-4030,Oligoclonal Bands (Csf),Service,73050-25-70,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-5001,Anti Nuclear Ab (A.N.A) By Immunofluorescence,Service,73100-10-70,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5002,Asot (Antistreptolysin O Titer),Service,73100-18-60,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-5004,Anti-Mitochondrial Antibody (Ama),Service,73050-20-70,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5005,Anti Cmv Igg,Service,73100-20-80,0.0,1045.0,1045.0,1045.0,current Price
LABORATORY,FMLAB-5006,Anti-Cmv Igm,Service,73100-20-80,0.0,247.0,247.0,247.0,current Price
LABORATORY,FMLAB-5007,Anti-Rubella Igg,Service,73100-25-90,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5008,Anti Rubella Igm,Service,73100-25-90,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5009,Toxoplasma Abs (Igg),Service,73100-26-60,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5010,Toxoplasma Abs (Igm),Service,73100-26-60,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5011,Anti- Ds Dna,Service,73100-12-90,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-5012,Asma,Service,73100-13-30,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-5013,Hav Ab,Service,73100-24-10,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-5015,Hbc Ab,Service,73100-23-60,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5016,Hbc Igm,Service,73100-23-70,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5017,Hcv Ab,Service,73100-23-80,0.0,665.0,665.0,665.0,current Price
LABORATORY,FMLAB-5018,Anti-Hepatitis Delta (Igm),Service,73100-22-80,0.0,461.0,461.0,461.0,current Price
LABORATORY,FMLAB-5022,Brucella Abs.(Agglutination Titer),Service,73100-19-90,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-5023,C Reactive Protein Test (Crp),Service,73100-11-40,0.0,180.0,180.0,180.0,current Price
LABORATORY,FMLAB-5026,"Chlamydia Tr. Abs (Igg, Iga)",Service,73100-20-30,0.0,390.0,390.0,390.0,current Price
LABORATORY,FMLAB-5027,Ebv ( Pcr),Service,73100-21-50,0.0,1668.0,1668.0,1668.0,current Price
LABORATORY,FMLAB-5028,Ecchinococcus Abs,Service,73100-22-30,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5031,Hbe Ab,Service,73100-23-90,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5032,Hbs Ab,Service,73100-23-80,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-5033,Hbs Ag,Service,73050-48-90,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5034,Hcv Western Blot,Service,73050-53-80,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-5040,Herpes Ii ( Igg) Abs,Service,73100-23-10,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5042,Hsv Ii Igm,Service,73100-23-10,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-5043,Hiv,Service,73100-22-70,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-5044,Hiv/Western Blot,Service,73050-31-10,0.0,532.0,532.0,532.0,current Price
LABORATORY,FMLAB-5047,Monospot Test,Service,73100-14-20,0.0,737.0,737.0,737.0,current Price
LABORATORY,FMLAB-5048,Mycoplasma Abs,Service,73100-25-00,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5049,Rpr Or Vdrl,Service,73100-18-70,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-5050,Rheumatoid Factor (Rf),Service,73100-17-80,0.0,304.0,304.0,304.0,current Price
LABORATORY,FMLAB-5051,Rota Virus Ag In Stool,Service,73050-49-90,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-5052,Schistosoma Abs. (Bilharzial Abs),Service,73250-00-20,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5055,Varicella Zoster Abs,Service,73100-26-90,0.0,855.0,855.0,855.0,current Price
LABORATORY,FMLAB-5057,Widal Test,Service,73100-26-10,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-5061,Helicobacter Pylori Igg,Service,73100-22-20,0.0,642.0,642.0,642.0,current Price
LABORATORY,FMLAB-5062,Herpes I Igm,Service,73050-46-40,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-5063,Herpes Ii Igm,Service,73100-23-00,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-5064,Hepatitis E Virus Abs,Service,73100-23-90,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5067,Anti-Cmv (Igg & Igm),Service,73100-20-70,0.0,1045.0,1045.0,1045.0,current Price
LABORATORY,FMLAB-5068,"Brucella (Igg,Igm)",Service,73100-19-90,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-5069,Chlamydia Abs Igm,Service,73100-20-30,0.0,570.0,570.0,570.0,current Price
LABORATORY,FMLAB-5072,Parietal Cell Antibody (Pca),Service,73100-13-40,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-5079,Dengue Antibody Igg,Service,73050-50-30,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-5082,Hcv Igm,Service,73000-00-80,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-5084,H.Pylori Ag In Stool,Service,73050-48-70,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-5087,Anti Ccp (Cyclic Citrollinated Peptide ),Service,73100-12-80,0.0,447.0,447.0,447.0,current Price
LABORATORY,FMLAB-6001,Acid Fast Bacilli (Afb) Smear,Service,73200-07-10,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-6003,Blood C/S,Service,73050-40-00,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6004,Body Fluid C/S,Service,73050-40-90,0.0,323.0,323.0,323.0,current Price
LABORATORY,FMLAB-6006,Ear Swab C/S,Service,73050-40-90,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6007,Fungus Culture & Sensitivity,Service,73050-41-40,0.0,162.0,162.0,162.0,current Price
LABORATORY,FMLAB-6008,Gram Stain (Direct Smear),Service,73050-44-30,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-6009,Hvs (High Vaginal Swab) C/S,Service,73050-40-80,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6010,Koh Preparation (Fungus Examination),Service,73050-44-80,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6013,PROSTATIC C/S,Service,73250-00-20,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6015,Semen C/S,Service,73400-03-30,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6016,"Sperm Abs In Semen (Iga, Igg, Igm)",Service,73400-03-80,0.0,1045.0,1045.0,1045.0,current Price
LABORATORY,FMLAB-6017,Sputum C/S,Service,73400-01-30,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6018,Stool C/S,Service,73050-40-10,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6021,Throat Swab C/S,Service,73050-40-90,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6024,Urine Culture & Sensitivity (C/S),Service,73050-41-10,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6026,Wound Swab C/S,Service,73050-40-90,0.0,138.0,138.0,138.0,current Price
LABORATORY,FMLAB-6027,Eye C/S,Service,73050-40-30,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6031,Water Bacteriological Examination,Service,73050-39-70,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-6033,Clostridium Difficile,Service,73050-59-70,0.0,309.0,309.0,309.0,current Price
LABORATORY,FMLAB-6038,RESPIRATORY SYNCYTIAL VIRUS ABS,Service,73050-60-00,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-6041,Aerobic Blood C/S,Service,73050-40-40,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-6042,Anaerobic Blood C/S,Service,73050-40-50,0.0,148.0,148.0,148.0,current Price
LABORATORY,FMLAB-6063,Pleural/Ascitic Fluid,Service,73050-40-40,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-6266,Axilla Swab C/S,Service,73050-40-30,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-7006,Cardiac Enzymes Panel,Service,73050-09-40,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-7020,"Pleural Fluid Profile( C/S, Tp, Rbcs, Wbcs, Chloride, Ldh, Rbs )",Service,73000-03-50,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-7022,Renal Profile,Service,73000-00-70,0.0,380.0,380.0,380.0,current Price
LABORATORY,FMLAB-7024,"Synovial Fluid Profile (C/S, Wbcs, Rbcs, Crystals)",Service,73400-00-90,0.0,129.0,129.0,129.0,current Price
LABORATORY,FMLAB-7025,"Torch Test Profile: [ Toxo, Rub, Cmv,Hsv]",Service,73100-26-60,0.0,665.0,665.0,665.0,current Price
LABORATORY,FMLAB-7041,"Body Fluid Profile(C/S, Tp, Wbcs, Rbcs, Chloride, Ldh,Rbs)",Service,73400-00-70,0.0,452.0,452.0,452.0,current Price
LABORATORY,FMLAB-7063,Acth Stimulation/ Synacthen Test,Service,30097-00-00,0.0,618.0,618.0,618.0,current Price
laboratory,FMLAB-7122,PRE -EMPLOYMENT HERALTH CHECKUP,Service,73000-00-20,0.0,333.0,333.0,333.0,current Price
LABORATORY,FMLAB-8001,Aspiration Biopsy Cytology (Fnac),Service,73200-02-60,0.0,485.0,485.0,485.0,current Price
LABORATORY,FMLAB-8002,Body Fluid Cytology,Service,73200-00-00,0.0,323.0,323.0,323.0,current Price
LABORATORY,FMLAB-8003,Pap Smear (Cervical Cytology),Service,73200-01-20,0.0,285.0,285.0,285.0,current Price
LABORATORY,FMLAB-8006,Frozen Sections,Service,73200-08-00,0.0,642.0,642.0,642.0,current Price
LABORATORY,FMLAB-8008,H. Pylori Abs,Service,73100-22-20,0.0,642.0,642.0,642.0,current Price
LABORATORY,FMLAB-8010,Histopath/Biopsy (Large Specimen),Service,73200-06-90,0.0,665.0,665.0,665.0,current Price
LABORATORY,FMLAB-8013,Special Stain (Each),Service,73200-08-50,0.0,162.0,162.0,162.0,current Price
LABORATORY,FMLAB-8015,Immunohistochemistry Panel,Service,73200-08-40,0.0,1891.0,1891.0,1891.0,current Price
LABORATORY,FMLAB-8016,(Histopathology)2 Small Specimen,Service,73200-06-40,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-8051,Igg (Csf),Service,73050-25-00,0.0,323.0,323.0,323.0,current Price
LABORATORY,FMLAB-8052,Iga (Csf),Service,73050-30-60,0.0,323.0,323.0,323.0,current Price
LABORATORY,FMLAB-8063,HCV-RNA BY PCR (QUALITATIVE),Service,73050-18-50,0.0,1668.0,1668.0,1668.0,current Price
LABORATORY,FMLAB-8065,Her2/Neu (Breast Cancer),Service,73100-13-80,0.0,547.0,547.0,547.0,current Price
Laboratory,FMLAB-8073,ESTROGEN RECEPTORS,Service,73050-32-00,0.0,428.0,428.0,428.0,current Price
Laboratory,FMLAB-8086,CYTOKERATIN,Service,73200-08-40,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-8095,VANCOMYCIN TROUGH LEVEL,Service,73300-03-40,0.0,604.0,604.0,604.0,current Price
LABORATORY,FMLAB-8130,Anti-Xa (Anti Active Factor X),Service,73100-06-20,0.0,428.0,428.0,428.0,current Price
LABORATORY,FMLAB-8136,Tissue Transglutamin Igg (Ttg Igg),Service,73100-14-90,0.0,347.0,347.0,347.0,current Price
LABORATORY,FMLAB-8208,ALDOSTERONE (URINE),Service,73050-01-40,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-8209,Cytomegalovirus IgM,Service,73100-20-80,0.0,247.0,247.0,247.0,current Price
LABORATORY,FMLAB-8213,ACTH (AM),Service,73050-00-50,0.0,618.0,618.0,618.0,current Price
LABORATORY,FMLAB-8217,Vigabatrin DRUG LEVEL,Service,73300-03-70,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-8233,INHIBIN B SERUM LEVEL,Service,73050-39-70,0.0,561.0,561.0,561.0,current Price
LABORATORY,FMLAB-9001,17-Hydroxy-Progesterone,Service,73050-29-60,0.0,433.0,433.0,433.0,current Price
LABORATORY,FMLAB-9004,Acetylcholine Receptor Abs,Service,73050-00-20,0.0,1045.0,1045.0,1045.0,current Price
LABORATORY,FMLAB-9008,Aldosterone (Serum Or Urine),Service,73050-01-40,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-9009,Alkaline Leukocyte Phosphatase (Alp),Service,73100-07-70,0.0,133.0,133.0,133.0,current Price
LABORATORY,FMLAB-9010,Alpha-1-Antitrypsin,Service,73050-01-50,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-9011,Alpha-1 Antitrypsin Phenotyping,Service,73050-01-60,0.0,494.0,494.0,494.0,current Price
LABORATORY,FMLAB-9013,Amino Acid Screen,Service,73050-02-20,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9014,Amino Acid (Quant) In Urine Or Blood,Service,73050-02-40,0.0,927.0,927.0,927.0,current Price
LABORATORY,FMLAB-9017,Angiotensin Converting Enzyme (Ace),Service,73050-03-50,0.0,423.0,423.0,423.0,current Price
LABORATORY,FMLAB-9019,Liver Specific Protein Abs,Service,73000-00-80,0.0,276.0,276.0,276.0,current Price
LABORATORY,FMLAB-9022,ARYLSULPHATASE A (B  U),Service,73050-40-83,0.0,295.0,295.0,295.0,current Price
LABORATORY,FMLAB-9029,Cardiolipin Abs (Igg & Igm),Service,73100-11-70,0.0,594.0,594.0,594.0,current Price
LABORATORY,FMLAB-9030,Carnitine Total,Service,73050-06-80,0.0,380.0,380.0,380.0,current Price
LABORATORY,FMLAB-9032,Catecholamines In Urine,Service,73050-07-00,0.0,803.0,803.0,803.0,current Price
LABORATORY,FMLAB-9033,Catecholamines In Urine (Adrenalin & Noradrenalin),Service,73050-07-20,0.0,803.0,803.0,803.0,current Price
LABORATORY,FMLAB-9034,Ceruloplasmin (S),Service,73050-07-40,0.0,143.0,143.0,143.0,current Price
LABORATORY,FMLAB-9035,COMPLEMENT TOTAL (CH100 /CH50),Service,73100-03-20,0.0,323.0,323.0,323.0,current Price
LABORATORY,FMLAB-9037,Cholinesterase In Erythrocytes,Service,73050-08-30,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-9039,Chromosomal Analysis( Karyotyping),Service,73050-07-00,0.0,2375.0,2375.0,2375.0,current Price
LABORATORY,FMLAB-9043,Complement C2,Service,73100-12-50,0.0,295.0,295.0,295.0,current Price
LABORATORY,FMLAB-9044,COMPLIMENT-C 1 ESTERASE INHIBITOR OR DECAY,Service,73100-03-40,0.0,395.0,395.0,395.0,current Price
LABORATORY,FMLAB-9045,Copper (Serum),Service,73050-08-80,0.0,162.0,162.0,162.0,current Price
LABORATORY,FMLAB-9047,Cryoglobulin (Qualitative),Service,73050-10-20,0.0,124.0,124.0,124.0,current Price
LABORATORY,FMLAB-9048,Cyclosporin,Service,73300-00-40,0.0,532.0,532.0,532.0,current Price
LABORATORY,FMLAB-9049,Dehydroepiandrosterone (Dhea),Service,73050-10-80,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9057,Ebv Ab Igm,Service,73100-21-50,0.0,727.0,727.0,727.0,current Price
LABORATORY,FMLAB-9059,Extractable Nuclear Abs (Ena) (Anti Rnp & Anti Sm),Service,73100-10-70,0.0,247.0,247.0,247.0,current Price
LABORATORY,FMLAB-9062,Folic Acid Serum,Service,73050-13-50,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9065,Free T3,Service,73050-36-50,0.0,288.0,288.0,288.0,current Price
LABORATORY,FMLAB-9067,Glucagon (P),Service,73050-15-20,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-9070,Growth Hormone,Service,73100-13-50,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9077,Hla B 27,Service,73100-28-20,0.0,1112.0,1112.0,1112.0,current Price
LABORATORY,FMLAB-9078,Hla Full Tissue Typing,Service,73100-28-30,0.0,2518.0,2518.0,2518.0,current Price
LABORATORY,FMLAB-9080,Hydroxy Indole Acetic Acid (5-Hiaa),Service,73050-20-00,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9083,C-Peptide,Service,73050-39-20,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9085,Insulin Abs,Service,73100-15-80,0.0,523.0,523.0,523.0,current Price
LABORATORY,FMLAB-9086,Islet Cell Abs,Service,73100-16-00,0.0,309.0,309.0,309.0,current Price
LABORATORY,FMLAB-9088,Liver/Kidney Membrane Abs[Lkm],Service,73100-17-15,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-9090,Malaria Abs,Service,73050-44-50,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-9092,Metanephrine & Normetanephrine,Service,73050-24-50,0.0,737.0,737.0,737.0,current Price
LABORATORY,FMLAB-9093,Anti Thyroid Peroxidase Abs (Tpo),Service,73100-17-20,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9095,Mumps Abs,Service,73100-24-90,0.0,404.0,404.0,404.0,current Price
Laboratory,FMLAB-9096,MYOGLOBIN QUANT. (S),Service,73050-25-10,0.0,323.0,323.0,323.0,current Price
LABORATORY,FMLAB-9101,Nucleotidase,Service,73200-09-90,0.0,390.0,390.0,390.0,current Price
LABORATORY,FMLAB-9108,Phenylketonuria For Neonates,Service,73050-27-30,0.0,494.0,494.0,494.0,current Price
LABORATORY,FMLAB-9118,Rast - Specific (8 Panels),Service,12000-00-00,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9120,Renin (Active),Service,73050-32-40,0.0,433.0,433.0,433.0,current Price
LABORATORY,FMLAB-9121,Sex Hormone Binding Globulin (Shbg),Service,73050-32-80,0.0,409.0,409.0,409.0,current Price
LABORATORY,FMLAB-9124,Somatomedin C (Igf1),Service,73050-33-40,0.0,784.0,784.0,784.0,current Price
LABORATORY,FMLAB-9127,"T4/T8 Lymphocytes (Cd3, Cd4, Cd8)",Service,73100-17-10,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-9130,Testosterone (Free),Service,73050-34-50,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9134,Tsh Screening,Service,73050-35-50,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-9136,Vitamin B6 (Pyridoxal Phosphate),Service,73050-31-60,0.0,428.0,428.0,428.0,current Price
LABORATORY,FMLAB-9137,Vitamin B12 (Cyanocobalamine),Service,73050-10-40,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9138,"Vitamin D (1,25 Dihydroxycholicalciferol)",Service,73050-05-30,0.0,950.0,950.0,950.0,current Price
LABORATORY,FMLAB-9139,Vitamin D (25-Hydroxy-Cholecalciferol),Service,73050-05-30,0.0,547.0,547.0,547.0,current Price
LABORATORY,FMLAB-9141,Vitamin E (Tocopherol),Service,73050-35-70,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9145,Zinc(Serum),Service,73050-39-10,0.0,333.0,333.0,333.0,current Price
LABORATORY,FMLAB-9148,"Gliadin Abs (Iga, Igg)",Service,73050-14-10,0.0,618.0,618.0,618.0,current Price
LABORATORY,FMLAB-9151,Nse (Neurone Specfic Enolase) In Serum/Csf,Service,73050-39-70,0.0,437.0,437.0,437.0,current Price
LABORATORY,FMLAB-9156,Organic Acid In Blood,Service,73050-25-80,0.0,1235.0,1235.0,1235.0,current Price
LABORATORY,FMLAB-9157,Erythropoietin,Service,73050-11-80,0.0,475.0,475.0,475.0,current Price
LABORATORY,FMLAB-9158,Anti Fasciola Hepatica Abs,Service,73050-61-60,0.0,494.0,494.0,494.0,current Price
LABORATORY,FMLAB-9164,Total Acetone,Service,73050-00-10,0.0,494.0,494.0,494.0,current Price
LABORATORY,FMLAB-9165,Igg Sub Classes (1-4),Service,73050-14-30,0.0,1188.0,1188.0,1188.0,current Price
LABORATORY,FMLAB-9170,Aplipoprotein B,Service,73050-23-40,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-9172,Bilirubin (Amniotic Fluid),Service,73050-04-30,0.0,114.0,114.0,114.0,current Price
LABORATORY,FMLAB-9174,Dengue Virus Abs Igg And Igm,Service,73100-27-20,0.0,556.0,556.0,556.0,current Price
LABORATORY,FMLAB-9178,CYTOMEGALOVIRUS CULTURE (S  URINE RANDOM  ENDOCERVICAL SWAB),Service,73050-39-70,0.0,1112.0,1112.0,1112.0,current Price
LABORATORY,FMLAB-9179,Lactate (Lactic Acid),Service,73050-21-70,0.0,62.0,62.0,62.0,current Price
LABORATORY,FMLAB-9180,Scl 70 Abs (Scleroderma 70 Abs),Service,73250-00-20,0.0,333.0,333.0,333.0,current Price
LABORATORY,FMLAB-9182,Immunophenotyping,Service,73100-29-20,0.0,3705.0,3705.0,3705.0,current Price
LABORATORY,FMLAB-9183,Beta 2 Microglobulin,Service,73050-04-00,0.0,257.0,257.0,257.0,current Price
LABORATORY,FMLAB-9185,Anca,Service,73050-25-20,0.0,285.0,285.0,285.0,current Price
LABORATORY,FMLAB-9186,Anti Basal Membrane,Service,73100-15-40,0.0,395.0,395.0,395.0,current Price
LABORATORY,FMLAB-9187,METHAEMOGLOBN,Service,73200-03-60,0.0,266.0,266.0,266.0,current Price
LABORATORY,FMLAB-9189,HAM'S TEST,Service,73050-13-90,0.0,257.0,257.0,257.0,current Price
LABORATORY,FMLAB-9191,Amikacin (Serum),Service,73300-00-00,0.0,380.0,380.0,380.0,current Price
LABORATORY,FMLAB-9193,"Measles Antibody (Igg, Igm)",Service,92153-00-00,0.0,509.0,509.0,509.0,current Price
LABORATORY,FMLAB-9199,TOXOCARA ABS,Service,73400-03-80,0.0,874.0,874.0,874.0,current Price
LABORATORY,FMLAB-9203,11-Deoxycortisol,Service,73050-11-10,0.0,452.0,452.0,452.0,current Price
LABORATORY,FMLAB-9207,Hcv Rna(Quantitative By Pcr),Service,73050-54-00,0.0,2233.0,2233.0,2233.0,current Price
LABORATORY,FMLAB-9211,Troponin I,Service,73050-36-70,0.0,190.0,190.0,190.0,current Price
LABORATORY,FMLAB-9212,Hb Electrophoresis,Service,73050-18-00,0.0,238.0,238.0,238.0,current Price
LABORATORY,FMLAB-9215,Serotonin (5 Hydroxy Tryptamine),Service,73050-32-70,0.0,247.0,247.0,247.0,current Price
LABORATORY,FMLAB-9217,Thyroglobulin,Service,73050-35-00,0.0,428.0,428.0,428.0,current Price
LABORATORY,FMLAB-9218,Gentamicin,Service,73300-01-20,0.0,380.0,380.0,380.0,current Price
Laboratory,FMLAB-9225,GALACTOSAEMIA SCREEN (PAPER SPOT),Service,73050-13-80,0.0,404.0,404.0,404.0,current Price
LABORATORY,FMLAB-9226,Hbv Dna By Pcr (Liver Aspirate),Service,73050-61-50,0.0,1668.0,1668.0,1668.0,current Price
LABORATORY,FMLAB-9233,Anti Endomysium Antibodies Iga,Service,73050-14-21,0.0,414.0,414.0,414.0,current Price
LABORATORY,FMLAB-9237,HISTOPLASMOSIS ABS.,Service,73050-53-90,0.0,675.0,675.0,675.0,current Price
LABORATORY,FMLAB-9238,Q-Fever Ab,Service,73100-20-50,0.0,637.0,637.0,637.0,current Price
LABORATORY,FMLAB-9240,Hepatitis C Virus (Hcv) Genotyping,Service,73050-60-90,0.0,1995.0,1995.0,1995.0,current Price
LABORATORY,FMLAB-9242,"Borrelia Abs (Igg, Igm)",Service,73100-19-80,0.0,599.0,599.0,599.0,current Price
LABORATORY,FMLAB-9244,Lupus Anticoagulant Abs.,Service,73100-08-80,0.0,784.0,784.0,784.0,current Price
LABORATORY,FMLAB-9250,Tb (Mycobacterium Tuberculosis) By Pcr,Service,73050-56-30,0.0,1668.0,1668.0,1668.0,current Price
LABORATORY,FMLAB-9252,Soluble Liver Ag,Service,73050-45-90,0.0,285.0,285.0,285.0,current Price
