Department,ServiceCode,Service Description (Unified),Type,NPHIES Code (Hyphenated )2,LOS,Class B,Class A & VIP,Comment
Surgery,SUR-0017,Excision of small skin tumors – GA,PKG,31205-00-10,Day Case,2662,2662,Current List
Ophthalmology,FMOPTH0013,Laser Capsulectomy,PKG,90077-00-01,2 Days,6050,6050,Current List
Urology,URO-0020,ENDOSCOPIC VISUAL URETHROTOMY(VIU),PKG,37324-01-00,2 Days,6600,6600,Current List
NEPHROLOGY,FMNEP-0024,Sudden Use Of Ecg Monitoring,Service,11708-00-00,0,67,67,Current List
LABORATORY,FMLAB-9384,Barium,Service,73050-17-80,0,823,823,Current List
LABORATORY,FMLAB-9510,Gonococcal Dna (Hybrid Test),Service,73050-51-90,0,252,252,Current List
Physiotherapy,FMPTD-2057,PARAPLEGIA PT TRTMENT(3 PROCS),Service,96129-00-00,0,242,242,Current List
Radiology ,FMXRAY1547,Ct Brain Angiography (Ctv),Service,59970-04-00,0,1501,1501,Current List
ENT,FMENTL0025,Articulation Session For Defect,Service,90111-00-01,0,412,412,Current List
ONCOLOGY/NUCLEAR MED,FMONC-0023,Tapping Of Pleural Effusion,Service,99999-99-99,0,521,521,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0031,Lumbar Spine Brace,Service,96092-00-00,0,5875,5875,Current List
SURGERY,FMSUR-3231,Laparascopic Cholecystectomy,PKG,30445-00-00,2 Days,12980,12980,Current List
Radiology,FMXRAY1177,X-Ray Acromio-Clavicular Joint - Right,Service,55808-00-01,0,182,182,Current List
Radiology ,FMXRAY1194,X-Ray Thoracic Spine Ap & Lat. Swimm.,Service,58103-00-00,0,303,303,Current List
LABORATORY,FMLAB-1072,Thrombin Time,Service,73100-09-20,0,151,151,Current List
LABORATORY,FMLAB-2066,Semen Fructose,Service,73050-13-60,0,593,593,Current List
Physiotherapy,FMPTD-0061,Welkers - Folding Aluminum,Service,99999-99-99,0,170,170,Current List
Pain Management,FMPN-0013,Trigger Point Injection,Service,93173-00-00,0,242,242,Current List
LABORATORY,FMLAB-5083,Parvo Virus Igm,Service,73100-25-30,0,333,333,Current List
Internal medicne,FMINT-0056,"LUNG VOLUME ""OR"" DIFFUSION CAPACITY",Service,73100-15-20,0,321,321,Current List
ENT,FMENTN2010,Control Of Epistaxis By Chemical Cauterization - Bilateral,Service,41677-00-00,0,140,140,Current List
LABORATORY,FMLAB-9118,Rast - Specific (8 Panels),Service,12000-00-00,0,1301,1301,Current List
Plastic Surgery,FMPSDH0004,Burn Dressing > 30 %,Service,30014-00-00,0,1549,1549,Current List
ONCOLOGY/NUCLEAR MED,FMONC-0076,Bone Marrow Biopsy Under G.A,Service,99999-99-99,0,605,605,Current List
Dental,FMDNTS0115,Closed Reduction,Service,47756-00-01,0,2003,2003,Current List
Dental,FMDNTS0024,Incision & Drainage Extra-Oral Abscess,Service,96215-00-10,0,938,938,Current List
LABORATORY,FMLAB-9750,Thyroid Microsomal Abs,Service,73100-17-20,0,382,382,Current List
ENT,FMENTS0012,RADICAL MAXILLECTOMY,Service,45596-00-00,0,8416,8416,Current List
SURGERY,FMSUR-3089,Haemorrhoidectomy,PKG,32138-01-00,2 Days,6600,6600,Current List
Cardiology,FMCAR-3000,Coronary Bypass (Cabg),PKG,38497-04-00,8 Days,49500,49500,Current List
Radiology ,FMXRAY1137,Ct. Abdomen & Pelvis (Renal Or Suprarenal Protocol),Service,56507-00-00,0,1210,1210,Current List
UROLOGY,FMURO-3078,Pyelolithotomy,PKG,36540-00-01,4 Days,13200,13200,Current List
Surgery,SUR-0018,Removal of F.B from upper GIT,PKG,32123-00-00,Day Case,2640,2640,Current List
LABORATORY,FMLAB-7049,Medical Tower O.R. Profile Cbc Na K,Service,73000-00-20,0,533,533,Current List
OB & GYNE,FMOBG-3027,Myomectomy,PKG,35649-01-00,4 Days,11000,11000,Current List
Emergency,FMERDA0024,Home Visit - Consultant Off Duty,Service,83620-00-70,0,702,702,Current List
LABORATORY,FMLAB-8130,Anti-Xa (Anti Active Factor X),Service,73100-06-20,0,325,325,Current List
Endoscopy,FMENDE0014,Endoscopic Cholangiography,Service,30484-01-00,0,1338,1338,Current List
ENT,ENT-0014,AURAL POLYPECTOMY,PKG,41506-00-01,1 Day,3630,3630,Current List
LABORATORY,FMLAB-9105,Oxalate (U),Service,73050-26-40,0,412,412,Current List
Vascular Surgery,VAS-0010,FEMORAL ARTERY EMBOLECTOMY,PKG,33806-09-01,2 Days,12320,12320,Current List
LABORATORY,FMLAB-9568,Legionella Pneumphila Ag,Service,73050-46-70,0,291,291,Current List
Physiotherapy,FMPTD-2172,Decompression Chiropractic First Visit,Service,95550-11-00,0,315,315,Current List
SURGERY,FMSUR-3190,Colostomy,PKG,30375-04-00,2 Days,6490,6490,Current List
Radiology ,FMXRAY1356,W.H. Fetal Doppler,Service,55700-00-00,0,140,140,Current List
LABORATORY,FMLAB-5028,Ecchinococcus Abs,Service,73100-22-30,0,630,630,Current List
Dental,FMDNTS0110,Arch Bar Maxilla Or Mandible,Service,97989-00-10,0,1338,1338,Current List
Ophthalmology,FMOPTH0010,Laser For Retinopathy 3 Setting,Service,42809-00-01,0,3509,3509,Current List
UROLOGY,FMURO-3046,Meatoplasty,PKG,37342-00-00,1 Day,3850,3850,Current List
LABORATORY,FMLAB-1503,Cytogenetics Leukemic Blood / Bone Marrow,Service,73200-04-80,0,3003,3003,Current List
Radiology ,FMXRAY1303,Us. Msk (Ankle),Service,55836-00-01,0,484,484,Current List
Dermatology ,FMDER-0029,Lesion Smear,Service,99999-99-99,0,158,158,Current List
Radiology ,FMXRAY1073,Mri Uterus & Ovaries (Ovarian Lesion Protocol),Service,90901-06-20,0,2057,2057,Current List
Emergency,FMERDA0054,Lose Nail Removal,Service,46516-01-00,0,200,200,Current List
Dermatology ,MTDER-0002,Electrocautery - Medium Area Under Ga,Service,90676-00-00,0,745,745,Current List
Radiology ,FMXRAY1473,Nm. Bone Scan (Whole Body 2 Phase),Service,61421-00-00,0,4235,4235,Current List
Cardiology,CAR-0017,Thoracotomy For Evacuationof Haemothorax And Lobectomy,PKG,38418-00-00,5 Days,31900,31900,Current List
Radiology ,FMXRAY1552,Ct Angiography (Ctv) For Upper Limb,Service,57350-01-00,0,1828,1828,Current List
LABORATORY,FMLAB-9386,B-Hydroxy Butyrate,Service,73050-39-70,0,320,320,Current List
LABORATORY,FMLAB-1051,Osmotic Fragility,Service,73100-08-00,0,388,388,Current List
Radiology ,FMXRAY1125,Ct. Brain Angiography (Perfusion Protocol),Service,57350-00-00,0,1501,1501,Current List
Physiotherapy,FMPTD-2149,OCCUPATIONAL THERAPY SESSION D,Service,95550-02-00,0,242,242,Current List
LABORATORY,FMLAB-9240,Hepatitis C Virus (Hcv) Genotyping,Service,73050-60-90,0,2420,2420,Current List
Dental,FMDNTF0016,Child. Ketac Filling 2 Surface,Service,97572-01-00,0,297,297,Current List
Dental,FMDNTR0010,Rct Decidious Molar,Service,97421-00-00,0,672,672,Current List
Dental,FMDNTS0076,Biopsy Of Soft Tissue - Medium,Service,50200-00-01,0,672,672,Current List
Dermatology ,FMDER-0153,Incision & Drainage Of Absess -Small,Service,30223-01-00,0,176,176,Current List
Orthopedics,FMORT-0451,Correction Of Halux Valgus,PKG,49821-00-00,2 Days,7315,7315,Current List
LABORATORY,FMLAB-9686,Protein C (Concentration & Activity),Service,73100-04-10,0,968,968,Current List
Physiotherapy,FMPDT-0009,OXYGEN TENT-UP TO 24 HRS,Service,92044-00-00,0,672,672,Current List
Physiotherapy,FMPTD-1001,Doctor'S Daycare Supervision,Service,83600-00-10,0,121,121,Current List
Cardiology,CAR-0015,THORACOSCOPY THERAPEUTIC,PKG,38436-00-00,4 Days,15950,15950,Current List
Dermatology ,FMDER-0082,Incision & Drainage Of Absess - Deep,Service,30223-01-00,0,224,224,Current List
Dermatology ,FMDER-0014,Skin Incision & Curettage,Service,30195-00-00,0,781,781,Current List
SURGERY,FMSUR-3094,"Inguinal, Umbilical Or Femoral Hernia",PKG,30614-02-00,2 Days,7315,7315,Current List
Radiology ,FMXRAY1193,X-Ray Thoracic Spine Ap Standing,Service,58103-00-00,0,242,242,Current List
LABORATORY,FMLAB-9046,Lead,Service,73050-22-40,0,607,607,Current List
SURGERY,FMSUR-3230,Laparascopic Appendectomy,PKG,30572-00-00,2 Days,10890,10890,Current List
Home Care ,FMHC-0062,"""Home Visit - Physiotherapist, Physiotherapy / Visit + Evaluation (Transportation + Providing Servi",Service,83620-00-00,0,424,424,Current List
Radiology ,FMXRAY1113,Mri Additional Contrast,Service,99999-99-92,0,600,600,New
Orthopedics,ORT-0025,"O.R.I.F. With Screw/ Plates Of Tibia, Fibula Or Ulna",PKG,47566-01-01,3 Days,13200,13200,Current List
Pediatrics,FMPDT-0098,Enema,Service,92077-00-00,0,43,43,Current List
UROLOGY,FMURO-3122,Radical Nephrectomy,PKG,36528-01-00,5 Days,23100,23100,Current List
LABORATORY,FMLAB-5018,Anti-Hepatitis Delta (Igm),Service,73100-22-80,0,484,484,Current List
Radiology ,FMXRAY1299,Us. Msk (Shoulder),Service,55808-00-01,0,484,484,Current List
LABORATORY,FMLAB-2088,Amylase In Urine,Service,73050-03-00,0,218,218,Current List
ENT,FMENTK0002,Change Of Tracheostomy Tube,Service,92046-00-00,0,255,255,Current List
SURGERY,FMPDS-0006,Drainage Of Abscess Under Anea,Service,30223-01-10,0,267,267,Current List
ENT,FMENTE0021,Transient Evoked Otoacoustic Emissions (Ped),Service,11332-00-00,0,140,140,Current List
SURGERY,FMSUR-3093,Hydrocele,PKG,30631-00-01,2 Days,5225,5225,Current List
LABORATORY,FMLAB-9364,ANTI HU (Anti-neuronal nuclear autoantibody type 1 )ANNA1 - SERUM/CSF ,Service,73100-21-00,0,339,339,Current List
Physiotherapy,FMPTD-0043,TILT TABLE - OP,Service,11724-00-00,0,109,109,Current List
Dermatology ,FMDER-0149,Dermojet Injection-Large Area,Service,99999-99-99,0,339,339,Current List
ENT,FMENT-0128,NASAL POLYPECTOMY,PKG,41668-00-00,1 Day,4043,4043,Current List
LABORATORY,FMLAB-9268,Tpa(Tissue Polypeptide Antigen),Service,73050-39-70,0,605,605,Current List
ENT,FMENTE3004,Treatment Of Otomycosis-Bilateral,Service,90118-00-02,0,357,357,Current List
Surgery,SUR-0016,G.A. LYMPH NODE BIOPSY WITHOUT HISTOPATH,PKG,32153-00-00,Day Case,2662,2662,Current List
LABORATORY,FMLAB-9134,Tsh Screening,Service,73050-35-50,0,545,545,Current List
LABORATORY,FMLAB-4013,Lithium,Service,73300-01-80,0,371,371,Current List
LABORATORY,FMLAB-9033,Catecholamines In Urine (Adrenalin & Noradrenalin),Service,73050-07-20,0,953,953,Current List
LABORATORY,FMLAB-6044,Anaerobic C/S,Service,73050-40-50,0,327,327,Current List
Orthopedics,FMORT-0724,Rhizotomy ( One Level ),Service,40330-00-00,0,968,968,Current List
Ophthalmology,FMOPTL0075,Punctum Plug Implant - Two Eyes,Service,42620-00-02,0,2420,2420,Current List
Radiology ,FMXRAY1105,Mri Finger Protocol,Service,90901-08-10,0,900,1000,Current List
LABORATORY,FMLAB-9260,Reducing Substrate In Stool,Service,73050-33-90,0,757,757,Current List
UROLOGY,FMURO-0134,Doppler Study Of Penile Arteries,Service,11602-00-00,0,424,424,Current List
Orthopedics,ORT-0040,Achilles Tendon Length,PKG,49821-00-00,2 Days,6600,6600,Current List
LABORATORY,FMLAB-5064,Hepatitis E Virus Abs,Service,73100-23-90,0,599,599,Current List
LABORATORY,FMLAB-1040,Blood Film For Leishmania,Service,73100-24-40,0,103,103,Current List
Plastic Surgery,FMPSDF0012,Repair Of Minor Laceration Of Hand,Service,30026-00-10,0,1241,1241,Current List
OB & GYNE,FMOBG-3045,Caesarian Delivery (With Normal Baby),PKG,16520-00-00,4 Days,10230,10230,Current List
LABORATORY,FMLAB-9102,Organic Acids Urine,Service,73050-25-80,0,2124,2124,Current List
LABORATORY,FMLAB-1029,Clotting Factor X,Service,73100-03-20,0,325,325,Current List
Dermatology ,FMDER-0126,Narrow Band Regional 2Nd Course 15 Sessions,Service,14050-02-00,0,1083,1083,Current List
Dental,FMDNTS0091,Stiches For Superficial Wound,Service,97399-00-00,0,739,739,Current List
Cardiology,FMCAR-0003,Ecg With Ergometry,Service,11700-00-00,0,938,938,Current List
Psychiatry ,FMPSYA0047,Ybocs,Service,96180-00-00,0,242,242,Current List
Radiology,FMXRAY-1512,WHOLE BODY BONE SURVEY,Service,58306-00-00,0,781,781,Current List
Plastic Surgery,FMPSDE0010,Repair Of Lacerations Of,Service,30052-01-01,0,2318,2318,Current List
Radiology ,FMXRAY1622,Ultrasound One Breast,Service,55070-00-00,0,363,363,Current List
Dental,FMDNTP0073,Fissure Sealent Teeth,Service,97161-00-00,0,182,182,Current List
OB & GYNE,FMOBG-0022,Evacuation Of Rtnd Prod. Of Conception,Service,16564-00-00,0,1338,1338,Current List
LABORATORY,FMLAB-1108,Factor Xii Activity,Service,73100-03-40,0,325,325,Current List
LABORATORY,FMLAB-9711,Rubella Abs,Service,73100-25-90,0,242,242,Current List
LABORATORY,FMLAB-9264,Hepatitis C Genotyping,Service,73050-60-90,0,2596,2596,Current List
Orthopedics,ORT-0106,G.A. Bone Swelling Biopsy Without Histopath,PKG,50200-00-01,1 Day,3520,3520,Current List
Radiology ,FMXRAY1021,Mri Head (Internal Auditory Meatus Protocol),Service,90901-01-10,0,900,1000,Current List
Radiology ,FMXRAY1031,Mri Chest Mediastinum Protocol,Service,90901-04-10,0,900,1000,Current List
Radiology ,FMXRAY1474,Nm. Bone Scan (3 Phase Scan),Service,61441-00-00,0,3630,3630,Current List
Ophthalmology,FMOPTI0006,Lacrimal Duct Probing,Service,42615-01-00,0,140,140,Current List
Surgery,SUR-0137,Lumpectomy + histopath,PKG,32000-03-00,3 Days,12155,12155,Current List
LABORATORY,FMLAB-9613,Nicotinamide (Niacin) (Vit B3),Service,73050-38-70,0,242,242,Current List
LABORATORY,FMLAB-4015,Phenobarbitone,Service,73300-02-10,0,285,285,Current List
LABORATORY,FMLAB-5024,Campylobactor Abs,Service,73100-20-00,0,575,575,Current List
LABORATORY,FMLAB-9632,Parathyroid Abs,Service,73050-36-30,0,388,388,Current List
LABORATORY,FMLAB-9277,Adeno Virus Abs (Csf/Serum),Service,73100-19-00,0,451,451,Current List
LABORATORY,FMLAB-5044,Hiv/Western Blot,Service,73050-31-10,0,872,872,Current List
Psychiatry ,FMPSYB0055,Speech Per Sessions,Service,96135-00-00,0,103,103,Current List
LABORATORY,FMLAB-9487,Free Fatty Acids Nonsterified,Service,73050-13-00,0,847,847,Current List
Emergency,FMERDA0078,Home Visit - Specialist Off Duty,Service,83620-00-60,0,509,509,Current List
Dental,FMDNTR0023,Composite Veneer For One Tooth,Service,97582-01-00,0,297,297,Current List
LABORATORY,FMLAB-8053,Igm (Csf),Service,73100-10-60,0,333,333,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0133,Hinged Knee Support,Service,96092-00-00,0,273,273,Current List
Orthopedics,FMORT-0449,Removl Of Implant & Small Bone,PKG,90606-01-00,Day Case,4180,4180,Current List
Orthopedics,FMORT-0516,Correction Of Hand & Finger Deformity,PKG,90604-00-00,2 Days,12705,12705,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0138,Medical Shoes (Anti Varus)Small,Service,96092-00-00,0,484,484,Current List
ONCOLOGY/NUCLEAR MED,FMONC-0022,Tapping Of Ascitis,Service,30406-00-00,0,442,442,Current List
Physiotherapy,FMPTD-2109,P.T. 2 Procedures - Op,Service,95550-03-00,0,158,158,Current List
Cardiology,FMCARS0001,Cardioversion(Dc Shock),Service,13400-00-00,0,1210,1210,Current List
Dermatology ,FMDER-0166,Milia Extraction - Small,Service,31205-00-10,0,273,273,Current List
Dermatology ,FMDER-0165,Mollusca Bodies Extraction - Large,Service,90676-00-00,0,297,297,Current List
LABORATORY,FMLAB-9704,"Rheumatoid Factor Iga, Igg & Igm",Service,73100-17-70,0,1053,1053,Current List
Dental,FMDNTS0114,Inter Dental Wiring One Jaw,Service,50130-00-01,0,2669,2669,Current List
Physiotherapy,FMPDT-0166,STEAM INHALATION - VIRAL GROUP,Service,92045-00-00,0,49,49,Current List
LABORATORY,FMLAB-9094,Mitochondrial Abs & Anti-Smooth,Service,73050-20-70,0,624,624,Current List
Physiotherapy,FMPTD-0016,Manual Massage - Total - Op,Service,96162-00-00,0,242,242,Current List
Dermatology ,FMDER-0012,Wood'S Light Exam,Service,42503-00-01,0,158,158,Current List
LABORATORY,FMLAB-9738,Tb Culture (Csf),Service,73050-56-40,0,2796,2796,Current List
Cardiothoracic Surgery,FMCTS-0010,Decortication,Service,38421-01-00,0,8470,8470,Current List
LABORATORY,FMLAB-9262,Polio Virus Abs.,Service,73050-39-70,0,714,714,Current List
Surgery,SUR-0023,L.A. Haematoma Evacuation,PKG,31500-00-01,Day Case,1815,1815,Current List
Dermatology ,FMSUR-3037,Debridement Of Diabetic Foot  Infection,Service,90665-00-20,0,4598,4598,Current List
Radiology ,FMXRAY1020,Mri Head (Orbits Protocol),Service,90901-01-10,0,900,1000,Current List
Orthopedics,ORT-0038,Carpal Tunnel Syndrome Operation,PKG,39331-01-01,Day Case,4840,4840,Current List
Radiology ,FMXRAY1026,Mri Neck (Supra-Hyoid Protocol),Service,90901-02-10,0,900,1000,Current List
Emergency,FMERDA0135,Full Cast - Above Elbow,Service,50130-00-01,0,666,666,Current List
Psychiatry ,FMPSYA0055,Anorexia Nervosa Scale (A.N.S.),Service,96180-00-00,0,1578,1578,Current List
Labolatory,FMLAB-1562,FLOW CYTOMETRY LEUKEMIA LYMPHOMA PANEL,Service,73200-03-20,0,7865,7865,Current List
Pediatrics,FMPDT-0190,Central Line Insertion (Above 3Yrs),Service,13815-00-00,0,200,200,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0135,High Dorso-Lumbar Support,Service,96092-00-00,0,273,273,Current List
SURGERY,FMSUR-1009,Incision With Drainage Large Or Deep Absess Under G.A.,PKG,30223-01-20,Day Case,1815,1815,Current List
LABORATORY,FMLAB-9169,Apolipoprotein A1,Service,73050-03-60,0,267,267,Current List
LABORATORY,FMLAB-9242,"Borrelia Abs (Igg, Igm)",Service,73100-19-80,0,726,726,Current List
LABORATORY,FMLAB-9480,Estrone,Service,73050-12-30,0,325,325,Current List
LABORATORY,FMLAB-9377,Aspergillus Fumigatus Metabolic Abs,Service,73100-19-10,0,363,363,Current List
Orthopedics,FMORT-0828,Shock Wave Per Soft Tissue 3 Sessions,Service,96155-00-00,0,1513,1513,Current List
LABORATORY,FMLAB-9361,Androstendione,Service,73050-03-20,0,466,466,Current List
Dental,FMDNTF0003,Amalgam Filling > 2 Surfaces,Service,97521-01-00,0,303,303,Current List
Emergency,FMERDA0004,Abcess Incision And Drainage - Paronychia,Service,47912-00-01,0,200,200,Current List
Dental,FMDNTF0011,Children Tooth Filling Two Surfaces,Service,97521-02-00,0,224,224,Current List
Radiology,FMXRAY1228,X-Ray Hip For Head Of Femur(30 Ca/Ag) - Right,Service,55816-00-01,0,158,158,Current List
LABORATORY,FMLAB-9288,Hiv-1 Quantitative Pcr,Service,73050-55-20,0,3011,3011,Current List
Ophthalmology,FMOPTC0002,Excision Of Chalazion - Large,Service,42575-00-01,0,509,509,Current List
UROLOGY,FMURO-3015,Cystoscopy + Removal Of Djs Under G.A.,PKG,36821-01-00,Day Case,2200,2200,Current List
Orthopedics,ORT-0001,Fracture Small Bones Of Hand/ Foot +Pop + Xray,PKG,99999-99-99,Day Case,1452,1452,Current List
Orthopedics,FMORT-0612,Fracture At Medial Or Lateral Malleolus,Service,47597-00-01,0,3630,3630,Current List
NEPHROLOGY,FMNEP-0015,Hemodialysis Type B1 (24 Session),Service,13100-00-00,0,12960,12960,Current List
Radiology ,FMXRAY1267,Fluroscopy. Ba. Study (Enema Single Contrast Protocol),Service,58916-00-00,0,666,666,Current List
Physiotherapy,FMPTD-0091,Nebulization For Aramco Patient Per,Service,92043-00-00,0,2662,2662,Current List
LABORATORY,FMLAB-9712,Salmonella Abs,Service,73100-26-10,0,412,412,Current List
Endoscopy,FMENDE0026,Electrocoagulation Of Bleeding Point,Service,90312-00-00,0,672,672,Current List
Dental & Maxillofacial,DNT-0026,Orif - Mandibular Fracture  - Unilateral,PKG,47777-00-01,3 Days,29040,29040,Current List
Emergency,FMERD-0015,"Ambulance Service - With Nurse Or Emt/ Paramedic, 80 - 150 Km (Single Trip)",Service,83500-00-80,0,605,605,Current List
Orthopedics,ORT-0068,O.R.I.F. Of Fracture Pelvis,PKG,47060-00-01,4 Days,16500,16500,Current List
OB & GYNE,OBG-0014,Cervical Circulage,PKG,16511-00-00,1 Day,3245,3245,Current List
LABORATORY,FMLAB-1318,"Cell Count, Body Fluid, Csf",Service,73400-00-70,0,286,286,Current List
Radiology ,FMXRAY1472,Nm. Bone Scan (Whole Body 1 Phase),Service,61421-00-00,0,3630,3630,Current List
OB & GYNE,FMOBG-3018,Ovarian Cystectomy,PKG,35638-04-00,3 Days,8800,8800,Current List
LABORATORY,FMLAB-7009,"Male Infertility Profile(Semen Analysis, Testosterone, Fsh, Lh , Prolactin)",Service,73400-03-30,0,2171,2171,Current List
UROLOGY,URO-0033,Litholopaxy End. Bladder Stone (1-2 Days).,PKG,36863-00-00,2 Days,4620,4620,Current List
LABORATORY,FMLAB-9368,Anti Yo (Purkinje Cells),Service,73100-09-80,0,170,170,Current List
UROLOGY,FMURO-3075,Nephrolithotomy,PKG,36540-00-01,4 Days,12100,12100,Current List
LABORATORY,FMLAB-6025,Wet Smear Test,Service,73050-44-70,0,267,267,Current List
LABORATORY,FMLAB-9620,Bone Alkaline Phosphatase (Bap),Service,73100-07-70,0,412,412,Current List
Dental & Maxillofacial,DNT-0007,Frenectomy Lip / Tongue G.A.,PKG,30278-00-00,2 Days,7260,7260,Current List
LABORATORY,FMLAB-9593,Methyl Malonic Acid,Service,73300-03-70,0,424,424,Current List
Ophthalmology,FMOPT-2101,ANTERIOR VITRECTOMY,PKG,42719-01-01,3 Days,8085,8085,Current List
Cardiology,FMCAR-3030,"Rvot Stenting (Ventricular Outflow Tract) Consumable (Sheath, Wire, Catheter, Balloon And Stent)",PKG,34824-00-00,3,45000,45000,New
Psychiatry ,FMPSYA0051,Children Self Esteem,Service,96180-00-00,0,182,182,Current List
Psychiatry ,FMPSYB0034,(1) Session Of Biofeedback,Service,96152-00-00,0,194,194,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0129,Universal Knee Immobilize,Service,96092-00-00,0,212,212,Current List
Dental,FMDNTP0001,Temporary Acrylic Crown,Service,97611-01-00,0,152,152,Current List
DENTAL,FMDNT-2000,GENERAL ANESTHESIA FOR DENTAL OR  LESS THAN  2 HOURS ,Service,97245-00-00,0,1471,1471,Current List
Dental & Maxillofacial,DNT-0016,Orif - Mandibular Condyle Fracture,PKG,47789-00-01,3 Days,21780,21780,Current List
LABORATORY,FMLAB10159,Urine Protein Electrophoresis,Service,73050-30-90,0,484,484,Current List
ENT,FMENTE0020,Caloric Test For Vertigo,Service,11333-00-00,0,593,593,Current List
Dental,FMDNTS0077,Biopsy Of Soft Tissue - Large,Service,50200-00-01,0,1071,1071,Current List
Psychiatry ,FMPSYA0045,Hypomania,Service,99999-99-99,0,242,242,Current List
LABORATORY,FMLAB-9125,Sperm Abs. (Serum),Service,73400-03-80,0,1133,1133,Current List
Dental,FMDNTS0083,Surgical Excision Of Intra-Oral Swelling (Large),Service,90141-01-10,0,2669,2669,Current List
Urology,URO-0039,Stricture Posterior Urethra,PKG,37303-00-00,4 Days,13365,13365,Current List
Dermatology ,FMDER-0135,Laser Treatment -Small Area,Service,30195-02-00,0,775,775,Current List
Radiology,FMXRAY1185,X-Ray Ribs Unilateral (1 View) - Right,Service,58521-01-00,0,182,182,Current List
Dermatology ,FMDER-0164,Mollusca Bodies Extraction - Medium,Service,90676-00-00,0,273,273,Current List
Radiology ,FMXRAY1616,Thallium W/Persantine,Service,61437-00-00,0,1828,1828,Current List
Radiology ,FMXRAY1568,Us Prostate (Trus),Service,55600-00-00,0,605,605,Current List
Dental & Maxillofacial,DNT-0025,Orif Orbital Floor Fracture ( Blow Out ),PKG,45590-00-01,3 Days,29040,29040,Current List
SURGERY,FMSUR-3143,Splenectomy,PKG,30597-00-00,5 Days,13035,13035,Current List
Radiology ,FMXRAY1012,Mri Brain Posterior Fossa Protocol,Service,90901-00-10,0,900,1000,Current List
NEPHROLOGY,FMNEP-0020,Femoral Or Subclavicen Catheter,Service,13815-01-00,0,787,787,Current List
LABORATORY,FMLAB-1012,Activated Clotting Time,Service,73100-05-00,0,176,176,Current List
LABORATORY,FMLAB-2096,C.K. Isoenzymes,Service,73050-09-50,0,545,545,Current List
Dental,FMDNTR0020,Remove Old Root One Canal,Service,97451-00-00,0,739,739,Current List
LABORATORY,FMLAB-8008,H. Pylori Abs,Service,73100-22-20,0,535,535,Current List
Pediatrics,FMPDT-0175,Dexamethasone Injection,Service,39013-01-00,0,22,22,Current List
LABORATORY,FMLAB-1048,Neutrophil Alkaline Phospatase (Lap),Service,73100-07-70,0,252,252,Current List
LABORATORY,FMLAB-9205,Pyruvate Kinase,Service,73050-31-80,0,545,545,Current List
LABORATORY,FMLAB-8005,Extra Blocks,Service,73050-39-70,0,109,109,Current List
LABORATORY,FMLAB-8069,Renal Biopsy,Service,36561-00-01,0,3630,3630,Current List
Radiology,FMXRAY1184,X-Ray Sterno-Clavicular Joints - Right,Service,58521-00-00,0,146,146,Current List
Physiotherapy,FMPTD-2060,POLIO TREATMENT,Service,99999-99-99,0,140,140,Current List
NEUROSURGERY,FMNEU-0062,Lumbar Puncture By Neurosurgery,Service,39000-00-00,0,285,285,Current List
LABORATORY,FMLAB-2092,Vanillylmandelic Acid (Vma),Service,73050-38-30,0,610,610,Current List
Orthopedics,ORT-0056,Congenital Dislocation,PKG,50130-00-01,3 Days,13310,13310,Current List
Pediatrics,FMPDT-0123,Central Line Insertion (Up To 3Yrs),Service,13815-00-00,0,200,200,Current List
ORTHOPAEDIC WORKSHOP,FMORW-0116,Halux Valgus Brace,Service,96092-00-00,0,140,140,Current List
Dental,FMDNTS0022,Incision & Drainage Intra-Oral Abscess (Superficial),Service,30223-01-00,0,376,376,Current List
OB & GYNE,OBG-0042,Ceasarian Section with Abdominal Hysterectomy,PKG,35653-01-00,5 Days,16500,16500,Current List
Radiology ,FMXRAY1140,Ct. Abdomen & Pelvis (Virtual Colonoscopy Protocol),Service,56549-01-00,0,1210,1210,Current List
Radiology ,FMXRAY1550,Ct Abdomen & Pelvis (Liver Volumetry Protocol),Service,56501-00-00,0,1210,1210,Current List
Plastic Surgery,FMPSDF0014,Repair Of Major Laceration Of Hand,Service,30026-00-30,0,3092,3092,Current List
SURGERY,FMSUR-3166,Right Hemicolectomy,PKG,32003-01-00,6 Days,15400,15400,Current List
Orthopedics,ORT-0114,"O.R.I.F. For Commuted Or Mal-United Fracture Of The Femur, Tibia, Humerus",PKG,47528-00-01,6 Days,15290,15290,Current List
LABORATORY,FMLAB-2091,Chloride (Cl) In Urine,Service,73050-07-90,0,97,97,Current List
Orthopedic,FMORT-0376,ELASTIC BANDAGE BELOW KNEE W/ MEDICINE,Service,96092-00-00,0,285,285,Current List
Radiology ,FMXRAY1187,X-Ray Ribs Bilateral (1 View),Service,58524-00-00,0,327,327,Current List
LABORATORY,FMLAB-9032,Catecholamines In Urine,Service,73050-07-00,0,1173,1173,Current List
Radiology ,FMXRAY1033,Mri Chest Wall Protocol,Service,90901-04-10,0,900,1000,Current List
Orthopedics,ORT-0070,Arthroplasties,PKG,50127-00-01,7 Days,24948,24948,Current List
